English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Absorbed laser power,अवशोषित लेसर शक्ति,અવશોષિત લેસર શક્તિ,अवशोषित लेसर शक्ति,ਅਵਸ਼ੋ਷ਿਤ ਲੇਸਰ ਸ਼ਕ੍ਤਿ,অবশোষিত লেসর শক্তি,अवशोषित लेसर शक्ति,ಅವಶೋಷಿತ ಲೇಸರ ಶಕ್ತಿ,അവശോഷിത ലേസര ശക്തി,அவசோஷித லேஸர சக்தி,అవశోషిత లేసర శక్తి,اوشوشت لیسر شکتی,অশষিত লসর শক্তি,ଅବଶୋଷିତ ଲେସର ଶକ୍ତି,अवशोषित लेसर शक्ति
Absorbed light,अवशोषित प्रकाश,અવશોષિત પ્રકાશ,अवशोषित प्रकाश,ਅਵਸ਼ੋ਷ਿਤ ਪ੍ਰਕਾਸ਼,অবশোষিত প্রকাশ,अवशोषित प्रकाश,ಅವಶೋಷಿತ ಪ್ರಕಾಶ,അവശോഷിത പ്രകാശ,அவசோஷித ப்ரகாச,అవశోషిత ప్రకాశ,اوشوشت پرکاش,অশষিত প্রকাশ,ଅବଶୋଷିତ ପ୍ରକାଶ,अवशोषित प्रकाश
Absorbed power,अवशोषित शक्ति,અવશોષિત શક્તિ,अवशोषित शक्ति,ਅਵਸ਼ੋ਷ਿਤ ਸ਼ਕ੍ਤਿ,অবশোষিত শক্তি,अवशोषित शक्ति,ಅವಶೋಷಿತ ಶಕ್ತಿ,അവശോഷിത ശക്തി,அவசோஷித சக்தி,అవశోషిత శక్తి,اوشوشت شکتی,অশষিত শক্তি,ଅବଶୋଷିତ ଶକ୍ତି,अवशोषित शक्ति
Absorbed radiation,अवशोषित विकिरण,અવશોષિત વિકિરણ,अवशोषित विकिरण,ਅਵਸ਼ੋ਷ਿਤ ਵਿਕਿਰਣ,অবশোষিত বিকিরণ,अवशोषित विकिरण,ಅವಶೋಷಿತ ವಿಕಿರಣ,അവശോഷിത വികിരണ,அவசோஷித விகிரண,అవశోషిత వికిరణ,اوشوشت وکرن,অশষিত িকিরণ,ଅବଶୋଷିତ ବିକିରଣ,अवशोषित विकिरण
Absorption coefficient,अवशोषण- गुणांक,અવશોષણ- ગુણાંક,अवशोषण- गुणांक,ਅਵਸ਼ੋ਷ਣ- ਗੁਣਾਂਕ,অবশোষণ- গুণাংক,अवशोषण- गुणांक,ಹೀರುವಿಕೆ; ಅವಶೇಷಣ ಹೀರುಗುಣಕ.,അവശോഷണ- ഗുണാംക,அவசோஷண- குணாங்க,అవశోషణ- గుణాంక,اوشوشن- گنانک,অশষণ- গুণাংক,ଅବଶୋଷକ ଗୁଣାଙ୍କ,अवशोषण- गुणांक
Absorption constant,अवशोषण- स्थिरांक,અવશોષણ- સ્થિરાંક,अवशोषण- स्थिरांक,ਅਵਸ਼ੋ਷ਣ- ਸ੍ਥਿਰਾਂਕ,অবশোষণ- স্থিরাংক,अवशोषण- स्थिरांक,ಅವಶೋಷಣ- ಸ್ಥಿರಾಂಕ,അവശോഷണ- സ്ഥിരാംക,அவசோஷண- ஸ்திராங்க,అవశోషణ- స్థిరాంక,اوشوشن- ستھرانک,অশষণ- স্থিরাংক,ଅବଶୋଷଣ- ସ୍ଥିରାଂକ,अवशोषण- स्थिरांक
Absorption curve,अवशोषण-वक्र,અવશોષણ-વક્ર,अवशोषण-वक्र,ਅਵਸ਼ੋ਷ਣ-ਵਕ੍ਰ,অবশোষণ-বক্র,अवशोषण-वक्र,ಅವಶೋಷಣ-ವಕ್ರ,അവശോഷണ-വക്ര,அவசோஷண-வக்ர,అవశోషణ-వక్ర,جاذبیت خم,অশষণ-ক্র,ଅବଶୋଷଣ-ବକ୍ର,अवशोषण-वक्र
Absorption line,अवशोषण-रेख,અવશોષણ-રેખ,अवशोषण-रेख,ਅਵਸ਼ੋ਷ਣ-ਰੇਖ,অবশোষণ-রেখ,अवशोषण-रेख,ಅವಶೋಷಣ-ರೇಖ,അവശോഷണ-രേഖ,அவசோஷண-ரேக,అవశోషణ-రేఖ,اوشوشن-ریکھ,অশষণ-রখ,ଅବଶୋଷଣ-ରେଖ,अवशोषण-रेख
Absorption of light,प्रकाश-अवशोषण,પ્રકાશ-અવશોષણ,प्रकाश-अवशोषण,ਪ੍ਰਕਾਸ਼-ਅਵਸ਼ੋ਷ਣ,প্রকাশ-অবশোষণ,प्रकाश-अवशोषण,ಪ್ರಕಾಶ-ಅವಶೋಷಣ,പ്രകാശ-അവശോഷണ,ப்ரகாச-அவசோஷண,ప్రకాశ-అవశోషణ,پرکاش-اوشوشن,প্রকাশ-অশষণ,ପ୍ରକାଶ-ଅବଶୋଷଣ,प्रकाश-अवशोषण
Absorption of modulated field,मॉडुलित क्षेत्र का अवशोषण,મૉડુલિત ક્ષેત્ર કા અવશોષણ,मॉडुलित क्षेत्र का अवशोषण,ਮ੉ਡੁਲਿਤ ਕ੍਷ੇਤ੍ਰ ਕਾ ਅਵਸ਼ੋ਷ਣ,মৌডুলিত ক্ষেত্র কা অবশোষণ,मॉडुलित क्षेत्र का अवशोषण,ಮೌಡುಲಿತ ಕ್ಷೇತ್ರ ಕಾ ಅವಶೋಷಣ,മൌഡുലിത ക്ഷേത്ര കാ അവശോഷണ,மௌடுலித க்ஷேத்ர கா அவசோஷண,మౌడులిత క్షేత్ర కా అవశోషణ,ماڈلت شیتر کا اوشوشن,মডুলিত ক্ষত্র কা অশষণ,ମୌଡୁଲିତ କ୍ଷେତ୍ର କା ଅବଶୋଷଣ,मॉडुलित क्षेत्र का अवशोषण
Absorption probability,अवशोषण-प्रायिकता,અવશોષણ-પ્રાયિકતા,अवशोषण-प्रायिकता,ਅਵਸ਼ੋ਷ਣ-ਪ੍ਰਾਯਿਕਤਾ,অবশোষণ-প্রাযিকতা,अवशोषण-प्रायिकता,ಅವಶೋಷಣ-ಪ್ರಾಯಿಕತಾ,അവശോഷണ-പ്രായികതാ,அவசோஷண-ப்ராயிகதா,అవశోషణ-ప్రాయికతా,اوشوشن-پرایکتا,অশষণ-প্রাযিকতা,ଅବଶୋଷଣ-ପ୍ରାଯିକତା,अवशोषण-प्रायिकता
Absorption Spectrum,अवशोषण-स्पेक्ट्रम,અવશોષણ-સ્પેક્ટ્રમ,अवशोषण-स्पेक्ट्रम,ਅਵਸ਼ੋ਷ਣ-ਸ੍ਪੇਕ੍ਟ੍ਰਮ,অবশোষণ-স্পেক্ট্রম,अवशोषण-स्पेक्ट्रम,ಹೀರಿಕೆ ವರ್ಣಪಟಲ,അവശോഷണ-സ്പേക്ട്രമ,அவசோஷண-ஸ்பேக்ட்ரம,అవశోషణ-స్పేక్ట్రమ,جاذبیت اسپیکٹرم / طیف,অশষণ-স্পক্ট্রম,"ଅବଶୋଷଣ ସ୍ପେକଟ୍ରମ, ଅବଶୋଷଣ ବର୍ଣ୍ଣାଳୀ",अवशोषण-स्पेक्ट्रम
Absorptive susceptibilty,अवशोषी चुम्बकीय प्रवृत्ति,અવશોષી ચુમ્બકીય પ્રવૃત્તિ,अवशोषी चुम्बकीय प्रवृत्ति,ਅਵਸ਼ੋ਷ੀ ਚੁਮ੍ਬਕੀਯ ਪ੍ਰਵ੃ਤ੍ਤਿ,অবশোষী চুম্বকীয প্রবৃত্তি,अवशोषी चुम्बकीय प्रवृत्ति,ಅವಶೋಷೀ ಚುಮ್ಬಕೀಯ ಪ್ರವೃತ್ತಿ,അവശോഷീ ചുമ്ബകീയ പ്രവൃത്തി,அவசோஷீ சும்பகீய ப்ரவ்ருத்தி,అవశోషీ చుమ్బకీయ ప్రవృత్తి,اوشوشی چمبکیہ پرورتی,অশষী চুম্বকীয প্রৃত্তি,ଅବଶୋଷୀ ଚୁମ୍ବକୀଯ ପ୍ରବୃତ୍ତି,अवशोषी चुम्बकीय प्रवृत्ति
A.C. Electric field,A.C.  विद्युत क्षेत्र,a.c.  વિદ્યુત ક્ષેત્ર,a.c.  विद्युत क्षेत्र,a.c.  ਵਿਦ੍ਯੁਤ ਕ੍਷ੇਤ੍ਰ,a.c.  বিদ্যুত ক্ষেত্র,a.c.  विद्युत क्षेत्र,a.c.  ವಿದ್ಯುತ ಕ್ಷೇತ್ರ,a.c.  വിദ്യുത ക്ഷേത്ര,a.c.  வித்யுத க்ஷேத்ர,a.c.  విద్యుత క్షేత్ర,a۔c۔  ودیت شیتر,a.c.  িদ্যুত ক্ষত্র,a.c.  ବିଦ୍ଯୁତ କ୍ଷେତ୍ର,a.c.  विद्युत क्षेत्र
Accelerated convergence motion,त्वरित अभिसारी गति,ત્વરિત અભિસારી ગતિ,त्वरित अभिसारी गति,ਤ੍ਵਰਿਤ ਅਭਿਸਾਰੀ ਗਤਿ,ত্বরিত অভিসারী গতি,त्वरित अभिसारी गति,ತ್ವರಿತ ಅಭಿಸಾರೀ ಗತಿ,ത്വരിത അഭിസാരീ ഗതി,த்வரித அபிஸாரீ கதி,త్వరిత అభిసారీ గతి,تورت ابھساری گتی,ত্রিত অভিসারী গতি,ତ୍ବରିତ ଅଭିସାରୀ ଗତି,त्वरित अभिसारी गति
Accelerated plasma,त्वरित प्लाज्मा,ત્વરિત પ્લાજ્મા,त्वरित प्लाज्मा,ਤ੍ਵਰਿਤ ਪ੍ਲਾਜ੍ਮਾ,ত্বরিত প্লাজ্মা,त्वरित प्लाज्मा,ತ್ವರಿತ ಪ್ಲಾಜ್ಮಾ,ത്വരിത പ്ലാജ്മാ,த்வரித ப்லாஜ்மா,త్వరిత ప్లాజ్మా,تورت پلازما,ত্রিত প্লাজ্মা,ତ୍ବରିତ ପ୍ଲାଜ୍ମା,त्वरित प्लाज्मा
Acceleration effect,त्वरण प्रभाव,ત્વરણ પ્રભાવ,त्वरण प्रभाव,ਤ੍ਵਰਣ ਪ੍ਰਭਾਵ,ত্বরণ প্রভাব,त्वरण प्रभाव,ತ್ವರಣ ಪ್ರಭಾವ,ത്വരണ പ്രഭാവ,த்வரண ப்ரபாவ,త్వరణ ప్రభావ,تورن پربھاو,ত্রণ প্রভা,ତ୍ବରଣ ପ୍ରଭାବ,त्वरण प्रभाव
Accelerator,त्वरित्र,ત્વરિત્ર,त्वरित्र,ਰਫ਼ਤਾਰ ਵਧਾਉਣ ਵਾਲਾ ਯੰਤਰ,ত্বরিত্র,त्वरित्र,ವೇಗವರ್ಧಕ,ത്വരിത്ര,த்வரித்ர,త్వరిత్ర,سرمت کار، ایکسیلریٹر,ত্রিত্র,ତ୍ବରିତ୍ର,त्वरित्र
Accelated practicle,त्वरित कण,ત્વરિત કણ,त्वरित कण,ਤ੍ਵਰਿਤ ਕਣ,ত্বরিত কণ,त्वरित कण,ತ್ವರಿತ ಕಣ,ത്വരിത കണ,த்வரித கண,త్వరిత కణ,تورت کن,ত্রিত কণ,ତ୍ବରିତ କଣ,त्वरित कण
Accelerated Electron,त्वरित इलेक्ट्रॉन,ત્વરિત ઇલેક્ટ્રૉન,त्वरित इलेक्ट्रॉन,ਤ੍ਵਰਿਤ ਇਲੇਕ੍ਟ੍ਰ੉ਨ,ত্বরিত ইলেক্ট্রৌন,त्वरित इलेक्ट्रॉन,ತ್ವರಿತ ಇಲೇಕ್ಟ್ರೌನ,ത്വരിത ഇലേക്ട്രൌന,த்வரித இலேக்ட்ரௌந,త్వరిత ఇలేక్ట్రౌన,تورت الیکٹران,ত্রিত ইলক্ট্রন,ତ୍ବରିତ ଇଲେକ୍ଟ୍ରୌନ,त्वरित इलेक्ट्रॉन
Acceptor,ग्राही,ગ્રાહી,ग्राही,ਗ੍ਰਾਹੀ,গ্রাহী,ग्राही,ಸ್ವೀಕಾರಿ,ഗ്രാഹീ,க்ராஹீ,గ్రాహీ,قبول کار,গ্রাহী,"ଗ୍ରହୀତା, ସ୍ୱୀକୃତିଦାତା",ग्राही
Acceptor density,ग्राही घनत्व,ગ્રાહી ઘનત્વ,ग्राही घनत्व,ਗ੍ਰਾਹੀ ਘਨਤ੍ਵ,গ্রাহী ঘনত্ব,ग्राही घनत्व,ಗ್ರಾಹೀ ಘನತ್ವ,ഗ്രാഹീ ഘനത്വ,க்ராஹீ கநத்வ,గ్రాహీ ఘనత్వ,گراہی گھنتو,গ্রাহী ঘনত্,ଗ୍ରାହୀ ଘନତ୍ବ,ग्राही घनत्व
Accelerated Ccharge,त्वरित आवेश,ત્વરિત આવેશ,त्वरित आवेश,ਤ੍ਵਰਿਤ ਆਵੇਸ਼,ত্বরিত আবেশ,त्वरित आवेश,ತ್ವರಿತ ಆವೇಶ,ത്വരിത ആവേശ,த்வரித ஆவேச,త్వరిత ఆవేశ,تورت آویش,ত্রিত আশ,ତ୍ବରିତ ଆବେଶ,त्वरित आवेश
Acoustic plasma,ध्वानिक प्लाज्मा,ધ્વાનિક પ્લાજ્મા,ध्वानिक प्लाज्मा,ਧ੍ਵਾਨਿਕ ਪ੍ਲਾਜ੍ਮਾ,ধ্বানিক প্লাজ্মা,ध्वानिक प्लाज्मा,ಧ್ವಾನಿಕ ಪ್ಲಾಜ್ಮಾ,ധ്വാനിക പ്ലാജ്മാ,த்வாநிக ப்லாஜ்மா,ధ్వానిక ప్లాజ్మా,دھوانک پلازما,ধ্ানিক প্লাজ্মা,ଧ୍ବାନିକ ପ୍ଲାଜ୍ମା,ध्वानिक प्लाज्मा
Acoustic speed,ध्वानिक चाल,ધ્વાનિક ચાલ,ध्वानिक चाल,ਧ੍ਵਾਨਿਕ ਚਾਲ,ধ্বানিক চাল,ध्वानिक चाल,ಧ್ವಾನಿಕ ಚಾಲ,ധ്വാനിക ചാല,த்வாநிக சால,ధ్వానిక చాల,دھوانک چال,ধ্ানিক চাল,ଧ୍ବାନିକ ଚାଲ,ध्वानिक चाल
Acquired modulation,उपार्जित मॉडुलन,ઉપાર્જિત મૉડુલન,उपार्जित मॉडुलन,ਉਪਾਰ੍ਜਿਤ ਮ੉ਡੁਲਨ,উপার্জিত মৌডুলন,उपार्जित मॉडुलन,ಉಪಾರ್ಜಿತ ಮೌಡುಲನ,ഉപാര്ജിത മൌഡുലന,உபார்ஜித மௌடுலந,ఉపార్జిత మౌడులన,اپارجت ماڈلن,উপার্জিত মডুলন,ଉପାର୍ଜିତ ମୌଡୁଲନ,उपार्जित मॉडुलन
Acquisition of angular momentum,कोणीय संवेग-अर्जन,કોણીય સંવેગ-અર્જન,कोणीय संवेग-अर्जन,ਕੋਣੀਯ ਸਂਵੇਗ-ਅਰ੍ਜਨ,কোণীয সংবেগ-অর্জন,कोणीय संवेग-अर्जन,ಕೋಣೀಯ ಸಂವೇಗ-ಅರ್ಜನ,കോണീയ സംവേഗ-അര്ജന,கோணீய ஸங்வேக-அர்ஜந,కోణీయ సంవేగ-అర్జన,کونیہ سنویگ-ارزن,কণীয সংগ-অর্জন,କୋଣୀଯ ସଂବେଗ-ଅର୍ଜନ,कोणीय संवेग-अर्जन
Action,क्रिया,"કાર્ય, કાર્યવાહી, પગલું, દાવો, કાર્યવેગ","कार्य, कृती, कृत्य, क्रिया, कार्यवाही, कारवाई","ਕਾਰਵਾਈ, ਕ੍ਰਿਆ, ਕਾਰਜ, ਸੰਘ੍ਰਸ਼","ব্যবস্থা,ক্রিয়া,নালিশ,মামলা,ব্যবহার,কার্য","कारवाय,करणी/क्रिया",ಕ್ರಿಯೆ,ക്രിയ,"செயல், நடவடிக்கை","వ్యాజ్యం,దావా,క్రియ,చర్య",عمل کار روائی,"কার্য,বাদগোচৰ,মোকর্দমা","କାର୍ଯ୍ୟାନୁଷ୍ଠାନ, କ୍ରିୟା, କାର୍ଯ୍ୟ, ବ୍ୟବହାର, ଗତିବିଧି","1.कार्य, गतिविधि 2. कार्यवाही, कारबाई"
Active core,सक्रिय क्रोड,સક્રિય ક્રોડ,सक्रिय क्रोड,ਸਕ੍ਰਿਯ ਕ੍ਰੋਡ,সক্রিয ক্রোড,सक्रिय क्रोड,ಸಕ್ರಿಯ ಕ್ರೋಡ,സക്രിയ ക്രോഡ,ஸக்ரிய க்ரோட,సక్రియ క్రోడ,سکریہ کروڈ,সক্রিয ক্রড,ସକ୍ରିଯ କ୍ରୋଡ,सक्रिय क्रोड
Active ion,सक्रिय आयन,સક્રિય આયન,सक्रिय आयन,ਸਕ੍ਰਿਯ ਆਯਨ,সক্রিয আযন,सक्रिय आयन,ಸಕ್ರಿಯ ಆಯನ,സക്രിയ ആയന,ஸக்ரிய ஆயந,సక్రియ ఆయన,سکریہ آین,সক্রিয আযন,ସକ୍ରିଯ ଆଯନ,सक्रिय आयन
Active medium,सक्रिय माध्यम,સક્રિય માધ્યમ,सक्रिय माध्यम,ਸਕ੍ਰਿਯ ਮਾਧ੍ਯਮ,সক্রিয মাধ্যম,सक्रिय माध्यम,ಸಕ್ರಿಯ ಮಾಧ್ಯಮ,സക്രിയ മാധ്യമ,ஸக்ரிய மாத்யம,సక్రియ మాధ్యమ,سکریہ مادھیم,সক্রিয মাধ্যম,ସକ୍ରିଯ ମାଧ୍ଯମ,सक्रिय माध्यम
Active mode,सक्रिय विधा,સક્રિય વિધા,सक्रिय विधा,ਸਕ੍ਰਿਯ ਵਿਧਾ,সক্রিয বিধা,सक्रिय विधा,ಸಕ್ರಿಯ ವಿಧಾ,സക്രിയ വിധാ,ஸக்ரிய விதா,సక్రియ విధా,سکریہ ودھا,সক্রিয িধা,ସକ୍ରିଯ ବିଧା,सक्रिय विधा
Activity centre,सक्रियता केन्द्र,સક્રિયતા કેન્દ્ર,सक्रियता केन्द्र,ਸਕ੍ਰਿਯਤਾ ਕੇਨ੍ਦ੍ਰ,সক্রিযতা কেন্দ্র,सक्रियता केन्द्र,ಸಕ್ರಿಯತಾ ಕೇನ್ದ್ರ,സക്രിയതാ കേന്ദ്ര,ஸக்ரியதா கேந்த்ர,సక్రియతా కేన్ద్ర,سکریتا کیندر,সক্রিযতা কন্দ্র,ସକ୍ରିଯତା କେନ୍ଦ୍ର,सक्रियता केन्द्र
Adiabatic approximation,रुद्धोष्म सन्निकटन,રુદ્ધોષ્મ સન્નિકટન,रुद्धोष्म सन्निकटन,ਰੁਦ੍ਧੋ਷੍ਮ ਸਨ੍ਨਿਕਟਨ,রুদ্ধোষ্ম সন্নিকটন,रुद्धोष्म सन्निकटन,ರುದ್ಧೋಷ್ಮ ಸನ್ನಿಕಟನ,രുദ്ധോഷ്മ സന്നികടന,ருத்தோஷ்ம ஸந்நிகடந,రుద్ధోష్మ సన్నికటన,ردھوشم سنکٹن,রুদ্ধষ্ম সন্নিকটন,ରୁଦ୍ଧୋଷ୍ମ ସନ୍ନିକଟନ,रुद्धोष्म सन्निकटन
Adiabatic change,रुद्धोष्म परिवर्तन,રુદ્ધોષ્મ પરિવર્તન,रुद्धोष्म परिवर्तन,ਰੁਦ੍ਧੋ਷੍ਮ ਪਰਿਵਰ੍ਤਨ,রুদ্ধোষ্ম পরিবর্তন,रुद्धोष्म परिवर्तन,ರುದ್ಧೋಷ್ಮ ಪರಿವರ್ತನ,രുദ്ധോഷ്മ പരിവര്തന,ருத்தோஷ்ம பரிவர்தந,రుద్ధోష్మ పరివర్తన,ردھوشم پرورتن,রুদ্ধষ্ম পরির্তন,ରୁଦ୍ଧୋଷ୍ମ ପରିବର୍ତନ,रुद्धोष्म परिवर्तन
Adiabatic Compression,रुद्धोष्म संपीडन,રુદ્ધોષ્મ સંપીડન,रुद्धोष्म संपीडन,ਰੁਦ੍ਧੋ਷੍ਮ ਸਂਪੀਡਨ,রুদ্ধোষ্ম সংপীডন,रुद्धोष्म संपीडन,ರುದ್ಧೋಷ್ಮ ಸಂಪೀಡನ,രുദ്ധോഷ്മ സംപീഡന,ருத்தோஷ்ம ஸங்பீடந,రుద్ధోష్మ సంపీడన,حرنا گزار دباؤ,রুদ্ধষ্ম সংপীডন,ରୁଦ୍ଧୋଷ୍ମ ସଂପୀଡନ,रुद्धोष्म संपीडन
Adiabatic fast passage,रुद्धोष्म तीव्र गमन,રુદ્ધોષ્મ તીવ્ર ગમન,रुद्धोष्म तीव्र गमन,ਰੁਦ੍ਧੋ਷੍ਮ ਤੀਵ੍ਰ ਗਮਨ,রুদ্ধোষ্ম তীব্র গমন,रुद्धोष्म तीव्र गमन,ರುದ್ಧೋಷ್ಮ ತೀವ್ರ ಗಮನ,രുദ്ധോഷ്മ തീവ്ര ഗമന,ருத்தோஷ்ம தீவ்ர கமந,రుద్ధోష్మ తీవ్ర గమన,ردھوشم تیور گمن,রুদ্ধষ্ম তী্র গমন,ରୁଦ୍ଧୋଷ୍ମ ତୀବ୍ର ଗମନ,रुद्धोष्म तीव्र गमन
Adiabatic invariance,रुद्धोष्म निश्चरता,રુદ્ધોષ્મ નિશ્ચરતા,रुद्धोष्म निश्चरता,ਰੁਦ੍ਧੋ਷੍ਮ ਨਿਸ਼੍ਚਰਤਾ,রুদ্ধোষ্ম নিশ্চরতা,रुद्धोष्म निश्चरता,ರುದ್ಧೋಷ್ಮ ನಿಶ್ಚರತಾ,രുദ്ധോഷ്മ നിശ്ചരതാ,ருத்தோஷ்ம நிச்சரதா,రుద్ధోష్మ నిశ్చరతా,ردھوشم نشچرتا,রুদ্ধষ্ম নিশ্চরতা,ରୁଦ୍ଧୋଷ୍ମ ନିଶ୍ଚରତା,रुद्धोष्म निश्चरता
Abiabatic invariant,रुद्धोष्म निश्चर,રુદ્ધોષ્મ નિશ્ચર,रुद्धोष्म निश्चर,ਰੁਦ੍ਧੋ਷੍ਮ ਨਿਸ਼੍ਚਰ,রুদ্ধোষ্ম নিশ্চর,रुद्धोष्म निश्चर,ರುದ್ಧೋಷ್ಮ ನಿಶ್ಚರ,രുദ്ധോഷ്മ നിശ്ചര,ருத்தோஷ்ம நிச்சர,రుద్ధోష్మ నిశ్చర,ردھوشم نشچر,রুদ্ধষ্ম নিশ্চর,ରୁଦ୍ଧୋଷ୍ମ ନିଶ୍ଚର,रुद्धोष्म निश्चर
Adiabatic motion,रुद्धोष्म गति,રુદ્ધોષ્મ ગતિ,रुद्धोष्म गति,ਰੁਦ੍ਧੋ਷੍ਮ ਗਤਿ,রুদ্ধোষ্ম গতি,रुद्धोष्म गति,ರುದ್ಧೋಷ್ಮ ಗತಿ,രുദ്ധോഷ്മ ഗതി,ருத்தோஷ்ம கதி,రుద్ధోష్మ గతి,ردھوشم گتی,রুদ্ধষ্ম গতি,ରୁଦ୍ଧୋଷ୍ମ ଗତି,रुद्धोष्म गति
Adiabatic phenomenon,रुद्धोष्म परिघटना,રુદ્ધોષ્મ પરિઘટના,रुद्धोष्म परिघटना,ਰੁਦ੍ਧੋ਷੍ਮ ਪਰਿਘਟਨਾ,রুদ্ধোষ্ম পরিঘটনা,रुद्धोष्म परिघटना,ರುದ್ಧೋಷ್ಮ ಪರಿಘಟನಾ,രുദ്ധോഷ്മ പരിഘടനാ,ருத்தோஷ்ம பரிகடநா,రుద్ధోష్మ పరిఘటనా,ردھوشم پرگھٹنا,রুদ্ধষ্ম পরিঘটনা,ରୁଦ୍ଧୋଷ୍ମ ପରିଘଟନା,रुद्धोष्म परिघटना
