English,Hindi
Apotheosis,उत्कर्ष
Apparitional aspect,आभासी पक्ष
Appellative,"जातिवाचक संज्ञा, सामान्य नाम"
Appellative,श्रोतृ-बोधक
Apperception,संप्रत्यक्ष
Application,मुख्यार्थ
Application,अनुप्रयोग
Applicative aspect,परस्मै पक्ष
Applied linguistics,अनुप्रयुक्त भाषाविज्ञान
Appoggio,"श्वास-विराम, अपोज्यो"
Apposition,समानाधिकरण
Appositional compound,समानाधिकरण कर्मधारय समास
Appositive,समानाधिकरणिक
Approach,उपागम;दृष्टिकोण
Appropriateness,औचित्य
Approximant(s),"अप्राक्सीमैंट, अभिगामी (स्वन)"
Approximative system,निकटगामी व्यवस्था
Apraxia,चेष्टा-अक्षमता
Apraxic,चेष्टा-अक्षम
A priori language,अनाश्रित कृत्रिम भाषा
Arbitrainess,यादृच्छिकता
Arbitrary,यादृच्छिक
Arbitrary connection,यादृच्छिक संबंध
Arbitrary sign,यादृच्छिक चिह्नन
Arbitrary symbol,"यादृच्छिक प्रतीक, यादृच्छिक संकेत"
Arc,चाप
Arch,चाप-चिह्न
Archaic,"पुरागत, आद्य"
Archaic,आर्ष
Archaism,पुरागत प्रयोग
Archetypation,आद्य प्ररूपण
Archetype,"आद्य प्ररूप, आर्किटाइप"
Archimorpheme,आर्कीरूपिम
Archiphoneme,आर्कीस्वनिम
Archi segment,आर्की खंड
Area,क्षेत्र
Areal linguistics,"क्षेत्रीय भाषाविज्ञान, भाषा-भूगोल"
Areal norm,क्षेत्रीय मान
Areography,क्षेत्रीय अध्ययन
Argot,गुट बोली;कूट बोली
Argument,युक्ति
Argument,समुद्धिष्ट संज्ञा पद
Argument,स्वतंत्र चर
Argumentation,वितर्कन
Arrangement,विन्यास
Arrangement of entries,प्रविष्टि विन्यास
Array,"सरणि, सरणी"
Arresting,अवरोधक
Arresting chest pulse,अवरोधक वक्ष-स्पंद
Arresting consonant,"अवरोधक व्यंजन, विरामक व्यंजन"
Arresting pulse,अवरोधक स्पंद
Arresting segment,अवरोधक खंड
Article,"उपपद, आर्टिकल"
Articulate,उच्चारण करना
Articulated sound,उच्चारित स्वन
Articulated speech,उच्चारित वाक्
Articulate sentence,सर्वाग वाक्य
Articulation,उच्चारण
Articulation handicap,उच्चारण अक्षमता
Articulation type,उच्चारण प्ररूप
Articulator,करण
Articulatory apraxia,उच्चारणात्मक गति-अक्षमता
Articulatory phonetics,उच्चारणात्मक स्वनविज्ञान
Articulatory process,उच्चारणात्मक प्रक्रिया
Articulatory region,"उच्चारण-क्षेत्र, उच्चारण-स्थान"
Artifact (=artefact),"कलाकृतति, मानवकृति"
Artificial intelligence,"कृत्रिम बुद्धि, कृत्रिम प्रज्ञान"
Artificial language,"कृत्रिम भाषा, कल्पित भाषा"
Artificial larynx,"कृत्रिम काकल, कृत्रिम स्वरयंत्र"
Artificial palate (=false palate),कृत्रिम तालु
Artificial segment,कृत्रिम स्वनिक खंड
Art object,कला वस्तु
Art symbol,कला प्रतीक
Aryanization,आर्यीकरण
Aryepiglottic fold,दर्वी कंठच्छद पुटक
Arytenoid,दर्वीकल्प
Arytenoid cartilage,दर्वीकल्प उपास्थि
Arytenoid muscle,दर्वीकल्प पेशी
Ascending pitch,आरोही स्वरागात
Ascending process,आरोही प्रक्रम
Aspect,पक्ष
Aspirate,महाप्राण
Aspirated,महाप्राण
Aspirated consonant,महाप्राण व्यंजन
Aspirated stop,महाप्राण स्पर्श
Aspiration,"महाप्राणत्व, महाप्राणता"
Aspiration component,महाप्रण घटक
Aspiration process,महाप्राण प्रक्रिया
Assertion,"निश्चयात्मक कथन, अभिकथन"
Asseveration,दृढ़ कथन
Assibilant,"स्पर्श-शर्, ऊष्मीकृत स्पर्श, स्पर्शोष्म"
Assibilation,"शर्करण, ऊष्मीकरण"
Assignment,"नियत कार्य, दत्त कार्य"
Assimilated phoneme,"समीभूत स्वनिम, समीकृत स्वनिम"
Assimilation,समीभवन;समीकरण
Assimilatory phoneme,समीकारक स्वनिम
Associational word,सहचारी शब्द
Association group,साहचर्य वर्ग
Association line,साहचर्य सूचक रेखा
Association theory,साहचर्य सिद्धांत
Associative etymology,सहचारी व्युत्पत्ति
Associative operation,साहचारी संक्रिया
Associative relation,सहचारी संबंध
Assonance,स्वरावृत्ति
Asterisk,"तारांक, ताराचिह्न"
Asterisk convention,तारांकन परिपाटी
Asyllabic,अनाक्षरिक
Asymmetric,असममित
Asymmetrical relation,असममित संबंध
Asymmetric predicate,असममित विधेय
Asymmetry,असममिति
Asynchronism,असहकालिकता
Asyndetic,"संयोजकहीन, अप्रकटान्वित"
Asyndetism,"संयोजकहीनता, अप्रकटान्वय"
Asyndeton,संयोजकहीन रचना
Asyntactic compound,वाक्यानुपयुक्त समास
Atelic aspect,अपूर्ण पत्र
Athematic,"अविकरण, विकरणहीन"
Athematic compound,अविकरण समास
Athematic formation,अविकरण रचना
Atom,परम
Atomic language,मूलज भाषा
Atomic phonology,मूलज स्वनिमविज्ञान
Atomic proposition,परम प्रतिज्ञप्ति
Atomic rule,मूलज नियम
Atomistic approach,व्यष्टिक उपागम
Atonic,"निराघात, आघातहीन"
Atonic form,निराघात रूप
Atonic form,संहित रूप
Attenuation,तनूकरण
Attested from,उपलब्ध रूप
Attitude measurement,अभिवृत्ति मापन
Attitudinal,अभिवृत्तिक
Attitudinal meaning,"अभिवृत्तिक अर्थ, अभिवृत्तिपरक अर्थ"
Attraction,अन्वयाकर्षण
Attraction of negatives,निषेधाकर्षण
Attribute,विशेषण. गुणवाचक
Attributive adjective,गुणवाचक विशेषण. विशेष्य विशेषण
Attributive compound,कर्मधारय समास
Attributive construction,सविशेषक रचना
Attributive root,"विशेषणात्मक धातु, गुणवाचक धातु"
Attributive term,गुणवाचक पद
Audibility threshold,श्रव्यता सीम
Audible segment,श्रव्य खंड
Audiogram,श्रव्यता आलेख
Audiology,श्रवणाविज्ञान
Audiometry,श्रव्यणविज्ञान
Audio-visual aid,दृश्य-श्रव्य साधन
Audio-visual method,दृश्य-श्रव्य प्रणाली
Audition,श्रवण
Auditory,श्रवणात्मक;श्रुतिग्राह्य
Auditory acoustic technique,श्रुतिग्राह्य ध्वनित प्रविधि
Auditory agnosia,श्रवण-असंबोधिता
Auditory acoustic technique,श्रुतिग्राह्य ध्वनिक प्रविधि
Auditory canal,श्रवण नाल
Auditory comprehension,श्रवण-बोध
Auditory discrimination,श्रवण भेदबोध
Auditory feedback,श्रवण प्रतिप्राप्ति
Auditory language,श्रव्य भाषा
Auditory memory,श्रवण स्मृति
Auditory nerve,श्रवण तंत्रिका
Auditory pattern,श्रवणात्मक अभिरचना
Auditory perception,श्रवण प्रत्यक्ष
Auditory phonetics,श्रवणात्मक स्वनविज्ञान
Augment,आगम
Augmentative,बृहद्वाचक
Augmentative suffix,वृहद्वाचक परप्रत्यय
Augmented transition network,"आगमेंटेड ट्रांज़ीशन नेटवर्क, संवर्धित संक्रमण जालतंत्र, संवर्धित संक्रमण नेटवर्क"
Augmenting system,संवर्धन व्यवस्था
Aural-oral method,श्रवण-उच्चारण प्रणाली
Aurical,बाह्य कार्ण;कर्णपालि
Autism,"स्वैर चिंतन, स्वलीनता"
Auto-correlation,स्वतः सहसंबंध
Automatic,"स्वाश्रित, स्वचल, स्वतः"
Automatic alternation,स्वाश्रित परिवर्तन
Automatic dictionary,स्वचल कोश
Automatic spreading,स्वतः विस्तारण
Automatic translator,स्वतः अनुवादित्र
Autonomous phoneme,स्वायत्त स्वनिम
Autonomous sound change,"निरुपाधिक स्वन-परिवर्तन, अनाश्रित स्वन- परिवर्तन"
Autonomous speech,"निरुपाधिक वाक्, स्वायत्त वाणी"
Autonomous syntax,स्वायत्त वाक्य-विन्यास;स्वायत्त वाक्यविचार
Autophony,आत्मस्वनता
Autopolyphony,आत्मबहुस्वनता
Autosegmental phonology,"स्वायत्तखंडी स्वनिमविज्ञान, स्वखंडीय स्वनिमविज्ञान"
Autosemantic rule,स्वतः शक्त आर्थी नियम
Autosemantic word,स्वतः शक्त शब्द;निरपेक्ष शब्द
Auxiliary,सहायक
Auxiliary language,सहायक भाषा
Auxiliary numeral,सहायक संख्यावाचक
Auxiliary sign system,सहायक संकेत व्यवस्था
Auxiliary verb,सहायक क्रिया
Axiom,अभिगृहीत
Axiomatic system,अभिगृहीतीय तंत्र
Axiomatic theory,अभिगृहीतीय सिद्धांत
Axis,अक्ष
Axon,"अक्षतंतु, तंत्रिकाक्ष, ऐक्साँन"
Azygos uvulae,अयुग्म काकलक
Babbling,बबलाना
Baby talk,बालालाप;शिशुशैली
Back,पश्च
Back formation,सादृश्यमूलक व्युत्पत्ति
Backgrounding,पश्च प्रस्तुति
Backing,पश्चावर्तन
Back looping,पश्च पाशन
Back of the tongue,जिह्वापश्च
Back stroke,पश्चाघात
Back tracking,पश्च अनुमार्गण
Back translation,"पश्च अनुवाद, उलट अनुवाद"
Backus normal form,बैकस सामान्य रूप
Back vowel,पश्च स्वर
Ballistic,प्राक्षेपिक
Band,"पट्टी, बैंड"
Band width,"बैंड की चौड़ाई, बैंड विस्तार"
Baptism (in language),संस्कार
Bar,रेखा
Barbarism,विच्युति
Baritone,"मध्यम तान, मध्यम सुर"
Bar projection,रेखा प्रक्षेपण
Barred,रेखित
Barrier,"रोक, अवरोध"
Barytone,"मध्यम तान, मध्यम सुर"
Base,"प्रकृति, अंग"
Base,प्रातिपदिक
Base,आधार रूप
Base componant,आधार घटक
Base form,आधार रूप
Base rule,आधार नियम
Base structure,आधार संरचना
Basic alternant,"आधारी परिवर्त, आधारी विकल्प"
Basic sentence (type),आधार-वाक्य (प्ररूप)
Basic term,मूल पद
Basilar membrane,"आधार कला, आधार झिल्ली"
Basilect,"तल भाषिका, आधार भाषिका"
Bass (base),"मंद्र स्वर, बास"
Bathos,अवपात
Beat rule,ताल नियम
Beat stroke,विस्पंदाघात
Behavioural neurologist,व्यवहार तंत्रिका भाषाविज्ञानी
Behaviourism,व्यवहारवाद
Behaviourist -empiricist approach,व्यवहारवादी अनुभववादी उपागम
Belief,धारण
Benefactive aspect,परस्मै पक्ष
Benefactive case,हितलाभी कर्ता
Beta-phonetics,बीटा-स्वनविज्ञान
Beta segment,बीटा खंड
Beta sound,बीटा स्वन
Biconditional,द्वि-प्रतिबंध
BICS (=Basic Interpersonal Communicative Skills),आधारभूत अंतर्वैयाक्तिक सप्रेषण कौशल
Bicuspid teeth,द्वि-अग्री दंत
Bidental,द्विदंती
Bidialectal,द्विबोली भाषी
Bidirectional arrow,द्विदिश योजक
Bijection,एकैक आच्छादन
Bilabial,"उभयोष्ठ्य, द्वि-ओष्ठ्य"
Bilabial spirant,"उभयोष्ठ्य घर्षी, उभयोष्ठ्य संघर्षी"
Bilabial stop,उभयोष्ठ्य स्वर्श
Bilabio-dental,द्वि-ओष्ठ्य-दंत्य
Bilateral,"द्विविध, द्विपक्षीय"
