English,Hindi
Bench mark,निदेश तलचिह्न
Benefit cost analysis,हितलाभ लागत विश्लेषण
Berm,उपतट
Bevelled closure,ढालू डेली
"B-horizon,""B-",संस्तर/B-होराइजन
Biat,बीएट
Binder,बंधक
Binding material,बंधक पदार्थ
Biot's theory,बायोट का सिद्धांत
Bitumen,बीटूमन
Black cotton soil,काली मृदा
Black earth ,काली मिट्टी
Black turf soil,काली शाब्दल मृदा
Blade,फलक
Blast furnace slag cement,वात्या भट्टी धातुमल सीमेंट
Blocky structure,खंडीय संरचना
Bogie resistance,बोगी संचलन प्रतिरोध
Bog-iron ore,दलदल लोह खनित्र
Bond,चाल (चिनाई की)
Bonded member,बद्ध अवयव
Bonded post tensioning,बद्ध प्रत्ययित तनन
Bond stone,बंधक पत्थर
Bound water,बद्ध जल
Box gutter,पेटिकाकार नाली
Brace,बंधनी
Brick-on-edge,खड़ी ईंट
Bridle,ब्राइडल
Brightness,द्युति
Brown soil,भूरी मृदा
Building,भवन
Building surveyor,भवन सर्वेक्षक
Buffer,बफर (रोधक)
Buffer curve,रोधनवक या अनुपामन वक
Buffering,रोधन
Buffering capacity,रोधन क्षमता
Bunder,बन्दर
Buttress,पुश्ता
C-horizon,c-संस्तर/c-होराइजन
Cable,तार/केबल
Cable moulding,तारगढ़ाई
Cabling,केबिल तंत्र
Cabin,केबिन
Cabin hook,केबिन अंकुश
Cabinet,मंजूषा
Cabolt's quit,ध्वनि शोषण चादर
Cafeteria,कैफेटेरिया
Cage,पिंजरा
Cage construction,पिंजरानुमा निर्माण
Cain's formula,केनसूत्र
Caisson,कैसन (या कॉफर)
Caisson disease,कैसन रोग
Caisson foundation,केसन नींव
Caisson pile,कैसन पाइल
Calcareous brick,चूनेदार ईंट
Calcareous clay,चूनेदार मिट्टी
Calcareous crust,चूनेदार पपड़ी
Calcification,केल्सीकरण
Calcination,निस्तापन
Calcine ,कैलसाइन
Calcite,कैल्साइट
Calcium-aluminate cement,कैल्शियम एल्यूमिनेट सीमेंट
Calcium-silicate brick,कैल्शियम सिलीकेट ईंट
Calcium-silicate hydrate,कैल्शियम सिलिकेट हाईड्रेट
Caliche,कालीचे
California bearing ratio,कैलिफोर्निया असर अनुपात
Caliper,केलिपर
Calorimeter,कैलोरीमीटर
Camber,न्युब्ज़ता/कैम्बर
Canal,नहर
Canopy,कैनॉपी
Cantilever footing,बहुधारन पद
Cap,टोपी
Capacity,धारिता
Capacity of ail track,रेल पथ क्षमता
Cap cable,टोपी कंडरा
Capillarity,केशिकत्व
Capillary break,केशिका विच्छेद
Capillary flow,केशिका प्रवाह
Capillary moisture or capillary water,केशिका आर्द्रता या केशिका जल
Capillary pore space,केशिका रंध्र अवकाश
Capillary porosity,केशिका रंध्रता
Capillary space,केशिका अवकाश
Capture velocity,प्रग्रहण वेग
Carbonation,कार्बोनेशन
Carbon black,कार्बन काजल
Castble refractory,ढलने योग्य उच्च तापसह
Cast-in-place or cast-in-situ,स्वस्थान ढली
Cast-in-place pile,यथास्थान बनाई पाइल
Castor,कैस्टर
Cast stone,ढला पत्थर
Catalyst,उत्प्रेरक
Catena,मृदा श्रृंखला
Cat face,विडाल मुख
Cat head,कैट हैड
Cation,धनायन
Cat walk,कैट बॉक
Cavitation damage,कोटरन क्षति
Celite,सेलाइट
Cellular concrete,कोशिकीय कंक्रीट
Cellular construction,कोशिकीय निर्माण
Cement,सीमेंट
"Cement, bituminous",बिटुमनी सीमेंट
"Cement, high strength",शीघ्र सामर्थ्य सीमेंट
"Cement, hydraulic",जलीय सीमेंट
"Cement, low heat",न्यून ऊष्मा सीमेंट
"Cement, masonary",चिनाई सीमेंट
"Cement, natural",प्राकृतिक सीमेंट
"Cement, portland",पोर्टलैंड सीमेंट
"Cement, portland blast furnace slag",पोर्टलैंड वात्या-भट्टी धातुमल सीमेंट
"Cement, portland pozzolan",पोर्टलैंड पोजोलॉन सीमेंट
"Cement, slag",सीमेंट धातुमल
"Cement, sulphate resistant",सल्फेट प्रतिरोधी सीमेंट
"Cement, super sulphated",सुपरसल्फेटेड सीमेंट
"Cement, white",श्वेत सीमेंट
Cement-aggregate ratio,सीमेंट मिलावा अनुपात
Cement content,सीमेंट अंश
Cement gel,सेमेंट जेल
Cement gun,सीमेंट गन
Cement kiln,सीमेंट भट्टी
Cement paint,सीमेंट प्रलेप
Cement plaster,सीमेंट प्लास्टर
Cement rock,सीमेंट शैल
Cement slurry,सीमेंट घोल
Cement storage,सीमेंट भंडारण
Cementation process,सीमेंटीकरण प्रक्रम
Centering,ढूला
Centering and shuttering,ढूला बनाना
Central mixed concrete,केन्द्रीय मिश्रित कंक्रीट
Central mixer,केन्द्रीय मिश्रक
Centrifugal fan,अपकेन्द्री पंखा
Chalk,खड़िया
Chamfer,शैम्फर
Chamfer strip,निष्कोणन पत्ती
Channel beam,चैनल धरन
Characteristic load,अभिलाक्षणिक भार
Characteristic strength,अभिलाक्षणिक सामर्थ्य
Charge off,शुल्क माफी
Charging,भरण
Checking,तरेड़न
Chemical bond,रासायनिक आबंध
Chernozem,चर्नोजेम
Chestnut soil,चैस्टनट मृदा
Chimney gutter,धुआरा पनाली
Chip board,अपखण्ड फलक
Chipping,छीलना
Chips,दाना
Chute,ढलवा नाली
Class (of concrete),श्रेणी (कंक्रीट की)
Clay,मृत्तिका
Clay content,मृत्तिका अंश
Clay pan,मृत्तिका दृढ़ पटल
Cleanout,सफाई द्वार
Clean up,निर्वात सुधार
Cleat,गुटका
Clinker,क्लिंकर
Clip,क्लिप
Coagulation,स्कंदन
Coarse aggregate,स्थूल समुच्चय/मोटा मिलावा
Coarse grained soil,स्थूल कणीय मृदा
Coat,कोट
Coffer dam,कॉफर बाँध
Cohesion,ससंजन
Colloid,कोलाइड
Colloidal moisture equivalent ratio,कोलाइडी-आर्द्रता तुल्यांक अनुपात
Colloidal system,कोलाइडी प्रणाली या कोलाइडी सम्मिश्रण
Colluvial soil,मिश्रोढ़ मृदा
Column,स्तम्भ/टेक/संपीडांग
Combed finish,कंकतित परिष्कृति
Combined footing,संयुक्त पाद
Combined water,संयुक्त जल
Common room,सामान्य कक्ष
Completion certificate,पूर्णावस्था प्रमाण पत्र
Component square,अंग वर्ग
Concrete,कंक्रीट
Concretion,कंकड़ स्तरन
Consolidated rate/flat rate,समेकित दर या एक समान दर
Contaminants,दूषणकारक
Cooking alcove,खाना रखने स्थान
Coping,मुंडेर/कोपिंग
Corbel,टोड़ा
Cornice,कॉनिस
Coupler,युग्मक
"Coupler, double",द्वि-युग्मक
"Coupler, putlog",कड़ी युग्मक
"Coupler, swivel",भ्रामी युग्मक
Course,रद्दा
Coursed random rubble masonry,बेतरतीब रद्देदार ढोका चिनाई
Covered area,आच्छादित क्षत्र
Creep,विसर्पण
Creep coefficient,विसर्पण गुणांक
Crotovine,क्रोटोवाइन
Crow foot,काक पाद
Crumb structure,आचूर्ण संरचना
Curb,कर्ब
Current,धारा
Curve resistance,वक्र-प्रतिरोध (रेल)
Damp proof course,आर्द्रतारोधी स्तर
Date of completion,पूर्ण होने की तिथि
Dead load,अचल भार
Dead water,धीर जल
Decibel,डेसीबल
Deflocculation,अनूर्पान
Degree of aeration or air space ratio,वातन कोटि या वायु अवकाश अनुपात
Degree of aggregation,समुच्चयन कोटि
Degree of dispersion,प्रकीर्णन कोटि
Degree of saturation,संतृप्ति कोटि
Density,घनता (आवासीय)
Desert pavement,भरू कुट्टिम
Desert soil,मरू मृदा
Details,विस्तृत विवरण
Development period,विकास अवधि
D-horizon,Dसंस्तर/Dहोराइजन
Diagonal bond,विकर्ण चाल
Diagram,आरेख
Digital dock,आंगुलिक गोदी
Differential water rate,अन्तरात्मक जल दर
Dilution ventilation,तनुता संवातन
Diluvium,पूरोढक
Dining room,भोजन कक्ष
Direction peg,दिशा निर्धारक खूँटी
Dispersion,प्रकीर्णन
Distemper,डिस्टेम्पर
Dock,गोदी
Door,1. द्वार 2. कपाट
Dormer,छत वातायन
Dormer check,छत वातायन पृष्ठ
Double flemish bond,दोहरी फ्लेमिश चाल
Double layer,दोहरी परत
Dowel,गुज्झी
Drawing board,आरेखन पट्ट/ड्राइंग बोर्ड
Drawing room,बैठक
Drift,1. प्रक्षेप 2. ड्रिफ्ट 3. गुल्ली
Dry bulb temperature,शुष्क बल्ब तापक्रम
Dry dock,शुष्क गोदी
Dry rubber masonry,शुष्क ढोका चिनाई
Dutch bond,डच चाल
Dwarf wall,बौनी दीवार
Dwelling unit,आवासीय यूनिट
Eave,ओलती
Eaves gutter,ओलती नाली
Economic feasibility,आर्थिक संभाव्यता या आर्थिक औचित्य समर्थन
Ectodynamorphic soil,एक्टोडाइनेमोर्फिक मृदा
Eddy,भँवर
Effective size,कण का प्रभावी आमाप
Efflorescence,उत्फुल्लन
Effluent,सहायक सरित
Elevation,उद्विक्षेप
Eluviation,अवक्षालन
Eluvium,अवक्षाल
Endodynamorphic soil,अंतर्गतिज मृदा
Engineering feasibility,इंजीनियरी संभाव्यता
English bond,इंग्लिश चाल
English garden wall bond,इंग्लिश गार्डन वाल चाल
"E.P.M. (equivalent per million),""",ईं.पी.एम. (प्रतिमिलियन तुल्य)
Equivalent weight,समतुल्य भार
Erg,अर्ग
Exchangeable,विनिमययोग्य
Exchangeable acidity,विनिमेय अम्लता
Exchangeable sodium percentage (ESP),विनिमेय सोडियम प्रतिशतता
E. S P.,धनायन विनिमय क्षमता
Exchange acidity,विनिमय अम्लता
Exchange complex,विनिमय सम्मिश्र
Exhaust,निर्वात/रेचन
Exposed finish,अनावरित परिष्कृति
Eye,गवाक्ष
Eye brow,आई ब्रो
Facing,मोहरा/अग्रभाग
Facing bond,पार्श्व चाल
Factor of safety,सुरक्षा गुणांक
Fall,प्रवणता
Facia,मुख पट्टी
Facia board,मुख पट्टी बोर्ड
Fault,भ्रंश
Field moisture,क्षेत्रीय नमी
Final moisture equivalent,क्षेत्रीय आर्द्रता तुल्यांक
Fillet (of mortar),मसाले की चपती/फिलेट
Finial,कलश
Final measurement,अंतिम मापन
Final paymentq,अंतिम भुगतान
Final pre stress,अंतिम पूर्व प्रतिबल
Final tension,अंतिम तनाव
Financial feasibility,वित्तीय संभाव्यता
Fine aggregate,महीन समुच्चय/बारीक मिलावा
Fissured rock,विदीर्ण शैल
Flag stone,पटिया पत्थर
Flemish bond,फ्लेमिश चाल
Flashing,फ्लैशिंग/जल रोधी झिल्ली
Flashy stream,सद्योवेगी सरिता
Flat roof,सपाट छत
Fleche,फलीके
Flemish garden wall bond,फ्लेमिश गार्डन वाल चाल
Flint,चकमक प्रस्तर
Flint wall,फ्लिंट दीवार
Floating floor,प्लवमान फर्श
Flocculation,उर्णन
Flocculation limit,ऊर्णन सीमा
Flocculation ratio,ऊर्णन अनुपात
Floccules,ऊर्णिका
Floor,फर्श
Floor seal,फर्शरुद्धक/फर्श सील
Flow,प्रवाह
Fluctuation,उच्चावचन
Footing,पाद
Foundation,नींव
Free fall barrow topping mixer,मुक्त प्रपात बैरो उद्वर्ती मिश्रक
Free fall mixer (drum type),मुक्त प्रपात मिश्रक (ढोल के आकार का)
Free stone,मुक्त पत्थर
Freshet,नदीपूर
Friction pile,घर्षण पाइल
Frog,किश्ती/फॉग
Gable,त्रयंकी
Gablet,लघु त्रयंकी
Gambrel roof,गैमबरेल छत
Gauge,गेज (रेल पथ)
Gauging section,प्रमापन परिच्छेद
Gauging station,प्रमापन स्थल
General location plan,सामान्य अवस्थापन अनुविक्षेप
General ventilation,सामान्य संवातन
G horizon or gley horizon,संस्तर या ग्ले संस्तर
Glacial till,हिमगोलाश्म मृत्तिका
Gneiss,नाइस
Goods yard,माल यार्ड
Gradient resistance,प्रवणता प्रतिरोध
Granite,ग्रेनाइट
Granular structure,दानेदार संरचना
Granulation,कणनन
Granule,दाना
Gravitational water free water,गृरूत्व जल या मुक्त जल
Gravitational yard,मार्शलिंग गुरुत्वीय यार्ड
Great soil group,बृहत् मृदा समूह
Grillage foundation,झंझरी/ग्रिलेज नींव
Ground hand moulding,भूहस्त पथाई
Grouped dock,समूहित गोदी
Group housing,सामूहिक आवासन
Guest room,अतिथि कक्ष
Gutter,नाली
Gutter bearer,नाली धारक
Gutter check,नाली रोधक
Hammer dressing,हथौड़ा गढ़ाई
Harbour,पोताश्रय
Harbour of refuge,आश्रय देने वाले पोताश्रय
Hard pan,कठोर तल
Header,तोड़ा/हैडर
Header bond,तोड़ा/हैडर चाल
Header course,तोड़ा रद्दा
Head gate structure,मुख फाटक संरचना
Head of canal,नहर का शीर्ष
Head regulator,मुख नियंत्रक
Herring bone bond,लहरिया चाल
Hearting,भरत
Heat of wetting,सिक्तन उष्मा
High alumina cement,अक्षि-एल्यूमिना सीमेन्ट
Hip,पुट्ठा
Hip capping,पुट्ठा मुंडेरी
Hipped end,कूट सिरा
Hood,छत्रक
Hood moulding,गढ़ा छत्रक
Hook's law,हुक का नियम
Hoop iron,पत्ती लोहा
Horizon,संस्तर/होराइजन
Humidification,आद्रीकरण
"Humidity, absolute",निरपेक्ष आद्रता
"Humidity, relative",आपेक्षिक आद्रता
Hump yard,हम्प यार्ड
Hydraulic pressure,द्रवचालित दाब
Hydration,जलयोजन
Hydrolysis,जल अपघटन
Hydrolytic acidity,चल अपघटनी अम्लता
Hydromorphic soil,जलकृत मृदा
Hydrophilic colloid,जलरागी कोलाइड
Hydrophobic colloid,जलविरागी कोलाइड
Hydrostatic pressure ratio,स्थिरद्रवीय दाब अनुपात
Hygroscaptic coefficient,आद्रताग्रही गुणांक
Hygroscopic moisture,आद्रताग्राही नमी
Hydroscopicity,आर्द्रताग्राहिता
Hygroscopic moisture,आर्द्रताग्राही नमी
Hyperbaric chamber,हाईपरबैरिक कक्ष
Hyperstatic frame,अपेक्षाधिक ढाँचा
Hypsometer,जलक्वथनांकमापी
Illumination,प्रदीप्ति
Imbibation moisture,अंतःशोषणी आर्द्रता
Immature soil,अपूर्ण परिणत मृदा
Impounded dock,अवरुद्ध गोदी
Increment of land revenue,भू आय वृद्धि
Independent scaffold,स्वतंत्र पाड़
Indurated,कठोरीकृत
Initial prestress,प्रारम्भिक पूर्व प्रतिबल
Initial tension,प्रारम्भिक तनाव
Inland waterway port,अन्तर्देशी जलमार्ग पत्तन
Insulating board,विसंवाहन पट्ट
Intermediate port,मध्यवर्ती पत्तन
Internal friction,आन्तरिक धर्षण
Intrazonal soil,अंतः क्षेत्रीय मृदा
Ion,आयन
Ion exchange,आयन विनिमय
Iron pan,लोह स्तर
Irrigated land,सिंचित भूमि
Irrigation,सिंचाई
Irrigation cess,सिंचाई उपकर
Jamb,पाखा
Joggle,गुज्झी
Joggle pin,संधि पिन
Joule,जूल
Jumper,जम्पर
Kilogram,किलोग्राम
Kilogram force,किलोग्राम बल
Kilogram force meter,किलोग्राम बल मीटर
Kilowatt hour,किलोवाट घण्टा
King closure,नर डेली/किंग क्लोजर
Kitchen,रसोई
Laced column,लेसित स्तम्भ
Lagging,वेष्ठन
Lamella root,लमेला छत
Laminar flow,स्तरीय प्रवाह
Lamp hole,दीपछिद्र
Land accretion,भूमि अभिवृद्धि
Land sliding,भूस्खलन
Laterite,लैटेराइट
Laterite soil,लैटेराइट मृदा या लैटोसॉल
Law of large numbers,बृहत संख्या सिद्धांत
Layout plan,अभिन्यास अनुविक्षप
Ledger,पाड़-बेड़ा
Lime pan,चूना तल
Lintel,लिंटल
Liquid limit,द्रव सीमा
Live load,चल भार
Loam,टुमट
Local exhaust ventilation,स्थानीय निर्वात संवातन
Loco yard,लोको यार्ड
Loess,लोएस
Lower plastic limit,निम्न सुघट्यता सीमा
Low heat cement,अल्प ऊष्मा सीमेंट
Machine moulding,यांत्रिक पथाई
Macrostructure,स्थूल संरचना
Main head regulator,प्रमुख शीर्ष नियंत्रक
Main port,मुख्य पत्तन
Makeup air,पुनःपूर्तिवायु
Mansard,मैनसई
Marshalling yard,मार्शलिंग यार्ड
Masonry,चिनाई
Maturing temperature,परिपाक तापक्रम
Mezzanine floor,मध्य तल
Mechanical analysis,यांत्रिक विश्लेषण
Mechanical ventilation,यांत्रिक संवातन
Metric system,मीटरी पद्धति
Microstructure,सूक्ष्म संरचना
Milli equivalent,मिली तुल्यांक
Milli equivalent per litre,मिली तुल्यांक प्रति लीटर
Mineral,खनिज
Mineral soil,खनिज मृदा
Minor port,लघु पत्तन
Mitred closure,कलमी डेली
Mobile soil colloid,जल मृदा कोलाइड
Moisture content,आर्द्रतांश
Moisture gradient,आर्द्रता प्रवणता
Monolith,मोनोलिथ/एकाश्म
Monorail,मोनोरेल
National harbour council,राष्ट्रीय पोताश्रय परिषद
Natural bed,प्राकृतिक तल
Natural finish,प्राकृतिक परिष्कृति
Natural harbour,प्राकृतिक पोताश्रय
Natural ventilation,प्राकृतिक संवातन
Naval harbour,जल सेना पोताश्रय
Newton,न्यूटन
Non uniform flow,असम प्रवाह
Occupies water rate,उपभोक्ता जल दर
Oil paint,तेल रंगलेप
Oil well cement,तेल कूप सीमेंट
Open channel flow,मुक्त पृष्ठ वाहिका प्रवाह
Optimum moisture,अनुकूलतम आर्द्रता
Organic soil,जैव मृदा
Orientation,अभिविन्यास
Orthogonal,लाम्बिक
Ortstein,ओर्टस्टीन
Outer signal,बाह्य सिगनल
Oxidation,ऑक्सीकरण
Pantry,रसोई भण्डार
Parapet,मुंडेेर
Parapet wall,मुंडेर दीवार
Parent material,मूल सामग्री
Pebble cast plaster,बजरी प्लास्टर
Pedalfer,पेडल्फर
Pedocal,पेडोकल
Pedogenesis,मृदा उत्पत्ति
Pedology,मृदा रचना विज्ञान
Pedosphere,मृदा मंडल
Penetrometer,वेधनमापी
Pent roof,छज्जा छत
Peptizing agent,पाचक कर्मक
Period of analysis,विश्लेषण अवधि
Perpend,खड़ा जोड़
Persorption,आशोषण
Pier,प्रस्तम्भ
Pilaster,भित्ति स्तम्भ
Pitch,ढाल/प्रवणता
Pitched roof,ढालू छत
Plain concrete,अप्रबलित कंक्रीट
Plane angle,समतल कोण
Plain yard,समतल यार्ड
Plansol,प्लानसॉल
Plastic consistency,सुघट्यता संसक्ति
Plasticity,पराप्रत्यास्थता
Plasticity index,सुघट्यता सूचकांक
Plasticity limit,सुघट्यता सीमा
Plasticity range,सुघट्यता पिरसर
Platy structure,पटली संरचना
Plinth,कुरसी
Plough soil,हल मृदा
Plum stone,प्लम पत्थर
Podzole,पाडजोल
Pointing,टीप
Polygonal wall,बहुकोणी दीवार
Pore space,रंध्र अवकाश
Port,पत्तन
Positive ventilation,प्रभावी संवातन
Prairie soil,प्रशाद्वल मृदा
Precision,परिशुद्धता
Primary particle,प्राथमिक कण
Prismatic structure,प्रिज्मीय संरचना
Productive work,उत्पादक कार्य
Project justification,परियोजना औचित्य समर्थन
Protective work,संरक्षक कार्य
Pseudo-mycelium,आभासी माइसीलियम
Puddle,पडल
Pugging,रौंदना
Pumice,झाँवा
Puncheon,थूनी
Puppet,पपेट
Putlog,कड़ी
Putlog scaffold,धारण पल्लियों का पाड़
Quantity surveyor,मात्रा सर्वेक्षक
Quarry sap,खदान रस
Quay,भित्ति घाट
Queen closure,मादा डेली/क्वीन क्लोजर
Quoin,कोनिया
Raft foundation,रैफ्ट बेड़ा नींव
Raker,तिरछी टेक
Raking,रेकिंग
Raking bond,तिरछी चाल
Raking flashing,नति जलरोधी झिल्ली
Rapidly varying flow,द्रुत परिवर्ती प्रवाह
Recoverable payment,वसूलीयोग्य भुगतान
Red earth,लाल मिट्टी
Red loam,लाल दुमट
Regulator,नियंत्रक/रेगुलेटर
Regur or black cotton soil,रेगर या काली कपासी मृदा
Repayment contract,वापस भुगतान ठेका
Residual shrinkage,अवशिष्ट संकुचन
Residual soil,अवशिष्ट मृदा
Reveal,बाह्य पक्ष
Reveal pin,बाह्य पक्ष पिन
Reveal tie,बाह्य पक्ष बंधक
Ridge,कूट
Ridge capping,कूट मुंडेरी
River,नदी
Road stead,पोताश्रेय द्रोणों
Rough plaster,दानेदार प्लास्टर
Rubble,ढोंका
Rubble masonry,ढोका चिनाई
Rubble walling,ढोंका भित्ति
Running measurement,चालू मापन या मध्यवर्ती मापन
Safe bearing capacity,सुरक्षी धारण क्षमता/अनुमेय धारण क्षमता
Salt glaze,लवण परिष्कृति
Sample size,प्रतिदर्श आमाप
Sampling distribution,प्रतिचयन वितरण
Sampling error,प्रतिचयन त्रुटि
Sand,बाल
Sand finish,बलुई परिष्कृति
Sand hand moulding,रेत हस्त पथाई
Sanding,बालू घर्षण
Saturated soil,संतृप्त मृदा
Saturated soil paste,संतृप्त मृदा लेई
Saturation extract,संतृप्ति निष्कर्षण
Saturation percentage,संतृप्ति प्रतिशतता
Saucer dome,शराविका गुम्मद
Scaffold,पाड़
Schist,शिस्ट
Sea port,समुद्री अथवा महासागरीय पत्तन
Secret gutter,गुप्त वाहिका
Second,सेकन्ड
Sedimentation analysis,सादन विश्लेषण
Semi-artificial harbour,सामि कृत्रिम पोताश्रय
Semi tidal dock,अर्द्ध-ज्वारीय गोदी
Senile,जरावस्था
Shale,शेल
Sheet pile,चादरी पाइल
Shrinkage limit,संकुचन सीमा
Shuttering,तख्ताबन्दी
Siallitic soil,सियालिटिक मृदा
Sierozem,सीरोजेम
Sill,देहली या सिल
Silt,साद
Single flemish blood,इकहरी फ्लेमिश चाल
Single grained structure,एकल कणीय संरचना
Skeletal soil,अधकचरी मृदा
Skirting,अंचल
Sleeper wall,आधार भित्तियाँ
Side gutter,सर्पी वाहिका
Slide rule,परिकलन पट्टिका
Slip dock,सर्पण गोदी
Smoniza,स्मोनिटजा
Soaking,समतापकरण
Soil association,मृदा समवाय
Soil class,मृदा वर्ग
Soil complex,मृदा सम्मिश्र
Soil consistency,मृदा संसक्ति
Soil family,मृदा परिवार
Soil frame work,मृदा सार
Soil moisture,मृदा नमी
Soil moisture accretion,मृदा नमी अभिवृद्धि
Soil moisture deficit,मृदा नयी न्यूनता
Soil morphology,मृदाकारिकी
Soil particle,मृदा कण
Soil phase,मृदा प्रावस्था
Soil profile,मृदा परिच्छेदिका
Soil reaction,मृदा अभिक्रिया
Soil separates,मृदा कणवर्ग
Soil series,मृदा श्रेणी
Soil solution,मृदा घोल
Soil structure,मृदा संरचना
Soil texture,मृदा गठन
Soil type,मृदा प्रकार
Solum,सोलम
Sorption,शोषण
Spalls,कत्तर
Specific ion effect,विशिष्ट आयन प्रभाव
Squared coursed rubble masonry,चौकोर रद्देदार ढोका चिनाई
Squared regular coursed rubble masonry,नियमित चौकोर रद्देदार ढोका चिनाई
Steady flow,अपरिवर्ती प्रवाह
Stepped flashing,सोपानी जलरोधी झिल्ली
Stickiness,चिपचिपापन
Sticking point,चिपकन बिंदु
Stone,पत्थर
Slop hand moulding,गीली हस्थ पथाई
Strap hinge,पट्टक कब्जा
Straw board,गत्ता
Stream,सरिता
Stress,प्रतिबल
Stretcher,पट्टी/स्ट्रैचर
Stretcher bond,पट्टी/स्ट्रैचर चाल
Stretcher course,पट्टी रद्दा
String,स्ट्रिंग
String course,किंगरी रद्दा
Structure factor,संरचना गुणांक
Structure index,संरचना सूचक अंक
Stucco,स्टुको
Stud,स्टड
Stylobate,आधार पीठ
Sub soil,अवमृदा
Sub structure,अधः रचना
Summation curve,संकलन वक्र
Sun mica,सनमाइका
Super structure,अधिरचना/ऊपरी ढाँचा
Surveyor,सर्वेक्षक
S-value,S-मान
Swag,प्रठप्पा
Swan neck,हंस ग्रीवा
Tabernacle,मंडप
Table hand moulding,मेज हस्त पथाई
Tanking,टैंकन
Tempietto,टैम्पीटो
Tempering,मृदुकरण
Template,टैमप्लेट
Template,आकार पट्ट
Tepidarium,टेपीडेरियम
Terracotta,टैराकोटा
Terra rosa,टैरारोसा
Terrazzo,टैराजो
Tetra style,चतुरभिकल्पना
Threshold limit value,प्रभाव सीमा मान
Throat,कंठ
Through stone,धुर पत्थर
Tidal basin,ज्वारीय बेसिन
Tie bar,तान छड़
Tie beam,बंधन धरन
Tie rod,तान दंड
Tirs,टिर्स
Tolerance,उपेक्ष्य त्रुटि
Toothing,दाढ़ा
Top soil or surface soil,पृष्ठ मृदा या ऊपरी मृदा
Total porosity,कुल सरंध्रता
Tracery,अलंकरण
Train resistance,ट्रेन प्रतिरोध
Transept,ट्रानसैप्ट
Transitional soil,संक्रमणीय मृदा
Transom,अनुप्रस्थिका
Transport soil,परिवाहित मृदा
Tributary,उप नदी
Triforium,गलियारा
Triglyph,ट्रिगलिफ
Truncated soil,रुंड मृदा
Turbulent flow,विक्षुब्ध प्रवाह
Turret,टर्रेट
Tympar num,डाट की भराई
Ultimate bearing capacity,अंतिम धारण क्षमता
Ultimate ph,अंतिम ph
Uncoursed random rubble masonry,बेतरतीब बेरद्दा ढोंका चिनाई
