English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Affluent,सहायक नदी,સહાયક નદી,सहायक नदी,ਸਹਾਯਕ ਨਦੀ,সহাযক নদী,सहायक नदी,ಸಮೃದ್ದ,സഹായക നദീ,ஸஹாயக நதீ,సహాయక నదీ,سہایک ندی,সহাযক নদী,ସହାଯକ ନଦୀ,सहायक नदी
Afflux,"ऊर्ध्व प्रवाह उन्नयन, ऊर्ध्व-अधोप्रवाह अंतर","ઊર્ધ્વ પ્રવાહ ઉન્નયન, ઊર્ધ્વ-અધોપ્રવાહ અંતર","ऊर्ध्व प्रवाह उन्नयन, ऊर्ध्व-अधोप्रवाह अंतर","ਊਰ੍ਧ੍ਵ ਪ੍ਰਵਾਹ ਉਨ੍ਨਯਨ, ਊਰ੍ਧ੍ਵ-ਅਧੋਪ੍ਰਵਾਹ ਅਂਤਰ","ঊর্ধ্ব প্রবাহ উন্নযন, ঊর্ধ্ব-অধোপ্রবাহ অংতর","ऊर्ध्व प्रवाह उन्नयन, ऊर्ध्व-अधोप्रवाह अंतर",ತುಂಬಿ ಹರಿಯುವುದು,"ഊര്ധ്വ പ്രവാഹ ഉന്നയന, ഊര്ധ്വ-അധോപ്രവാഹ അംതര","ஊர்த்வ ப்ரவாஹ உந்நயந, ஊர்த்வ-அதோப்ரவாஹ அங்தர","ఊర్ధ్వ ప్రవాహ ఉన్నయన, ఊర్ధ్వ-అధోప్రవాహ అంతర",اوردھو پرواہ انین، اوردھو-ادھوپرواہ انتر,"ঊর্ধ্ প্রাহ উন্নযন, ঊর্ধ্-অধপ্রাহ অংতর","ଊର୍ଧ୍ବ ପ୍ରବାହ ଉନ୍ନଯନ, ଊର୍ଧ୍ବ-ଅଧୋପ୍ରବାହ ଅଂତର","ऊर्ध्व प्रवाह उन्नयन, ऊर्ध्व-अधोप्रवाह अंतर"
After damp,खनिविस्फोटज गैस,ખનિવિસ્ફોટજ ગૈસ,खनिविस्फोटज गैस,ਖਨਿਵਿਸ੍ਫੋਟਜ ਗੈਸ,খনিবিস্ফোটজ গৈস,खनिविस्फोटज गैस,ಖನಿವಿಸ್ಫೋಟಜ ಗೈಸ,ഖനിവിസ്ഫോടജ ഗൈസ,கநிவிஸ்போடஜ கைஸ,ఖనివిస్ఫోటజ గైస,کھنوسفوٹج گیس,খনিিস্ফটজ গৈস,ଖନିବିସ୍ଫୋଟଜ ଗୈସ,खनिविस्फोटज गैस
Agricultural geology (agrogeology),कृषि भूविज्ञान,કૃષિ ભૂવિજ્ઞાન,कृषि भूविज्ञान,ਕ੃਷ਿ ਭੂਵਿਜ੍ਞਾਨ,কৃষি ভূবিজ্ঞান,कृषि भूविज्ञान,ಕೃಷಿ ಭೂವಿಜ್ಞಾನ,കൃഷി ഭൂവിജ്ഞാന,க்ருஷி பூவிஜ்ஞாந,కృషి భూవిజ్ఞాన,کرشی بھووگیان,কৃষি ভূিজ্ঞান,କୃଷି ଭୂବିଜ୍ଞାନ,कृषि भूविज्ञान
Air bursh,"वातकूर्चिका, वात ब्रुश","વાતકૂર્ચિકા, વાત બ્રુશ","वातकूर्चिका, वात ब्रुश","ਵਾਤਕੂਰ੍ਚਿਕਾ, ਵਾਤ ਬ੍ਰੁਸ਼","বাতকূর্চিকা, বাত ব্রুশ","वातकूर्चिका, वात ब्रुश","ವಾತಕೂರ್ಚಿಕಾ, ವಾತ ಬ್ರುಶ","വാതകൂര്ചികാ, വാത ബ്രുശ","வாதகூர்சிகா, வாத ப்ருச","వాతకూర్చికా, వాత బ్రుశ",واتکورچکا، وات برش,"াতকূর্চিকা, াত ব্রুশ","ବାତକୂର୍ଚିକା, ବାତ ବ୍ରୁଶ","वातकूर्चिका, वात ब्रुश"
Air centimeter,वायु सेन्टीमीटर,વાયુ સેન્ટીમીટર,वायु सेन्टीमीटर,ਵਾਯੁ ਸੇਨ੍ਟੀਮੀਟਰ,বাযু সেন্টীমীটর,वायु सेन्टीमीटर,ವಾಯು ಸೇನ್ಟೀಮೀಟರ,വായു സേന്ടീമീടര,வாயு ஸேந்டீமீடர,వాయు సేన్టీమీటర,وایو سینٹیمیٹر,াযু সন্টীমীটর,ବାଯୁ ସେନ୍ଟୀମୀଟର,वायु सेन्टीमीटर
Aircraft icing,वायुयान हिमन,વાયુયાન હિમન,वायुयान हिमन,ਵਾਯੁਯਾਨ ਹਿਮਨ,বাযুযান হিমন,वायुयान हिमन,ವಾಯುಯಾನ ಹಿಮನ,വായുയാന ഹിമന,வாயுயாந ஹிமந,వాయుయాన హిమన,وایویان ہمن,াযুযান হিমন,ବାଯୁଯାନ ହିମନ,वायुयान हिमन
Aircraft jig,वायुयान जिग,વાયુયાન જિગ,वायुयान जिग,ਵਾਯੁਯਾਨ ਜਿਗ,বাযুযান জিগ,वायुयान जिग,ವಾಯುಯಾನ ಜಿಗ,വായുയാന ജിഗ,வாயுயாந ஜிக,వాయుయాన జిగ,وایویان جگ,াযুযান জিগ,ବାଯୁଯାନ ଜିଗ,वायुयान जिग
Aircraft pressure altimeter,वायुयान दाब तुंगतामापी,વાયુયાન દાબ તુંગતામાપી,वायुयान दाब तुंगतामापी,ਵਾਯੁਯਾਨ ਦਾਬ ਤੁਂਗਤਾਮਾਪੀ,বাযুযান দাব তুংগতামাপী,वायुयान दाब तुंगतामापी,ವಾಯುಯಾನ ದಾಬ ತುಂಗತಾಮಾಪೀ,വായുയാന ദാബ തുംഗതാമാപീ,வாயுயாந தாப துங்கதாமாபீ,వాయుయాన దాబ తుంగతామాపీ,وایویان داب تنگتاماپی,াযুযান দাব তুংগতামাপী,ବାଯୁଯାନ ଦାବ ତୁଂଗତାମାପୀ,वायुयान दाब तुंगतामापी
Air drilling,वायु-वेधन,વાયુ-વેધન,वायु-वेधन,ਵਾਯੁ-ਵੇਧਨ,বাযু-বেধন,वायु-वेधन,ವಾಯು-ವೇಧನ,വായു-വേധന,வாயு-வேதந,వాయు-వేధన,وایو-ویدھن,াযু-ধন,ବାଯୁ-ବେଧନ,वायु-वेधन
Air float table,वातीय पटल,વાતીય પટલ,वातीय पटल,ਵਾਤੀਯ ਪਟਲ,বাতীয পটল,वातीय पटल,ವಾತೀಯ ಪಟಲ,വാതീയ പടല,வாதீய படல,వాతీయ పటల,واتیہ پٹل,াতীয পটল,ବାତୀଯ ପଟଲ,वातीय पटल
Air gun mechanism,वायु विस्फोट विधि,વાયુ વિસ્ફોટ વિધિ,वायु विस्फोट विधि,ਵਾਯੁ ਵਿਸ੍ਫੋਟ ਵਿਧਿ,বাযু বিস্ফোট বিধি,वायु विस्फोट विधि,ವಾಯು ವಿಸ್ಫೋಟ ವಿಧಿ,വായു വിസ്ഫോട വിധി,வாயு விஸ்போட விதி,వాయు విస్ఫోట విధి,وایو وسفوٹ ودھی,াযু িস্ফট িধি,ବାଯୁ ବିସ୍ଫୋଟ ବିଧି,वायु विस्फोट विधि
Air lift,"वायव उत्थापन, विमान वहन","વાયવ ઉત્થાપન, વિમાન વહન","वायव उत्थापन, विमान वहन","ਵਾਯਵ ਉਤ੍ਥਾਪਨ, ਵਿਮਾਨ ਵਹਨ","বাযব উত্থাপন, বিমান বহন","वायव उत्थापन, विमान वहन","ವಾಯವ ಉತ್ಥಾಪನ, ವಿಮಾನ ವಹನ","വായവ ഉത്ഥാപന, വിമാന വഹന","வாயவ உத்தாபந, விமாந வஹந","వాయవ ఉత్థాపన, విమాన వహన",وایو اتھاپن، ومان وہن,"ায উত্থাপন, িমান হন","ବାଯବ ଉତ୍ଥାପନ, ବିମାନ ବହନ","वायव उत्थापन, विमान वहन"
Air mapping,वायु-मानचित्रण,વાયુ-માનચિત્રણ,वायु-मानचित्रण,ਵਾਯੁ-ਮਾਨਚਿਤ੍ਰਣ,বাযু-মানচিত্রণ,वायु-मानचित्रण,ವಾಯು-ಮಾನಚಿತ್ರಣ,വായു-മാനചിത്രണ,வாயு-மாநசித்ரண,వాయు-మానచిత్రణ,وایو-مانچترن,াযু-মানচিত্রণ,ବାଯୁ-ମାନଚିତ୍ରଣ,वायु-मानचित्रण
Air photogrammetry,वायु फोटो ग्राममिति,વાયુ ફોટો ગ્રામમિતિ,वायु फोटो ग्राममिति,ਵਾਯੁ ਫੋਟੋ ਗ੍ਰਾਮਮਿਤਿ,বাযু ফোটো গ্রামমিতি,वायु फोटो ग्राममिति,ವಾಯು ಫೋಟೋ ಗ್ರಾಮಮಿತಿ,വായു ഫോടോ ഗ്രാമമിതി,வாயு போடோ க்ராமமிதி,వాయు ఫోటో గ్రామమితి,وایو پھوٹو گراممتی,াযু ফট গ্রামমিতি,ବାଯୁ ଫୋଟୋ ଗ୍ରାମମିତି,वायु फोटो ग्राममिति
Air photograph,वायु फोटो,વાયુ ફોટો,वायु फोटो,ਵਾਯੁ ਫੋਟੋ,বাযু ফোট,वायु फोटो,ವಾಯು ಫೋಟೋ,വായു ഫോടോ,வாயு போடோ,వాయు ఫోటో,وایو پھوٹو,াযু ফট,ବାଯୁ ଫୋଟୋ,वायु फोटो
Air photography,वायव फोटोग्राफी,વાયવ ફોટોગ્રાફી,वायव फोटोग्राफी,ਵਾਯਵ ਫੋਟੋਗ੍ਰਾਫੀ,বাযব ফোটোগ্রাফী,वायव फोटोग्राफी,ವಾಯವ ಫೋಟೋಗ್ರಾಫೀ,വായവ ഫോടോഗ്രാഫീ,வாயவ போடோக்ராபீ,వాయవ ఫోటోగ్రాఫీ,وایو پھوٹوگراپھی,ায ফটগ্রাফী,ବାଯବ ଫୋଟୋଗ୍ରାଫୀ,वायव फोटोग्राफी
Air photo lineament,वायु फोटो स्थलानुरेख,વાયુ ફોટો સ્થલાનુરેખ,वायु फोटो स्थलानुरेख,ਵਾਯੁ ਫੋਟੋ ਸ੍ਥਲਾਨੁਰੇਖ,বাযু ফোটো স্থলানুরেখ,वायु फोटो स्थलानुरेख,ವಾಯು ಫೋಟೋ ಸ್ಥಲಾನುರೇಖ,വായു ഫോടോ സ്ഥലാനുരേഖ,வாயு போடோ ஸ்தலாநுரேக,వాయు ఫోటో స్థలానురేఖ,وایو پھوٹو ستھلانریکھ,াযু ফট স্থলানুরখ,ବାଯୁ ଫୋଟୋ ସ୍ଥଲାନୁରେଖ,वायु फोटो स्थलानुरेख
Air photo linear,वायु फोटो स्थलरेखा,વાયુ ફોટો સ્થલરેખા,वायु फोटो स्थलरेखा,ਵਾਯੁ ਫੋਟੋ ਸ੍ਥਲਰੇਖਾ,বাযু ফোটো স্থলরেখা,वायु फोटो स्थलरेखा,ವಾಯು ಫೋಟೋ ಸ್ಥಲರೇಖಾ,വായു ഫോടോ സ്ഥലരേഖാ,வாயு போடோ ஸ்தலரேகா,వాయు ఫోటో స్థలరేఖా,وایو پھوٹو ستھلریکھا,াযু ফট স্থলরখা,ବାଯୁ ଫୋଟୋ ସ୍ଥଲରେଖା,वायु फोटो स्थलरेखा
Air photo lineation,वायु फोटो संरेखण,વાયુ ફોટો સંરેખણ,वायु फोटो संरेखण,ਵਾਯੁ ਫੋਟੋ ਸਂਰੇਖਣ,বাযু ফোটো সংরেখণ,वायु फोटो संरेखण,ವಾಯು ಫೋಟೋ ಸಂರೇಖಣ,വായു ഫോടോ സംരേഖണ,வாயு போடோ ஸங்ரேகண,వాయు ఫోటో సంరేఖణ,وایو پھوٹو سنریکھن,াযু ফট সংরখণ,ବାଯୁ ଫୋଟୋ ସଂରେଖଣ,वायु फोटो संरेखण
Air sizing,वायव मापवर्गीकरण,વાયવ માપવર્ગીકરણ,वायव मापवर्गीकरण,ਵਾਯਵ ਮਾਪਵਰ੍ਗੀਕਰਣ,বাযব মাপবর্গীকরণ,वायव मापवर्गीकरण,ವಾಯವ ಮಾಪವರ್ಗೀಕರಣ,വായവ മാപവര്ഗീകരണ,வாயவ மாபவர்கீகரண,వాయవ మాపవర్గీకరణ,وایو ماپورگیکرن,ায মাপর্গীকরণ,ବାଯବ ମାପବର୍ଗୀକରଣ,वायव मापवर्गीकरण
Air space ratio,वायु अवकाश अनुपात,વાયુ અવકાશ અનુપાત,वायु अवकाश अनुपात,ਵਾਯੁ ਅਵਕਾਸ਼ ਅਨੁਪਾਤ,বাযু অবকাশ অনুপাত,वायु अवकाश अनुपात,ವಾಯು ಅವಕಾಶ ಅನುಪಾತ,വായു അവകാശ അനുപാത,வாயு அவகாச அநுபாத,వాయు అవకాశ అనుపాత,وایو اوکاش انوپات,াযু অকাশ অনুপাত,ବାଯୁ ଅବକାଶ ଅନୁପାତ,वायु अवकाश अनुपात
Air surveying,वायव सर्वेक्षण,વાયવ સર્વેક્ષણ,वायव सर्वेक्षण,ਵਾਯਵ ਸਰ੍ਵੇਕ੍਷ਣ,বাযব সর্বেক্ষণ,वायव सर्वेक्षण,ವಾಯವ ಸರ್ವೇಕ್ಷಣ,വായവ സര്വേക്ഷണ,வாயவ ஸர்வேக்ஷண,వాయవ సర్వేక్షణ,ہوائی سروے۔ ہوائی مساحت,ায সর্ক্ষণ,ବାଯବ ସର୍ବେକ୍ଷଣ,वायव सर्वेक्षण
Air swept mill,वायु चालित मिल,વાયુ ચાલિત મિલ,वायु चालित मिल,ਵਾਯੁ ਚਾਲਿਤ ਮਿਲ,বাযু চালিত মিল,वायु चालित मिल,ವಾಯು ಚಾಲಿತ ಮಿಲ,വായു ചാലിത മില,வாயு சாலித மில,వాయు చాలిత మిల,وایو چالت مل,াযু চালিত মিল,ବାଯୁ ଚାଲିତ ମିଲ,वायु चालित मिल
Akins classifier,ऐकिन वर्गीकार,ઐકિન વર્ગીકાર,ऐकिन वर्गीकार,ਐਕਿਨ ਵਰ੍ਗੀਕਾਰ,ঐকিন বর্গীকার,ऐकिन वर्गीकार,ಐಕಿನ ವರ್ಗೀಕಾರ,ഐകിന വര്ഗീകാര,ஐகிந வர்கீகார,ఐకిన వర్గీకార,ایکن ورگیکار,ঐকিন র্গীকার,ଐକିନ ବର୍ଗୀକାର,ऐकिन वर्गीकार
Aki's method,ऐकी-विधि,ઐકી-વિધિ,ऐकी-विधि,ਐਕੀ-ਵਿਧਿ,ঐকী-বিধি,ऐकी-विधि,ಐಕೀ-ವಿಧಿ,ഐകീ-വിധി,ஐகீ-விதி,ఐకీ-విధి,ایکی-ودھی,ঐকী-িধি,ଐକୀ-ବିଧି,ऐकी-विधि
Albedo energy,ऐल्विडो ऊर्जा,ઐલ્વિડો ઊર્જા,ऐल्विडो ऊर्जा,ਐਲ੍ਵਿਡੋ ਊਰ੍ਜਾ,ঐল্বিডো ঊর্জা,ऐल्विडो ऊर्जा,ಐಲ್ವಿಡೋ ಊರ್ಜಾ,ഐല്വിഡോ ഊര്ജാ,ஐல்விடோ ஊர்ஜா,ఐల్విడో ఊర్జా,ایلوڈو اورجا,ঐল্িড ঊর্জা,ଐଲ୍ବିଡୋ ଊର୍ଜା,ऐल्विडो ऊर्जा
All-glass pneumatic cell,सर्वकाच वातिल सेल,સર્વકાચ વાતિલ સેલ,सर्वकाच वातिल सेल,ਸਰ੍ਵਕਾਚ ਵਾਤਿਲ ਸੇਲ,সর্বকাচ বাতিল সেল,सर्वकाच वातिल सेल,ಸರ್ವಕಾಚ ವಾತಿಲ ಸೇಲ,സര്വകാച വാതില സേല,ஸர்வகாச வாதில ஸேல,సర్వకాచ వాతిల సేల,سروکاچ واتل سیل,সর্কাচ াতিল সল,ସର୍ବକାଚ ବାତିଲ ସେଲ,सर्वकाच वातिल सेल
Allochthonous ground water,अपरस्थानिक भौम जल,અપરસ્થાનિક ભૌમ જલ,अपरस्थानिक भौम जल,ਅਪਰਸ੍ਥਾਨਿਕ ਭੌਮ ਜਲ,অপরস্থানিক ভৌম জল,अपरस्थानिक भौम जल,ಅಪರಸ್ಥಾನಿಕ ಭೌಮ ಜಲ,അപരസ്ഥാനിക ഭൌമ ജല,அபரஸ்தாநிக பௌம ஜல,అపరస్థానిక భౌమ జల,اپرستھانک بھوم جل,অপরস্থানিক ভৌম জল,ଅପରସ୍ଥାନିକ ଭୌମ ଜଲ,अपरस्थानिक भौम जल
Allochthonous stream,अपरस्थानिक सरिता,અપરસ્થાનિક સરિતા,अपरस्थानिक सरिता,ਅਪਰਸ੍ਥਾਨਿਕ ਸਰਿਤਾ,অপরস্থানিক সরিতা,अपरस्थानिक सरिता,ಅಪರಸ್ಥಾನಿಕ ಸರಿತಾ,അപരസ്ഥാനിക സരിതാ,அபரஸ்தாநிக ஸரிதா,అపరస్థానిక సరితా,اپرستھانک سرتا,অপরস্থানিক সরিতা,ଅପରସ୍ଥାନିକ ସରିତା,अपरस्थानिक सरिता
Alloy steel,मिश्रातु इस्पात,મિશ્રાતુ ઇસ્પાત,मिश्रातु इस्पात,ਮਿਸ਼੍ਰਾਤੁ ਇਸ੍ਪਾਤ,মিশ্রাতু ইস্পাত,मिश्रातु इस्पात,ಮಿಶ್ರಾತು ಇಸ್ಪಾತ,മിശ്രാതു ഇസ്പാത,மிச்ராது இஸ்பாத,మిశ్రాతు ఇస్పాత,مشراتو اسپات,মিশ্রাতু ইস্পাত,ମିଶ୍ରାତୁ ଇସ୍ପାତ,मिश्रातु इस्पात
Alluvial dam,जलोढ़ बाँध,જલોઢ઼ બાઁધ,जलोढ़ बाँध,ਜਲੋਢ਼ ਬਾੰਧ,জলোঢ় বাঁধ,जलोढ़ बाँध,ಜಲೋಢ಼ ಬಾಂಧ,ജലോഢ ബാംധ,ஜலோட பாங்த,జలోఢ బాంధ,جلوڑھ باندھ,জলঢ় বাঁধ,ଜଲୋଢ଼ ବାଁଧ,जलोढ़ बाँध
Alluvial dam lake,जलोढ़ रूद्ध झील,જલોઢ઼ રૂદ્ધ ઝીલ,जलोढ़ रूद्ध झील,ਜਲੋਢ਼ ਰੂਦ੍ਧ ਝੀਲ,জলোঢ় রূদ্ধ ঝীল,जलोढ़ रूद्ध झील,ಜಲೋಢ಼ ರೂದ್ಧ ಝೀಲ,ജലോഢ രൂദ്ധ ഝീല,ஜலோட ரூத்த ஜீல,జలోఢ రూద్ధ ఝీల,جلوڑھ رودھ جھیل,জলঢ় রূদ্ধ ঝীল,ଜଲୋଢ଼ ରୂଦ୍ଧ ଝୀଲ,जलोढ़ रूद्ध झील
Alluvial fan,जलोढ़ पंखा,જલોઢ઼ પંખા,जलोढ़ पंखा,ਜਲੋਢ਼ ਪਂਖਾ,জলোঢ় পংখা,जलोढ़ पंखा,ಜಲೋಢ಼ ಪಂಖಾ,ജലോഢ പംഖാ,ஜலோட பங்கா,జలోఢ పంఖా,سیلابی پنکھ,জলঢ় পংখা,ଜଲୋଢ଼ ପଂଖା,जलोढ़ पंखा
Alternate shovel method,एकांतर शॉवल विधि,એકાંતર શૉવલ વિધિ,एकांतर शॉवल विधि,ਏਕਾਂਤਰ ਸ਼੉ਵਲ ਵਿਧਿ,একাংতর শৌবল বিধি,एकांतर शॉवल विधि,ಏಕಾಂತರ ಶೌವಲ ವಿಧಿ,ഏകാംതര ശൌവല വിധി,ஏகாங்தர சௌவல விதி,ఏకాంతర శౌవల విధి,ایکانتر شاول ودھی,কাংতর শল িধি,ଏକାଂତର ଶୌବଲ ବିଧି,एकांतर शॉवल विधि
Alternate pitting,एकांतर गर्तन्यास,એકાંતર ગર્તન્યાસ,एकांतर गर्तन्यास,ਏਕਾਂਤਰ ਗਰ੍ਤਨ੍ਯਾਸ,একাংতর গর্তন্যাস,एकांतर गर्तन्यास,ಏಕಾಂತರ ಗರ್ತನ್ಯಾಸ,ഏകാംതര ഗര്തന്യാസ,ஏகாங்தர கர்தந்யாஸ,ఏకాంతర గర్తన్యాస,ایکانتر گرتنیاس,কাংতর গর্তন্যাস,ଏକାଂତର ଗର୍ତନ୍ଯାସ,एकांतर गर्तन्यास
Alundum,ऐलन्डम,ઐલન્ડમ,ऐलन्डम,ਐਲਨ੍ਡਮ,ঐলন্ডম,ऐलन्डम,ಐಲನ್ಡಮ,ഐലന്ഡമ,ஐலந்டம,ఐలన్డమ,ایلنڈم,ঐলন্ডম,ଐଲନ୍ଡମ,ऐलन्डम
Amalgam,"पारदघातु मिश्रण, ऐंबर, अंबर","પારદઘાતુ મિશ્રણ, ઐંબર, અંબર","पारदघातु मिश्रण, ऐंबर, अंबर",ਪਾਰਾ ਮਿਲੀ ਹੋਈ ਧਾਤੂ,"পারদঘাতু মিশ্রণ, ঐংবর, অংবর","पारदघातु मिश्रण, ऐंबर, अंबर","ಪಾದರಸಮಿಶ್ರಿತ ಲೋಹ, ರಸಮಿಶ್ರಣ","പാരദഘാതു മിശ്രണ, ഐംബര, അംബര","பாரதகாது மிச்ரண, ஐங்பர, அங்பர","పారదఘాతు మిశ్రణ, ఐంబర, అంబర",ممزوج۔ ملغم,"পারদঘাতু মিশ্রণ, ঐংবর, অংবর","ପାରଦଘାତୁ ମିଶ୍ରଣ, ଐଂବର, ଅଂବର","पारदघातु मिश्रण, ऐंबर, अंबर"
Analogue play back,अनुरूप,અનુરૂપ,अनुरूप,ਅਨੁਰੂਪ,অনুরূপ,अनुरूप,ಅನುರೂಪ,അനുരൂപ,அநுரூப,అనురూప,انوروپ,অনুরূপ,ଅନୁରୂପ,अनुरूप
