English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Absolute,निरपेक्ष,"અબાધિત, નિરંકુશ, અમર્યાદિત, પરિશુદ્ધ, પૂર્ણ","आबाधित, केवळ, निरपवाद, पूर्ण, बिनशर्त, अटिशिवाय","ਪੂਰਨ, ਨਿਰਪੱਖ","চূড়ান্ত,চরম,পূর্ণ","पुराय,पूर्ण,संपूर्ण",ನಿರ್ದಿಷ್ಟ,കേവല,"முழுமையான, வரம்பற்ற, தனித்த","పరమ,సంపూర్ణ,సమగ్ర,నిరపేక్ష,కేవల,",مطلق,"পূর্ণ,সম্পূর্ণ,একছত্রী,নিৰঙ্কুশ","ସମ୍ପୂର୍ଣ୍ଣ, ନିରଙ୍କୁଶ",1. पूर्ण 2. अनियन्त्रित
Absolute,2. परम,"અબાધિત, નિરંકુશ, અમર્યાદિત, પરિશુદ્ધ, પૂર્ણ","आबाधित, केवळ, निरपवाद, पूर्ण, बिनशर्त, अटिशिवाय","ਪੂਰਨ, ਨਿਰਪੱਖ","চূড়ান্ত,চরম,পূর্ণ","पुराय,पूर्ण,संपूर्ण",ನಿರ್ದಿಷ್ಟ,കേവല,"முழுமையான, வரம்பற்ற, தனித்த","పరమ,సంపూర్ణ,సమగ్ర,నిరపేక్ష,కేవల,",مطلق,"পূর্ণ,সম্পূর্ণ,একছত্রী,নিৰঙ্কুশ","ସମ୍ପୂର୍ଣ୍ଣ, ନିରଙ୍କୁଶ",1. पूर्ण 2. अनियन्त्रित
Absolute,3. पूर्ण,"અબાધિત, નિરંકુશ, અમર્યાદિત, પરિશુદ્ધ, પૂર્ણ","आबाधित, केवळ, निरपवाद, पूर्ण, बिनशर्त, अटिशिवाय","ਪੂਰਨ, ਨਿਰਪੱਖ","চূড়ান্ত,চরম,পূর্ণ","पुराय,पूर्ण,संपूर्ण",ನಿರ್ದಿಷ್ಟ,കേവല,"முழுமையான, வரம்பற்ற, தனித்த","పరమ,సంపూర్ణ,సమగ్ర,నిరపేక్ష,కేవల,",مطلق,"পূর্ণ,সম্পূর্ণ,একছত্রী,নিৰঙ্কুশ","ସମ୍ପୂର୍ଣ୍ଣ, ନିରଙ୍କୁଶ",1. पूर्ण 2. अनियन्त्रित
Absolute,4. परिशुध्द,"અબાધિત, નિરંકુશ, અમર્યાદિત, પરિશુદ્ધ, પૂર્ણ","आबाधित, केवळ, निरपवाद, पूर्ण, बिनशर्त, अटिशिवाय","ਪੂਰਨ, ਨਿਰਪੱਖ","চূড়ান্ত,চরম,পূর্ণ","पुराय,पूर्ण,संपूर्ण",ನಿರ್ದಿಷ್ಟ,കേവല,"முழுமையான, வரம்பற்ற, தனித்த","పరమ,సంపూర్ణ,సమగ్ర,నిరపేక్ష,కేవల,",مطلق,"পূর্ণ,সম্পূর্ণ,একছত্রী,নিৰঙ্কুশ","ସମ୍ପୂର୍ଣ୍ଣ, ନିରଙ୍କୁଶ",1. पूर्ण 2. अनियन्त्रित
Absolute,5. एकल,"અબાધિત, નિરંકુશ, અમર્યાદિત, પરિશુદ્ધ, પૂર્ણ","आबाधित, केवळ, निरपवाद, पूर्ण, बिनशर्त, अटिशिवाय","ਪੂਰਨ, ਨਿਰਪੱਖ","চূড়ান্ত,চরম,পূর্ণ","पुराय,पूर्ण,संपूर्ण",ನಿರ್ದಿಷ್ಟ,കേവല,"முழுமையான, வரம்பற்ற, தனித்த","పరమ,సంపూర్ణ,సమగ్ర,నిరపేక్ష,కేవల,",مطلق,"পূর্ণ,সম্পূর্ণ,একছত্রী,নিৰঙ্কুশ","ସମ୍ପୂର୍ଣ୍ଣ, ନିରଙ୍କୁଶ",1. पूर्ण 2. अनियन्त्रित
Absolute,6. यथार्थ,"અબાધિત, નિરંકુશ, અમર્યાદિત, પરિશુદ્ધ, પૂર્ણ","आबाधित, केवळ, निरपवाद, पूर्ण, बिनशर्त, अटिशिवाय","ਪੂਰਨ, ਨਿਰਪੱਖ","চূড়ান্ত,চরম,পূর্ণ","पुराय,पूर्ण,संपूर्ण",ನಿರ್ದಿಷ್ಟ,കേവല,"முழுமையான, வரம்பற்ற, தனித்த","పరమ,సంపూర్ణ,సమగ్ర,నిరపేక్ష,కేవల,",مطلق,"পূর্ণ,সম্পূর্ণ,একছত্রী,নিৰঙ্কুশ","ସମ୍ପୂର୍ଣ୍ଣ, ନିରଙ୍କୁଶ",1. पूर्ण 2. अनियन्त्रित
Absolute constant,निरपेक्ष स्थिरांक,નિરપેક્ષ સ્થિરાંક,निरपेक्ष स्थिरांक,ਨਿਰਪੇਕ੍਷ ਸ੍ਥਿਰਾਂਕ,নিরপেক্ষ স্থিরাংক,निरपेक्ष स्थिरांक,ನಿರಪೇಕ್ಷ ಸ್ಥಿರಾಂಕ,നിരപേക്ഷ സ്ഥിരാംക,நிரபேக்ஷ ஸ்திராங்க,నిరపేక్ష స్థిరాంక,نرپیکش ستھرانک,নিরপক্ষ স্থিরাংক,ନିରପେକ୍ଷ ସ୍ଥିରାଂକ,निरपेक्ष स्थिरांक
Absolute error,निरपेक्ष त्रुटि,નિરપેક્ષ ત્રુટિ,निरपेक्ष त्रुटि,ਨਿਰਪੇਕ੍਷ ਤ੍ਰੁਟਿ,নিরপেক্ষ ত্রুটি,निरपेक्ष त्रुटि,ನಿರಪೇಕ್ಷ ತ್ರುಟಿ,നിരപേക്ഷ ത്രുടി,நிரபேக்ஷ த்ருடி,నిరపేక్ష త్రుటి,مطلق لہو,নিরপক্ষ ত্রুটি,ଚିହ୍ନ ନିରପେକ୍ଷ ତ୍ରୁଟି,निरपेक्ष त्रुटि
Absolute humidity,निरपेक्ष आर्द्रता,નિરપેક્ષ આર્દ્રતા,निरपेक्ष आर्द्रता,ਨਿਰਪੇਕ੍਷ ਆਰ੍ਦ੍ਰਤਾ,নিরপেক্ষ আর্দ্রতা,निरपेक्ष आर्द्रता,ನಿರಪೇಕ್ಷ ಆರ್ದ್ರತಾ,നിരപേക്ഷ ആര്ദ്രതാ,நிரபேக்ஷ ஆர்த்ரதா,నిరపేక్ష ఆర్ద్రతా,مطلق نمی,নিরপক্ষ আর্দ্রতা,ନିରପେକ୍ଷ ଆର୍ଦ୍ରତା,निरपेक्ष आर्द्रता
Absolute instrument,निरपेक्ष मापयंत्र,નિરપેક્ષ માપયંત્ર,निरपेक्ष मापयंत्र,ਨਿਰਪੇਕ੍਷ ਮਾਪਯਂਤ੍ਰ,নিরপেক্ষ মাপযংত্র,निरपेक्ष मापयंत्र,ನಿರಪೇಕ್ಷ ಮಾಪಯಂತ್ರ,നിരപേക്ഷ മാപയംത്ര,நிரபேக்ஷ மாபயங்த்ர,నిరపేక్ష మాపయంత్ర,نرپیکش ماپینتر,নিরপক্ষ মাপযংত্র,ନିରପେକ୍ଷ ମାପଯଂତ୍ର,निरपेक्ष मापयंत्र
Absolute pressure,यथार्थ दाब,યથાર્થ દાબ,यथार्थ दाब,ਯਥਾਰ੍ਥ ਦਾਬ,যথার্থ দাব,यथार्थ दाब,ಯಥಾರ್ಥ ದಾಬ,യഥാര്ഥ ദാബ,யதார்த தாப,యథార్థ దాబ,مطلق داب,যথার্থ দাব,ଯଥାର୍ଥ ଦାବ,यथार्थ दाब
Absolute stiffness,निरपेक्ष दुर्नम्यता,નિરપેક્ષ દુર્નમ્યતા,निरपेक्ष दुर्नम्यता,ਨਿਰਪੇਕ੍਷ ਦੁਰ੍ਨਮ੍ਯਤਾ,নিরপেক্ষ দুর্নম্যতা,निरपेक्ष दुर्नम्यता,ನಿರಪೇಕ್ಷ ದುರ್ನಮ್ಯತಾ,നിരപേക്ഷ ദുര്നമ്യതാ,நிரபேக்ஷ துர்நம்யதா,నిరపేక్ష దుర్నమ్యతా,نرپیکش درنمیتا,নিরপক্ষ দুর্নম্যতা,ନିରପେକ୍ଷ ଦୁର୍ନମ୍ଯତା,निरपेक्ष दुर्नम्यता
Absolute temperature,"परमताप, परम तापमान","પરમતાપ, પરમ તાપમાન","परमताप, परम तापमान","ਪਰਮਤਾਪ, ਪਰਮ ਤਾਪਮਾਨ","পরমতাপ, পরম তাপমান","परमताप, परम तापमान",ನಿರಪೇಕ್ಷ ಉಷ್ಣತೆ,"പരമതാപ, പരമ താപമാന","பரமதாப, பரம தாபமாந","పరమతాప, పరమ తాపమాన",مطلق تاپ / ٹمپر یچر,"পরমতাপ, পরম তাপমান","ପରମତାପ, ପରମ ତାପମାନ","परमताप, परम तापमान"
Absolute unit,निरपेक्ष मात्रक,નિરપેક્ષ માત્રક,निरपेक्ष मात्रक,ਨਿਰਪੇਕ੍਷ ਮਾਤ੍ਰਕ,নিরপেক্ষ মাত্রক,निरपेक्ष मात्रक,ನಿರಪೇಕ್ಷ ಮಾನ,നിരപേക്ഷ മാത്രക,நிரபேக்ஷ மாத்ரக,నిరపేక్ష మాత్రక,مطلق اکائی,নিরপক্ষ মাত্রক,ନିରପେକ୍ଷ ମାତ୍ରକ,निरपेक्ष मात्रक
Absolute velocity,निरपेक्ष वेग,નિરપેક્ષ વેગ,निरपेक्ष वेग,ਨਿਰਪੇਕ੍਷ ਵੇਗ,নিরপেক্ষ বেগ,निरपेक्ष वेग,ನಿರಪೇಕ್ಷ ವೇಗ,നിരപേക്ഷ വേഗ,நிரபேக்ஷ வேக,నిరపేక్ష వేగ,نرپیکش ویگ,নিরপক্ষ গ,ନିରପେକ୍ଷ ବେଗ,निरपेक्ष वेग
Absolute viscosity,निरपेक्ष श्यानता,નિરપેક્ષ શ્યાનતા,निरपेक्ष श्यानता,ਨਿਰਪੇਕ੍਷ ਸ਼੍ਯਾਨਤਾ,নিরপেক্ষ শ্যানতা,निरपेक्ष श्यानता,ನಿರಪೇಕ್ಷ ಶ್ಯಾನತಾ,നിരപേക്ഷ ശ്യാനതാ,நிரபேக்ஷ ச்யாநதா,నిరపేక్ష శ్యానతా,نرپیکش شیانتا,নিরপক্ষ শ্যানতা,ନିରପେକ୍ଷ ଶ୍ଯାନତା,निरपेक्ष श्यानता
Absolute zero,परम शून्य,પરમ શૂન્ય,परम शून्य,ਪਰਮ ਸ਼ੂਨ੍ਯ,পরম শূন্য,परम शून्य,ನಿರಪೇಕ್ಷಶೂನ್ಯ,പരമ ശൂന്യ,பரம சூந்ய,పరమ శూన్య,جذب کرنا,পরম শূন্য,ପରମ ଶୂନ୍ଯ,परम शून्य
Absorb,"अवशोषित करना, अवशोषण","અવશોષિત કરના, અવશોષણ","अवशोषित करना, अवशोषण","ਰਚਾ ਲੈਣ , ਚੂਸਣਾ ,ਮਗਨ ਹੋਣਾ, ਕਿਸੇ ਕੰਮ ਵਿੱਚ ਲੱਗਣਾ","অবশোষিত করনা, অবশোষণ","अवशोषित करना, अवशोषण",ಹೀರು ಅಪಕರ್ಷಿಸು,"അവശോഷിത കരനാ, അവശോഷണ","அவசோஷித கரநா, அவசோஷண","అవశోషిత కరనా, అవశోషణ",جذب کرنا,"অশষিত করনা, অশষণ","ଅବଶୋଷିତ କରନା, ଅବଶୋଷଣ","अवशोषित करना, अवशोषण"
Absorber,"अवशोषक, अवशोषी","અવશોષક, અવશોષી","अवशोषक, अवशोषी","ਅਵਸ਼ੋ਷ਕ, ਅਵਸ਼ੋ਷ੀ","অবশোষক, অবশোষী","अवशोषक, अवशोषी","ಅವಶೋಷಕ, ಅವಶೋಷೀ","അവശോഷക, അവശോഷീ","அவசோஷக, அவசோஷீ","అవశోషక, అవశోషీ",جذب کار,"অশষক, অশষী","ଅବଶୋଷକ, ଅବଶୋଷୀ","अवशोषक, अवशोषी"
Absorber circuit,अवशोषक परिपथ,અવશોષક પરિપથ,अवशोषक परिपथ,ਅਵਸ਼ੋ਷ਕ ਪਰਿਪਥ,অবশোষক পরিপথ,अवशोषक परिपथ,ಅವಶೋಷಕ ಪರಿಪಥ,അവശോഷക പരിപഥ,அவசோஷக பரிபத,అవశోషక పరిపథ,اوشوشک پرپتھ,অশষক পরিপথ,ଅବଶୋଷକ ପରିପଥ,अवशोषक परिपथ
Absorber factor,अवशोषक गुणक,અવશોષક ગુણક,अवशोषक गुणक,ਅਵਸ਼ੋ਷ਕ ਗੁਣਕ,অবশোষক গুণক,अवशोषक गुणक,ಅವಶೋಷಕ ಗುಣಕ,അവശോഷക ഗുണക,அவசோஷக குணக,అవశోషక గుణక,اوشوشک گنک,অশষক গুণক,ଅବଶୋଷକ ଗୁଣକ,अवशोषक गुणक
Absorption,अवशोषण,"સમાવેશ, સમાસ","शोषण, समावेशन","ਲੀਣ ਹੋਣਾ, ਵਿੱਚੇ ਸਮਾ ਜਾਣਾ, ਸਮੋ-ਲੈਣਾ",অন্তর্ভূক্তিকরণ,"1. च्यूसप,शोशून घेवप,2. अवशोषण","ಹೀರಿಕೆ, ರಕ್ತಗತ, ಅವಶೋಷಣೆ",ലയനം,"1. ஏற்றுக்கொள்ளல் 2. உறிஞ்சல், உட்கொள்ளல்,","లోపలికి గ్రహించుట,పీల్చుట",جاذبیت,"বিশোষণ, শোষণ, অৱশোষণ",ଅବଶୋଷଣ,"1. समावेश 2. सोसन, पाचन"
Absorption co-efficient,अवशोषण गुणांक,અવશોષણ ગુણાંક,अवशोषण गुणांक,ਅਵਸ਼ੋ਷ਣ ਗੁਣਾਂਕ,অবশোষণ গুণাংক,अवशोषण गुणांक,ಅವಶೋಷಣ ಗುಣಾಂಕ,അവശോഷണ ഗുണാംക,அவசோஷண குணாங்க,అవశోషణ గుణాంక,جاذبیت ضربیہ,অশষণ গুণাংক,ଅବଶୋଷଣ ଗୁଣାଂକ,अवशोषण गुणांक
Absorption dynamometer,अवशोषण डायनामोमीटर,અવશોષણ ડાયનામોમીટર,अवशोषण डायनामोमीटर,ਅਵਸ਼ੋ਷ਣ ਡਾਯਨਾਮੋਮੀਟਰ,অবশোষণ ডাযনামোমীটর,अवशोषण डायनामोमीटर,ಅವಶೋಷಣ ಡಾಯನಾಮೋಮೀಟರ,അവശോഷണ ഡായനാമോമീടര,அவசோஷண டாயநாமோமீடர,అవశోషణ డాయనామోమీటర,اوشوشن ڈائنامومیٹر,অশষণ ডাযনামমীটর,ଅବଶୋଷଣ ଡାଯନାମୋମୀଟର,अवशोषण डायनामोमीटर
Absorption factor,अवशोषण गुणक,અવશોષણ ગુણક,अवशोषण गुणक,ਅਵਸ਼ੋ਷ਣ ਗੁਣਕ,অবশোষণ গুণক,अवशोषण गुणक,ಅವಶೋಷಣ ಗುಣಕ,അവശോഷണ ഗുണക,அவசோஷண குணக,అవశోషణ గుణక,جاذبیت جذر,অশষণ গুণক,ଅବଶୋଷଣ ଗୁଣକ,अवशोषण गुणक
Absorption filter,अवशोषण फिल्टर,અવશોષણ ફિલ્ટર,अवशोषण फिल्टर,ਅਵਸ਼ੋ਷ਣ ਫਿਲ੍ਟਰ,অবশোষণ ফিল্টর,अवशोषण फिल्टर,ಅವಶೋಷಣ ಫಿಲ್ಟರ,അവശോഷണ ഫില്ടര,அவசோஷண பில்டர,అవశోషణ ఫిల్టర,اوشوشن فلٹر,অশষণ ফিল্টর,ଅବଶୋଷଣ ଫିଲ୍ଟର,अवशोषण फिल्टर
Absorption modulation,अवशोषण मॉडुलन,અવશોષણ મૉડુલન,अवशोषण मॉडुलन,ਅਵਸ਼ੋ਷ਣ ਮ੉ਡੁਲਨ,অবশোষণ মৌডুলন,अवशोषण मॉडुलन,ಅವಶೋಷಣ ಮೌಡುಲನ,അവശോഷണ മൌഡുലന,அவசோஷண மௌடுலந,అవశోషణ మౌడులన,اوشوشن ماڈلن,অশষণ মডুলন,ଅବଶୋଷଣ ମୌଡୁଲନ,अवशोषण मॉडुलन
Absorption resistance,अवशोषण प्रतिरोध,અવશોષણ પ્રતિરોધ,अवशोषण प्रतिरोध,ਅਵਸ਼ੋ਷ਣ ਪ੍ਰਤਿਰੋਧ,অবশোষণ প্রতিরোধ,अवशोषण प्रतिरोध,ಅವಶೋಷಣ ಪ್ರತಿರೋಧ,അവശോഷണ പ്രതിരോധ,அவசோஷண ப்ரதிரோத,అవశోషణ ప్రతిరోధ,اوشوشن پرترودھ,অশষণ প্রতিরধ,ଅବଶୋଷଣ ପ୍ରତିରୋଧ,अवशोषण प्रतिरोध
Absorption spectrum,अवशोषण स्पैक्ट्रम,અવશોષણ સ્પૈક્ટ્રમ,अवशोषण स्पैक्ट्रम,ਅਵਸ਼ੋ਷ਣ ਸ੍ਪੈਕ੍ਟ੍ਰਮ,অবশোষণ স্পৈক্ট্রম,अवशोषण स्पैक्ट्रम,ಹೀರಿಕೆ ವರ್ಣಪಟಲ,അവശോഷണ സ്പൈക്ട്രമ,அவசோஷண ஸ்பைக்ட்ரம,అవశోషణ స్పైక్ట్రమ,جاذبیت اسپیکٹرم / طیف,অশষণ স্পৈক্ট্রম,"ଅବଶୋଷଣ ସ୍ପେକଟ୍ରମ, ଅବଶୋଷଣ ବର୍ଣ୍ଣାଳୀ",अवशोषण स्पैक्ट्रम
Absorptivity,अवशोषकता,અવશોષકતા,अवशोषकता,ਅਵਸ਼ੋ਷ਕਤਾ,অবশোষকতা,अवशोषकता,ಅವಶೋಷಕತಾ,അവശോഷകതാ,அவசோஷகதா,అవశోషకతా,اوشوشکتا,অশষকতা,ଅବଶୋଷକତା,अवशोषकता
Absorptivity equilibrium,अवशोषकता साम्य,અવશોષકતા સામ્ય,अवशोषकता साम्य,ਅਵਸ਼ੋ਷ਕਤਾ ਸਾਮ੍ਯ,অবশোষকতা সাম্য,अवशोषकता साम्य,ಅವಶೋಷಕತಾ ಸಾಮ್ಯ,അവശോഷകതാ സാമ്യ,அவசோஷகதா ஸாம்ய,అవశోషకతా సామ్య,اوشوشکتا سامیہ,অশষকতা সাম্য,ଅବଶୋଷକତା ସାମ୍ଯ,अवशोषकता साम्य
Abstract,"निकालना, निष्कर्षण","તારણ, સાર, સંક્ષેપ, સારદોહન, અમૂર્ત, અવ્યક્ત","संक्षेप, गोशवारा, सारांश",ਸਾਰ,"সারসংক্ষেপ,চুম্বক,বিমূর্ত",सार,ಸಾರಾಂಶ,"അബ്സ്ട്രാക്റ്റ്, സംക്ഷേപം, സാരം","சுருக்கம், சுருக்கக் குறிப்பு","సంగ్రహం,అవ్యక్తం,అమూర్తం,భావార్థకం",خلاصہ۔ مجرد۔ خلاصہ کرنا۔ تجرید کرنا,"সংক্ষেপ,সাৰাংশ",ସାରାଂଶ,"सार, संक्षिप्तांश"
Accelerated draft,त्वरित प्रवात,ત્વરિત પ્રવાત,त्वरित प्रवात,ਤ੍ਵਰਿਤ ਪ੍ਰਵਾਤ,ত্বরিত প্রবাত,त्वरित प्रवात,ತ್ವರಿತ ಪ್ರವಾತ,ത്വരിത പ്രവാത,த்வரித ப்ரவாத,త్వరిత ప్రవాత,تورت پروات,ত্রিত প্রাত,ତ୍ବରିତ ପ୍ରବାତ,त्वरित प्रवात
Accelerating flow,त्वरक प्रवाह,ત્વરક પ્રવાહ,त्वरक प्रवाह,ਤ੍ਵਰਕ ਪ੍ਰਵਾਹ,ত্বরক প্রবাহ,त्वरक प्रवाह,ತ್ವರಕ ಪ್ರವಾಹ,ത്വരക പ്രവാഹ,த்வரக ப்ரவாஹ,త్వరక ప్రవాహ,تورک پرواہ,ত্রক প্রাহ,ତ୍ବରକ ପ୍ରବାହ,त्वरक प्रवाह
Accelerating force,त्वरक बल,ત્વરક બલ,त्वरक बल,ਤ੍ਵਰਕ ਬਲ,ত্বরক বল,त्वरक बल,ವೇಗವರ್ಧಕ ಬಲ,ത്വരക ബല,த்வரக பல,త్వరక బల,تورک بل,ত্রক বল,ତ୍ବରକ ବଲ,त्वरक बल
Accelerating head,त्वरक दाबोच्चता,ત્વરક દાબોચ્ચતા,त्वरक दाबोच्चता,ਤ੍ਵਰਕ ਦਾਬੋਚ੍ਚਤਾ,ত্বরক দাবোচ্চতা,त्वरक दाबोच्चता,ತ್ವರಕ ದಾಬೋಚ್ಚತಾ,ത്വരക ദാബോച്ചതാ,த்வரக தாபோச்சதா,త్వరక దాబోచ్చతా,تورک دابوچتا,ত্রক দাবচ্চতা,ତ୍ବରକ ଦାବୋଚ୍ଚତା,त्वरक दाबोच्चता
Acceleration,त्वरण,ત્વરણ,त्वरण,ਤ੍ਵਰਣ,ত্বরণ,त्वरण,ವೇಗವರ್ಧಕ,ത്വരണ,த்வரண,త్వరణ,اسراع,ত্রণ,ତ୍ୱରଣ,त्वरण
Acceleration curve,त्वरण वक्र,ત્વરણ વક્ર,त्वरण वक्र,ਤ੍ਵਰਣ ਵਕ੍ਰ,ত্বরণ বক্র,त्वरण वक्र,ತ್ವರಣ ವಕ್ರ,ത്വരണ വക്ര,த்வரண வக்ர,త్వరణ వక్ర,تورن وقر,ত্রণ ক্র,ତ୍ବରଣ ବକ୍ର,त्वरण वक्र
