Punjabi,Tamil
ਐਰੋਸੋਲ,ஏரோசல்
1. ਫੁੱਲ 2. ਗਰਮੀਆਂ ਦੀ ਸੁਸਤਤਾ,1. மஞ்சரி 2. கோடை உறக்கம்
ਬਿਮਾਰੀ ਦਾ ਵਿਗਿਆਨ,நோய் அறிவியல்
ਜੰਗਲਾਤ,காடு வளர்ப்பு
1. ਅੰਦੋਲਨ 2. ਗੜਬੜ,1. கிளர்ச்சி 2. கொந்தளிப்பு
ਐਗਮਾਰਕ,அக்மார்க்
1. ਜ਼ਮੀਨ ਨਾਲ ਸਬੰਧਤ 2. ਖੇਤੀਬਾੜੀ,1. நிலம் தொடர்பான 2. விவசாயம்
ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ,விவசாய மருத்துவமனை
1. ਖੇਤੀ ਮਜ਼ਦੂਰ 2. ਖੇਤੀ ਮਜ਼ਦੂਰ,1. விவசாயத் தொழிலாளர்கள் 2. விவசாயத் தொழிலாளர்கள்
ਖੇਤੀਬਾੜੀ ਮੰਡੀਕਰਨ,விவசாய சந்தைப்படுத்தல்
ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ,விவசாய தொழில்நுட்பம்
1. ਖੇਤੀ 2. ਖੇਤੀ 3. ਖੇਤੀ ਵਿਗਿਆਨ,1. விவசாயம் 2. விவசாயம் 3. விவசாய அறிவியல்
ਖੇਤੀਬਾੜੀ ਜੰਗਲਾਤ,விவசாய காடுகள்
ਖੇਤੀਬਾੜੀ ਜੈਵ ਵਿਭਿੰਨਤਾ,விவசாய பல்லுயிர்
ਖੇਤੀਬਾੜੀ ਜੈਵਿਕ ਨੁਕਸ,விவசாய கரிம குறைபாடுகள்
ਖੇਤੀਬਾੜੀ ਜੀਵ ਵਿਗਿਆਨ,விவசாய உயிரியல்
ਖੇਤੀ-ਜਲਵਾਯੂ ਵਿਭਿੰਨਤਾ,விவசாய காலநிலை பன்முகத்தன்மை
ਖੇਤੀ ਜਲਵਾਯੂ ਖੇਤਰ ਦੀ ਰਚਨਾ,வேளாண் காலநிலை மண்டலத்தை உருவாக்குதல்
ਖੇਤੀ ਜੰਗਲਾਤ,வளர்ப்பு
ਖੇਤੀ ਵਿਗਿਆਨ,வேளாண்மை
ਖੇਤੀ ਵਿਗਿਆਨਕ,வேளாண்மை
ਖੇਤੀਬਾੜੀ ਪੇਸਟੋਰਲ,விவசாய மேய்ச்சல்
ਫਸਲ ਪ੍ਰੋਸੈਸਿੰਗ,பயிர் செயலாக்கம்
ਘਾਹ ਵਿਗਿਆਨ,புல் அறிவியல்
ਫਸਲ ਦੀ ਕਿਸਮ,பயிர் வகை
epiphyte,எபிஃபைட்
aikiochi ਮਿੱਟੀ,aikiochi மண்
ਰੰਗ ਅੰਨ੍ਹਾਪਨ,வண்ண குருட்டுத்தன்மை
alfisol,அல்பிசோல்
ਐਲਗੀ,பாசி
ਐਲਗੀ ਰੋਗ,பாசி நோய்
ਖਾਰੀ ਪਾਣੀ,காரம் நீர்
ਖਾਰੀ,காரமானது
ਵਿਕਲਪਕ,மாற்று
ਐਲੇਲੋ ਕੈਮਿਸਟਰੀ,அலெலோ வேதியியல்
ਐਲੀਲ,அலீல்
ਐਲੇਲੋਪੈਥੀ,அலெலோபதி
ਵੇਥੀ ਦੀ ਫਸਲ,வேத்தி பயிர்
ਸੰਪੂਰਨਤਾ,நிறைவு
ਗਰੱਭਧਾਰਣ ਕਰਨਾ,கருத்தரித்தல்
1. ਰਿਲੇਟੀਵਿਟੀ 2. ਐਲੋਮੈਟਰੀ,1. சார்பியல் 2. அலோமெட்ரி
multiploidy,பலவகை
1. ਪੈਰਾਜ਼ੀਗੋਸਿਟੀ,1. Parazygosity
1. ਵਿਕਲਪਕ ਸਾਲ ਫੰਕਸ਼ਨ 2. ਵਿਕਲਪਕ ਫੰਕਸ਼ਨ,1. மாற்று ஆண்டு செயல்பாடு 2. மாற்று செயல்பாடு
ਬਦਲਵੀਂ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ,மாற்று நில பயன்பாடு
ਵਾਤਾਵਰਣ,சூழல்
ਸੁਧਾਰਕ,சீர்திருத்தவாதி
ਮਾਈਟੋਸਿਸ,மைடோசிஸ்
ਆਮੀਨ,அமீனன்
ਐਮੋਨੀਅਨ,அம்மோனியன்
amniferous,அம்னிஃபெரஸ்
1. ਬੇਅਸਰ ਰੂਪ 2. ਅਰੂਪੀ,1. பயனற்ற வடிவம் 2. அரூபி
amphibian ਮਿਸ਼ਰਣ,நீர்வீழ்ச்சி கலவை
ਐਮਫੋਟੇਰਿਕ,ஆம்போடெரிக்
ਭੰਡਾਰ,கையிருப்பு
1. ਐਨਾਇਰੋਬਿਕ 2. ਐਨਾਇਰੋਬਿਕ ਜੀਵ,1. காற்றில்லா 2. காற்றில்லா உயிரினங்கள்
ਹੈਪਲੋਇਡ,ஹாப்ளாய்டு
ਕੋਣੀ ਲਾਉਣਾ,கோண நடவு
ਪਸ਼ੂ ਪਾਲਣ,கால்நடை வளர்ப்பு
ਜਾਨਵਰ ਦੇ ਮਲ-ਮੂਤਰ,விலங்கு மலம்
ਜੀਵਤ ਊਰਜਾ,வாழ்க்கை ஆற்றல்
ਅਸਧਾਰਨ,முரண்பாடான
ਇੱਕ ਸਾਲ ਪੁਰਾਣਾ ਪੌਦਾ,ஒரு வருடம் பழமையான ஆலை
ਸਾਲਾਨਾ,ஆண்டு
1. ਅਨੰਦ 2. ਚਮਕ,1. பரவசம் 2. பிரகாசம்
ਐਂਥ੍ਰੈਕਸ,ஆந்த்ராக்ஸ்
ਮਾਨਵ-ਜਨਕ ਕਾਰਕ,மானுடவியல் காரணிகள்
ਬਚਾਅ,உயிர்வாழ்தல்
1. ਐਂਟੀਬਾਇਓਟਿਕ 2. ਐਂਟੀਬਾਇਓਟਿਕ,1. ஆன்டிபயாடிக் 2. நுண்ணுயிர்க்கொல்லி
ਘਿਣਾਉਣੀ,விரட்டும்
ਐਂਟੀਆਕਸੀਡੈਂਟ,ஆக்ஸிஜனேற்ற
ਐਂਟੀਟੌਕਸਿਨ,ஆன்டிடாக்சின்
ਰਿੰਗ ਉਂਗਲ,மோதிர விரல்
1. ਐਫੀਡ 2. ਮਹੂ 3. ਚੇਪਾ,1. அசுவினி 2. மஹு 3. செபா
ਚੋਟੀ ਦੇ ਮੁਕੁਲ,மேல் மொட்டு
ਸਿਖਰ ਪ੍ਰਭਾਵ,உச்ச செயல்திறன்
ਮਧੂ ਮੱਖੀ ਪਾਲਣ,தேனீ வளர்ப்பு
ਅਲੌਕਿਕਤਾ,ஓரினச்சேர்க்கை
apoptosis,அப்போப்டொசிஸ்
ਜੋੜ,பிற்சேர்க்கைகள்
ਭੁੱਖ ਵਧਾਉਣ ਵਾਲਾ,பசியை உண்டாக்கும்
ਲਾਗੂ ਕੀਤਾ,விண்ணப்பித்தார்
ਜਲਜੀ ਬੂਟੀ,நீர்வாழ் களை
1. ਰੁੱਖ 2. ਰੁੱਖ ਨਿਵਾਸੀ,1. மரம் 2. மரத்தில் வசிப்பவர்
ਬ੍ਰਾਂਚਿੰਗ,கிளைகள்
ਪ੍ਰੋਟੋਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ,புரோட்டோபோட்டானிக்கல் பதிவுகள்
ਜ਼ੋਨ ਨੰਬਰ,மண்டல எண்
1. ਖੇਤਰ 2. ਖੇਤਰ,1. பகுதி 2. பகுதி
ਖੁਸ਼ਕ ਈਕੋਸਿਸਟਮ,உலர் சுற்றுச்சூழல்
cotyledon,கோட்டிலிடன்
ਸੌਰਭ,சௌரப்
ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ,நறுமண ஆலை
ਸੁਗੰਧਿਤ ਚੌਲ,வாசனை அரிசி
ਇਕੁ ਪੁਸ਼ਪੰ ॥,இக்ஷு புஷ்பன்
ਅਸੈਪਟਿਕ,அசெப்டிக்
1. ਅਸੈਪਟਿਕ 2. ਅਸੈਪਟਿਕ,1. அசெப்டிக் 2. அசெப்டிக்
ਅਲੌਕਿਕ ਪ੍ਰਜਨਨ,பாலின இனப்பெருக்கம்
ਆਕਾਰ,அளவு
ਸੰਪਤੀ,சொத்து
1. ਸਮੀਕਰਨ 2. ਸਮੀਕਰਨ,1. ஒருங்கிணைப்பு 2. ஒருங்கிணைப்பு
1. ਐਸੋਸੀਏਸ਼ਨ 2. ਐਸੋਸੀਏਸ਼ਨ,1. சங்கம் 2. சங்கம்
1. ਕਾਲਮ 2. astringency,1. நெடுவரிசை 2. துவர்ப்பு
heterozygosity,பன்முகத்தன்மை
1. ਪੂਰਵਜ 2. ਅਟਾਵਿਜ਼ਮ,1. முன்னோர் 2. அடவிசம்
ਕਣ,துகள்
1. ਅਪੁਸ਼ਟਤਾ 2. ਵਿਗਾੜ,1. உறுதிப்படுத்தல் 2. குறைபாடு
ਸਵੈ ਜੋੜਾ,சுய இணைத்தல்
autolysis,தன்னியக்கம்
1. ਸੁਭਾਵਕ ਆਕਸੀਕਰਨ 2. ਸਵੈ-ਚਾਲਤ ਆਕਸੀਕਰਨ,1. தன்னிச்சையான ஆக்சிஜனேற்றம் 2. தன்னிச்சையான ஆக்சிஜனேற்றம்
ਸਵੈ ਮਲਟੀਪਲੈਕਸ,சுய மல்டிபிளக்ஸ்
auxin,ஆக்சின்
1. ਹਿਲਾ 2. ਟੌਡ,1. குலுக்கல் 2. தேரை
ਸਜ਼ਾ ਵਾਇਰਸ,தண்டனை வைரஸ்
1. ਬੇਸੀਲਸ 2. ਬੇਸੀਲਸ,1. பேசிலஸ் 2. பேசிலஸ்
1. ਬੈਕਟੀਰੀਆ 2. ਬੈਕਟੀਰੀਆ,1. பாக்டீரியா 2. பாக்டீரியா
ਬੈਕਟੀਰੀਆ ਦੇ ਜ਼ਹਿਰ,பாக்டீரியா நச்சு
ਬੈਗਾਸ,கரும்பு சக்கை
ਸੰਤੁਲਨ ਸ਼ੀਟ,இருப்பு தாள்
ਸੰਤੁਲਿਤ ਖਾਦ ਦੀ ਵਰਤੋਂ,சீரான உர பயன்பாடு
ਬਾਰ ਗ੍ਰਾਫ,சட்ட வரைபடம்
ਸੱਕ,பட்டை
1. ਬੈਰੋਮੀਟਰ 2. ਬੈਰੋਮੀਟਰ,1. காற்றழுத்தமானி 2. காற்றழுத்தமானி
1. ਬਜ਼ਰ 2. ਜੜ 3. ਬੰਜਰ,1. buzzer 2. inert 3. barren
1. ਅਧਾਰ 2. ਅਧਾਰ 3. ਕੱਪਾਂਗ,1. அடிப்படை 2. அடிப்படை 3. குபாங்
1. ਤਾਲਾ 2. ਬੇਸਿਨ,1. தாலா 2. பேசின்
ਤਾਲਾਬੀਸਰੀ,தலபிசாரி
1. ਬੇਸਿਸਟਰਨਮ 2. ਰੂਟ ਹੋਲਡਰ,1. பாசிஸ்டர்னம் 2. ரூட் ஹோல்டர்
ਖਾੜੀ ਮਾਨਸੂਨ,வளைகுடா பருவமழை
ਫਲ ਪੌਦਾ,பழ செடி
ਬਿਸਤਰਾ,படுக்கை
ਬੈੱਡ ਪੌਦਾ,படுக்கை ஆலை
ਬਿਸਤਰਾ,படுக்கை
ਚੁਕੰਦਰ ਗੁੜ,பீற்று வெல்லப்பாகு
ਘੰਟੀ,பெல்லோஸ்
1. ਪੱਟੀ 2. ਭੂਮੀ,1. கீற்று 2. நிலப்பரப்பு
ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ,இலாப-செலவு பகுப்பாய்வு
ਚਾਹਵਾਨ (ਨਮੂਨਾ),ஆர்வலர் (மாதிரி)
ਦੋ-ਸਾਲਾ ਪੌਦੇ,இரு ஆண்டு தாவரங்கள்
ਬਾਇਨੋਮੀਅਲ,இருவகை
ਬਾਇਓਫੈਕਟਰ,உயிர் காரணி
ਜੈਵਿਕ ਜਲਵਾਯੂ,உயிரியல் காலநிலை
ਬਾਇਓ ਊਰਜਾ,உயிர் ஆற்றல்
ਜੀਵ-ਜੰਤੂ ਵਾਤਾਵਰਣ,விலங்கு சூழலியல்
1. ਬਾਇਓ-ਪ੍ਰੋਸੈਸਰ 2. ਬਾਇਓ-ਰਿਐਕਟਰ,1. உயிர் செயலி 2. உயிர் உலை
ਜੀਵ-ਮੰਡਲ,உயிர்க்கோளம்
ਬਾਇਓਟਿਕ,உயிரியல்
ਜੀਵ-ਜੰਤੂ,விலங்கினங்கள்
ਡਿਵਿਲਿੰਗੀ,திவிலிங்கி
ਧਵਲਨ,தவலன்
1. ਪ੍ਰਧਵਾਸਨ (ਰੋਗ) 2. ਗਸਟ ਰੋਗ,1. பிரத்வாசன் (நோய்) 2. குடல் நோய்
ਮਿਲਾਉਣਾ,கலத்தல்
1. ਅੰਗਮਾਰੀ (ਰੋਗ) 2. ਝੁਲਸ (ਰੋਗ),1. அங்கமாரி (நோய்) 2. ப்ளைட் (நோய்)
1. ਛਾਲੇ 2. ਛਾਲੇ 3. ਫਟਣਾ 4. ਛਾਲੇ,1. கொப்புளம் 2. கொப்புளம் 3. வெடிப்பு 4. கொப்புளம்
ਨੀਲੀ ਕ੍ਰਾਂਤੀ,நீல புரட்சி
ਪਲੈਨਰ ਹੀਟਿੰਗ ਚੈਂਬਰ,பிளானர் வெப்பமூட்டும் அறை
ਪਲੈਨਰ ਹੀਟਿੰਗ ਤਕਨਾਲੋਜੀ,பிளானர் வெப்பமாக்கல் தொழில்நுட்பம்
ਬਰੈਨ,தவிடு
ਬ੍ਰਾਂਚਿੰਗ,கிளைகள்
1. ਟਹਿਣੀ 2. ਸਬਬ੍ਰਾਂਚ,1. கிளை 2. துணைக் கிளை
ਨਸਲ,இனம்
ਪ੍ਰਜਨਨ,இனப்பெருக்கம்
ਸ਼ੁਰੂਆਤੀ ਉਗਣ ਦਾ ਇਲਾਜ,ஆரம்ப முளைப்பு சிகிச்சை
1. ਬੱਚਾ 2. ਅੰਡੇ 3. ਭਰੂਣ,1. குட்டி 2. முட்டை 3. கரு
ਉਭਰਦਾ,துளிர்க்கிறது
ਬਜਟ,பட்ஜெட்
1. ਐਮਫੋਟੇਰਿਕ 2. ਬਫਰ,1.ஆம்போடெரிக் 2. தாங்கல்
ਮਿਠਾ ਆਲੂ,இனிப்பு உருளைக்கிழங்கு
ਬੰਟ (ਰੋਗ),பன்ட் (நோய்)
1. ਉਪ-ਉਤਪਾਦ 2. ਉਪ-ਉਤਪਾਦ,1. துணை தயாரிப்பு 2. துணை தயாரிப்பு
c ਨਮੀ ਨਿਰਧਾਰਨ ਕਰਵ,c ஈரப்பதம் விவரக்குறிப்பு வளைவு
ਤੇਲ ਕੇਕ,எண்ணெய் கேக்
1. ਚੂਨਾ 2. ਕੈਲਸ਼ੀਅਮ,1. சுண்ணாம்பு 2. கால்சியம்
ਕੈਲਸੀਓਨ,கால்சியன்
ਫਾਸਫੇਟ ਹਟਾਉਣ,பாஸ்பேட் நீக்கம்
1. ਕਿਨਾਟਾ 2. ਕੈਲਾਟਾ,1. கினாட்டா 2. கலாட்டா
1. ਕੈਲਸ 2. ਕਿਰਨ,1.காலஸ் 2. கதிர்
1. ਸੈਪਲਸ 2. ਕੈਲਿਕਸ,1. செப்பல்ஸ் 2. கேலிக்ஸ்
ਬਾਹਰੀ ਅੰਤ,வெளிப்புற முடிவு
ਏਡਾ,எதா
ਕੈਂਕਰ (ਬੈਕਟੀਰੀਆ ਦੀ ਬਿਮਾਰੀ),புற்றுநோய் (பாக்டீரியா நோய்)
ਕੈਨਿੰਗ,பதப்படுத்தல்
ਅਸਮਾਨ,வானம்
ਵਿੱਤ,நிதி
ਪਰਾਗੀਕਰਨ (ਅੰਜੀਰ ਦਾ),மகரந்தச் சேர்க்கை (அத்திப்பழங்கள்)
1. ਕੈਪਸੂਲ 2. ਕੈਪਸੂਲ 3. ਕੈਪਸੂਲ,1. காப்ஸ்யூல் 2. காப்ஸ்யூல் 3. கேப்சூல்
ਕਾਰਬਨਾਈਜ਼ਡ,கார்பனேற்றப்பட்டது
ਕਾਰਬਨਾਨ,கார்பனான்
carapace,கார்பேஸ்
ਬਰੇਸਲੈੱਟ,வளையல்
1. ਕਾਸਟਿੰਗ (ਲੋਹਾ) 2. ਕਸ਼ਤੀ (ਕੀੜੇ),1. வார்ப்பு (இரும்பு) 2. க்ஷிப்தி (பூச்சி)
catabolism,வினையூக்கம்
ਪ੍ਰੇਰਣਾ,தூண்டுதல்
1. ਕੈਟਰਪਿਲਰ 2. ਕੈਟਰਪਿਲਰ,1. கம்பளிப்பூச்சி 2. கம்பளிப்பூச்சி
c d. ਐਨ. a ਸੰਗ੍ਰਹਿ,c d. என். அ. சேகரிப்பு
ਸੀਮਾ,சரகம்
1. ਸੈੱਲ 2. ਸੈੱਲ,1. செல் 2. செல்
ਕੇਂਦਰੀ ਫਰੰਟ ਸਿਸਟਮ,மத்திய முன் அமைப்பு
1. ਪੁਆਇੰਟ 2. ਫੋਕਸ,1. புள்ளி 2. கவனம்
centrifugation,மையவிலக்கு
ਸੈਂਟਰਿਫਿਊਜ,மையவிலக்கு
ਸਟਾਰ ਸੈਂਟਰ,நட்சத்திர மையம்
epigenetic,எபிஜெனெடிக்
ਕੇਂਦਰਜਾ,கேந்திரராஜா
ਲੂਮ,தறி
1. ਸੀਰੀਅਲ 2. ਸੀਰੀਅਲ,1. தானியம் 2. தொடர்
1. ਸਰਟੀਫਿਕੇਸ਼ਨ 2. ਸਰਟੀਫਿਕੇਸ਼ਨ,1. சான்றிதழ் 2. சான்றிதழ்
ਪ੍ਰਮਾਣਿਤ ਬੀਜ,சான்றளிக்கப்பட்ட விதை
1. ਤੂੜੀ 2. ਕੁੱਟੀ 3. ਸ਼ਲਕ ਸਹਪਾਤਰਾ,1. வைக்கோல் 2. குட்டி 3. ஷலாக் சஹாபத்ரா
1. ਨਿਭਾਗ 2. ਕੈਲਜਾ,1. நிபாக் 2. கைலாஜா
ਕਾਇਮੋਗ੍ਰਾਫੀ,கைமோகிராபி
1. ਕੀਜ਼ਮਾ 2. ਵਿਅਸਤ,1. கியாஸ்மா 2. பிஸி
ਸੁਪਰ ਕੂਲਿੰਗ ਘੰਟੇ,supercooling மணி
ਠੰਡ ਦਾ ਨੁਕਸਾਨ,உறைபனி சேதம்
1. ਵੀਚਰੋਤਕੀ 2. ਚਿਮੇਰਾ,1. விசிரோடகி 2. சிமேரா
ਹਰਾ ਦਲੀਆ,பச்சை கஞ்சி
1. ਪੱਤੇ 2. ਹਰੇ,1. தழை 2. பச்சை
ਸਾਇਨੋਸਿਸ,சயனோசிஸ்
ਜੈਵਿਕ ਵੰਡ ਵਿਗਿਆਨ,உயிரியல் விநியோக அறிவியல்
1. ਕ੍ਰੋਮੇਟਿਡਜ਼ 2. ਅੱਧੇ ਕ੍ਰੋਮੋਸੋਮਜ਼,1. குரோமாடிட்ஸ் 2. அரை குரோமோசோம்கள்
chromatin,குரோமடின்
ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ,குரோமடோகிராபி
chromatinlation,நிறமாற்றம்
ਅਟਲ ਬਿੰਦੂ,ஏட்ரியல் புள்ளி
chromatogenesis,நிறமூர்த்தம்
1. ਕ੍ਰੋਮੋਪ੍ਰੋਟੀਨ 2. ਪਿਗਮੈਂਟਪ੍ਰੋਟੀਨ,1. குரோமோபுரோட்டீன் 2. நிறமி புரதம்
1. ਕ੍ਰੋਮੋਸੋਮਜ਼ 2. ਕ੍ਰੋਮੋਸੋਮਜ਼,1. குரோமோசோம்கள் 2. குரோமோசோம்கள்
1. ਪੁਰਾਣੀ 2. ਪੁਰਾਣੀ 3. ਪੁਰਾਣੀ 4. ਪੁਰਾਣੀ,1. நாள்பட்ட 2. நாள்பட்ட 3. நாள்பட்ட 4. வழக்கற்று
citrange,சிட்ரேஞ்ச்
ਪਤਝੜ ਤਿਉਹਾਰ,இலையுதிர் திருவிழா
ਵਰਗੀਕਰਨ,வகைப்பாடு
1. ਮਿੱਟੀ 2. ਮਿੱਟੀ,1. களிமண் 2. களிமண்
1. ਸਫਾਈ 2. ਰਗੜਨਾ 3. ਸਫਾਈ 4. ਸ਼ੁੱਧੀਕਰਨ,1. சுத்தம் செய்தல் 2. ஸ்க்ரப்பிங் 3. சுத்தம் செய்தல் 4. சுத்திகரிப்பு
ਲਗਾਤਾਰ ਪਰਾਗਣ,தொடர்ந்து மகரந்த சேர்க்கை
cruciferous ਫਲ,சிலுவை பழம்
ਜਲਵਾਯੂ,காலநிலை
ਜਲਵਾਯੂ ਵਿਗਿਆਨ,காலநிலையியல்
ਕੱਟਣਾ,வெட்டு
ਗੰਢ (ਮਿੱਟੀ),கட்டி (களிமண்)
ਕਲੋਨ,குளோன்
1. ਬੱਦਲ 2. ਬੱਦਲ,1.மேகங்கள் 2.மேகங்கள்
ਝੁੰਡ,கொத்து
ਝੁੰਡ,கொத்து
1. ਮੋਟਾ 2. ਮੋਟਾ 3. ਕੱਚਾ 4. ਮੋਟਾ,1. கரடுமுரடான 2. கரடுமுரடான 3. கச்சா 4. கரடுமுரடான
1. ਕਵਰ 2. ਚਮੜਾ,1. கவர் 2. leatherette
ਕੋਯਾ,கோயா
1. ਕੋਐਨਜ਼ਾਈਮ 2. ਕੋ-ਐਨਜ਼ਾਈਮ,1. கோஎன்சைம் 2. கோ-என்சைம்
ਤਾਲਮੇਲ,ஒற்றுமை
1. ਫਾਈਬਰ (ਜੂਟ ਜੂਟ) 2. ਨਾਰੀਅਲ ਮੋਟੇ,1. நார்ச்சத்து (சணல் சணல்) 2. தேங்காய் கரடுமுரடானது
ਮੁਲੰਕੁਰ ਚੋਲਾ,மூலங்கூர் சோழன்
,
ਕੋਲਾਇਡ (ਮਿੱਟੀ),கொலாய்டு (மண்)
1.ਕਾਲਮ 2.ਕੋਲੁਮੇਲਾ,1.நெடுவரிசை 2.கொலுமல்லா
1. ਜੁਰਮਾਨਾ 2. ਕਾਲਮ 3. ਕਾਲਮ,1. தண்டனை 2. நெடுவரிசை 3. நெடுவரிசை
ਸਾਂਝ,ஒற்றுமை
ਵਪਾਰਕ ਬੈਂਕ,வணிக வங்கி
1. ਵਸਤੂ 2. ਵਪਾਰਕ ਮਾਲ,1. சரக்கு 2. வணிகப் பொருட்கள்
ਭਾਈਚਾਰਾ,சமூக
ਮਿਸ਼ਰਣ (ਮਿੱਟੀ ਦਾ),சுருக்கம் (மண்)
1. ਅਨੁਕੂਲਤਾ 2. ਅਨੁਕੂਲਤਾ,1. இணக்கம் 2. இணக்கம்
ਅਨੁਕੂਲਤਾ,பொருந்தக்கூடிய தன்மை
1. ਮੁਆਵਜ਼ਾ 2. ਮੁਆਵਜ਼ਾ,1. இழப்பீடு 2. இழப்பீடு
