English,Bengali
Antenna cross polar pattern,অ্যান্টেনা ক্রস পোলার প্যাটার্ন
Antenna current,অ্যান্টেনা কারেন্ট
Antenna directivity gain,অ্যান্টেনা ডাইরেক্টিভিটি লাভ
Antenna duplexer,অ্যান্টেনা ডুপ্লেক্সার
Antenna effective area,অ্যান্টেনা কার্যকর অঞ্চল
Antenna efficiency,অ্যান্টেনা দক্ষতা
Antenna feed,অ্যান্টেনা ফিড
Antenna foot print,অ্যান্টেনা ফুট প্রিন্ট
Antenna gain,এন্টেনা
Antenna height,অ্যান্টেনার উচ্চতা
Antenna impedance,অ্যান্টেনা প্রতিবন্ধকতা
Antenna inductance,অ্যান্টেনা ইন্ডাক্ট্যান্স
Antenna pattern,অ্যান্টেনা প্যাটার্ন
Antenna plexer,অ্যান্টেনা প্লেক্সার
Antenna polarization,অ্যান্টেনা মেরুকরণ
Antenna power,অ্যান্টেনা শক্তি
Antenna power gain,অ্যান্টেনা পাওয়ার লাভ
Antenna radiation resistance,অ্যান্টেনা বিকিরণ প্রতিরোধের
Antenna reactance,অ্যান্টেনা প্রতিক্রিয়া
Antenna reflector,অ্যান্টেনা প্রতিচ্ছবি
Antenna resistance,অ্যান্টেনা প্রতিরোধের
Antenna resonant frequency,অ্যান্টেনা অনুরণিত ফ্রিকোয়েন্সি
Antenna spacing,অ্যান্টেনা ব্যবধান
Antenna switching room,অ্যান্টেনা স্যুইচিং রুম
Antenna tuning coil,অ্যান্টেনা টিউনিং কয়েল
Antenna tuning hut,অ্যান্টেনা টিউনিং হাট
Aperture,অ্যাপারচার
Apogee,অপোজি
Apogee rocket,অ্যাপোজি রকেট
Apparatus,যন্ত্রপাতি
Apparent,আপাত
Applet,অ্যাপলেট
Application,আবেদন
Approximate,আনুমানিক
Aquous solution,জলীয় সমাধান
Arc,আর্ক
Architecture,আর্কিটেকচার
Archival transfer of sound recording,সাউন্ড রেকর্ডিংয়ের সংরক্ষণাগার স্থানান্তর
Archives,সংরক্ষণাগার
Arithmetic coding,গাণিতিক কোডিং
Armature,আর্মার
Armature winding,আর্ম্যাচার বাতাস
Array,অ্যারে
Arrester,অ্যারেস্টার
Articulation,বক্তৃতা
Artifact (=artefact),আর্টিফ্যাক্ট (= আর্টফ্যাক্ট)
Ascending,আরোহী
Aspect ratio,আনুমানিক অনুপাত
Assembler,এসেম্বলার
Assertion,দাবী
Assignment,অ্যাসাইনমেন্ট
Assignment channel,অ্যাসাইনমেন্ট চ্যানেল
Asymmetrical,অসম্পূর্ণ
Asynchronous,অ্যাসিঙ্ক্রোনাস
Atmosphere,বায়ুমণ্ডল
Atmospheric loss,বায়ুমণ্ডলীয় ক্ষতি
Atmospheric noise,বায়ুমণ্ডলীয় শব্দ
Atmospheric pressure,বায়ুমণ্ডলীয় চাপ
Atmospheric propagation,বায়ুমণ্ডলীয় প্রচার
Atmospheric radio-wave,বায়ুমণ্ডলীয় রেডিও-তরঙ্গ
Atmospherics,বায়ুমণ্ডল
Atom,পরমাণু
Atomic structure,পারমাণবিক গঠন
Attachment,সংযুক্তি
Attenuation,মনোযোগ
Attenuation loss,মনোযোগ ক্ষতি
Attenuation of sound waves,শব্দ তরঙ্গের মনোযোগ
Attenuator,অ্যাটেনুয়েটর
Attenuator-pad,অ্যাটেনুয়েটর-প্যাড
Audibility threshold,অডিবিলিটি থ্রেশহোল্ড
Audible,শ্রুতিমধুর
Audible frequency,শ্রুতিমধুর ফ্রিকোয়েন্সি
Audible tone,শ্রুতিমধুর সুর
Audible-spectrum,শ্রুতি-বর্ণালী
Audience,শ্রোতা
Audio,শ্রুতি
Audio amplifier,অডিও পরিবর্ধক
Audio analyzer,অডিও বিশ্লেষক
Audio broadcasting,অডিও সম্প্রচার
Audio cable,অডিও কেবল
Audio chain,অডিও চেইন
Audio codec,অডিও কোডেক
Audio compression,অডিও সংক্ষেপণ
Audio compressor,অডিও সংক্ষেপক
Audio console,অডিও কনসোল
Audio distortion,অডিও বিকৃতি
Audio dynamic range,অডিও গতিশীল পরিসীমা
Audio file format,অডিও ফাইল ফর্ম্যাট
Audio frame format,অডিও ফ্রেম ফর্ম্যাট
Audio frequency amplifier,অডিও ফ্রিকোয়েন্সি পরিবর্ধক
Audio frequency generator,অডিও ফ্রিকোয়েন্সি জেনারেটর
Audio frequency range,অডিও ফ্রিকোয়েন্সি ব্যাপ্তি
Audio frequency response,অডিও ফ্রিকোয়েন্সি প্রতিক্রিয়া
Audio limiter,অডিও সীমাবদ্ধ
Audio line,অডিও লাইন
Audio mixer,অডিও মিক্সার
Audio modulation,অডিও মড্যুলেশন
Audio oscillator,অডিও দোলক
Audio output,অডিও আউটপুট
Audio power,অডিও শক্তি
Audio quality,অডিও মানের
Audio signal,অডিও সংকেত
Audio signal processing,অডিও সিগন্যাল প্রসেসিং
Audio spectrum,অডিও বর্ণালী
Audio storage,অডিও স্টোরেজ
Audio sub-carrier,অডিও সাব-ক্যারিয়ার
Audio transformer,অডিও ট্রান্সফর্মার
Audio transmitter,অডিও ট্রান্সমিটার
Audio/video compression,অডিও/ভিডিও সংক্ষেপণ
Audio-frequency oscillator,অডিও-ফ্রিকোয়েন্সি দোলক
Audio-frequency signal,অডিও-ফ্রিকোয়েন্সি সিগন্যাল
Audiometry,অডিওমেট্রি
Audio-visual aid,অডিও-ভিজ্যুয়াল সহায়তা
Auditory perception,শ্রুতি উপলব্ধি
Authentication,প্রমাণীকরণ
Authorised carrier frequency,অনুমোদিত ক্যারিয়ার ফ্রিকোয়েন্সি
Auto CAD,অটো ক্যাড
Auto diagnostics,অটো ডায়াগনস্টিকস
Automatic,স্বয়ংক্রিয়
Automatic control,স্বয়ংক্রিয় নিয়ন্ত্রণ
Automatic detection,স্বয়ংক্রিয় সনাক্তকরণ
Automatic equipment,স্বয়ংক্রিয় সরঞ্জাম
Automatic frequency control,স্বয়ংক্রিয় ফ্রিকোয়েন্সি নিয়ন্ত্রণ
Automatic limiter,স্বয়ংক্রিয় সীমাবদ্ধ
Automatic machine,স্বয়ংক্রিয় মেশিন
Automatic phasae control,স্বয়ংক্রিয় ফ্যাসি নিয়ন্ত্রণ
Automatic picture transmission,স্বয়ংক্রিয় চিত্র সংক্রমণ
Automatic playback,স্বয়ংক্রিয় প্লেব্যাক
Automatic power control,স্বয়ংক্রিয় শক্তি নিয়ন্ত্রণ
Automatic programming,স্বয়ংক্রিয় প্রোগ্রামিং
Automatic recording,স্বয়ংক্রিয় রেকর্ডিং
Automatic reset,স্বয়ংক্রিয় রিসেট
Automatic shutter,স্বয়ংক্রিয় শাটার
Automatic system,স্বয়ংক্রিয় সিস্টেম
Automatic telephone,স্বয়ংক্রিয় টেলিফোন
Automatic temperature control,স্বয়ংক্রিয় তাপমাত্রা নিয়ন্ত্রণ
Automatic voltage regulator,স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রক
Automatic volume compressor,স্বয়ংক্রিয় ভলিউম সংক্ষেপক
Automatic volume control,স্বয়ংক্রিয় ভলিউম নিয়ন্ত্রণ
Automatic volume expander,স্বয়ংক্রিয় ভলিউম এক্সপেন্ডার
Automation,অটোমেশন
Automation control,অটোমেশন নিয়ন্ত্রণ
Automation frequency controller,অটোমেশন ফ্রিকোয়েন্সি নিয়ামক
Auxiliary,সহায়ক
Auxiliary audio bus,সহায়ক অডিও বাস
Available power,উপলব্ধ শক্তি
Avalanche breakdown,তুষারপাত ভাঙ্গন
Average life,গড় আয়ু
Average pressure,গড় চাপ
Average speed,গড় গতি
Axis of spin,স্পিনের অক্ষ
Azimuth,আজিমুথ
Azimuth angle,আজিমুথ কোণ
Azimuth error,আজিমুথ ত্রুটি
Back light,পিছনে আলো
Back projection,পিছনে অভিক্ষেপ
Back voltage (=reverse voltage),ব্যাক ভোল্টেজ (= বিপরীত ভোল্টেজ)
Backfire (arc back),ব্যাকফায়ার (আর্ক ব্যাক)
Background light,পটভূমি আলো
Background noise,পিছনের শব্দ
Background projection,পটভূমি প্রক্ষেপণ
Backup,ব্যাকআপ
Baffle,বাফেল
Baking,বেকিং
Balanced audio,সুষম অডিও
Balanced audio line,ভারসাম্যহীন অডিও লাইন
Balanced transmission line,সুষম সংক্রমণ লাইন
Balancing,ভারসাম্য
Ballast,ব্যালাস্ট
Ballast factor,ব্যালাস্ট ফ্যাক্টর
Balun,বালুন
Band,ব্যান্ড
Band pass filter,ব্যান্ড পাস ফিল্টার
Band selector,ব্যান্ড নির্বাচক
Band splitting,ব্যান্ড বিভাজন
Band stop filter,ব্যান্ড স্টপ ফিল্টার
Band switch,ব্যান্ড সুইচ
Band tuning,ব্যান্ড টিউনিং
Bandwidth,ব্যান্ডউইথ
Bar,বার
Bar code,বার কোড
Bar data,বার ডেটা
Bare band,বেয়ার ব্যান্ড
Bare lamp,বেয়ার ল্যাম্প
Barn door,শস্যাগার দরজা
Base band,বেস ব্যান্ড
Base band signal,বেস ব্যান্ড সিগন্যাল
Base band system,বেস ব্যান্ড সিস্টেম
Base browser,বেস ব্রাউজার
Base collector junction,বেস কালেক্টর জংশন
Base insulator,বেস ইনসুলেটর
Bass,বাস
Bass compensation,বাস ক্ষতিপূরণ
Bass loudspeaker (woofer),বাস লাউডস্পিকার (ওফার)
Batch scanning,ব্যাচ স্ক্যানিং
Battery charging,ব্যাটারি চার্জ হইতেছে
Beam,মরীচি
Beat,বীট
Beat frequency oscillator,বীট ফ্রিকোয়েন্সি দোলক
Bel,বেল
Bias,পক্ষপাত
Bias circuit,বায়াস সার্কিট
Bias frequency,বায়াস ফ্রিকোয়েন্সি
Bias voltage,অত্যাধিক ভোল্টেজ
Biased in the forward direction,সামনের দিকে পক্ষপাতদুষ্ট
Bi-directional microphone,দ্বি-দিকনির্দেশক মাইক্রোফোন
Billboard,বিলবোর্ড
Billboard application,বিলবোর্ড অ্যাপ্লিকেশন
Bi-metallic element,দ্বি-ধাতব উপাদান
Binary,বাইনারি
Binary coded decimal,বাইনারি কোডেড দশমিক
Binary digit (bit),বাইনারি অঙ্ক (বিট)
Binary number,বাইনারি সংখ্যা
Binaural hearing,বাইনোরাল শুনানি
Binocular,বাইনোকুলার
Biometric,বায়োমেট্রিক
Bipolar transistor,বাইপোলার ট্রানজিস্টর
Bit allocation,বিট বরাদ্দ
Bit rate,বিট রেট
Black & white TV,কালো এবং সাদা টিভি
Blank,ফাঁকা
Blanking interval,ফাঁকা ব্যবধান
Blanking level,ব্ল্যাঙ্কিং স্তর
Bleeder resistance,ব্লিডার প্রতিরোধের
Blimped camera,ব্লিমড ক্যামেরা
Blinding glare,অন্ধ ঝলক
Blink,পলক
Blinking,জ্বলজ্বল
Block code,ব্লক কোড
Block diagram,ব্লক ডায়াগ্রাম
Block interleave,ব্লক ইন্টারলিভ
Blocking capacitor,ব্লকিং ক্যাপাসিটার
Blocking oscillator,দোলক ব্লক করা
Bloom,পুষ্প
Blow lamp,ল্যাম্প ব্লো
Blow pipe,পাইপ ব্লো
Blower,ব্লোয়ার
Bluetooth,ব্লুটুথ
Body capacitance,দেহ ক্যাপাসিট্যান্স
Bookmark,বুকমার্ক
Boolean algebra,বুলিয়ান বীজগণিত
Boom,বুম
Boost,প্রচার করা
Booster,বুস্টার
Booster light,বুস্টার লাইট
Boosting,বুস্টিং
Booting,বুটিং
Bootstrap,বুটস্ট্র্যাপ
Bottom light,নীচে আলো
Bounce light,বাউন্স লাইট
Break down,ভাঙ্গা
Break down voltage,ভাঙ্গন ভোল্টেজ
Bridge element,সেতু উপাদান
Bridge rectifier,সেতু সংশোধনকারী
Bridged ‘T’ attenuator,ব্রিজযুক্ত ‘টি’ অ্যাটেনুয়েটর
Bridged structure,ব্রিজযুক্ত কাঠামো
Bridging,ব্রিজিং
Bridging amplifier,ব্রিজিং এম্প্লিফায়ার
Bridging loss,ব্রিজিং ক্ষতি
Brightness,উজ্জ্বলতা
Brightness control,উজ্জ্বলতা নিয়ন্ত্রণ
Brittle,ভঙ্গুর
Brittle substance,ভঙ্গুর পদার্থ
Broadband,ব্রডব্যান্ড
Broadband amplifier,ব্রডব্যান্ড পরিবর্ধক
Broadband ISDN,ব্রডব্যান্ড আইএসডিএন
Broadband system,ব্রডব্যান্ড সিস্টেম
Broadcast and communication technology,সম্প্রচার এবং যোগাযোগ প্রযুক্তি
Broadcast coverage,সম্প্রচার কভারেজ
Broadcast receiver,সম্প্রচার গ্রহনকারী যন্ত্র
Broadcast service planning,সম্প্রচার পরিষেবা পরিকল্পনা
Broadcast transmitter,সম্প্রচার ট্রান্সমিটার
Broadcaster,সম্প্রচারক
Broadcasting,সম্প্রচার
Broadcasting station,সম্প্রচার কেন্দ্র
Broken,ভাঙ্গা
Browser,ব্রাউজার
Browsing,ব্রাউজিং
Bubble,বুদ্বুদ
Buffer,বাফার
Buffer amplifier,বাফার পরিবর্ধক
Buffer tube,বাফার টিউব
Bug,বাগ
Built-in antenna,অন্তর্নির্মিত অ্যান্টেনা
Burner,বার্নার
Burning,জ্বলন্ত
Burst error,বিস্ফোরণ ত্রুটি
Burst insertion pulse,ফেটে সন্নিবেশ ডাল
Burst phase,বিস্ফোরণ পর্ব
Bus,বাস
Business intelligence,ব্যবসায়িক বুদ্ধি
Buzzer,বুজার
By pass,পাস দ্বারা
By passing,পাস করে
Bypass condenser,বাইপাস কনডেন্সার
C,গ
C+programming language,সি+প্রোগ্রামিং ভাষা
Cabinet,মন্ত্রিসভা
Cable,কেবল
Cable compound,তারের যৌগ
Cable equalization,তারের সমতা
Cable loss,তারের ক্ষতি
Cache,ক্যাশে
Caching,ক্যাচিং
Cadmium cell,ক্যাডমিয়াম সেল
Calculating machine,গননা যন্ত্র
Calculation,গণনা
Calculator,ক্যালকুলেটর
Calibrate,ক্যালিব্রেট
Calipers,ক্যালিপার্স
Calorimeter,ক্যালোরিমিটার
Camcorder,ক্যামকর্ডার
Camera,ক্যামেরা
Camera alignment,ক্যামেরা প্রান্তিককরণ
Camera aperture,ক্যামেরা অ্যাপারচার
Camera coverage,ক্যামেরা কভারেজ
Camera line-up,ক্যামেরা লাইন আপ
Camera tube,ক্যামেরা টিউব
Canopy,ক্যানোপি
Capability,ক্ষমতা
Capacitance,ক্যাপাসিট্যান্স
Capacitive load,ক্যাপাসিটিভ লোড
Capacitive reactance,ক্যাপাসিটিভ প্রতিক্রিয়া
Capacitor,ক্যাপাসিটার
Capacitor input filter,ক্যাপাসিটার ইনপুট ফিল্টার
Capacity,ক্ষমতা
Capsule,ক্যাপসুল
Caption,ক্যাপশন
Capture effect,প্রভাব ক্যাপচার
Card,কার্ড
Cardioid,কার্ডিওড
Cardioid microphone,কার্ডিওড মাইক্রোফোন
Carrier,ক্যারিয়ার
Carrier frequency,ক্যারিয়ার ফ্রিকোয়েন্সি
Carrier frequency shift,ক্যারিয়ার ফ্রিকোয়েন্সি শিফট
Carrier power,ক্যারিয়ার শক্তি
Carrier sense signal,ক্যারিয়ার ইন্দ্রিয় সংকেত
Carrier sensitivity,ক্যারিয়ার সংবেদনশীলতা
Carrier separation,ক্যারিয়ার বিচ্ছেদ
Carrier shift,ক্যারিয়ার শিফট
Carrier spacing,ক্যারিয়ার ব্যবধান
Carrier suppression,ক্যারিয়ার দমন
Carrier wave,ক্যারিয়ার তরঙ্গ
Cartridge,কার্তুজ
Carving,খোদাই
Cascade,ক্যাসকেড
Cascaded circuit,ক্যাসকেড সার্কিট
Cassette,ক্যাসেট
Cast iron,ঢালাই লোহা
Casting,ঢালাই
Catalogue,ক্যাটালগ
Catastrophic interference,বিপর্যয়মূলক হস্তক্ষেপ
Cathode,ক্যাথোড
Cathode follower,ক্যাথোড অনুসরণকারী
Cathode resistor,ক্যাথোড প্রতিরোধক
Cellphone,মুঠোফোন
Cellular,কোষ বিশিষ্ট
Central control,কেন্দ্রীয় নিয়ন্ত্রণ
Central frequency,কেন্দ্রীয় ফ্রিকোয়েন্সি
Central processing unit,কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট
Centralised database,কেন্দ্রীভূত ডাটাবেস
Centralised system,কেন্দ্রীভূত সিস্টেম
Ceramic,সিরামিক
Chamber,চেম্বার
Changeover switch,পরিবর্তন স্যুইচ
Channel,চ্যানেল
Channel encoder,চ্যানেল এনকোডার
Channel separation,চ্যানেল বিচ্ছেদ
Channel spacing,চ্যানেল ব্যবধান
Channel switching,চ্যানেল স্যুইচিং
Characteristic impedance,বৈশিষ্ট্যযুক্ত প্রতিবন্ধকতা
Characteristics,বৈশিষ্ট্য
Charge carrier,চার্জ ক্যারিয়ার
Charge density,চার্জ ঘনত্ব
Charged,চার্জ করা
Charger,চার্জার
Charging voltage,চার্জিং ভোল্টেজ
Chart,চার্ট
Chasis,চ্যাসিস
Chat,চ্যাট
Chip,চিপ
Choke coil,চোক কয়েল
Choke input,চোক ইনপুট
Chopper amplifier,চপার পরিবর্ধক
Chroma,ক্রোমা
Chroma sampling structure,ক্রোমা স্যাম্পলিং কাঠামো
Chrominance,ক্রোমিনেন্স
Cinematography,সিনেমাটোগ্রাফি
Circuit,সার্কিট
Circuit board,সার্কিট বোর্ড
Circuit breaker,সার্কিট ব্রেকার
Circuit element,সার্কিট উপাদান
Circuit switching,সার্কিট বদল
Circuitry,সার্কিটরি
Circular motion,বৃত্তাকার গতি
Circular polarization,বিজ্ঞপ্তি মেরুকরণ
Circular satellite orbit,বিজ্ঞপ্তি স্যাটেলাইট কক্ষপথ
Circular velocity,বৃত্তাকার বেগ
Circularly polarised antenna,বৃত্তাকারভাবে মেরুকৃত অ্যান্টেনা
Circularly polarised transmission,বিজ্ঞপ্তিযুক্ত মেরুকৃত সংক্রমণ
Circulator,সার্কুলেটর
Cladding,ক্ল্যাডিং
Clamp,বাতা
Clamping circuit,ক্ল্যাম্পিং সার্কিট
Class A operation,ক্লাস এ অপারেশন
Class C tuned amplifier,ক্লাস সি সুরযুক্ত পরিবর্ধক
Class of emission,নির্গমন শ্রেণি
Classical physics,শাস্ত্রীয় পদার্থবিজ্ঞান
Classification,শ্রেণিবদ্ধকরণ
Cleaning agent,পরিষ্কার এজেন্ট
Clear,স্পষ্ট
Clear channel,চ্যানেল সাফ করুন
Click,ক্লিক
Client,ক্লায়েন্ট
Client relationship  (server relationship),ক্লায়েন্ট সম্পর্ক (সার্ভার সম্পর্ক)
Cliff effect,ক্লিফ প্রভাব
Clip board,ক্লিপ বোর্ড
Clipping,ক্লিপিং
Clock pulse,ঘড়ির পালস
Clocked flip flop,ক্লকড ফ্লিপ ফ্লপ
Clockfaced mike,ক্লকফেসড মাইক
Clock-frequency,ঘড়ি-ফ্রিকোয়েন্সি
Clockwise,ক্লকওয়াইজ
Closed circuit,বন্ধ সার্কিট
Closed loop,বদ্ধ চক্র
Cluster,ক্লাস্টার
Clustering,ক্লাস্টারিং
Clutter,বিশৃঙ্খলা
Clutter loss,বিশৃঙ্খলা ক্ষতি
Coating,আবরণ
