Bengali,Kannada
অম্লতা,ಆಮ್ಲೀಯತೆ
অ্যাসিডোফাইল,ಅಸಿಡೋಫೈಲ್
অম্লীয় রক ফসফেট,ಆಮ್ಲೀಕೃತ ರಾಕ್ ಫಾಸ್ಫೇಟ್
অ্যাসিডযুক্ত,ಆಮ್ಲೀಕೃತ
aquifer,ಜಲಚರ
অধিগ্রহণ,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವಿಕೆ
একর,ಎಕರೆ
1. এলাকা 2. এলাকা,1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ
শেষ বিন্দু ক্রোমোজোম,ಎಂಡ್ ಪಾಯಿಂಟ್ ಕ್ರೋಮೋಸೋಮ್
দূরদর্শী,ಮುಂದೆ ನೋಡುವ
acrosome,ಅಕ್ರೋಸೋಮ್
actinomycetes,ಆಕ್ಟಿನೊಮೈಸೆಟ್ಸ್
সক্রিয় কোর,ಸಕ್ರಿಯ ಕೋರ್
1. উগ্র 2. তীব্র,1. ಉಗ್ರ 2. ತೀವ್ರ
অভিযোজনযোগ্যতা,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
কাস্টমাইজেশন,ಗ್ರಾಹಕೀಕರಣ
1. আনুগত্য 2. আনুগত্য,1. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ 2. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
sebaceous,ಮೇದಸ್ಸಿನ
সমন্বয় সমীকরণ,ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ
adobe মাটি,ಅಡೋಬ್ ಮಣ್ಣು
ভেজাল,ಕಲಬೆರಕೆ
ectopic,ಅಪಸ್ಥಾನೀಯ
ইসিডিওস্পোর ইসিডিয়াম স্পোর,ಇಸಿಡಿಯೋಸ್ಪೋರ್ ಐಸಿಡಿಯಮ್ ಸ್ಪೋರ್
এরোডাইনামিক প্রক্রিয়া,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಪ್ರಕ್ರಿಯೆ
ventral,ಕುಹರದ
বায়ু করা,ಗಾಳಿ ಹಾಕಲು
1. বায়ু 2. আকাশী,1. ಗಾಳಿ 2. ಆಕಾಶಿ
1. অ্যারোমিটার 2. অ্যারোমিটার 3. অ্যারোমিটার,1. ಏರೋಮೀಟರ್ 2. ಏರೋಮೀಟರ್ 3. ಏರೋಮೀಟರ್
এরোসল,ಏರೋಸಾಲ್
1. পুষ্পমঞ্জরী 2. গ্রীষ্মকালীন সুপ্ততা,1. ಹೂಗೊಂಚಲು 2. ಬೇಸಿಗೆ ಸುಪ್ತ
রোগের বিজ্ঞান,ರೋಗದ ವಿಜ್ಞಾನ
বনায়ন,ಅರಣ್ಯೀಕರಣ
1. আন্দোলন 2. অশান্তি,1. ತಳಮಳ 2. ಪ್ರಕ್ಷುಬ್ಧತೆ
এগমার্ক,ಅಗ್ಮಾರ್ಕ್
1. জমি সংক্রান্ত 2. কৃষি,1. ಭೂಮಿಗೆ ಸಂಬಂಧಿಸಿದ 2. ಕೃಷಿ
কৃষি ক্লিনিক,ಕೃಷಿ ಕ್ಲಿನಿಕ್
1. কৃষি শ্রম 2. কৃষি শ্রম,1. ಕೃಷಿ ಕಾರ್ಮಿಕ 2. ಕೃಷಿ ಕಾರ್ಮಿಕ
কৃষি বিপণন,ಕೃಷಿ ಮಾರುಕಟ್ಟೆ
কৃষি প্রযুক্তি,ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ
1. কৃষি 2. চাষাবাদ 3. কৃষি বিজ্ঞান,1. ಕೃಷಿ 2. ಕೃಷಿ 3. ಕೃಷಿ ವಿಜ್ಞಾನ
কৃষি বনায়ন,ಕೃಷಿ ಅರಣ್ಯ
কৃষি জীববৈচিত্র্য,ಕೃಷಿ ಜೀವವೈವಿಧ್ಯ
কৃষি জৈব ত্রুটি,ಕೃಷಿ ಸಾವಯವ ದೋಷಗಳು
কৃষি জীববিজ্ঞান,ಕೃಷಿ ಜೀವಶಾಸ್ತ್ರ
কৃষি-জলবায়ু বৈচিত্র্য,ಕೃಷಿ-ಹವಾಮಾನ ವೈವಿಧ್ಯ
কৃষি জলবায়ু অঞ্চল সৃষ্টি,ಕೃಷಿ ಹವಾಮಾನ ವಲಯದ ಸೃಷ್ಟಿ
কৃষি বনবিদ্যা,ಕೃಷಿ ಅರಣ್ಯ
কৃষিবিদ্যা,ಕೃಷಿಶಾಸ್ತ್ರ
কৃষিবিজ্ঞান,ಕೃಷಿಶಾಸ್ತ್ರ
কৃষি যাজক,ಕೃಷಿ ಪಶುಪಾಲಕ
ফসল প্রক্রিয়াকরণ,ಬೆಳೆ ಸಂಸ್ಕರಣೆ
ঘাস বিজ্ঞান,ಹುಲ್ಲು ವಿಜ್ಞಾನ
ফসলের ধরন,ಬೆಳೆ ಪ್ರಕಾರ
এপিফাইট,ಎಪಿಫೈಟ್
aikiochi মাটি,ಐಕಿಯೋಚಿ ಮಣ್ಣು
বর্ণান্ধতা,ಬಣ್ಣಗುರುಡು
আলফিসল,ಅಲ್ಫಿಸೋಲ್
শৈবাল,ಪಾಚಿ
শেওলা রোগ,ಪಾಚಿ ರೋಗ
ক্ষার জল,ಕ್ಷಾರ ನೀರು
ক্ষারীয়,ಕ್ಷಾರೀಯ
বিকল্প,ಪರ್ಯಾಯ
অ্যালেলো রসায়ন,ಅಲ್ಲೆಲೋ ರಸಾಯನಶಾಸ್ತ್ರ
অ্যালিল,ಆಲೀಲ್
অ্যালিলোপ্যাথি,ಅಲೆಲೋಪತಿ
ভেথি ফসল,ವೇಥಿ ಬೆಳೆ
পরিপূর্ণতা,ಪೂರ್ಣಗೊಳ್ಳುವಿಕೆ
নিষিক্তকরণ,ಫಲೀಕರಣ
1. আপেক্ষিকতা 2. অ্যালোমেট্রি,1. ಸಾಪೇಕ್ಷತೆ 2. ಅಲೋಮೆಟ್ರಿ
multiploidy,ಮಲ್ಟಿಪ್ಲಾಯ್ಡ್
1. প্যারাজিগোসিটি,1. ಪ್ಯಾರಾಜಿಗೋಸಿಟಿ
1. বিকল্প বছরের ফাংশন 2. বিকল্প ফাংশন,1. ಪರ್ಯಾಯ ವರ್ಷದ ಕಾರ್ಯ 2. ಪರ್ಯಾಯ ಕಾರ್ಯ
বিকল্প ভূমি ব্যবহার,ಪರ್ಯಾಯ ಭೂಮಿ ಬಳಕೆ
পরিবেশ,ಪರಿಸರ
সংস্কারক,ಸುಧಾರಕ
মাইটোসিস,ಮಿಟೋಸಿಸ್
আমীনান,ಅಮೀನನ್
ammonion,ಅಮೋನಿಯನ್
amniferous,ಆಮ್ನಿಫೆರಸ್
1. অকার্যকর রূপ 2. অরূপী,1. ನಿಷ್ಪರಿಣಾಮಕಾರಿ ರೂಪ 2. ಅರೂಪಿ
উভচর মিশ্রণ,ಉಭಯಚರ ಮಿಶ್ರಣ
amphoteric,ಆಂಫೋಟರಿಕ್
মজুদ,ಸಂಗ್ರಹಣೆ
1. অ্যানেরোবিক 2. অ্যানেরোবিক জীব,1. ಆಮ್ಲಜನಕರಹಿತ 2. ಆಮ್ಲಜನಕರಹಿತ ಜೀವಿಗಳು
হ্যাপ্লয়েড,ಹ್ಯಾಪ್ಲಾಯ್ಡ್
কৌণিক রোপণ,ಕೋನೀಯ ನೆಟ್ಟ
পশুপালন,ಪಶುಸಂಗೋಪನೆ
প্রাণীর মলমূত্র,ಪ್ರಾಣಿಗಳ ಮಲವಿಸರ್ಜನೆ
জীবন্ত শক্তি,ಜೀವನ ಶಕ್ತಿ
অস্বাভাবিক,ಅಸಂಗತ
এক বছর বয়সী উদ্ভিদ,ಒಂದು ವರ್ಷದ ಸಸ್ಯ
বার্ষিক,ವಾರ್ಷಿಕ
1. পরমানন্দ 2. উচ্ছ্বাস,1. ಭಾವಪರವಶತೆ 2. ಪ್ರಕಾಶ
অ্যানথ্রাক্স,ಆಂಥ್ರಾಕ್ಸ್
নৃতাত্ত্বিক কারণ,ಮಾನವಜನ್ಯ ಅಂಶಗಳು
বেঁচে থাকা,ಬದುಕುಳಿಯುವಿಕೆ
1. অ্যান্টিবায়োটিক 2. অ্যান্টিবায়োটিক,1. ಪ್ರತಿಜೀವಕ 2. ಪ್ರತಿಜೀವಕ
বিকর্ষণকারী,ಹಿಮ್ಮೆಟ್ಟಿಸುವ
অ্যান্টিঅক্সিডেন্ট,ಉತ್ಕರ್ಷಣ ನಿರೋಧಕ
অ্যান্টিটক্সিন,ಆಂಟಿಟಾಕ್ಸಿನ್
অনামিকা আঙুল,ಉಂಗುರದ ಬೆರಳು
1. এফিড 2. মাহু 3. চেপা,1. ಗಿಡಹೇನು 2. ಮಾಹು 3. ಚೇಪಾ
শীর্ষ কুঁড়ি,ಮೇಲಿನ ಮೊಗ್ಗು
সর্বোচ্চ কার্যকারিতা,ಗರಿಷ್ಠ ಪರಿಣಾಮಕಾರಿತ್ವ
মৌমাছি পালন,ಜೇನುಸಾಕಣೆ
অযৌনতা,ಅಲೈಂಗಿಕತೆ
apoptosis,ಅಪೊಪ್ಟೋಸಿಸ್
পরিশিষ্ট,ಅನುಬಂಧಗಳು
ক্ষুধার্ত,ಜೀರ್ಣಕಾರಕವಾಗಿ
প্রয়োগ করা,ಅನ್ವಯಿಸಲಾಗಿದೆ
জলজ আগাছা,ಜಲವಾಸಿ ಕಳೆ
1. গাছ 2. গাছের বাসিন্দা,1. ಮರ 2. ಮರದ ನಿವಾಸಿ
শাখা,ಕವಲೊಡೆಯುತ್ತಿದೆ
প্রোটোবোটানিকাল রেকর্ড,ಪ್ರೊಟೊಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು
জোন নম্বর,ವಲಯ ಸಂಖ್ಯೆ
1. এলাকা 2. এলাকা,1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ
শুষ্ক বাস্তুতন্ত্র,ಒಣ ಪರಿಸರ ವ್ಯವಸ್ಥೆ
cotyledon,ಕೋಟಿಲ್ಡನ್
সৌরভ,ಸೌರಭ್
সুগন্ধি উদ্ভিদ,ಆರೊಮ್ಯಾಟಿಕ್ ಸಸ್ಯ
সুগন্ধি চাল,ಪರಿಮಳಯುಕ್ತ ಅಕ್ಕಿ
ইক্ষু পুষ্পন,ಇಕ್ಷು ಪುಷ್ಪನ್
অ্যাসেপটিক,ಅಸೆಪ್ಟಿಕ್
1. অ্যাসেপটিক 2. অ্যাসেপটিক,1. ಅಸೆಪ್ಟಿಕ್ 2. ಅಸೆಪ್ಟಿಕ್
অস্ত্রোপচার,ಅಲೈಂಗಿಕ ಸಂತಾನೋತ್ಪತ್ತಿ
আকার,ಗಾತ್ರ
সম্পদ,ಆಸ್ತಿ
1. আত্তীকরণ 2. আত্তীকরণ,1. ಸಮೀಕರಣ 2. ಸಮೀಕರಣ
1. সমিতি 2. সমিতি,1. ಸಂಘ 2. ಸಂಘ
1. কলাম 2. কৃপণতা,1. ಕಾಲಮ್ 2. ಸಂಕೋಚನ
হেটেরোজাইগোসিটি,ಹೆಟೆರೋಜೈಗೋಸಿಟಿ
1. পূর্বপুরুষ 2. অ্যাটাভিজম,1. ಪೂರ್ವಜ 2. ಅಟಾವಿಸಂ
কণা,ಕಣ
1. অনিশ্চয়তা 2. দুর্বলতা,1. ದೃಢೀಕರಣ 2. ದುರ್ಬಲತೆ
স্ব জোড়া,ಸ್ವಯಂ ಜೋಡಣೆ
অটোলাইসিস,ಆಟೋಲಿಸಿಸ್
1. স্বতঃস্ফূর্ত জারণ 2. স্বতঃস্ফূর্ত জারণ,1. ಸ್ವಾಭಾವಿಕ ಆಕ್ಸಿಡೀಕರಣ 2. ಸ್ವಾಭಾವಿಕ ಉತ್ಕರ್ಷಣ
স্বয়ং মাল্টিপ্লেক্সড,ಸ್ವಯಂ ಮಲ್ಟಿಪ್ಲೆಕ್ಸ್
অক্সিন,ಆಕ್ಸಿನ್
1. কাঁপানো 2. টোড,1. ಷೂಕ್ 2. ಟೋಡ್
পেনাল ভাইরাস,ದಂಡದ ವೈರಸ್
1. ব্যাসিলাস 2. ব্যাসিলাস,1. ಬ್ಯಾಸಿಲಸ್ 2. ಬ್ಯಾಸಿಲಸ್
1. ব্যাকটেরিয়া 2. ব্যাকটেরিয়া,1. ಬ್ಯಾಕ್ಟೀರಿಯಾ 2. ಬ್ಯಾಕ್ಟೀರಿಯಾ
ব্যাকটেরিয়াল টক্সিন,ಬ್ಯಾಕ್ಟೀರಿಯಾದ ವಿಷ
ব্যাগাস,ಬಗಸೆ
ব্যালেন্স শীট,ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್
সুষম সার ব্যবহার,ಸಮತೋಲಿತ ರಸಗೊಬ್ಬರ ಬಳಕೆ
বার গ্রাফ,ಬಾರ್ ಗ್ರಾಫ್
বাকল,ತೊಗಟೆ
1. ব্যারোমিটার 2. ব্যারোমিটার,1. ವಾಯುಭಾರ ಮಾಪಕ 2. ವಾಯುಭಾರ ಮಾಪಕ
1. গুঞ্জন 2. অদৃশ্য 3. অনুর্বর,1. ಬಜರ್ 2. ಜಡ 3. ಬಂಜರು
1. বেস 2. বেস 3. কাপং,1. ಬೇಸ್ 2. ಬೇಸ್ 3. ಕುಪಾಂಗ್
1. টালা 2. বেসিন,1. ತಾಲಾ 2. ಜಲಾನಯನ ಪ್ರದೇಶ
তালাবিসারি,ತಲಾಬಿಸಾರಿ
1. বেসিস্টেরনাম 2. রুট ধারক,1. ಬೇಸಿಸ್ಟರ್ನಮ್ 2. ರೂಟ್ ಹೋಲ್ಡರ್
উপসাগরীয় বর্ষা,ಗಲ್ಫ್ ಮಾನ್ಸೂನ್
ফলের উদ্ভিদ,ಹಣ್ಣಿನ ಗಿಡ
বিছানা,ಹಾಸಿಗೆ
বিছানা উদ্ভিদ,ಹಾಸಿಗೆ ಸಸ್ಯ
বিছানাপত্র,ಹಾಸಿಗೆ
বীট গুড়,ಬೀಟ್ ಮೊಲಾಸಸ್
বেল,ಬೆಲ್ಲೋಸ್
1. স্ট্রিপ 2. ভূখণ্ড,1. ಪಟ್ಟಿ 2. ಭೂಪ್ರದೇಶ
লাভ-খরচ বিশ্লেষণ,ಲಾಭ-ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ
উচ্চাকাঙ্ক্ষী (স্যাম্পলিং),ಮಹತ್ವಾಕಾಂಕ್ಷಿ (ಮಾದರಿ)
দ্বিবার্ষিক গাছপালা,ದ್ವೈವಾರ್ಷಿಕ ಸಸ್ಯಗಳು
দ্বিপদ,ದ್ವಿಪದ
বায়োফ্যাক্টর,ಜೈವಿಕ ಅಂಶ
জৈবিক জলবায়ু,ಜೈವಿಕ ಹವಾಮಾನ
জৈব শক্তি,ಜೈವಿಕ ಶಕ್ತಿ
প্রাণীজগতের বাস্তুসংস্থান,ಪ್ರಾಣಿಗಳ ಪರಿಸರ ವಿಜ್ಞಾನ
1. বায়ো-প্রসেসর 2. বায়ো-চুল্লি,1. ಬಯೋ-ಪ್ರೊಸೆಸರ್ 2. ಬಯೋ-ರಿಯಾಕ್ಟರ್
জীবজগৎ,ಜೀವಗೋಳ
জৈবিক,ಜೈವಿಕ
প্রাণীজগত,ಪ್ರಾಣಿಸಂಕುಲ
ডিভিলিঙ্গি,ದಿವಿಲಿಂಗಿ
ধওলান,ಧವಳನ್
1. প্রধবাসন (রোগ) 2. দমকা রোগ,1. ಪ್ರಧ್ವಸನ್ (ರೋಗ) 2. ಗಸ್ಟ್ ರೋಗ
মিশ্রন,ಮಿಶ್ರಣ
1. আংমারী (রোগ) 2. ব্লাইট (রোগ),1. ಅಂಗಮಾರಿ (ರೋಗ) 2. ರೋಗ (ರೋಗ)
1. ফোস্কা 2. ফোস্কা 3. বিস্ফোরণ 4. ফোস্কা,1. ಬ್ಲಿಸ್ಟರ್ 2. ಬ್ಲಿಸ್ಟರ್ 3. ಎರಪ್ಶನ್ 4. ಬ್ಲಿಸ್ಟರ್
নীল বিপ্লব,ನೀಲಿ ಕ್ರಾಂತಿ
প্ল্যানার হিটিং চেম্বার,ಪ್ಲಾನರ್ ಹೀಟಿಂಗ್ ಚೇಂಬರ್
প্ল্যানার হিটিং প্রযুক্তি,ಪ್ಲ್ಯಾನರ್ ತಾಪನ ತಂತ್ರಜ್ಞಾನ
তুষ,ಹೊಟ್ಟು
শাখা,ಕವಲೊಡೆಯುತ್ತಿದೆ
1. ডালপালা 2. উপশাখা,1. ರೆಂಬೆ 2. ಉಪಶಾಖೆ
বংশবৃদ্ধি,ತಳಿ
প্রজনন,ಸಂತಾನೋತ್ಪತ್ತಿ
প্রাথমিক অঙ্কুর চিকিত্সা,ಆರಂಭಿಕ ಮೊಳಕೆಯೊಡೆಯುವಿಕೆ ಚಿಕಿತ್ಸೆ
1. বাচ্চা 2. ডিম 3. ভ্রূণ,1. ಮರಿ 2. ಮೊಟ್ಟೆ 3. ಭ್ರೂಣ
উদীয়মান,ಮೊಳಕೆಯೊಡೆಯುತ್ತಿದೆ
বাজেট,ಬಜೆಟ್
1.অ্যাম্ফোটেরিক 2. বাফার,1.ಆಂಫೋಟೆರಿಕ್ 2. ಬಫರ್
মিষ্টি আলু,ಸಿಹಿ ಆಲೂಗಡ್ಡೆ
বান্ট (রোগ),ಬಂಟ್ (ರೋಗ)
1. উপজাত 2. উপজাত,1. ಉಪ ಉತ್ಪನ್ನ 2. ಉಪ ಉತ್ಪನ್ನ
c আর্দ্রতা স্পেসিফিকেশন বক্ররেখা,c ತೇವಾಂಶದ ನಿರ್ದಿಷ್ಟ ಕರ್ವ್
তেল পিষ্টক,ಎಣ್ಣೆ ಕೇಕ್
1. চুন 2. ক্যালসিয়াম,1. ಸುಣ್ಣ 2. ಕ್ಯಾಲ್ಸಿಯಂ
ক্যালসিয়ন,ಕ್ಯಾಲ್ಸಿಯಾನ್
ফসফেট অপসারণ,ಫಾಸ್ಫೇಟ್ ತೆಗೆಯುವಿಕೆ
1. কিনাটা 2. কালটা,1. ಕಿನಾಟಾ 2. ಕ್ಯಾಲಟಾ
1.ক্যালাস 2. রশ্মি,1.ಕ್ಯಾಲಸ್ 2. ಕಿರಣ
1. সেপালস 2. ক্যালিক্স,1. ಸೀಪಲ್ಸ್ 2. ಕ್ಯಾಲಿಕ್ಸ್
বহির্মুখী শেষ,ಹೊರಗಿನ ಅಂತ್ಯ
এধা,ಈಧಾ
ক্যানকার (ব্যাকটেরিয়াজনিত রোগ),ಕ್ಯಾನ್ಸರ್ (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ)
ক্যানিং,ಕ್ಯಾನಿಂಗ್
আকাশ,ಆಕಾಶ
অর্থায়ন,ಹಣಕಾಸು
পরাগায়ন (ডুমুরের),ಪರಾಗಸ್ಪರ್ಶ (ಅಂಜೂರದ ಹಣ್ಣುಗಳು)
1. ক্যাপসুল 2. ক্যাপসুল 3. ক্যাপসুল,1. ಕ್ಯಾಪ್ಸುಲ್ 2. ಕ್ಯಾಪ್ಸುಲ್ 3. ಕ್ಯಾಪ್ಸುಲ್
কার্বনাইজড,ಕಾರ್ಬೊನೈಸ್ಡ್
কার্বনান,ಕಾರ್ಬೊನಾನ್
ক্যারাপেস,ಕ್ಯಾರಪೇಸ್
ব্রেসলেট,ಕಂಕಣ
1. ঢালাই (লোহা) 2. ক্ষিপ্তি (পোকা),1. ಎರಕ (ಕಬ್ಬಿಣ) 2. ಕ್ಷಿತಿ (ಕೀಟ)
catabolism,ಕ್ಯಾಟಬಾಲಿಸಮ್
প্ররোচনা,ಪ್ರೇರಣೆ
1. শুঁয়োপোকা 2. শুঁয়োপোকা,1. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್ 2. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್
গ d. এন. ক সংগ্রহ,ಸಿ ಡಿ. ಎನ್. ಎ. ಸಂಗ್ರಹಣೆ
পরিসীমা,ವ್ಯಾಪ್ತಿ
1. কোষ 2. কোষ,1. ಕೋಶ 2. ಕೋಶ
কেন্দ্রীয় ফ্রন্ট সিস্টেম,ಕೇಂದ್ರ ಮುಂಭಾಗದ ವ್ಯವಸ್ಥೆ
1. পয়েন্ট 2. ফোকাস,1. ಪಾಯಿಂಟ್ 2. ಫೋಕಸ್
কেন্দ্রীকরণ,ಕೇಂದ್ರಾಪಗಾಮಿ
সেন্ট্রিফিউজ,ಕೇಂದ್ರಾಪಗಾಮಿ
তারকা কেন্দ্র,ನಕ್ಷತ್ರ ಕೇಂದ್ರ
এপিজেনেটিক,ಎಪಿಜೆನೆಟಿಕ್
কেন্দ্রজা,ಕೇಂದ್ರರಾಜ
তাঁত,ಮಗ್ಗ
1. সিরিয়াল 2. সিরিয়াল,1. ಏಕದಳ 2. ಸೀರಿಯಲ್
1. সার্টিফিকেশন 2. সার্টিফিকেশন,1. ಪ್ರಮಾಣೀಕರಣ 2. ಪ್ರಮಾಣೀಕರಣ
প্রত্যয়িত বীজ,ಪ್ರಮಾಣೀಕೃತ ಬೀಜ
1. খড় 2. কুট্টি 3. শলক সহপাত্র,1. ಹುಲ್ಲು 2. ಕುಟ್ಟಿ 3. ಶಾಲಕ್ ಸಹಪಾತ್ರ
1. নিভাগ 2. কৈলাজা,1. ನಿಭಾಗ್ 2. ಕೈಲಾಜಾ
কাইমোগ্রাফি,ಕೈಮೊಗ್ರಫಿ
1. কিয়াজমা 2. ব্যস্ত,1. ಕಿಯಾಜ್ಮಾ 2. ಕಾರ್ಯನಿರತ
সুপার কুলিং ঘন্টা,ಸೂಪರ್ ಕೂಲಿಂಗ್ ಗಂಟೆಗಳು
তুষারপাত ক্ষতি,ಫ್ರಾಸ್ಟ್ ಹಾನಿ
1. ভিচিরোটাকি 2. কাইমেরা,1. ವಿಚಿರೋಟಕಿ 2. ಚಿಮೆರಾ
সবুজ porridge,ಹಸಿರು ಗಂಜಿ
1. পাতা 2. সবুজ,1. ಎಲೆಗಳು 2. ಹಸಿರು
সায়ানোসিস,ಸೈನೋಸಿಸ್
জৈবিক বিতরণ বিজ্ঞান,ಜೈವಿಕ ವಿತರಣಾ ವಿಜ್ಞಾನ
1. ক্রোমাটিডস 2. অর্ধেক ক্রোমোজোম,1. ಕ್ರೊಮಾಟಿಡ್ಸ್ 2. ಅರ್ಧ ವರ್ಣತಂತುಗಳು
ক্রোমাটিন,ಕ್ರೊಮಾಟಿನ್
ক্রোমাটোগ্রাফি,ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ
ক্রোমাটিনলেশন,ಕ್ರೊಮಾಟಿಲೇಷನ್
অলিন্দ বিন্দু,ಹೃತ್ಕರ್ಣದ ಬಿಂದು
ক্রোমাটোজেনেসিস,ಕ್ರೊಮಾಟೊಜೆನೆಸಿಸ್
1. ক্রোমোপ্রোটিন 2. পিগমেন্টপ্রোটিন,1. ಕ್ರೋಮೋಪ್ರೋಟೀನ್ 2. ಪಿಗ್ಮೆಂಟ್ಪ್ರೋಟೀನ್
1. ক্রোমোজোম 2. ক্রোমোজোম,1. ವರ್ಣತಂತುಗಳು 2. ವರ್ಣತಂತುಗಳು
1. দীর্ঘস্থায়ী 2. দীর্ঘস্থায়ী 3. দীর্ঘস্থায়ী 4. অপ্রচলিত,1. ದೀರ್ಘಕಾಲದ 2. ದೀರ್ಘಕಾಲದ 3. ದೀರ್ಘಕಾಲದ 4. ಬಳಕೆಯಲ್ಲಿಲ್ಲದ
citrange,ಸಿಟ್ರೇಂಜ್
শরৎ উৎসব,ಶರತ್ಕಾಲದ ಹಬ್ಬ
শ্রেণীবিভাগ,ವರ್ಗೀಕರಣ
1. কাদামাটি 2. কাদামাটি,1. ಮಣ್ಣು 2. ಮಣ್ಣು
1. পরিষ্কার করা 2. স্ক্রাবিং 3. পরিষ্কার করা 4. পরিশোধন,1. ಶುಚಿಗೊಳಿಸುವಿಕೆ 2. ಸ್ಕ್ರಬ್ಬಿಂಗ್ 3. ಸ್ವಚ್ಛಗೊಳಿಸುವಿಕೆ 4. ಶುದ್ಧೀಕರಣ
অবিরাম পরাগায়ন,ನಿರಂತರ ಪರಾಗಸ್ಪರ್ಶ
ক্রুসিফেরাস ফল,ಶಿಲುಬೆಯ ಹಣ್ಣು
জলবায়ু,ಹವಾಮಾನ
জলবায়ুবিদ্যা,ಹವಾಮಾನಶಾಸ್ತ್ರ
শিয়ার,ಬರಿಯ
পিণ্ড (কাদামাটি),ಉಂಡೆ (ಜೇಡಿಮಣ್ಣು)
ক্লোন,ತದ್ರೂಪಿ
1.মেঘ 2.মেঘ,1.ಮೋಡಗಳು 2.ಮೋಡಗಳು
clump,ಗೊಂಚಲು
গুচ্ছ,ಗುಂಪನ್ನು
1. মোটা 2. রুক্ষ 3. কাঁচা 4. রুক্ষ,1. ಒರಟು 2. ಒರಟು 3. ಕಚ್ಚಾ 4. ಒರಟು
1. কভার 2. লেদারেট,1. ಕವರ್ 2. ಲೆಥೆರೆಟ್
কোয়া,ಕೋಯಾ
