Odiya,English
ବନ୍ଧନୀ,Brace
ଇଟା-ଧାର,Brick-on-edge
ବ୍ରିଡଲ୍ |,Bridle
ଉଜ୍ଜ୍ୱଳତା |,Brightness
ବାଦାମୀ ମାଟି |,Brown soil
ବିଲଡିଂ,Building
ବିଲ୍ଡିଂ ସର୍ବେକ୍ଷଣକାରୀ |,Building surveyor
ବଫର୍ |,Buffer
ବଫର୍ ବକ୍ର,Buffer curve
ବଫରିଂ |,Buffering
ବଫରିଂ କ୍ଷମତା |,Buffering capacity
ବଣ୍ଡର୍ |,Bunder
ଦୁର୍ଗ,Buttress
ସି-ରାଶି,C-horizon
କେବୁଲ୍ |,Cable
କେବୁଲ୍ ମୋଲିଡିଂ |,Cable moulding
କ୍ୟାବଲିଂ |,Cabling
କ୍ୟାବିନ,Cabin
କ୍ୟାବିନ ହୁକ୍ |,Cabin hook
କ୍ୟାବିନେଟ୍,Cabinet
କ୍ୟାବୋଲ୍ଟଙ୍କ ବିଦାୟ,Cabolt's quit
କାଫେରିଆ |,Cafeteria
କେଜ୍ |,Cage
କେଜ୍ ନିର୍ମାଣ,Cage construction
କ ain ନଙ୍କ ସୂତ୍ର |,Cain's formula
କେସନ୍ |,Caisson
କେସନ୍ ରୋଗ |,Caisson disease
କେସନ୍ ଫାଉଣ୍ଡେସନ୍ |,Caisson foundation
କେସନ୍ ଗଦା |,Caisson pile
କାଲ୍କେରିସ୍ ଇଟା |,Calcareous brick
କାଲକେୟାର ମାଟି |,Calcareous clay
କାଲ୍କେରିସ୍ କ୍ରଷ୍ଟ୍ |,Calcareous crust
ଗଣନା,Calcification
ଗଣନା,Calcination
କାଲସିନ୍,Calcine 
କାଲସିଟ୍ |,Calcite
କ୍ୟାଲସିୟମ୍-ଆଲୁମିନିଟ୍ ସିମେଣ୍ଟ |,Calcium-aluminate cement
କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ଇଟା |,Calcium-silicate brick
କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ହାଇଡ୍ରେଟ୍ |,Calcium-silicate hydrate
କାଲିଚେ |,Caliche
କାଲିଫର୍ନିଆର ଅନୁପାତ ଅନୁପାତ |,California bearing ratio
କାଲିପର୍ |,Caliper
କ୍ୟାଲୋରିମିଟର |,Calorimeter
କ୍ୟାମ୍ବର |,Camber
କେନାଲ |,Canal
କାନୋପି |,Canopy
କ୍ୟାଣ୍ଟିଲାଇଭର ଫୁଟିଂ |,Cantilever footing
କ୍ୟାପ୍,Cap
ସାମର୍ଥ୍ୟ |,Capacity
ସମସ୍ତ ଟ୍ରାକର କ୍ଷମତା |,Capacity of ail track
କ୍ୟାପ୍ କେବୁଲ୍ |,Cap cable
କ୍ଷମତା,Capillarity
କ୍ୟାପିଲାରୀ ବ୍ରେକ୍ |,Capillary break
କ୍ୟାପିଲାରୀ ପ୍ରବାହ |,Capillary flow
କ୍ୟାପିଲାରୀ ଆର୍ଦ୍ରତା କିମ୍ବା କ୍ୟାପିଲାରୀ ପାଣି |,Capillary moisture or capillary water
କ୍ୟାପିଲାରୀ ପୋର ସ୍ପେସ୍ |,Capillary pore space
କ୍ୟାପିଲାରୀ ପୋରୋସିଟି |,Capillary porosity
କ୍ୟାପିଲାରୀ ସ୍ପେସ୍ |,Capillary space
ବେଗ କ୍ୟାପଚର କରନ୍ତୁ |,Capture velocity
କାର୍ବନେସନ୍ |,Carbonation
କାର୍ବନ କଳା,Carbon black
କାଷ୍ଟବଲ୍ ଚିତ୍ତାକର୍ଷକ |,Castble refractory
କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ କିମ୍ବା କାଷ୍ଟ-ଇନ୍-ସିଟ୍ |,Cast-in-place or cast-in-situ
କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ ଗଦା |,Cast-in-place pile
କାଷ୍ଟର |,Castor
ପଥର ପକାନ୍ତୁ |,Cast stone
ଅନୁକ୍ରମଣିକା,Catalyst
କ୍ୟାଟେନା |,Catena
ବିଲେଇ ମୁହଁ |,Cat face
ବିଲେଇ ମୁଣ୍ଡ,Cat head
କେସନ୍,Cation
ବିଲେଇ ଚାଲିବା |,Cat walk
କ୍ୟାଭିଟେସନ୍ କ୍ଷତି |,Cavitation damage
ସେଲିଟ୍,Celite
ସେଲୁଲାର୍ କଂକ୍ରିଟ୍ |,Cellular concrete
ସେଲ୍ୟୁଲାର୍ ନିର୍ମାଣ,Cellular construction
ସିମେଣ୍ଟ |,Cement
"ସିମେଣ୍ଟ, ବିଟୁମିନିୟସ୍ |","Cement, bituminous"
"ସିମେଣ୍ଟ, ଉଚ୍ଚ ଶକ୍ତି |","Cement, high strength"
"ସିମେଣ୍ଟ, ହାଇଡ୍ରୋଲିକ୍ |","Cement, hydraulic"
"ସିମେଣ୍ଟ, କମ୍ ଉତ୍ତାପ |","Cement, low heat"
"ସିମେଣ୍ଟ, ରାଜକୋଷ |","Cement, masonary"
"ସିମେଣ୍ଟ, ପ୍ରାକୃତିକ |","Cement, natural"
"ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ |","Cement, portland"
"ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ |","Cement, portland blast furnace slag"
"ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ପୋଜଜୋଲାନ୍ |","Cement, portland pozzolan"
"ସିମେଣ୍ଟ, ସ୍ଲାଗ୍ |","Cement, slag"
"ସିମେଣ୍ଟ, ସଲଫେଟ୍ ପ୍ରତିରୋଧକ |","Cement, sulphate resistant"
"ସିମେଣ୍ଟ, ସୁପର ସଲଫେଟ୍ |","Cement, super sulphated"
"ସିମେଣ୍ଟ, ଧଳା |","Cement, white"
ସିମେଣ୍ଟ-ଏଗ୍ରିଗେଟ୍ ଅନୁପାତ |,Cement-aggregate ratio
ସିମେଣ୍ଟ ବିଷୟବସ୍ତୁ |,Cement content
ସିମେଣ୍ଟ ଜେଲ୍ |,Cement gel
ସିମେଣ୍ଟ ବନ୍ଧୁକ |,Cement gun
ସିମେଣ୍ଟ କିଲ୍ |,Cement kiln
ସିମେଣ୍ଟ ରଙ୍ଗ |,Cement paint
ସିମେଣ୍ଟ ପ୍ଲାଷ୍ଟର |,Cement plaster
ସିମେଣ୍ଟ ପଥର |,Cement rock
ସିମେଣ୍ଟ ସ୍ଲୁରି |,Cement slurry
ସିମେଣ୍ଟ ଷ୍ଟୋରେଜ୍ |,Cement storage
ସିମେଣ୍ଟେସନ୍ ପ୍ରକ୍ରିୟା |,Cementation process
କେନ୍ଦ୍ରକରଣ |,Centering
ସେଣ୍ଟରିଂ ଏବଂ ସଟରିଂ |,Centering and shuttering
କେନ୍ଦ୍ରୀୟ ମିଶ୍ରିତ କଂକ୍ରିଟ୍ |,Central mixed concrete
କେନ୍ଦ୍ରୀୟ ମିକ୍ସର୍ |,Central mixer
ସେଣ୍ଟ୍ରିଫୁଗୁଲ୍ ପ୍ରଶଂସକ |,Centrifugal fan
ଚକ,Chalk
ଚାମ୍ଫର୍ |,Chamfer
ଚାମ୍ଫର୍ ଷ୍ଟ୍ରିପ୍ |,Chamfer strip
ଚ୍ୟାନେଲ୍ ବିମ୍ |,Channel beam
ଚରିତ୍ରଗତ ଭାର |,Characteristic load
ବ istic ଶିଷ୍ଟ୍ୟ ଶକ୍ତି |,Characteristic strength
ଚାର୍ଜ ଅଫ୍ |,Charge off
ଚାର୍ଜିଂ,Charging
ଯା cking ୍ଚ,Checking
ରାସାୟନିକ ବନ୍ଧ |,Chemical bond
ଚେର୍ନୋଜେମ୍ |,Chernozem
ଛାତି ମାଟି |,Chestnut soil
ଚିମନି ଗୁଟର |,Chimney gutter
ଚିପ୍ ବୋର୍ଡ |,Chip board
ଚିପିଙ୍ଗ୍ |,Chipping
ଚିପ୍ସ |,Chips
ଚୁଟ୍,Chute
କ୍ଲାସ୍ (କଂକ୍ରିଟ୍ ର),Class (of concrete)
ମାଟି,Clay
ମାଟି ବିଷୟବସ୍ତୁ |,Clay content
ମାଟି ପ୍ୟାନ |,Clay pan
ପରିଷ୍କାର,Cleanout
ସଫା କର,Clean up
ସଫା କର |,Cleat
କ୍ଲିଙ୍କର୍ |,Clinker
କ୍ଲିପ୍,Clip
ଜମାଟ ବାନ୍ଧିବା |,Coagulation
କଠିନ ଏଗ୍ରିଗେଟ୍ |,Coarse aggregate
କଠିନ ଶସ୍ୟ ମାଟି |,Coarse grained soil
କୋଟ,Coat
କଫର୍ ଡ୍ୟାମ୍ |,Coffer dam
ମିଳନ,Cohesion
କୋଲଏଡ୍ |,Colloid
କୋଲଏଡାଲ୍ ଆର୍ଦ୍ରତା ସମାନ ଅନୁପାତ |,Colloidal moisture equivalent ratio
କୋଲଏଡାଲ୍ ସିଷ୍ଟମ୍ |,Colloidal system
ମିଳିତ ମାଟି |,Colluvial soil
ସ୍ତମ୍ଭ,Column
କମ୍ବିଂ ଶେଷ,Combed finish
ମିଳିତ ପଦଚିହ୍ନ |,Combined footing
ମିଶ୍ରିତ ଜଳ |,Combined water
ସାଧାରଣ କୋଠରୀ |,Common room
ସଂପୂର୍ଣ୍ଣ ପ୍ରମାଣପତ୍ର,Completion certificate
ଉପାଦାନ ବର୍ଗ,Component square
କଂକ୍ରିଟ୍ |,Concrete
ସଂକଳନ,Concretion
ଏକତ୍ରିତ ହାର / ଫ୍ଲାଟ ହାର |,Consolidated rate/flat rate
ପ୍ରଦୂଷକ,Contaminants
ଆଲକୋଭ୍ ରାନ୍ଧିବା |,Cooking alcove
ମୁକାବିଲା,Coping
କରବେଲ |,Corbel
କର୍ନିସ୍ |,Cornice
ଦମ୍ପତି,Coupler
"ଦମ୍ପତି, ଦୁଇଥର |","Coupler, double"
"ଦମ୍ପତି, ପୁଟ୍ଲଗ୍ |","Coupler, putlog"
"ଦମ୍ପତି, ସ୍ୱିଭେଲ୍ |","Coupler, swivel"
ପାଠ୍ୟକ୍ରମ,Course
ରାଣ୍ଡମ୍ ରାଣ୍ଡଲ୍ ଚୁକ୍ତି |,Coursed random rubble masonry
ଆଚ୍ଛାଦିତ କ୍ଷେତ୍ର |,Covered area
କ୍ରିପ୍,Creep
କ୍ରିପ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,Creep coefficient
କ୍ରୋଟୋଭାଇନ୍ |,Crotovine
କାଉ ପାଦ |,Crow foot
ଖଣ୍ଡ ଗଠନ |,Crumb structure
ବନ୍ଦ କର |,Curb
ସାମ୍ପ୍ରତିକ,Current
ବକ୍ର ପ୍ରତିରୋଧ,Curve resistance
ଓଦା ପ୍ରୁଫ୍ ପାଠ୍ୟକ୍ରମ |,Damp proof course
ସମାପ୍ତ ତାରିଖ,Date of completion
ମୃତ ଭାର,Dead load
ମୃତ ଜଳ |,Dead water
ଡେସିବେଲ୍ |,Decibel
ଡିଫ୍ଲୋକ୍କୁଲେସନ୍ |,Deflocculation
ବାୟୁମଣ୍ଡଳ କିମ୍ବା ବାୟୁ ସ୍ଥାନ ଅନୁପାତର ଡିଗ୍ରୀ |,Degree of aeration or air space ratio
ଏକୀକରଣର ଡିଗ୍ରୀ |,Degree of aggregation
ବିଚ୍ଛେଦର ଡିଗ୍ରୀ |,Degree of dispersion
ପରିପୃଷ୍ଠାର ଡିଗ୍ରୀ |,Degree of saturation
ଘନତା,Density
ମରୁଭୂମି ରାସ୍ତା,Desert pavement
ମରୁଭୂମି ମାଟି |,Desert soil
ବିବରଣୀ,Details
ବିକାଶ ଅବଧି,Development period
ଡି-ରାଶି,D-horizon
ତ୍ରିକୋଣୀୟ ବନ୍ଧନ |,Diagonal bond
ଚିତ୍ର,Diagram
ଡିଜିଟାଲ୍ ଡକ୍ |,Digital dock
ଭିନ୍ନ ଭିନ୍ନ ଜଳ ହାର |,Differential water rate
ଦିଲ୍ୟୁସନ୍ ଭେଣ୍ଟିଲେସନ୍ |,Dilution ventilation
ଦିଲୁଭିୟମ୍,Diluvium
ଭୋଜନ ଗୃହ,Dining room
ଦିଗ ପେଗ୍ |,Direction peg
ବିଚ୍ଛେଦ |,Dispersion
ବିଭ୍ରାନ୍ତକାରୀ |,Distemper
ଡକ୍ |,Dock
ଦ୍ୱାର,Door
ଛାତ୍ରାବାସ,Dormer
ଛାତ୍ରାବାସ ଯାଞ୍ଚ |,Dormer check
ଡବଲ୍ ଫ୍ଲେମିଶ୍ ବଣ୍ଡ୍ |,Double flemish bond
ଡବଲ୍ ସ୍ତର |,Double layer
ଡୋଭେଲ୍ |,Dowel
ଚିତ୍ରାଙ୍କନ ବୋର୍ଡ |,Drawing board
ଚିତ୍ରାଙ୍କନ କକ୍ଷ |,Drawing room
ଡ୍ରାଇଫ୍,Drift
ଶୁଖିଲା ବଲ୍ବ ତାପମାତ୍ରା |,Dry bulb temperature
ଶୁଖିଲା ଡକ୍ |,Dry dock
ଶୁଖିଲା ରବର ନିର୍ମାଣ,Dry rubber masonry
ଡଚ୍ ବନ୍ଧନ |,Dutch bond
ବାଣ୍ଡ କାନ୍ଥ |,Dwarf wall
ବାସସ୍ଥାନ ଏକକ,Dwelling unit
ଇଭ୍,Eave
ଗୁପ୍ତାଙ୍ଗ,Eaves gutter
ଆର୍ଥିକ ସମ୍ଭାବ୍ୟତା |,Economic feasibility
ଏକ୍ଟୋଡାଇନାମୋରଫିକ୍ ମାଟି |,Ectodynamorphic soil
ଏଡି,Eddy
ପ୍ରଭାବଶାଳୀ ଆକାର |,Effective size
ଇଫ୍ଲୋରସେନ୍ସ |,Efflorescence
ପ୍ରଭାବଶାଳୀ |,Effluent
ଉଚ୍ଚତା,Elevation
ବହିଷ୍କାର,Eluviation
ଇଲୁଭିୟମ୍ |,Eluvium
ଏଣ୍ଡୋଡାଇନାମୋରଫିକ୍ ମାଟି |,Endodynamorphic soil
ଇଞ୍ଜିନିୟରିଂ ସମ୍ଭାବ୍ୟତା |,Engineering feasibility
ଇଂରାଜୀ ବନ୍ଧନ |,English bond
ଇଂରାଜୀ ବଗିଚା କାନ୍ଥ ବନ୍ଧ |,English garden wall bond
"ଇପିଏମ୍ (ପ୍ରତି ମିଲିୟନ୍ ସହିତ ସମାନ), &quot;","E.P.M. (equivalent per million),"""
ସମାନ ଓଜନ,Equivalent weight
Erg,Erg
ଅଦଳବଦଳଯୋଗ୍ୟ |,Exchangeable
ଅଦଳବଦଳ ଅମ୍ଳତା |,Exchangeable acidity
ଅଦଳବଦଳ ସୋଡିୟମ୍ ପ୍ରତିଶତ (ESP),Exchangeable sodium percentage (ESP)
E. S P.,E. S P.
ଅମ୍ଳତା ବିନିମୟ କରନ୍ତୁ |,Exchange acidity
ଏକ୍ସଚେଞ୍ଜ୍ କମ୍ପ୍ଲେକ୍ସ |,Exchange complex
ନିଷ୍କାସନ,Exhaust
ପ୍ରକାଶିତ ସମାପ୍ତ,Exposed finish
ଆଖି,Eye
ଆଖି ବ୍ରୋ,Eye brow
ସାମ୍ନା କରିବା |,Facing
ବନ୍ଧନର ସମ୍ମୁଖୀନ |,Facing bond
ନିରାପତ୍ତା କାରକ,Factor of safety
ପତନ,Fall
ଫେସିଆ |,Facia
ଫେସିଆ ବୋର୍ଡ |,Facia board
ତ୍ରୁଟି,Fault
କ୍ଷେତ୍ର ଆର୍ଦ୍ରତା |,Field moisture
ଅନ୍ତିମ ଆର୍ଦ୍ରତା ସମାନ |,Final moisture equivalent
ଫିଲେଟ୍ (ମୋର୍ଟାର),Fillet (of mortar)
ଅନ୍ତିମ,Finial
ଅନ୍ତିମ ମାପ |,Final measurement
ଅନ୍ତିମ ଦେୟ,Final paymentq
ଅନ୍ତିମ ପୂର୍ବ ଚାପ |,Final pre stress
ଅନ୍ତିମ ଟେନସନ |,Final tension
ଆର୍ଥିକ ସମ୍ଭାବନା |,Financial feasibility
ଭଲ ଏଗ୍ରିଗେଟ୍ |,Fine aggregate
ଖଣ୍ଡ ଖଣ୍ଡ |,Fissured rock
ପତାକା ପଥର |,Flag stone
ଫ୍ଲେମିସ୍ ବନ୍ଧନ |,Flemish bond
ଫ୍ଲାସ୍,Flashing
ଚମତ୍କାର ଷ୍ଟ୍ରିମ୍ |,Flashy stream
ଫ୍ଲାଟ ଛାତ |,Flat roof
ଫ୍ଲେଚେ,Fleche
ଫ୍ଲେମିସ୍ ବଗିଚା କାନ୍ଥ ବନ୍ଧ |,Flemish garden wall bond
ଫ୍ଲିଣ୍ଟ |,Flint
ଫ୍ଲିଣ୍ଟ କାନ୍ଥ |,Flint wall
ଭାସମାନ ଚଟାଣ |,Floating floor
ଫ୍ଲୋକ୍ୟୁଲେସନ୍ |,Flocculation
ଫ୍ଲୋକ୍ୟୁଲେସନ୍ ସୀମା |,Flocculation limit
ଫ୍ଲୋକ୍ୟୁଲେସନ୍ ଅନୁପାତ |,Flocculation ratio
ଫ୍ଲୋକ୍ୟୁଲ୍ସ |,Floccules
ଚଟାଣ,Floor
ଚଟାଣ ସିଲ୍ |,Floor seal
ପ୍ରବାହ,Flow
ଅସ୍ଥିରତା |,Fluctuation
ଫୁଟିଂ,Footing
ଫାଉଣ୍ଡେସନ୍,Foundation
ମାଗଣା ପତନ ବାରୋ ଟପିଙ୍ଗ୍ ମିକ୍ସର୍ |,Free fall barrow topping mixer
ମାଗଣା ପତନ ମିକ୍ସର୍ (ଡ୍ରମ୍ ପ୍ରକାର),Free fall mixer (drum type)
ମାଗଣା ପଥର |,Free stone
ଫ୍ରେଶେଟ୍ |,Freshet
ଘର୍ଷଣ ଗଦା |,Friction pile
ବେଙ୍ଗ,Frog
ଗେବୁଲ୍ |,Gable
ଗାବଲେଟ୍ |,Gablet
ଗାମ୍ବ୍ରେଲ୍ ଛାତ |,Gambrel roof
ଗେଜ୍,Gauge
ଗଗିଂ ବିଭାଗ |,Gauging section
ଗଗିଂ ଷ୍ଟେସନ୍ |,Gauging station
ସାଧାରଣ ଅବସ୍ଥାନ ଯୋଜନା |,General location plan
ସାଧାରଣ ଭେଣ୍ଟିଲେସନ୍ |,General ventilation
ଜି ରାଶି କିମ୍ବା ଗଲି ରାଶି |,G horizon or gley horizon
ଗ୍ଲାସିଆଲ୍ ପର୍ଯ୍ୟନ୍ତ,Glacial till
ଗ୍ନିସ୍ |,Gneiss
ଦ୍ରବ୍ୟ ପ୍ରାଙ୍ଗଣ,Goods yard
ଗ୍ରେଡିଏଣ୍ଟ୍ ପ୍ରତିରୋଧ |,Gradient resistance
ଗ୍ରାନାଇଟ୍ |,Granite
ଗ୍ରାନୁଲାର୍ ଗଠନ |,Granular structure
ଗ୍ରାନୁଲେସନ୍ |,Granulation
ଗ୍ରାନୁଲ୍ |,Granule
ମାଧ୍ୟାକର୍ଷଣ ଜଳ ମୁକ୍ତ ଜଳ |,Gravitational water free water
ମାଧ୍ୟାକର୍ଷଣ ପ୍ରାଙ୍ଗଣ |,Gravitational yard
ମହାନ ମାଟି ଗୋଷ୍ଠୀ |,Great soil group
ଗ୍ରିଲେଜ୍ ଫାଉଣ୍ଡେସନ୍ |,Grillage foundation
ଗ୍ରାଉଣ୍ଡ ହ୍ୟାଣ୍ଡ ମୋଲିଡିଂ |,Ground hand moulding
ଗ୍ରୁପ୍ ଡକ୍ |,Grouped dock
ଗୋଷ୍ଠୀ ଗୃହ,Group housing
ଅତିଥି ଗୃହ,Guest room
ଗୁଟର୍ |,Gutter
ଗୁଟର ଧାରକ |,Gutter bearer
ଗୁଟର ଯାଞ୍ଚ |,Gutter check
ହାମର ଡ୍ରେସିଂ |,Hammer dressing
ହାରବର୍,Harbour
ଆଶ୍ରୟସ୍ଥଳ,Harbour of refuge
ହାର୍ଡ ପ୍ୟାନ |,Hard pan
ହେଡର୍,Header
ହେଡର୍ ବଣ୍ଡ୍ |,Header bond
ହେଡର୍ ପାଠ୍ୟକ୍ରମ,Header course
ହେଡ୍ ଗେଟ୍ ଗଠନ |,Head gate structure
କେନାଲର ମୁଖ୍ୟ |,Head of canal
ମୁଖ୍ୟ ନିୟନ୍ତ୍ରକ |,Head regulator
ହେରିଙ୍ଗ ହାଡ ବନ୍ଧନ |,Herring bone bond
ହୃଦୟ,Hearting
ଓଦା ଗରମ |,Heat of wetting
ଉଚ୍ଚ ଆଲୁମିନା ସିମେଣ୍ଟ |,High alumina cement
ହିପ୍,Hip
ହିପ୍ କ୍ୟାପିଙ୍ଗ୍ |,Hip capping
ହିପ୍ ଶେଷ,Hipped end
ହୁଡ୍ |,Hood
ହୁଡ୍ ମୋଲିଡିଂ |,Hood moulding
ହୁକର ନିୟମ |,Hook's law
ଲୁହା ହୁପ୍ |,Hoop iron
ରାଶି,Horizon
ଆର୍ଦ୍ରତା,Humidification
"ଆର୍ଦ୍ରତା, ସଂପୂର୍ଣ୍ଣ |","Humidity, absolute"
"ଆର୍ଦ୍ରତା, ଆପେକ୍ଷିକ |","Humidity, relative"
ହମ୍ପ୍ ୟାର୍ଡ |,Hump yard
ହାଇଡ୍ରୋଲିକ୍ ଚାପ |,Hydraulic pressure
ହାଇଡ୍ରେସନ୍ |,Hydration
ହାଇଡ୍ରୋଲାଇସିସ୍ |,Hydrolysis
ହାଇଡ୍ରୋଲାଇଟିକ୍ ଅମ୍ଳତା |,Hydrolytic acidity
