Malayalam,Punjabi
അക്രോപോറ്റൽ,ਐਕਰੋਪੇਟਲ
അക്രോസോം,ਐਸ਼੍ਰੋਸੋਮ
ആക്റ്റിനോമൈസെറ്റുകൾ,ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ
സജീവ റൂട്ട് സോൺ,ਐਕਟਿਵ ਰੂਟ ਜ਼ੋਨ
തുളച്ചുകയറുന്ന,ਗੰਭੀਰ
പൊരുത്തപ്പെടലി,ਅਨੁਕੂਲਤਾ
പൊരുത്തപ്പെടുത്തൽ,ਅਨੁਕੂਲਤਾ
അഷൈൻ,ਚਿਪਕਿਆ
അദിപ്പോസ്,ADPIPOSE
ക്രമീകരണ സമവാക്യം,ਵਿਵਸਥ ਸਮੀਕਰਨ
അഡോബ് മണ്ണ്,ਅਡੋਬ ਮਿੱਟੀ
പ്രത്യേകത,ਮਨਜ਼ੂਰ
സാഹസികത,ਸਾਹਸੀ
Aecidiossoror,ਏਸੀਡਿਓਸਪੋਰ
ഓലിയൻ പ്രക്രിയ,ਏਓਲੀਅਨ ਪ੍ਰਕਿਰਿਆ
Aiolian,ਏਓਲੀਅਨ
ഓറേറ്റ്,Aeate
ഏരിയൽ,ਏਰੀਅਲ
ഏയ്റോമീറ്റർ,ਐਰੋਮੀਟਰ
എയറോസോൾ,ਐਰੋਸੋਲ
പകർച്ചവ്വാധം,ਖਰਾਸ਼
Aetiiology (etiology),ਏਟੀਓਲੋਜੀ (ਐਟਾਇਜੀੋਲੋਜੀ)
വനനം,ਕਥਾ
പ്രക്ഷോഭക്തി,ਅੰਦੋਲਨ
ന്വര്,ਆਕਮਾਰਕ
കാർഷികം,ਅਗਰਾਰੀਅਨ
കാർഷിക ക്ലിനിക്,ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ
കാർഷിക തൊഴിലാളി,ਖੇਤੀਬਾੜੀ ਕਿਰਤ
കാർഷിക മാർക്കറ്റിംഗ്,ਖੇਤੀਬਾੜੀ ਮਾਰਕੀਟਿੰਗ
കാർഷിക സാങ്കേതികവിദ്യ,ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ
കൃഷിപ്പണി,ਖੇਤੀ ਬਾੜੀ
അഗ്രിസിൾവികൾച്ചർ,ਐਗਰੀਸਿਲਵੀਕਲਚਰ
കാർഷികൈവൻവിറ്റി,ਖੇਰਤ
അഗ്രോബയോളജിക്കൽ വൈകല്യങ്ങൾ,ਖੇਤੀਬਾਜੀਕਲ ਨੁਕਸ
അഗ്രോബയോളജി,ਅਗਾਹੀਵੋਲੋਜੀ
അഗ്രോകീല വൈവിധ്യമാർന്ന വൈവിധ്യമാർന്ന,ਐਗ੍ਰੋਕਲਮੈਟਿਕ ਵਿਭਿੰਨਤਾ
അഗ്രോക്ലിമാറ്റിക് സോണിംഗ്,ਅਗਰੋਕਲਮੈਟਿਕ ਜ਼ੋਨਿੰਗ
അഗ്രോഫോറസ്ട്രി,ਐਗਰੋਫੋਰੈਸਟਰੀ
ങ്ങളോട്,ਖੇਤੀਬਾਜੀ
അഗ്രോണമി,ਖੇਤੀਬਾੜੀ
അഗ്രോപസ്റ്റോറൽ,ਐਗ੍ਰੋਪਾਸਟਰਲ
കാർഷികസംരക്ഷണം,ਸ਼ਿਕਾਰ
അഗ്രോസ്റ്റോസ്റ്റിയോളജി,ਐਗਰੋਸਟੋਲੋਜੀ
അഗ്രോട്ടിപ്പ്,ਐਗਰੋਟਾਈਪ
എയർ പ്ലാന്റ്,ਏਅਰ ਪੌਦਾ
അക്കിയോച്ചി മണ്ണ്,ਅਕੀਓਚੀ ਮਿੱਟੀ
ആൽബിനിസം,ਅਲਮੀਨੀਜ਼ਮ
ആൽഫിസോളുകൾ,ਐਲਫਿਸੋਲਸ
ആല്ഗകൾ,ਐਲਗੀ
ആൽഗൽ രോഗം,ਐਲਗਲ ਰੋਗ
ക്ഷാളി വെള്ളം,ਅਲਕਾਲੀ ਪਾਣੀ
ആൽക്കലൈൻ,ਐਲਕਲੀਨ
അല്ലലേ,ਐਲੀਲੇ
അല്ലോകെമിക്കലുകൾ,ਐਲਲੋਕਲਿਕਸ
AllloMorph,ਅਲੇਲੋਮੋਰਫ
നിയോവദാതി,ਅਲੇਲੋਪੈਥੀ
ഓൺലൈൻ ക്രോപ്പിംഗ്,ਐਲੀ ਫਸਲ
അലോക്കർപി,ਅਲੋਕਰੇਪੀ
അലോഗാമി,ਆਲੋਗਮ
അലറിരം,ਐਲੋਮੈਟਰੀ
Allopolyplogid,ਐਲੋਪੋਲਾਈਵਲਾਈਡ
Allosynapsis (Allowsyndesis),ਐਲੋਸਮੈਨੈਪਸਿਸ (ਐਲੋਸਿਨੈਂਡਸਿਸ)
ഇതര ബെയറിംഗ്,ਵਿਕਲਪਿਕ ਬੇਅਰਿੰਗ
ഇതര ഭൂമി ഉപയോഗം,ਵਿਕਲਪੀ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ
ആംബിയന്റ്സ്,ਅੰਬੀਨਟ
സൗഹാർഭോഗം,ਅਮਜੀਗਤ
അമിറ്റോസിസ്,ਅਮਿਤੋਸਿਸ
അമിനിവൽക്കരണം,ਅਮਿਨਾਜਾਈਜ਼
അമ്മോണിഫിക്കേഷൻ,ਅਨੁਮੋਧ
അമോമോണിഫയർ,ਅਮੋਨੀਫਾਇਰ
അമോഫ്,ਅਮੋਰਫ
ആംഫിമിക്സിസ്,ਐਮਫੀਮਿਕਸਿਸ
ആംഫോടെക്,ਐਮਫੋਟੇਰਿਕ
അനാബോളിസം,ਐਨਾਬੋਲਿਜ਼ਮ
അയ്റോബ്,ਅਨੀਰੋਬ
Aneuplogode,ਅਨੀਉਟਲੋਇਡ
ആംഗിൾ നടുക്കം,ਕੋਣ ਲਾਉਣਾ
മൃഗസംരക്ഷണം,ਪਸ਼ੂ ਪਾਲਣ
മൃഗങ്ങളെ പ്രതിഫലിപ്പിക്കൽ,ਪਸ਼ੂਆਂ ਤੋਂ ਇਨਕਾਰ ਕਰੋ
ആത്യന്തിക .ർജ്ജം,Energy ਰਜਾ ਐਨੀਮੇਟ ਕਰੋ
Anisoplode,ਅਨੀਸੋਪਲੋਇਡ
വാർഷിക സസ്യം,ਸਾਲਾਨਾ ਪੌਦਾ
ആണ്ടുതോറുമുള്ള,ਸਾਲਾਨਾ
ആന്തീസിസ്,ਐਥੇਸਮਿਸ
ആന്ത്രാക്സ്,ਐਂਥ੍ਰੈਕਸ
ആന്ത്രോപെനിക് ഘടകം,ਐਂਥ੍ਰੋਪੋਜਾਈਜਿਕ ਫੈਕਟਰ
ആന്റിബിയോസിസ്,ਐਂਟੀਬਾਇਸਿਸ
രോഗനാശിനി,ਐਂਟੀਬਾਇਓਟਿਕ
മറുമരുന്ന്,ਐਂਟੀਡੋਟਾ
ആന്റിഓക്സിഡന്റുകൾ,ਐਂਟੀਆਕਸੀਡੈਂਟਸ
ആന്റിടോക്സിൻ,Antitoxin
അപര്യാഘാതം,ਐਨਾਬੁਲਸ
ആഫിഡ്,Aphid
അഗ്രമുദിനം,Apical ਮੁਕੁਲ
അഗ്ര ആധിപത്യം,ਏਪਿਕਲ ਦਬਦਬਾ
അപ്പോർച്ചർ (ബീ സൂപ്പർഡിംഗ്),Apsiculturuet (ਮਧੂ ਮੱਖੀ ਰੱਖਣ)
അപ്പോമിക്സിസ്,ਅਪੋਮਿਕਸ
അപ്പോപ്ടോസിസ്,ਅਪੋਪੋਟੋਸਿਸ
അനുബന്ധം,ਅੰਤਿਕਾ
വിശപ്പ്,ਭੁੱਖ
പ്രയോഗിച്ചു,ਲਾਗੂ ਕੀਤਾ
അക്വാട്ടിക് കള,ਐਕੁਆਟਿਕ ਬੂਟੀ
അർബോറിയൽ,ਅਰਬੋਰੀਅਲ
അർബോറൈസേഷൻ,ਅਰਬਰਾਈਜ਼ੇਸ਼ਨ
ആർഎംജിയോ-ബൊട്ടാണിക്കൽ റെക്കോർഡുകൾ,ਏ ਆਰਚਿਓ-ਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ
ഏരിയ സ്ഥിതിവിവരക്കണക്കുകൾ,ਖੇਤਰ ਦੇ ਅੰਕੜੇ
പദേശം,ਖੇਤਰ
വരണ്ട ആവാസവ്യവസ്ഥ,ਐੱਫ.ਡੀ.ਆਈ.
വര്ഷ്ടിക്കുക,ਅਰਿਲ
സൗരഭം,ਖੁਸ਼ਬੂ
ആരോമാറ്റിക് പ്ലാന്റ്,ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ
ആരോമാറ്റിക് അരി,ਖੁਸ਼ਬੂਦਾਰ ਚਾਵਲ
അഴുക്കുചാല്,ਐਰੋਇੰਗ
അശെപ്സിസ്,Espesisis
അസെപ്ലെവ്,Sseptic
അസുഖകരമായ പ്രചരണം,ਅਸਪਸ਼ਟ ਪ੍ਰਸਾਰ
അസേ,ਅਨੀ
ആസ്തി,ਸੰਪਤੀ
ഉറപ്പ്,ਸਹਿਯੋਗ
ചങ്ങാത്തം,ਐਸੋਸੀਏਸ਼ਨ
രേണിംഗന്റ്,ਤੂਫਾਨੀ
അസിനാപ്സിസ്,ਅਸਟੀਪਿਸਿਸ
Atawavism,ਅਟਵੀਵਾਦ
ആലേറ്ററിജർ,ਐਟੋਮਾਈਜ਼ਰ
അട്രോഫി,ਸ਼ੋਸ਼ਣ
ഓട്ടോഗാമി,ਆਟੋਗ੍ਰਾਮ
ഓട്ടോലിസിസ്,ਆਟੋਲਿਸਸਿਸ
യന്തവഹനം,ਆਟੋਮਿਡੇਸ਼ਨ
ഓട്ടോപോളിപ്ലോയിഡ്,ਆਟੋਪਲਿਪਲਾਈਡ
ഓക്സിൻസ്,Auxins
Awn (ബ്രിട്ട്),ਅੱਲ (ਬ੍ਰਿਸਟਲ)
ബദാം കായ്,ਬਦਾਮ
കറ്റാർ,ਐਲੋ
അമരന്തസ്,ਅਮੈਸ਼ਨਥਸ
ആംമി,ਅਮਮੀ
അഞ്ജൻ പുല്ല്,ਅੰਜਨ ਘਾਹ
ആന്തറിയം,ਐਂਥਿਰੀਅਮ
"ആരോള, ഇന്ത്യൻ നെല്ലിക്ക","ਅੋਂਲਾ, ਇੰਡੀਅਨ ਕਰੌਦਾ"
ആപ്പിൾ,ਸੇਬ
ആപ്രിക്കോട്ട്,ਖੜਮਾਨੀ
Arbian ജാസ്മിൻ,ਅਰਬੀਅਨ ਜੈਸਮੀਨ
Arcaunt,ਅਰੇਕਾ ਗਿਰੀਦਾਰ
അർജുൻ,ਅਰਜੁਨ
അസ്ഫോറ്റിഡ,ਓਡੋਏਟਿਡਾ
ആഷ് പൊറോട്ട,ਸੁਆਹ
അശോക ട്രീ,ਅਸ਼ੋਕ ਦਾ ਰੁੱਖ
അഷെതർ കള (യൂഫോർബിയ),ਅਸ਼ਥਮਾ ਬੂਟੀ (ਯੂਫੋਰਬੀਆ)
ശതാവരിച്ചെടി,ਐਸਪੈਰਾਗਸ
അവോക്കാഡോ,ਆਵਾਕੈਡੋ
പയറുവർഗ്ഗങ്ങൾ (ലൂസെർൻ),ਅਲਫਾਲਫਾ (LUSEREN)
ഉറുമ്പുകൾ,ਕੀੜੀਆਂ
മുഞ്ഞ,ਐਫੀਡਜ਼
സൈനിക വേം,ਆਰਮੀ ਕੀੜੀ
കാർഷിക സാമ്പത്തിക ശാസ്ത്രജ്ഞൻ,ਖੇਤੀਬਾੜੀ ਅਰਥਵਾਦੀ
കാർഷിക വിപുലീകരണവാദി,ਖੇਤੀਬਾੜੀ ਵਿਸਤ੍ਰਿਤ
കാർഷിക ശാസ്ത്രജ്ഞൻ,ਖੇਤੀਬਾੜੀ ਵਿਗਿਆਨੀ
കാർഷിക എഞ്ചിനീയർ,ਖੇਤੀਬਾੜੀ ਇੰਜੀਨੀਅਰ
അഗ്രോബയോളജിസ്റ്റിക്,ਅਗਾਹੀਵੌਇਲੋਜਿਸਟ
അഗ്രോണമിസ്റ്റ്,ਖੇਤੀਬਾਮੀ
Agrofysicst,ਅਸ਼ੋਲੀ
മൃഗങ്ങളുടെ ബ്രീഡർ,ਜਾਨਵਰ ਬ੍ਰੀਡਰ
ബാസിലസ് വൈറസ്,ਬੇਸਿਲਸ ਵਾਇਰਸ
ബാസിലസ്,ਬੈਸੀਲਸ
ബാക്ടീരിയ,ਬੈਕਟੀਰੀਆ
ബാക്ടറോമോക്സിൻ,ਬੈਕਟੀਰੋਅਟੌਕਸਿਨ
ബാഗസ്,ਬੈਗਸ
ബാലൻസ് ഷീറ്റ്,ਸੰਤੁਲਨ ਸ਼ੀਟ
സമതുലിതമായ ബീജസങ്കലനം,ਸੰਤੁਲਿਤ ਖਾਦ
ബാർ ഡയഗ്രം,ਬਾਰ ਡਾਇਗਰਾਮ
കുര,ਸੱਕ
ബാരോമീമീറ്റർ,ਬੈਰੋਮੀਟਰ
തരിശായ,ਬੰਜਰ
അടിത്തറ,ਅਧਾਰ
പരന്നപാതം,ਬੇਸਿਨ
അടിസ്ഥാനപരമായ,ਬਾਸਿਪਟਲ
ബസിസ്റ്റർനം,ਬਾਸੈਸਟਰਨੀਮ
ബേ മൺസൂൺ,ਬੇ ਮਾਨਸੂਨ
വഹിക്കുന്ന പ്ലാന്റ്,ਬੇਅਰਿੰਗ ਪੌਦਾ
കിടക്ക,ਬਿਸਤਰੇ
അടിദേഡർ,ਬੇਡਰ
ശയ്യോപകരണങ്ങള്,ਬਿਸਤਰੇ
ബീറ്റ്റൂട്ട് മോളസ്,ਬੀਟ ਗੁੜ
മണിനാദം,ਝੁਕੋ
അരപ്പട്ട,ਬੈਲਟ
ആനുകൂല്യ-വില വിശകലനം,ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
പക്ഷപാതപരമായ (സാമ്പിൾ),ਪੱਖਪਾਤੀ (ਸੈਂਲਿੰਗ)
ബിനാത്തില്,ਬਨੀਅਲ
ബിനോമിയൽ,ਬਿਨੀਮਾਇਲ
ബയോജന്റ്,ਬਾਇਓਜੈਂਟ
ബയോക്രിമേറ്റ്,ਬਾਇਓਸੈਲਮੇਟ
ബയോ എനെർജി,ਬਾਇਓਨੇਰਜੀ
ബയോണോമിക്സ്,ਬਯਨੋਮਿਕਸ
BIOREACTOR,ਬਾਇਓਰੇਟਰ
ബയോസ്ഫിയർ,ਬਾਇਓਸਪੇਅਰ
ഉപകാരന്,ਬਾਇਓਟਿਕ
ബയോട്ടിവൈപ്പ്,ਬਾਇਓਟਾਈਪ
ബൈസെക്ഷ്വൽ,ਲਿੰਗੀ
ബ്ലാഞ്ചിംഗ്,ਬਲੈਂਚਿੰਗ
സ്ഫോടനം,ਧਮਾਕਾ
സങ്കലനം,ਮਿਸ਼ਰਣ
വരണ്ടതാണ,ਝੁਲਸਣ
പൊള്ളല്,ਛਾਲੇ
നീല വിപ്ലവം,ਨੀਲਾ ਇਨਕਲਾਬ
ചുവടെ ചൂട് ചേമ്പർ,ਤਲ ਗਰਮੀ ਚੈਂਬਰ
ചുവടെയുള്ള താപ രീതി,ਤਲ ਹੀਟ ਤਕਨੀਕ
തണ്ണീര്,ਬ੍ਰੈਨ
ശാചിനമായ,ਸ਼ਾਖਾ
ലഘുലേഖ,ਬ੍ਰੀਚਲੇਟ
ഇനം,ਨਸਲ
പ്രജനനം,ਪ੍ਰਜਨਨ
തിളങ്ങുന്ന,ਝਗੜਾ
കുഞ്ഞുങ്ങള്,ਬਰੂਦ
വളർന്നുകാരി,ਉਭਰਦਾ
വരവ്ചെലവ് മതിപ്പ്,ਬਜਟ
ബഫർ,ਬਫਰ
ബൾബ്,ਬੱਲਬ
മുണ്ടു,ਬੈਂਟ
ഉപോൽപ്പന്നം,ਉਪ-ਉਤਪਾਦ
ബാബുൾ അക്കേഷ്യ,ਬਾਬੂਬਦ ਬੱਬੀ
കുഞ്ഞ് ധാന്യം,ਬੇਬੀ ਮੱਕੀ
ബാലിനെ,ਬਾਲ
ബില്ലാൻ,ਬਿਲ
ബൽസം,ਬਾਲਸਮ
മുള,ਬਾਂਸ
വാഴപ്പഴം,ਕੇਲਾ
ബനിയൻ ട്രീ,ਬੈਨੀਅਨ ਦਾ ਰੁੱਖ
യവം,ਜੌ
ബാർയ്യാർഡ് മില്ലറ്റ്,ਬਾਰਨੀਅਰ ਬਾਜਰੇ
തുളക്ടി,ਤੁਲਸੀ
ബാസ്റ്റാർഡ് ദേവദാരു,ਬਾਸਟਰਡ ਸੀਡਰ
ബാസ്റ്റാർഡ് മൈറോബലൻ,ਬਾਸਟਰਡ ਮਾਈਰੋਬੇਲਾ
ബവായീനിയ,Bauhinia
ബേ ബെറി,ਬੇ ਬੇਰੀ
അമര,ਬੀਨ
മധുരക്കിഴങ്ങുചെടി,ਚੁਕੰਦਰ
ബെല്ലഡോണ,ਬੇਲਾਡੋਨਾ
മുളകു,ਬੇਰ
പതുക്കമുള്ള,ਸੋਰਸਮ
മുയേറ്റ,ਸੁਪਾਰੀ
ബിലിമ്പി,ਬਿਲੀਮਬੀ
പാവയ്ക്ക,ਕੌੜਾ ਬੈਰ
കറുത്ത ഗ്രാം,ਕਾਲਾ ਗ੍ਰਾਮ
കറുത്ത നൈറ്റ്ഷെയ്ഡ്,ਕਾਲੀ ਨਾਈਟਸੈਡ
ബ g ഗൻവില്ല,ਬੌਗੇਨਵਿਲੇਸਾ
കുപ്പി ബ്രഷ്,ਬੋਤਲ ਬੁਰਸ਼
ബോട്ടിൽ പൊറോട്ട,ਬੋਤਲ ਬਘਿਆੜ
ബോക്സ് മരം,ਬਾਕਸ ਲੜੀ
ബ്രെഡ് ഫലം,ਬਰੈੱਡ ਫਲਾਂ
വധുവിന്റെ ക്രീപ്പർ,ਵਿਆਹ ਦੀ ਨਿੰਬੂ
വശ്ശീല,ਬ੍ਰਿੰਜਲ
വിശാലമായ ബീൻ,ਬ੍ਰੌਡ ਬੀਨ
ബ്രോക്കോളി,ਬ੍ਰੋ CC ਓਲਿ
ബ്രസ്സൽസ് മുള,ਬ੍ਰਸੇਸਲ ਦਾ ਫੁੱਟ
താനിന്നു,ਬੱਕਵੈਟ
ബദ്ധ,ਬੁਟੀਆ
ബാൻഡികാൂട്ട്,ਬੈਂਡਿਕੋਟ
കരടി,ਰਿੱਛ
വണ്ട്,ਬੀਟਲ
ബ്ലിസ്റ്റർ വണ്ട്,ਛਾਲੇ ਬੀਟਲ
നീല കാള,ਨੀਲਾ ਬੁੱਲ
ബോൾ വേം,ਬੁਲ ਕੀੜਾ
ചിതശലഭം,ਬਟਰਫਲਾਈ
ബാക്ടീരിയോളജിസ്റ്റ്,ਜੀਵਾਣੂ-ਵਿਗਿਆਨੀ
ബയോകെമിസ്റ്റ്,ਬਾਇਓਕੈਮਿਸਟ
ജീവശാസ്തജ്ഞന്,ਜੀਵ ਵਿਗਿਆਨੀ
ബയോടെക്നോളജിക്,ਬਾਇਓਟੈਕਨੋਲੋਜਿਸਟ
സസ്യശാസ്ത്രജ്ഞൻ,ਬੋਟੈਨਿਸਟ
സി ഈർപ്പം സ്വഭാവ വക്ര,ਸੀ ਨਮੀ ਦੇ ਗੁਣ
കേയ്ക്ക്,ਕੇਕ
കണക്കാക്കാന്വേമികമായ,ਕੈਲਕਿਸ
കണക്കുകഷ്ടം,ਕੈਲਸੀਫਿਕੇਸ਼ਨ
ഫോസ്ഫേറ്റിന്റെ കാൽനികം,ਫਾਸਫੇਟ ਦਾ ਹਿਸਾਬ
കൗണം,ਕਲੇਸ਼
ഞങ്ങളെ വിളിക്കൂ,ਕਾਲਸ
കാലിക്സ്,ਕੈਲੀਕਸ
കാലിക്സ്-അവസാനം,ਕੈਲੀਕਸ-ਐਂਡ
കാമ്പി,ਕੈਮਬੀਅਮ
കാൻകെറർ,ਕੈਨਕਰ
കാനിംഗ്,ਕੈਨਿੰਗ
മേലാപ്പ്,ਕੈਨੋਪੀ
തലസ്ഥാനം,ਪੂੰਜੀ
പിസേരിഫിക്കേഷൻ,ਕੈਪਟੇਸ਼ਨ
കാപ്സ്യൂൾ,ਕੈਪਸੂਲ
കാർബണേറ്റഡ്,ਕਾਰਬੋਨੇਟਡ
കാർബണലൈസേഷൻ,ਕਾਰਬੋਨਾਈਜ਼ੇਸ਼ਨ
പരല്പം,ਕਾਰਪਲ
കാർപസ്,ਕਾਰਪਸ
കാസ്റ്റിംഗ്,ਕਾਸਟਿੰਗ
കാറ്റബോളിസം,ਕੈਟਾਬੋਲਿਜ਼ਮ
കവചലിസ്,ਉਤਪ੍ਰੇਸਿਆ
ചിതശലഭപ്പുഴു,ਕੇਟਰਪਿਲਰ
സി-ഡിഎൻഎ ലൈബ്രറി,ਸੀ-ਡੀ ਐਨ ਏ ਲਾਇਬ੍ਰੇਰੀ
മച്ച്,ਛੱਤ
കോശം,ਸੈੱਲ
കേന്ദ്ര നേതാവ് സംവിധാനം,ਕੇਂਦਰੀ ਲੀਡਰ ਸਿਸਟਮ
ഒരിനംവീപ്പ്,ਕੇਂਦਰਿਤ
സെൻറ്ഫ്യൂഗേഷൻ,ਸੈਂਟਰਿਫੁਗਾਸ਼ਨ
കേന്ദ്രീകൃത,ਸੈਂਟਰਿਫਿ ize ਜ
സെൻട്രിയോൾ,ਸੈਂਟਰਿਓਲ
നൂന്കോജാനിക്,CentRogenic
നൂനിശ്ചയമുള്ള,ਸੈਂਟੀਗਨੌਜ਼
കടല്ചലട്,ਚੱਕਰ
ധാനം,ਅਨਾਜ
സാക്ഷപ്പെടുത്തല്,ਸਰਟੀਫਿਕੇਸ਼ਨ
സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്,ਪ੍ਰਮਾਣਿਤ ਬੀਜ
ചാട്ട,ਤੂਫਾਨ
ചാലസ,ਚਮਜ਼ਾ
പരോപപാതം,ਮੈਕੌਟ੍ਰੋਜ਼ਿਜ਼ਮ
ചിയാസ്മ,ਚਿਆਸਮਾ
ചില്ലിംഗ് സമയം,ਚਿਲਿੰਗ ਘੰਟੇ
ചില്ലിംഗ് പരിക്ക്,ਸੱਟ ਲੱਗ ਰਹੀ ਸੱਟ
ചിമേര,Chimera
ക്ലോറോറാന്തി,ਚਲੋਟਰੈਠੀ
ക്ലോറോഫിൽ,ਕਲੋਰੋਫਿਲ
ക്ലോറോസിസ്,ਕਲੋਰੋਸਿਸ
ക്ലോറോളജി,ਕਲੋਰੋਲੋਜੀ
ക്രോമാറ്റിഡ്,Chrimindidd
ക്രോമാറ്റിൻ,ਕ੍ਰੋਮੈਟਿਨ
ക്രോമാറ്റോഗ്രാഫി,ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ
ക്രോമാറ്റോളിസിസ്,ਕ੍ਰੋਮੈਟੋਲਸਿਸ
ക്രോമസെന്റ്റന്റ്,ਕ੍ਰੋਮੋਸੀਸਟਰ
ക്രോമോജെനിസിസ്,ਕ੍ਰੋਮੋਜੇਨੇਸਿਸ
ക്രോമോപ്രോട്ടൻ,ਕ੍ਰੋਮੋਪ੍ਰੋਟੀਨ
ക്രോമസോം,ਕ੍ਰੋਮੋਸੋਮ
വിട്ടുമാറാത്ത,ਦੀਰਘ
സിട്രഞ്ച്,ਸਾਇੰਗ
പചാരു,ਕਲੇਡਡ
വര്ഗീകരണം,ਵਰਗੀਕਰਣ
കളിമണ്ണ്,ਮਿੱਟੀ
ശുചിയാക്കല്,ਸਫਾਈ
Clistogay,ਕਲੇਰਿਸਟਾਗਮੀ
ക്ലൈമാക്രിക് ഫ്രൂട്ട്,ਜਲਦਬਾਜ਼ੀ ਦਾ ਫਲ
കാലാവസ്ഥ,ਮੌਸਮ
കാലാവസ്ഥയുള്ള,ਜਲਵਾਯੂ
ക്ലിപ്പര്,ਕਲੀਪਰ
വലം,ਕਲੋਡ
ക്ലോൺ,ਕਲੋਨ
മേഘം,ਬੱਦਲ
തോപ്പ്,ਕਲੰਪ
ക്ലസ്റ്റർ,ਕਲੱਸਟਰ
പരുക്കനായ,ਮੋਟੇ
കോട്ട് (വിത്ത്),ਕੋਟ (ਬੀਜ)
കീടകോശം,ਕੋਕੂਨ
Coenzyme,ਸਿੱਕੇ
ഏകീകരണം,ਏਕਤਾ
കയർ,ਕੋਇਰ
കൊളോറൈസ,ਕੋਲੀੋਰਿਹਿਜ਼ਾ
കുപ്പായക്കഴുത്ത്,ਕਾਲਰ
കൊളോയിഡ് (മണ്ണ്),ਕੋਲੋਇਡ (ਮਿੱਟੀ)
കൊളംറ്റെല്ല,ਕੋਲਮੂਲਾ
കോളം,ਕਾਲਮ
ആമേനസം,ਰਿਮੈਂਸੀਵਾਦ
വാണിജ്യ ബാങ്ക്,ਵਪਾਰਕ ਬੈਂਕ
ചരക്ക്,ਕਮੋਡਿਟੀ
സമൂഹം,ਕਮਿ Community ਨਿਟੀ
കോംപാക്ഷൻ (മണ്ണിന്റെ),ਸੰਕੁਚਨ (ਮਿੱਟੀ ਦਾ)
അനുയോജ്യത,ਅਨੁਕੂਲਤਾ
അനുയോജ്യത,ਅਨੁਕੂਲਤਾ
നഷ്ടപരിഹാരം,ਮੁਆਵਜ਼ਾ
മത്സര ഇടപെടൽ,ਮੁਕਾਬਲੇਬਾਜ਼ੀ ਨਾਲ ਗੱਲਬਾਤ
പൂരക വിള,ਪੂਰਕ ਫਸਲ
കോംപ്ലമായ,ਗੁੰਝਲਦਾਰ
ഘടകം,ਭਾਗ
രചന,ਰਚਨਾ
കമ്പോസ്റ്റ്,ਖਾਦ
കൂട്ടുപലിശ,ਮਿਸ਼ਰਿਤ ਦਿਲਚਸਪੀ
കണക്കുകൂട്ടൽ,ਗਣਨਾ
