Punjabi,Assamese
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,সক্ৰিয় সংস্কৰণ
acyclic,অচক্ৰীয়
acyclic ਗ੍ਰਾਫ਼,অচক্ৰীয় গ্ৰাফ
ਅਦਾ ਭਾਸ਼ਾ,আদা ভাষা
ਅਡਾਪਟਰ,এডাপ্টাৰ
ਸ਼ਾਮਲ ਕਰੋ,যোগ কৰা
ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ,ফাইল যোগ কৰক
ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ,অপাৰেচন যোগ কৰক
ਜੋੜਨ ਵਾਲਾ,adder
ਪਤਾ,ঠিকনা
ਪਤਾ ਬੱਸ,ঠিকনা বাছ
ਐਡਰੈੱਸ ਫਾਈਲ,ঠিকনা নথিপত্ৰ
ਪਤਾ ਫਾਰਮੈਟ,ঠিকনা বিন্যাস
ਪਤਾ ਜਨਰੇਟਰ,ঠিকনা উৎপাদক
ਐਡਰੈੱਸ ਲਾਈਨ,ঠিকনা ৰেখা
ਪਤਾ ਮੈਪਿੰਗ,ঠিকনা মেপিং
ਪਤਾ ਸੰਕੇਤਕ,ঠিকনা পইণ্টাৰ
ਪਤਾ ਰਜਿਸਟਰ,ঠিকনা পঞ্জীয়ন
ਪਤਾ ਹੱਲ,ঠিকনা সমাধান
ਪਤਾ ਅਨੁਵਾਦ,ঠিকনা অনুবাদ
ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ,ঠিকনাযুক্ত মেমৰি
ਸੰਬੋਧਨ,সম্বোধন কৰা
ਅਨੁਕੂਲਤਾ ਦੇ ਮਾਪਦੰਡ,পৰ্যাপ্ততাৰ মাপকাঠী
adjoint,সংযুক্ত
ਪ੍ਰਸ਼ਾਸਨ,প্ৰশাসন
ਪ੍ਰਬੰਧਕ,প্ৰশাসক
ਅਡੋਬ ਐਕਰੋਬੈਟ,এডোব এক্ৰ&#39;বেট
ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ,এডোব ফটোশ্বপ
ਐਡਵਾਂਸ ਬਿਜ਼ਨਸ ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ (ABAP),উন্নত ব্যৱসায়িক প্ৰয়োগ প্ৰগ্ৰেমিং (ABAP)
ਉੱਨਤ ਡਾਟਾ,উন্নত তথ্য
ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ,উন্নত তথ্য ব্যৱস্থা
ਉੱਨਤ ਤਕਨਾਲੋਜੀ (ਏ.ਟੀ.),উন্নত প্ৰযুক্তি (AT)
ਏਜੰਟ,এজেণ্ট
ਏਕੀਕਰਨ,একত্ৰীকৰণ
ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
aldus ਪੇਜ ਮੇਕਰ,aldus পৃষ্ঠা নিৰ্মাতা
ਚੇਤਾਵਨੀ ਬਾਕਸ,সতৰ্কবাণী বাকচ
ਐਲਗੋਲ,এলগোল
ਐਲਗੋਰਿਦਮ,এলগৰিদম
ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ,এলগৰিদম বিশ্লেষণ
ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ,এলগৰিদম দক্ষতা
ਉਪਨਾਮ,alias
ਅਲਾਈਨਮੈਂਟ,প্ৰান্তিককৰণ
ਵੰਡ,আবণ্টন
ਵਰਣਮਾਲਾ,বৰ্ণানুক্ৰমিক
ਅੱਖਰ ਅੰਕੀ,আলফানিউমেৰিক
ਅੱਖਰ ਅੰਕੀ ਕੁੰਜੀ ਬੋਰਡ,আলফানিউমেৰিক কি বৰ্ড
ਅਲਫ਼ਾ-ਟੈਸਟ,আলফা-পৰীক্ষা
ਅਲਫ਼ਾ-ਵਰਜਨ,আলফা-সংস্কৰণ
alt ਕੁੰਜੀ,alt কি&#39;
altavista,আলতাভিস্তা
ਅਸਪਸ਼ਟਤਾ,অস্পষ্টতা
ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ,অস্পষ্ট ব্যাকৰণ
ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡਰਡ ਇੰਸਟੀਚਿਊਟ (ANSI),আমেৰিকান নেচনেল ষ্টেণ্ডাৰ্ডছ ইনষ্টিটিউট (ANSI)
ਜਾਣਕਾਰੀ ਇੰਟਰਚੇਂਜ ਲਈ ਅਮਰੀਕੀ ਸਟੈਂਡਰਡ ਕੋਡ (ASCII),তথ্য বিনিময়ৰ বাবে আমেৰিকান মানক ক&#39;ড (ASCII)
ਐਨਾਲਾਗ,এনালগ
ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,এনালগ কম্পিউটাৰ
ਐਨਾਲਾਗ ਜੰਤਰ,এনালগ ডিভাইচ
ਐਨਾਲਾਗ ਮਾਡਮ,এনালগ মডেম
ਐਨਾਲਾਗ ਟੂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ (ADC),এনালগ টু ডিজিটেল কনভাৰ্টাৰ (ADC)
ਅਤੇ,আৰু
ਅਤੇ ਸਰਕਟ,AND বৰ্তনী
ਅਤੇ ਗੇਟ,AND গেট
ਅਤੇ ਕਾਰਵਾਈ ਨਹੀਂ (ਬੇਹੱਦ),AND অপাৰেচন নহয় (বৰ্জন)
ਐਨੀਮੇਸ਼ਨ,এনিমেচন
ਐਨੋਟੇਸ਼ਨ,টীকাকৰণ
ਅਸੰਗਤਤਾ,বিজুতি
ਪੂਰਵ,পূৰ্বসূৰী
ਅਗਾਊਂ ਪੇਜਿੰਗ,প্ৰত্যাশিত পেজিং
ਵਿਰੋਧੀ ਸਮਰੂਪ,এন্টি-চিমেট্ৰিক
ਐਂਟੀਵਾਇਰਸ ਪ੍ਰੋਗਰਾਮ,এন্টিভাইৰাছ প্ৰগ্ৰেম
ਐਪਲਿਟ,applet
ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ,এপ্লিকেচন ডেভেলপাৰ
ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,এপ্লিকেচন প্ৰগ্ৰেমিং
ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ (API),এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)
ਐਪਲੀਕੇਸ਼ਨ ਸਾਫਟਵੇਅਰ,এপ্লিকেচন চফ্টৱেৰ
ਲਾਗੂ ਕਰਨ ਵਾਲੀ ਭਾਸ਼ਾ,প্ৰয়োগমূলক ভাষা
ਅਨੁਮਾਨ ਥਿਊਰੀ,আনুমানিক তত্ত্ব
ਆਰਕੀਟੈਕਚਰ,স্থাপত্য
ਖੇਤਰ ਦਾ ਤਬਾਦਲਾ,এলেকা হস্তান্তৰ
ਦਲੀਲ,তৰ্কাতৰ্কি
ਹਿਸਾਬ ਅਤੇ ਤਰਕ ਇਕਾਈ,গাণিতিক আৰু যুক্তিৰ একক
ਹਿਸਾਬ ਦੀ ਜਾਂਚ,গাণিতিক পৰীক্ষা
ਅੰਕਿਤ ਸਥਿਰ,গাণিতিক ধ্ৰুৱক
ਅੰਕਿਤ ਡੇਟਾ,গাণিতিক তথ্য
ਗਣਿਤ ਸੰਬੰਧੀ ਹਦਾਇਤ,গাণিতিক নিৰ্দেশনা
ਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ (ALU),গাণিতিক আৰু যুক্তি একক (ALU)
ਅਰਪਨੇਟ,ARPANET
ਐਰੇ,এৰে
ਐਰੇ ਕੈਸ਼,এৰে কেচ
ਐਰੇ ਕੰਪਿਊਟਰ,এৰে কম্পিউটাৰ
ਐਰੇ ਤੱਤ,এৰে উপাদান
ਐਰੇ ਨਾਮ,এৰেৰ নাম
ਐਰੇ ਪ੍ਰੋਸੈਸਰ,এৰে প্ৰচেছৰ
ਤੀਰ ਕੁੰਜੀਆਂ,কাঁড় চিহ্নসমূহ
ਉਚਾਰਨ,আৰ্টিকুলেচন
ਬਿਆਨ ਬਿੰਦੂ,আৰ্টিকুলেচন পইণ্ট
ਨਕਲੀ ਸੰਕੁਚਿਤ,কৃত্ৰিম সংকোচন
ਨਕਲੀ ਕੰਟਰੋਲ,কৃত্ৰিম নিয়ন্ত্ৰণ
ਬਣਾਵਟੀ ਗਿਆਨ,কৃত্ৰিম বুদ্ধিমত্তা
ਚੜ੍ਹਦਾ,আৰোহী
ਵਧਦੀ ਲੜੀ,আৰোহী সজাই পৰাই তোলা
ASCII ਬੇਟਿਕਲ ਆਰਡਰ,ASCII betical ক্ৰম
ASCII ਕੰਟਰੋਲ ਅੱਖਰ,ASCII নিয়ন্ত্ৰণ আখৰ
ASCII ਫਾਈਲ,ASCII নথিপত্ৰ
ASCII ਫੌਂਟ,ASCII ফন্ট
ASCII ਟ੍ਰਾਂਸਫਰ,ASCII স্থানান্তৰ
ਆਕਾਰ ਅਨੁਪਾਤ,এস্পেক্ট ৰেচিঅ&#39;
ਏ.ਐਸ.ਪੀ.ਆਈ,এ এছ পি আই
ASR ਟਾਈਮਰ,ASR টাইমাৰ
ਇਕੱਠਾ ਕਰਨਾ,একত্ৰিত কৰা
ਅਸੈਂਬਲਰ,এছেম্বলাৰ
ਅਸੈਂਬਲੀ,সভা
ਅਸੈਂਬਲੀ ਭਾਸ਼ਾ,সমাবেশ ভাষা
ਦਾਅਵਾ,assertion
ਅਸਾਈਨਮੈਂਟ,আবণ্টন কৰা কাৰ্য
ਐਸੋਸੀਏਸ਼ਨ,সংস্থা
ਸਹਿਯੋਗੀ ਪਤਾ,সহযোগী ঠিকনা
ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ,সহযোগী স্মৃতিশক্তি
ਤਾਰਾ,এস্টেৰিক
ਅਸਮਿਤ,অসমতাপূৰ্ণ
ਅਸਿੰਕ੍ਰੋਨਸ,এচিনক্ৰ&#39;নাছ
ਅਸਿੰਕ੍ਰੋਨਸ ਡਿਜੀਟਲ ਸਬਸਕ੍ਰਾਈਬਰ ਲਾਈਨ (ADSL),ডিজিটেল গ্রাহক লাইন (ADSL)
ਅਸਿੰਕ੍ਰੋਨਸ ਟਾਈਮ ਡਿਵੀਜ਼ਨ ਮਲਟੀਪਲੈਕਸਿੰਗ (ATDM),asynchronous সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM)
ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ,এচিনক্ৰ&#39;নাছ স্থানান্তৰ
ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ ਮੋਡ (ATM),এচিনক্ৰ&#39;নাছ স্থানান্তৰ ধৰণ (ATM)
ਪਰਮਾਣੂ,পৰমাণু
ਨੱਥੀ ਦਸਤਾਵੇਜ਼,সংলগ্ন নথিপত্ৰ
ਨੱਥੀ ਫ਼ਾਈਲ,সংলগ্ন ফাইল
ਲਗਾਵ,সংলগ্নক
ਵਿਸ਼ੇਸ਼ਤਾ,বৈশিষ্ট্য
ਆਡੀਓ,অডিঅ&#39;
ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ,অডিট প্ৰগ্ৰেমিং
ਆਡਿਟ ਟ੍ਰੇਲ,অডিট ট্ৰেইল
ਵਾਧਾ,বৃদ্ধি কৰা
ਪ੍ਰਮਾਣਿਕਤਾ ਪ੍ਰੋਟੋਕੋਲ,প্ৰমাণীকৰণ প্ৰটোকল
ਲੇਖਕ ਪ੍ਰਣਾਲੀ,লেখক ব্যৱস্থা
ਅਧਿਕਾਰ,অনুমোদন
ਆਟੋ ਐਬਸਟਰੈਕਟ,অটো বিমূৰ্ত
ਆਟੋਬੂਟਿੰਗ,স্বয়ংক্ৰিয় বুট কৰা
ਆਟੋਕੈਡ,অটোকেড
ਆਟੋਲੌਗ ਚਾਲੂ,অটোলগ অন
ਆਟੋਮੇਟਾ,automata
ਆਟੋਮੈਟਾ ਥਿਊਰੀ,automata তত্ত্ব
ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਿੰਗ,স্বয়ংক্ৰিয় কম্পিউটিং
ਆਟੋਮੈਟਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ
ਆਟੋਮੈਟਿਕ ਗਲਤੀ ਸੁਧਾਰ,স্বয়ংক্ৰিয় ভুল সংশোধন
ਆਟੋਮੈਟਿਕ ਫੰਕਸ਼ਨ,স্বয়ংক্ৰিয় কাৰ্য্য
ਆਟੋਮੈਟਿਕ ਇੰਡੈਕਸਿੰਗ,স্বয়ংক্ৰিয় সূচীভুক্তকৰণ
ਆਟੋਮੈਟਿਕ ਲਾਇਬ੍ਰੇਰੀ ਕਾਲ,স্বয়ংক্ৰিয় লাইব্ৰেৰী কল
ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ,স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং
ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ,স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম
ਆਟੋਮੈਟਿਕ ਰੁਟੀਨ,স্বয়ংক্ৰিয় ৰুটিন
ਆਟੋਮੈਟਿਕ ਸਿਸਟਮ ਰਿਕਵਰੀ,স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ
ਆਟੋਮੈਟਿਕ ਟੈਲਰ ਮਸ਼ੀਨ (ATM),স্বয়ংক্ৰিয় টেলাৰ মেচিন (ATM)
ਆਟੋਮੇਸ਼ਨ,অটোমেচন
ਸਵੈ ਚਾਲ,অটোপ্লে
ਸਵੈ-ਸੰਭਾਲ,স্বয়ংক্ৰিয় সংৰক্ষণ কৰক
ਸਹਾਇਕ,সহায়ক
ਸਹਾਇਕ ਮੈਮੋਰੀ,সহায়ক স্মৃতিশক্তি
ਸਹਾਇਕ ਸਟੋਰੇਜ਼,সহায়ক সংৰক্ষণ
ਉਪਲਬਧ ਸੂਚੀ,উপলব্ধ তালিকা
ਉਪਲਬਧ ਸਮਾਂ,উপলব্ধ সময়
ਔਸਤ,গড়
awk (ਭਾਸ਼ਾ),awk (ভাষা)
ਬੈਕਐਂਡ,বেকএণ্ড
ਬੈਕਐਂਡ ਪ੍ਰੋਸੈਸਰ,বেকএণ্ড প্ৰচেছৰ
ਬੈਕਫੇਸ ਹਟਾਉਣਾ,বেকফেচ আঁতৰোৱা
ਪਿਛੋਕੜ ਦੀ ਕਾਰਵਾਈ,পটভূমি প্ৰক্ৰিয়াকৰণ
ਬੈਕਿੰਗ ਸਟੋਰ,বেকিং ষ্ট&#39;ৰ
ਬੈਕਪੈਚਿੰਗ,বেকপেচিং
ਬੈਕਸਪੇਸ,বেকস্পেচ
ਬੈਕਟਰੈਕਿੰਗ,পিছুৱাই যোৱা
ਬੈਕ-ਅੱਪ,বেক-আপ
ਬੈਕਅੱਪ ਮੈਮੋਰੀ,বেক-আপ মেমৰি
ਪਿੱਛੇ ਗਲਤੀ ਰਿਕਵਰੀ,পিছলৈ ত্ৰুটি পুনৰুদ্ধাৰ
ਸੰਤੁਲਨ ਸ਼ੀਟ,বেলেন্স শ্বীট
ਜਥਾ,বেণ্ড
ਬੈਂਡ ਚੌੜਾਈ,বেণ্ডৰ প্ৰস্থ
ਬੈਂਕਰ ਦਾ ਐਲਗੋਰਿਦਮ,বেংকাৰৰ এলগৰিদম
ਬਾਰ ਕੋਡ,বাৰ ক&#39;ড
ਬਾਰ ਕੋਡ ਸਕੈਨਰ,বাৰ ক&#39;ড স্ক্যানাৰ
ਬਾਰ ਗ੍ਰਾਫ,বাৰ গ্ৰাফ
ਅਧਾਰ ਪਤਾ,ভিত্তি ঠিকনা
ਅਧਾਰ ਬੈਂਡ,বেচ বেণ্ড
ਅਧਾਰ ਨੰਬਰ,ভিত্তি সংখ্যা
ਅਧਾਰ ਸਾਰਣੀ,ভিত্তি টেবুল
ਬੇਸਿਕ,প্ৰাথমিক
ਬੁਨਿਆਦੀ ਕੰਟਰੋਲ,মূল নিয়ন্ত্ৰণ
ਬੁਨਿਆਦੀ ਇੰਪੁੱਟ,মূল ইনপুট
ਬੁਨਿਆਦੀ ਹਦਾਇਤ,মূল নিৰ্দেশনা
ਬੁਨਿਆਦੀ ਆਉਟਪੁੱਟ,মূল আউটপুট
ਬੁਨਿਆਦੀ ਕਦਮ,মূল পদক্ষেপ
ਬੈਚ,বেটছ
ਬੈਚ ਫਾਈਲ,বেচ ফাইল
ਬੈਚ ਸਥਿਤੀ,বেচৰ অৱস্থান
ਬੈਚ ਪ੍ਰੋਸੈਸਿੰਗ,বেচ প্ৰচেছিং
ਬੈਚ ਸਿਸਟਮ,বেচ ব্যৱস্থা
ਬੌਡ,baud
ਬੌਡ ਦਰ,বড হাৰ
ਬੀਮ,আলোকৰশ্মি
ਬੇਂਚਮਾਰਕ,বেঞ্চমাৰ্ক
ਦੋ-ਦਿਸ਼ਾ ਸੰਚਾਰ,দ্বিমুখী যোগাযোগ
ਦੋ-ਦਿਸ਼ਾਵੀ ਲਿੰਕ,দ্বিমুখী সংযোগ
ਬਾਈਨਰੀ ਕੋਡ,বাইনাৰী ক&#39;ড
ਬਾਈਨਰੀ ਅੰਕ,বাইনাৰী অংক
ਬਾਈਨਰੀ ਇਨਪੁਟ ਆਉਟਪੁੱਟ ਸਿਸਟਮ (BIOS),বাইনাৰী ইনপুট আউটপুট চিস্টেম (BIOS)
ਬਾਈਨਰੀ ਨੰਬਰ,বাইনাৰী সংখ্যা
ਬਾਈਨਰੀ ਆਪਰੇਟਰ,বাইনাৰী অপাৰেটৰ
ਬਾਈਨਰੀ ਸਬੰਧ,বাইনাৰী সম্পৰ্ক
ਬਾਈਨਰੀ ਖੋਜ,বাইনাৰী সন্ধান
ਬਾਈਨਰੀ ਸਰਚ ਟ੍ਰੀ (BST),বাইনাৰী সন্ধান গছ (BST)
ਬਾਈਨਰੀ ਟ੍ਰਾਂਸਫਰ,বাইনাৰী স্থানান্তৰ
ਬਾਈਨਰੀ ਰੁੱਖ,বাইনাৰী গছ
ਬਾਈਪੋਲਰ ਮੈਮੋਰੀ,বাইপোলাৰ মেম’ৰী
ਜਨਮ ਮੌਤ ਮਾਡਲ,জন্ম মৃত্যুৰ আৰ্হি
ਜਨਮ ਮੌਤ ਦੀ ਪ੍ਰਕਿਰਿਆ,জন্ম মৃত্যু প্ৰক্ৰিয়া
ਬਿੱਟ,বিট
ਬਿੱਟ ਨੁਕਸ,বিট দোষ
ਬਿੱਟ ਨਕਸ਼ਾ,বিট মেপ
ਬਿੱਟ ਮੈਪ ਪਿਕਸਲ (BMP),বিট মেপ পিক্সেল (BMP)
ਬਿੱਟ ਮੈਟ੍ਰਿਕਸ,বিট মেট্ৰিক্স
ਬਿੱਟ ਪੈਟਰਨ,বিট পেটাৰ্ণ
ਬਿੱਟ ਸਥਿਤੀ,বিটৰ অৱস্থান
ਬਿੱਟ ਰੇਟ,বিট হাৰ
ਬਲੈਕ ਬਾਕਸ ਟੈਸਟਿੰਗ,ব্লেক বক্স পৰীক্ষা
ਝਪਕਣਾ,টিপটিপিয়াই
ਬਲਾਕ,অৱৰুদ্ধ কৰা
ਬਲਾਕ ਕੈਸ਼,ব্লক কেচ
ਬਲਾਕ ਚੈੱਕ,ব্লক চেক কৰক
ਬਲਾਕ ਕਾਪੀ,ব্লক কপি
ਬਲਾਕ ਚਿੱਤਰ,ব্লক ডায়াগ্ৰাম
ਬਲਾਕਿੰਗ ਨੈੱਟਵਰਕ,নেটৱাৰ্ক ব্লক কৰা
ਫੱਟੀ,ব’ৰ্ড
ਕਿਤਾਬ ਦਾ ਨਿਸ਼ਾਨ,বুক মাৰ্ক
ਬੂਲੀਅਨ ਅਲਜਬਰਾ,বুলিয়ান বীজগণিত
ਬੂਲੀਅਨ ਸਬੰਧ,বুলিয়ান সম্পৰ্ক
ਬੂਟ ਭਾਗ,বুট বিভাজন
ਬੂਟ ਸਟ੍ਰੈਪਿੰਗ,বুট ষ্ট্ৰেপিং
ਬੂਟ-ਸਟੈਪ ਲੋਡਰ,বুট-ষ্ট্ৰেপ লোডাৰ
ਪੁਲ,সেঁতু
ਬਰਾਡਬੈਂਡ ਨੈੱਟਵਰਕਿੰਗ,ব্ৰডবেণ্ড নেটৱৰ্কিং
ਪ੍ਰਸਾਰਣ,সম্প্ৰচাৰ
ਪ੍ਰਸਾਰਣ ਰੇਡੀਓ,সম্প্ৰচাৰ ৰেডিঅ&#39;
ਬਰਾਊਜ਼ ਕਰੋ,ব্ৰাউজ কৰক
ਬਰਾਊਜ਼ਰ,ব্ৰাউজাৰ
ਬੀ-ਰੁੱਖ,বি-বৃক্ষ
ਬੁਲਬੁਲਾ ਮੈਮੋਰੀ,বুদবুদ স্মৃতিশক্তি
ਬੁਲਬੁਲਾ ਲੜੀਬੱਧ,বুদবুদ সজাই পৰাই তোলা
ਬਾਲਟੀ,বাল্টি
ਦੋਸਤ ਸਿਸਟਮ,বন্ধু ব্যৱস্থা
ਬਜਟ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਨਿਯੰਤਰਣ,বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ
ਬਫਰ,বাফাৰ
ਬੱਗ,পোক
ਬੱਸ,বাছ
ਬਾਈਟ,বাইট
ਬਾਈਟ ਕੋਡ,বাইট ক&#39;ড
c,গ
C++,C++
ਕੈਸ਼,cache
ਕੈਸ਼ ਬਫਰ,কেশ্ব বাফাৰ
ਕੈਸ਼ ਮੈਮੋਰੀ,কেশ্ব মেমৰি
ਗਣਨਾ,গণনা কৰা
ਕੈਲਕੁਲੇਟਰ,কেলকুলেটৰ
ਕੈਲਕੁਲੇਟਰ ਚਿੱਪ,কেলকুলেটৰ চিপ
ਕਾਲ ਕਰੋ,কল কৰা
ਨਾਮ ਨਾਲ ਕਾਲ ਕਰੋ,নামেৰে ফোন কৰক
ਹਵਾਲੇ ਦੁਆਰਾ ਕਾਲ ਕਰੋ,ৰেফাৰেন্সৰ দ্বাৰা কল কৰক
ਮੁੱਲ ਦੁਆਰਾ ਕਾਲ ਕਰੋ,মূল্যৰ দ্বাৰা কল কৰক
ਵੇਰੀਏਬਲ ਦੁਆਰਾ ਕਾਲ ਕਰੋ,চলকৰ দ্বাৰা কল কৰক
ਕਾਲ ਗੇਟ,গেট কল কৰক
ਰੱਦ ਕਰੋ,বাতিল কৰক
ਰੱਦ ਕਰੋ ਬਟਨ,বাতিল বুটাম
ਕੈਨੋਨੀਕਲ,canonical
ਕੈਨੋਨੀਕਲ ਰੂਪ,কেননিক ৰূপ
ਸਮਰੱਥਾ,ক্ষমতা
ਸਮਰੱਥਾ ਸੂਚੀ,ক্ষমতা তালিকা
ਸਮਰੱਥਾ,ক্ষমতা
ਕੈਪਸ ਲਾਕ ਕੁੰਜੀ,caps লক চাবি
ਕਾਰਡ,কাৰ্ড
ਕਾਰਡ ਰੀਡਰ,কাৰ্ড ৰিডাৰ
ਮੁੱਖਤਾ,কাৰ্ডিনালিটি
ਕੈਰੀਅਰ,বাহক
ਕੈਰੀਅਰ ਬੈਂਡ,বাহক বেণ্ড
ਕੈਰੀਅਰ ਲੋਡ,বাহক বোজা
ਕੈਰੀਅਰ ਸਿਗਨਲ,বাহক সংকেত
ਕੈਰੀਅਰ ਲਹਿਰ,বাহক তৰংগ
ਲੈ ਜਾਣਾ,কঢ়িওৱা
ਕੈਰੀ ਅੰਕ,carry digit
ਝੰਡਾ ਚੁੱਕੋ,পতাকা কঢ়িয়াই নিয়া
ਕਾਰਤੂਸ ਡਿਸਕ,কাৰ্টিজ ডিস্ক
ਕੈਸਕੇਡ,cascade
ਕੇਸ,ঘটনা
