Bengali,Telugu
নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা,ఖచ్చితత్వ నియంత్రణ వ్యవస్థ
এস পাইলট,ఏస్ పైలట్
চরিত্র স্বীকৃতি,పాత్రను గుర్తించండి
অ্যাকোস্টিক কাপলার,ఎకౌస్టిక్ కప్లర్
অ্যাকোস্টিক কাপলিং,శబ్ద కలపడం
অ্যাকোস্টিক বিলম্ব লাইন,శబ్ద ఆలస్యం రేఖ
অ্যাকোস্টিক মেমরি,శబ్ద జ్ఞాపకశక్తి
অ্যাকোস্টিক মডেম,ఎకౌస్టిక్ మోడెమ్
অ্যাকোস্টিক সিগন্যাল,శబ్ద సిగ్నల్
অ্যাকোস্টিক স্টোরেজ,శబ్ద నిల్వ
সংক্ষিপ্ত বিবরণ,ఎక్రోనిం
কর্ম,చర్య
অ্যাকশন চক্র,చర్య చక్రం
অ্যাকশন লাইন,యాక్షన్ లైన్
অ্যাকশন বার্তা,చర్య సందేశం
ক্রিয়া স্পেসিফিকেশন,చర్య స్పెసిఫికేషన్
অ্যাক্টিভেশন,క్రియాశీలత
সক্রিয়,క్రియాశీల
সক্রিয় ফাইল,యాక్టివ్ ఫైల్
সক্রিয় লাইন,యాక్టివ్ లైన్
সক্রিয় লিঙ্ক,క్రియాశీల లింక్
সক্রিয় মাস্টার ফাইল,యాక్టివ్ మాస్టర్ ఫైల్
সক্রিয় মাস্টার আইটেম,యాక్టివ్ మాస్టర్ ఐటెమ్
সক্রিয় স্যাটেলাইট,క్రియాశీల ఉపగ్రహం
সক্রিয় স্টেশন,యాక్టివ్ స్టేషన్
সক্রিয় স্টোরেজ,క్రియాశీల నిల్వ
ক্রিয়াকলাপ,కార్యాచరణ
কর্মকান্ডের পর্যায়,కార్యాచరణ స్థాయి
ক্রিয়াকলাপ লোড হচ্ছে,కార్యాచరణ లోడింగ్
ক্রিয়াকলাপ অনুপাত,కార్యాచరణ నిష్పత్తి
আসল ঠিকানা (= পরম ঠিকানা),వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా)
আসল কোড (= পরম কোড),వాస్తవ కోడ్ (= సంపూర్ణ కోడ్)
প্রকৃত ডেটা স্থানান্তর হার,వాస్తవ డేటా బదిలీ రేటు
আসল দশমিক পয়েন্ট,వాస్తవ దశాంశ బిందువు
প্রকৃত নির্দেশ (= কার্যকর নির্দেশ),వాస్తవ సూచన (= ప్రభావవంతమైన సూచన)
আসল কী,అసలు కీ
প্রকৃত সময়,అసలు సమయం
আসল কাজের সময়,వాస్తవ పని సమయం
অ্যাকিউটিং সিগন্যাল,సిగ్నల్ యాక్చువేటింగ్
অভিযোজনযোগ্যতা,అనుకూలత
অ্যাডাপ্টার,అడాప్టర్
অভিযোজিত চ্যানেল বরাদ্দ,అడాప్టివ్ ఛానల్ కేటాయింపు
অভিযোজিত সংহতকরণ,అడాప్టివ్ ఇంటిగ్రేషన్
অভিযোজিত ট্রান্সভার্সাল ইকুয়ালাইজার,అడాప్టివ్ ట్రాన్స్వర్సల్ ఈక్వలైజర్
যুক্ত এন্ট্রি,ఎంట్రీ జోడించబడింది
সংযোজন,అనుబంధం
সংযোজন,Adder
অ্যাডার সাবট্র্যাক্টর,అడెర్ సబ్‌ట్రాక్టర్
ফাইল যুক্ত কর,ఫైల్ జోడించండి
অতিরিক্ত চরিত্র (= বিশেষ চরিত্র),అదనపు అక్షరం (= ప్రత్యేక అక్షరం)
সংযোজন রেকর্ডার,అదనంగా రికార్డర్
সংযোজন টেবিল,అదనంగా పట్టిక
সংযোজন বৈশিষ্ট্য,సంకలిత లక్షణం
মোড যুক্ত করুন,మోడ్‌ను జోడించండి
অপারেশন যুক্ত করুন,ఆపరేషన్ జోడించండి
ঠিকানা,చిరునామా
ঠিকানা পরিমাপ,చిరునామా కొలత
ঠিকানাযোগ্য অনুভূমিক অবস্থান,చిరునామా క్షితిజ సమాంతర స్థానం
ঠিকানাযোগ্য পয়েন্ট,చిరునామా పాయింట్
ঠিকানাযোগ্য অবস্থান,చిరునామా స్థానం
ঠিকানাযোগ্য নিবন্ধ,చిరునామా రిజిస్టర్
ঠিকানাযোগ্য স্টোরেজ,చిరునామా నిల్వ
ঠিকানাযোগ্য উল্লম্ব অবস্থান,చిరునామా నిలువు స్థానం
ঠিকানা বাস,చిరునామా బస్సు
ঠিকানা কোড,చిరునామా కోడ్
ঠিকানা তুলনামূলক,చిరునామా కంపారిటర్
ঠিকানা গণনা,చిరునామా గణన
ধ্রুবক ঠিকানা,చిరునామా స్థిరాంకం
ঠিকানা রূপান্তর,చిరునామా మార్పిడి
ঠিকানা ডেটা,చిరునామా డేటా
সম্বোধন স্মৃতি,చిరునామా మెమరీ
ঠিকানা কার্যকর,చిరునామా ప్రభావవంతంగా ఉంటుంది
ঠিকানা ক্ষেত্র,చిరునామా ఫీల్డ్
ঠিকানা ফর্ম্যাট,చిరునామా ఆకృతి
ঠিকানা বিনামূল্যে প্রোগ্রাম,చిరునామా ఉచిత ప్రోగ్రామ్
সম্বোধন,చిరునామా
"সম্বোধন
 চরিত্র","చిరునామా
 పాత్ర"
বাধা সম্বোধন,అంతరాయాన్ని పరిష్కరించడం
লুপ সম্বোধন,చిరునామా లూప్
ভার্চুয়াল মেমরি সম্বোধন,వర్చువల్ మెమరీని పరిష్కరించడం
ঠিকানা ইন্টারল্যাকিং,చిరునామా ఇంటర్లేసింగ్
ঠিকানাহীন নির্দেশাবলী ফর্ম্যাট,చిరునామా లేని సూచనల ఆకృతి
ঠিকানা লাইন,చిరునామా లైన్
ঠিকানা ম্যাপিং,చిరునామా మ్యాపింగ్
ঠিকানা চিহ্ন,చిరునామా గుర్తు
ঠিকানা পরিবর্তন,చిరునామా మార్పు
ঠিকানা অংশ,చిరునామా భాగం
ঠিকানা পয়েন্টার,చిరునామా పాయింటర్
ঠিকানা রেজিস্টার,చిరునామా రిజిస్టర్
ঠিকানা সংকেত,చిరునామా సిగ్నల్
ঠিকানা আকার,చిరునామా పరిమాణం
ঠিকানা স্থান,చిరునామా స్థలం
ঠিকানা স্পেস আইডেন্টিফায়ার,చిరునామా స్పేస్ ఐడెంటిఫైయర్
ঠিকানা স্টপ,చిరునామా స్టాప్
ঠিকানা ট্রেস,చిరునామా ట్రేస్
ঠিকানা ট্র্যাক,చిరునామా ట్రాక్
ঠিকানা অনুবাদ,చిరునామా అనువాదం
ঠিকানা অনুবাদক,చిరునామా అనువాదకుడు
বিয়োগের সময় যোগ করুন,జోడించు-ఉపశమనం సమయం
সময় যোগ করুন,సమయాన్ని జోడించండి
সংলগ্নতা,ప్రక్కనే
সংলগ্ন কাঠামো,ప్రక్కనే ఉన్న నిర్మాణం
সংলগ্ন চ্যানেল,ప్రక్కనే ఉన్న ఛానల్
সংলগ্ন ডোমেন,ప్రక్కనే ఉన్న డొమైన్
সংলগ্ন ম্যাট্রিক্স,ప్రక్కనే ఉన్న మాతృక
সংলগ্ন নোড,ప్రక్కనే ఉన్న నోడ్
সংলগ্ন সুবেরিয়া,ప్రక్కనే ఉన్న సబ్‌యారియా
স্থগিত (সিস্টেম),అడ్జాయింట్ (సిస్టమ్)
সামঞ্জস্য করুন,సర్దుబాటు
সামঞ্জস্যযোগ্য মাত্রা,సర్దుబాటు పరిధి
পাঠ্য মোড সামঞ্জস্য করুন,టెక్స్ట్ మోడ్‌ను సర్దుబాటు చేయండి
প্রশাসনিক ডেটা প্রসেসিং,అడ్మినిస్ట్రేటివ్ డేటా ప్రాసెసింగ్
প্রশাসনিক অপারেশন,పరిపాలనా ఆపరేషన్
প্রশাসনিক অপারেটর,అడ్మినిస్ట్రేటివ్ ఆపరేటర్
প্রশাসনিক অপারেটর স্টেশন,అడ్మినిస్ట్రేటివ్ ఆపరేటర్ స్టేషన్
প্রশাসনিক সহায়তা সিস্টেম,పరిపాలనా మద్దతు వ్యవస్థ
উন্নত যোগাযোগ পরিষেবা,అధునాతన కమ్యూనికేషన్ సేవ
উন্নত তথ্য সিস্টেম,అధునాతన సమాచార వ్యవస్థ
উন্নত অপটিক্যাল চরিত্র পাঠক,అధునాతనమైన ఆప్టికల్ క్యారెక్టర్ రీడర్
উন্নত বৈজ্ঞানিক কম্পিউটার,అధునాతన శాస్త్రీయ కంప్యూటర్
এরিয়াল,ఆకాశయాన
সমষ্টি,మొత్తం
সামগ্রিক অভিব্যক্তি,మొత్తం వ్యక్తీకరణ
লক্ষ্য বৃত্ত,లక్ష్య వృత్తం
লক্ষ্য ক্ষেত্র (= লক্ষ্য প্রতীক),లక్ష్యం ఫీల్డ్ (= లక్ష్యం చిహ్నం)
লক্ষ্য প্রতীক,లక్ష్యం చిహ్నం
বায়ুবাহিত কম্পিউটার সিস্টেম,వాయుమార్గాన కంప్యూటర్ వ్యవస్థ
বীজগণিত ইগেনভ্যালু সমস্যা,బీజగణిత ఈజెన్వాల్యూ సమస్య
"বীজগণিত
 মিশ্রণ","బీజగణితం
 అనుసంధానం"
বীজগণিত ভাষা,బీజగణిత భాష
বীজগণিত হেরফের,బీజగణిత మానిప్యులేషన్
বীজগণিত ম্যানিপুলেশন ভাষা,బీజగణిత మానిప్యులేషన్ భాష
বীজগণিতমুখী ভাষা,బీజగణిత ఆధారిత భాష
বীজগণিত শিফট,బీజగణిత షిఫ్ట్
বীজগণিত সাইন কনভেনশন,బీజగణిత సంకేత సమావేశం
অ্যালগল,ఆల్గోల్
অ্যালগল বৈশিষ্ট্য,ఆల్గోల్ ఫీచర్
অ্যালগল প্রোগ্রামিং,ఆల్గోల్ ప్రోగ్రామింగ్
অ্যালগরিদম,అల్గోరిథం
অ্যালগরিদম সহযোগী ভাষা,అల్గోరిథం అసోసియేటివ్ లాంగ్వేజ్
অ্যালগরিদম শ্রেণিবিন্যাস,అల్గోరిథం వర్గీకరణ
অ্যালগরিদম জটিলতা,అల్గోరిథం సంక్లిష్టత
অ্যালগরিদম গণনাযোগ্যতা,అల్గోరిథం కంప్యూటబిలిటీ
অ্যালগরিদমিক বিশ্লেষণ,అల్గోరిథమిక్ విశ్లేషణ
অ্যালগরিদমিক পদ্ধতির,అల్గోరిథమిక్ విధానం
অ্যালগরিদমিক ভাষা,అల్గోరిథమిక్ భాష
অ্যালগরিদমিক রুটিন,అల్గోరిథమిక్ దినచర్య
অ্যালগরিদমিক তত্ত্ব,అల్గోరిథమిక్ సిద్ధాంతం
ওরফে,అలియాస్
এলিয়াসিং,అలియాసింగ్
ওরফে নাম (= বিকল্প নাম),అలియాస్ పేరు (= ప్రత్యామ్నాయ పేరు)
প্রান্তিককরণ,అమరిక
বরাদ্দ,కేటాయించండి
বরাদ্দ কাঠামো,కేటాయింపు నిర్మాణం
সমস্ত উদ্দেশ্যমূলক কম্পিউটার,ఆల్-పర్పస్ కంప్యూటర్
বর্ণমালা চরিত্র,అక్షర పాత్ర
বর্ণমালা চরিত্র সেট,అక్షర అక్షర సమితి
বর্ণমালা চরিত্রের সাবসেট,అక్షర అక్షర ఉపసమితి
বর্ণমালা কোড,అక్షర కోడ్
বর্ণমালা শিফট,అక్షర షిఫ్ట్
বর্ণমালা স্ট্রিং,అక్షర స్ట్రింగ్
বর্ণমালা শব্দ,అక్షర పదం
বর্ণমালা,వర్ణమాల
আলফেজোমেট্রিক্স,ఆల్ఫాజియోమెట్రిక్స్
বর্ণমালা,ఆల్ఫామెరిక్
আলফামোসাইক,ఆల్ఫామోసాయిక్
বর্ণমালা,ఆల్ఫాన్యూమరిక్
আলফানুমারিকাল কীবোর্ড ডিভাইস,ఆల్ఫాన్యూమరికల్ కీబోర్డ్ పరికరం
আলফানিউমেরিক চরিত্র সেট,ఆల్ఫాన్యూమరిక్ క్యారెక్టర్ సెట్
আলফানিউমেরিক কোড,ఆల్ఫాన్యూమరిక్ కోడ్
আলফানিউমেরিক কোডেড চরিত্র সেট,ఆల్ఫాన్యూమరిక్ కోడెడ్ క్యారెక్టర్ సెట్
আলফানিউমেরিক ডেটা,ఆల్ఫాన్యూమరిక్ డేటా
আলফানিউমেরিক ডিসপ্লে ডিভাইস,ఆల్ఫాన్యూమరిక్ డిస్ప్లే పరికరం
আলফানিউমেরিক সম্পাদিত চরিত্র,ఆల్ఫాన్యూమరిక్ సవరించిన పాత్ర
আলফানিউমেরিক ফিল্ড,ఆల్ఫాన్యూమరిక్ ఫీల్డ్
বর্ণমালা নির্দেশ,ఆల్ఫాన్యూమరిక్ ఇన్స్ట్రక్షన్
আলফানিউমেরিক কীবোর্ড,ఆల్ఫాన్యూమరిక్ కీబోర్డ్
আলফানিউমেরিক বাছাই,ఆల్ఫాన్యూమరిక్ విధమైన
আলফানিউমেরিক স্টোরেজ,ఆల్ఫాన్యూమరిక్ స్టోరేజ్
পরিবর্তনযোগ্য মেমরি,మార్చగల మెమరీ
পরিবর্তন সুইচ,మార్పు స్విచ్
পরিবর্তন,మార్చడం
পরিবর্তন মোড,ఆల్టర్ మోడ్
বিকল্প পুনরুদ্ধার,ప్రత్యామ్నాయ రికవరీ
বিকল্প রুট,ప్రత్యామ్నాయ మార్గం
বিকল্প রাউটিং,ప్రత్యామ్నాయ రౌటింగ్
বিকল্প ট্র্যাক,ప్రత్యామ్నాయ ట్రాక్
বিকল্প (= বা অপারেশন),ప్రత్యామ్నాయం (= లేదా ఆపరేషన్)
বিকল্প বৈশিষ্ট্য,ప్రత్యామ్నాయ లక్షణం
বিকল্প অস্বীকার (= না-অপারেশন),ప్రత్యామ్నాయ తిరస్కరణ (= మరియు ఆపరేషన్ కాదు)
অস্পষ্টতা ত্রুটি,అస్పష్టత లోపం
অস্পষ্ট রেফারেন্স,అస్పష్టమైన సూచన
অ্যানালগ,అనలాగ్
অ্যানালগ অ্যাডার,అనలాగ్ యాడర్
অ্যানালগ চ্যানেল,అనలాగ్ ఛానల్
অ্যানালগ কম্পিউটার,అనలాగ్ కంప్యూటర్
অ্যানালগ রূপান্তরকারী,అనలాగ్ కన్వర్టర్
অ্যানালগ ডেটা,అనలాగ్ డేటా
অ্যানালগ বিভাজক,అనలాగ్ డివైడర్
অ্যানালগ সুবিধা টার্মিনাল,అనలాగ్ ఫెసిలిటీ టెర్మినల్
"অ্যানালগ ফাংশন
 জেনারেটর","అనలాగ్ ఫంక్షన్
 జనరేటర్"
অ্যানালগ ইন্টিগ্রেশন,అనలాగ్ ఇంటిగ్రేషన్
অ্যানালগ গুণক,అనలాగ్ గుణకం
অ্যানালগ প্রোগ্রামিং,అనలాగ్ ప్రోగ్రామింగ్
অ্যানালগ স্কেলিং,అనలాగ్ స్కేలింగ్
এনালগ সংকেত,అనలాగ్ సిగ్నల్
অ্যানালগ সিমুলেশন,అనలాగ్ అనుకరణ
অ্যানালগ সুইচ,అనలాగ్ స్విచ్
অ্যানালগ সিস্টেম,అనలాగ్ వ్యవస్థ
"ডিজিটাল অ্যানালগ
 রূপান্তরকারী","డిజిటల్‌కు అనలాగ్
 కన్వర్టర్"
"ডিজিটাল অ্যানালগ
 এনকোডার","డిజిటల్‌కు అనలాగ్
 ఎన్కోడర్"
অ্যানালগ সংক্রমণ,అనలాగ్ ట్రాన్స్మిషన్
অ্যানালগ প্রকার,అనలాగ్ రకం
বিশ্লেষণ ব্লক,విశ్లేషణ బ్లాక్
বিশ্লেষণ মোড,విశ్లేషణ మోడ్
বিশ্লেষণাত্মক ইঞ্জিন,విశ్లేషణాత్మక ఇంజిన్
পৈতৃক কাজ,పూర్వీకుల పని
আনুষঙ্গিক সরঞ্জাম,సహాయక పరికరాలు
এবং,మరియు
এবং সার্কিট,మరియు సర్క్యూట్
এবং উপাদান,మరియు మూలకం
এবং গেট,మరియు గేట్
এবং মাস্কিং,మరియు మాస్కింగ్
এবং অপারেশন নয় (= বর্জন,మరియు ఆపరేషన్ కాదు (= మినహాయింపు
এবং অপারেশন,మరియు ఆపరేషన్
সংযুক্তি স্মৃতি,అనెక్స్ మెమరీ
টীকা,ఉల్లేఖనం
ঘোষণা,అనన్సియేటర్
উত্তর পাঠাও,తిరిగి సమాధానం ఇవ్వండి
উত্তর দেরি,సమాధానం ఆలస్యం
উত্তর সময়,సమయం సమాధానం
উত্তর প্রদীপ,సమాధానం దీపం
উত্তর তালিকা,జవాబు జాబితా
শুধুমাত্র উত্তর,సమాధానం మాత్రమే
প্রত্যাশা মোড,Ntic హించే మోడ్
প্রত্যাশিত বাফারিং,ముందస్తు బఫరింగ్
প্রত্যাশিত বহন,ముందస్తు క్యారీ
প্রত্যাশিত পেজিং,ముందస్తు పేజింగ్
অ্যান্টিকোয়েনসেন্স অপারেশন,ప్రతిస్కందకం ఆపరేషన్
অ্যান্টিকোইনসেন্টেন্ট উপাদান,ప్రతిస్కందకం మూలకం
অ্যাপেরিওডিক অ্যান্টেনা,అపెరియోడిక్ యాంటెన్నా
অ্যাপারচার কার্ড,ఎపర్చరు కార్డు
অ্যাপারচার কোড,ఎపర్చరు కోడ్
অ্যাপারচার সময়,ఎపర్చరు సమయం
সংযোজন,అనుబంధం
অ্যাপেন্ডেজ টাস্ক,అనుబంధ పని
অ্যাপ্লিকেশন ডেভেলপার,అప్లికేషన్ డెవలపర్
আবেদন স্তর,అప్లికేషన్ లేయర్
অ্যাপ্লিকেশন ভিত্তিক ভাষা,అప్లికేషన్ ఓరియెంటెడ్ లాంగ్వేజ్
অ্যাপ্লিকেশন প্যাকেজ,అప్లికేషన్ ప్యాకేజీ
এপ্লিকেশন প্রোগ্রাম,అప్లికేషన్ ప్రోగ్రామ్
অ্যাপ্লিকেশন প্রোগ্রামিং,అప్లికేషన్ ప్రోగ్రామింగ్
অ্যাপ্লিকেশন প্রয়োজনীয় ভাষা,అప్లికేషన్ అవసరం భాష
অ্যাপ্লিকেশন সফ্টওয়্যার,అప్లికేషన్ సాఫ్ట్‌వేర్
অ্যাপ্লিক,అప్లిక్
আনুমানিক তত্ত্ব,ఉజ్జాయింపు సిద్ధాంతం
স্বেচ্ছাসেবী অ্যাক্সেস,ఏకపక్ష ప్రాప్యత
স্বেচ্ছাসেবী সিকোয়েন্স কম্পিউটার,ఏకపక్ష సీక్వెన్స్ కంప్యూటర్
সালিশ,మధ్యవర్తిత్వ
আর্কিটেকচার,వాస్తుశిల్పం
সংরক্ষণাগার,ఆర్కైవింగ్
এরিয়া কোড,స్థల సంకేతం
অঞ্চল অনুসন্ধান,ప్రాంత శోధన
অঞ্চল স্থানান্তর,ప్రాంత బదిలీ
অঞ্চল পরিবর্তনশীল,ఏరియా వేరియబుల్
যুক্তি,వాదన
যুক্তি ঠিকানা,ఆర్గ్యుమెంట్ చిరునామా
যুক্তি তালিকা,ఆర్గ్యుమెంట్ జాబితా
গাণিতিক নির্দেশ,అంకగణిత బోధన
গাণিতিক এবং যুক্তি ইউনিট,అంకగణిత మరియు అంకగణిత విభాగం
গাণিতিক অ্যাসাইনমেন্ট বিবৃতি,అంకగణిత అసైన్‌మెంట్ స్టేట్మెంట్
গাণিতিক চেক,అంకగణిత చెక్
পাটিগণিত ধ্রুবক,అంకగణిత స్థిరాంకం
গাণিতিক রূপান্তর,అంకగణిత మార్పిడి
গাণিতিক ডেটা,అంకగణిత డేటా
পাটিগণিত ব্যতিক্রম,అంకగణిత మినహాయింపు
গাণিতিক অভিব্যক্তি,అంకగణిత వ్యక్తీకరణ
গাণিতিক স্থির পয়েন্ট,అంకగణిత స్థిర బిందువు
পাটিগণিত শ্রেণিবিন্যাস,అంకగణిత సోపానక్రమం
বিবৃতি যদি গাণিতিক,అంకగణితం ఉంటే స్టేట్మెంట్
গাণিতিক যুক্তি,అంకగణిత తర్కం
গাণিতিক যুক্তি ইউনিট,అంకగణిత లాజిక్ యూనిట్
পাটিগণিত অপারেশন,అంకగణిత ఆపరేషన్
পাটিগণিত অপারেটর,అంకగణిత ఆపరేటర్
পাটিগণিত ওভারফ্লো,అంకగణిత ఓవర్ఫ్లో
গাণিতিক ছবির ডেটা,అంకగణిత చిత్ర డేటా
গাণিতিক অগ্রাধিকার,అంకగణిత ప్రాధాన్యత
গাণিতিক প্রাথমিক,అంకగణిత ప్రాధమిక
গাণিতিক নিবন্ধ,అంకగణిత రిజిస్టర్
গাণিতিক সম্পর্ক,అంకగణిత సంబంధం
গাণিতিক স্ক্যান,అంకగణిత స్కాన్
গাণিতিক বিভাগ,అంకగణిత విభాగం
গাণিতিক শিফট,అంకగణిత మార్పు
গাণিতিক স্থানান্তর,అంకగణిత బదిలీ
পাটিগণিত বিবৃতি,అంకగణిత ప్రకటన
গাণিতিক শব্দ,అంకగణిత పదం
পাটিগণিত আন্ডারফ্লো,అంకగణిత అండర్ఫ్లో
গাণিতিক ইউনিট,అంకగణిత యూనిట్
অ্যারে,అమరిక
অ্যারে বাউন্ড,శ్రేణి బౌండ్
অ্যারে কম্পিউটার,అర్రే కంప్యూటర్
অ্যারে মাত্রা,శ్రేణి పరిమాణం
অ্যারে উপাদান,శ్రేణి మూలకం
অ্যারে এক্সপ্রেশন,శ్రేణి వ్యక్తీకరణ
অ্যারের নাম,శ్రేణి పేరు
কাঠামোর অ্যারে,నిర్మాణాల శ్రేణి
অ্যারে প্রিন্টিং,అర్రే ప్రింటింగ్
অ্যারে প্রসেসিং,శ్రేణి ప్రాసెసింగ్
অ্যারে প্রসেসর,అర్రే ప్రాసెసర్
বক্তৃতা পয়েন্ট,ఉచ్చారణ పాయింట్
কৃত্রিম জ্ঞান,కృత్రిమ జ్ఞానం
কৃত্রিম বুদ্ধিমত্তা,కృత్రిమ మేధస్సు
কৃত্রিম ভাষা,కృత్రిమ భాష
কৃত্রিম পরিবর্তনশীল,కృత్రిమ వేరియబుల్
আর্টস অ্যাপ্লিকেশন ডেটা ব্যাংক,ఆర్ట్స్ అప్లికేషన్ డేటా బ్యాంక్
আর্টস অ্যাপ্লিকেশন সংগীত,ఆర్ట్స్ అప్లికేషన్ మ్యూజిక్
আর্টস অ্যাপ্লিকেশন প্যাটার্ন জেনারেশন,ఆర్ట్స్ అప్లికేషన్ సరళి తరం
আরোহী,ఆరోహణ
আরোহী বাছাই,ఆరోహణ క్రమబద్ధీకరణ
Ascil,అస్సిల్
ASCII নিয়ন্ত্রণ চরিত্র,ASCII నియంత్రణ అక్షరం
ASCII কী বোর্ড,ASCII కీ బోర్డు
দিক,కారక
দিক এবং,కారకం మరియు
একত্রিত করা,సమీకరించటం
একত্রিত উত্স,సమావేశమైన మూలం
সময়কাল একত্রিত করুন,వ్యవధిని సమీకరించండి
এসেম্বলার,సమీకరించేవాడు
এসেম্বলার ডাইরেক্টিভ,సమీకరించే ఆదేశం
এসেম্বলার সুবিধা,సమీకరించే సౌకర్యం
এসেম্বলার ভাষা,సమీకరించే భాష
একত্রিত,సమీకరించడం
সমাবেশ পর্ব,సమీకరించే దశ
সময় একত্রিত,సమీకరించే సమయాన్ని
সমাবেশ,అసెంబ్లీ
এসেম্বলি,అసెంబ్లీ భాష
অ্যাসেম্বলি ল্যাঙ্গুয়েজ প্রোগ্রামিং,అసెంబ్లీ భాషా ప్రోగ్రామింగ్
সমাবেশ ভাষা সফ্টওয়্যার নমনীয়তা,అసెంబ్లీ భాషా సాఫ్ట్‌వేర్ వశ్యత
সমাবেশ তালিকা,అసెంబ్లీ జాబితా
সমাবেশ পর্ব,అసెంబ్లీ దశ
সমাবেশ রুটিন,అసెంబ్లీ దినచర్య
সমাবেশ সময়,అసెంబ్లీ సమయం
সমাবেশ ইউনিট,అసెంబ్లీ యూనిట్
অ্যাসাইনমেন্ট ইনডেক্সিং,అసైన్‌మెంట్ ఇండెక్సింగ్
অ্যাসাইনমেন্ট অপারেশন,అసైన్‌మెంట్ ఆపరేషన్
নিয়োগ বিবৃতি,అసైన్‌మెంట్ స్టేట్మెంట్
সহযোগী ঠিকানা,అసోసియేటివ్ చిరునామా
সহযোগী অ্যারে রেজিস্টার,అసోసియేటివ్ అర్రే రిజిస్టర్
সহযোগী কী,అసోసియేటివ్ కీ
সহযোগী ভাষা,అసోసియేటివ్ లాంగ్వేజ్
সহযোগী স্মৃতি,అసోసియేటివ్ మెమరీ
সহযোগী স্টোরেজ,అసోసియేటివ్ స్టోరేజ్
দশমিক বিন্দু ধরে নেওয়া,దశాంశ బిందువు
অসমমিত ডিভাইস,అసమాన పరికరం
অসমমিত আই/ও,అసమాన i/ఓ
অ্যাসিঙ্ক্রোনাস,అసమకాలిక
অ্যাসিঙ্ক্রোনাস কম্পিউটার,అసమకాలిక కంప్యూటర్
