Hindi,Bengali
घूर्णन-कोण,ঘূর্ণন কোণ
पूर्ण परावर्तन-कोण,মোট প্রতিফলনের কোণ
कोणीय त्वरण,কৌণিক ত্বরণ
कोणीय गति,কৌণিক গতি
कोणीय चाल,কৌণিক গতি
कोणीय वेग,কৌণিক বেগ
वलयिका,অ্যানুলাস
उत्तर,উত্তর
प्रति-अवकलज,বিরোধী – ডেরিভেটিভ
प्रतिसममित फलन,অপ্রতিসম ফাংশন
"आच्छाद्य , अनु प्रयोज्य, लागू",প্রযোজ্য
"अनुप्रयोग उपयोजन,",আবেদন
अनुप्रयुक्त गतिशील प्रोग्रामन,প্রয়োগকৃত গতিশীল প্রোগ্রামিং
अनुप्रयुक्त ज्यामिति,প্রয়োগ করা জ্যামিতি
अनुप्रयुक्त गणित,ফলিত গণিত
अनुप्रयुक्त सांख्यिकी,ফলিত পরিসংখ্যান
"सन्निकटतः, लगभग",আন্দাজ
सन्निकटतः संतत फलन,প্রায় একটানা ফাংশন
"स्थूल विधि, सन्निकट विधि",আনুমানিক পদ্ধতি
सन्निकट हल,আনুমানিক সমাধান
सन्निकटन-समस्या,আনুমানিক সমস্যা
सन्निकटन-गुणधर्म,আনুমানিক সম্পত্তি
अभिक्षमता-परीक्षावली,যোগ্যতা পরীক্ষার ব্যাটারি
आरगाँ आरेख,Argand ডায়াগ্রাম
स्वेच्छगहीतृ,নির্বিচারে নির্বাচিত
"स्वेच्छ, यादृच्छिक",ইচ্ছামত
स्वेच्छ अचर,নির্বিচারে ধ্রুবক
स्वेच्छ अवयव,নির্বিচারে উপাদান
स्वेच्छ बिन्दु,নির্বিচারে পয়েন্ট
आर्किमीडी नियम,আর্কিমিডিয়ান আইন
आर्किमीडीज़ का नियम,আর্কিমিডিসের নীতি
"चाप-दैर्घ्य, चाप-लम्बाई",চাপ দৈর্ঘ্য
वत्तृ चाप,বৃত্তের চাপ
प्रतिलोम ज्या बंटन,আর্ক সাইন ডিস্ট্রিবিউশন
प्रतिलोम ज्या रूपांतरण,চাপ সাইন রূপান্তর
" क्षेत्र , क्षेत्रफल",এলাকা
क्षेत्रीय विन्यास,আঞ্চলিক টেক্সচার
सम्मिश्र संख्या का कोणांक,জটিল সংখ্যার যুক্তি
समांतर माध्य,গাণিতিক গড়
अंकीय संक्रिया,গাণিতিক অপারেশন
अंकीय एकक,পাটিগণিত একক
"विन्यास, व्यवस्था",ব্যবস্থা
"व्यूह , सरणी",অ্যারে
कृत्रिम उपग्रह,কৃত্রিম উপগ্রহ
कृत्रिम चर,কৃত্রিম পরিবর্তনশীল
आरोहण करना,আরোহণ
आरोही,আরোহী
परिमाण का आरोही क्रम,মাত্রার আরোহী ক্রম
आरोही श्रेणी,আরোহী সিরিজ
कोडांतरक भाषा,সংযোজনকারী ভাষা
"नियतन समस्या नियतन प्रश्न,",নিয়োগ সমস্যা
साहचर्य नियम,সহযোগী আইন
संकारकों का साहचर्य नियम,অপারেটরদের সহযোগী আইন
साहचर्य-संक्रिया,সহযোগী অপারেশন
सहचारिता,সহযোগীতা
कल्पित माध्य,ধরে নেওয়া গড়
कल्पित प्रायिकता बंटन,অনুমান সম্ভাব্যতা বন্টন
" कल्पना , गृहीत,",ধৃষ্টতা
ज्योतिष,জ্যোতিষশাস্ত্র
"अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता,",মহাকাশচারী প্রকৌশলী
खगोलज्ञ*,জ্যোতির্বিজ্ঞানী
खगोलीय घड़ी,জ্যোতির্বিদ্যা ঘড়ি
खगोलिकी,জ্যোতির্বিদ্যা
असममित वक्र,অপ্রতিসম বক্ররেখা
असममिति,অসমতা
अनंतस्पर्शी,উপসর্গ
उपगामी,অ্যাসিম্পোটিক
उपगामी दक्ष आकलक,লক্ষণগতভাবে দক্ষ অনুমানকারী
उपगामी अनभिनत आकलक,asymptotically নিরপেক্ষ অনুমানকারী
उपगामी आचरण,অ্যাসিম্পোটিক আচরণ
उपगामी बंटन-फलन,অ্যাসিম্পোটিক ডিস্ট্রিবিউশন ফাংশন
उपगामी प्रसार,অ্যাসিম্পোটিক সম্প্রসারণ
वायु मंडलीय दाब,বায়ুমণ্ডলীয় চাপ
"यदृच्छया,",এলোমেলোভাবে
गुण*,বৈশিষ্ট্য
गुण-प्रतिचयन-क्रियाविधि,বৈশিষ্ট্য নমুনা পদ্ধতি
संवर्धित आव्यूह,অগমেন্টেড ম্যাট্রিক্স
स्वसहसंबंध गुणांक,স্বয়ংক্রিয় সম্পর্ক সহগ
स्वसहसंबंध फलन,স্বয়ংক্রিয় সম্পর্ক ফাংশন
स्वसहप्रसरण,স্বয়ংক্রিয়তা
स्वचालित अभिकलित्र,স্বয়ংক্রিয় কম্পিউটার
स्वसमाश्रयण,অটোরিগ্রেশন
सहायक समीकरण,সহায়ক সমীকরণ
माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र),গড় নমুনা সংখ্যা বক্ররেখা (ASN কার্ভ)
" स्वयंसिद्‌ध , अभिगृहीत",স্বতঃসিদ্ধ
अभिगहीती दृष्टिकोण,স্বতঃসিদ্ধ পদ্ধতি
प्रायिकता अभिगृहीत,সম্ভাব্যতার স্বতঃসিদ্ধ
अक्ष,অক্ষ
भुजाक्ष,আবসিসার অক্ষ
भू-अक्ष,পৃথিবীর অক্ষ
परिक्रमण-अक्ष,বিপ্লবের অক্ষ
घूर्णन अक्ष,ঘূর্ণনের অক্ষ
प्रचक्रण-अक्ष,ঘূর্ণনের অক্ষ
पश्च-प्रतिस्थापन,ফিরে প্রতিস্থাপন
पश्चांतर,পশ্চাদপদ পার্থক্য
पश्च अंतर्वेशन-सूत्र,পশ্চাদগামী-ইন্টারপোলেশন সূত্র
"तुला, तराजू , संतु लन , शेष, बाकी , संतुलित होना, संतुलित करना",ভারসাম্য
संतुलित अभिकल्पना,সুষম নকশা
तुलन-पत्र,ব্যালেন্স শীট
प्रक्षेपास्त्र,ক্ষেপণাস্ত্র
"प्राक्षेपिकी, अस्त्र विज्ञान",ব্যালিস্টিক
" स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी , रोधिका, भित्ति , बार , रेखा, रेखिका , परीक्षण रेखा, धार",বার
"आधार , क्षारक , अधम , मूल , बेस",ভিত্তি
आधार कोण,ভিত্তি কোণ
"लघुगणक का आधार, लॉगरिथ्म का आधार",লগারিদমের ভিত্তি
"आधारी, मूल,",মৌলিক
आधारी सुसंगत हल,মৌলিক সম্ভাব্য সমাধান
आधारी हल,মৌলিক সমাধান
आधारी चर,মৌলিক পরিবর্তনশীল
आधारक,ভিত্তি
आधार अवयव,ভিত্তি উপাদান
आधारी आव्यूह,ভিত্তি ম্যাট্রিক্স
सदिश समष्टि का आधार,একটি ভেক্টর স্থান ভিত্তি
उपसमष्टि का आधार,সাবস্পেস ভিত্তি
बेज़-आकल,Bayesian অনুমান
बेज़-नियम,বেইস আইন
बेज़-प्रमेय,বেইসের উপপাদ্য
बर्नूली-बंटन,বার্নোলি বিতরণ
बर्नूली संख्या,বার্নোলি নম্বর
बर्नूली प्रायिकता-फलन,Bernoulli সম্ভাব্যতা ফাংশন
बर्नूली-समीकरण,বার্নউলির সমীকরণ
बेरी फलन,বেরি ফাংশন
श्रेष्ठतम आसंजन,শ্রেষ্ঠ মিল
श्रेष्ठतम आसंजन रेखा,সেরা - ফিট লাইন
सर्वोत्तम हल,সেরা সমাধান
सर्वोत्तम युक्तियाँ,সেরা কৌশল
बीटा बंटन,বিটা বিতরণ
"अभिनति, बायस",পক্ষপাত
अभिनत आकल,পক্ষপাতমূলক অনুমান
द्विप्रसंवादी समीकरण,বিহারমোনিক সমীকরণ
एकैकी आच्छादन,দ্বিখণ্ডন
एकैकी आच्छादी प्रतिचित्र,দ্বিমুখী মানচিত্র
एकैकी आच्छादी प्रतिचित्रण,দ্বিমুখী ম্যাপিং
द्विएकघाती समघात,বাইলিনিয়ার ফর্ম
द्विरैखिक फलन,বাইলিনিয়ার ফাংশন
द्विरैखिक हर्मिटीय समघात,বাইলিনিয়ার হারমিটিয়ান ফর্ম
"द्वि-चर, द्वि-आधारी, द्वयी",বাইনারি
"द्वि-आधारी कोड, द्विआधारी कूट",বাইনারি কোড
"द्वि-आधारी कूट दशमलव, द्वि-आधारी कोडित दशमलव",বাইনারি কোডেড দশমিক
द्वि-आधारी कूटलेखन,বাইনারি কোডিং
द्वि-आधारी अभिकलित्र,বাইনারি কম্পিউটার
द्वि-आधारी अंक,বাইনারি সংখ্যা
द्विआधारी संक्रिया,বাইনারি অপারেশন
द्विआधारी पद्‌धति,বাইনারি সিস্টেম
द्विआधारी चर,বাইনারি পরিবর্তনশীল
द्विपद गुणांक,দ্বিপদ সহগ
द्विपद बंटन,দ্বিপদ ডিস্ট্রিবিউশন
द्विपद समीकरण,দ্বিপদ সমীকরণ
द्विपद प्रसरण,দ্বিপদ সম্প্রসারণ
द्विपद व्यंजक,দ্বিপদ অভিব্যক্তি
द्विपद यादृच्छिक चर,দ্বিপদী র্যান্ডম পরিবর্তনশীল
द्विपद-प्रमेय,দ্বিপদ উপপাদ্য
"अर्धन, द्विभाजन",দ্বিখণ্ডন
"समद्विभाजन विधि, अर्धीकरण विधि",দ্বিখণ্ডিত পদ্ধতি
"अर्धक, द्विभाजक",দ্বিখণ্ডিত
"द्विपंक्तिक, द्विश्रेणिक",biserial
"द्वयंक (द्विआधारी अंक) , अणी, बरमी , टूक",বিট
द्विचर द्विपद-बंटन द्विचल,দ্বিপদ দ্বিপদ বণ্টন
द्विचर सहसंबंध गुणांक,bivariate পারস্পরিক সম্পর্ক সহগ
द्विचर बंटन,দ্বিমুখী বন্টন
द्विचर प्रसामान्य-बंटन,দ্বিমুখী স্বাভাবিক বন্টন
द्विसदिश,bivector
बोल्ट्मान समीकरण,বোল্টজম্যান সমীকরণ
बूलीय बीजावली*,বুলিয়ান বীজগণিত
बोस-आइन्स्टाइन सांख्यिकी,বোস-আইনস্টাইন পরিসংখ্যান
परिसीमा प्रतिबन्ध,সীমানার অবস্থা
परिसीमा स्तर,সীমানা স্তর
परिसीमा रेखा,সীমান
परिसीमा मान,সীমানা মান
परिसीमा मान समस्या,সীমানা মান সমস্যা
"परिबद्‌ध फलन परिबद्‌ध फल,",আবদ্ধ ফাংশন
"परिबद्‌ध मैट्रिक्स, परिबद्‌ध आव्यूह परिबद्‌ध सारणी,",আবদ্ধ ম্যাট্রিক্স
"परिबद्‌ध प्रदेश परिबद्‌ध प्रदेश,",আবদ্ধ অঞ্চল
"परिबद्‌ध समच्चय परिबद्‌ध संच,",আবদ্ধ সেট
ब्राउनी गति,ব্রোমিন
परिकलन करना,গণনা করা
परिकलन,গণনা করা
"परिकलन-यंत्र, परिकलित्र",গননা যন্ত্র
परिकलन*,গণনা
परिकलनात्मक क्रिया विधि,গণনা পদ্ধতি
" परिकलित्र , परिकलक",ক্যালকুলেটর
"कलन, कैलकुलस",ক্যালকুলাস
विचरण-कलन,পরিবর্তনের ক্যালকুলাস
कैलोरी,ক্যালোরি
निरसन नियम,বাতিল আইন
विहित समीकरण,ক্যানোনিকাল সমীকরণ
विहित रूप,ক্যানোনিকাল ফর্ম
"विहित मैट्रिक्स, के नानिकल मैट्रिक्स",ক্যানোনিকাল ম্যাট্রিক্স
कैन्टर समुच्चय,ক্যান্টর সেট
कैन्टर त्रिआधारी समुच्चय,Cantor এর ত্রিনারি সেট
परिबंधित परिवहन समस्या,ক্যাপাসিটেড পরিবহন সমস্যা
क्षमता,ক্ষমতা
केशिका-बल,কৈশিক বল
"गणन संख्या, कार्डिनल संख्या",অঙ্কবাচক সংখ্যা
कार्तीय अक्ष,কার্টেসিয়ান অক্ষ
कार्तीय निर्देशांक,কার্টেসিয়ান স্থানাঙ্ক
कार्तीय गुणन,কার্টিজিয়ান পণ্য
समुच्चयों का कार्तीय गुणन,সেটের কার্টেসিয়ান পণ্য
"केस अध्ययन, वस्तुस्थिति अध्ययन",কেস স্টাডি
विपत्तिपूर्ण उच्चावचन,বিপর্যয়কর ওঠানামা
कैटिनरी,ক্যাটেনারি
कौशी बंटन,কচি বন্টন
कौशी सूत्र,কচি সূত্র
कौशी-गूर्सा-प्रमेय,Cauchy Goursat উপপাদ্য
कौशी-रीमान-प्रतिबंध,কচি রিম্যানের শর্ত
कौशी अनुक्रम,কচি সিকোয়েন্স
कौशी समाकल,কচি অবিচ্ছেদ্য
कौशी मुख्य-मान,কচি প্রধান মান
कौशी अवशेष प्रमेय,কচি অবশিষ্টাংশ উপপাদ্য
कैले-हैमिल्टन-प्रमेय,কেলি হ্যামিল্টন উপপাদ্য
"खपिंड, खगोलीय पिंड",স্বর্গীয় শরীরের
खगोलीय माप,স্বর্গীয় পরিমাপ
खगोलीय यांत्रिकी,স্বর্গীয় বলবিদ্যা
खगोलीय पिंड,মহাকাশীয় বস্তু
कोशिका बारंबारता,সেল ফ্রিকোয়েন্সি
"गणना , जनगणना",জনগণনা
शततमक,সেন্টিল
सेन्टीमीटर,সেন্টিমিটার
सेन्टीमीटर-ग्राम-सेकंड पद्‌धति,সেন্টিমিটার গ্রাম দ্বিতীয় সিস্টেম
"केन्द्रीय , सकेन्द्र",কেন্দ্রীয়
केन्द्रीय अक्ष,কেন্দ্রীয় অক্ষ
केन्द्रीय अंतर,কেন্দ্রীয় পার্থক্য
केन्द्रीय अंतर सूत्र,কেন্দ্রীয় পার্থক্য সূত্র
केन्द्रीय अंतर सारणी,কেন্দ্রীয় পার্থক্য টেবিল
केन्द्रीय सीमा प्रमेय,কেন্দ্রীয় সীমা উপপাদ্য
केन्द्रीय आघूर्ण,কেন্দ্রীয় মুহূর্ত
केन्द्रीय संसाधन एकक,কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU)
केन्द्रीय प्रवतिृ,কেন্দ্রীয় প্রবণতা
केन्द्र*,কেন্দ্র
गुरुत्व-केन्द्र,মাধ্যাকর্ষণ কেন্দ্র
समूह-केन्द्र,দলের কেন্দ্র
संहति-केन्द्र,ভর কেন্দ্র
सममिति-केन्द्र,প্রতিসাম্য কেন্দ্র
अपकेन्द्री बल,অপকেন্দ্র বল
अभिकेन्द्र-बल,কেন্দ্রমুখী বল
"केन्द्रक मध्यगासंपात,",ভরকেন্দ্র
निश्चितता,নিশ্চিততা
c.g.s.पद्‌धति,সিজিএস সিস্টেম
c.g.s.मात्रक,সিজিএস ইউনিট
अवकलन का शृंखला नियम,পার্থক্যের চেইন নিয়ম
संयोग हेतु,সুযোগ কারণ
सांयोगिक चाल,সুযোগ চলে যায়
अक्ष-परिवर्तन,অক্ষ পরিবর্তন
"आधार परिवर्तन पायाधार-बदल,",ভিত্তি পরিবর্তন
क्रम परिवर्तन,আদেশ পরিবর্তন
अभिलक्षणिक गुणांक,বৈশিষ্ট্য সহগ
अभिलक्षणिक सारणिक,নির্ধারক
अभिलक्षण-समीकरण,চরিত্রগত সমীকরণ
"अभिलक्षण-फलन, कैरेक्टेरिस्टिक फलन",চরিত্রগত ফাংশন
लघुगणक का पूर्णांश,লগারিদমের বৈশিষ্ট্য
"अभिलक्षणिक बहुपद,",চরিত্রগত বহুপদ
अभिलक्षणिक मान,বৈশিষ্ট্যগত মান
अभिलक्षणिक सदिश,চরিত্রগত ভেক্টর
संप्रतीक समुदाय,অক্ষর সেট
"चार्ट, संचित्र तक्ता,",চার্ট
काई-वर्ग बंटन,চি-স্কয়ার বিতরণ
काई-वर्गं सूत्र,চি-বর্গাকার সূত্র
काई-वर्ग परीक्षण,চি-স্কয়ার পরীক্ষা
जीवा*,জ্যা
जीवा-द्विभाजन-विधि,জ্যা-দ্বিখণ্ডন পদ্ধতি
बीजलिखित संदेश,সাইফার বার্তা (=কোডেড বার্তা)
"शून्य, सिफर",সাইফার (শূন্য)
वृत्त*,বৃত্ত
अभिसरण वत्तृ,অভিসার বৃত্ত
परिपथ आव्यूह,সার্কিট ম্যাট্রিক্স
"वृत्ताकार, वर्तुल,",বৃত্তাকার
वर्तुल अनंतस्पर्शी,বৃত্তাকার অ্যাসিম্পটোট
वृत्तीय कंडुलिनी,বৃত্তাকার হেলিক্স
वर्तुल गति,বৃত্তাকার গতি
परिकेन्द्र,পরিধি কেন্দ্র
परिवृत्त*,পরিবৃত্ত
"परिगत करना, परितः खींचना",পরিধি করা
परिगत,পরিধিকৃত
परिवृत,পরিধিকৃত বৃত্ত
चिरप्रतिष्ठित निगमनिक,ক্লাসিক্যাল ডিডাক্টিভ কৌশল
चिरप्रतिष्ठित गतिकी,শাস্ত্রীয় গতিবিদ্যা
चिरप्रतिष्ठित इष्टतमन,শাস্ত্রীয় অপ্টিমাইজেশান
चिरप्रतिष्ठित वित्तनाश समस्या,শাস্ত্রীয় ধ্বংস সমস্যা
चिरप्रतिष्ठित सांख्यिकीय यांत्रिकी,শাস্ত্রীয় পরিসংখ্যানগত বলবিদ্যা
त्रुटियों का वर्गीकरण,ত্রুটির শ্রেণীবিভাগ
वर्ग-अंतराल,ক্লাসের ব্যবধান
वर्गांतराल एकक,ক্লাস-ব্যবধান ইউনিট
वर्ग-सीमा,শ্রেণীর সীমা
दक्षिणावर्त,ঘড়ির কাঁটার দিকে
संविवृत,ক্লোপেন (= বন্ধ এবং খোলা)
"संवृत, बंद",বন্ধ
संवृत अवमख समावरक,বদ্ধ উত্তল হুল
संवृत घन,বন্ধ ঘনক্ষেত্র
"बंद वक्र, संवृत वक्र",বন্ধ বক্ররেখা
संवृत प्रांत,বন্ধ ডোমেইন
बंद आकृति,বন্ধ চিত্র
संवृत अंतराल,বন্ধ ব্যবধান
"संवृत प्रदेश, बंद प्रदेश",বন্ধ অঞ্চল
संवृत समच्चय,বন্ধ সেট
"बंद पृष्ठ, संवृत पृष्ठ",বন্ধ পৃষ্ঠ
" निमीलन, वेष्टन , संवरक",বন্ধ
संवरण-संकारक (संवरक),বন্ধ অপারেটর
संवरक-बिन्दु,বন্ধ বিন্দু (= যোগাযোগ বিন্দু)
संवरक-अभिगृहीत,বন্ধ ঘোষণা
संवरक समुच्चय,বন্ধ সেট
गुच्छ बिन्दु,ক্লাস্টার পয়েন্ট
गुच्छ प्रतिचयन,গুচ্ছের আদর্শ
गुच्छ समुच्चय,ক্লাস্টার সেট
समाक्ष वृत्त,সমাক্ষ বৃত্ত
समाक्ष परवलय,সমাক্ষীয় প্যারাবোলাস
समाक्ष समतल,সমাক্ষ সমতল
समाक्ष त्रिभुज,সমাক্ষীয় ত্রিভুজ
कोब-डगलस फलन,কোব - ডগলাস ফাংশন
" कूटलेखन, कोडन , संकेतन",কোডিং
सामग्री का संकेतीकरण,ডেটা কোডিং
सहप्रांत,সহ-ডোমেইন
गुणांक आव्यूह,সহগ ম্যাট্রিক্স
सहसंबंध-गुणांक,পারস্পরিক সম্পর্কের সহগ
निर्धारण गुणांक,সংকল্প সহগ
प्रत्यास्थता गुणांक,স্থিতিস্থাপকতার সহগ
प्रसार गुणांक,সম্প্রসারণের সহগ
घर्षण गुणांक,ঘর্ষণ সহগ
अनुदैर्घ्य प्रसार का गुणांक,রৈখিক প্রসারণের সহগ
समाश्रयण गुणांक,রিগ্রেশন সহগ
पृष्ठ तनाव का गुणांक,পৃষ্ঠ টান সহগ
विचरण गुणांक,প্রকরণ সহগ
"सह-खण्ड, सह गुणन खंड,सहकारक",কোফ্যাক্টর
सिक्का उछाल,মুদ্রা নিক্ষেপ (মুদ্রা টস)
प्रतिदर्श-संचय,নমুনা সংগ্রহ
सरेख,সমরেখার
सरेखता,সমরেখা
"स्तंभ, कॉलम",কলাম
स्तंभतुल्यता,কলামের সমতা
स्तंभ-तुल्य,কলাম সমতুল্য
स्तंभ तुल्य आव्यूह,কলাম সমতুল্য ম্যাট্রিক্স
स्तंभ आव्यूह,কলাম ম্যাট্রিক্স
स्तंभ कोटि,কলাম র‍্যাঙ্ক
स्तंभ समानीत सोपानक आव्यूह,কলাম হ্রাস ইকোলন ম্যাট্রিক্স
स्तंभ सदिश,কলাম ভেক্টর
स्तंभानुसार,কলাম অনুসারে
संयुक्त समीकरण,সম্মিলিত সমীকরণ
"उभयनिष्ठ कोण, सर्वनिष्ठ कोण",সাধারণ কোণ
सर्वनिष्ठ अक्ष,সাধারণ অক্ষ
"सर्वनिष्ठ आधार, उभयनिष्ठ बेस",সাধারণ ভিত্তি
सार्व हर,সাধারণ নির্ধারক
सार्व अंतर,সাধারণ পার্থক্য
" सार्वगुणन-खंड, समापवर्तक , सार्व उपादान",সাধারণ সমস্যা
"साधारण लघुगणक, साधारण लॉगेरिथ्म",সাধারণ লগারিদম
"सार्व गुणज, समापवर्त्य",সাধারণ একাধিক
सार्व अनुपात,সাধারণ অনুপাত
सर्वनिष्ठ परिच्छेद,সাধারণ বিভাগ
सर्वनिष्ठ भुजा,সাধারণ দিক
"उभयनिष्ठ स्पर्शरखा, सर्वनिष्ठ स्पर्शरेखा",সাধারণ স্পর্শক
सर्वनिष्ठ पद,সাধারণ শব্দ
क्रमविनिमेय नियम,বিনিময় বিধি
क्रमविनिमेय गुणधर्म,পরিবর্তনমূলক সম্পত্তি
क्रमविनिमेय-नियम,পরিবর্তনমূলক নিয়ম
योग का क्रमविनिमेय नियम,সংযোজনের পরিবর্তনমূলক আইন
गुणन का क्रमविनिमेय नियम,গুণের পরিবর্তনমূলক আইন
क्रमविनिमेय संक्रिया,পরিবর্তনমূলক অপারেশন
क्रमविनिमेयक समूह,কমিউটার গ্রুপ
आव्यूहों का क्रमविनिमेय,ম্যাট্রিক্সের যাতায়াত
संहत समुच्चय,কমপ্যাক্ট সেট
"तुलनात्मकता, तुलनीयता",তুলনা
माध्यों की तुलना,উপায়ের তুলনা
प्रतिशतता-तुलना,শতাংশের তুলনা
तुलना परीक्षण,তুলনা পরীক্ষা
सुसंगत समीकरण,সামঞ্জস্য সমীকরণ
स्पर्धी खेल,প্রতিযোগিতামূলক খেলা
