Punjabi,Malayalam
ਦੁਰਵਿਵਹਾਰ ਦਾ ਕੰਮ,ദുരാചാരത്തിന്റെ പ്രവർത്തനം
ਕਮਿਸ਼ਨ ਅਤੇ ਗਲਤੀ ਦਾ ਕੰਮ,കമ്മീഷന്റെയും ഒഴിവാക്കലിന്റെയും നിയമം
ਅਸਲ,യഥാര്ത്ഥത്തിലുള്ള
ਅਸਲ,വാസ്തവങ്ങൾ
ਅਨੁਕੂਲਤਾ,പൊരുത്തപ്പെടുത്തൽ
ਜੋੜ,കൂട്ടല്
ਅਤਿਰਿਕਤ ਚਾਰਜ,അധിക നിരക്ക്
ਵਾਧੂ ਫੰਡ,അധിക ഫണ്ട്
ਅਤਿਰਿਕਤ ਗ੍ਰਾਂਟ,അധിക ഗ്രാന്റ്
ਵਧੀਕ ਜਾਣਕਾਰੀ,അധിക വിവരം
ਵਾਧੂ ਤਨਖਾਹ,അധിക വേതനം
ਜੋੜ ਅਤੇ ਤਬਦੀਲੀ,കൂട്ടിച്ചേർക്കലും മാറ്റവും
ਪਤਾ,അഭിസംബോധന ചെയ്യുക
ਐਡਰੈਸਸ,വിലാസശാല
ਸਵਾਗਤ ਦਾ ਪਤਾ,സ്വാഗത വിലാസം
ਕਾਫ਼ੀ,പരാപ്തമായ
ਦਾ ਪਾਲਣ ਕਰੋ,ഇത് പാലിക്കുക
ਐਡ ਹੋਕ,ആഡ് ഹോക്ക്
ਐਡਹਕ ਕਲੇਮ,AD HOC ക്ലെയിം
ਐਡਹੌਕ ਕਮੇਟੀ,താൽക്കാലിക സമിതി
ਐਡਹੌਕ ਵਾਧਾ,താൽക്കാലിക വർദ്ധനവ്
ਐਡਹੌਕ ਭੁਗਤਾਨ,പരസ്യ ഹോക് പേയ്മെന്റ്
ਨਾਲ ਲੱਗਦੀ,തൊട്ടുകിടക്കുന്ന
ਨਾਲ ਲੱਗਦੀ (= ਸੰਜੋਗ),തൊട്ടടുത്ത് (= തുടർച്ചയായ)
ਮੁਲਤਵੀ,വചലിക്കുക
ਮੁਲਤਵੀ ਮੋਸ਼ਨ,നീരസം ചലനം
ਇਜਾਜ਼ਤ,Cakudgge
ਨਿਰਣਾਇਕ,ശിക്ഷിക്കപ്യം
ਨਿਰਣਾ,വിധിന്യായ
ਨਿਰਣਾਇਕ,Adjudication
ਵਿਵਸਥਾ,കമപ്പെടുത്തല്
ਪ੍ਰਬੰਧਿਤ,രാജംഭരിക്കുക
ਸਹੁੰ ਪ੍ਰਬੰਧ,സത്യപ്രതിഷേധിക്കുന്നു
ਪ੍ਰਸ਼ਾਸਨ,ഭരണകൂടം
ਜਸਟਿਸ ਦਾ ਪ੍ਰਬੰਧਨ,നീതിയുടെ ഭരണം
ਪ੍ਰਬੰਧਕੀ,ഭരണപരമായത്
ਪ੍ਰਬੰਧਕੀ ਕਾਰਵਾਈ,അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം
ਪ੍ਰਬੰਧਕੀ ਮੁੱਲ,അഡ്മിനിസ്ട്രേറ്റീവ് മൂല്യനിർണ്ണയം
ਪ੍ਰਬੰਧਕੀ ਪ੍ਰਵਾਨਗੀ,അഡ്മിനിസ്ട്രേറ്റീവ് അംഗീകാരം
ਪ੍ਰਬੰਧਕੀ ਅਥਾਰਟੀ,അഡ്മിനിസ്ട്രേറ്റീവ് അതോറിറ്റി
ਪ੍ਰਬੰਧਕੀ ਨਿਯੰਤਰਣ,അഡ്മിനിസ്ട്രേറ്റീവ് നിയന്ത്രണം
ਪ੍ਰਬੰਧਕੀ ਫੈਸਲਾ,അഡ്മിനിസ്ട്രേറ്റീവ് തീരുമാനം
ਪ੍ਰਬੰਧਕੀ ਵਿਭਾਗ,അഡ്മിനിസ്ട്രേറ്റീവ് വകുപ്പ്
ਪ੍ਰਬੰਧਕੀ ਸਿਰ,അഡ്മിനിസ്ട്രേറ്റീവ് ഹെഡ്
ਪ੍ਰਬੰਧਕੀ ਹੈੱਡਕੁਆਰਟਰ,അഡ്മിനിസ്ട്രേറ്റീവ് ആസ്ഥാനം
ਪ੍ਰਬੰਧਕੀ ਉਪਾਅ,ഭരണപരമായ നടപടികൾ
ਪ੍ਰਬੰਧਕੀ ਪਾਵਰ,ഭരണപരമായ ശക്തി
ਪ੍ਰਬੰਧਕੀ ਮਨਜੂਰੀ,ഭരണപരമായ അനുമതി
ਪ੍ਰਬੰਧਕੀ ਤਕਨੀਕ,അഡ്മിനിസ്ട്രേറ്റീവ് രീതി
ਪ੍ਰਬੰਧਕੀ ਟ੍ਰਿਬਿ al ਨਲ,അഡ്മിനിസ്ട്രേറ്റീവ് ട്രൈബ്യൂണൽ
ਮੰਨਣਯੋਗਤਾ,അനഭാക്ഷ്യം
ਮੰਨਣਯੋਗ ਖਰਚ,അനുവദനീയമായ ചെലവ്
ਮੰਨ ਲਓ,സമ്മതിക്കുക
ਐਡਮਿਟ ਕਾਰਡ,അഡ്മിറ്റ് കാർഡ്
ਦਾਖਲ,പ്രവേശിപ്പിച്ചു
ਅਸ਼ੁੱਧ,ഉപദേഷ്ടാപ്പ്
ਗੋਦ,ദന്തം
ਗੋਣਾਟਰ,ച്ചക്കല്
ਗੋਦ ਲੈਣਾ,ദത്ത്
ਬਾਲਗ,പായപൂര്ത്തിയായി
ਵਿਭਚਾਰ,മായം
ਵਿਭਚਾਰ,വഭിചാരം
ਬਾਲਗ ਫਰੈਂਚਾਇਜ਼ੀ,മുതിർന്നവർക്കുള്ള ഫ്രാഞ്ചൈസി
ਐਡ ਵੈਲੋਰਮ ਡਿ duty ਟੀ,പരസ്യ മൂല്യനിർണ്ണയം
ਪੇਸ਼ਗੀ,മുന്നേറുക
ਐਡਵਾਂਸ ਬੁਕਿੰਗ,അഡ്വാൻസ് ബുക്കിംഗ്
ਐਡਵਾਂਸ ਕਾਪੀ,അഡ്വാൻസ് കോപ്പി
ਪੇਸ਼ਗੀ ਵਾਧਾ,അഡ്വാൻസ് ഇൻക്രിമെന്റ്
ਪੇਸ਼ਗੀ ਭੁਗਤਾਨ ਦੀ,അഡ്വാൻസ് പേയ്മെന്റ്
ਗਲਤ ਪ੍ਰਵੇਸ਼,പ്രതികൂല പ്രവേശനം
ਗਲਤ ਟਿੱਪਣੀ,പ്രതികൂല പരാമർശങ്ങൾ
ਗਲਤ ਰਿਪੋਰਟ,പ്രതികൂല റിപ്പോർട്ട്
ਇਸ਼ਤਿਹਾਰ,വിജ്ഞാപനം
ਸਲਾਹ,ഉപദേശം
ਭੁਗਤਾਨ ਦੀ ਸਲਾਹ,പേയ്മെന്റിന്റെ ഉപദേശം
ਸਲਾਹਕਾਰ ਕਮੇਟੀ,ഉപദേശക സമിതി
ਸਲਾਹਕਾਰ ਪਰਿਸ਼ਦ,ഉപദേശക സമിതി
ਐਡਵੋਕੇਟ,വാദിക്കുക
ਮਾਮਲੇ,കാര്യങ്ങൾ
ਹਲਫੀਆ ਬਿਆਨ,സതവാങ്മൂലം
ਮਾਨਤਾ,ബന്ധം
ਪੁਸ਼ਟੀਕਰਣ,സ്ഥിരീകരണം
ਸਕਾਰਾਤਮਕ,ഉറപ്പിക്കുന്ന
ਬਰਦਾਸ਼ਤ,ഉളവാക്കുക
ਉਪਰੋਕਤ,മേൽപ്പറഞ്ഞ
ਅਫਰੇਸ਼,ശെറെഷ്
ਦੇ ਵਿਰੁੱਧ,എതിരായി
ਉਮਰ,വയസ്സ്
ਉਮਰ ਦਾ ਸਰਟੀਫਿਕੇਟ,പ്രായപരിധി
ਦੁਖੀ ਲਈ ਉਮਰ,വോട്ടവകാശത്തിനുള്ള പ്രായം
ਉਮਰ ਸੀਮਾ,പ്രായപരിധി
ਏਜੰਸੀ,നിര്വ്വഹണം
ਏਜੰਡਾ,കാരപരിപാടി
ਰਿਟਾਇਰਮੈਂਟ ਦੀ ਉਮਰ,വിരമിക്കലിന്റെ പ്രായം
ਪੂਰਕ ਦੀ ਉਮਰ,അപാദന പ്രായം
ਇਕੱਤਰਤਾ,അഗ്രഗേഷൻ
ਦੁਖਦਾਈ,ദു ved ഖിച്ചു
ਅੰਦੋਲਨ,പ്രക്ഷോഭക്തി
ਏਜੀਐਮ,AGM
ਸਮਝੌਤਾ,കരാര്
ਸਮਝੌਤਾ ਫਾਰਮ,കരാർ ഫോം
ਖੇਤੀ ਬਾੜੀ,കൃഷിപ്പണി
ਖੇਤੀ-ਉਦਯੋਗ,കാർഷിക വ്യവസായം
ਸਹਾਇਤਾ,സഹായം
ਅਲਾਰਮ,ആപല്സൂചന
ਚੇਤਾਵਨੀ,ജാല്തചിഹ്നം
ਉਪਨਾਮ,അപരാഭിധാനം
ਇਲਜ਼ਾਮ,കുറ്റാരോപണം
ਵਫ਼ਾਦਾਰੀ,മേല്ക്കോയ്മയോട് ഭക്തി
ਗਠਜੋੜ,സഖം
ਸਹਿਯੋਗੀ ਸੇਵਾਵਾਂ,അനുബന്ധ സേവനങ്ങൾ
ਸਾਰੇ ਸੰਮਲਿਤ ਲਾਗਤ,എല്ലാം ഉൾക്കൊള്ളുന്ന ചെലവ്
ਸਾਰੇ ਭਾਰਤ ਸੇਵਾਵਾਂ,അഖിലേന്ത്യാ സേവനങ്ങൾ
ਅਲਾਟਮੈਂਟ,പങ്കുവയ്ക്കല്
ਅਲਾਟਮੈਂਟ,അനുവദിച്ചതുക
ਅਲਾਟਮੈਂਟ ਪੱਤਰ,അലോട്ട്മെന്റ് കത്ത്
ਅਲਾਟੀਟੀ,അല്ലോട്ടി
ਮਨਜ਼ੂਰ,അനുവദനീയം
ਮਨਜ਼ੂਰ ਖਰਚੇ,അനുവദനീയമായ ചെലവുകൾ
ਇੱਕ ਅਪੀਲ ਦੀ ਆਗਿਆ ਦਿਓ,ഒരു അപ്പീൽ അനുവദിക്കുക
ਭੱਤਾ,അനുമതി നല്കുക
ਸਾਰੇ ਹੱਕ ਰਾਖਵੇਂ ਹਨ,എല്ലാ അവകാശങ്ങളും നിക്ഷിപ്തം
ਵਰਣਮਾਲਾ ਕ੍ਰਮ,അക്ഷരമാല ഓർഡർ
ਗਰੈਟਰਕੇਸ਼ਨ,വാസസ്ഥലമായ
ਵਿਕਲਪਿਕ,ഏകാന്തരക്രമത്തിൽ
ਵਿਕਲਪਿਕ,ബദൽ
ਏਕੀਕਰਨ,സംയോജനം
ਸੋਧਿਆ ਖਰੜਾ,ഭേദഗതി ചെയ്ത ഡ്രാഫ്റ്റ്
ਸੋਧ,ഭേദഗതി
ਸਹੂਲਤ,സഖ്യം
ਅਮਲ,മിതഭാവമുള്ള
ਬਾਰੂਦ,വെടിക്കോപ്പ്
ਕਰਜ਼ੇ ਦਾ ਅਮੋਰਾਈਜ਼ੇਸ਼ਨ,കടത്തിന്റെ പവിത്രത
ਦੀ ਰਕਮ,സംഖ
ਪੈਨਸ਼ਨ ਦੀ ਮਾਤਰਾ,പെൻഷന്റെ തുക
ਸਮਾਨ ਪੋਸਟ,അനലോഗസ് പോസ്റ്റ്
ਵਿਸ਼ਲੇਸ਼ਣ,വിശകലനം
ਵਿਸ਼ਲੇਸ਼ਣ ਅਧਿਐਨ,അനലിറ്റിക്കൽ പഠനം
ਪੂਰਵਜ,പൂര്വ്വികന്
ਸਹਾਇਕ ਉਦਯੋਗ,അനുബന്ധ വ്യവസായം
ਵੈਰ,ബദ്ധവൈരം
ਅਨੁਲੱਗ,അനുബന്ധം
ਵਰ੍ਹੇਗੰ,വാര്ഷികദിനം
ਘੋਸ਼ਣਾ,അറിയിപ്പ്
ਨਾਰਾਜ਼ਗੀ,ഉപദവം
ਸਾਲਾਨਾ ਵਿੱਤੀ ਬਿਆਨ,വാർഷിക സാമ്പത്തിക പ്രസ്താവന
ਸਾਲਾਨਾ ਰਿਪੋਰਟ,വാർഷിക റിപ്പോർട്ട്
ਐਨੂਅਟੀ,ആന്വിറ്റി
ਅਗਿਆਤ,പേരറിയാത്ത
ਅਗਿਆਤ ਸ਼ਿਕਾਇਤ,അജ്ഞാത പരാതി
ਜਵਾਬ,ഉത്തരവിദ്ധി
ਜਵਾਬ ਸ਼ੀਟ,ഉത്തരക്കടലാസ്
ਵਿਰੋਧੀ,ശതാപകന്
ਅਨੌਖੇ,മുൻഗാമികൾ
ਅਨੁਮਾਨਤ ਖਰਚੇ,പ്രതീക്ഷിച്ച ചെലവ്
ਅਨੁਮਾਨਤ ਆਮਦਨੀ,പ്രതീക്ഷിച്ച വരുമാനം
ਉਮੀਦ,മുന്തോന്നല്
ਅਗਾ .ਂ ਜ਼ਮਾਨਤ,മുൻകൂട്ടി ജാമ്യം
ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਵਿਰੋਧੀ ਉਪਾਅ,അഴിമതി വിരുദ്ധ നടപടി
ਐਂਟੀ-ਡੰਪਿੰਗ,വിരുദ്ധ ഡമ്പിംഗ്
ਪੁਰਾਣੀ,പഴക്കം ചെന്ന
ਨਸਲਵਾਦ,വർത്തിഡ്
ਉਦਾਸੀ,അപരാഭിചികം
ਸੁਪਰੀਮ ਬਾਡੀ,അപെക്സ് ബോഡി
ਮੁਆਫੀ,ക്ഷമാപണം
ਅਪੀਲ,പുനര്വിചാരണയ്ക്ക് അപേക്ഷിക്കുക
ਦਿੱਖ,കാഴ്ച
ਭੁੱਖ,വിശേഷണം
ਅਪੀਲ ਟ੍ਰਿਬਿ al ਨਲ,അപ്പീലേറ്റ് ട്രൈബ്യൂണൽ
ਅੰਤਿਕਾ,അനുബന്ധം
ਉਪਕਰਣ,ഉപകരണം
ਲਾਗੂ,പയോഗക്ഷമമായ
ਬਿਨੈਕਾਰ,അപേക്ഷക
ਐਪਲੀਕੇਸ਼ਨ,അപേക്ഷ
ਅਰਜ਼ੀ ਫਾਰਮ,അപേക്ഷാ ഫോറം
ਲਾਗੂ ਕੀਤਾ,പ്രയോഗിച്ചു
ਲਾਗੂ ਕਰੋ,അപേക്ഷിക്കുക
ਨਿਯੁਕਤ,നിയമിത
ਨਿਯੁਕਤ ਕਰਨ ਦਾ ਅਧਿਕਾਰ,അധികാരം നിയമിക്കുന്നു
ਨਿਯੁਕਤੀ,നിയമനം
ਮੁਲਾਕਾਤ ਪੱਤਰ,നിയമന പത്രിക
ਮੰਤਰੀ ਮੰਡਲ ਦੀ ਨਿਯੁਕਤੀਆਂ ਕਮੇਟੀ,മന്ത്രിസഭയുടെ നിയമന സമിതി
ਤਨਖਾਹ ਦੀ ਵੰਡ,വേതനത്തെ വിഭവങ്ങൾ
ਮੁਲਾਂਕਣ,വിലനിശ്ചയിക്കല്
ਮੁਲਾਂਕਣ,വിലഹരവാദി
ਕਦਰ,അഭിനന്ദനം
ਖਦਸ਼ਾ,അവബോധം
ਅਪ੍ਰੈਂਟਿਸ,തൊഴില്പരിശീലക
ਪਹੁੰਚ,സമീപിക്കുക
ਉਚਿਤ,അനുഗുണമായ
ਉਚਿਤ ਕਾਰਵਾਈ,ഉചിതമായ പ്രവർത്തനം
ਉਚਿਤ ਸਿਰ,ഉചിതമായ തല
ਨਿਰਧਾਰਤ,വിനിയോഗം
ਮਨਜ਼ੂਰੀ,അംഗീകരിക്കല്
ਲਗਭਗ,ഏകദേശമായ
ਯੋਗਤਾ ਟੈਸਟ,ആപ്റ്റിറ്റ്യൂഡ് ടെസ്റ്റ്
ਮਨਮਾਨੀ,സേച്ഛാചാരിയായ
ਆਰਬਿਟਰੇਟ,മാദ്ധസ്ഥം വഹിക്കുക
ਆਰਬਿਟਰੇਸ਼ਨ,മാദ്ധസ്ഥം
ਆਰਬਿਟਰੇਸ਼ਨ ਟ੍ਰਿਬਿ al ਨਲ,മാദ്ധ്യസ്ഥതാ ട്രിബ്യൂണൽ
ਆਰਬਿਟਰੇਟਰ,മദ്ധസ്ഥന്
ਆਰਕੀਟੈਕਚਰ,വാസ്തുവിദ
ਪੁਰਾਲੇਖ,ഗന്ഥരക്ഷാലയം
ਖੇਤਰ,പദേശം
ਖੇਤਰ ਹੈੱਡਕੁਆਰਟਰ,ഏരിയസ്ഥാനം
ਦਲੀਲ,വാദം
ਪੈਦਾ,എഴുന്നേല്ക്കുക
ਸੁਰਖਿਆ ਬਲ,സായുധ സേന
ਪ੍ਰਬੰਧ,കമീകരണം
ਬਰੀਅਰ,ഊരി
ਅਰੇਅਰ ਬਿਆਨ,അരീയർ പ്രസ്താവന
ਆਗਮਨ ਰਿਪੋਰਟ,വരവ് റിപ്പോർട്ട്
ਹੰਕਾਰ,ധിക്കാരം
ਅਰਸੇਨਲ,ആയുധശാല
ਲੇਖ,പദാര്ത്ഥം
ਐਸੋਸੀਏਸ਼ਨ ਦੇ ਲੇਖ,അസോസിയേഷന്റെ ലേഖനങ്ങൾ
ਲੇਖ,ലേഖനങ്ങൾ
ਚੜ੍ਹਦੇ ਕ੍ਰਮ,ആരോഹണ ക്രമം
ਪਤਾ ਲਗਾਓ,നിർണ്ണയിക്കുന്ന
ਜਿਵੇਂ ਕਿ ਕਿੱਥੇ ਹੈ,എവിടെയാണ്
ਪਹਿਲੂ,വശം
ਦਾਖਲਾ,കയറിയ
ਕਤਲ,രാഷ്ടീയക്കൊല
ਹਮਲਾ,കയ്യേറ്റം നടത്തുക
ਇਕੱਠਾ ਕਰਨ ਯੋਗ,സംയോജിപ്പിക്കുക
ਅਸੈਂਬਲੀ,നിയമനിര്മ്മാണസഭ
ਸਹਿਮਤੀ,അനുമതി
ਦਾਅਵਾ ਕਰੋ,ഉറപ്പുപറയുക
ਮੁਲਾਂਕਣ,വിലയിരുത്തുന്ന
ਮੁਲਾਂਕਣ,നികുതിചുമത്തല്
ਮੁਲਾਂਕਣ ਸਾਲ,വിലയിരുത്തൽ വർഷം
ਮੁਲਾਂਕਣ ਕਰਨ ਵਾਲਾ,അസര്യാകം
ਸੰਪਤੀ,ആസ്തി
Assigneee,നിയമനിക
ਅਸਾਈਨਮੈਂਟ,ചുമതല
ਅਸਾਈਨਟਰ,യാസ
ਸਹਾਇਤਾ,സഹായം
ਸਹਿਯੋਗੀ,തോഴന്
ਐਸੋਸੀਏਸ਼ਨ,ചങ്ങാത്തം
ਚਾਰਜ ਦੀ ਧਾਰਨਾ,ചാർജ് അനുമാനം
ਭਰੋਸਾ,ഉറപ്പുനല്കല്
ਅਸ਼ੋਰੈਂਸ ਕੰਪਨੀ,അഷ്വറൻസ് കമ്പനി
ਭਰੋਸਾ,ഉറപ്പുതരുന്നു
ਛੂਟ 'ਤੇ,കിഴിവിൽ
ਪਰਮਾਣੂ ਸ਼ਕਤੀ,ആറ്റോമിക് പവർ
ਬਰਾਬਰ ਵਿਚ,തുല്യത്തിൽ
ਪ੍ਰੀਮੀਅਮ 'ਤੇ,പ്രീമിയത്തിൽ
ਅਟੈਚ ਕਰੋ,ഘടിപ്പിക്കുക
ਨੱਥੀ ਦਫ਼ਤਰ,അറ്റാച്ചുചെയ്ത ഓഫീസ്
ਲਗਾਵ,ബന്ധം
ਅਟੈਚਮੈਂਟ ਆਰਡਰ,അറ്റാച്ചുമെന്റ് ഓർഡർ
ਪ੍ਰਾਪਤੀ,നേട്ടം
ਕੋਸ਼ਿਸ਼,പരിശമം
ਹਾਜ਼ਰੀ,ഹാജർ
ਹਾਜ਼ਰੀ ਰਜਿਸਟਰ,ഹാജർ രജിസ്റ്റർ
ਹਾਜ਼ਰੀ ਤਿਲਕ,പങ്കെടുക്കുന്ന സ്ലിപ്പ്
ਧਿਆਨ,ശ്രദ്ധ
ਤਸਦੀਕ,സാക്ഷ്യപ്പെടുത്തൽ
ਪ੍ਰਮਾਣਿਤ ਕਾੱਪੀ,സാക്ഷ്യപ്പെടുത്തിയ പകർപ്പ്
ਰਵੱਈਆ,ഭാവം
ਆਕਰਸ਼ਕ ਤਨਖਾਹ,ആകർഷകമായ ശമ്പളം
ਨਿਲਾਮੀ,ലേലം
ਨਿਲਾਮੀ,ലേറ്റീയർ
ਨਿਲਾਮੀ ਵਿਕਰੀ,ലേല വിൽപ്പന
ਹਾਜ਼ਰੀਨ,സദസര്
ਆਡੀਓ-ਵਿਜ਼ੂਅਲ ਡਿਸਪਲੇਅ,ഓഡിയോ-വിഷ്വൽ ഡിസ്പ്ലേ
ਆਡੀਓ-ਵਿਜ਼ੂਅਲ ਪ੍ਰਚਾਰ,ഓഡിയോ-വിഷ്വൽ പബ്ലിസിറ്റി
ਆਡਿਟ,കണക്കുപരിശോധിക്കുക
ਆਡਿਟ ਕੀਤੇ ਖਾਤੇ,ഓഡിറ്റുചെയ്ത അക്കൗണ്ടുകൾ
ਆਡਿਟ ਬੈਲੇਂਸ ਸ਼ੀਟ,ഓഡിറ്റുചെയ്ത ബാലൻസ് ഷീറ്റ്
ਆਡਿਟਿੰਗ,ഓഡിറ്റിംഗ്
ਆਡਿਟ ਇਤਰਾਜ਼,ഓഡിറ്റ് എതിർപ്പ്
ਆਡੀਟਰ ਦੀ ਰਿਪੋਰਟ,ഓഡിറ്ററുടെ റിപ്പോർട്ട്
ਆਡੀਟੋਰੀਅਮ,ആഡിറ്റോറിയം
ਆਡਿਟ ਪੈਰਾ,ഓഡിറ്റ് ഖണ്ഡിക
ਆਡਿਟ ਰਿਪੋਰਟ,കണക്കിറ്റ് റിപ്പോർട്ട്
ਤਪੱਸਿਆ,ഉത്സവമായ
ਤਪੱਸਿਆ ਉਪਾਅ,ചെലവുചുരുക്കൽ നടപടികൾ
ਪ੍ਰਮਾਣਿਕ,ആധികാരികം
ਅਧਿਕਾਰਤ ਪ੍ਰਤੀਨਿਧੀ,അംഗീകൃത പ്രതിനിധി
ਅਧਿਕਾਰਤ,അംഗീകാരപരമായ
ਅਧਿਕਾਰ,അധികാരം
ਅਥਾਰਟੀ ਅੱਖਰ,അതോറിറ്റി കത്ത്
ਅਧਿਕਾਰਤ,അധികാരപ്പെടുത്തി
ਅਧਿਕਾਰਤ ਪੂੰਜੀ,അംഗീകൃത മൂലധനം
ਆਟੋਮੈਟਿਕ,ഓട്ടോമാറ്റിക്
ਖੁਦਮੁਖਤਿਆਰੀ,സയംശാസിതമായ
ਖੁਦਮੁਖਤਿਆਰੀ ਸਰੀਰ,സ്വയംഭരണ സംഘടന
ਖੁਦਮੁਖਤਿਆਰੀ,സയംഭരണാവകാശം
ਸਹਾਇਕ,ഉക്സിലറി
ਉਪਲੱਬਧ,സുലഭം
Average ਸਤ,ശരാശരി
Ratuver ਸਤ ਛੁੱਟੀ,ശരാശരി അവധി
ਘ੍ਰਿਣਾ,അപീതി
