Gujarati,Odiya
સંબોધન,ଠିକଣା
પર્યાપ્તતા માપદંડ,ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ
સંલગ્ન,ଯୋଗ
વહીવટ,ପ୍ରଶାସନ
સંચાલક,ପ୍ରଶାସକ
એડોબ એક્રોબેટ,ଆଡୋବ ଆକ୍ରୋବାଟ୍ |
એડોબ ફોટોશોપ,ଆଡୋବ ଫଟୋଶପ୍ |
એડવાન્સ બિઝનેસ એપ્લિકેશન પ્રોગ્રામિંગ (ABAP),ଆଡଭାନ୍ସ ବ୍ୟବସାୟ ଆବେଦନ ପ୍ରୋଗ୍ରାମିଂ (ABAP)
અદ્યતન ડેટા,ଉନ୍ନତ ତଥ୍ୟ
અદ્યતન માહિતી સિસ્ટમ,ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |
અદ્યતન ટેકનોલોજી (AT),ଉନ୍ନତ ଜ୍ଞାନକ technology ଶଳ (AT)
એજન્ટ,ଏଜେଣ୍ଟ
એકત્રીકરણ,ଏକୀକରଣ
એરબોર્ન કમ્પ્યુટર સિસ્ટમ,ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |
aldus પૃષ્ઠ નિર્માતા,aldus ପୃଷ୍ଠା ନିର୍ମାତା |
ચેતવણી બોક્સ,ଆଲର୍ଟ ବାକ୍ସ
algol,ଆଲଗୋଲ୍
અલ્ગોરિધમ,ଆଲଗୋରିଦମ |
અલ્ગોરિધમ વિશ્લેષણ,ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |
અલ્ગોરિધમ કાર્યક્ષમતા,ଆଲଗୋରିଦମ ଦକ୍ଷତା |
ઉપનામ,ଛଦ୍ମନାମ
ગોઠવણી,ଶ୍ରେଣୀବଦ୍ଧତା |
ફાળવણી,ଆବଣ୍ଟନ
આલ્ફાબેટીક,ବର୍ଣ୍ଣାନୁକ୍ରମିକ
આલ્ફાન્યૂમેરિક,ବର୍ଣ୍ଣମାଳା
આલ્ફાન્યૂમેરિક કી બોર્ડ,ବର୍ଣ୍ଣମାଳା କି ବୋର୍ଡ |
આલ્ફા-પરીક્ષણ,ଆଲଫା-ପରୀକ୍ଷା
આલ્ફા-સંસ્કરણ,ଆଲଫା-ସଂସ୍କରଣ |
alt કી,alt କି
અલ્ટાવિસ્ટા,altavista
અસ્પષ્ટતા,ଅସ୍ପଷ୍ଟତା |
અસ્પષ્ટ વ્યાકરણ,ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ
અમેરિકન નેશનલ સ્ટાન્ડર્ડ ઇન્સ્ટિટ્યૂટ (ANSI),ଆମେରିକୀୟ ଜାତୀୟ ମାନକ ପ୍ରତିଷ୍ଠାନ (ANSI)
અમેરિકન સ્ટાન્ડર્ડ કોડ ફોર ઇન્ફોર્મેશન ઇન્ટરચેન્જ (ASCII),ସୂଚନା ଆଦାନ ପ୍ରଦାନ ପାଇଁ ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କୋଡ୍ (ASCII)
એનાલોગ,analog
એનાલોગ કમ્પ્યુટર,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
એનાલોગ ઉપકરણ,analog ଉପକରଣ
એનાલોગ મોડેમ,ଆନାଗଲ୍ ମୋଡେମ୍ |
એનાલોગ થી ડિજિટલ કન્વર્ટર (ADC),ଡିଜିଟାଲ୍ କନଭର୍ଟର (ADC)
અને,ଏବଂ
અને સર્કિટ,ଏବଂ ସର୍କିଟ |
અને દરવાજો,ଏବଂ ଫାଟକ |
અને ઓપરેશન નહીં (બાકાત),ଏବଂ ଅପରେସନ୍ ନୁହେଁ (ବହିଷ୍କାର)
એનિમેશન,ଆନିମେସନ୍
ટીકા,ଟିପ୍ପଣୀ
વિસંગતતા,ଅନୋମାଲିୟା |
પૂર્વવર્તી,ପ୍ରାଚୀନ
આગોતરી પેજીંગ,ଆଶାକର୍ମୀ ପେଜିଂ |
વિરોધી સપ્રમાણ,ଆଣ୍ଟି-ସିମେଟ୍ରିକ୍ |
એન્ટિવાયરસ પ્રોગ્રામ,ଆଣ୍ଟିଭାଇରସ୍ ପ୍ରୋଗ୍ରାମ୍ |
એપ્લેટ,ଆପଲେଟ୍
એપ્લિકેશન ડેવલપર,ପ୍ରୟୋଗ ବିକାଶକାରୀ
એપ્લિકેશન પ્રોગ્રામિંગ,ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ
એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ (API),ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API)
એપ્લિકેશન સોફ્ટવેર,ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍
લાગુ પડતી ભાષા,ପ୍ରୟୋଗ ଭାଷା |
અંદાજ સિદ્ધાંત,ଆନୁମାନିକ ତତ୍ତ୍। |
સ્થાપત્ય,ସ୍ଥାପତ୍ୟ
વિસ્તાર ટ્રાન્સફર,କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର |
દલીલ,ଯୁକ୍ତି
અંકિત અને તર્ક એકમ,ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |
અંકિત તપાસ,ଗାଣିତିକ ଯାଞ୍ଚ |
અંકિત સ્થિરાંક,ଗାଣିତିକ ସ୍ଥିର |
અંકિત માહિતી,ଗାଣିତିକ ତଥ୍ୟ
અંકગણિત સૂચના,ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ
અંકગણિત અને તર્ક એકમ (ALU),ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ (ALU)
અર્પાનેટ,ARPANET
એરે,ଆରେ
એરે કેશ,ଆରେ କ୍ୟାଚ୍
એરે કમ્પ્યુટર,ଆରେ କମ୍ପ୍ୟୁଟର |
એરે તત્વ,ଆରେ ଉପାଦାନ |
એરે નામ,ଆରେ ନାମ
એરે પ્રોસેસર,ଆରେ ସଞ୍ଚାଳକ
તીર કીઓ,ତୀର କିଗୁଡ଼ିକ
ઉચ્ચારણ,ଆର୍ଟିକିଲେସନ୍
ઉચ્ચારણ બિંદુ,ଆର୍ଟିକ୍ୟୁଲେସନ୍ ପଏଣ୍ଟ |
કૃત્રિમ કોમ્પેક્શન,କୃତ୍ରିମ ସଙ୍କୋଚନ |
કૃત્રિમ નિયંત્રણ,କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |
કૃત્રિમ બુદ્ધિ,କୃତ୍ରିମ ବୁଦ୍ଧି
ચડતા,ଆରୋହଣ
ચડતા સૉર્ટ,ଆରୋହଣ କ୍ରମ
ASCII બેટીકલ ઓર્ડર,ASCII ବେଟିକାଲ୍ କ୍ରମ |
ASCII નિયંત્રણ પાત્ર,ASCII ନିୟନ୍ତ୍ରଣ ବର୍ଣ୍ଣ |
ASCII ફાઇલ,ASCII ଫାଇଲ୍ |
ASCII ફોન્ટ,ASCII ଫଣ୍ଟ |
ASCII ટ્રાન્સફર,ASCII ସ୍ଥାନାନ୍ତର |
પાસા ગુણોત્તર,ଆନୁମାନିକ ଅନୁପାତ
ASPI,ASPI
ASR ટાઈમર,ASR ଟାଇମର୍ |
ભેગા,ଏକତ୍ର ହୁଅ
એસેમ્બલર,ଏକତ୍ରକାରୀ
એસેમ્બલી,ସଭା
એસેમ્બલી ભાષા,ସଭା ଭାଷା |
નિવેદન,ଧାରଣା
સોંપણી,ଆସାଇନମେଣ୍ଟ
સંગઠન,ସଙ୍ଗଠନ
સહયોગી સરનામું,ସହଯୋଗୀ ଠିକଣା
સહયોગી મેમરી,ସହଯୋଗୀ ସ୍ମୃତି
એસ્ટરીક,ନକ୍ଷତ୍ର
અસમપ્રમાણ,ଅସୀମିତ |
અસુમેળ,ଅସନ୍ତୁଳିତ |
અસુમેળ ડિજિટલ સબસ્ક્રાઇબર લાઇન (ADSL),ଅସନ୍ତୁଳିତ ଡିଜିଟାଲ୍ ସବସ୍କ୍ରାଇବର ଲାଇନ (ADSL)
અસુમેળ સમય વિભાગ મલ્ટિપ્લેક્સીંગ (ATDM),ଅସନ୍ତୁଳିତ ସମୟ ବିଭାଗ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (ATDM)
અસુમેળ ટ્રાન્સફર,ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର |
અસુમેળ ટ્રાન્સફર મોડ (ATM),ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର ମୋଡ୍ (ଏଟିଏମ୍)
અણુ,ପରମାଣୁ
જોડાયેલ દસ્તાવેજ,ସଂଲଗ୍ନିତ ଡକ୍ୟୁମେଣ୍ଟ୍ |
જોડેલી ફાઈલ,ସଂଲଗ୍ନ ଫାଇଲ୍ |
જોડાણ,ସଂଲଗ୍ନ
લક્ષણ,ଗୁଣ
ઓડિયો,ଅଡିଓ
ઓડિટ પ્રોગ્રામિંગ,ପ୍ରୋଗ୍ରାମିଂ ଅଡିଟ୍ କରନ୍ତୁ |
વિષ્લેષણ,ଅଡିଟ୍ ଟ୍ରେଲ୍ |
વૃદ્ધિ,ବୃଦ୍ଧି
પ્રમાણીકરણ પ્રોટોકોલ,ପ୍ରାମାଣିକିକରଣ ପ୍ରୋଟୋକଲ୍ |
ઓથરિંગ સિસ્ટમ,ଲେଖକ ପ୍ରଣାଳୀ
અધિકૃતતા,ପ୍ରାଧିକରଣ
સ્વતઃ અમૂર્ત,ଅଟୋ ଅବଷ୍ଟ୍ରାକ୍ଟ |
ઓટોબૂટિંગ,ଅଟୋବୋଟିଂ
ઓટોકેડ,ଅଟୋକ୍ୟାଡ୍ |
ઓટોલોગ ચાલુ,ଅଟୋଲୋଜି ଅନ୍
ઓટોમેટા,ଅଟୋମେଟା |
ઓટોમેટા સિદ્ધાંત,ସ୍ୱୟଂଚାଳିତ ତତ୍ତ୍। |
આપોઆપ કમ્પ્યુટિંગ,ସ୍ୱୟଂଚାଳିତ ଗଣନା
સ્વચાલિત ડેટા પ્રોસેસિંગ,ସ୍ୱୟଂଚାଳିତ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
આપોઆપ ભૂલ સુધારણા,ସ୍ୱୟଂଚାଳିତ ତ୍ରୁଟି ସଂଶୋଧନ |
સ્વચાલિત કાર્ય,ସ୍ୱୟଂଚାଳିତ କାର୍ଯ୍ୟ
આપોઆપ અનુક્રમણિકા,ସ୍ୱୟଂଚାଳିତ ସୂଚକାଙ୍କ |
સ્વચાલિત પુસ્તકાલય કૉલ,ସ୍ୱୟଂଚାଳିତ ଲାଇବ୍ରେରୀ କଲ୍ |
આપોઆપ પ્રોગ્રામિંગ,ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |
સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ,ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ |
આપોઆપ નિયમિત,ସ୍ୱୟଂଚାଳିତ ରୁଟିନ୍ |
આપોઆપ સિસ્ટમ પુનઃપ્રાપ્તિ,ସ୍ୱୟଂଚାଳିତ ତନ୍ତ୍ର ପୁନରୁଦ୍ଧାର
ઓટોમેટિક ટેલર મશીન (ATM),ସ୍ୱୟଂଚାଳିତ ଟେଲର୍ ମେସିନ୍ (ଏଟିଏମ୍)
ઓટોમેશન,ସ୍ୱୟଂଚାଳିତ
ઑટોપ્લે,ସ୍ଵତଃ ଚଳିତ
સ્વતઃ સાચવો,ଅଟୋସେଭ୍ |
સહાયક,ସହାୟକକାରୀ
સહાયક મેમરી,ସହାୟକ ସ୍ମୃତି
સહાયક સંગ્રહ,ସହାୟକ ଷ୍ଟୋରେଜ୍
ઉપલબ્ધ યાદી,ଉପଲବ୍ଧ ତାଲିକା |
ઉપલબ્ધ સમય,ଉପଲବ୍ଧ ସମୟ |
સરેરાશ,ହାରାହାରି
awk (ભાષા),awk (ଭାଷା)
બેકએન્ડ,ବ୍ୟାକେଣ୍ଡ୍ |
બેકએન્ડ પ્રોસેસર,ବ୍ୟାକେଣ୍ଡ୍ ସଞ୍ଚାଳକ |
બેકફેસ દૂર કરવું,ବ୍ୟାକଫେସ୍ ଅପସାରଣ |
પૃષ્ઠભૂમિ પ્રક્રિયા,ପୃଷ୍ଠଭୂମି ପ୍ରକ୍ରିୟାକରଣ |
બેકિંગ સ્ટોર,ବ୍ୟାକିଂ ଷ୍ଟୋର |
બેકપેચિંગ,ବ୍ୟାକପ୍ୟାଚ୍
બેકસ્પેસ,ବ୍ୟାକସ୍ପେସ୍ |
બેકટ્રેકિંગ,ବ୍ୟାକଟ୍ରାକ୍
બેકઅપ,ବ୍ୟାକ୍ ଅପ୍ |
બેકઅપ મેમરી,ବ୍ୟାକ୍ ଅପ୍ ମେମୋରୀ |
પછાત ભૂલ પુનઃપ્રાપ્તિ,ପଛୁଆ ତ୍ରୁଟି ପୁନରୁଦ୍ଧାର
સરવૈયા,ତୂଳନା ପତ୍ର
બેન્ડ,ବ୍ୟାଣ୍ଡ
બેન્ડ પહોળાઈ,ବ୍ୟାଣ୍ଡ ଓସାର |
બેંકરનું અલ્ગોરિધમ,ବ୍ୟାଙ୍କର ଆଲଗୋରିଦମ |
બાર કોડ,ବାର୍ କୋଡ୍
બાર કોડ સ્કેનર,ବାର୍ କୋଡ୍ ସ୍କାନର୍ |
બાર ગ્રાફ,ବାର୍ ଗ୍ରାଫ୍ |
આધાર સરનામું,ମୂଳ ଠିକଣା
આધાર બેન્ડ,ବେସ୍ ବ୍ୟାଣ୍ଡ |
આધાર નંબર,ଆଧାର ସଂଖ୍ୟା
આધાર ટેબલ,ଆଧାର ଟେବୁଲ୍ |
પાયાની,ବେସିକ୍ |
મૂળભૂત નિયંત્રણ,ମ basic ଳିକ ନିୟନ୍ତ୍ରଣ |
મૂળભૂત ઇનપુટ,ମ basic ଳିକ ଇନପୁଟ୍ |
મૂળભૂત સૂચના,ମ basic ଳିକ ନିର୍ଦ୍ଦେଶ
મૂળભૂત આઉટપુટ,ମ basic ଳିକ ଆଉଟପୁଟ୍
મૂળભૂત પગલું,ମ basic ଳିକ ପଦକ୍ଷେପ |
બેચ,ବ୍ୟାଚ୍
બેચ ફાઇલ,ବ୍ୟାଚ୍ ଫାଇଲ୍ |
બેચ સ્થિતિ,ବ୍ୟାଚ୍ ସ୍ଥିତି |
બેચ પ્રક્રિયા,ବ୍ୟାଚ୍ ପ୍ରକ୍ରିୟାକରଣ |
બેચ સિસ્ટમ,ବ୍ୟାଚ୍ ସିଷ୍ଟମ୍ |
બાઉડ,baud
બાઉડ દર,ବାଉଡ୍ ହାର
બીમ,ବିମ୍
બેન્ચમાર્ક,ମାନଦଣ୍ଡ
દ્વિદિશ સંચાર,ଦ୍ୱି-ଦିଗୀୟ ଯୋଗାଯୋଗ |
દ્વિદિશ લિંક,ଦ୍ୱି-ଦିଗୀୟ ଲିଙ୍କ୍ |
દ્વિસંગી કોડ,ବାଇନାରୀ କୋଡ୍ |
દ્વિસંગી અંક,ବାଇନାରୀ ଅଙ୍କ
બાઈનરી ઇનપુટ આઉટપુટ સિસ્ટમ (BIOS),ବାଇନାରୀ ଇନପୁଟ୍ ଆଉଟପୁଟ୍ ସିଷ୍ଟମ୍ (BIOS)
દ્વિસંગી સંખ્યા,ବାଇନାରୀ ସଂଖ୍ୟା
બાઈનરી ઓપરેટર,ବାଇନାରୀ ଅପରେଟର୍ |
દ્વિસંગી સંબંધ,ବାଇନାରୀ ସମ୍ପର୍କ |
દ્વિસંગી શોધ,ବାଇନାରୀ ସନ୍ଧାନ |
દ્વિસંગી શોધ વૃક્ષ (BST),ବାଇନାରୀ ସନ୍ଧାନ ବୃକ୍ଷ (BST)
બાઈનરી ટ્રાન્સફર,ବାଇନାରୀ ସ୍ଥାନାନ୍ତର |
દ્વિસંગી વૃક્ષ,ବାଇନାରୀ ଗଛ |
બાયપોલર મેમરી,ଦ୍ୱିପାକ୍ଷିକ ସ୍ମୃତି
જન્મ મૃત્યુ મોડેલ,ଜନ୍ମ ମୃତ୍ୟୁ ମଡେଲ |
જન્મ મૃત્યુ પ્રક્રિયા,ଜନ୍ମ ମୃତ୍ୟୁ ପ୍ରକ୍ରିୟା |
બીટ,ବିଟ୍
થોડી ખામી,ବିଟ୍ ଦୋଷ |
બીટ નકશો,ବିଟ୍ ମାନଚିତ୍ର
બીટ મેપ પિક્સેલ (BMP),ବିଟ୍ ମାନଚିତ୍ର ପିକ୍ସେଲ୍ (BMP)
બીટ મેટ્રિક્સ,ବିଟ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
બીટ પેટર્ન,ବିଟ୍ ପ୍ୟାଟର୍ |
બીટ સ્થિતિ,ବିଟ୍ ସ୍ଥିତି |
બીટ દર,ବିଟ୍ ହାର
બ્લેક બોક્સ પરીક્ષણ,କଳା ବାକ୍ସ ପରୀକ୍ଷା
ઝબકવું,ink ଲସି ଉଠୁଛି |
બ્લોક,ବ୍ଲକ
બ્લોક કેશ,କ୍ୟାଚ୍ ଅବରୋଧ କରନ୍ତୁ |
બ્લોક ચેક,ଯାଞ୍ଚ ଯାଞ୍ଚ କରନ୍ତୁ |
બ્લોક નકલ,କପି କପି କରନ୍ତୁ |
રેખાક્રુતિ,ବ୍ଲକ ଚିତ୍ର
બ્લોકીંગ નેટવર્ક,ନେଟୱର୍କକୁ ଅବରୋଧ କରୁଛି
પાટીયું,ବୋର୍ଡ
પુસ્તક ચિહ્ન,ପୁସ୍ତକ ଚିହ୍ନ
બુલિયન બીજગણિત,ବୁଲିଅନ୍ ବୀଜ ବିବେଚନା |
બુલિયન સંબંધ,ବୁଲିଅନ୍ ସମ୍ପର୍କ |
બુટ પાર્ટીશન,ବୁଟ ବିଭାଜନ
બુટ strapping,ବୁଟ ଷ୍ଟ୍ରାପିଂ
બુટ-સ્ટ્રેપ લોડર,ବୁଟ-ଷ୍ଟ୍ରାପ ଲୋଡର
પુલ,ସେତୁ
બ્રોડબેન્ડ નેટવર્કિંગ,ବ୍ରଡବ୍ୟାଣ୍ଡ ନେଟୱର୍କିଙ୍ଗ |
પ્રસારણ,ପ୍ରସାରଣ
પ્રસારણ રેડિયો,ରେଡିଓ ପ୍ରସାରଣ |
બ્રાઉઝ કરો,ବ୍ରାଉଜ୍ କରନ୍ତୁ |
બ્રાઉઝર,ବ୍ରାଉଜର୍
બી-ટ્રી,ବି-ଗଛ |
બબલ મેમરી,ବବୁଲ୍ ମେମୋରୀ |
બબલ સૉર્ટ,ବବୁଲ୍ ସର୍ଟ୍ |
ડોલ,ବାଲଟି
મિત્ર સિસ્ટમ,ସାଥୀ ସିଷ୍ଟମ୍
બજેટ અસરકારક નિયંત્રણ,ବଜେଟ୍ ପ୍ରଭାବଶାଳୀ ନିୟନ୍ତ୍ରଣ |
બફર,ବଫର୍
ભૂલ,ତ୍ରୁଟି
બસ,ବସ୍
બાઈટ,ବାଇଟ୍ |
બાઈટ કોડ,ବାଇଟ୍ କୋଡ୍ |
c,ଗ
C++,C ++
કેશ,କ୍ୟାଚ୍
કેશ બફર,କ୍ୟାଚ୍ ବଫର୍ |
કેશ મેમરી,କ୍ୟାଶେ ମେମୋରୀ
ગણતરી,ଗଣନା
કેલ્ક્યુલેટર,କାଲକୁଲେଟର
કેલ્ક્યુલેટર ચિપ,କାଲକୁଲେଟର ଚିପ୍
કૉલ,କଲ୍ କରନ୍ତୁ |
નામથી બોલાવો,ନାମରେ କଲ୍ କରନ୍ତୁ |
સંદર્ભ દ્વારા કૉલ કરો,ରେଫରେନ୍ସ ଦ୍ୱାରା କଲ୍ କରନ୍ତୁ |
મૂલ્ય દ્વારા કૉલ કરો,ମୂଲ୍ୟ ଅନୁଯାୟୀ କଲ୍ କରନ୍ତୁ |
ચલ દ્વારા કૉલ કરો,ଭେରିଏବଲ୍ ଦ୍ୱାରା କଲ୍ କରନ୍ତୁ |
કૉલ ગેટ,କଲ୍ ଗେଟ୍ |
રદ કરો,ବାତିଲ୍ କରନ୍ତୁ |
રદ કરો બટન,ବାତିଲ୍ ବଟନ୍
પ્રમાણભૂત,କାନୋନିକାଲ୍ |
પ્રમાણભૂત સ્વરૂપ,କାନୋନିକାଲ୍ ଫର୍ମ |
ક્ષમતા,ସାମର୍ଥ୍ୟ |
ક્ષમતા યાદી,ସାମର୍ଥ୍ୟ ତାଲିକା |
ક્ષમતા,କ୍ଷମତା
કેપ્સ લોક કી,କ୍ୟାପ୍ ଲକ୍ କୀ |
કાર્ડ,କାର୍ଡ
કાર્ડ રીડર,କାର୍ଡ ରିଡର୍ |
મુખ્યત્વ,ହୃଦୟ
વાહક,ବାହକ
વાહક બેન્ડ,ବାହକ ବ୍ୟାଣ୍ଡ |
વાહક લોડ,ବାହକ ଭାର
વાહક સંકેત,ବାହକ ସଙ୍କେତ
વાહક તરંગ,ବାହକ ତରଙ୍ଗ |
વહન,ବହନ କର
વહન અંક,ଅଙ୍କ ବହନ କର |
ધ્વજ વહન કરો,ପତାକା ବହନ କର |
કારતૂસ ડિસ્ક,କାର୍ଟ୍ରିଜ୍ ଡିସ୍କ |
કાસ્કેડ,କ୍ୟାସକେଡ୍ |
કેસ,କେସ୍
કેથોડ રે ટ્યુબ (CRT),କ୍ୟାଥୋଡ୍ ରେଡ୍ ଟ୍ୟୁବ୍ (CRT)
કેથોડ રે ટ્યુબ (CRT),କ୍ୟାଥୋଡ୍ ରେଶ୍ ଟ୍ୟୁବ୍ (CRT)
CD ROM ડિસ્ક ડ્રાઇવ,CD ROM ଡିସ୍କ ଡ୍ରାଇଭ |
કોષ,କକ୍ଷ
સેલ એનિમેશન,ସେଲ୍ ଆନିମେସନ୍ |
સેલ્યુલર ફોન,ସେଲୁଲାର୍ ଫୋନ୍ |
કેન્દ્રીય મેમરી,କେନ୍ଦ୍ରୀୟ ସ୍ମୃତି
સેન્ટ્રલ પ્રોસેસિંગ યુનિટ (CPU),କେନ୍ଦ୍ରୀୟ ପ୍ରକ୍ରିୟାକରଣ ଏକକ (CPU)
કેન્દ્રિય સિસ્ટમ,କେନ୍ଦ୍ରୀଭୂତ ପ୍ରଣାଳୀ |
પ્રમાણિત ટેપ,ସାର୍ଟିଫିକେଟ୍ ଟେପ୍ |
સાંકળ,ଶୃଙ୍ଖଳା
સાંકળ ડેટા,ଶୃଙ୍ଖଳା ତଥ୍ୟ
સાંકળ કડી,ଶୃଙ୍ଖଳା ଲିଙ୍କ୍ |
સાંકળ,ଶିକୁଳି
ચેનલ,ଚ୍ୟାନେଲ୍ |
ચેનલ વ્યસ્ત સ્વર,ଚ୍ୟାନେଲ ବ୍ୟସ୍ତ ସ୍ୱର |
ચેનલ ક્ષમતા,ଚ୍ୟାନେଲ କ୍ଷମତା |
ચેનલ નિયંત્રક,ଚ୍ୟାନେଲ ନିୟନ୍ତ୍ରକ
