Odiya,Tamil
ଆଡଜଷ୍ଟେସନ୍ ସମୀକରଣ,சரிசெய்தல் சமன்பாடு
ଆଡୋବ ମାଟି |,அடோப் மண்
ବ୍ୟଭିଚାର,கலப்படம்
ଏକ୍ଟୋପିକ୍,எக்டோபிக்
Isidiospore Isidium Spore |,இசிடியோஸ்போர் இசிடியம் ஸ்போர்
ଏରୋଡାଇନାମିକ୍ ପ୍ରକ୍ରିୟା |,ஏரோடைனமிக் செயல்முறை
ଭେଣ୍ଟ୍ରାଲ୍ |,வென்ட்ரல்
ବିମାନକୁ,காற்றோட்டம் செய்ய
1. ବାୟୁ 2. ଆକାଶୀ |,1. காற்று 2. ஆகாஷி
1. ଏରୋମିଟର 2. ଏରୋମିଟର 3. ଏରୋମିଟର |,1. ஏரோமீட்டர் 2. ஏரோமீட்டர் 3. ஏரோமீட்டர்
ଏରୋସୋଲ୍ |,ஏரோசல்
1. ପୁଷ୍ପମାଲ୍ୟ 2. ଗ୍ରୀଷ୍ମ ଶୋଇବା |,1. மஞ்சரி 2. கோடை உறக்கம்
ରୋଗ ବିଜ୍ଞାନ,நோய் அறிவியல்
ବୃକ୍ଷରୋପଣ,காடு வளர்ப்பு
1. ଉତ୍ତେଜନା 2. ଅଶାନ୍ତିରତା |,1. கிளர்ச்சி 2. கொந்தளிப்பு
ଆଗମାର୍କ |,அக்மார்க்
1. ଜମି ସମ୍ବନ୍ଧୀୟ 2. କୃଷି,1. நிலம் தொடர்பான 2. விவசாயம்
କୃଷି ଚିକିତ୍ସାଳୟ,விவசாய மருத்துவமனை
1. କୃଷି ଶ୍ରମ 2. କୃଷି ଶ୍ରମ |,1. விவசாயத் தொழிலாளர்கள் 2. விவசாயத் தொழிலாளர்கள்
କୃଷି ମାର୍କେଟିଂ |,விவசாய சந்தைப்படுத்தல்
କୃଷି ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |,விவசாய தொழில்நுட்பம்
1. କୃଷି 2. ଚାଷ 3. କୃଷି ବିଜ୍ଞାନ |,1. விவசாயம் 2. விவசாயம் 3. விவசாய அறிவியல்
କୃଷି ଜଙ୍ଗଲ,விவசாய காடுகள்
କୃଷି ଜ odi ବ ବିବିଧତା |,விவசாய பல்லுயிர்
କୃଷି ଜ organic ବିକ ତ୍ରୁଟି |,விவசாய கரிம குறைபாடுகள்
କୃଷି ଜୀବ ବିଜ୍ଞାନ |,விவசாய உயிரியல்
କୃଷି-ଜଳବାୟୁ ବିବିଧତା |,விவசாய காலநிலை பன்முகத்தன்மை
agroclimatic ଜୋନ୍ ସୃଷ୍ଟି |,வேளாண் காலநிலை மண்டலத்தை உருவாக்குதல்
କୃଷି ଜଙ୍ଗଲ,வளர்ப்பு
କୃଷି,வேளாண்மை
ଆଗ୍ରୋନୋମିକ୍,வேளாண்மை
କୃଷି ପାଳକ,விவசாய மேய்ச்சல்
ଫସଲ ପ୍ରକ୍ରିୟାକରଣ |,பயிர் செயலாக்கம்
ଘାସ ବିଜ୍ଞାନ |,புல் அறிவியல்
ଫସଲ ପ୍ରକାର |,பயிர் வகை
ଏପିଫାଇଟ୍ |,எபிஃபைட்
aikiochi ମାଟି |,aikiochi மண்
ରଙ୍ଗ ଅନ୍ଧତା |,வண்ண குருட்டுத்தன்மை
ଆଲଫିସୋଲ୍ |,அல்பிசோல்
ଶାଗ,பாசி
ଆଲଗା ରୋଗ,பாசி நோய்
କ୍ଷାର ଜଳ |,காரம் நீர்
କ୍ଷାର,காரமானது
ବିକଳ୍ପ,மாற்று
ଆଲେଲୋ କେମେଷ୍ଟ୍ରି |,அலெலோ வேதியியல்
ଆଲେଲେ,அலீல்
ଆଲେଲୋପାଥି,அலெலோபதி
ଭେଟି ଫସଲ |,வேத்தி பயிர்
ସମାପ୍ତି,நிறைவு
ଫର୍ଟିଲାଇଜେସନ୍,கருத்தரித்தல்
1. ଆପେକ୍ଷିକତା 2. ଆଲୋମେଟ୍ରି |,1. சார்பியல் 2. அலோமெட்ரி
ମଲ୍ଟିପ୍ଲୋଡି,பலவகை
1. ପାରାଜାଇଗୋସିଟି |,1. Parazygosity
1. ବ Year କଳ୍ପିକ ବର୍ଷ କାର୍ଯ୍ୟ 2. ବିକଳ୍ପ କାର୍ଯ୍ୟ |,1. மாற்று ஆண்டு செயல்பாடு 2. மாற்று செயல்பாடு
ବିକଳ୍ପ ଜମି ବ୍ୟବହାର |,மாற்று நில பயன்பாடு
ପରିବେଶ,சூழல்
ସଂସ୍କାରକ,சீர்திருத்தவாதி
ମାଇଟୋସିସ୍,மைடோசிஸ்
ଆମେନାନ୍,அமீனன்
ଆମୋନିଅନ୍ |,அம்மோனியன்
amniferous,அம்னிஃபெரஸ்
1. ପ୍ରଭାବହୀନ ଫର୍ମ 2. ଅରୁପି |,1. பயனற்ற வடிவம் 2. அரூபி
ଆମ୍ଫିବିଆନ୍ ମିଶ୍ରଣ |,நீர்வீழ்ச்சி கலவை
ଆମ୍ଫୋଟେରିକ୍ |,ஆம்போடெரிக்
ଷ୍ଟକପିଲିଂ |,கையிருப்பு
1. ଆନାଏରୋବିକ୍ 2. ଆନାଏରୋବିକ ଜୀବ |,1. காற்றில்லா 2. காற்றில்லா உயிரினங்கள்
ହାପ୍ଲଏଡ୍ |,ஹாப்ளாய்டு
କୋଣାର୍କ ବୃକ୍ଷ ରୋପଣ |,கோண நடவு
ପଶୁପାଳନ,கால்நடை வளர்ப்பு
ପଶୁ ନିର୍ଗମନ,விலங்கு மலம்
ଜୀବନ୍ତ ଶକ୍ତି,வாழ்க்கை ஆற்றல்
ଅସନ୍ତୁଷ୍ଟ |,முரண்பாடான
ଏକ ବର୍ଷ ପୁରୁଣା ଉଦ୍ଭିଦ |,ஒரு வருடம் பழமையான ஆலை
ବାର୍ଷିକ,ஆண்டு
1. ଉତ୍କଣ୍ଠା 2. ପ୍ରଭାବ,1. பரவசம் 2. பிரகாசம்
ଆନ୍ଥ୍ରାକ୍ସ,ஆந்த்ராக்ஸ்
ଆନ୍ଥ୍ରୋପୋଜେନିକ୍ କାରକଗୁଡିକ |,மானுடவியல் காரணிகள்
ବଞ୍ଚିବା,உயிர்வாழ்தல்
1. ଆଣ୍ଟିବାୟୋଟିକ୍ 2 ଆଣ୍ଟିବାୟୋଟିକ୍ |,1. ஆன்டிபயாடிக் 2. நுண்ணுயிர்க்கொல்லி
ଘୃଣ୍ୟ,விரட்டும்
ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |,ஆக்ஸிஜனேற்ற
ଆଣ୍ଟିଟୋକ୍ସିନ୍ |,ஆன்டிடாக்சின்
ଆଙ୍ଗୁଠି ରିଙ୍ଗ୍ |,மோதிர விரல்
1. ଆପିଡ୍ 2. ମାହୁ 3. ଚେପା |,1. அசுவினி 2. மஹு 3. செபா
ଉପର ଗୁଣ୍ଡ |,மேல் மொட்டு
ଶିଖର ପ୍ରଭାବ,உச்ச செயல்திறன்
ମହୁମାଛି ପାଳନ,தேனீ வளர்ப்பு
ସମଲିଙ୍ଗୀତା,ஓரினச்சேர்க்கை
ଆପୋପ୍ଟୋସିସ୍ |,அப்போப்டொசிஸ்
ଅନୁକ୍ରମଣିକା,பிற்சேர்க்கைகள்
ଭୋକ,பசியை உண்டாக்கும்
ପ୍ରୟୋଗ ହୋଇଛି |,விண்ணப்பித்தார்
ଜଳୀୟ ତୃଣ,நீர்வாழ் களை
1. ବୃକ୍ଷ 2. ବୃକ୍ଷ ନିବାସୀ |,1. மரம் 2. மரத்தில் வசிப்பவர்
ଶାଖା,கிளைகள்
ପ୍ରୋଟୋବୋଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |,புரோட்டோபோட்டானிக்கல் பதிவுகள்
ଜୋନ୍ ସଂଖ୍ୟା,மண்டல எண்
1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର,1. பகுதி 2. பகுதி
ଶୁଖିଲା ଇକୋସିଷ୍ଟମ୍ |,உலர் சுற்றுச்சூழல்
କୋଟିଲଡନ୍ |,கோட்டிலிடன்
ସ aur ରଭ |,சௌரப்
ସୁଗନ୍ଧିତ ଉଦ୍ଭିଦ |,நறுமண ஆலை
ସୁଗନ୍ଧିତ ଚାଉଳ |,வாசனை அரிசி
ଇକଶୁ ପୁଷ୍ପନ୍ |,இக்ஷு புஷ்பன்
ଆସେପ୍ଟିକ୍ |,அசெப்டிக்
1. ଆସେପ୍ଟିକ୍ 2. ଆସେପ୍ଟିକ୍ |,1. அசெப்டிக் 2. அசெப்டிக்
ସମଲିଙ୍ଗୀ ପ୍ରଜନନ |,பாலின இனப்பெருக்கம்
ଆକାର,அளவு
ସମ୍ପତ୍ତି,சொத்து
1. ଆସ୍ମିଲେସନ୍ 2. ଆସ୍ମିଲେସନ୍ |,1. ஒருங்கிணைப்பு 2. ஒருங்கிணைப்பு
1. ଆସୋସିଏସନ 2. ଆସୋସିଏସନ,1. சங்கம் 2. சங்கம்
1. ସ୍ତମ୍ଭ 2. ଜ୍ୟୋତିଷ,1. நெடுவரிசை 2. துவர்ப்பு
ହେଟେରୋଜାଇଗୋସିଟି |,பன்முகத்தன்மை
1. ପିତୃପୁରୁଷ 2. ଆଟାଭିଜିମ୍ |,1. முன்னோர் 2. அடவிசம்
କଣିକା,துகள்
1. ଅନିଶ୍ଚିତତା 2. ଦୁର୍ବଳତା |,1. உறுதிப்படுத்தல் 2. குறைபாடு
ଆତ୍ମ ଯୋଡି |,சுய இணைத்தல்
ଅଟୋଲାଇସିସ୍,தன்னியக்கம்
1. ସ୍ ont ତ aneous ସ୍ପୃତ ଅକ୍ସିଡେସନ୍ 2. ସ୍ ont ତ aneous ସ୍ପୃତ ଅକ୍ସିଡେସନ୍ |,1. தன்னிச்சையான ஆக்சிஜனேற்றம் 2. தன்னிச்சையான ஆக்சிஜனேற்றம்
ସ୍ୱୟଂ ମଲ୍ଟିପ୍ଲେକ୍ସଡ୍ |,சுய மல்டிபிளக்ஸ்
ଆକ୍ସିନ୍,ஆக்சின்
1. ହଲାନ୍ତୁ 2. ଟୋଡ୍ |,1. குலுக்கல் 2. தேரை
ଦଣ୍ଡବିଧାନ ଜୀବାଣୁ |,தண்டனை வைரஸ்
1. ବାକିଲସ୍ 2. ବାକିଲସ୍ |,1. பேசிலஸ் 2. பேசிலஸ்
1. ଜୀବାଣୁ 2. ଜୀବାଣୁ,1. பாக்டீரியா 2. பாக்டீரியா
ଜୀବାଣୁ ବିଷାକ୍ତ,பாக்டீரியா நச்சு
ବାଗାସେ |,கரும்பு சக்கை
ତୂଳନା ପତ୍ର,இருப்பு தாள்
ସନ୍ତୁଳିତ ସାର ବ୍ୟବହାର |,சீரான உர பயன்பாடு
ବାର୍ ଗ୍ରାଫ୍ |,சட்ட வரைபடம்
ଭୁକିବା |,பட்டை
1. ବାରୋମିଟର 2. ବାରୋମିଟର |,1. காற்றழுத்தமானி 2. காற்றழுத்தமானி
1. ବଜର୍ 2. ଅଦୃଶ୍ୟ 3. ବନ୍ଧ୍ୟା |,1. buzzer 2. inert 3. barren
1. ଆଧାର 2. ଆଧାର 3. କପଙ୍ଗ |,1. அடிப்படை 2. அடிப்படை 3. குபாங்
1. ତାଲା 2. ବେସିନ |,1. தாலா 2. பேசின்
ତଲାବିସାରି |,தலபிசாரி
1. ବେସ୍ଟର୍ନମ୍ 2. ମୂଳ ଧାରକ |,1. பாசிஸ்டர்னம் 2. ரூட் ஹோல்டர்
ଗଲ୍ଫ ମ so ସୁମୀ |,வளைகுடா பருவமழை
ଫଳ ଉଦ୍ଭିଦ |,பழ செடி
ଶଯ୍ୟା,படுக்கை
ଶଯ୍ୟା ଉଦ୍ଭିଦ |,படுக்கை ஆலை
ଶଯ୍ୟା,படுக்கை
ବିଲା ଗୁଣ୍ଡ |,பீற்று வெல்லப்பாகு
ଘଣ୍ଟି,பெல்லோஸ்
1. ଷ୍ଟ୍ରିପ୍ 2. ଭୂମି,1. கீற்று 2. நிலப்பரப்பு
ଲାଭ-ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |,இலாப-செலவு பகுப்பாய்வு
ଆଶାକର୍ମୀ (ନମୁନା),ஆர்வலர் (மாதிரி)
ଦ୍ୱି ବର୍ଷୀୟ ଉଦ୍ଭିଦ |,இரு ஆண்டு தாவரங்கள்
ଦ୍ୱିପାକ୍ଷିକ |,இருவகை
ବାୟୋଫାକ୍ଟର |,உயிர் காரணி
ଜ bi ବିକ ଜଳବାୟୁ |,உயிரியல் காலநிலை
ଜ o ବ ଶକ୍ତି |,உயிர் ஆற்றல்
ଜୀବଜନ୍ତୁ ପରିବେଶ |,விலங்கு சூழலியல்
1. ବାୟୋ-ପ୍ରୋସେସର୍ 2. ବାୟୋ-ରିଆକ୍ଟର |,1. உயிர் செயலி 2. உயிர் உலை
ଜ bi ବ ଜୀବ |,உயிர்க்கோளம்
ବାୟୋଟିକ୍ |,உயிரியல்
ପ୍ରାଣୀ,விலங்கினங்கள்
ଡିଭିଲିଙ୍ଗୀ |,திவிலிங்கி
ଧାୱାଲାନ୍ |,தவலன்
1. ପ୍ରଭାସନ୍ (ରୋଗ) 2. ଗୁଣ୍ଡ ରୋଗ |,1. பிரத்வாசன் (நோய்) 2. குடல் நோய்
ମିଶ୍ରଣ,கலத்தல்
1. ଅଙ୍ଗମାରି (ରୋଗ) 2. ବ୍ଲାଇଟ୍ (ରୋଗ),1. அங்கமாரி (நோய்) 2. ப்ளைட் (நோய்)
1. ଫୁଲା 2. ଫୁଲା 3. ଉଦ୍ଗୀରଣ 4. ଫୁଲା |,1. கொப்புளம் 2. கொப்புளம் 3. வெடிப்பு 4. கொப்புளம்
ନୀଳ ବିପ୍ଳବ |,நீல புரட்சி
ପ୍ଲାନାର୍ ହିଟିଂ ଚାମ୍ବର |,பிளானர் வெப்பமூட்டும் அறை
ପ୍ଲାନାର୍ ଗରମ ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |,பிளானர் வெப்பமாக்கல் தொழில்நுட்பம்
କଞ୍ଚା |,தவிடு
ଶାଖା,கிளைகள்
1. ଟ୍ୱିଗ୍ 2. ସବବ୍ରାଞ୍ଚ |,1. கிளை 2. துணைக் கிளை
ପ୍ରଜାତି,இனம்
ପ୍ରଜନନ,இனப்பெருக்கம்
ଶୀଘ୍ର ଅଙ୍କୁର ଚିକିତ୍ସା |,ஆரம்ப முளைப்பு சிகிச்சை
1. ଘନ 2. ଅଣ୍ଡା 3. ଭ୍ରୁଣ |,1. குட்டி 2. முட்டை 3. கரு
ଅଙ୍କୁରିତ |,துளிர்க்கிறது
ବଜେଟ୍,பட்ஜெட்
1. ଆମ୍ଫୋଟେରିକ୍ 2. ବଫର୍ |,1.ஆம்போடெரிக் 2. தாங்கல்
ମିଠା ଆଳୁ,இனிப்பு உருளைக்கிழங்கு
ବଣ୍ଟ (ରୋଗ),பன்ட் (நோய்)
1. ଉପ-ଉତ୍ପାଦ 2. ଉପ-ଉତ୍ପାଦ |,1. துணை தயாரிப்பு 2. துணை தயாரிப்பு
c ଆର୍ଦ୍ରତା ନିର୍ଦ୍ଦିଷ୍ଟ ବକ୍ର,c ஈரப்பதம் விவரக்குறிப்பு வளைவு
ତେଲ କେକ୍ |,எண்ணெய் கேக்
1. ଚୂନ 2. କ୍ୟାଲସିୟମ୍ |,1. சுண்ணாம்பு 2. கால்சியம்
କାଲସିଅନ୍ |,கால்சியன்
ଫସଫେଟ୍ ଅପସାରଣ |,பாஸ்பேட் நீக்கம்
1. କିନାଟା 2. କାଲାଟା |,1. கினாட்டா 2. கலாட்டா
1. କଲସ୍ 2. କିରଣ,1.காலஸ் 2. கதிர்
1. କବରଗୁଡିକ 2. କାଲିକ୍ସ |,1. செப்பல்ஸ் 2. கேலிக்ஸ்
ବାହ୍ୟ ଶେଷ,வெளிப்புற முடிவு
ଏଡା,எதா
କର୍କଟ (ଜୀବାଣୁ),புற்றுநோய் (பாக்டீரியா நோய்)
କ୍ୟାନିଂ |,பதப்படுத்தல்
ଆକାଶ,வானம்
ଅର୍ଥ,நிதி
ପ୍ରଦୂଷଣ (ଡିମ୍ବିରି),மகரந்தச் சேர்க்கை (அத்திப்பழங்கள்)
1. କ୍ୟାପସୁଲ୍ 2. କ୍ୟାପସୁଲ୍ 3. କ୍ୟାପସୁଲ୍ |,1. காப்ஸ்யூல் 2. காப்ஸ்யூல் 3. கேப்சூல்
ଅଙ୍ଗାରକାମ୍ଳ |,கார்பனேற்றப்பட்டது
ଅଙ୍ଗାରକାମ୍ଳ |,கார்பனான்
କାରାପେସ୍ |,கார்பேஸ்
ବ୍ରେସଲେଟ୍,வளையல்
1. କାଷ୍ଟିଂ (ଲୁହା) 2. କିସିପି (କୀଟ),1. வார்ப்பு (இரும்பு) 2. க்ஷிப்தி (பூச்சி)
କାଟାବୋଲିଜିମ୍ |,வினையூக்கம்
ପ୍ରେରଣା,தூண்டுதல்
1. କୀଟପିଲା 2. କୀଟପିଲା |,1. கம்பளிப்பூச்சி 2. கம்பளிப்பூச்சி
c d। N. a। ସଂଗ୍ରହ,c d. என். அ. சேகரிப்பு
ପରିସର,சரகம்
1. କକ୍ଷ 2. କକ୍ଷ,1. செல் 2. செல்
କେନ୍ଦ୍ରୀୟ ସାମ୍ନା ବ୍ୟବସ୍ଥା |,மத்திய முன் அமைப்பு
1. ବିନ୍ଦୁ 2. ଧ୍ୟାନ |,1. புள்ளி 2. கவனம்
ସେଣ୍ଟ୍ରିଫୁଗେସନ୍ |,மையவிலக்கு
ସେଣ୍ଟ୍ରିଫୁଗ୍,மையவிலக்கு
ତାରା କେନ୍ଦ୍ର |,நட்சத்திர மையம்
epigenetic,எபிஜெனெடிக்
କେନ୍ଦୁ ra ର,கேந்திரராஜா
ଲୁମ୍,தறி
1. ଶସ୍ୟ 2. କ୍ରମିକ |,1. தானியம் 2. தொடர்
1. ପ୍ରମାଣପତ୍ର 2. ପ୍ରମାଣପତ୍ର,1. சான்றிதழ் 2. சான்றிதழ்
ପ୍ରମାଣିତ ବିହନ |,சான்றளிக்கப்பட்ட விதை
1. ନଡ଼ା 2. କୁଟି 3. ଶାଲକ ସାହାପାତ୍ର |,1. வைக்கோல் 2. குட்டி 3. ஷலாக் சஹாபத்ரா
1. ନିବାଗ 2. କ ail ଲାଜା |,1. நிபாக் 2. கைலாஜா
ଚିମୋଗ୍ରାଫି,கைமோகிராபி
1. କିଆଜମା 2. ବ୍ୟସ୍ତ,1. கியாஸ்மா 2. பிஸி
ସୁପରକୋଲିଂ ଘଣ୍ଟା |,supercooling மணி
ବରଫର କ୍ଷତି |,உறைபனி சேதம்
1. ଭିଚିରୋଟାକି 2. ଚିମେରା |,1. விசிரோடகி 2. சிமேரா
ସବୁଜ ପୋଖରୀ |,பச்சை கஞ்சி
1. ପତ୍ର 2. ସବୁଜ,1. தழை 2. பச்சை
ସିଆନୋସିସ୍ |,சயனோசிஸ்
ଜ bi ବିକ ବଣ୍ଟନ ବିଜ୍ science ାନ |,உயிரியல் விநியோக அறிவியல்
1. କ୍ରୋମାଟିଡସ୍ 2. ଅଧା କ୍ରୋମୋଜୋମ୍ |,1. குரோமாடிட்ஸ் 2. அரை குரோமோசோம்கள்
କ୍ରୋମାଟିନ୍,குரோமடின்
କ୍ରୋମାଟୋଗ୍ରାଫି |,குரோமடோகிராபி
କ୍ରୋମାଟିନେସନ୍,நிறமாற்றம்
atrial point,ஏட்ரியல் புள்ளி
କ୍ରୋମାଟୋଜେନେସିସ୍,நிறமூர்த்தம்
1. କ୍ରୋମୋପ୍ରୋଟେନ୍ 2. ପିଗମେଣ୍ଟ୍ରୋଟିନ୍ |,1. குரோமோபுரோட்டீன் 2. நிறமி புரதம்
1. କ୍ରୋମୋଜୋମ୍ 2. କ୍ରୋମୋଜୋମ୍ |,1. குரோமோசோம்கள் 2. குரோமோசோம்கள்
1. କ୍ରନିକ୍ 2. କ୍ରନିକ୍ 3. କ୍ରନିକ୍ 4. ପୁରୁଣା |,1. நாள்பட்ட 2. நாள்பட்ட 3. நாள்பட்ட 4. வழக்கற்று
citrange,சிட்ரேஞ்ச்
ପତିତପାବନ ପର୍ବ |,இலையுதிர் திருவிழா
ବର୍ଗୀକରଣ,வகைப்பாடு
1. ମାଟି 2. ମାଟି,1. களிமண் 2. களிமண்
1. ସଫା କରିବା 2. ସ୍କ୍ରବିଂ 3. ସଫା କରିବା 4. ଶୁଦ୍ଧତା |,1. சுத்தம் செய்தல் 2. ஸ்க்ரப்பிங் 3. சுத்தம் செய்தல் 4. சுத்திகரிப்பு
ସ୍ଥାୟୀ ପ୍ରଦୂଷଣ |,தொடர்ந்து மகரந்த சேர்க்கை
କ୍ରୁଶବିହୀନ ଫଳ |,சிலுவை பழம்
ଜଳବାୟୁ,காலநிலை
ଜଳବାୟୁ,காலநிலையியல்
କେଶ,வெட்டு
ଗୁଣ୍ଡ (ମାଟି),கட்டி (களிமண்)
କ୍ଲୋନ୍ |,குளோன்
1. କ୍ଲାଉଡ୍ 2. କ୍ଲାଉଡ୍ |,1.மேகங்கள் 2.மேகங்கள்
ump ୁଲା |,கொத்து
ଗୁଣ୍ଡ |,கொத்து
1. କଠିନ 2. ରୁଗ୍ 3. କଞ୍ଚା 4. ରୁଗ୍ |,1. கரடுமுரடான 2. கரடுமுரடான 3. கச்சா 4. கரடுமுரடான
1. କଭର 2. ଚମଡା,1. கவர் 2. leatherette
କୋୟା,கோயா
1. କୋଏନଜାଇମ୍ 2. କୋ-ଏନଜାଇମ୍ |,1. கோஎன்சைம் 2. கோ-என்சைம்
ମିଳନ,ஒற்றுமை
1. ଫାଇବର (ଜୁଟ୍ ଜଟ୍) 2. ନଡିଆ ନଡିଆ |,1. நார்ச்சத்து (சணல் சணல்) 2. தேங்காய் கரடுமுரடானது
ମୁଲାନକୁର ଚୋଲା |,மூலங்கூர் சோழன்
,
କୋଲଏଡ୍ (ମାଟି),கொலாய்டு (மண்)
1. ସ୍ତମ୍ଭ 2. କଲୁମେଲା,1.நெடுவரிசை 2.கொலுமல்லா
1. ଦଣ୍ଡ 2. ସ୍ତମ୍ଭ 3. ସ୍ତମ୍ଭ,1. தண்டனை 2. நெடுவரிசை 3. நெடுவரிசை
ଯୋଗାଯୋଗ,ஒற்றுமை
ବାଣିଜ୍ୟିକ ବ୍ୟାଙ୍କ |,வணிக வங்கி
1. ଦ୍ରବ୍ୟ 2. ବାଣିଜ୍ୟ,1. சரக்கு 2. வணிகப் பொருட்கள்
ସମ୍ପ୍ରଦାୟ,சமூக
ସଙ୍କୋଚନ (ମାଟିର),சுருக்கம் (மண்)
1. ସୁସଙ୍ଗତତା 2. ସୁସଙ୍ଗତତା |,1. இணக்கம் 2. இணக்கம்
ସୁସଙ୍ଗତତା,பொருந்தக்கூடிய தன்மை
1. କ୍ଷତିପୂରଣ 2. କ୍ଷତିପୂରଣ,1. இழப்பீடு 2. இழப்பீடு
ପ୍ରତିଯୋଗିତାମୂଳକ ପାରସ୍ପରିକ କ୍ରିୟା |,போட்டி தொடர்பு
ଫସଲ ସପ୍ଲିମେଣ୍ଟ କରନ୍ତୁ |,துணை பயிர்
1. କମ୍ପୋଜିଟ୍ 2. କମ୍ପ୍ଲେକ୍ସ,1.கலவை 2. சிக்கலானது
ବିଧାନସଭା,தொகுதி
ରଚନା,கலவை
କମ୍ପୋଷ୍ଟ,உரம்
ଯ ound ଗିକ ଆଗ୍ରହ |,கூட்டு வட்டி
ଗଣନା,கணக்கீடு
1. କମ୍ପ୍ୟୁଟର 2. କମ୍ପ୍ୟୁଟର,1. கணினி 2. கணினி
1. ଏକାଗ୍ରତା 2. ଏକାଗ୍ରତା,1. செறிவு 2. செறிவு
1. ଅପ୍ଟିମାଇଜର୍ 2. ପୁନର୍ଜୀବନ,1. Optimizer 2. Revitalizer
କଣ୍ଡକ୍ଟିଭିଟି,கடத்துத்திறன்
