Bengali,Odiya
অ্যাক্সেস,ପ୍ରବେଶ
অ্যাক্সেস আর্ম,ଆକ୍ସେସ୍ ବାହୁ
অ্যাক্সেস ব্যবস্থা,ପ୍ରବେଶ ବ୍ୟବସ୍ଥା
অ্যাক্সেস কর্তৃপক্ষ,ପ୍ରବେଶ କର ପ୍ରାଧିକରଣ
অ্যাক্সেস চার্জ,ପ୍ରବେଶ ଚାର୍ଜ
অ্যাক্সেস ক্লাস,ଶ୍ରେଣୀ ଶ୍ରେଣୀ
অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট,ଡାଟା ବେସ୍ ମ୍ୟାନେଜମେଣ୍ଟକୁ ପ୍ରବେଶ କରନ୍ତୁ |
অ্যাক্সেস পরিবেশ,ପ୍ରବେଶ ପରିବେଶ ସେବା
অ্যাক্সেস ফাঁক,ଫାଗ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
অ্যাক্সেস সূচক,ପ୍ରବେଶ ସୂଚକାଙ୍କ
অ্যাক্সেস লাইন,ଆକ୍ସେସ୍ ଲାଇନ୍ |
অ্যাক্সেস প্রক্রিয়া,ମେକାନିଜିମ୍ ଆକ୍ସେସ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
অ্যাক্সেস পদ্ধতি,ପ୍ରବେଶ ପଦ୍ଧତି
অ্যাক্সেস পদ্ধতির রুটিন,ଆକ୍ସେସ୍ ପଦ୍ଧତି ରୁଟିନ୍ |
অ্যাক্সেস মোড,ପ୍ରବେଶ ମୋଡ୍
এক্সেস অধিকার,ଅଧିକାର ପ୍ରବେଶ
অ্যাক্সেস স্ক্যান,ପ୍ରବେଶ ସ୍କାନ
প্রবেশাধিকার সময়,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
অ্যাকাউন্টিং,ହିସାବ
অ্যাকাউন্টিং ফিনান্স সিস্টেম,ହିସାବ ଆର୍ଥିକ ବ୍ୟବସ୍ଥା
অ্যাকাউন্টিং মেশিন,ହିସାବ ଯନ୍ତ୍ର
হিসাব নাম্বার,ଖାତା ସଂଖ୍ୟା
প্রজননকারী জমে,ପୁନର୍ବାର ଜମା କରିବା |
জমে,ଆକ୍ୟୁମୁଲେଟର
সংগ্রহকারী রেজিস্টার,ଆକ୍ୟୁମୁଲେଟର ରେଜିଷ୍ଟର |
সংগ্রহকারী শিফট নির্দেশনা,ଆକ୍ୟୁମୁଲେଟର ସିଫ୍ଟ ନିର୍ଦ୍ଦେଶ |
সঠিকতা,ସଠିକତା
নির্ভুলতা নিয়ন্ত্রণ চরিত্র,ସଠିକତା ନିୟନ୍ତ୍ରଣ ଚରିତ୍ର |
নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা,ସଠିକତା ନିୟନ୍ତ୍ରଣ ବ୍ୟବସ୍ଥା |
এস পাইলট,Ace ପାଇଲଟ୍ |
চরিত্র স্বীকৃতি,ସ୍ୱୀକାର କରନ୍ତୁ ବର୍ଣ୍ଣ
অ্যাকোস্টিক কাপলার,ଆକାଶବାଣୀ କପତର୍ |
অ্যাকোস্টিক কাপলিং,ଆକାଶବାଣୀ କଣ୍ଟା |
অ্যাকোস্টিক বিলম্ব লাইন,ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |
অ্যাকোস্টিক মেমরি,ଆକାଶବାଣୀ ସ୍ମୃତି
অ্যাকোস্টিক মডেম,ଆକାଶବାଣୀ ମୋଡେମ୍ |
অ্যাকোস্টিক সিগন্যাল,ଆକାଶବାଣୀ ସଙ୍କେତ |
অ্যাকোস্টিক স্টোরেজ,ଆକାଶବାଣୀ ସଂରକ୍ଷଣ |
সংক্ষিপ্ত বিবরণ,ଆକ୍ରୋନିମ୍ |
কর্ম,କାର୍ଯ୍ୟ
অ্যাকশন চক্র,କ୍ରିୟା ଚକ୍ର
অ্যাকশন লাইন,କ୍ରିୟା ରେଖା
অ্যাকশন বার্তা,କ୍ରିୟା ବାର୍ତ୍ତା
ক্রিয়া স্পেসিফিকেশন,କାର୍ଯ୍ୟ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |
অ্যাক্টিভেশন,ସକ୍ରିୟକରଣ
সক্রিয়,ସକ୍ରିୟ
সক্রিয় ফাইল,ସକ୍ରିୟ ଫାଇଲ
সক্রিয় লাইন,ସକ୍ରିୟ ରେଖା
সক্রিয় লিঙ্ক,ସକ୍ରିୟ ଲିଙ୍କ୍ |
সক্রিয় মাস্টার ফাইল,ସକ୍ରିୟ ମାଷ୍ଟର ଫାଇଲ |
সক্রিয় মাস্টার আইটেম,ସକ୍ରିୟ ମାଷ୍ଟର ଆଇଟମ୍ |
সক্রিয় স্যাটেলাইট,ସକ୍ରିୟ ଉପଗ୍ରହ |
সক্রিয় স্টেশন,ସକ୍ରିୟ ଷ୍ଟେସନ
সক্রিয় স্টোরেজ,ସକ୍ରିୟ ସଂରକ୍ଷଣ
ক্রিয়াকলাপ,କାର୍ଯ୍ୟକଳାପ
কর্মকান্ডের পর্যায়,କାର୍ଯ୍ୟକଳାପ ସ୍ତର
ক্রিয়াকলাপ লোড হচ্ছে,କାର୍ଯ୍ୟକଳାପ ଲୋଡିଂ
ক্রিয়াকলাপ অনুপাত,କାର୍ଯ୍ୟକଳାପ ଅନୁପାତ
আসল ঠিকানা (= পরম ঠিকানা),ପ୍ରକୃତ ଠିକଣା (= ସଂପୂର୍ଣ୍ଣ ଠିକଣା)
আসল কোড (= পরম কোড),ପ୍ରକୃତ କୋଡ୍ (= ସଂପୂର୍ଣ୍ଣ କୋଡ୍)
প্রকৃত ডেটা স্থানান্তর হার,ପ୍ରକୃତ ଡାଟା ସ୍ଥାନାନ୍ତର ହାର |
আসল দশমিক পয়েন্ট,ପ୍ରକୃତ ଦଶମିକ ବିନ୍ଦୁ |
প্রকৃত নির্দেশ (= কার্যকর নির্দেশ),ପ୍ରକୃତ ନିର୍ଦ୍ଦେଶ (= ପ୍ରଭାବଶାଳୀ ନିର୍ଦ୍ଦେଶ)
আসল কী,ପ୍ରକୃତ ଚାବି |
প্রকৃত সময়,ପ୍ରକୃତ ସମୟ
আসল কাজের সময়,ପ୍ରକୃତ କାର୍ଯ୍ୟ ସମୟ
অ্যাকিউটিং সিগন্যাল,କାର୍ଯ୍ୟକ୍ଷମ ସଙ୍କେତ
অভিযোজনযোগ্যতা,ଅନୁକେତ
অ্যাডাপ্টার,ଆଡାପ୍ଟର
অভিযোজিত চ্যানেল বরাদ্দ,ଆଡାପ୍ଟିଭ୍ ଚ୍ୟାନେଲ୍ ଆବଣ୍ଟନ |
অভিযোজিত সংহতকরণ,ଆଡାପ୍ଟିଭ୍ ଇଣ୍ଟିଗ୍ରେସନ୍ |
অভিযোজিত ট্রান্সভার্সাল ইকুয়ালাইজার,ଆଡାପ୍ଟିଭ୍ ଟ୍ରାନ୍ସଭର୍ସାଲ୍ ସମାନତା |
যুক্ত এন্ট্রি,ପ୍ରବେଶ ଯୋଗ କରାଯାଇଛି |
সংযোজন,ଯୋଡି
সংযোজন,ଆଡର୍
অ্যাডার সাবট্র্যাক্টর,ଆଡର୍ ସବଟ୍ରାକ୍ଟର |
ফাইল যুক্ত কর,ଫାଇଲ୍ ଯୋଡନ୍ତୁ
অতিরিক্ত চরিত্র (= বিশেষ চরিত্র),ଅତିରିକ୍ତ ଅକ୍ଷର (= ବିଶେଷ ଅକ୍ଷର)
সংযোজন রেকর্ডার,ଯୋଗ ରେକର୍ଡ |
সংযোজন টেবিল,ଯୋଗ ଉପକରଣ
সংযোজন বৈশিষ্ট্য,ଯୋଗୀ ଗୁଣ
মোড যুক্ত করুন,ମୋଡ୍ ଯୋଡନ୍ତୁ
অপারেশন যুক্ত করুন,ଅପରେସନ୍ ଯୋଡନ୍ତୁ |
ঠিকানা,ଠିକଣା
ঠিকানা পরিমাপ,ଠିକଣା ମାପ ମାପ |
ঠিকানাযোগ্য অনুভূমিক অবস্থান,ଠିକଣା ଯୋଗ୍ୟ ଭୂସମାନ୍ତର ସ୍ଥିତି |
ঠিকানাযোগ্য পয়েন্ট,ଠିକଣା ଯୋଗ୍ୟ ବିନ୍ଦୁ |
ঠিকানাযোগ্য অবস্থান,ଠିକଣା ଯୋଗ୍ୟ ଅବସ୍ଥାନ |
ঠিকানাযোগ্য নিবন্ধ,ଠିକଣା ଯୋଗ୍ୟ ରେଜିଷ୍ଟର |
ঠিকানাযোগ্য স্টোরেজ,ଠିକଣା ଯୋଗ୍ୟ ଷ୍ଟୋରେଜ
ঠিকানাযোগ্য উল্লম্ব অবস্থান,ଠିକଣା ଭୂଲମ୍ବ ସ୍ଥିତି |
ঠিকানা বাস,ଠିକଣା ବସ୍
ঠিকানা কোড,ଠିକଣା କୋଡ୍
ঠিকানা তুলনামূলক,ଠିକଣା ତୁଳସୀତି
ঠিকানা গণনা,ଠିକଣା ଗଣନା
ধ্রুবক ঠিকানা,ସ୍ଥିର ଠିକଣା
ঠিকানা রূপান্তর,ଠିକଣା କନଭର୍ସନ୍ |
ঠিকানা ডেটা,ଠିକଣା ତଥ୍ୟ
সম্বোধন স্মৃতি,ଠିକଣା ମେମୋରୀ |
ঠিকানা কার্যকর,ଠିକଣା ପ୍ରଭାବଶାଳୀ |
ঠিকানা ক্ষেত্র,ଠିକଣା କ୍ଷେତ୍ର
ঠিকানা ফর্ম্যাট,ଠିକଣା ଫର୍ମାଟ୍
ঠিকানা বিনামূল্যে প্রোগ্রাম,ଠିକଣା ମାଗଣା ପ୍ରୋଗ୍ରାମ୍ |
সম্বোধন,ଠିକଣା
"সম্বোধন
 চরিত্র","ଠିକଣା
 ବର୍ଣ୍ଣ"
বাধা সম্বোধন,ବାଧା ଠିକଣା
লুপ সম্বোধন,ଲୁପ୍ ଠିକଣା
ভার্চুয়াল মেমরি সম্বোধন,ଭର୍ଚୁଆଲ୍ ମେମୋରୀ ଠିକଣା
ঠিকানা ইন্টারল্যাকিং,ଠିକଣା ଅନ୍ତରାପଳୀ
ঠিকানাহীন নির্দেশাবলী ফর্ম্যাট,ଠିକଣାହୀନ ନିର୍ଦ୍ଦେଶ ଫର୍ମାଟ୍ |
ঠিকানা লাইন,ଠିକଣା ରେଖା
ঠিকানা ম্যাপিং,ଠିକଣା ମ୍ୟାପିଙ୍ଗ
ঠিকানা চিহ্ন,ଠିକଣା ଚିହ୍ନ
ঠিকানা পরিবর্তন,ଠିକଣା ପରିବର୍ତ୍ତନ
ঠিকানা অংশ,ଠିକଣା ଅଂଶ
ঠিকানা পয়েন্টার,ଠିକଣା ସୂଚକ
ঠিকানা রেজিস্টার,ଠିକଣା ରେଜିଷ୍ଟର |
ঠিকানা সংকেত,ଠିକଣା ସଙ୍କେତ
ঠিকানা আকার,ଠିକଣା ଆକାର
ঠিকানা স্থান,ଠିକଣା ସ୍ଥାନ
ঠিকানা স্পেস আইডেন্টিফায়ার,ଠିକଣା ସ୍ପେସ୍ ପରିଚାୟକ |
ঠিকানা স্টপ,ଠିକଣା ଷ୍ଟପ୍
ঠিকানা ট্রেস,ଠିକଣା ଚିହ୍ନ
ঠিকানা ট্র্যাক,ଠିକଣା ଟ୍ରାକ୍
ঠিকানা অনুবাদ,ଠିକଣା ଅନୁବାଦ
ঠিকানা অনুবাদক,ଠିକଣା ଅନୁବାଦକ
বিয়োগের সময় যোগ করুন,ଯୋଡନ୍ତୁ-ସବଟ୍ରାକ୍ଟ ଟାଇମ୍ |
সময় যোগ করুন,ସମୟ ଯୋଡନ୍ତୁ |
সংলগ্নতা,ସଂଲଗ୍ନ
সংলগ্ন কাঠামো,ସଂଲଗ୍ନ structure ାଞ୍ଚା |
সংলগ্ন চ্যানেল,ସଂଲଗ୍ନ ଚ୍ୟାନେଲ |
সংলগ্ন ডোমেন,ସଂଲଗ୍ନ ଡୋମେନ୍ |
সংলগ্ন ম্যাট্রিক্স,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
সংলগ্ন নোড,ସଂଲଗ୍ନ ନୋଡ୍ |
সংলগ্ন সুবেরিয়া,ସଂଲଗ୍ନ ସୁବିରା |
স্থগিত (সিস্টেম),Adjone (ସିଷ୍ଟମ୍)
সামঞ্জস্য করুন,ଆଡଜଷ୍ଟ କରନ୍ତୁ |
সামঞ্জস্যযোগ্য মাত্রা,ନିୟନ୍ତ୍ରିତ ପରିମାଣ
পাঠ্য মোড সামঞ্জস্য করুন,ପାଠ୍ୟ ମୋଡ୍ ଆଡଜଷ୍ଟ କରନ୍ତୁ |
প্রশাসনিক ডেটা প্রসেসিং,ପ୍ରଶାସନିକ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
প্রশাসনিক অপারেশন,ପ୍ରଶାସନିକ କାର୍ଯ୍ୟ
প্রশাসনিক অপারেটর,ପ୍ରଶାସନିକ ଅପରେଟର |
প্রশাসনিক অপারেটর স্টেশন,ପ୍ରଶାସନିକ ଅପରେଟର୍ ଷ୍ଟେସନ୍ |
প্রশাসনিক সহায়তা সিস্টেম,ପ୍ରଶାସନିକ ସମର୍ଥନ ସିଷ୍ଟମ୍ |
উন্নত যোগাযোগ পরিষেবা,ଉନ୍ନତ ଯୋଗାଯୋଗ ସେବା |
উন্নত তথ্য সিস্টেম,ଉନ୍ନତ ସୂଚନା ସିଷ୍ଟମ୍ |
উন্নত অপটিক্যাল চরিত্র পাঠক,ଅପ୍ଟିକାଲ୍ ବର୍ଣ୍ଣ ରିଡର୍ |
উন্নত বৈজ্ঞানিক কম্পিউটার,ଉନ୍ନତ ବ scientific ଜ୍ଞାନିକ କମ୍ପ୍ୟୁଟର |
এরিয়াল,ବାୟୁ
সমষ্টি,ସମୁଦାୟ
সামগ্রিক অভিব্যক্তি,ସମୁଦାୟ ଅଭିବ୍ୟକ୍ତି |
লক্ষ্য বৃত্ত,ଲକ୍ଷ୍ୟ ସର୍କଲ୍ |
লক্ষ্য ক্ষেত্র (= লক্ষ্য প্রতীক),ଲକ୍ଷ୍ୟ କ୍ଷେତ୍ର (= ଲକ୍ଷ୍ୟ କରୁଥିବା ପ୍ରତୀକ)
লক্ষ্য প্রতীক,ଲକ୍ଷ୍ୟମୂଳକ ପ୍ରତୀକ
বায়ুবাহিত কম্পিউটার সিস্টেম,ଏୟାରବୋର୍ନ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |
বীজগণিত ইগেনভ্যালু সমস্যা,ବୀଜେବ୍ରିକ୍ ଇଗେନ୍ଭିଲ୍ ସମସ୍ୟା ସମସ୍ୟା |
"বীজগণিত
 মিশ্রণ","ବ el ୍ଜନିକ୍ |
 ଏକୀକରଣ"
বীজগণিত ভাষা,ବଗିଳିନିକ୍ ଭାଷା |
বীজগণিত হেরফের,ବୀଜେବ୍ରିକ୍ ମନିପୁଲେସନ୍ |
বীজগণিত ম্যানিপুলেশন ভাষা,Algebric ମନିପୁଲେସନ୍ ଭାଷା |
বীজগণিতমুখী ভাষা,ବୀଜେବ୍ରିକ୍ ଆଧାରିତ ଭାଷା |
বীজগণিত শিফট,ଆଲଜେବ୍ରିକ୍ ସିଫ୍ଟ |
বীজগণিত সাইন কনভেনশন,ଆଲଜେବ୍ରିକ୍ ଚିହ୍ନ ସମ୍ମିଳନୀ |
অ্যালগল,ଆଲଗୋଲ୍ |
অ্যালগল বৈশিষ্ট্য,ଆଲଗୋଲ ବ feature ଶିଷ୍ଟ୍ୟ |
অ্যালগল প্রোগ্রামিং,Algol ପ୍ରୋଗ୍ରାମିଂ |
অ্যালগরিদম,ଆଲଗୋରିଦମ
অ্যালগরিদম সহযোগী ভাষা,ଆଲଗୋରିଦମ ଆସୋସିଟିଭ୍ ଭାଷା |
অ্যালগরিদম শ্রেণিবিন্যাস,ଆଲଗୋରିଦମ ବର୍ଗୀକରଣ |
অ্যালগরিদম জটিলতা,ଆଲଗୋରିଦମ ଜଟିଳତା |
অ্যালগরিদম গণনাযোগ্যতা,ଆଲଗୋରିଦମ ଗଣନା |
অ্যালগরিদমিক বিশ্লেষণ,ଆଲଗୋରିଥେମିକ୍ ବିଶ୍ଳେଷଣ |
অ্যালগরিদমিক পদ্ধতির,ଆଲଗୋରିଥମିକ୍ ଆଭିମୁଖ୍ୟ |
অ্যালগরিদমিক ভাষা,ଆଲଗୋରିଥମିକ୍ ଭାଷା |
অ্যালগরিদমিক রুটিন,ଆଲଗୋରିଥେମିକ୍ ରୁଟିନ୍ |
অ্যালগরিদমিক তত্ত্ব,ଆଲଗୋରିଥେମିକ୍ ସିଦ୍ଧାନ୍ତ |
ওরফে,ଛଦ୍ମନାମ
এলিয়াসিং,ଛଦ୍ମନାମ
ওরফে নাম (= বিকল্প নাম),ଛଦ୍ମନାମ ନାମ (= ​​ବିକଳ୍ପ ନାମ)
প্রান্তিককরণ,ପରିଚାଳିତ
বরাদ্দ,ବଣ୍ଟନ କରନ୍ତୁ |
বরাদ্দ কাঠামো,ଆବଣ୍ଟନ ସଂରଚନା |
সমস্ত উদ্দেশ্যমূলক কম্পিউটার,ସମସ୍ତ ଉଦ୍ଦେଶ୍ୟମୂଳକ କମ୍ପ୍ୟୁଟର |
বর্ণমালা চরিত্র,ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ
বর্ণমালা চরিত্র সেট,ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ ସେଟ୍ |
বর্ণমালা চরিত্রের সাবসেট,ବର୍ଣ୍ଣମାଳା ଅକ୍ଷର ସବ୍ |
বর্ণমালা কোড,ବର୍ଣ୍ଣମାଳା କୋଡ୍
বর্ণমালা শিফট,ବର୍ଣ୍ଣମାଳା ଶିଫ୍ଟ |
বর্ণমালা স্ট্রিং,ବର୍ଣ୍ଣମାଳା ଷ୍ଟ୍ରିଙ୍ଗ୍ |
বর্ণমালা শব্দ,ବର୍ଣ୍ଣମାଳା ଶବ୍ଦ
বর্ণমালা,ବର୍ଣ୍ଣମାଳା
আলফেজোমেট্রিক্স,ଆଲଫେମେଟ୍ରିକ୍ସ
বর্ণমালা,ଆଲଫାମ୍
আলফামোসাইক,ଆଲଫାମାସିକ୍ |
বর্ণমালা,ବର୍ଣ୍ଣମାଳା
আলফানুমারিকাল কীবোর্ড ডিভাইস,ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍ ଉପକରଣ |
আলফানিউমেরিক চরিত্র সেট,ବର୍ଣ୍ଣମାଳା ଅକ୍ଷର ସେଟ୍ |
আলফানিউমেরিক কোড,ବର୍ଣ୍ଣମାଳା କୋଡ୍
আলফানিউমেরিক কোডেড চরিত্র সেট,ବର୍ଣ୍ଣମାଳା କୋଡେଡ୍ ଅକ୍ଷର ସେଟ୍ |
আলফানিউমেরিক ডেটা,ବର୍ଣ୍ଣମାଳା ତଥ୍ୟ |
আলফানিউমেরিক ডিসপ্লে ডিভাইস,ବର୍ଣ୍ଣମାଳା ପ୍ରଦର୍ଶନ ଉପକରଣ |
আলফানিউমেরিক সম্পাদিত চরিত্র,ବର୍ଣ୍ଣମାଳା ସମ୍ପାଦିତ ବର୍ଣ୍ଣ |
আলফানিউমেরিক ফিল্ড,ବର୍ଣ୍ଣମାଳା କ୍ଷେତ୍ର
বর্ণমালা নির্দেশ,ବର୍ଣ୍ଣମାଳା ନିର୍ଦ୍ଦେଶ
আলফানিউমেরিক কীবোর্ড,ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍ |
আলফানিউমেরিক বাছাই,ବର୍ଣ୍ଣମାଳା ପ୍ରକାର |
আলফানিউমেরিক স্টোরেজ,ବର୍ଣ୍ଣମାଳା ଷ୍ଟୋରେଜ୍ |
পরিবর্তনযোগ্য মেমরি,ବିକୃତ ସ୍ମୃତି
পরিবর্তন সুইচ,ପରିବର୍ତ୍ତନ ସୁଇଚ୍ |
পরিবর্তন,ପରିବର୍ତ୍ତନ
পরিবর্তন মোড,ପରିବର୍ତ୍ତନ ମୋଡ୍
বিকল্প পুনরুদ্ধার,ଅନ୍ୟ ପୁନରୁଦ୍ଧାର
বিকল্প রুট,ବିକଳ୍ପ ମାର୍ଗ
বিকল্প রাউটিং,ଅନ୍ୟ ଧାତାଳ
বিকল্প ট্র্যাক,ବିକଳ୍ପ ଟ୍ରାକ୍
বিকল্প (= বা অপারেশন),ବିକଳ୍ପ (= କିମ୍ବା ଅପରେସନ୍)
বিকল্প বৈশিষ্ট্য,ବିକଳ୍ପ ଗୁଣ
বিকল্প অস্বীকার (= না-অপারেশন),ବିକଳ୍ପ ଅସ୍ୱୀକାର (= ନୁହେଁ-ଏବଂ ଅପରେସନ୍)
অস্পষ্টতা ত্রুটি,ଅସ୍ପଷ୍ଟତା ତ୍ରୁଟି |
অস্পষ্ট রেফারেন্স,ଅସ୍ପଷ୍ଟ ରେଫରେନ୍ସ |
অ্যানালগ,ଆନାଗଲଗ୍ |
অ্যানালগ অ্যাডার,ଆନାଗଲ୍ ଆଡର୍ |
অ্যানালগ চ্যানেল,ଆନାଗଲ୍ ଚ୍ୟାନେଲ୍ |
অ্যানালগ কম্পিউটার,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
অ্যানালগ রূপান্তরকারী,ଆନାଗଲ୍ କନଭର୍ଟର |
অ্যানালগ ডেটা,ଆନାଗଲ୍ ଡାଟା |
অ্যানালগ বিভাজক,ଆନାଗଲ୍ ଡିଭାଇଡର୍ |
অ্যানালগ সুবিধা টার্মিনাল,ଆନାଗଲ୍ ସୁବିଧା ଟର୍ମିନାଲ୍ |
"অ্যানালগ ফাংশন
 জেনারেটর","ଆନାଗଲ୍ ଫଙ୍କସନ୍ |
 ଜେନେରେଟର"
অ্যানালগ ইন্টিগ্রেশন,ଆନାଗଲ୍ ଏକୀକରଣ |
অ্যানালগ গুণক,ଆନାଗଲ୍ ମଲ୍ଟିୱାର୍ଡ |
অ্যানালগ প্রোগ্রামিং,ଆନାଗଲ୍ ପ୍ରୋଗ୍ରାମିଂ |
অ্যানালগ স্কেলিং,ଆନାଗଲ୍ ସ୍କେଲିଂ |
এনালগ সংকেত,ଆନାଗଲ୍ ସିଗନାଲ୍ |
অ্যানালগ সিমুলেশন,ଆନାଗଲ୍ ସିମୁଲେସନ୍
অ্যানালগ সুইচ,ଆନାଗଲ୍ ସୁଇଚ୍ |
অ্যানালগ সিস্টেম,ଆନାଗୋଲଗ୍ ସିଷ୍ଟମ୍ |
"ডিজিটাল অ্যানালগ
 রূপান্তরকারী","ଅନୁରୂପ କରିବାକୁ ଅନୁରୂପ |
 Convercer"
"ডিজিটাল অ্যানালগ
 এনকোডার","ଅନୁରୂପ କରିବାକୁ ଅନୁରୂପ |
 ଏନକୋଡର୍ |"
অ্যানালগ সংক্রমণ,ଆନାଗଲ୍ ଟ୍ରାନ୍ସମିସନ୍ |
অ্যানালগ প্রকার,ଆନାଗଲ୍ ପ୍ରକାର |
বিশ্লেষণ ব্লক,ବିଶ୍ଳେଷଣ କ୍ଷେତ୍ର
বিশ্লেষণ মোড,ବିଶ୍ଳେଷଣ ମୋଡ୍ |
বিশ্লেষণাত্মক ইঞ্জিন,ଆନାଲିଟିକାଲ୍ ଇଞ୍ଜିନ୍ |
পৈতৃক কাজ,ପ ancest ତୃକ କାର୍ଯ୍ୟ |
আনুষঙ্গিক সরঞ্জাম,ଆନୁଷଙ୍ଗିକ ଉପକରଣ |
এবং,ଏବଂ
এবং সার্কিট,ଏବଂ ସର୍କିଟ |
এবং উপাদান,ଏବଂ ଉପାଦାନ |
এবং গেট,ଏବଂ ଫାଟକ
এবং মাস্কিং,ଏବଂ ମାସ୍କିଂ |
এবং অপারেশন নয় (= বর্জন,ଏବଂ ଅପରେସନ୍ ନୁହେଁ (= ବହିଷ୍କାର |
এবং অপারেশন,ଏବଂ ଅପରେସନ୍ |
সংযুক্তি স্মৃতি,ଆନେକ୍ସ ମେମୋରୀ |
টীকা,ଟିପ୍ପଣୀ
ঘোষণা,ଆନୁଷରାତ
উত্তর পাঠাও,ଉତ୍ତର ଦିଅ
উত্তর দেরি,ବିଳମ୍ବର ଉତ୍ତର ଦିଅ |
উত্তর সময়,ସମୟର ଉତ୍ତର ଦେବା
উত্তর প্রদীপ,ଉତ୍ତର ପ୍ରଦୀପ
উত্তর তালিকা,ଉତ୍ତର ତାଲିକା
শুধুমাত্র উত্তর,କେବଳ ଉତ୍ତର ଦିଅ
প্রত্যাশা মোড,ପ୍ରତୀକ୍ଷା ମୋଡ୍ |
প্রত্যাশিত বাফারিং,ଆଣ୍ଟିସାଇପେଟୋରୀ ବଫର୍ |
প্রত্যাশিত বহন,ଆଣ୍ଟିସାଇପେଟୋରୀ ବହନ
প্রত্যাশিত পেজিং,ଆଣ୍ଟିସାଇପେଟୋରୀ ପେଜିଂ |
অ্যান্টিকোয়েনসেন্স অপারেশন,ଆଣ୍ଟିକୋସିସିସିସିସିସିସିଡିସନ୍ ଅପରେସନ୍ |
অ্যান্টিকোইনসেন্টেন্ট উপাদান,ଆଣ୍ଟିକିନସିଡିସିଡିସେଡିସିଡି ଉପାଦାନ |
অ্যাপেরিওডিক অ্যান্টেনা,Ampegoiedent ଆଣ୍ଟେନା |
অ্যাপারচার কার্ড,ଆପେଚର କାର୍ଡ |
অ্যাপারচার কোড,ଆପେଚର କୋଡ୍ |
অ্যাপারচার সময়,ଆପେଚର ସମୟ |
সংযোজন,ଅନୁକ୍ରମଣିକା
অ্যাপেন্ডেজ টাস্ক,ଅନୁକ୍ରମଣିକା କାର୍ଯ୍ୟ |
অ্যাপ্লিকেশন ডেভেলপার,ପ୍ରୟୋଗ ବିକାଶକାରୀ |
আবেদন স্তর,ପ୍ରୟୋଗ ସ୍ତର
