Telugu,Malayalam
సంచిత షిఫ్ట్ సూచన,സഞ്ചിത ഷിഫ്റ്റ് നിർദ്ദേശം
ఖచ్చితత్వం,കൃതത
ఖచ్చితత్వ నియంత్రణ పాత్ర,കൃത്യത നിയന്ത്രണ പ്രതീകം
ఖచ్చితత్వ నియంత్రణ వ్యవస్థ,കൃത്യത നിയന്ത്രണ സംവിധാനം
ఏస్ పైలట్,എയ്സ് പൈലറ്റ്
పాత్రను గుర్తించండి,പ്രതീകം അംഗീകരിക്കുക
ఎకౌస్టిక్ కప్లర్,അക്കോസ്റ്റിക് കപ്ലർ
శబ్ద కలపడం,അക്കോസ്റ്റിക് കപ്ലിംഗ്
శబ్ద ఆలస్యం రేఖ,അക്ക ou സ്റ്റിക് കാലതാമസം
శబ్ద జ్ఞాపకశక్తి,അക്കോസ്റ്റിക് മെമ്മറി
ఎకౌస్టిక్ మోడెమ్,അക്കോസ്റ്റിക് മോഡം
శబ్ద సిగ్నల్,അക്കോസ്റ്റിക് സിഗ്നൽ
శబ్ద నిల్వ,അക്ക ou സ്റ്റിക് സ്റ്റോറേജ്
ఎక్రోనిం,സംക്ഷേപം
చర్య,പവര്ത്തി
చర్య చక్రం,പ്രവർത്തന ചക്രം
యాక్షన్ లైన్,ആക്ഷൻ ലൈൻ
చర్య సందేశం,ആക്ഷൻ സന്ദേശം
చర్య స్పెసిఫికేషన్,പ്രവർത്തന സവിശേഷത
క్రియాశీలత,സജീവമാക്കല്
క్రియాశీల,സജീവമായ
యాక్టివ్ ఫైల్,സജീവ ഫയൽ
యాక్టివ్ లైన్,സജീവ ലൈൻ
క్రియాశీల లింక్,സജീവ ലിങ്ക്
యాక్టివ్ మాస్టర్ ఫైల్,സജീവ മാസ്റ്റർ ഫയൽ
యాక్టివ్ మాస్టర్ ఐటెమ్,സജീവ മാസ്റ്റർ ഇനം
క్రియాశీల ఉపగ్రహం,സജീവ ഉപഗ്രഹം
యాక్టివ్ స్టేషన్,സജീവ സ്റ്റേഷൻ
క్రియాశీల నిల్వ,സജീവ സംഭരണം
కార్యాచరణ,പ്രവർത്തനം
కార్యాచరణ స్థాయి,പ്രവർത്തന നില
కార్యాచరణ లోడింగ్,പ്രവർത്തന ലോഡിംഗ്
కార్యాచరణ నిష్పత్తి,പ്രവർത്തന അനുപാതം
వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా),യഥാർത്ഥ വിലാസം (= കേവല വിലാസം)
వాస్తవ కోడ్ (= సంపూర్ణ కోడ్),യഥാർത്ഥ കോഡ് (= കേവല കോഡ്)
వాస్తవ డేటా బదిలీ రేటు,യഥാർത്ഥ ഡാറ്റ കൈമാറ്റ നിരക്ക്
వాస్తవ దశాంశ బిందువు,യഥാർത്ഥ ദശാംശസ്ഥാനം
వాస్తవ సూచన (= ప్రభావవంతమైన సూచన),യഥാർത്ഥ നിർദ്ദേശം (= ഫലപ്രദമായ നിർദ്ദേശം)
అసలు కీ,യഥാർത്ഥ കീ
అసలు సమయం,യഥാർത്ഥ സമയം
వాస్తవ పని సమయం,യഥാർത്ഥ ജോലി സമയം
సిగ్నల్ యాక్చువేటింగ్,ആരംഭിക്കുന്ന സിഗ്നൽ
అనుకూలత,പൊരുത്തപ്പെടലി
అడాప్టర్,അഡാപ്റ്റർ
అడాప్టివ్ ఛానల్ కేటాయింపు,അഡാപ്റ്റീവ് ചാനൽ അനുവദിക്കൽ
అడాప్టివ్ ఇంటిగ్రేషన్,അഡാപ്റ്റീവ് ഇന്റഗ്രേഷൻ
అడాప్టివ్ ట్రాన్స్వర్సల్ ఈక్వలైజర్,അഡാപ്റ്റീവ് ട്രാൻസ്വേഴ്സ് ഇക്വൈസർ
ఎంట్రీ జోడించబడింది,എൻട്രി ചേർത്തു
అనుబంధం,കൂട്ടിച്ചേര്ക്കുക
Adder,ആംഗം
అడెర్ సబ్‌ట్రాక్టర్,എ ഷട്രക്റ്റർ
ఫైల్ జోడించండి,ഫയൽ ചേർക്കുക
అదనపు అక్షరం (= ప్రత్యేక అక్షరం),അധിക പ്രതീകം (= പ്രത്യേക പ്രതീകം)
అదనంగా రికార్డర్,ബഹുമതി
అదనంగా పట్టిక,കൂട്ടിച്ചേർക്കലാ പട്ടിക
సంకలిత లక్షణం,അഡിറ്റീവ് ആട്രിബ്യൂട്ട്
మోడ్‌ను జోడించండి,മോഡ് ചേർക്കുക
ఆపరేషన్ జోడించండి,പ്രവർത്തനം ചേർക്കുക
చిరునామా,അഭിസംബോധന ചെയ്യുക
చిరునామా కొలత,വിലാസ നടപടി
చిరునామా క్షితిజ సమాంతర స్థానం,അഭിസംബോധന ചെയ്യാവുന്ന തിരശ്ചീന സ്ഥാനം
చిరునామా పాయింట్,വിലാസ പോയിന്റ്
చిరునామా స్థానం,അഭിസംബോധന ചെയ്യാവുന്ന സ്ഥാനം
చిరునామా రిజిస్టర్,വിലാസ രജിസ്റ്റർ
చిరునామా నిల్వ,വിലാസ സംഭരണം
చిరునామా నిలువు స్థానం,അഭിസംബോധന ചെയ്യാവുന്ന ലംബ സ്ഥാനം
చిరునామా బస్సు,വിലാസ ബസ്
చిరునామా కోడ్,വിലാസ കോഡ്
చిరునామా కంపారిటర్,വിലാസ താരതമ്യക്കാരൻ
చిరునామా గణన,വിലാസ കണക്കുകൂട്ടൽ
చిరునామా స్థిరాంకం,വിലാസ സ്ഥിരത
చిరునామా మార్పిడి,വിലാസ പരിവർത്തനം
చిరునామా డేటా,വിലാസ ഡാറ്റ
చిరునామా మెమరీ,മെമ്മറി അഭിസംബോധന ചെയ്തു
చిరునామా ప్రభావవంతంగా ఉంటుంది,വിലാസ ഫലപ്രദമാണ്
చిరునామా ఫీల్డ్,വിലാസ ഫീൽഡ്
చిరునామా ఆకృతి,വിലാസ ഫോർമാറ്റ്
చిరునామా ఉచిత ప్రోగ్రామ్,വിലാസ സ contry ജന്യ പ്രോഗ്രാം
చిరునామా,അഭിസംബോധന
"చిరునామా
 పాత్ర","അഭിസംബോധന
 കഥാപാതം"
అంతరాయాన్ని పరిష్కరించడం,അഭിസംബോധന ഇന്ററപ്റ്റ്
చిరునామా లూప్,വിലാസം ലൂപ്പ്
వర్చువల్ మెమరీని పరిష్కరించడం,വെർച്വൽ മെമ്മറി അഭിസംബോധന ചെയ്യുന്നു
చిరునామా ఇంటర్లేసింగ్,വിലാസം ഇന്റർലേസിംഗ്
చిరునామా లేని సూచనల ఆకృతి,വിലാസരഹിതമായ നിർദ്ദേശങ്ങൾ ഫോർമാറ്റ്
చిరునామా లైన్,വിലാസ ലൈൻ
చిరునామా మ్యాపింగ్,വിലാസ മാപ്പിംഗ്
చిరునామా గుర్తు,വിലാസ അടയാളം
చిరునామా మార్పు,വിലാസ പരിഷ്ക്കരണം
చిరునామా భాగం,വിലാസ ഭാഗം
చిరునామా పాయింటర్,വിലാസം പോയിന്റർ
చిరునామా రిజిస్టర్,വിലാസ രജിസ്റ്റർ
చిరునామా సిగ్నల్,വിലാസ സിഗ്നൽ
చిరునామా పరిమాణం,വിലാസ വലുപ്പം
చిరునామా స్థలం,വിലാസ ഇടം
చిరునామా స్పేస్ ఐడెంటిఫైయర్,വിലാസ ബഹിരാകാശ ഐഡന്റിഫയർ
చిరునామా స్టాప్,വിലാസ സ്റ്റോപ്പ്
చిరునామా ట్రేస్,വിലാസ ട്രെയ്സ്
చిరునామా ట్రాక్,വിലാസ ട്രാക്ക്
చిరునామా అనువాదం,വിവർത്തനം വിവർത്തനം ചെയ്യുക
చిరునామా అనువాదకుడు,വിലാസ പരിഭാഷകന്
జోడించు-ఉపశమనం సమయం,ചേർക്കുക-കുറയ്ക്കുക സമയം
సమయాన్ని జోడించండి,സമയം ചേർക്കുക
ప్రక్కనే,വാര്ത്താവകം
ప్రక్కనే ఉన్న నిర్మాణం,അഡ്ജഞ്ചൻസിൻസ് ഘടന
ప్రక్కనే ఉన్న ఛానల్,തൊട്ടടുത്തുള്ള ചാനൽ
ప్రక్కనే ఉన్న డొమైన్,അടുത്തുള്ള ഡൊമെയ്ൻ
ప్రక్కనే ఉన్న మాతృక,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
ప్రక్కనే ఉన్న నోడ్,തൊട്ടടുത്തുള്ള നോഡ്
ప్రక్కనే ఉన్న సబ్‌యారియా,തൊട്ടടുത്തുള്ള സുബരിയ
అడ్జాయింట్ (సిస్టమ్),കസ്റ്റേഴ്സ് (സിസ്റ്റം)
సర్దుబాటు,കമപ്പെടുത്തുക
సర్దుబాటు పరిధి,ക്രമീകരിക്കാവുന്ന പരിധി
టెక్స్ట్ మోడ్‌ను సర్దుబాటు చేయండి,ടെക്സ്റ്റ് മോഡ് ക്രമീകരിക്കുക
అడ్మినిస్ట్రేటివ్ డేటా ప్రాసెసింగ్,അഡ്മിനിസ്ട്രേറ്റീവ് ഡാറ്റ പ്രോസസ്സിംഗ്
పరిపాలనా ఆపరేషన్,അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം
అడ్మినిస్ట్రేటివ్ ఆపరేటర్,അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ
అడ్మినిస్ట్రేటివ్ ఆపరేటర్ స్టేషన్,അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ സ്റ്റേഷൻ
పరిపాలనా మద్దతు వ్యవస్థ,അഡ്മിനിസ്ട്രേറ്റീവ് സപ്പോർട്ട് സിസ്റ്റം
అధునాతన కమ్యూనికేషన్ సేవ,നൂതന ആശയവിനിമയ സേവനം
అధునాతన సమాచార వ్యవస్థ,വിപുലമായ വിവര സിസ്റ്റം
అధునాతనమైన ఆప్టికల్ క్యారెక్టర్ రీడర్,വിപുലമായ ഒപ്റ്റിക്കൽ പ്രതീക റീഡർ
అధునాతన శాస్త్రీయ కంప్యూటర్,വിപുലമായ ശാസ്ത്ര കമ്പ്യൂട്ടർ
ఆకాశయాన,ഏരിയൽ
మొత్తం,ആകെത്തുകയായുള്ള
మొత్తం వ్యక్తీకరణ,മൊത്തം എക്സ്പ്രഷൻ
లక్ష్య వృత్తం,ലക്ഷ്യമിടുന്നു
లక్ష్యం ఫీల్డ్ (= లక్ష్యం చిహ్నం),ലക്ഷ്യമിടുന്ന ഫീൽഡ് (= ലക്ഷ്യമിടുന്നത്)
లక్ష్యం చిహ్నం,എഡിയൽ ചിഹ്നം
వాయుమార్గాన కంప్యూటర్ వ్యవస్థ,എയർബോൺ കമ്പ്യൂട്ടർ സിസ്റ്റം
బీజగణిత ఈజెన్వాల్యూ సమస్య,ബീജഗണിത ഐജൻവാലു പ്രശ്നം
"బీజగణితం
 అనుసంధానం","ബീജഗണിത
 സംയോജനം"
బీజగణిత భాష,ബീജഗണിത ഭാഷ
బీజగణిత మానిప్యులేషన్,ബീജഗണിത കൃത്രിമത്വം
బీజగణిత మానిప్యులేషన్ భాష,ബീജഗണിത കൃത്രിമ ഭാഷ
బీజగణిత ఆధారిత భాష,ബീജഗണിത ഓറിയന്റഡ് ഭാഷ
బీజగణిత షిఫ్ట్,ബീജഗണിത മാറ്റം
బీజగణిత సంకేత సమావేశం,ബീജഗണിത ചിഹ്ന കൺവെൻഷൻ
ఆల్గోల్,അൽഗോൾ
ఆల్గోల్ ఫీచర్,അൽഗോൾ സവിശേഷത
ఆల్గోల్ ప్రోగ్రామింగ్,അൽഗോൾ പ്രോഗ്രാമിംഗ്
అల్గోరిథం,അൽഗോരിതം
అల్గోరిథం అసోసియేటివ్ లాంగ్వేజ్,അൽഗോരിതം അസോസിയേറ്റീവ് ഭാഷ
అల్గోరిథం వర్గీకరణ,അൽഗോരിതം വർഗ്ഗീകരണം
అల్గోరిథం సంక్లిష్టత,അൽഗോരിതം സങ്കീർണ്ണത
అల్గోరిథం కంప్యూటబిలిటీ,അൽഗോരിതം കേസബിലിറ്റി
అల్గోరిథమిక్ విశ్లేషణ,അൽഗോരിത്ത്മിക് വിശകലനം
అల్గోరిథమిక్ విధానం,അൽഗോരിത്തിസ് സമീപനം
అల్గోరిథమిక్ భాష,അൽഗോറിത്ത്മിക് ഭാഷ
అల్గోరిథమిక్ దినచర్య,അൽഗോരിഥമ്മിക് പതിവ്
అల్గోరిథమిక్ సిద్ధాంతం,അൽഗോരിതംസിക് സിദ്ധാന്തം
అలియాస్,അപരാഭിധാനം
అలియాసింగ్,അപരനാത്മകം
అలియాస్ పేరు (= ప్రత్యామ్నాయ పేరు),അപരനാമം (= ഇതര പേര്)
అమరిక,വിന്യാപകമായ
కేటాయించండి,നീക്കിവയ്ക്കുക
కేటాయింపు నిర్మాణం,അലോക്കേഷൻ ഘടന
ఆల్-పర్పస్ కంప్యూటర్,എല്ലാ ഉദ്ദേശ്യ കമ്പ്യൂട്ടറും
అక్షర పాత్ర,അക്ഷരമാല പ്രതീകം
అక్షర అక్షర సమితి,അക്ഷരമാല പ്രതീക സെറ്റ്
అక్షర అక్షర ఉపసమితి,അക്ഷരമാല പ്രതീക സബ്സെറ്റ്
అక్షర కోడ్,അക്ഷരമാല കോഡ്
అక్షర షిఫ్ట్,അക്ഷരമാല മാറ്റം
అక్షర స్ట్రింగ్,അക്ഷരമാല സ്ട്രിംഗ്
అక్షర పదం,അക്ഷരമാല വാക്ക്
వర్ణమాల,അക്ഷരമാലാളം
ఆల్ఫాజియోమెట్రిక్స్,ആഫറാമോമെട്രിക്സ്
ఆల్ఫామెరిక్,ആഫളാചിക്
ఆల్ఫామోసాయిక్,ആൽഫമോസയ്ക്ക്
ఆల్ఫాన్యూమరిక్,ആൽഫാന്യൂമെറിക്
ఆల్ఫాన్యూమరికల్ కీబోర్డ్ పరికరం,ആൽഫാന്യൂമെറിക്കൽ കീബോർഡ് ഉപകരണം
ఆల్ఫాన్యూమరిక్ క్యారెక్టర్ సెట్,ആൽഫാന്യൂമെറിക് പ്രതീക സെറ്റ്
ఆల్ఫాన్యూమరిక్ కోడ్,ആൽഫാന്യൂമെറിക് കോഡ്
ఆల్ఫాన్యూమరిక్ కోడెడ్ క్యారెక్టర్ సెట్,ആൽഫാന്യൂമെറിക് കോഡ്ഡ് പ്രതീക സെറ്റ്
ఆల్ఫాన్యూమరిక్ డేటా,ആൽഫാന്യൂമെറിക് ഡാറ്റ
ఆల్ఫాన్యూమరిక్ డిస్ప్లే పరికరం,ആൽഫാന്യൂമെറിക് ഡിസ്പ്ലേ ഉപകരണം
ఆల్ఫాన్యూమరిక్ సవరించిన పాత్ర,ആൽഫാന്യൂമെറിക് എഡിറ്റുചെയ്ത പ്രതീകം
ఆల్ఫాన్యూమరిక్ ఫీల్డ్,ആൽഫാന്യൂമെറിക് ഫീൽഡ്
ఆల్ఫాన్యూమరిక్ ఇన్స్ట్రక్షన్,ആൽഫാന്യൂമെറിക് നിർദ്ദേശം
ఆల్ఫాన్యూమరిక్ కీబోర్డ్,ആൽഫാന്യൂമെറിക് കീബോർഡ്
ఆల్ఫాన్యూమరిక్ విధమైన,ആൽഫാന്യൂമെറിക് തരം
ఆల్ఫాన్యూమరిక్ స్టోరేజ్,ആൽഫാന്യൂമെറിക് സംഭരണം
మార్చగల మెమరీ,മാറ്റം വരുത്തുന്നതിന് മെമ്മറി
మార్పు స్విచ్,മാറ്റങ്ങൾ സ്വിച്ച്
మార్చడం,മാറ്റം
ఆల్టర్ మోడ్,മാറ്റ മോഡ്
ప్రత్యామ్నాయ రికవరీ,ഇതര വീണ്ടെടുക്കൽ
ప్రత్యామ్నాయ మార్గం,ഇതര റൂട്ട്
ప్రత్యామ్నాయ రౌటింగ్,ഇതര റൂട്ടിംഗ്
ప్రత్యామ్నాయ ట్రాక్,ഇതര ട്രാക്ക്
ప్రత్యామ్నాయం (= లేదా ఆపరేషన్),ഇതര (= അല്ലെങ്കിൽ പ്രവർത്തനം)
ప్రత్యామ్నాయ లక్షణం,ഇതര ആട്രിബ്യൂട്ട്
ప్రత్యామ్నాయ తిరస్కరణ (= మరియు ఆపరేషన్ కాదు),"ഇതര നിഷേധം (= അല്ല, പ്രവർത്തനം)"
అస్పష్టత లోపం,അവ്യക്തത പിശക്
అస్పష్టమైన సూచన,അവ്യക്തമായ റഫറൻസ്
అనలాగ్,അനാലോഗ്
అనలాగ్ యాడర్,അനലോഗ് അഡെർ
అనలాగ్ ఛానల్,അനലോഗ് ചാനൽ
అనలాగ్ కంప్యూటర్,അനലോഗ് കമ്പ്യൂട്ടർ
అనలాగ్ కన్వర్టర్,അനലോഗ് കൺവെർട്ടർ
అనలాగ్ డేటా,അനലോഗ് ഡാറ്റ
అనలాగ్ డివైడర్,അനലോഗ് ഡിവൈഡർ
అనలాగ్ ఫెసిలిటీ టెర్మినల్,അനലോഗ് ഫെസിലിറ്റി ടെർമിനൽ
"అనలాగ్ ఫంక్షన్
 జనరేటర్","അനലോഗ് ഫംഗ്ഷൻ
 വൈദുതോല്പാദനയന്തം"
అనలాగ్ ఇంటిగ్రేషన్,അനലോഗ് സംയോജനം
అనలాగ్ గుణకం,അനലോഗ് ഗുണിതം
అనలాగ్ ప్రోగ్రామింగ్,അനലോഗ് പ്രോഗ്രാമിംഗ്
అనలాగ్ స్కేలింగ్,അനലോഗ് സ്കെയിലിംഗ്
అనలాగ్ సిగ్నల్,അനലോഗ് സിഗ്നൽ
అనలాగ్ అనుకరణ,അനലോഗ് സിമുലേഷൻ
అనలాగ్ స్విచ్,അനലോഗ് സ്വിച്ച്
అనలాగ్ వ్యవస్థ,അനലോഗ് സിസ്റ്റം
"డిజిటల్‌కు అనలాగ్
 కన్వర్టర్","ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്
 കൺവെർട്ടർ"
"డిజిటల్‌కు అనలాగ్
 ఎన్కోడర్","ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്
 എൻകോഡർ"
అనలాగ్ ట్రాన్స్మిషన్,അനലോഗ് ട്രാൻസ്മിഷൻ
అనలాగ్ రకం,അനലോഗ് തരം
విశ్లేషణ బ్లాక్,വിശകലന ബ്ലോക്ക്
విశ్లేషణ మోడ్,വിശകലന മോഡ്
విశ్లేషణాత్మక ఇంజిన్,അനലിറ്റിക്കൽ എഞ്ചിൻ
పూర్వీకుల పని,പൂർവ്വിക ചുമതല
సహాయక పరికరాలు,അനുബന്ധ ഉപകരണങ്ങൾ
మరియు,ഒപ്പം
మరియు సర్క్యూట్,സർക്യൂട്ട്
మరియు మూలకం,ഘടകവും
మరియు గేట్,ഗേറ്റിലും
మరియు మాస్కింగ్,മാസ്കിംഗ്
మరియు ఆపరేషన్ కాదు (= మినహాయింపు,പ്രവർത്തനമല്ല (= ഒഴിവാക്കൽ
మరియు ఆపరేషన్,പ്രവർത്തനവും
అనెక్స్ మెమరీ,അനെക്സ് മെമ്മറി
ఉల్లేఖనం,വ്യാഖ്യാനിലും
అనన్సియేటర్,Annnuniator
తిరిగి సమాధానం ఇవ్వండి,ഉത്തരം തിരികെ
సమాధానం ఆలస్యం,ഉത്തരം കാലതാമസം
సమయం సమాధానం,ഉത്തരം നൽകുന്നു
సమాధానం దీపం,ഉത്തര വിളക്ക്
జవాబు జాబితా,ഉത്തരം പട്ടിക
సమాధానం మాత్రమే,ഉത്തരം മാത്രം
Ntic హించే మోడ్,പ്രതീക്ഷ മോഡ്
ముందస్తు బఫరింగ్,മുൻകൂട്ടി ബഫറിംഗ്
ముందస్తు క్యారీ,മുൻകൂട്ടി കാരി
ముందస్తు పేజింగ్,മുൻകൂട്ടി പങ്കിടൽ
ప్రతిస్కందకం ఆపరేషన్,ആന്റിക്കോസിൻസ് പ്രവർത്തനം
ప్రతిస్కందకం మూలకం,Anticoicient ഘടകം
అపెరియోడిక్ యాంటెన్నా,അപ്രൈയോഡിക് ആന്റിന
ఎపర్చరు కార్డు,അപ്പർച്ചർ കാർഡ്
ఎపర్చరు కోడ్,അപ്പർച്ചർ കോഡ്
ఎపర్చరు సమయం,അപ്പർച്ചർ സമയം
అనుబంధం,അനുബന്ധം
అనుబంధ పని,അനുബന്ധ ചുമതല
అప్లికేషన్ డెవలపర్,അപ്ലിക്കേഷൻ ഡെവലപ്പർ
అప్లికేషన్ లేయర్,ആപ്ലിക്കേഷൻ ലെയർ
అప్లికేషన్ ఓరియెంటెడ్ లాంగ్వేజ్,ആപ്ലിക്കേഷൻ ഓറിയന്റഡ് ഭാഷ
అప్లికేషన్ ప్యాకేజీ,ആപ്ലിക്കേഷൻ പാക്കേജ്
అప్లికేషన్ ప్రోగ్రామ్,അപ്ലിക്കേഷൻ പ്രോഗ്രാം
అప్లికేషన్ ప్రోగ్రామింగ్,അപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്
అప్లికేషన్ అవసరం భాష,അപേക്ഷ ആവശ്യമായ ഭാഷ
అప్లికేషన్ సాఫ్ట్‌వేర్,അപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ
అప్లిక్,പേഷൻ
ఉజ్జాయింపు సిద్ధాంతం,ഏകദേശ സിദ്ധാന്തം
ఏకపక్ష ప్రాప్యత,അനിയന്ത്രിതമായ പ്രവേശനം
ఏకపక్ష సీక్వెన్స్ కంప్యూటర్,അനിയന്ത്രിതമായ ശ്രേണി കമ്പ്യൂട്ടർ
మధ్యవర్తిత్వ,മാദ്ധസ്ഥം
వాస్తుశిల్పం,വാസ്തുവിദ
ఆర్కైవింగ్,ശേഖരം
స్థల సంకేతం,ഏരിയ കോഡ്
ప్రాంత శోధన,ഏരിയ തിരയൽ
ప్రాంత బదిలీ,ഏരിയ കൈമാറ്റം
ఏరియా వేరియబుల్,ഏരിയ വേരിയബിൾ
వాదన,വാദം
ఆర్గ్యుమెంట్ చిరునామా,വാദം വിലാസം
ఆర్గ్యుమెంట్ జాబితా,ആർദ്ര ലിസ്റ്റ്
అంకగణిత బోధన,അരിറ്റെറ്റിക്കൽ നിർദ്ദേശം
అంకగణిత మరియు అంకగణిత విభాగం,"അരിത്മെറ്റിക്, ലോജിക് യൂണിറ്റ്"
అంకగణిత అసైన్‌మెంట్ స్టేట్మెంట్,അരിത്മെറ്റിക് അസൈൻമെന്റ് സ്റ്റേറ്റ്മെന്റ്
అంకగణిత చెక్,ഗണിത പരിശോധന
అంకగణిత స్థిరాంకం,അരിത്മെറ്റിക് സ്ഥിരാങ്കം
అంకగణిత మార్పిడి,അരിത്മെറ്റിക് പരിവർത്തനം
అంకగణిత డేటా,അരിത്മെറ്റിക് ഡാറ്റ
అంకగణిత మినహాయింపు,ഗണിത അപവാദം
అంకగణిత వ్యక్తీకరణ,അരിത്മെറ്റിക് എക്സ്പ്രഷൻ
అంకగణిత స్థిర బిందువు,അരിത്മെറ്റിക് നിശ്ചിത പോയിന്റ്
అంకగణిత సోపానక్రమం,അരിത്മെറ്റിക് ശ്രേണി
అంకగణితం ఉంటే స్టేట్మెంట్,പ്രസ്താവനയാണെങ്കിൽ അരിത്മെറ്റിക്
అంకగణిత తర్కం,അരിത്മെറ്റിക് ലോജിക്
అంకగణిత లాజిక్ యూనిట్,അരിത്മെറ്റിക് ലോജിക് യൂണിറ്റ്
అంకగణిత ఆపరేషన్,അരിത്മെറ്റിക് പ്രവർത്തനം
అంకగణిత ఆపరేటర్,അരിത്മെറ്റിക് ഓപ്പറേറ്റർ
అంకగణిత ఓవర్ఫ్లో,അരിത്മെറ്റിക് ഓവർഫ്ലോ
అంకగణిత చిత్ర డేటా,അരിത്മെറ്റിക് പിക്ചർ ഡാറ്റ
అంకగణిత ప్రాధాన్యత,ഗണിത മുൻഗണന
అంకగణిత ప్రాధమిక,അരിത്മെറ്റിക് പ്രൈമറി
అంకగణిత రిజిస్టర్,അരിത്മെറ്റിക് രജിസ്റ്റർ
అంకగణిత సంబంధం,അരിത്മെറ്റിക് ബന്ധം
అంకగణిత స్కాన్,അരിത്മെറ്റിക് സ്കാൻ
అంకగణిత విభాగం,അരിത്മെറ്റിക് വിഭാഗം
అంకగణిత మార్పు,അരിത്മെറ്റിക് ഷിഫ്റ്റ്
అంకగణిత బదిలీ,അരിത്മെറ്റിക് ഷിഫ്റ്റിംഗ്
అంకగణిత ప్రకటన,ഗണിത പ്രസ്താവന
అంకగణిత పదం,അരിത്മെറ്റിക് ടേം
అంకగణిత అండర్ఫ్లో,അരിത്മെറ്റിക് അണ്ടർഫ്ലോ
అంకగణిత యూనిట్,അരിത്മെറ്റിക് യൂണിറ്റ്
అమరిక,ശേണി
