Assamese,Kannada
বিকল্প ফলাফল,ಪರ್ಯಾಯ ಫಲಿತಾಂಶ
এনালগ-টু-ডিজিটেল ৰূপান্তৰক,ಅನಲಾಗ್-ಟು-ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ
এনালগ কম্পিউটাৰ,ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
বিশ্লেষণ,ವಿಶ್ಲೇಷಣೆ
সহাৱস্থানৰ বিশ্লেষণ,ಸಹವರ್ತಿತ್ವದ ವಿಶ್ಲೇಷಣೆ
গণনা তথ্যৰ বিশ্লেষণ,ಎಣಿಕೆಯ ಡೇಟಾದ ವಿಶ್ಲೇಷಣೆ
ভ্যাৰিয়েন্সৰ বিশ্লেষণ,ವ್ಯತ್ಯಾಸದ ವಿಶ್ಲೇಷಣೆ
বিশ্লেষণাত্মক জ্যামিতি,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಜ್ಯಾಮಿತಿ
বিশ্লেষণাত্মক কাৰ্য্য,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಕಾರ್ಯ
কোণ,ಕೋನ
সংস্পৰ্শৰ কোণ,ಸಂಪರ್ಕದ ಕೋನ
বিচ্যুতিৰ কোণ,ವಿಚಲನ ಕೋನ
বিষণ্ণতাৰ কোণ,ಖಿನ್ನತೆಯ ಕೋನ
বিচ্যুতিৰ কোণ,ವಿಚಲನ ಕೋನ
বিবৰ্তনৰ কোণ,ವಿವರ್ತನೆಯ ಕೋನ
উচ্চতাৰ কোণ,ಎತ್ತರದ ಕೋನ
প্ৰাদুৰ্ভাৱৰ কোণ,ಘಟನೆಯ ಕೋನ
প্ৰক্ষেপণৰ কোণ,ಪ್ರೊಜೆಕ್ಷನ್ ಕೋನ
প্ৰতিফলনৰ কোণ,ಪ್ರತಿಬಿಂಬದ ಕೋನ
বিবৰ্তনৰ কোণ,ವಕ್ರೀಭವನದ ಕೋನ
ঘূৰ্ণনৰ কোণ,ತಿರುಗುವಿಕೆಯ ಕೋನ
মুঠ প্ৰতিফলনৰ কোণ,ಒಟ್ಟು ಪ್ರತಿಫಲನದ ಕೋನ
কৌণিক ত্বৰণ,ಕೋನೀಯ ವೇಗವರ್ಧನೆ
কৌণিক গতি,ಕೋನೀಯ ಚಲನೆ
কৌণিক গতি,ಕೋನೀಯ ವೇಗ
কৌণিক বেগ,ಕೋನೀಯ ವೇಗ
annulus,ವಾರ್ಷಿಕ
উত্তৰ,ಉತ್ತರ
এন্টি – ডেৰাইভেটিভ,ವಿರೋಧಿ ಉತ್ಪನ್ನ
এন্টিচিমেট্ৰিক ফাংচন,ಆಂಟಿಸಿಮೆಟ್ರಿಕ್ ಕಾರ್ಯ
প্ৰযোজ্য,ಅನ್ವಯಿಸುವ
দৰ্খাস্ত,ಅಪ್ಲಿಕೇಶನ್
ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে,ಅನ್ವಯಿಕ ಡೈನಾಮಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
প্ৰয়োগ কৰা জ্যামিতি,ಅನ್ವಯಿಕ ಜ್ಯಾಮಿತಿ
প্ৰয়োগ কৰা গণিত,ಅನ್ವಯಿಕ ಗಣಿತ
প্ৰয়োগ কৰা পৰিসংখ্যা,ಅನ್ವಯಿಕ ಅಂಕಿಅಂಶಗಳು
অনুমানিক,ಸರಿಸುಮಾರು
প্ৰায় অবিৰত ফলন,ಸರಿಸುಮಾರು ನಿರಂತರ ಕಾರ್ಯ
আনুমানিক পদ্ধতি,ಅಂದಾಜು ವಿಧಾನ
আনুমানিক সমাধান,ಅಂದಾಜು ಪರಿಹಾರ
আনুমানিক সমস্যা,ಅಂದಾಜು ಸಮಸ್ಯೆ
আনুমানিক বৈশিষ্ট্য,ಅಂದಾಜು ಆಸ್ತಿ
aptitude পৰীক্ষাৰ বেটাৰী,ಆಪ್ಟಿಟ್ಯೂಡ್ ಟೆಸ್ಟ್ ಬ್ಯಾಟರಿ
আৰ্গাণ্ড ডায়েগ্ৰাম,ಅರ್ಗಾಂಡ್ ರೇಖಾಚಿತ್ರ
ইচ্ছাকৃতভাৱে বাছি লোৱা,ನಿರಂಕುಶವಾಗಿ ಆಯ್ಕೆ ಮಾಡಲಾಗಿದೆ
স্বেচ্ছাচাৰী,ನಿರಂಕುಶ
ইচ্ছাকৃত ধ্ৰুৱক,ಅನಿಯಂತ್ರಿತ ಸ್ಥಿರ
ইচ্ছাকৃত উপাদান,ಅನಿಯಂತ್ರಿತ ಅಂಶ
ইচ্ছাকৃত বিন্দু,ಅನಿಯಂತ್ರಿತ ಬಿಂದು
আৰ্কিমিডিয়ান আইন,ಆರ್ಕೆಮಿಡಿಯನ್ ಕಾನೂನು
আৰ্কিমিডিছ নীতি,ಆರ್ಕಿಮಿಡಿಸ್ ತತ್ವ
চাপৰ দৈৰ্ঘ্য,ಆರ್ಕ್ ಉದ್ದ
বৃত্তৰ চাপ,ವೃತ್ತದ ಚಾಪ
চাপ চাইন বিতৰণ,ಆರ್ಕ್ ಸೈನ್ ವಿತರಣೆ
চাপ চাইন ৰূপান্তৰ,ಆರ್ಕ್ ಸೈನ್ ರೂಪಾಂತರ
এলাকা,ಪ್ರದೇಶ
এৰিয়াল টেক্সচাৰ,ಪ್ರದೇಶದ ವಿನ್ಯಾಸ
জটিল সংখ্যাৰ যুক্তি,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಯ ವಾದ
গাণিতিক গড়,ಅಂಕಗಣಿತದ ಸರಾಸರಿ
গাণিতিক কাৰ্য্য,ಅಂಕಗಣಿತದ ಕಾರ್ಯಾಚರಣೆ
গাণিতিক একক,ಅಂಕಗಣಿತದ ಘಟಕ
ব্যৱস্থা,ವ್ಯವಸ್ಥೆ
এৰে,ಶ್ರೇಣಿ
কৃত্ৰিম উপগ্ৰহ,ಕೃತಕ ಉಪಗ್ರಹ
কৃত্ৰিম চলক,ಕೃತಕ ವೇರಿಯಬಲ್
আৰোহণ কৰা,ಏರು
আৰোহী,ಆರೋಹಣ
মাত্ৰাৰ আৰোহী ক্ৰম,ಪರಿಮಾಣದ ಆರೋಹಣ ಕ್ರಮ
আৰোহী শৃংখলা,ಆರೋಹಣ ಸರಣಿ
এছেম্বলাৰ ভাষা,ಅಸೆಂಬ್ಲರ್ ಭಾಷೆ
নিযুক্তিৰ সমস্যা,ನಿಯೋಜನೆ ಸಮಸ್ಯೆ
সহযোগী আইন,ಸಹಾಯಕ ಕಾನೂನು
অপাৰেটৰৰ এছ&#39;চিয়েটিভ ল&#39;,ನಿರ್ವಾಹಕರ ಸಹಾಯಕ ಕಾನೂನು
এছ&#39;চিয়েটিভ অপাৰেচন,ಸಹಾಯಕ ಕಾರ್ಯಾಚರಣೆ
সহযোগিতা,ಸಹಭಾಗಿತ್ವ
ধৰি লোৱা গড়,ಸರಾಸರಿ ಊಹಿಸಲಾಗಿದೆ
ধাৰণা কৰা সম্ভাৱনা বিতৰণ,ಸಂಭವನೀಯತೆಯ ವಿತರಣೆಯನ್ನು ಊಹಿಸಲಾಗಿದೆ
ধাৰণা,ಊಹೆ
জ্যোতিষ,ಜ್ಯೋತಿಷ್ಯ
মহাকাশ অভিযন্তা,ಗಗನಯಾತ್ರಿ ಇಂಜಿನಿಯರ್
জ্যোতিৰ্বিজ্ঞানী,ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ
জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী,ಖಗೋಳ ಗಡಿಯಾರ
জ্যোতিৰ্বিজ্ঞান,ಖಗೋಳಶಾಸ್ತ್ರ
অসমতাপূৰ্ণ বক্ৰ,ಅಸಮವಾದ ಕರ್ವ್
বিষমতা,ಅಸಿಮ್ಮೆಟ್ರಿ
asymptote,ಲಕ್ಷಣರಹಿತ
এছিম্পটটিক,ಲಕ್ಷಣರಹಿತ
asymptotically দক্ষ অনুমানক,ಲಕ್ಷಣರಹಿತ ಪರಿಣಾಮಕಾರಿ ಅಂದಾಜುಗಾರ
asymptotically নিৰপেক্ষ অনুমানক,ಲಕ್ಷಣರಹಿತವಾಗಿ ನಿಷ್ಪಕ್ಷಪಾತ ಅಂದಾಜುಗಾರ
asymptotic আচৰণ,ಲಕ್ಷಣರಹಿತ ನಡವಳಿಕೆ
এছিম্পটটিক বিতৰণ ফলন,ಲಕ್ಷಣರಹಿತ ವಿತರಣಾ ಕಾರ್ಯ
এছিম্পটটিক প্ৰসাৰণ,ಲಕ್ಷಣರಹಿತ ವಿಸ್ತರಣೆ
বায়ুমণ্ডলীয় চাপ,ವಾತಾವರಣದ ಒತ್ತಡ
যাদৃচ্ছিকভাৱে,ಯಾದೃಚ್ಛಿಕವಾಗಿ
বৈশিষ্ট্য,ಗುಣಲಕ್ಷಣ
বৈশিষ্ট্যসমূহৰ নমুনা সংগ্ৰহ পদ্ধতি,ಮಾದರಿ ವಿಧಾನದ ಗುಣಲಕ್ಷಣಗಳು
বৰ্ধিত মেট্ৰিক্স,ವರ್ಧಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್
স্ব-সম্বন্ধ সহগ,ಸ್ವಯಂ ಸಂಬಂಧ ಗುಣಾಂಕ
স্বয়ংসম্বন্ধ কাৰ্য্য,ಸ್ವಯಂ ಸಂಬಂಧ ಕಾರ್ಯ
অটোকোভেৰিয়েন্স,ಆಟೋಕೋವೇರಿಯನ್ಸ್
স্বয়ংক্ৰিয় কম্পিউটাৰ,ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟರ್
অটোৰিগ্ৰেছন,ಸ್ವಯಂ ಹಿನ್ನಡೆ
সহায়ক সমীকৰণ,ಸಹಾಯಕ ಸಮೀಕರಣ
গড় নমুনা সংখ্যা বক্ৰ (ASN বক্ৰ),ಸರಾಸರಿ ಮಾದರಿ ಸಂಖ್ಯೆ ಕರ್ವ್ (ASN ಕರ್ವ್)
axiom,ಮೂಲತತ್ವ
স্বতন্ত্ৰীয় পদ্ধতি,ಅಕ್ಷೀಯ ವಿಧಾನ
সম্ভাৱনাৰ স্বতন্ত্ৰতা,ಸಂಭವನೀಯತೆಯ ಮೂಲತತ್ವ
অক্ষ,ಅಕ್ಷರೇಖೆ
abscissa ৰ অক্ষ,ಅಬ್ಸಿಸ್ಸಾದ ಅಕ್ಷ
পৃথিৱীৰ অক্ষ,ಭೂಮಿಯ ಅಕ್ಷ
বিপ্লৱৰ অক্ষ,ಕ್ರಾಂತಿಯ ಅಕ್ಷ
ঘূৰ্ণনৰ অক্ষ,ತಿರುಗುವಿಕೆಯ ಅಕ್ಷ
স্পিনৰ অক্ষ,ಸ್ಪಿನ್ ಅಕ್ಷ
বেক-বিকল্প,ಬ್ಯಾಕ್-ಬದಲಿ
পিছপৰা পাৰ্থক্য,ಹಿಂದುಳಿದ ವ್ಯತ್ಯಾಸ
বেকৱাৰ্ড-ইন্টাৰপলেচন সূত্ৰ,ಹಿಂದುಳಿದ-ಪ್ರಕ್ಷೇಪಣ ಸೂತ್ರ
ভাৰসাম্যতা বজাই ৰখা,ಸಮತೋಲನ
সুষম ডিজাইন,ಸಮತೋಲಿತ ವಿನ್ಯಾಸ
বেলেন্স শ্বীট,ಆಯವ್ಯಯ ಪಟ್ಟಿ
বেলিষ্টিক মিছাইল,ಬ್ಯಾಲಿಸ್ಟಿಕ್ ಕ್ಷಿಪಣಿ
বেলিষ্টিকছ,ಬ್ಯಾಲಿಸ್ಟಿಕ್ಸ್
বাৰ,ಬಾರ್
ভেঁটি,ಬೇಸ್
ভিত্তি কোণ,ಮೂಲ ಕೋನ
লগাৰিদমৰ ভিত্তি,ಲಾಗರಿಥಮ್ನ ಆಧಾರ
প্ৰাথমিক,ಮೂಲಭೂತ
মূল সম্ভৱপৰ সমাধান,ಮೂಲ ಕಾರ್ಯಸಾಧ್ಯ ಪರಿಹಾರ
মূল সমাধান,ಮೂಲ ಪರಿಹಾರ
মূল চলক,ಮೂಲ ವೇರಿಯಬಲ್
ভিত্তিত,ಆಧಾರದ
ভিত্তি উপাদান,ಆಧಾರ ಅಂಶ
ভিত্তি মেট্ৰিক্স,ಆಧಾರ ಮ್ಯಾಟ್ರಿಕ್ಸ್
এটা ভেক্টৰ স্থানৰ ভিত্তি,ವೆಕ್ಟರ್ ಜಾಗದ ಆಧಾರ
উপস্থানৰ ভিত্তি,ಉಪಸ್ಥಳದ ಆಧಾರ
বেইছিয়ান অনুমান,ಬೇಸಿಯನ್ ಅಂದಾಜು
বেইছৰ নিয়ম,ಬೇಯ್ಸ್ ಕಾನೂನು
বেইছৰ উপপাদ্য,ಬೇಯಸ್ ಪ್ರಮೇಯ
বাৰ্নৌলি বিতৰণ,ಬರ್ನೌಲ್ಲಿ ವಿತರಣೆ
বাৰ্নৌলি নম্বৰ,ಬರ್ನೌಲ್ಲಿ ಸಂಖ್ಯೆ
বাৰ্নৌলি সম্ভাৱনা ফলন,ಬರ್ನೌಲ್ಲಿ ಸಂಭವನೀಯತೆ ಕಾರ್ಯ
বাৰ্নৌলিৰ সমীকৰণ,ಬರ್ನೌಲಿಯ ಸಮೀಕರಣ
বেৰী ফাংচন,ಬೆರ್ರಿ ಕಾರ್ಯ
বেষ্ট ফিট,ಅತ್ಯುತ್ತಮ ಫಿಟ್
শ্ৰেষ্ঠ - ফিট লাইন,ಅತ್ಯುತ್ತಮ - ಫಿಟ್ ಲೈನ್
উত্তম সমাধান,ಉತ್ತಮ ಪರಿಹಾರ
শ্ৰেষ্ঠ কৌশলসমূহ,ಅತ್ಯುತ್ತಮ ತಂತ್ರಗಳು
বিটা বিতৰণ,ಬೀಟಾ ವಿತರಣೆ
পক্ষপাত,ಪಕ್ಷಪಾತ
পক্ষপাতমূলক অনুমান,ಪಕ್ಷಪಾತದ ಅಂದಾಜು
বিহাৰমনিক সমীকৰণ,ಬೈಹಾರ್ಮೋನಿಕ್ ಸಮೀಕರಣ
bijection,ಬೈಜೆಕ್ಷನ್
bijective মানচিত্ৰ,ಬೈಜೆಕ್ಟಿವ್ ನಕ್ಷೆ
bijective মেপিং,ಬೈಜೆಕ್ಟಿವ್ ಮ್ಯಾಪಿಂಗ್
দ্বিৰৈখিক ৰূপ,ಬೈಲಿನಿಯರ್ ರೂಪ
দ্বিৰৈখিক ফলন,ಬೈಲಿನಿಯರ್ ಕಾರ್ಯ
দ্বিৰৈখিক হাৰ্মিটিয়ান ৰূপ,ಬೈಲಿನಿಯರ್ ಹರ್ಮಿಟಿಯನ್ ರೂಪ
বাইনাৰী,ಅವಳಿ
বাইনাৰী ক&#39;ড,ಬೈನರಿ ಕೋಡ್
বাইনাৰী ক&#39;ড কৰা দশমিক,ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ
বাইনাৰী ক&#39;ডিং,ಬೈನರಿ ಕೋಡಿಂಗ್
বাইনাৰী কম্পিউটাৰ,ಬೈನರಿ ಕಂಪ್ಯೂಟರ್
বাইনাৰী অংক,ದ್ವಿಮಾನ ಅಂಕಿ
বাইনাৰী অপাৰেচন,ಬೈನರಿ ಕಾರ್ಯಾಚರಣೆ
বাইনাৰী ব্যৱস্থা,ಬೈನರಿ ಸಿಸ್ಟಮ್
বাইনাৰী চলক,ಬೈನರಿ ವೇರಿಯಬಲ್
দ্বিপদ সহগ,ದ್ವಿಪದ ಗುಣಾಂಕ
দ্বিপদ বিতৰণ,ದ್ವಿಪದ ವಿತರಣೆ
দ্বিপদ সমীকৰণ,ದ್ವಿಪದ ಸಮೀಕರಣ
দ্বিপদ সম্প্ৰসাৰণ,ದ್ವಿಪದ ವಿಸ್ತರಣೆ
দ্বিপদ অভিব্যক্তি,ದ್ವಿಪದ ಅಭಿವ್ಯಕ್ತಿ
দ্বিপদ ৰেণ্ডম চলক,ದ್ವಿಪದ ಯಾದೃಚ್ಛಿಕ ವೇರಿಯಬಲ್
দ্বিপদ উপপাদ্য,ದ್ವಿಪದ ಪ್ರಮೇಯ
দ্বিখণ্ড,ಇಬ್ಭಾಗ
দ্বিখণ্ডন পদ্ধতি,ವಿಭಜನಾ ವಿಧಾನ
দ্বিখণ্ড,ದ್ವಿಭಾಜಕ
biserial,ಬೈಸೀರಿಯಲ್
বিট,ಸ್ವಲ್ಪ
দ্বিচলকীয় দ্বিপদ বিতৰণ,ದ್ವಿಪದ ದ್ವಿಪದ ವಿತರಣೆ
দ্বিচলকীয় সম্পৰ্ক সহগ,ದ್ವಿಗುಣ ಪರಸ್ಪರ ಸಂಬಂಧ ಗುಣಾಂಕ
দ্বিচলকীয় বিতৰণ,ದ್ವಿಗುಣ ವಿತರಣೆ
দ্বিচলকীয় স্বাভাৱিক বিতৰণ,ದ್ವಿಗುಣ ಸಾಮಾನ್ಯ ವಿತರಣೆ
বাইভেক্টৰ,ಬೈವೆಕ್ಟರ್
বোল্টজমেন সমীকৰণ,ಬೋಲ್ಟ್ಜ್‌ಮನ್ ಸಮೀಕರಣ
বুলিয়ান বীজগণিত,ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ
Bose - আইনষ্টাইন পৰিসংখ্যা,ಬೋಸ್ - ಐನ್ಸ್ಟೈನ್ ಅಂಕಿಅಂಶಗಳು
সীমাৰ অৱস্থা,ಗಡಿ ಸ್ಥಿತಿ
সীমা স্তৰ,ಗಡಿ ಪದರ
সীমাৰেখা,ಗಡಿ ರೇಖೆ
সীমা মূল্য,ಗಡಿ ಮೌಲ್ಯ
সীমা মূল্যৰ সমস্যা,ಗಡಿ ಮೌಲ್ಯದ ಸಮಸ್ಯೆ
সীমাবদ্ধ ফলন,ಸೀಮಿತ ಕಾರ್ಯ
সীমাবদ্ধ মেট্ৰিক্স,ಬೌಂಡೆಡ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್
সীমাবদ্ধ অঞ্চল,ಗಡಿ ಪ್ರದೇಶ
সীমাবদ্ধ ছেট,ಸೀಮಿತ ಸೆಟ್
ব্ৰাউনিয়ান গতি,ಬ್ರೌನಿಯನ್ ಚಲನೆ
গণনা কৰ,ಲೆಕ್ಕಾಚಾರ
গণনা কৰা,ಲೆಕ್ಕಾಚಾರ
গণনা কৰা মেচিন,ಲೆಕ್ಕಾಚಾರ ಯಂತ್ರ
গণনা কৰা,ಲೆಕ್ಕಾಚಾರ
গণনামূলক পদ্ধতি,ಲೆಕ್ಕಾಚಾರದ ಕಾರ್ಯವಿಧಾನ
কেলকুলেটৰ,ಕ್ಯಾಲ್ಕುಲೇಟರ್
কেলকুলাছ,ಕಲನಶಾಸ್ತ್ರ
তাৰতম্যৰ কেলকুলাছ,ವ್ಯತ್ಯಾಸದ ಕಲನಶಾಸ್ತ್ರ
কেলৰি,ಕ್ಯಾಲೋರಿ
বাতিল আইন,ರದ್ದತಿ ಕಾನೂನು
কেননিক সমীকৰণ,ಅಂಗೀಕೃತ ಸಮೀಕರಣ
কেননিক ৰূপ,ಅಂಗೀಕೃತ ರೂಪ
কেননিক মেট্ৰিক্স,ಅಂಗೀಕೃತ ಮ್ಯಾಟ್ರಿಕ್ಸ್
কেন্টৰ ছেট,ಕ್ಯಾಂಟರ್ ಸೆಟ್
কেণ্টৰৰ ত্ৰিমাত্ৰিক চেট,ಕ್ಯಾಂಟರ್‌ನ ತ್ರಯಾತ್ಮಕ ಸೆಟ್
ক্ষমতাসম্পন্ন পৰিবহণ সমস্যা,ಸಾಮರ್ಥ್ಯದ ಸಾರಿಗೆ ಸಮಸ್ಯೆ
ক্ষমতা,ಸಾಮರ್ಥ್ಯ
কেপিলাৰী বল,ಕ್ಯಾಪಿಲ್ಲರಿ ಬಲ
কাৰ্ডিনেল নম্বৰ,ಕಾರ್ಡಿನಲ್ ಸಂಖ್ಯೆ
