English,Punjabi
approximate solution,ਅੰਦਾਜ਼ਨ ਹੱਲ
approximation problem,ਲਗਭਗ ਸਮੱਸਿਆ
approximation property,ਲਗਭਗ ਸੰਪਤੀ
aptitude test battery,ਯੋਗਤਾ ਟੈਸਟ ਬੈਟਰੀ
Argand diagram,Argand ਚਿੱਤਰ
arbitrarily chosen,ਆਪਹੁਦਰੇ ਢੰਗ ਨਾਲ ਚੁਣਿਆ ਗਿਆ ਹੈ
arbitrary,ਮਨਮਾਨੀ
arbitrary constant,ਆਪਹੁਦਰੇ ਸਥਿਰ
arbitrary element,ਆਪਹੁਦਰੇ ਤੱਤ
arbitrary point,ਮਨਮਾਨੀ ਬਿੰਦੂ
Archemedean law,ਆਰਕੀਮੀਡੀਅਨ ਕਾਨੂੰਨ
Archimedes principle,ਆਰਕੀਮੀਡੀਜ਼ ਸਿਧਾਂਤ
arc length,ਚਾਪ ਦੀ ਲੰਬਾਈ
arc of circle,ਚੱਕਰ ਦਾ ਚਾਪ
arc sine distribution,ਚਾਪ ਸਾਇਨ ਵੰਡ
arc sine transformation,ਚਾਪ ਸਾਇਨ ਪਰਿਵਰਤਨ
area,ਖੇਤਰ
areal texture,ਖੇਤਰੀ ਬਣਤਰ
argument of complex number,ਕੰਪਲੈਕਸ ਨੰਬਰ ਦੀ ਦਲੀਲ
arithmetic mean,ਗਣਿਤ ਦਾ ਮਤਲਬ
arithmetic operation,ਗਣਿਤ ਦੀ ਕਾਰਵਾਈ
arithmetic unit,ਗਣਿਤ ਦੀ ਇਕਾਈ
arrangement,ਪ੍ਰਬੰਧ
array,ਐਰੇ
artificial satellite,ਨਕਲੀ ਸੈਟੇਲਾਈਟ
artificial variable,ਨਕਲੀ ਵੇਰੀਏਬਲ
ascend,ਚੜ੍ਹਨਾ
ascending,ਵੱਧਦੇ ਹੋਏ
ascending order of magnitude,ਤੀਬਰਤਾ ਦਾ ਵੱਧਦਾ ਕ੍ਰਮ
ascending series,ਚੜ੍ਹਦੀ ਲੜੀ
assembler language,ਅਸੈਂਬਲਰ ਭਾਸ਼ਾ
assignment problem,ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ
associative law,ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ
associative law of operators,ਆਪਰੇਟਰਾਂ ਦਾ ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ
associative operation,ਸਹਿਯੋਗੀ ਕਾਰਵਾਈ
associativity,ਸੰਗਤ
assumed mean,ਮਤਲਬ ਮੰਨਿਆ
assumed probability distribution,ਅਨੁਮਾਨਿਤ ਸੰਭਾਵਨਾ ਵੰਡ
assumption,ਧਾਰਨਾ
astrology,ਜੋਤਿਸ਼
astronautical engineer,ਪੁਲਾੜ ਵਿਗਿਆਨੀ ਇੰਜੀਨੀਅਰ
astronomer,ਖਗੋਲ ਵਿਗਿਆਨੀ
astronomical clock,ਖਗੋਲੀ ਘੜੀ
astronomy,ਖਗੋਲ ਵਿਗਿਆਨ
asymmetrical curve,ਅਸਮਿਤ ਵਕਰ
asymmetry,ਅਸਮਿਤੀ
asymptote,asymptote
asymptotic,asymptotic
asymptotically efficient estimator,asymptotically ਕੁਸ਼ਲ ਅਨੁਮਾਨਕ
asymptotically unbiased estimator,asymptotically ਨਿਰਪੱਖ ਅਨੁਮਾਨਕ
asymptotic behavior,asymptotic ਵਿਵਹਾਰ
asymptotic distribution function,asymptotic ਵੰਡ ਫੰਕਸ਼ਨ
asymptotic expansion,asymptotic ਵਿਸਥਾਰ
atmospheric pressure,ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ
at random,ਬੇਤਰਤੀਬੇ &#39;ਤੇ
attribute,ਵਿਸ਼ੇਸ਼ਤਾ
attributes sampling procedure,ਗੁਣ ਨਮੂਨਾ ਪ੍ਰਕਿਰਿਆ
augmented matrix,ਵਧੀ ਹੋਈ ਮੈਟਰਿਕਸ
autocorrelation coefficient,ਸਵੈ-ਸੰਬੰਧ ਗੁਣਾਂਕ
autocorrelation function,ਸਵੈ-ਸਬੰਧੀ ਫੰਕਸ਼ਨ
autocovariance,autocovariance
automatic computer,ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਰ
autoregression,ਆਟੋਰਿਗਰੇਸ਼ਨ
auxiliary equation,ਸਹਾਇਕ ਸਮੀਕਰਨ
average sample number curve (A.S.N. Curve),ਔਸਤ ਨਮੂਨਾ ਨੰਬਰ ਵਕਰ (ASN ਕਰਵ)
axiom,axiom
axiomatic approach,ਸਵੈ-ਜੀਵਨੀ ਪਹੁੰਚ
axiom of probability,ਸੰਭਾਵਨਾ ਦਾ axiom
axis,ਧੁਰਾ
axis of abscissa,abscissa ਦਾ ਧੁਰਾ
axis of earth,ਧਰਤੀ ਦੀ ਧੁਰੀ
axis of revolution,ਇਨਕਲਾਬ ਦੀ ਧੁਰੀ
axis of rotation,ਰੋਟੇਸ਼ਨ ਦਾ ਧੁਰਾ
axis of spin,ਸਪਿਨ ਦਾ ਧੁਰਾ
back-substitution,ਵਾਪਸ-ਸਥਾਪਨਾ
backward difference,ਪਿਛਲਾ ਫਰਕ
backward-interpolation formula,ਬੈਕਵਰਡ-ਇੰਟਰਪੋਲੇਸ਼ਨ ਫਾਰਮੂਲਾ
balance,ਸੰਤੁਲਨ
balanced design,ਸੰਤੁਲਿਤ ਡਿਜ਼ਾਈਨ
balance sheet,ਸੰਤੁਲਨ ਸ਼ੀਟ
ballistic missile,ਬੈਲਿਸਟਿਕ ਮਿਜ਼ਾਈਲ
ballistics,ਬੈਲਿਸਟਿਕਸ
bar,ਪੱਟੀ
base,ਅਧਾਰ
base angle,ਅਧਾਰ ਕੋਣ
base of logarithm,ਲਘੂਗਣਕ ਦਾ ਅਧਾਰ
basic,ਬੁਨਿਆਦੀ
basic feasible solution,ਬੁਨਿਆਦੀ ਸੰਭਵ ਹੱਲ
basic solution,ਬੁਨਿਆਦੀ ਹੱਲ
basic variable,ਬੁਨਿਆਦੀ ਵੇਰੀਏਬਲ
basis,ਆਧਾਰ
basis element,ਆਧਾਰ ਤੱਤ
basis matrix,ਆਧਾਰ ਮੈਟਰਿਕਸ
basis of a vector space,ਇੱਕ ਵੈਕਟਰ ਸਪੇਸ ਦਾ ਅਧਾਰ
basis of subspace,ਸਬਸਪੇਸ ਦਾ ਆਧਾਰ
Bayesian estimate,ਬੇਸੀਅਨ ਅੰਦਾਜ਼ਾ
Bayes' law,ਬੇਸ ਦਾ ਕਾਨੂੰਨ
Bayes' theorem,ਬੇਅਸ ਦਾ ਸਿਧਾਂਤ
Bernoulli distribution,ਬਰਨੌਲੀ ਵੰਡ
Bernoulli number,ਬਰਨੌਲੀ ਨੰਬਰ
Bernoulli probability function,ਬਰਨੌਲੀ ਪ੍ਰੋਬੇਬਿਲਟੀ ਫੰਕਸ਼ਨ
Bernoulli's equation,ਬਰਨੌਲੀ ਦਾ ਸਮੀਕਰਨ
Berry function,ਬੇਰੀ ਫੰਕਸ਼ਨ
best fit,ਵਧੀਆ ਫਿੱਟ
best - fit line,ਵਧੀਆ - ਫਿੱਟ ਲਾਈਨ
best solution,ਵਧੀਆ ਹੱਲ
best strategies,ਵਧੀਆ ਰਣਨੀਤੀਆਂ
beta distribution,ਬੀਟਾ ਵੰਡ
bias,ਪੱਖਪਾਤ
biased estimate,ਪੱਖਪਾਤੀ ਅਨੁਮਾਨ
biharmonic equation,biharmonic ਸਮੀਕਰਨ
bijection,ਦੋਭਾਗ
bijective map,ਦੋ-ਪੱਖੀ ਨਕਸ਼ਾ
bijective mapping,ਦੋ-ਪੱਖੀ ਮੈਪਿੰਗ
bilinear form,ਦੋ-ਲੀਨੀਅਰ ਫਾਰਮ
bilinear function,ਦੋ-ਲੀਨੀਅਰ ਫੰਕਸ਼ਨ
bilinear Hermitian form,ਦੋ-ਲੀਨੀਅਰ ਹਰਮੀਟੀਅਨ ਰੂਪ
binary,ਬਾਈਨਰੀ
binary code,ਬਾਈਨਰੀ ਕੋਡ
binary coded decimal,ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ
binary coding,ਬਾਈਨਰੀ ਕੋਡਿੰਗ
binary computer,ਬਾਈਨਰੀ ਕੰਪਿਊਟਰ
binary digit,ਬਾਈਨਰੀ ਅੰਕ
binary operation,ਬਾਈਨਰੀ ਕਾਰਵਾਈ
binary system,ਬਾਈਨਰੀ ਸਿਸਟਮ
binary variable,ਬਾਈਨਰੀ ਵੇਰੀਏਬਲ
binomial coefficient,ਬਾਇਨੋਮੀਅਲ ਗੁਣਾਂਕ
binomial distribution,ਬਾਇਨੋਮੀਅਲ ਵੰਡ
binomial equation,ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ
binomial expansion,ਬਾਇਨੋਮੀਅਲ ਵਿਸਤਾਰ
binomial expression,ਦੋਨੋਮੀ ਸਮੀਕਰਨ
binomial random variable,ਬਾਇਨੋਮੀਅਲ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ
binomial theorem,ਬਾਇਨੋਮੀਅਲ ਥਿਊਰਮ
bisection,ਦੋਭਾਗ
bisection method,ਦੋਭਾਗ ਵਿਧੀ
bisector,ਬਾਈਸੈਕਟਰ
biserial,biserial
bit,ਬਿੱਟ
bivariate binomial distribution,bivariate binomial distribution
bivariate correlation coefficient,ਬਾਇਵਾਰੀਏਟ ਸਹਿ-ਸਬੰਧ ਗੁਣਾਂਕ
bivariate distribution,ਦੋ-ਪੱਖੀ ਵੰਡ
bivariate normal distribution,ਬਾਇਵਰੀਏਟ ਸਧਾਰਣ ਵੰਡ
bivector,bivector
Boltzmann equation,ਬੋਲਟਜ਼ਮੈਨ ਸਮੀਕਰਨ
Boolean algebra,ਬੂਲੀਅਨ ਅਲਜਬਰਾ
Bose - Einstein statistics,ਬੋਸ - ਆਈਨਸਟਾਈਨ ਦੇ ਅੰਕੜੇ
boundary condition,ਸੀਮਾ ਸਥਿਤੀ
boundary layer,ਸੀਮਾ ਪਰਤ
boundary line,ਸੀਮਾ ਰੇਖਾ
boundary value,ਸੀਮਾ ਮੁੱਲ
boundary value problem,ਸੀਮਾ ਮੁੱਲ ਸਮੱਸਿਆ
bounded function,ਸੀਮਾਬੱਧ ਫੰਕਸ਼ਨ
bounded matrix,ਸੀਮਾਬੱਧ ਮੈਟ੍ਰਿਕਸ
bounded region,ਸੀਮਾਬੱਧ ਖੇਤਰ
bounded set,ਸੀਮਾਬੱਧ ਸੈੱਟ
Brownian motion,ਬ੍ਰਾਊਨੀਅਨ ਮੋਸ਼ਨ
calculate,ਗਣਨਾ ਕਰੋ
calculating,ਗਣਨਾ
calculating machine,ਗਣਨਾ ਮਸ਼ੀਨ
calculation,ਗਣਨਾ
calculational procedure,ਗਣਨਾ ਵਿਧੀ
calculator,ਕੈਲਕੁਲੇਟਰ
calculus,ਕੈਲਕੂਲਸ
calculus of variation,ਪਰਿਵਰਤਨ ਦਾ ਕੈਲਕੂਲਸ
calorie,ਕੈਲੋਰੀ
cancellation law,ਰੱਦ ਕਰਨ ਦਾ ਕਾਨੂੰਨ
canonical equation,ਕੈਨੋਨੀਕਲ ਸਮੀਕਰਨ
canonical form,ਕੈਨੋਨੀਕਲ ਰੂਪ
canonical matrix,ਕੈਨੋਨੀਕਲ ਮੈਟ੍ਰਿਕਸ
Cantor set,ਕੈਂਟਰ ਸੈੱਟ
Cantor's ternary set,ਕੈਂਟਰ ਦਾ ਟਰਨਰੀ ਸੈੱਟ
capacitated transportation problem,ਸਮਰੱਥਾ ਵਾਲੀ ਆਵਾਜਾਈ ਦੀ ਸਮੱਸਿਆ
capacity,ਸਮਰੱਥਾ
capillary force,ਕੇਸ਼ਿਕਾ ਬਲ
cardinal number,ਮੁੱਖ ਨੰਬਰ
Cartesian axes,ਕਾਰਟੇਸੀਅਨ ਧੁਰੇ
Cartesian coordinates,ਕਾਰਟੇਸੀਅਨ ਕੋਆਰਡੀਨੇਟਸ
Cartesian product,ਕਾਰਟੇਸੀਅਨ ਉਤਪਾਦ
Cartesian product of sets,ਸੈੱਟਾਂ ਦਾ ਕਾਰਟੇਸ਼ੀਅਨ ਉਤਪਾਦ
case study,ਮਾਮਲੇ &#39;ਦਾ ਅਧਿਐਨ
catastrophic fluctuation,ਘਾਤਕ ਉਤਰਾਅ-ਚੜ੍ਹਾਅ
Catenary,ਕੈਟੇਨਰੀ
Cauchy distribution,ਕੌਚੀ ਵੰਡ
Cauchy formula,ਕੌਚੀ ਫਾਰਮੂਲਾ
Cauchy Goursat theorem,ਕੌਚੀ ਗੌਰਸਤ ਪ੍ਰਮੇਯ
Cauchy Riemann conditions,ਕਾਚੀ ਰੀਮੈਨ ਦੀਆਂ ਸਥਿਤੀਆਂ
Cauchy sequence,ਕਾਚੀ ਕ੍ਰਮ
Cauchy integral,ਕੌਚੀ ਅਟੁੱਟ
Cauchy principal value,ਕੌਚੀ ਪ੍ਰਮੁੱਖ ਮੁੱਲ
Cauchy residue theorem,ਕਾਚੀ ਅਵਸ਼ੇਸ਼ ਪ੍ਰਮੇਯ
Cayley Hamilton theorem,ਕੈਲੀ ਹੈਮਿਲਟਨ ਪ੍ਰਮੇਯ
celestial body,ਆਕਾਸ਼ੀ ਸਰੀਰ
celestial measurement,ਆਕਾਸ਼ੀ ਮਾਪ
celestial mechanics,ਆਕਾਸ਼ੀ ਮਕੈਨਿਕਸ
celestial object,ਆਕਾਸ਼ੀ ਵਸਤੂ
cell frequency,ਸੈੱਲ ਬਾਰੰਬਾਰਤਾ
census,ਜਨਗਣਨਾ
centile,centile
centimeter,ਸੈਂਟੀਮੀਟਰ
centimeter gram second system,ਸੈਂਟੀਮੀਟਰ ਗ੍ਰਾਮ ਦੂਜੀ ਪ੍ਰਣਾਲੀ
central,ਕੇਂਦਰੀ
central axis,ਕੇਂਦਰੀ ਧੁਰਾ
central difference,ਕੇਂਦਰੀ ਅੰਤਰ
central difference formula,ਕੇਂਦਰੀ ਅੰਤਰ ਫਾਰਮੂਲਾ
central difference table,ਕੇਂਦਰੀ ਅੰਤਰ ਸਾਰਣੀ
central limit theorem,ਕੇਂਦਰੀ ਸੀਮਾ ਪ੍ਰਮੇਯ
central moment,ਕੇਂਦਰੀ ਪਲ
central processing unit (C.P.U),ਕੇਂਦਰੀ ਪ੍ਰੋਸੈਸਿੰਗ ਯੂਨਿਟ (CPU)
central tendency,ਕੇਂਦਰੀ ਰੁਝਾਨ
centre,ਕੇਂਦਰ
centre of gravity,ਗੰਭੀਰਤਾ ਦਾ ਕੇਂਦਰ
centre of group,ਸਮੂਹ ਦਾ ਕੇਂਦਰ
centre of mass,ਪੁੰਜ ਦਾ ਕੇਂਦਰ
centre of symmetry,ਸਮਰੂਪਤਾ ਦਾ ਕੇਂਦਰ
centrifugal force,ਸੈਂਟਰਿਫਿਊਗਲ ਫੋਰਸ
centripetal force,centripetal ਫੋਰਸ
centroid,ਸੈਂਟਰੋਇਡ
certainty,ਯਕੀਨਨ
c.g.s. system,cgs ਸਿਸਟਮ
c.g.s. unit,cgs ਯੂਨਿਟ
chain rule of differentiation,ਵਿਭਿੰਨਤਾ ਦਾ ਚੇਨ ਨਿਯਮ
chance causes,ਮੌਕਾ ਕਾਰਨ
chance moves,ਮੌਕਾ ਚਾਲ
change of axes,ਧੁਰੇ ਦੀ ਤਬਦੀਲੀ
change of basis,ਆਧਾਰ ਦੀ ਤਬਦੀਲੀ
change of order,ਆਰਡਰ ਦੀ ਤਬਦੀਲੀ
characteristic coefficient,ਗੁਣ ਗੁਣ
determinant,ਨਿਰਣਾਇਕ
characteristic equation,ਗੁਣ ਸਮੀਕਰਨ
characteristic function,ਵਿਸ਼ੇਸ਼ਤਾ ਫੰਕਸ਼ਨ
characteristic of logarithm,ਲਘੂਗਣਕ ਦੀ ਵਿਸ਼ੇਸ਼ਤਾ
characteristic polynomial,ਗੁਣ ਬਹੁਪਦ
characteristic value,ਗੁਣ ਮੁੱਲ
characteristic vector,ਗੁਣ ਵੈਕਟਰ
character set,ਅੱਖਰ ਸੈੱਟ
chart,ਚਾਰਟ
chi-square distribution,ਚੀ-ਵਰਗ ਵੰਡ
chi-square formula,ਚੀ-ਵਰਗ ਫਾਰਮੂਲਾ
chi-square test,ਚੀ-ਵਰਗ ਟੈਸਟ
chord,ਤਾਰ
chord-bisection method,ਕੋਰਡ-ਸੈਕਸ਼ਨ ਵਿਧੀ
cipher message (=coded message),ਸਿਫਰ ਸੁਨੇਹਾ (=ਕੋਡ ਕੀਤਾ ਸੁਨੇਹਾ)
cipher (zero),ਸਿਫਰ (ਜ਼ੀਰੋ)
circle,ਚੱਕਰ
circle of convergence,ਕਨਵਰਜੈਂਸ ਦਾ ਚੱਕਰ
circuit matrix,ਸਰਕਟ ਮੈਟਰਿਕਸ
circular,ਸਰਕੂਲਰ
circular asymptote,ਸਰਕੂਲਰ ਲੱਛਣ
circular helix,ਗੋਲ ਹੈਲਿਕਸ
circular motion,ਸਰਕੂਲਰ ਮੋਸ਼ਨ
circumcentre,ਘੇਰਾ ਕੇਂਦਰ
circumcircle,ਚੱਕਰ
circumscribe,ਘੇਰਾਬੰਦੀ
circumscribed,ਘੇਰਾਬੰਦ
circumscribed circle,ਘੇਰਾਬੰਦ ਚੱਕਰ
classical deductive technique,ਕਲਾਸੀਕਲ ਕਟੌਤੀ ਤਕਨੀਕ
classical dynamics,ਕਲਾਸੀਕਲ ਗਤੀਸ਼ੀਲਤਾ
classical optimization,ਕਲਾਸੀਕਲ ਓਪਟੀਮਾਈਜੇਸ਼ਨ
classical ruin problem,ਕਲਾਸੀਕਲ ਤਬਾਹੀ ਦੀ ਸਮੱਸਿਆ
classical statistical mechanics,ਕਲਾਸੀਕਲ ਅੰਕੜਾ ਮਕੈਨਿਕਸ
classification of errors,ਗਲਤੀਆਂ ਦਾ ਵਰਗੀਕਰਨ
class interval,ਕਲਾਸ ਅੰਤਰਾਲ
class-interval unit,ਕਲਾਸ-ਅੰਤਰਾਲ ਇਕਾਈ
class limit,ਕਲਾਸ ਸੀਮਾ
clockwise,ਘੜੀ ਦੀ ਦਿਸ਼ਾ ਵਿੱਚ
clopen (= closed and open),clopen (= ਬੰਦ ਅਤੇ ਖੁੱਲ੍ਹਾ)
closed,ਬੰਦ
closed convex hull,ਬੰਦ ਕਨਵੈਕਸ ਹਲ
closed cube,ਬੰਦ ਘਣ
closed curve,ਬੰਦ ਕਰਵ
closed domain,ਬੰਦ ਡੋਮੇਨ
closed figure,ਬੰਦ ਚਿੱਤਰ
closed interval,ਬੰਦ ਅੰਤਰਾਲ
closed region,ਬੰਦ ਖੇਤਰ
closed set,ਬੰਦ ਸੈੱਟ
closed surface,ਬੰਦ ਸਤਹ
closure,ਬੰਦ
closure operator,ਬੰਦ ਕਰਨ ਵਾਲਾ ਆਪਰੇਟਰ
closure point (= contact point),ਬੰਦ ਹੋਣ ਦਾ ਬਿੰਦੂ (= ਸੰਪਰਕ ਬਿੰਦੂ)
closure postulate,ਬੰਦ ਕਰਨ ਦੀ ਸਥਿਤੀ
closure set,ਬੰਦ ਸੈੱਟ
cluster point,ਕਲੱਸਟਰ ਪੁਆਇੰਟ
cluster sampling,ਕਲੱਸਟਰ ਨਮੂਨਾ
