Hindi,Kannada
ऐडोब मृदा,ಅಡೋಬ್ ಮಣ್ಣು
अपमिश्रक,ಕಲಬೆರಕೆ
अपस्थानिक,ಅಪಸ್ಥಾನೀಯ
इसीडियोस्पोर इसीडियम बीजाणु,ಇಸಿಡಿಯೋಸ್ಪೋರ್ ಐಸಿಡಿಯಮ್ ಸ್ಪೋರ್
वातोढ़ प्रक्रिया,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಪ್ರಕ್ರಿಯೆ
वातोढ़,ಕುಹರದ
वातन करना,ಗಾಳಿ ಹಾಕಲು
1. वायव 2. आकाशी,1. ಗಾಳಿ 2. ಆಕಾಶಿ
1. ऐरोमीटर 2. वायुमापी 3. वायुघनत्वमाप,1. ಏರೋಮೀಟರ್ 2. ಏರೋಮೀಟರ್ 3. ಏರೋಮೀಟರ್
ऐरोसोल,ಏರೋಸಾಲ್
1. पुष्पदलविन्यास 2. ग्रीष्मनिष्क्रियता,1. ಹೂಗೊಂಚಲು 2. ಬೇಸಿಗೆ ಸುಪ್ತ
रोग हेतु विज्ञान,ರೋಗದ ವಿಜ್ಞಾನ
वनरोपण,ಅರಣ್ಯೀಕರಣ
1. विलोडन 2. प्रक्षोभन,1. ತಳಮಳ 2. ಪ್ರಕ್ಷುಬ್ಧತೆ
ऐगमार्क,ಅಗ್ಮಾರ್ಕ್
1. भूमि संबंधी 2. कृषि संबंधी,1. ಭೂಮಿಗೆ ಸಂಬಂಧಿಸಿದ 2. ಕೃಷಿ
कृषि निदानालय,ಕೃಷಿ ಕ್ಲಿನಿಕ್
1. कृषि श्रम 2. खेतिहर मजदूर,1. ಕೃಷಿ ಕಾರ್ಮಿಕ 2. ಕೃಷಿ ಕಾರ್ಮಿಕ
कृषि विपणन,ಕೃಷಿ ಮಾರುಕಟ್ಟೆ
कृषि प्रद्योगिकी,ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ
1. कृषि 2. खेतीबारी 3. कृषि विज्ञान,1. ಕೃಷಿ 2. ಕೃಷಿ 3. ಕೃಷಿ ವಿಜ್ಞಾನ
कृषि वनवर्धन,ಕೃಷಿ ಅರಣ್ಯ
कृषि जैविक विविधता,ಕೃಷಿ ಜೀವವೈವಿಧ್ಯ
कृषि जैविक दोष,ಕೃಷಿ ಸಾವಯವ ದೋಷಗಳು
कृषि जैविकी,ಕೃಷಿ ಜೀವಶಾಸ್ತ್ರ
कृषि जलवायुवीय विविधता,ಕೃಷಿ-ಹವಾಮಾನ ವೈವಿಧ್ಯ
कृषिजलवायुवीय जोन निर्माण,ಕೃಷಿ ಹವಾಮಾನ ವಲಯದ ಸೃಷ್ಟಿ
कृषिवानिकी,ಕೃಷಿ ಅರಣ್ಯ
सस्य मृदा विज्ञान,ಕೃಷಿಶಾಸ್ತ್ರ
सस्य विज्ञान,ಕೃಷಿಶಾಸ್ತ್ರ
कृषि पशुचारणिक,ಕೃಷಿ ಪಶುಪಾಲಕ
फसल प्रसंस्करण,ಬೆಳೆ ಸಂಸ್ಕರಣೆ
घास विज्ञान,ಹುಲ್ಲು ವಿಜ್ಞಾನ
सस्य प्ररूप,ಬೆಳೆ ಪ್ರಕಾರ
अधिपादप,ಎಪಿಫೈಟ್
ऐकिओची मृदा,ಐಕಿಯೋಚಿ ಮಣ್ಣು
वर्णकहीनता,ಬಣ್ಣಗುರುಡು
एल्फिसॉल,ಅಲ್ಫಿಸೋಲ್
शैवाल,ಪಾಚಿ
शैवाल रोग,ಪಾಚಿ ರೋಗ
क्षार जल,ಕ್ಷಾರ ನೀರು
क्षारीय,ಕ್ಷಾರೀಯ
विकल्पी,ಪರ್ಯಾಯ
एलीलो रसायन,ಅಲ್ಲೆಲೋ ರಸಾಯನಶಾಸ್ತ್ರ
युग्मविकल्पी,ಆಲೀಲ್
एलीलोपैथी,ಅಲೆಲೋಪತಿ
वीथी सस्यन,ವೇಥಿ ಬೆಳೆ
परनिषेक-फलता,ಪೂರ್ಣಗೊಳ್ಳುವಿಕೆ
परनिषेचन,ಫಲೀಕರಣ
1. सापेक्षमिति 2. ऐलोमैट्री,1. ಸಾಪೇಕ್ಷತೆ 2. ಅಲೋಮೆಟ್ರಿ
परबहुगुणित,ಮಲ್ಟಿಪ್ಲಾಯ್ಡ್
1. परयुग्मन 2. अपायुग्लन,1. ಪ್ಯಾರಾಜಿಗೋಸಿಟಿ
1. एकातंर वर्ष फलन 2. एकांतरित फलन,1. ಪರ್ಯಾಯ ವರ್ಷದ ಕಾರ್ಯ 2. ಪರ್ಯಾಯ ಕಾರ್ಯ
वैकल्पिक भूमि उपयोग,ಪರ್ಯಾಯ ಭೂಮಿ ಬಳಕೆ
परिवेश,ಪರಿಸರ
सुधारक,ಸುಧಾರಕ
असूत्रीविभाजन,ಮಿಟೋಸಿಸ್
ऐमीनन,ಅಮೀನನ್
अमोनियन,ಅಮೋನಿಯನ್
अमोनीकारक,ಆಮ್ನಿಫೆರಸ್
1.अप्रभावी रूप  2.अरूपी,1. ನಿಷ್ಪರಿಣಾಮಕಾರಿ ರೂಪ 2. ಅರೂಪಿ
उभय मिश्रण,ಉಭಯಚರ ಮಿಶ್ರಣ
उभयधर्मी,ಆಂಫೋಟರಿಕ್
उपचय,ಸಂಗ್ರಹಣೆ
1. अवायुजीव 2. अनाक्सी जीव,1. ಆಮ್ಲಜನಕರಹಿತ 2. ಆಮ್ಲಜನಕರಹಿತ ಜೀವಿಗಳು
असुगुणित,ಹ್ಯಾಪ್ಲಾಯ್ಡ್
कोणीय रोपण,ಕೋನೀಯ ನೆಟ್ಟ
पशुपालन,ಪಶುಸಂಗೋಪನೆ
पशु उच्छिष्ट,ಪ್ರಾಣಿಗಳ ಮಲವಿಸರ್ಜನೆ
सजीव ऊर्जा,ಜೀವನ ಶಕ್ತಿ
असमगुणित,ಅಸಂಗತ
एकवर्षीय पादप,ಒಂದು ವರ್ಷದ ಸಸ್ಯ
वार्षिक,ವಾರ್ಷಿಕ
1. परागोद्भव 2. प्रफुल्लन,1. ಭಾವಪರವಶತೆ 2. ಪ್ರಕಾಶ
ऐन्थ्रेक्स,ಆಂಥ್ರಾಕ್ಸ್
मानवजनिक कारक,ಮಾನವಜನ್ಯ ಅಂಶಗಳು
प्रतिजीविता,ಬದುಕುಳಿಯುವಿಕೆ
1.प्रतिजैविक2.  ऐन्टीबायोटिक,1. ಪ್ರತಿಜೀವಕ 2. ಪ್ರತಿಜೀವಕ
प्रतिकारक,ಹಿಮ್ಮೆಟ್ಟಿಸುವ
प्रतिऑक्सीकारक,ಉತ್ಕರ್ಷಣ ನಿರೋಧಕ
प्रतिआविष,ಆಂಟಿಟಾಕ್ಸಿನ್
वलयिका,ಉಂಗುರದ ಬೆರಳು
1. ऐफिड 2. माहू 3. चेपा,1. ಗಿಡಹೇನು 2. ಮಾಹು 3. ಚೇಪಾ
शीर्ष कलिका,ಮೇಲಿನ ಮೊಗ್ಗು
शिखाग्र प्रभाविता,ಗರಿಷ್ಠ ಪರಿಣಾಮಕಾರಿತ್ವ
मधुमक्खी पालन,ಜೇನುಸಾಕಣೆ
असंगजनन,ಅಲೈಂಗಿಕತೆ
एपोप्टोसिस,ಅಪೊಪ್ಟೋಸಿಸ್
उपांग,ಅನುಬಂಧಗಳು
क्षुधावर्धक,ಜೀರ್ಣಕಾರಕವಾಗಿ
अनुप्रयुक्त,ಅನ್ವಯಿಸಲಾಗಿದೆ
जलीय खरपतवार,ಜಲವಾಸಿ ಕಳೆ
1. वृक्षीय 2. वृक्षवासी,1. ಮರ 2. ಮರದ ನಿವಾಸಿ
शाखायन,ಕವಲೊಡೆಯುತ್ತಿದೆ
आद्य वानस्पतिक अभिलेख,ಪ್ರೊಟೊಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು
क्षेत्रांकड़,ವಲಯ ಸಂಖ್ಯೆ
1. क्षेत्र 2. क्षेत्रफल,1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ
शुष्क पारितंत्र,ಒಣ ಪರಿಸರ ವ್ಯವಸ್ಥೆ
बीजचोल,ಕೋಟಿಲ್ಡನ್
सौरभ,ಸೌರಭ್
सुगंधी पादप,ಆರೊಮ್ಯಾಟಿಕ್ ಸಸ್ಯ
सुगंधित चावल,ಪರಿಮಳಯುಕ್ತ ಅಕ್ಕಿ
इक्षु पुष्पन,ಇಕ್ಷು ಪುಷ್ಪನ್
अपूति,ಅಸೆಪ್ಟಿಕ್
1.अपूतित 2. अजर्म,1. ಅಸೆಪ್ಟಿಕ್ 2. ಅಸೆಪ್ಟಿಕ್
अलैंगिक प्रवर्धन,ಅಲೈಂಗಿಕ ಸಂತಾನೋತ್ಪತ್ತಿ
आमाप,ಗಾತ್ರ
परिसंपत्ति,ಆಸ್ತಿ
1. स्वांगीकरण 2. आत्मसात्करण,1. ಸಮೀಕರಣ 2. ಸಮೀಕರಣ
1. साहचर्य 2. संघ,1. ಸಂಘ 2. ಸಂಘ
1. स्तंभक 2. कषाय,1. ಕಾಲಮ್ 2. ಸಂಕೋಚನ
असूत्रयुग्मन,ಹೆಟೆರೋಜೈಗೋಸಿಟಿ
1. पूर्वजता 2. ऐटाविज्म,1. ಪೂರ್ವಜ 2. ಅಟಾವಿಸಂ
कणित्र,ಕಣ
1.अपुष्टि 2. क्षीणता,1. ದೃಢೀಕರಣ 2. ದುರ್ಬಲತೆ
स्वयुग्मन,ಸ್ವಯಂ ಜೋಡಣೆ
स्वलयन,ಆಟೋಲಿಸಿಸ್
1. स्वतः उपचयन 2. स्वतः ऑक्सीभवन,1. ಸ್ವಾಭಾವಿಕ ಆಕ್ಸಿಡೀಕರಣ 2. ಸ್ವಾಭಾವಿಕ ಉತ್ಕರ್ಷಣ
स्वबहुगुणित,ಸ್ವಯಂ ಮಲ್ಟಿಪ್ಲೆಕ್ಸ್
ऑक्सिन,ಆಕ್ಸಿನ್
1. शूक 2. तूड़,1. ಷೂಕ್ 2. ಟೋಡ್
दंड विषाणु,ದಂಡದ ವೈರಸ್
1. दंडाणु 2. बैसिलस,1. ಬ್ಯಾಸಿಲಸ್ 2. ಬ್ಯಾಸಿಲಸ್
1. जीवाणु 2. बैक्टीरिया,1. ಬ್ಯಾಕ್ಟೀರಿಯಾ 2. ಬ್ಯಾಕ್ಟೀರಿಯಾ
जीवाणु आविष,ಬ್ಯಾಕ್ಟೀರಿಯಾದ ವಿಷ
खोई,ಬಗಸೆ
तुलन-पत्र,ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್
संतुलित उर्वरक उपयोग,ಸಮತೋಲಿತ ರಸಗೊಬ್ಬರ ಬಳಕೆ
दंड आरेख,ಬಾರ್ ಗ್ರಾಫ್
छाल,ತೊಗಟೆ
1. वायुदाबमापी 2. बैरोमीटर,1. ವಾಯುಭಾರ ಮಾಪಕ 2. ವಾಯುಭಾರ ಮಾಪಕ
1. बजर 2. अकृष्य 3. बांझ,1. ಬಜರ್ 2. ಜಡ 3. ಬಂಜರು
1. आधार 2. बेस 3. कपांग,1. ಬೇಸ್ 2. ಬೇಸ್ 3. ಕುಪಾಂಗ್
1.थाला 2. द्रोणी,1. ತಾಲಾ 2. ಜಲಾನಯನ ಪ್ರದೇಶ
तलाभिसारी,ತಲಾಬಿಸಾರಿ
1. बेसिस्टर्नम 2. मूलाधारक,1. ಬೇಸಿಸ್ಟರ್ನಮ್ 2. ರೂಟ್ ಹೋಲ್ಡರ್
खाड़ी मानसून,ಗಲ್ಫ್ ಮಾನ್ಸೂನ್
फलदायी पौधा,ಹಣ್ಣಿನ ಗಿಡ
क्यारी,ಹಾಸಿಗೆ
क्यारी - पौधा,ಹಾಸಿಗೆ ಸಸ್ಯ
क्यारी बनाना,ಹಾಸಿಗೆ
चुकंदर शीरा,ಬೀಟ್ ಮೊಲಾಸಸ್
धौंकनी,ಬೆಲ್ಲೋಸ್
1. पट्टी 2. इलाका,1. ಪಟ್ಟಿ 2. ಭೂಪ್ರದೇಶ
लाभ-लागत विश्लेषण,ಲಾಭ-ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ
अभिनत (प्रतिचयन),ಮಹತ್ವಾಕಾಂಕ್ಷಿ (ಮಾದರಿ)
द्विवर्षीय पादप,ದ್ವೈವಾರ್ಷಿಕ ಸಸ್ಯಗಳು
द्विपद,ದ್ವಿಪದ
जैवकारक,ಜೈವಿಕ ಅಂಶ
जीव जलवायु,ಜೈವಿಕ ಹವಾಮಾನ
जैव ऊर्जा,ಜೈವಿಕ ಶಕ್ತಿ
जीव पारिस्थितिकी,ಪ್ರಾಣಿಗಳ ಪರಿಸರ ವಿಜ್ಞಾನ
1. जैव-प्रक्रियापात्र 2. बायो रिएक्टर,1. ಬಯೋ-ಪ್ರೊಸೆಸರ್ 2. ಬಯೋ-ರಿಯಾಕ್ಟರ್
जीव-मंडल,ಜೀವಗೋಳ
जीवीय,ಜೈವಿಕ
जीव प्ररूप,ಪ್ರಾಣಿಸಂಕುಲ
दविलिंगी,ದಿವಿಲಿಂಗಿ
धवलन,ಧವಳನ್
1.  प्रध्वसं (रोग) 2.  झोंका रोग,1. ಪ್ರಧ್ವಸನ್ (ರೋಗ) 2. ಗಸ್ಟ್ ರೋಗ
संमिश्रण,ಮಿಶ್ರಣ
1. अंगमारी (रोग) 2.  ब्लाइट (रोग),1. ಅಂಗಮಾರಿ (ರೋಗ) 2. ರೋಗ (ರೋಗ)
1. छाला 2. फफोला 3. उद्वर्त 4. ब्लिस्टर,1. ಬ್ಲಿಸ್ಟರ್ 2. ಬ್ಲಿಸ್ಟರ್ 3. ಎರಪ್ಶನ್ 4. ಬ್ಲಿಸ್ಟರ್
नीली क्रांति,ನೀಲಿ ಕ್ರಾಂತಿ
तलीय ताप चैंबर,ಪ್ಲಾನರ್ ಹೀಟಿಂಗ್ ಚೇಂಬರ್
तलीय ताप तकनीक,ಪ್ಲ್ಯಾನರ್ ತಾಪನ ತಂತ್ರಜ್ಞಾನ
चोकर,ಹೊಟ್ಟು
शाखन,ಕವಲೊಡೆಯುತ್ತಿದೆ
1. टहनी 2. उपशाखा,1. ರೆಂಬೆ 2. ಉಪಶಾಖೆ
नस्ल,ತಳಿ
प्रजनन,ಸಂತಾನೋತ್ಪತ್ತಿ
शीघ्र अंकुरण उपचार,ಆರಂಭಿಕ ಮೊಳಕೆಯೊಡೆಯುವಿಕೆ ಚಿಕಿತ್ಸೆ
1. शाव 2. अंड 3. भ्रूण,1. ಮರಿ 2. ಮೊಟ್ಟೆ 3. ಭ್ರೂಣ
कलिकायन,ಮೊಳಕೆಯೊಡೆಯುತ್ತಿದೆ
बजट,ಬಜೆಟ್
1.उभयप्रतिरोधी 2. बफर,1.ಆಂಫೋಟೆರಿಕ್ 2. ಬಫರ್
शल्ककंद,ಸಿಹಿ ಆಲೂಗಡ್ಡೆ
बंट (रोग),ಬಂಟ್ (ರೋಗ)
1. उपजात 2. उपोत्पाद,1. ಉಪ ಉತ್ಪನ್ನ 2. ಉಪ ಉತ್ಪನ್ನ
c नमी विशिष्टता वक्र,c ತೇವಾಂಶದ ನಿರ್ದಿಷ್ಟ ಕರ್ವ್
खली,ಎಣ್ಣೆ ಕೇಕ್
1. चूनेदार 2.कैल्सियमी,1. ಸುಣ್ಣ 2. ಕ್ಯಾಲ್ಸಿಯಂ
कैल्सीयन,ಕ್ಯಾಲ್ಸಿಯಾನ್
फॉस्फेट का निस्तापन,ಫಾಸ್ಫೇಟ್ ತೆಗೆಯುವಿಕೆ
1. किणता 2. कैलसता,1. ಕಿನಾಟಾ 2. ಕ್ಯಾಲಟಾ
1.कैलस 2. किण,1.ಕ್ಯಾಲಸ್ 2. ಕಿರಣ
1. बाह्यदल पुंज 2.कैलिक्स,1. ಸೀಪಲ್ಸ್ 2. ಕ್ಯಾಲಿಕ್ಸ್
वाह्यदल अंत,ಹೊರಗಿನ ಅಂತ್ಯ
एधा,ಈಧಾ
कैंकर (जीवाणु रोग),ಕ್ಯಾನ್ಸರ್ (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ)
डिब्बाबंदी,ಕ್ಯಾನಿಂಗ್
वितान,ಆಕಾಶ
पूंजी,ಹಣಕಾಸು
परागण (अंजीर का),ಪರಾಗಸ್ಪರ್ಶ (ಅಂಜೂರದ ಹಣ್ಣುಗಳು)
1. संपुट 2. संपुटिका 3. कैप्सूल,1. ಕ್ಯಾಪ್ಸುಲ್ 2. ಕ್ಯಾಪ್ಸುಲ್ 3. ಕ್ಯಾಪ್ಸುಲ್
कार्बोनीकृत,ಕಾರ್ಬೊನೈಸ್ಡ್
कार्बनन,ಕಾರ್ಬೊನಾನ್
अंडप,ಕ್ಯಾರಪೇಸ್
मणिबंध,ಕಂಕಣ
1. ढलाई (लोहे की) 2. क्षिप्ति (कीट),1. ಎರಕ (ಕಬ್ಬಿಣ) 2. ಕ್ಷಿತಿ (ಕೀಟ)
अपचय,ಕ್ಯಾಟಬಾಲಿಸಮ್
उत्प्रेरण,ಪ್ರೇರಣೆ
1. इल्ली 2. सूंडी,1. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್ 2. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್
सी ड़ी. एन. ए. संग्रह,ಸಿ ಡಿ. ಎನ್. ಎ. ಸಂಗ್ರಹಣೆ
सीमा,ವ್ಯಾಪ್ತಿ
1. कोशिका 2. कोष्ठिका,1. ಕೋಶ 2. ಕೋಶ
केंद्रीय अग्रग प्रणाली,ಕೇಂದ್ರ ಮುಂಭಾಗದ ವ್ಯವಸ್ಥೆ
1. सबिंदु 2. सकेंद्र,1. ಪಾಯಿಂಟ್ 2. ಫೋಕಸ್
अपकेंद्रण,ಕೇಂದ್ರಾಪಗಾಮಿ
अपकेंद्रक,ಕೇಂದ್ರಾಪಗಾಮಿ
तारककेंद्र,ನಕ್ಷತ್ರ ಕೇಂದ್ರ
केंद्रजनिक,ಎಪಿಜೆನೆಟಿಕ್
केंद्रजा,ಕೇಂದ್ರರಾಜ
लूम,ಮಗ್ಗ
1. धान्य 2. सीरियल,1. ಏಕದಳ 2. ಸೀರಿಯಲ್
1. प्रमाणीकरण 2. प्रमाणन,1. ಪ್ರಮಾಣೀಕರಣ 2. ಪ್ರಮಾಣೀಕರಣ
प्रमाणित बीज,ಪ್ರಮಾಣೀಕೃತ ಬೀಜ
1. भूसा 2. कुट्टी 3. शल्क सहपत्र,1. ಹುಲ್ಲು 2. ಕುಟ್ಟಿ 3. ಶಾಲಕ್ ಸಹಪಾತ್ರ
1. निभाग 2. कैलाजा,1. ನಿಭಾಗ್ 2. ಕೈಲಾಜಾ
रसानुवर्तन,ಕೈಮೊಗ್ರಫಿ
1. किआज्मा 2. व्यत्यस्त,1. ಕಿಯಾಜ್ಮಾ 2. ಕಾರ್ಯನಿರತ
अतिशीतन घंटे,ಸೂಪರ್ ಕೂಲಿಂಗ್ ಗಂಟೆಗಳು
शीतज क्षति,ಫ್ರಾಸ್ಟ್ ಹಾನಿ
1.  विचित्रोतकी 2. काइमेरा,1. ವಿಚಿರೋಟಕಿ 2. ಚಿಮೆರಾ
हरित दली,ಹಸಿರು ಗಂಜಿ
1. पर्णहरित 2. हरितक,1. ಎಲೆಗಳು 2. ಹಸಿರು
हरिमाहीनता,ಸೈನೋಸಿಸ್
जीव वितरण विज्ञान,ಜೈವಿಕ ವಿತರಣಾ ವಿಜ್ಞಾನ
1. क्रोमैटिड 2. अर्धगुणसूत्र,1. ಕ್ರೊಮಾಟಿಡ್ಸ್ 2. ಅರ್ಧ ವರ್ಣತಂತುಗಳು
क्रोमैटिन,ಕ್ರೊಮಾಟಿನ್
वर्णलेखन,ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ
क्रोमोटिनलयन,ಕ್ರೊಮಾಟಿಲೇಷನ್
परिसूत्र बिंदु,ಹೃತ್ಕರ್ಣದ ಬಿಂದು
वर्णजनन,ಕ್ರೊಮಾಟೊಜೆನೆಸಿಸ್
1. क्रोमोप्रोटीन 2. वर्णकप्रोटीन,1. ಕ್ರೋಮೋಪ್ರೋಟೀನ್ 2. ಪಿಗ್ಮೆಂಟ್ಪ್ರೋಟೀನ್
1. गुणसूत्र 2. क्रोमोसोम,1. ವರ್ಣತಂತುಗಳು 2. ವರ್ಣತಂತುಗಳು
1. चिरकाली 2. दीर्घकाली 3. जीर्ण 4. पुराना,1. ದೀರ್ಘಕಾಲದ 2. ದೀರ್ಘಕಾಲದ 3. ದೀರ್ಘಕಾಲದ 4. ಬಳಕೆಯಲ್ಲಿಲ್ಲದ
सिट्रेंज,ಸಿಟ್ರೇಂಜ್
पर्णाभपर्व,ಶರತ್ಕಾಲದ ಹಬ್ಬ
वर्गीकरण,ವರ್ಗೀಕರಣ
1.मृत्तिका 2. चिकनी मिट्टी,1. ಮಣ್ಣು 2. ಮಣ್ಣು
1. निर्मलन 2. मार्जन 3. सफाई 4.  शोधन,1. ಶುಚಿಗೊಳಿಸುವಿಕೆ 2. ಸ್ಕ್ರಬ್ಬಿಂಗ್ 3. ಸ್ವಚ್ಛಗೊಳಿಸುವಿಕೆ 4. ಶುದ್ಧೀಕರಣ
अनुन्मील्य परागण,ನಿರಂತರ ಪರಾಗಸ್ಪರ್ಶ
क्रतिक श्वसनी फल,ಶಿಲುಬೆಯ ಹಣ್ಣು
जलवायु,ಹವಾಮಾನ
जलवायु विज्ञान,ಹವಾಮಾನಶಾಸ್ತ್ರ
कतरनी,ಬರಿಯ
ढेला (मिट्टी का),ಉಂಡೆ (ಜೇಡಿಮಣ್ಣು)
क्लोन,ತದ್ರೂಪಿ
1.मेघ 2. बादल,1.ಮೋಡಗಳು 2.ಮೋಡಗಳು
पुंज (क्लंप,ಗೊಂಚಲು
गुच्छ,ಗುಂಪನ್ನು
1.स्थूल 2. मोटा 3. कच्चा 4. अपरिष्कृत,1. ಒರಟು 2. ಒರಟು 3. ಕಚ್ಚಾ 4. ಒರಟು
1. आवरण 2.  चर्मावरण,1. ಕವರ್ 2. ಲೆಥೆರೆಟ್
कोया,ಕೋಯಾ
1. कोएन्जाइम 2. सह-एन्जाइम,1. ಕೋಎಂಜೈಮ್ 2. ಸಹ-ಕಿಣ್ವ
संसंजन,ಒಗ್ಗಟ್ಟು
1. रेशा (जूट पटसन) 2. नारियल जटा,1. ಫೈಬರ್ (ಸೆಣಬು) 2. ತೆಂಗಿನಕಾಯಿ ಒರಟು
मूलांकुर चोल,ಮುಳಂಕೂರು ಚೋಳ
,
कोलॉइड (मृदा),ಕೊಲೊಯ್ಡ್ (ಮಣ್ಣು)
1.स्तंभिका 2. कॉलुमेला,1.ಕಾಲಮ್ 2.ಕೊಲುಮೆಲ್ಲಾ
1.दंड 2. स्तंभ 3. कॉलम,1. ಪೆನಾಲ್ಟಿ 2. ಕಾಲಮ್ 3. ಕಾಲಮ್
सहभोजिता,ಕಮ್ಯುನಿಯನ್
वाणिज्यिक बैंक,ವಾಣಿಜ್ಯ ಬ್ಯಾಂಕ್
1. जिंस 2. पण्य वस्तु,1. ಸರಕು 2. ಸರಕು
समुदाय,ಸಮುದಾಯ
संहनन (मृदा का),ಸಂಕೋಚನ (ಮಣ್ಣಿನ)
1. सुसंगति 2. संगतता,1. ಹೊಂದಾಣಿಕೆ 2. ಹೊಂದಾಣಿಕೆ
सुसंगतता,ಹೊಂದಾಣಿಕೆ
1. क्षतिपूर्ति 2. मुआवजा,1. ಪರಿಹಾರ 2. ಪರಿಹಾರ
स्पर्धी अन्योन्यक्रिया,ಸ್ಪರ್ಧಾತ್ಮಕ ಪರಸ್ಪರ ಕ್ರಿಯೆ
पूरक सस्य,ಪೂರಕ ಬೆಳೆ
