Punjabi,Marathi
Énerchyma,एरेन्चायमा
ਏਰੀਅਲ,हवाई
ਏਰੀਅਲ ਰੂਟ,एरियल रूट
ਏਰੀਅਲ ਸ਼ੂਟ,एरियल शूट
ਐਰੋਬਿਕ ਸਾਹ,एरोबिक श्वसन
ਐਰੋਬਿਕ ਸਾਹ,एरोबिक श्वसन
ਸੁਹਜ,सौंदर्यशास्त्र
ਖਰਾਸ਼,एस्टिवेशन
ਖਰਾਸ਼,एस्टिवेशन
ਪਿਆਰ,Efferent
ਪੱਕਾ ਐਫੀਲੀਅਸ ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ,आत्मीयता क्रोमॅटोग्राफी
ਦੁਖੀ ਅੰਗ,पीडित अवयव
ਕਥਾ,वनीकरण
ਅਗਿਆਤ,अ‍ॅगामोस्पर्मी
ਅਗਰ,अगर
ਅਗਿਆਤ,आगरोस
ਅਗਾਅਰਜ਼ ਜੈੱਲ ਐਲੀਟ੍ਰੋਫੋਨਸਿਸ,अगरोस जेल इलेट्रोफोरेसीस
ਅਗਿਆਤ ਪੋਲੀਮਰ ਜੈੱਲ,अ‍ॅगारोज पॉलिमर जेल
ਅਤਿ,Agast
ਅਗਾਵ,अ‍ॅगेव्ह
ਉਮਰ ਵੰਡ,वय वितरण
ਉਮਰ ਪਿਰਾਮਿਡ,वय पिरॅमिड
Agglutate,एकत्रित
ਸਮੁੱਚੀ,एकूण
Follicle ਦਾ ਸਮੁੱਚਾ,कूपांचे एकूण
Follicle ਦਾ ਸਮੁੱਚਾ,कूपांचे एकूण
ਇਕੱਤਰਤਾ,एकत्रिकरण
ਹਮਲਾਵਰਤਾ,आक्रमकता
ਐਗਰੀਏਟਰ ਸਿਸਟਮ,आंदोलन प्रणाली
ਅਗਨੀਥਾ,अग्नथ
ਅਗਾਤੀ,अगोती
ਅਗਰੰਡੀ ਕਲਰੋਲੋਪਲਾਸਟ,अ‍ॅग्रॅनल क्लोरोप्लास्ट
ਅਗਰੂ,अ‍ॅग्रॅन्युलर
ਅਗਰਾਨੂਲੋਸਾਈਟ,अ‍ॅग्रानुलोसाइट
ਖੇਤੀ ਬਾੜੀ,शेती
ਐਗਰੋਫੋਰੈਸਟਰੀ,अ‍ॅग्रोफोरेस्ट्री
ਐਗਰੋਬੈਟਰਿਅਮ ਵਿਚੋਲਗੀ,अ‍ॅग्रोबॅक्टीरियम मध्यस्थी
ਐਗਰੋਬੈਟਰਿਅਮ ਟੋਮਫੈਕੈਨਜ਼,अ‍ॅग्रोबॅक्टीरियम ट्यूमेफेसियन्स
ਐਗਰੋ ਕੈਮੀਕਲ,अ‍ॅग्रोकेमिकल
ਐਗਰੋ ਕੈਮੀਕਲ,अ‍ॅग्रोकेमिकल
ਅਗਰੋਕਲਾਈਮੈਟਿਕ ਜ਼ੋਨ,अ‍ॅग्रोक्लिमॅटिक झोन
ਖੇਤੀਬਾਜੀ ਗੁਣ,कृषी गुणधर्म
ਖੇਤੀਬਾੜੀ,अ‍ॅग्रोनॉमी
ਏਡਜ਼,एड्स
ਏਅਰ ਬਲੈਡਰ,एअर मूत्राशय
ੲੇ. ਸੀ,वातानुकूलन
ਹਵਾ ਦਾ ਰਾਹ,हवाई रस्ता
ਹਵਾ ਪ੍ਰਦੂਸ਼ਣ,वायू प्रदूषण
ਏਅਰ ਸੈਕ,एअर थैली
ਏਅਰ ਵੈਕਲੂਓਲ,एअर व्हॅक्यूओल
ਹਵਾ-ਸਾਹ,हवाई श्वास
ਅਲੇਨ,अलेन
ਅਲੇਰੀ ਮਾਸਪੇਸ਼ੀ,अ‍ॅलरी स्नायू
ਅਲਾਸਕਨ ਬ੍ਰਾ .ਨ ਰਿੱਛ,अलास्कन तपकिरी अस्वल
ਐਲਬਿਨੋ,अल्बिनो
ਆਲਬੂਗੋ,अल्बुगो
ਐਲਬਮਿਨ,अल्बमिन
ਐਲਬਿੰਜੀਨ ਬੀਜ,अल्ब्युमिनस बियाणे
ਐਲਬਿ → ਮਿਨੂਰੀਆ,अल्बमिनुरिया
ਐਲਬਟਨਮ,अल्बर्नम
ਐਲਸੀਏਸੀ,Lescedae
Aldeyhede,Ld ल्डिहेडे
ਅੈਲਡੋਸਟਰੋਨ ਸਿਸਟਮ,Ld ल्डोस्टेरॉन सिस्टम
ਅਲੇਸਟਰੋਨ,अ‍ॅल्डोस्टेरॉन
ਅਲੇਪੁਰਨ ਪਰਤ,अलेरोन लेयर
ਐਲੇਰੋਪਲਾਸਟ,अलेरोप्लास्ट
ਅਲਫਾਫਾ,अल्फल्फा
ਐਲਗਲ ਖਿੜ,अल्गल ब्लूम
ਅਲੀਗਿਨ,अल्गिन
ਪਰਦੇਸੀ ਡੀਐਨਏ,एलियन डीएनए
ਪਰਦੇਸੀ ਪ੍ਰਜਾਤੀ,एलियन प्रजाती
ਅਲਾਈਨਮੈਂਟ,संरेखन
ਅਲਾਈਨਮੈਂਟ,संरेखन
ਅਲੀਮੈਂਟਰੀ ਨਹਿਰ,एलिमेंटरी कालवा
ਅਲੀਮੈਂਟਰੀ ਸਿਸਟਮ,एलिमेंटरी सिस्टम
ਐਲਿਸਮੇਸਸੀ,अलिसमासेस
ਐਲਕਾਲਾਇਡ,अल्कलॉइड
ਐਲਕਲੀਨ,अल्कधर्मी
ਅਲਕਾਪਟਨੂਰੀਆ,अल्काप्टोनुरिया
ਅੱਲੈਂਟੋਇਸ,अलांटोइस
ਐਲੀ ਬਾਰੰਬਾਰਤਾ,अ‍ॅलेल वारंवारता
ਐਲੀਲ,अ‍ॅलेल
ਅਲੇਲਬਿਕ ਜੋੜੀ,Lel लोमॉर्फिक जोडी
ਐਲਰਗੇਨ,L लर्जीन
ਐਲੀਗੇਟਰ,अ‍ॅलिगेटर
ਐਲੀਅਮ ਸੀ.ਪੀ.ਏ.,अ‍ॅलियम सेपा
ਆਲੋਗਮ,अ‍ॅलोगॅमी
ਅਲਾਗ੍ਰਾਫਟ,अ‍ॅलोग्राफ्ट
ਅਲੋਪੈਟ੍ਰਿਕ ਜਾਦੂਈ,अ‍ॅलोपॅट्रिक स्पेशिएशन
ਐਲੋਪੋਲਾਈਵਲਾਈਡ,Ol लोपोलिपॉइड
ਐਲੋਸਟਰਿਕ ਪ੍ਰਭਾਵ,अ‍ॅलोस्टेरिक प्रभाव
ਐਲੋਸਟ੍ਰਿਕ ਪਾਚਕ,अ‍ॅलोस्टेरिक एंझाइम
ਐਲੋਸਟਰਿਕ ਇਨਿਹਿਬਟਰ,अ‍ॅलोस्टेरिक इनहिबिटर
ਐਲੋਸਟ੍ਰਿਕ ਮੈਨੂਲੇਸ਼ਨ,अ‍ॅलोस्टेरिक मॉड्यूलेशन
ਐਲੋਸਟ੍ਰਿਕ ਸਾਈਟ,अ‍ॅलोस्टेरिक साइट
ਐਲੋਸਟਰਿਕ ਰੋਕ,अ‍ॅलोस्टेरिक इनहिबिशन
Allotetraplaidd,अ‍ॅलोटेट्रॅप्लॉइड
ਐਲਾਨਸ,अल्नस
ਐਲੋ,कोरफड
ਐਕਸੋਨ ਦੇ ਨਾਲ,On क्सॉनच्या बाजूने
ਅਲਫ਼ਾ-ਐਂਟੀਟ੍ਰਿਪਸਿਨ,अल्फा-अँटीट्रिप्सिन
ਅਲਫ਼ਾ-ਲੈਕਟਲਬੁਮਿਨ,अल्फा-लेक्टलब्यूमिन
ਐਲਪਾਈਨ ਦੀ ਸਥਿਤੀ,अल्पाइन हवामान स्थिती
ਅਲਪਾਈਨ ਮੈਡੋ,अल्पाइन कुरण
ਅਲਪਾਈਨ ਜ਼ੋਨ,अल्पाइन झोन
ਅਲਸਟੋਨੀਆ,अल्स्टोनिया
ਅਲਟਰਨੇਰੀਆ,अल्टरनेरिया
ਵਿਕਲਪਿਕ,वैकल्पिक
ਪੀੜ੍ਹੀ ਦੀ ਤਬਦੀਲੀ,पिढीचे पर्यायी
ਉਚਾਈ ਬਿਮਾਰੀ,उंची आजारपण
ਉਚਾਈ,समुद्रसपाटीपासूनची उंची
ਐਲਵੋਲਰ ਡੈਕਟ,अल्व्होलर नलिका
ਅਲਾਈਨ,एलिटेस
ਅਲਜ਼ਾਈਮਰ ਰੋਗ,अल्झायमर रोग
ਅਮੈਕਰਾਈਨ ਸੈੱਲ,अमॅक्रिन सेल
ਅਮਰੰਥੈਸੇ,अमरॅन्थेसी
ਅਮੈਸ਼ਨਥਸ,अमरॅन्थस
ਅੰਬੀਨਟ ਓਮੋਟਿਕ ਗਾੜ੍ਹਾਪਣ,वातावरणीय ऑस्मोटिक एकाग्रता
ਅਮੈਸਟੋਮਾ,अ‍ॅम्बिस्टोमा
ਐਮੀਡ,अमाइड
ਅਮੀਨੋ ਐਸਿਡ,अमिनो आम्ल
ਅਮੀਨੋ ਐਸਿਡ ਸਵੀਕਾਰਟਰ,अमीनो acid सिड स्वीकारणारा
ਅਮੀਨੋਸਾੱਲ ਟੀ ਆਰ ਐਨ ਏ ਸਿੰਥੇਟੇਸ,एमिनोआसिल टी आरएनए सिंथेथेस
ਅਮੀਨੋਕੁਲੇਸ਼ਨ,एमिनोआसिलेशन
ਅਮਿਤੋਸਿਸ,अमिटोसिस
ਅਮੋਨੀਆ,अमोनिया
ਅਨੁਮੋਧ,अमोनिफिकेशन
ਅਮੋਨੋਟੇਲਿਜ਼ਮ,अमोनोटेलिझम
ਅਮਨੀਓਸੈਂਟੀਸਿਸ,अ‍ॅम्निओसेन्टेसिस
ਅਮਨੀਓਸੈਂਟੀਸਿਸ ਤਕਨੀਕ,अ‍ॅम्निओसेन्टेसिस तंत्र
ਅਮਨੀਓਸਾਈਟ,अ‍ॅम्निओसाइट
ਅਮਨੀਅਨ,अम्नियन
ਅਮਨੀਓਟਿਕ ਤਰਲ,गर्भाशयातील द्रव
ਐਮਨੀਓਟਿਕ ਝਿੱਲੀ,अम्नीओटिक झिल्ली
ਅਮਨੀਓਟਿਕਯੂ,अम्नीओटिक थैली
ਅਮੋਬਾ,अमोबा
ਅਮੀਓਬੋਸਾਈਟ,अमीबोसाइट
ਅਮੀਬੋਇਡ,अमोबॉइड
ਅਮੀਬੋਇਡ ਲਿੰਫੋਸਾਈਟ,अ‍ॅमोबॉइड लिम्फोसाइट
ਅਮੀਬੋਇਡ ਅੰਦੋਲਨ,अ‍ॅमोबॉइड चळवळ
ਅਮੋਰੈਫਸ,अनाकार
ਦੀ ਰਕਮ,रक्कम
ਅਮੀਫੇਟਾਮਾਈਨ,अ‍ॅम्फेटामाइन
ਅਮਫੀਬੀਆ,उभयचर
ਐਫੀਬੀਅਨ,उभयचर
ਐਫੀਬੀਅਨ,उभयचर
Amphioxus,अ‍ॅम्फिओक्सस
Amphioxus Lannolotus,अ‍ॅम्फिओक्सस लॅन्सोलाटस
ਐਮਫੀਪਾਥਿਕ,अ‍ॅम्फिपाथिक
ਐਮਫੀਪਾਥਿਕ ਲਿਪਿਡ,अ‍ॅम्फिपाथिक लिपिड
ਅਮਫੀਸਾਰਕਾ,अ‍ॅम्फिसार्का
ਐਂਪੀਸਿਲਿਨ,अ‍ॅम्पिसिलिन
Ampulla,अ‍ॅम्पुल्ला
ਐਮਪੁੱਲੇਰੀ ਗਲੈਂਡ,अ‍ॅम्प्युलरी ग्रंथी
ਅਮੀਗਡਲ,अ‍ॅमीगडल
ਅਮੀਗਡੇਲ,अ‍ॅमीगडेल
ਅਮੀਗਡਲਿਨ,अ‍ॅमीग्डालिन
ਐਮੀਲੇਸ,अ‍ॅमिलेज
ਅਮੋਲੋਪਲਾਸਸਟ,अ‍ॅमिलोप्लास्ट
ਅਨਬਾਨਾ,अनाबेना
ਅਨਬਾਸ,अनबास
ਐਨਾਬੋਲਿਕ ਮਾਰਗਾਂ,अ‍ॅनाबॉलिक मार्ग
ਐਨਾਬੋਲਿਜ਼ਮ,अ‍ॅनाबोलिझम
ਅਨਾਕਾਰਿਆਸੀ,अ‍ॅनाकार्डियासी
ਅਨੀਮੀਆ,अशक्तपणा
ਅਨੀਰੋਬ,अनरोब
ਅਨੈਰੋਬਿਕ ਬਾਲਣ,अनॅरोबिक इंधन
ਅਨੈਰੋਬਿਕ ਸਾਹ,अनरोबिक श्वसन
ਅਨੈਰੋਬਿਕ ਸਲੈਗ ਡਿਜਸਟਰ,अनॅरोबिक गाळ डायजेस्टर
ਅਨੀਰੋਬਿਕ,अनॅरोबिक
ਅਨਾਮਾ,अनाईमा
ਗੁਦਾ,गुदद्वारासंबंधीचा
ਗੁਦਾ,गुदद्वारासंबंधीचा
ਗੁਦਾ ਅਪਰਚਰ,गुदद्वारासंबंधीचा छिद्र
ਗੁਦਾ ਕਰਬੇਲੀ,गुदद्वारासंबंधीचा सेर्सी
ਗੁਦਾ ਲੂਪ,गुद्द्वार लूप
ਗੁਦਾ ਸ਼ੈਲੀ,गुद्द्वार शैली
ਸਮਾਨ,समान
ਸਮਾਨ,समान
ਸਮਾਨਤਾ,समानता
ਸਮਾਨਤਾ,समानता
ਵਿਸ਼ਲੇਸ਼ਣ,विश्लेषण
ਐਨਾਫਸੇਸ,अनाफेस
ਐਨੀਟੋਮਿਕ ਬੈਰੀਅਰ,शरीरशास्त्र अडथळा
ਐਨਾਟੋਮਿਕਲ ਪਹਿਲੂ,शारीरिक पैलू
ਐਨੀਟੋਮਿਸਟ,शरीरशास्त्रज्ञ
ਸਰੀਰ ਵਿਗਿਆਨ,शरीरशास्त्र
ਪੂਰਵਜ ਵੰਸ਼ਜ ਕ੍ਰਮ,पूर्वज वंशज अनुक्रम
ਜੱਦੀ ਵੰਸ਼ਜ,वडिलोपार्जित वंश
ਪੂਰਵਜ ਕ੍ਰਮ,वडिलोपार्जित क्रम
ਐਸੀਕੇਲੋਸਟੋਮਾ,एन्सिलोस्टोमा
ਐਂਡਰੋਸੀਅਮ,एंड्रोइसीयम
ਐਂਡਰੋਜਨ,एंड्रोजेन
ਅਨੀਮੀਆ,अशक्तपणा
ਅਨੀਮੋਨ,Enemone
ਅਨੀਉਟਲੋਇਡ,Eneuploid
ਅਨੀਯੁਰਾਕੀਡੀ,Eneuploidy
ਐਨਜਾਈਨਾ,एनजाइना
ਐਂਜੀਗਰਾਮ,एंजिओग्राम
ਐਂਜੀਓਗ੍ਰਾਫ,एंजियोग्राफ
ਐਂਜੀਓਗ੍ਰਾਫੀ,एंजियोग्राफी
ਐਂਜੀਓਪਲਾਸਟੀ,एंजियोप्लास्टी
ਐਂਜੀਓਸਪਰਸਮ,एंजिओस्पर्म
ਐਂਜੀਓਟੈਨਸਿਨ,अँजिओटेन्सिन
ਐਂਜੀਓਟੈਨਸਿਨੋਜਨ,एंजियोटेंसीनोजेन
ਐਂਗਲਰ ਮੱਛੀ,अँगलर फिश
ਅੰਗੀਨਾ,एंगुइना
Anguiss,एंगुइस
ਜਾਨਵਰ,प्राणी
ਜਾਨਵਰ,प्राणी
ਜਾਨਵਰ ਗੋਬਰ,प्राणी शेण
ਪਸ਼ੂ ਪਾਲਣ,पशुसंवर्धन
ਜਾਨਵਰ ਕੈਰੀਓਟਾਈਪਿੰਗ,अ‍ॅनिमल कॅरिओटाइपिंग
ਪਸ਼ੂ ਰਾਜ,प्राण्यांचे राज्य
ਜਾਨਵਰਾਂ ਦੇ ਟਿਸ਼ੂ,प्राणी ऊतक
ਯੰਤਰੀਆ,अ‍ॅनिमालिया
Anion,आयन
ਐਨਿਸੋਟ੍ਰੋਪਿਕ ਬੈਂਡ,एनिसोट्रॉपिक बँड
ਐਂਲਿੰਗਿੰਗ,En नीलिंग
ਅੰਨੇਲਿਡ,अ‍ॅनेलिड
ਅਨਲਿਲਡਾ,अ‍ॅनेलिडा
ਸਾਲਾਨਾ ਰਿੰਗ,वार्षिक रिंग
ਅੰਨਟੇਡ,एनुलेटेड
ਸਾਲ,एन्युले
ਅਸਧਾਰਨ ਕਿਸਮ,विसंगती प्रकार
ਐਨਾਓਫੇਲਜ਼,अ‍ॅनोफेल्स
ਕੀੜੀ ਹੈਟਰ,मुंगी खाणारा
ਵਿਰੋਧੀ,विरोधी
ਅੰਟਾਰਕਟਿਕ,अंटार्क्टिक
ਐਂਟੀਨਾ,अँटेना
ਐਂਟੀਨਾ ਕੰਪਲੈਕਸ,अँटेना कॉम्प्लेक्स
ਐਨਟੇਨਲ ਗਲੈਂਡ,अँटेनल ग्रंथी
ਪਿਛਲੇ (ਵੈਂਟ੍ਰਲ) ਸਲੇਟੀ ਸਿੰਗ,पूर्ववर्ती (व्हेंट्रल) ग्रे हॉर्न
ਐਂਟੀਰੀਫਾਈਫਾਈਸਿਸ,आधीचा हायपोफिसिस
ਐਂਟੀਰੀਅਰ ਇੰਟਰਵੈਂਟ੍ਰਿਕੂਲਰ ਸੂਲਕਸ,पूर्ववर्ती इंटरव्हेंट्रिक्युलर सल्कस
ਐਂਥਰ,अँथर
ਐਂਥਰ ਸਭਿਆਚਾਰ,अँथर संस्कृती
ਐਂਡਰਾਈਡਿਅਮ,अँथेरिडियम
ਐਂਡਰੋਜ਼ੋਇਡ,अँथेरोझॉइड
ਐਂਥਸੋਰੋਸ,अँथोसेरोस
ਐਂਥੋਸਰੋਟੋਫਡਾਡਾ,अँथोसेरोटोप्सिडा
ਐਂਥ੍ਰੈਕਸ,अँथ्रॅक्स
ਐਂਥ੍ਰੋਪੋਜਾਈਜਡ ਅਲੋਪ,अँथ्रोपोजेनिक विलोपन
ਮਾਨਵ-ਵਿਗਿਆਨ,मानववंशशास्त्र
ਐਂਟੀਬੈਕਟੀਰੀਅਲ,अँटीबैक्टीरियल
ਐਂਟੀਬਾਇਓਟਿਕ ਪੈਨਸਿਲਿਨ,अँटीबायोटिक पेनिसिलिन
ਐਂਟੀਬਾਇਓਟਿਕ ਰੋਧਕ,प्रतिजैविक प्रतिरोधक
ਐਂਟੀਬਾਇਓਟਿਕ (ਜ਼),प्रतिजैविक (ओ)
ਐਂਟੀਬਾਡੀ,प्रतिपिंडे
ਐਂਟੀਬਾਡੀ ਜੋੜਾ,अँटीबॉडी जोडपे
ਐਂਟੀਬਾਡੀ ਵਿਚੋਲੀ ਛੋਟ,प्रतिपिंडे मध्यस्थ प्रतिकारशक्ती
ਐਂਟੀਕੋਆਗੂਲੈਂਟ,अँटीकोआगुलंट
ਐਂਟੀਕੋਡਨ ਲੂਪ,अँटीकोडॉन लूप
ਰੋਗਾਣੂਨਾਸ਼ਕ,प्रतिरोधक
