Assamese,Gujarati
বান্ধি ৰখা সামগ্ৰী,બંધનકર્તા સામગ્રી
বায়টৰ তত্ত্ব,બાયોટનો સિદ્ધાંત
বিটুমিন,બીટુમેન
ক’লা কপাহী মাটি,કાળી કપાસની માટી
ক&#39;লা পৃথিৱী,કાળી પૃથ્વી
ক’লা টাৰ্ফ মাটি,કાળી જડિયાંવાળી જમીન
ব্লেড,બ્લેડ
ব্লাষ্ট ফাৰ্নেচ স্লেগ চিমেণ্ট,બ્લાસ્ટ ફર્નેસ સ્લેગ સિમેન્ટ
ব্লকযুক্ত গঠন,બ્લોકી માળખું
বগী প্ৰতিৰোধ,બોગી પ્રતિકાર
বোগ-লোহাৰ অক্সাইড,બોગ-આયર્ન ઓર
বান্ধোন,બોન્ડ
বণ্ডেড সদস্য,બંધાયેલા સભ્ય
বণ্ডেড পোষ্ট টেনচিং,બોન્ડેડ પોસ્ટ ટેન્શનિંગ
বণ্ড ষ্টোন,બોન્ડ પથ્થર
বান্ধি থোৱা পানী,બંધાયેલ પાણી
বক্স নালা,બોક્સ ગટર
ব্ৰেচ,તાણવું
ইটা-অন-এজ,ઈંટ પર ધાર
লজ্জাজনক,બ્રિડલ
উজ্জ্বলতা,તેજ
বাদামী মাটি,બ્રાઉન માટી
ভৱন,બિલ્ડીંગ
বিল্ডিং জৰীপকাৰী,બિલ્ડીંગ સર્વેયર
বাফাৰ,બફર
বাফাৰ বক্ৰ,બફર વળાંક
বাফাৰিং,બફરિંગ
বাফাৰিং ক্ষমতা,બફરિંગ ક્ષમતા
বাণ্ডাৰ,બંદર
বাট্ৰেছ,બટ્રેસ
গ-দিগন্ত,સી-ક્ષિતિજ
কেবল,કેબલ
কেবল মল্ডিং,કેબલ મોલ્ડિંગ
কেবলিং,કેબલિંગ
কেবিন,કેબિન
কেবিন হুক,કેબિન હૂક
কেবিনেট,કેબિનેટ
কেবল্টৰ চাকৰি এৰিছে,કેબોલ્ટે છોડી દીધું
কেফেটেৰিয়া,કાફેટેરિયા
সঁজা,કેજ
পিঞ্জৰা নিৰ্মাণ,પાંજરાનું બાંધકામ
কয়িনৰ সূত্ৰ,કાઈનનું સૂત્ર
কেইচন,કેસોન
কেইচন ৰোগ,કેસોન રોગ
কেইচন ফাউণ্ডেচন,કેસોન ફાઉન્ડેશન
কেইচন পাইল,Caisson ખૂંટો
কেলকেয়াৰযুক্ত ইটা,કેલ્કેરિયસ ઈંટ
কেলকেয়াৰযুক্ত মাটি,કેલ્કેરિયસ માટી
কেলকেয়াৰযুক্ত খোলা,કેલ્કેરિયસ પોપડો
কেলচিফিকেশন,કેલ્સિફિકેશન
কেলচিনেচন,કેલ્સિનેશન
কেলচিন,કેલ્સિન
কেলচাইট,કેલ્સાઇટ
কেলচিয়াম-এলুমিনেট চিমেণ্ট,કેલ્શિયમ-એલ્યુમિનેટ સિમેન્ટ
কেলচিয়াম-চিলিকেট ইটা,કેલ્શિયમ-સિલિકેટ ઈંટ
কেলচিয়াম-চিলিকেট হাইড্ৰেট,કેલ્શિયમ-સિલિકેટ હાઇડ્રેટ
কালিচে,કેલિચે
কেলিফৰ্ণিয়া বেয়াৰিং ৰেচিঅ’,કેલિફોર્નિયા બેરિંગ રેશિયો
কেলিপাৰ,કેલિપર
কেলৰিমিটাৰ,કેલરીમીટર
কেম্বাৰ,કેમ્બર
খাল,કેનાલ
কেনপি,કેનોપી
কেন্টিলিভাৰ ফুটিং,કેન્ટિલવર ફૂટિંગ
কেপ,કેપ
ক্ষমতা,ક્ષમતા
ail ট্ৰেকৰ ক্ষমতা,એઇલ ટ્રેકની ક્ષમતા
কেপ কেবল,કેપ કેબલ
কেপিলাৰিটি,કેપિલેરિટી
কেপিলাৰী ব্ৰেক,કેશિલરી વિરામ
কেপিলাৰী প্ৰবাহ,કેશિલરી પ્રવાહ
কেপিলাৰী আৰ্দ্ৰতা বা কেপিলাৰী পানী,કેશિલરી ભેજ અથવા કેશિલરી પાણી
কেপিলাৰী ছিদ্ৰ স্থান,કેશિલરી છિદ્ર જગ્યા
কেপিলাৰী ছিদ্ৰতা,કેશિલરી છિદ્રાળુતા
কেপিলাৰী স্থান,કેશિલરી જગ્યા
কেপচাৰ বেগ,કેપ્ચર વેગ
কাৰ্বনেচন,કાર્બોનેશન
কাৰ্বন ব্লেক,કાર્બન બ્લેક
Castble অবাধ্য,કાસ્ટબલ રીફ્રેક્ટરી
কাষ্ট-ইন-প্লেচ বা কাষ্ট-ইন-চিটু,કાસ્ટ-ઇન-પ્લેસ અથવા કાસ્ટ-ઇન-સિટુ
কাষ্ট-ইন-প্লেচ পাইল,કાસ્ટ-ઇન-પ્લેસ ખૂંટો
কেষ্টাৰ,એરંડા
ঢালাই শিল,કાસ્ટ પથ્થર
অনুঘটক,ઉત્પ્રેરક
কেটেনা,કેટેના
মেকুৰীৰ মুখ,બિલાડીનો ચહેરો
মেকুৰীৰ মূৰ,બિલાડીનું માથું
কেটিয়ন,કેશન
মেকুৰী খোজ কাঢ়িব,કેટ વોક
গহ্বৰৰ ক্ষতি,પોલાણ નુકસાન
চেলাইট,સેલાઇટ
কোষীয় কংক্ৰিট,સેલ્યુલર કોંક્રિટ
কোষীয় নিৰ্মাণ,સેલ્યુલર બાંધકામ
চিমেণ্ট,સિમેન્ટ
"চিমেণ্ট, বিটুমিনাছ","સિમેન્ટ, બિટ્યુમિનસ"
"চিমেণ্ট, উচ্চ শক্তি","સિમેન્ટ, ઉચ્ચ તાકાત"
"চিমেণ্ট, হাইড্ৰলিক","સિમેન્ટ, હાઇડ્રોલિક"
"চিমেণ্ট, কম জুইত","સિમેન્ટ, ઓછી ગરમી"
"চিমেণ্ট, শিলৰ কাম","સિમેન્ટ, ચણતર"
"চিমেণ্ট, প্ৰাকৃতিক","સિમેન્ટ, કુદરતી"
"চিমেণ্ট, পৰ্টলেণ্ড","સિમેન્ટ, પોર્ટલેન્ડ"
"চিমেণ্ট, পৰ্টলেণ্ড ব্লাষ্ট ফাৰ্নেচৰ স্লেগ","સિમેન્ટ, પોર્ટલેન્ડ બ્લાસ્ટ ફર્નેસ સ્લેગ"
"চিমেণ্ট, পৰ্টলেণ্ড প&#39;জ&#39;লান","સિમેન્ટ, પોર્ટલેન્ડ પોઝોલન"
"চিমেণ্ট, স্লেগ","સિમેન્ટ, સ્લેગ"
"চিমেণ্ট, ছালফেট প্ৰতিৰোধী","સિમેન્ટ, સલ્ફેટ પ્રતિરોધક"
"চিমেণ্ট, ছুপাৰ ছালফেটেড","સિમેન્ટ, સુપર સલ્ફેટેડ"
"চিমেণ্ট, বগা","સિમેન્ટ, સફેદ"
চিমেণ্ট-এগ্ৰিগেটৰ অনুপাত,સિમેન્ટ-એગ્રિગેટ રેશિયો
চিমেণ্টৰ পৰিমাণ,સિમેન્ટ સામગ્રી
চিমেণ্ট জেল,સિમેન્ટ જેલ
চিমেণ্টৰ বন্দুক,સિમેન્ટ બંદૂક
চিমেণ্টৰ ভঁৰাল,સિમેન્ટ ભઠ્ઠી
চিমেণ্টৰ ৰং,સિમેન્ટ પેઇન્ટ
চিমেণ্টৰ প্লাষ্টাৰ,સિમેન્ટ પ્લાસ્ટર
চিমেণ্টৰ শিল,સિમેન્ટ ખડક
চিমেণ্টৰ গোন্ধ,સિમેન્ટ સ્લરી
চিমেণ্ট সংৰক্ষণ,સિમેન્ટ સંગ્રહ
চিমেণ্টেচন প্ৰক্ৰিয়া,સિમેન્ટેશન પ્રક્રિયા
কেন্দ্ৰীকৰণ,સેન્ટરિંગ
চেণ্টাৰিং আৰু শ্বাটাৰিং,સેન્ટરિંગ અને શટરિંગ
কেন্দ্ৰীয় মিশ্ৰিত কংক্ৰিট,કેન્દ્રીય મિશ્રિત કોંક્રિટ
কেন্দ্ৰীয় মিক্সাৰ,સેન્ટ્રલ મિક્સર
কেন্দ্ৰপৃথক ফেন,કેન્દ્રત્યાગી ચાહક
চক,ચાક
চেমফাৰ,ચેમ્ફર
চেমফাৰ ষ্ট্ৰিপ,ચેમ્ફર સ્ટ્રીપ
চেনেল বিম,ચેનલ બીમ
বৈশিষ্ট্যপূৰ্ণ বোজা,લાક્ષણિક લોડ
বৈশিষ্ট্যপূৰ্ণ শক্তি,લાક્ષણિકતા શક્તિ
চাৰ্জ অফ কৰক,ચાર્જ બંધ
চাৰ্জিং,ચાર્જિંગ
পৰীক্ষা কৰি আছে,તપાસવું
ৰাসায়নিক বন্ধন,કેમિકલ બોન્ડ
চেৰনোজেম,ચેર્નોઝેમ
চেষ্টনাটৰ মাটি,ચેસ્ટનટ માટી
চিমনিৰ নালা,ચીમની ગટર
চিপ বৰ্ড,ચિપ બોર્ડ
চিপিং,ચીપીંગ
চিপছ,ચિપ્સ
চুটে,ચૂટ
শ্ৰেণী (কংক্ৰিটৰ),વર્ગ (કોંક્રિટનો)
বোকা মাটি,માટી
মাটিৰ পৰিমাণ,માટી સામગ્રી
মাটিৰ কেৰাহী,માટીની તપેલી
ক্লিনআউট,સાફ કરો
চাফ-চিকুণ কৰক,સાફ કરો
ক্লিট কৰক,ક્લીટ
ক্লিংকাৰ,ક્લિન્કર
ক্লিপ,ક્લિપ
জমা হোৱা,કોગ્યુલેશન
মোটা গোটা পদাৰ্থ,બરછટ એકંદર
মোটা দানাযুক্ত মাটি,બરછટ દાણાવાળી માટી
কোট,કોટ
কফাৰ বান্ধ,કોફર ડેમ
সংহতি,સંયોગ
কলয়ড,કોલોઇડ
কলয়ডাল আৰ্দ্ৰতাৰ সমতুল্য অনুপাত,કોલોઇડલ ભેજ સમકક્ષ ગુણોત્તર
কলয়ডাল ব্যৱস্থা,કોલોઇડલ સિસ્ટમ
কলুভিয়াল মাটি,કોલ્યુવિયલ માટી
স্তম্ভ,કૉલમ
কম্বড ফিনিচিং,કોમ્બેડ પૂર્ણાહુતિ
সংযুক্ত ফুটিং,સંયુક્ત પગ
সংযুক্ত পানী,સંયુક્ત પાણી
কমন ৰুম,સામાન્ય રૂમ
সম্পূৰ্ণ হোৱাৰ প্ৰমাণ পত্ৰ,પૂર્ણતા પ્રમાણપત્ર
উপাদান বৰ্গ,ઘટક ચોરસ
কংক্ৰিট,કોંક્રિટ
কংক্ৰিচন,કન્ક્રિશન
একত্ৰিত হাৰ/ফ্লেট হাৰ,એકીકૃત દર/સપાટ દર
দূষক পদাৰ্থ,દૂષકો
ৰন্ধা-বঢ়াৰ এলকোভ,રસોઇ alcove
মোকাবিলা কৰা,મુકાબલો
কৰ্বেল,કોર્બેલ
কৰ্নিচ,કોર્નિસ
কাপলাৰ,કપલર
"কাপলাৰ, ডাবল","કપલર, ડબલ"
"কাপলাৰ, পুটলগ","કપલર, પુટલોગ"
"কাপলাৰ, চুইভেল","કપલર, સ્વીવેલ"
ধাৰা,અભ્યાસક્રમ
কোৰ্চ কৰা ৰেণ্ডম ধ্বংসাৱশেষ শিলৰ কাম,કોર્સ્ડ રેન્ડમ રોડાં ચણતર
আবৃত অঞ্চল,આવરી લેવામાં આવેલ વિસ્તાર
অধম,કમકમાટી
ক্ৰিপ সহগ,ક્રીપ ગુણાંક
ক্ৰ&#39;ট&#39;ভাইন,ક્રોટોવાઇન
কাউৰী ভৰি,કાગડો પગ
ক্ৰাম গঠন,નાનો ટુકડો બટકું માળખું
প্ৰতিবন্ধক,કર્બ
সোঁত,વર્તમાન
বক্ৰ প্ৰতিৰোধ ক্ষমতা,વળાંક પ્રતિકાર
ডেম্প প্ৰুফ কোৰ্চ,ભીનાશ પ્રૂફ કોર્સ
সম্পূৰ্ণ হোৱাৰ তাৰিখ,પૂર્ણ થવાની તારીખ
ডেড লোড,ડેડ લોડ
মৰা পানী,મૃત પાણી
ডেচিবেল,ડેસિબલ
ডিফ্ল’কুলেচন,ડિફ્લોક્યુલેશન
বায়ুমণ্ডলৰ মাত্ৰা বা বায়ু স্থান অনুপাত,વાયુમિશ્રણ અથવા એર સ્પેસ રેશિયોની ડિગ્રી
একত্ৰীকৰণৰ মাত্ৰা,એકત્રીકરણની ડિગ્રી
বিক্ষিপ্ততাৰ মাত্ৰা,વિખેરવાની ડિગ્રી
চেচুৰেচনৰ ডিগ্ৰী,સંતૃપ્તિની ડિગ્રી
ঘনত্ব,ઘનતા
মৰুভূমিৰ ফুটপাথ,રણ પેવમેન્ટ
মৰুভূমিৰ মাটি,રણની માટી
সবিশেষ,વિગતો
উন্নয়নৰ সময়ছোৱা,વિકાસ સમયગાળો
ডি-দিগন্ত,ડી-ક્ષિતિજ
তিৰ্যক বন্ধন,કર્ણ બંધન
ডায়াগ্ৰাম,ડાયાગ્રામ
ডিজিটেল ডক,ડિજિટલ ડોક
ভিন্নতামূলক পানীৰ হাৰ,વિભેદક પાણી દર
পাতল কৰা ভেণ্টিলেচন,મંદન વેન્ટિલેશન
ডিলুভিয়াম,ડિલુવિયમ
খোৱাঘৰ,ડાઇનિંગ રૂમ
দিশৰ পেগ,દિશા ખીંટી
বিক্ষিপ্ততা,વિક્ષેપ
ডিষ্টেম্পাৰ,ડિસ્ટેમ્પર
ডক,ડોક
দুৱাৰ,દરવાજો
ডৰ্মাৰ,ડોર્મર
ডৰ্মাৰ চেক,ડોર્મર ચેક
ডাবল ফ্লেমিছ বণ্ড,ડબલ ફ્લેમિશ બોન્ડ
ডাবল লেয়াৰ,ડબલ લેયર
ডৱেল,ડોવેલ
অংকন বৰ্ড,ચિત્ર ફલક
ড্ৰয়িং ৰুম,દીવાનખાનું
ড্ৰিফ্ট,ડ્રિફ્ટ
শুকান বাল্বৰ উষ্ণতা,શુષ્ક બલ્બ તાપમાન
শুকান ডক,ડ્રાય ડોક
শুকান ৰবৰৰ শিলৰ কাম,સુકા રબર ચણતર
ডাচ বণ্ড,ડચ બોન્ડ
বামন দেৱাল,વામન દિવાલ
বাসস্থানৰ ইউনিট,નિવાસ એકમ
ইভ,ઇવ
ইভছ নালা,Eaves ગટર
অৰ্থনৈতিক সম্ভাৱনীয়তা,આર્થિક શક્યતા
বহিঃগতিশীল মাটি,એક્ટોડાયનેમોર્ફિક માટી
এডি,એડી
ফলপ্ৰসূ আকাৰ,અસરકારક કદ
ফুলৰ ফুলনি,પુષ્પવૃત્તિ
এফ্লুৱেণ্ট,એફ્લુઅન્ટ
উচ্চতা,એલિવેશન
এলুভিয়েচন,એલુવિએશન
এলুভিয়াম,એલ્યુવિયમ
এণ্ডোডাইনামৰ্ফিক মাটি,એન્ડોડાયનેમોર્ફિક માટી
অভিযান্ত্ৰিক সম্ভাৱনীয়তা,એન્જિનિયરિંગની શક્યતા
ইংৰাজী বণ্ড,અંગ્રેજી બોન્ડ
ইংৰাজী বাগিচাৰ দেৱালৰ বণ্ড,અંગ્રેજી ગાર્ડન વોલ બોન્ડ
"ইপিএম (প্ৰতি মিলিয়নৰ সমতুল্য),&quot;","EPM (મિલિયન દીઠ સમકક્ષ),&quot;"
সমতুল্য ওজন,સમકક્ષ વજન
Erg,અર્ગ
বিনিময়যোগ্য,વિનિમયક્ષમ
বিনিময়যোগ্য এচিডিটি,વિનિમયક્ષમ એસિડિટી
বিনিময়যোগ্য ছডিয়াম শতাংশ (ESP),વિનિમયક્ષમ સોડિયમ ટકાવારી (ESP)
ই এছ পি.,ઇ.એસ.પી.
বিনিময় এচিডিটি,એક્સચેન્જ એસિડિટી
এক্সচেঞ্জ কমপ্লেক্স,વિનિમય સંકુલ
নিষ্কাশন,એક્ઝોસ્ટ
উন্মুক্ত ফিনিচিং,ખુલ્લી પૂર્ણાહુતિ
নয়ন,આંખ
চকুৰ ভ্ৰূ,આંખ ભ્રમર
মুখামুখি,સામનો કરવો
বন্ধনৰ সন্মুখীন হোৱা,બોન્ડનો સામનો કરવો
সুৰক্ষাৰ কাৰক,સલામતીનું પરિબળ
পৰি যোৱা,પડવું
ফেচিয়া,ફેસિયા
ফেচিয়া বৰ্ড,ફેસિયા બોર્ડ
দোষ,દોષ
পথাৰ আৰ্দ্ৰতা,ક્ષેત્રની ભેજ
চূড়ান্ত আৰ্দ্ৰতাৰ সমতুল্য,અંતિમ ભેજ સમકક્ષ
ফিলেট (মৰ্টাৰৰ),ફિલેટ (મોર્ટારનું)
চূড়ান্ত,અંતિમ
চূড়ান্ত জোখ-মাখ,અંતિમ માપન
চূড়ান্ত পেমেণ্টq,અંતિમ ચુકવણીq
চূড়ান্ত প্ৰি ষ্ট্ৰেছ,અંતિમ પૂર્વ તણાવ
চূড়ান্ত উত্তেজনা,અંતિમ તાણ
আৰ্থিক সম্ভাৱনীয়তা,નાણાકીય શક્યતા
মিহি গোটা পদাৰ্থ,ફાઇન એકંદર
ছিন্নভিন্ন শিল,ફિસર્ડ ખડક
পতাকা শিল,ધ્વજ પથ્થર
ফ্লেমিছ বন্ধন,ફ્લેમિશ બોન્ડ
ফিচফিচাই থকা,ફ્લેશિંગ
ঝলমলীয়া ধাৰা,ચમકદાર પ્રવાહ
সমতল চাল,સપાટ છત
ফ্লেচে,ફ્લેચે
ফ্লেমিছ বাগিচাৰ দেৱালৰ বন্ধন,ફ્લેમિશ ગાર્ડન વોલ બોન્ડ
ফ্লিন্ট,ચકમક
ফ্লিণ্টৰ দেৱাল,ફ્લિન્ટ દિવાલ
ভাসমান মজিয়া,ફ્લોટિંગ ફ્લોર
ফ্লকুলেচন,ફ્લોક્યુલેશન
ফ্লকুলেচন সীমা,ફ્લોક્યુલેશન મર્યાદા
ফ্লকুলেচন অনুপাত,ફ્લોક્યુલેશન રેશિયો
ফ্লকুলেছ,ફ્લોક્યુલ્સ
মজিয়া,ફ્લોર
মজিয়াৰ ছীল,ફ્લોર સીલ
বৈ অহা,પ્રવાહ
উঠা-নমা,વધઘટ
ফুটিং,ફૂટિંગ
ভেঁটি,ફાઉન્ડેશન
ফ্ৰী ফ&#39;ল বেৰ&#39; টপিং মিক্সাৰ,ફ્રી ફોલ બેરો ટોપિંગ મિક્સર
ফ্ৰী ফ&#39;ল মিক্সাৰ (ড্ৰাম টাইপ),ફ્રી ફોલ મિક્સર (ડ્રમ પ્રકાર)
মুক্ত শিল,મફત પથ્થર
ফ্ৰেছেট,ફ્રેશેટ
ঘৰ্ষণৰ স্তূপ,ઘર્ષણ ખૂંટો
ভেকুলী,દેડકા
গেবল,ગેબલ
গেবলেট,ગેબલેટ
গাম্ব্ৰেলৰ চাল,ગેમ્બ્રેલ છત
জোখ লোৱা,ગેજ
গেজিং অংশ,માપન વિભાગ
গেজিং ষ্টেচন,ગેજિંગ સ્ટેશન
সাধাৰণ স্থান পৰিকল্পনা,સામાન્ય સ્થાન યોજના
সাধাৰণ বায়ু চলাচল,સામાન્ય વેન્ટિલેશન
G দিগন্ত বা গ্লে দিগন্ত,G ક્ષિતિજ અથવા gley ક્ષિતિજ
হিমবাহৰ টিল,સુધી હિમનદી
গ্নেইছ,જીનીસ
সামগ্ৰীৰ চোতাল,માલ યાર્ડ
গ্ৰেডিয়েণ্ট ৰেজিষ্টেন্স,ઢાળ પ્રતિકાર
গ্ৰেনাইট,ગ્રેનાઈટ
দানাদাৰ গঠন,દાણાદાર માળખું
গ্ৰেনুলেচন,દાણાદાર
গ্ৰেনুল,ગ્રાન્યુલ
মহাকৰ্ষণীয় পানীমুক্ত পানী,ગુરુત્વાકર્ષણ મુક્ત પાણી
মহাকৰ্ষণীয় চোতাল,ગુરુત્વાકર્ષણ યાર્ડ
মহান মাটিৰ গোট,ગ્રેટ માટી જૂથ
গ্ৰীলেজ ফাউণ্ডেচন,ગ્રિલેજ ફાઉન્ડેશન
গ্ৰাউণ্ড হেণ্ড মল্ডিং,ગ્રાઉન્ડ હેન્ડ મોલ્ડિંગ
গ্ৰুপ কৰা ডক,જૂથબદ્ધ ડોક
গ্ৰুপ হাউছিং,ગ્રુપ હાઉસિંગ
অতিথিশালা,અતિથિ ખંડ
নালা,ગટર
নালা বাহক,ગટર ધારક
নালা পৰীক্ষা,ગટર ચેક
হাতুৰীৰে ড্ৰেছিং,હેમર ડ્રેસિંગ
বন্দৰ,હાર્બર
আশ্ৰয়ৰ বন্দৰ,આશ્રય બંદર
কঠিন কেৰাহী,સખત તપેલી
হেডাৰ,હેડર
হেডাৰ বণ্ড,હેડર બોન્ડ
হেডাৰ পাঠ্যক্ৰম,હેડર કોર્સ
হেড গেটৰ গঠন,હેડ ગેટ સ્ટ્રક્ચર
খালৰ মূৰ,કેનાલના વડા
হেড ৰেগুলেটৰ,હેડ રેગ્યુલેટર
হেৰিং হাড়ৰ বন্ধন,હેરિંગ બોન બોન્ડ
হৃদয়স্পৰ্শী,હાર્ટીંગ
তিয়াই থোৱাৰ তাপ,ભીનાશની ગરમી
উচ্চ এলুমিনা চিমেণ্ট,ઉચ્ચ એલ્યુમિના સિમેન્ટ
কঁকাল,હિપ
হিপ কেপিং,હિપ કેપિંગ
হিপড এণ্ড,હિપ્ડ એન્ડ
ডকাইত,હૂડ
হুড মল্ডিং,હૂડ મોલ્ડિંગ
হুক’ৰ আইন,હૂકનો કાયદો
হুপ লোহা,હૂપ આયર્ન
দিগন্ত,ક્ષિતિજ
আৰ্দ্ৰকৰণ,ભેજીકરણ
"আৰ্দ্ৰতা, নিৰপেক্ষ","ભેજ, સંપૂર્ણ"
"আৰ্দ্ৰতা, আপেক্ষিক","ભેજ, સંબંધિત"
হাম্প চোতাল,હમ્પ યાર્ડ
হাইড্ৰলিক চাপ,હાઇડ્રોલિક દબાણ
জলসিঞ্চন,હાઇડ્રેશન
হাইড্ৰ’লাইছিছ,હાઇડ્રોલિસિસ
হাইড্ৰ’লাইটিক এচিডিটি,હાઇડ્રોલિટીક એસિડિટી
জলৰূপী মাটি,હાઇડ્રોમોર્ફિક માટી
হাইড্ৰফিলিক কলয়ড,હાઇડ્રોફિલિક કોલોઇડ
হাইড্ৰ’ফ’বিক কলয়ড,હાઇડ્રોફોબિક કોલોઇડ
হাইড্ৰ’ষ্টেটিক চাপৰ অনুপাত,હાઇડ્રોસ્ટેટિક દબાણ ગુણોત્તર
হাইগ্ৰ’স্কেপ্টিক সহগ,હાઇગ્રોસ્કેપ્ટિક ગુણાંક
হাইগ্ৰস্কোপিক আৰ্দ্ৰতা,હાઇગ્રોસ્કોપિક ભેજ
হাইড্ৰস্কোপিচিটি,હાઇડ્રોસ્કોપીસીટી
হাইগ্ৰস্কোপিক আৰ্দ্ৰতা,હાઇગ્રોસ્કોપિક ભેજ
হাইপাৰবেৰিক চেম্বাৰ,હાયપરબેરિક ચેમ્બર
হাইপাৰষ্টেটিক ফ্ৰেম,હાઇપરસ્ટેટિક ફ્રેમ
হাইপছ’মিটাৰ,હાઇપ્સોમીટર
আলোকসজ্জা,રોશની
