Malayalam,Punjabi
അനലോഗ്-ടു-ഡിജിറ്റൽ കൺവെർട്ടർ,ਐਨਾਲਾਗ-ਟੂ-ਡਿਜੀਟਲ ਕਨਵਰਟਰ
അനലോഗ് കമ്പ്യൂട്ടർ,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
വിശകലനം,ਵਿਸ਼ਲੇਸ਼ਣ
സഹവർത്തിത്വത്തിന്റെ വിശകലനം,ਸਹਿਪ੍ਰਸਤੀ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
എണ്ണൽ ഡാറ്റയുടെ വിശകലനം,ਗਣਨਾ ਡੇਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
വ്യതിയാനത്തിന്റെ വിശകലനം,ਵਿਭਿੰਨਤਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
അനലിറ്റിക് ജ്യാമിതി,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ
വിശകലന പ്രവർത്തനം,ਵਿਸ਼ਲੇਸ਼ਣ ਫੰਕਸ਼ਨ
കോൺ,ਕੋਣ
കോൺടാക്റ്റ് കോൺ,ਸੰਪਰਕ ਦਾ ਕੋਣ
വ്യതിചലനത്തിന്റെ കോൺ,ਭਟਕਣ ਦਾ ਕੋਣ
വിഷാദത്തിന്റെ ആംഗിൾ,ਡਿਪਰੈਸ਼ਨ ਦਾ ਕੋਣ
വ്യതിയാനത്തിന്റെ കോൺ,ਭਟਕਣ ਦਾ ਕੋਣ
ഡിഫ്രാക്ഷൻ കോൺ,ਵਿਭਿੰਨਤਾ ਦਾ ਕੋਣ
എലവേഷൻ കോൺ,ਉਚਾਈ ਦਾ ਕੋਣ
സംഭവത്തിന്റെ കോൺ,ਘਟਨਾ ਦਾ ਕੋਣ
പ്രൊജക്ഷൻ കോൺ,ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ
പ്രതിഫലനത്തിന്റെ കോൺ,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
അപവർത്തന കോൺ,ਅਪਵਰਤਨ ਦਾ ਕੋਣ
ഭ്രമണകോണ്,ਰੋਟੇਸ਼ਨ ਦਾ ਕੋਣ
മൊത്തം പ്രതിഫലനത്തിന്റെ കോൺ,ਕੁੱਲ ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
കോണീയ ത്വരണം,ਕੋਣੀ ਪ੍ਰਵੇਗ
കോണീയ ചലനം,ਕੋਣੀ ਗਤੀ
കോണീയ വേഗത,ਕੋਣੀ ਗਤੀ
കോണീയ പ്രവേഗം,ਕੋਣੀ ਵੇਗ
വാർഷികം,ਐਨੁਲਸ
ഉത്തരം,ਜਵਾਬ
ആന്റി-ഡെറിവേറ്റീവ്,ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ
ആന്റിസിമെട്രിക് പ്രവർത്തനം,ਵਿਰੋਧੀ ਸਮਰੂਪ ਫੰਕਸ਼ਨ
ബാധകമാണ്,ਲਾਗੂ ਹੈ
അപേക്ഷ,ਐਪਲੀਕੇਸ਼ਨ
പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്,ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
പ്രയോഗിച്ച ജ്യാമിതി,ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ
പ്രയോഗിച്ച ഗണിതശാസ്ത്രം,ਲਾਗੂ ਗਣਿਤ
പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ,ਲਾਗੂ ਅੰਕੜੇ
ഏകദേശം,ਲਗਭਗ
ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം,ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ
ഏകദേശ രീതി,ਅੰਦਾਜ਼ਨ ਢੰਗ
ഏകദേശ പരിഹാരം,ਅੰਦਾਜ਼ਨ ਹੱਲ
ഏകദേശ പ്രശ്നം,ਲਗਭਗ ਸਮੱਸਿਆ
ഏകദേശ സ്വത്ത്,ਲਗਭਗ ਸੰਪਤੀ
ആപ്റ്റിറ്റ്യൂഡ് ടെസ്റ്റ് ബാറ്ററി,ਯੋਗਤਾ ਟੈਸਟ ਬੈਟਰੀ
അർഗൻഡ് ഡയഗ്രം,Argand ਚਿੱਤਰ
ഏകപക്ഷീയമായി തിരഞ്ഞെടുത്തു,ਆਪਹੁਦਰੇ ਢੰਗ ਨਾਲ ਚੁਣਿਆ ਗਿਆ ਹੈ
ഏകപക്ഷീയമായ,ਮਨਮਾਨੀ
ഏകപക്ഷീയമായ സ്ഥിരാങ്കം,ਆਪਹੁਦਰੇ ਸਥਿਰ
ഏകപക്ഷീയമായ ഘടകം,ਆਪਹੁਦਰੇ ਤੱਤ
ഏകപക്ഷീയമായ പോയിന്റ്,ਮਨਮਾਨੀ ਬਿੰਦੂ
ആർക്കെമീഡിയൻ നിയമം,ਆਰਕੀਮੀਡੀਅਨ ਕਾਨੂੰਨ
ആർക്കിമിഡീസ് തത്വം,ਆਰਕੀਮੀਡੀਜ਼ ਸਿਧਾਂਤ
ആർക്ക് നീളം,ਚਾਪ ਦੀ ਲੰਬਾਈ
വൃത്താകൃതിയിലുള്ള കമാനം,ਚੱਕਰ ਦਾ ਚਾਪ
ആർക്ക് സൈൻ വിതരണം,ਚਾਪ ਸਾਇਨ ਵੰਡ
ആർക്ക് സൈൻ പരിവർത്തനം,ਚਾਪ ਸਾਇਨ ਪਰਿਵਰਤਨ
പ്രദേശം,ਖੇਤਰ
ഏരിയൽ ടെക്സ്ചർ,ਖੇਤਰੀ ਬਣਤਰ
സങ്കീർണ്ണ സംഖ്യയുടെ വാദം,ਕੰਪਲੈਕਸ ਨੰਬਰ ਦੀ ਦਲੀਲ
ഗണിത അർത്ഥം,ਗਣਿਤ ਦਾ ਮਤਲਬ
ഗണിത പ്രവർത്തനം,ਗਣਿਤ ਦੀ ਕਾਰਵਾਈ
ഗണിത യൂണിറ്റ്,ਗਣਿਤ ਦੀ ਇਕਾਈ
ക്രമീകരണം,ਪ੍ਰਬੰਧ
അറേ,ਐਰੇ
കൃത്രിമ ഉപഗ്രഹം,ਨਕਲੀ ਸੈਟੇਲਾਈਟ
കൃത്രിമ വേരിയബിൾ,ਨਕਲੀ ਵੇਰੀਏਬਲ
കയറുക,ਚੜ੍ਹਨਾ
ആരോഹണം,ਵੱਧਦੇ ਹੋਏ
മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം,ਤੀਬਰਤਾ ਦਾ ਵੱਧਦਾ ਕ੍ਰਮ
ആരോഹണ പരമ്പര,ਚੜ੍ਹਦੀ ਲੜੀ
അസംബ്ലർ ഭാഷ,ਅਸੈਂਬਲਰ ਭਾਸ਼ਾ
അസൈൻമെന്റ് പ്രശ്നം,ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ
സഹകാരി നിയമം,ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ
ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം,ਆਪਰੇਟਰਾਂ ਦਾ ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ
അനുബന്ധ പ്രവർത്തനം,ਸਹਿਯੋਗੀ ਕਾਰਵਾਈ
സഹവാസം,ਸੰਗਤ
അർത്ഥമാക്കുന്നത്,ਮਤਲਬ ਮੰਨਿਆ
പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു,ਅਨੁਮਾਨਿਤ ਸੰਭਾਵਨਾ ਵੰਡ
അനുമാനം,ਧਾਰਨਾ
ജ്യോതിഷം,ਜੋਤਿਸ਼
ബഹിരാകാശ എഞ്ചിനീയർ,ਪੁਲਾੜ ਵਿਗਿਆਨੀ ਇੰਜੀਨੀਅਰ
ജ്യോതിശാസ്ത്രജ്ഞൻ,ਖਗੋਲ ਵਿਗਿਆਨੀ
ജ്യോതിശാസ്ത്ര ഘടികാരം,ਖਗੋਲੀ ਘੜੀ
ജ്യോതിശാസ്ത്രം,ਖਗੋਲ ਵਿਗਿਆਨ
അസമമായ വക്രം,ਅਸਮਿਤ ਵਕਰ
അസമമിതി,ਅਸਮਿਤੀ
ലക്ഷണം,asymptote
അസിംപ്റ്റോട്ടിക്,asymptotic
അസിംപ്റ്റിക്കലി കാര്യക്ഷമമായ എസ്റ്റിമേറ്റർ,asymptotically ਕੁਸ਼ਲ ਅਨੁਮਾਨਕ
അസ്‌മിപ്റ്റിക്കലി പക്ഷപാതമില്ലാത്ത എസ്റ്റിമേറ്റർ,asymptotically ਨਿਰਪੱਖ ਅਨੁਮਾਨਕ
അസിംപ്റ്റോട്ടിക് സ്വഭാവം,asymptotic ਵਿਵਹਾਰ
അസിംപ്റ്റോട്ടിക് ഡിസ്ട്രിബ്യൂഷൻ ഫംഗ്ഷൻ,asymptotic ਵੰਡ ਫੰਕਸ਼ਨ
അസിംപ്റ്റോട്ടിക് വികാസം,asymptotic ਵਿਸਥਾਰ
അന്തരീക്ഷമർദ്ദം,ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ
മാറി മാറി,ਬੇਤਰਤੀਬੇ &#39;ਤੇ
ആട്രിബ്യൂട്ട്,ਵਿਸ਼ੇਸ਼ਤਾ
ആട്രിബ്യൂട്ടുകൾ സാമ്പിൾ നടപടിക്രമം,ਗੁਣ ਨਮੂਨਾ ਪ੍ਰਕਿਰਿਆ
വർദ്ധിപ്പിച്ച മാട്രിക്സ്,ਵਧੀ ਹੋਈ ਮੈਟਰਿਕਸ
ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്,ਸਵੈ-ਸੰਬੰਧ ਗੁਣਾਂਕ
ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ,ਸਵੈ-ਸਬੰਧੀ ਫੰਕਸ਼ਨ
ഓട്ടോകോവേരിയൻസ്,autocovariance
ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ,ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਰ
സ്വയം റിഗ്രഷൻ,ਆਟੋਰਿਗਰੇਸ਼ਨ
സഹായ സമവാക്യം,ਸਹਾਇਕ ਸਮੀਕਰਨ
ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (ASN കർവ്),ਔਸਤ ਨਮੂਨਾ ਨੰਬਰ ਵਕਰ (ASN ਕਰਵ)
സിദ്ധാന്തം,axiom
അച്ചുതണ്ട് സമീപനം,ਸਵੈ-ਜੀਵਨੀ ਪਹੁੰਚ
സംഭാവ്യതയുടെ സിദ്ധാന്തം,ਸੰਭਾਵਨਾ ਦਾ axiom
അച്ചുതണ്ട്,ਧੁਰਾ
അബ്സിസ്സയുടെ അച്ചുതണ്ട്,abscissa ਦਾ ਧੁਰਾ
ഭൂമിയുടെ അച്ചുതണ്ട്,ਧਰਤੀ ਦੀ ਧੁਰੀ
വിപ്ലവത്തിന്റെ അച്ചുതണ്ട്,ਇਨਕਲਾਬ ਦੀ ਧੁਰੀ
ഭ്രമണത്തിന്റെ അച്ചുതണ്ട്,ਰੋਟੇਸ਼ਨ ਦਾ ਧੁਰਾ
സ്പിന്നിന്റെ അച്ചുതണ്ട്,ਸਪਿਨ ਦਾ ਧੁਰਾ
തിരികെ-പകരം,ਵਾਪਸ-ਸਥਾਪਨਾ
പിന്നാക്ക വ്യത്യാസം,ਪਿਛਲਾ ਫਰਕ
ബാക്ക്വാർഡ്-ഇന്റർപോളേഷൻ ഫോർമുല,ਬੈਕਵਰਡ-ਇੰਟਰਪੋਲੇਸ਼ਨ ਫਾਰਮੂਲਾ
ബാലൻസ്,ਸੰਤੁਲਨ
സമതുലിതമായ ഡിസൈൻ,ਸੰਤੁਲਿਤ ਡਿਜ਼ਾਈਨ
ബാലൻസ് ഷീറ്റ്,ਸੰਤੁਲਨ ਸ਼ੀਟ
ബാലിസ്റ്റിക് മിസൈൽ,ਬੈਲਿਸਟਿਕ ਮਿਜ਼ਾਈਲ
ബാലിസ്റ്റിക്സ്,ਬੈਲਿਸਟਿਕਸ
ബാർ,ਪੱਟੀ
അടിസ്ഥാനം,ਅਧਾਰ
അടിസ്ഥാന കോൺ,ਅਧਾਰ ਕੋਣ
ലോഗരിതം അടിസ്ഥാനം,ਲਘੂਗਣਕ ਦਾ ਅਧਾਰ
അടിസ്ഥാന,ਬੁਨਿਆਦੀ
അടിസ്ഥാന പ്രായോഗിക പരിഹാരം,ਬੁਨਿਆਦੀ ਸੰਭਵ ਹੱਲ
അടിസ്ഥാന പരിഹാരം,ਬੁਨਿਆਦੀ ਹੱਲ
അടിസ്ഥാന വേരിയബിൾ,ਬੁਨਿਆਦੀ ਵੇਰੀਏਬਲ
അടിസ്ഥാനം,ਆਧਾਰ
അടിസ്ഥാന ഘടകം,ਆਧਾਰ ਤੱਤ
അടിസ്ഥാന മാട്രിക്സ്,ਆਧਾਰ ਮੈਟਰਿਕਸ
ഒരു വെക്റ്റർ സ്ഥലത്തിന്റെ അടിസ്ഥാനം,ਇੱਕ ਵੈਕਟਰ ਸਪੇਸ ਦਾ ਅਧਾਰ
ഉപസ്ഥലത്തിന്റെ അടിസ്ഥാനം,ਸਬਸਪੇਸ ਦਾ ਆਧਾਰ
ബയേസിയൻ എസ്റ്റിമേറ്റ്,ਬੇਸੀਅਨ ਅੰਦਾਜ਼ਾ
ബയേസിന്റെ നിയമം,ਬੇਸ ਦਾ ਕਾਨੂੰਨ
ബയേസിന്റെ സിദ്ധാന്തം,ਬੇਅਸ ਦਾ ਸਿਧਾਂਤ
ബെർണൂലി വിതരണം,ਬਰਨੌਲੀ ਵੰਡ
ബെർണൂലി നമ്പർ,ਬਰਨੌਲੀ ਨੰਬਰ
ബെർണൂലി പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ,ਬਰਨੌਲੀ ਪ੍ਰੋਬੇਬਿਲਟੀ ਫੰਕਸ਼ਨ
ബെർണൂലിയുടെ സമവാക്യം,ਬਰਨੌਲੀ ਦਾ ਸਮੀਕਰਨ
ബെറി പ്രവർത്തനം,ਬੇਰੀ ਫੰਕਸ਼ਨ
ഏറ്റവും അനുയോജ്യം,ਵਧੀਆ ਫਿੱਟ
ഏറ്റവും അനുയോജ്യമായ ലൈൻ,ਵਧੀਆ - ਫਿੱਟ ਲਾਈਨ
മികച്ച പരിഹാരം,ਵਧੀਆ ਹੱਲ
മികച്ച തന്ത്രങ്ങൾ,ਵਧੀਆ ਰਣਨੀਤੀਆਂ
ബീറ്റ വിതരണം,ਬੀਟਾ ਵੰਡ
പക്ഷപാതം,ਪੱਖਪਾਤ
പക്ഷപാതപരമായ കണക്ക്,ਪੱਖਪਾਤੀ ਅਨੁਮਾਨ
ബൈഹാർമോണിക് സമവാക്യം,biharmonic ਸਮੀਕਰਨ
ബിജക്ഷൻ,ਦੋਭਾਗ
ബിജക്റ്റീവ് മാപ്പ്,ਦੋ-ਪੱਖੀ ਨਕਸ਼ਾ
ബിജക്റ്റീവ് മാപ്പിംഗ്,ਦੋ-ਪੱਖੀ ਮੈਪਿੰਗ
ബിലീനിയർ രൂപം,ਦੋ-ਲੀਨੀਅਰ ਫਾਰਮ
ബിലീനിയർ ഫംഗ്ഷൻ,ਦੋ-ਲੀਨੀਅਰ ਫੰਕਸ਼ਨ
ബിലീനിയർ ഹെർമിഷ്യൻ രൂപം,ਦੋ-ਲੀਨੀਅਰ ਹਰਮੀਟੀਅਨ ਰੂਪ
ബൈനറി,ਬਾਈਨਰੀ
ബൈനറി കോഡ്,ਬਾਈਨਰੀ ਕੋਡ
ബൈനറി കോഡ് ചെയ്ത ദശാംശം,ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ
ബൈനറി കോഡിംഗ്,ਬਾਈਨਰੀ ਕੋਡਿੰਗ
ബൈനറി കമ്പ്യൂട്ടർ,ਬਾਈਨਰੀ ਕੰਪਿਊਟਰ
ബൈനറി അക്കം,ਬਾਈਨਰੀ ਅੰਕ
ബൈനറി പ്രവർത്തനം,ਬਾਈਨਰੀ ਕਾਰਵਾਈ
ബൈനറി സിസ്റ്റം,ਬਾਈਨਰੀ ਸਿਸਟਮ
ബൈനറി വേരിയബിൾ,ਬਾਈਨਰੀ ਵੇਰੀਏਬਲ
ദ്വിപദ ഗുണകം,ਬਾਇਨੋਮੀਅਲ ਗੁਣਾਂਕ
ദ്വിപദ വിതരണം,ਬਾਇਨੋਮੀਅਲ ਵੰਡ
ദ്വിപദ സമവാക്യം,ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ
ദ്വിപദ വിപുലീകരണം,ਬਾਇਨੋਮੀਅਲ ਵਿਸਤਾਰ
ദ്വിപദ പദപ്രയോഗം,ਦੋਨੋਮੀ ਸਮੀਕਰਨ
ബൈനോമിയൽ റാൻഡം വേരിയബിൾ,ਬਾਇਨੋਮੀਅਲ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ
ദ്വിപദ സിദ്ധാന്തം,ਬਾਇਨੋਮੀਅਲ ਥਿਊਰਮ
വിഭജനം,ਦੋਭਾਗ
വിഭജന രീതി,ਦੋਭਾਗ ਵਿਧੀ
ദ്വിഭാഗം,ਬਾਈਸੈਕਟਰ
ബൈസീരിയൽ,biserial
ബിറ്റ്,ਬਿੱਟ
ദ്വിപദ ദ്വിപദ വിതരണം,bivariate binomial distribution
ദ്വിവസ്ത്ര പരസ്പര ബന്ധ ഗുണകം,ਬਾਇਵਾਰੀਏਟ ਸਹਿ-ਸਬੰਧ ਗੁਣਾਂਕ
ദ്വിവിധ വിതരണം,ਦੋ-ਪੱਖੀ ਵੰਡ
ദ്വിവത്കൃത സാധാരണ വിതരണം,ਬਾਇਵਰੀਏਟ ਸਧਾਰਣ ਵੰਡ
ബിവെക്ടർ,bivector
ബോൾട്ട്സ്മാൻ സമവാക്യം,ਬੋਲਟਜ਼ਮੈਨ ਸਮੀਕਰਨ
ബൂളിയൻ ബീജഗണിതം,ਬੂਲੀਅਨ ਅਲਜਬਰਾ
ബോസ് - ഐൻസ്റ്റീൻ സ്ഥിതിവിവരക്കണക്കുകൾ,ਬੋਸ - ਆਈਨਸਟਾਈਨ ਦੇ ਅੰਕੜੇ
അതിർത്തി അവസ്ഥ,ਸੀਮਾ ਸਥਿਤੀ
അതിർത്തി പാളി,ਸੀਮਾ ਪਰਤ
അതിർത്തി രേഖ,ਸੀਮਾ ਰੇਖਾ
അതിർത്തി മൂല്യം,ਸੀਮਾ ਮੁੱਲ
അതിർത്തി മൂല്യ പ്രശ്നം,ਸੀਮਾ ਮੁੱਲ ਸਮੱਸਿਆ
പരിമിതമായ പ്രവർത്തനം,ਸੀਮਾਬੱਧ ਫੰਕਸ਼ਨ
ബൗണ്ടഡ് മാട്രിക്സ്,ਸੀਮਾਬੱਧ ਮੈਟ੍ਰਿਕਸ
അതിർത്തി പ്രദേശം,ਸੀਮਾਬੱਧ ਖੇਤਰ
ബൗണ്ടഡ് സെറ്റ്,ਸੀਮਾਬੱਧ ਸੈੱਟ
ബ്രൗൺ ചലനം,ਬ੍ਰਾਊਨੀਅਨ ਮੋਸ਼ਨ
കണക്കാക്കുക,ਗਣਨਾ ਕਰੋ
കണക്കുകൂട്ടുന്നു,ਗਣਨਾ
കണക്കുകൂട്ടൽ യന്ത്രം,ਗਣਨਾ ਮਸ਼ੀਨ
കണക്കുകൂട്ടല്,ਗਣਨਾ
