Punjabi,Odiya
ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ,ଆଲଗୋରିଦମ ଦକ୍ଷତା |
ਉਪਨਾਮ,ଛଦ୍ମନାମ
ਅਲਾਈਨਮੈਂਟ,ଶ୍ରେଣୀବଦ୍ଧତା |
ਵੰਡ,ଆବଣ୍ଟନ
ਵਰਣਮਾਲਾ,ବର୍ଣ୍ଣାନୁକ୍ରମିକ
ਅੱਖਰ ਅੰਕੀ,ବର୍ଣ୍ଣମାଳା
ਅੱਖਰ ਅੰਕੀ ਕੁੰਜੀ ਬੋਰਡ,ବର୍ଣ୍ଣମାଳା କି ବୋର୍ଡ |
ਅਲਫ਼ਾ-ਟੈਸਟ,ଆଲଫା-ପରୀକ୍ଷା
ਅਲਫ਼ਾ-ਵਰਜਨ,ଆଲଫା-ସଂସ୍କରଣ |
alt ਕੁੰਜੀ,alt କି
altavista,altavista
ਅਸਪਸ਼ਟਤਾ,ଅସ୍ପଷ୍ଟତା |
ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ,ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ
ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡਰਡ ਇੰਸਟੀਚਿਊਟ (ANSI),ଆମେରିକୀୟ ଜାତୀୟ ମାନକ ପ୍ରତିଷ୍ଠାନ (ANSI)
ਜਾਣਕਾਰੀ ਇੰਟਰਚੇਂਜ ਲਈ ਅਮਰੀਕੀ ਸਟੈਂਡਰਡ ਕੋਡ (ASCII),ସୂଚନା ଆଦାନ ପ୍ରଦାନ ପାଇଁ ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କୋଡ୍ (ASCII)
ਐਨਾਲਾਗ,analog
ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
ਐਨਾਲਾਗ ਜੰਤਰ,analog ଉପକରଣ
ਐਨਾਲਾਗ ਮਾਡਮ,ଆନାଗଲ୍ ମୋଡେମ୍ |
ਐਨਾਲਾਗ ਟੂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ (ADC),ଡିଜିଟାଲ୍ କନଭର୍ଟର (ADC)
ਅਤੇ,ଏବଂ
ਅਤੇ ਸਰਕਟ,ଏବଂ ସର୍କିଟ |
ਅਤੇ ਗੇਟ,ଏବଂ ଫାଟକ |
ਅਤੇ ਕਾਰਵਾਈ ਨਹੀਂ (ਬੇਹੱਦ),ଏବଂ ଅପରେସନ୍ ନୁହେଁ (ବହିଷ୍କାର)
ਐਨੀਮੇਸ਼ਨ,ଆନିମେସନ୍
ਐਨੋਟੇਸ਼ਨ,ଟିପ୍ପଣୀ
ਅਸੰਗਤਤਾ,ଅନୋମାଲିୟା |
ਪੂਰਵ,ପ୍ରାଚୀନ
ਅਗਾਊਂ ਪੇਜਿੰਗ,ଆଶାକର୍ମୀ ପେଜିଂ |
ਵਿਰੋਧੀ ਸਮਰੂਪ,ଆଣ୍ଟି-ସିମେଟ୍ରିକ୍ |
ਐਂਟੀਵਾਇਰਸ ਪ੍ਰੋਗਰਾਮ,ଆଣ୍ଟିଭାଇରସ୍ ପ୍ରୋଗ୍ରାମ୍ |
ਐਪਲਿਟ,ଆପଲେଟ୍
ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ,ପ୍ରୟୋଗ ବିକାଶକାରୀ
ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ
ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ (API),ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API)
ਐਪਲੀਕੇਸ਼ਨ ਸਾਫਟਵੇਅਰ,ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍
ਲਾਗੂ ਕਰਨ ਵਾਲੀ ਭਾਸ਼ਾ,ପ୍ରୟୋଗ ଭାଷା |
ਅਨੁਮਾਨ ਥਿਊਰੀ,ଆନୁମାନିକ ତତ୍ତ୍। |
ਆਰਕੀਟੈਕਚਰ,ସ୍ଥାପତ୍ୟ
ਖੇਤਰ ਦਾ ਤਬਾਦਲਾ,କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର |
ਦਲੀਲ,ଯୁକ୍ତି
ਹਿਸਾਬ ਅਤੇ ਤਰਕ ਇਕਾਈ,ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |
ਹਿਸਾਬ ਦੀ ਜਾਂਚ,ଗାଣିତିକ ଯାଞ୍ଚ |
ਅੰਕਿਤ ਸਥਿਰ,ଗାଣିତିକ ସ୍ଥିର |
ਅੰਕਿਤ ਡੇਟਾ,ଗାଣିତିକ ତଥ୍ୟ
ਗਣਿਤ ਸੰਬੰਧੀ ਹਦਾਇਤ,ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ
ਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ (ALU),ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ (ALU)
ਅਰਪਨੇਟ,ARPANET
ਐਰੇ,ଆରେ
ਐਰੇ ਕੈਸ਼,ଆରେ କ୍ୟାଚ୍
ਐਰੇ ਕੰਪਿਊਟਰ,ଆରେ କମ୍ପ୍ୟୁଟର |
ਐਰੇ ਤੱਤ,ଆରେ ଉପାଦାନ |
ਐਰੇ ਨਾਮ,ଆରେ ନାମ
ਐਰੇ ਪ੍ਰੋਸੈਸਰ,ଆରେ ସଞ୍ଚାଳକ
ਤੀਰ ਕੁੰਜੀਆਂ,ତୀର କିଗୁଡ଼ିକ
ਉਚਾਰਨ,ଆର୍ଟିକିଲେସନ୍
ਬਿਆਨ ਬਿੰਦੂ,ଆର୍ଟିକ୍ୟୁଲେସନ୍ ପଏଣ୍ଟ |
ਨਕਲੀ ਸੰਕੁਚਿਤ,କୃତ୍ରିମ ସଙ୍କୋଚନ |
ਨਕਲੀ ਕੰਟਰੋਲ,କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |
ਬਣਾਵਟੀ ਗਿਆਨ,କୃତ୍ରିମ ବୁଦ୍ଧି
ਚੜ੍ਹਦਾ,ଆରୋହଣ
ਵਧਦੀ ਲੜੀ,ଆରୋହଣ କ୍ରମ
ASCII ਬੇਟਿਕਲ ਆਰਡਰ,ASCII ବେଟିକାଲ୍ କ୍ରମ |
ASCII ਕੰਟਰੋਲ ਅੱਖਰ,ASCII ନିୟନ୍ତ୍ରଣ ବର୍ଣ୍ଣ |
ASCII ਫਾਈਲ,ASCII ଫାଇଲ୍ |
ASCII ਫੌਂਟ,ASCII ଫଣ୍ଟ |
ASCII ਟ੍ਰਾਂਸਫਰ,ASCII ସ୍ଥାନାନ୍ତର |
ਆਕਾਰ ਅਨੁਪਾਤ,ଆନୁମାନିକ ଅନୁପାତ
ਏ.ਐਸ.ਪੀ.ਆਈ,ASPI
ASR ਟਾਈਮਰ,ASR ଟାଇମର୍ |
ਇਕੱਠਾ ਕਰਨਾ,ଏକତ୍ର ହୁଅ
ਅਸੈਂਬਲਰ,ଏକତ୍ରକାରୀ
ਅਸੈਂਬਲੀ,ସଭା
ਅਸੈਂਬਲੀ ਭਾਸ਼ਾ,ସଭା ଭାଷା |
ਦਾਅਵਾ,ଧାରଣା
ਅਸਾਈਨਮੈਂਟ,ଆସାଇନମେଣ୍ଟ
ਐਸੋਸੀਏਸ਼ਨ,ସଙ୍ଗଠନ
ਸਹਿਯੋਗੀ ਪਤਾ,ସହଯୋଗୀ ଠିକଣା
ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ,ସହଯୋଗୀ ସ୍ମୃତି
ਤਾਰਾ,ନକ୍ଷତ୍ର
ਅਸਮਿਤ,ଅସୀମିତ |
ਅਸਿੰਕ੍ਰੋਨਸ,ଅସନ୍ତୁଳିତ |
ਅਸਿੰਕ੍ਰੋਨਸ ਡਿਜੀਟਲ ਸਬਸਕ੍ਰਾਈਬਰ ਲਾਈਨ (ADSL),ଅସନ୍ତୁଳିତ ଡିଜିଟାଲ୍ ସବସ୍କ୍ରାଇବର ଲାଇନ (ADSL)
ਅਸਿੰਕ੍ਰੋਨਸ ਟਾਈਮ ਡਿਵੀਜ਼ਨ ਮਲਟੀਪਲੈਕਸਿੰਗ (ATDM),ଅସନ୍ତୁଳିତ ସମୟ ବିଭାଗ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (ATDM)
ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ,ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର |
ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ ਮੋਡ (ATM),ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର ମୋଡ୍ (ଏଟିଏମ୍)
ਪਰਮਾਣੂ,ପରମାଣୁ
ਨੱਥੀ ਦਸਤਾਵੇਜ਼,ସଂଲଗ୍ନିତ ଡକ୍ୟୁମେଣ୍ଟ୍ |
ਨੱਥੀ ਫ਼ਾਈਲ,ସଂଲଗ୍ନ ଫାଇଲ୍ |
ਲਗਾਵ,ସଂଲଗ୍ନ
ਵਿਸ਼ੇਸ਼ਤਾ,ଗୁଣ
ਆਡੀਓ,ଅଡିଓ
ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ,ପ୍ରୋଗ୍ରାମିଂ ଅଡିଟ୍ କରନ୍ତୁ |
ਆਡਿਟ ਟ੍ਰੇਲ,ଅଡିଟ୍ ଟ୍ରେଲ୍ |
ਵਾਧਾ,ବୃଦ୍ଧି
ਪ੍ਰਮਾਣਿਕਤਾ ਪ੍ਰੋਟੋਕੋਲ,ପ୍ରାମାଣିକିକରଣ ପ୍ରୋଟୋକଲ୍ |
ਲੇਖਕ ਪ੍ਰਣਾਲੀ,ଲେଖକ ପ୍ରଣାଳୀ
ਅਧਿਕਾਰ,ପ୍ରାଧିକରଣ
ਆਟੋ ਐਬਸਟਰੈਕਟ,ଅଟୋ ଅବଷ୍ଟ୍ରାକ୍ଟ |
ਆਟੋਬੂਟਿੰਗ,ଅଟୋବୋଟିଂ
ਆਟੋਕੈਡ,ଅଟୋକ୍ୟାଡ୍ |
ਆਟੋਲੌਗ ਚਾਲੂ,ଅଟୋଲୋଜି ଅନ୍
ਆਟੋਮੇਟਾ,ଅଟୋମେଟା |
ਆਟੋਮੈਟਾ ਥਿਊਰੀ,ସ୍ୱୟଂଚାଳିତ ତତ୍ତ୍। |
ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਿੰਗ,ସ୍ୱୟଂଚାଳିତ ଗଣନା
ਆਟੋਮੈਟਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,ସ୍ୱୟଂଚାଳିତ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
ਆਟੋਮੈਟਿਕ ਗਲਤੀ ਸੁਧਾਰ,ସ୍ୱୟଂଚାଳିତ ତ୍ରୁଟି ସଂଶୋଧନ |
ਆਟੋਮੈਟਿਕ ਫੰਕਸ਼ਨ,ସ୍ୱୟଂଚାଳିତ କାର୍ଯ୍ୟ
ਆਟੋਮੈਟਿਕ ਇੰਡੈਕਸਿੰਗ,ସ୍ୱୟଂଚାଳିତ ସୂଚକାଙ୍କ |
ਆਟੋਮੈਟਿਕ ਲਾਇਬ੍ਰੇਰੀ ਕਾਲ,ସ୍ୱୟଂଚାଳିତ ଲାଇବ୍ରେରୀ କଲ୍ |
ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ,ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |
ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ,ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ |
ਆਟੋਮੈਟਿਕ ਰੁਟੀਨ,ସ୍ୱୟଂଚାଳିତ ରୁଟିନ୍ |
ਆਟੋਮੈਟਿਕ ਸਿਸਟਮ ਰਿਕਵਰੀ,ସ୍ୱୟଂଚାଳିତ ତନ୍ତ୍ର ପୁନରୁଦ୍ଧାର
ਆਟੋਮੈਟਿਕ ਟੈਲਰ ਮਸ਼ੀਨ (ATM),ସ୍ୱୟଂଚାଳିତ ଟେଲର୍ ମେସିନ୍ (ଏଟିଏମ୍)
ਆਟੋਮੇਸ਼ਨ,ସ୍ୱୟଂଚାଳିତ
ਸਵੈ ਚਾਲ,ସ୍ଵତଃ ଚଳିତ
ਸਵੈ-ਸੰਭਾਲ,ଅଟୋସେଭ୍ |
ਸਹਾਇਕ,ସହାୟକକାରୀ
ਸਹਾਇਕ ਮੈਮੋਰੀ,ସହାୟକ ସ୍ମୃତି
ਸਹਾਇਕ ਸਟੋਰੇਜ਼,ସହାୟକ ଷ୍ଟୋରେଜ୍
ਉਪਲਬਧ ਸੂਚੀ,ଉପଲବ୍ଧ ତାଲିକା |
ਉਪਲਬਧ ਸਮਾਂ,ଉପଲବ୍ଧ ସମୟ |
ਔਸਤ,ହାରାହାରି
awk (ਭਾਸ਼ਾ),awk (ଭାଷା)
ਬੈਕਐਂਡ,ବ୍ୟାକେଣ୍ଡ୍ |
ਬੈਕਐਂਡ ਪ੍ਰੋਸੈਸਰ,ବ୍ୟାକେଣ୍ଡ୍ ସଞ୍ଚାଳକ |
ਬੈਕਫੇਸ ਹਟਾਉਣਾ,ବ୍ୟାକଫେସ୍ ଅପସାରଣ |
ਪਿਛੋਕੜ ਦੀ ਕਾਰਵਾਈ,ପୃଷ୍ଠଭୂମି ପ୍ରକ୍ରିୟାକରଣ |
ਬੈਕਿੰਗ ਸਟੋਰ,ବ୍ୟାକିଂ ଷ୍ଟୋର |
ਬੈਕਪੈਚਿੰਗ,ବ୍ୟାକପ୍ୟାଚ୍
ਬੈਕਸਪੇਸ,ବ୍ୟାକସ୍ପେସ୍ |
ਬੈਕਟਰੈਕਿੰਗ,ବ୍ୟାକଟ୍ରାକ୍
ਬੈਕ-ਅੱਪ,ବ୍ୟାକ୍ ଅପ୍ |
ਬੈਕਅੱਪ ਮੈਮੋਰੀ,ବ୍ୟାକ୍ ଅପ୍ ମେମୋରୀ |
ਪਿੱਛੇ ਗਲਤੀ ਰਿਕਵਰੀ,ପଛୁଆ ତ୍ରୁଟି ପୁନରୁଦ୍ଧାର
ਸੰਤੁਲਨ ਸ਼ੀਟ,ତୂଳନା ପତ୍ର
ਜਥਾ,ବ୍ୟାଣ୍ଡ
ਬੈਂਡ ਚੌੜਾਈ,ବ୍ୟାଣ୍ଡ ଓସାର |
ਬੈਂਕਰ ਦਾ ਐਲਗੋਰਿਦਮ,ବ୍ୟାଙ୍କର ଆଲଗୋରିଦମ |
ਬਾਰ ਕੋਡ,ବାର୍ କୋଡ୍
ਬਾਰ ਕੋਡ ਸਕੈਨਰ,ବାର୍ କୋଡ୍ ସ୍କାନର୍ |
ਬਾਰ ਗ੍ਰਾਫ,ବାର୍ ଗ୍ରାଫ୍ |
ਅਧਾਰ ਪਤਾ,ମୂଳ ଠିକଣା
ਅਧਾਰ ਬੈਂਡ,ବେସ୍ ବ୍ୟାଣ୍ଡ |
ਅਧਾਰ ਨੰਬਰ,ଆଧାର ସଂଖ୍ୟା
ਅਧਾਰ ਸਾਰਣੀ,ଆଧାର ଟେବୁଲ୍ |
ਬੇਸਿਕ,ବେସିକ୍ |
ਬੁਨਿਆਦੀ ਕੰਟਰੋਲ,ମ basic ଳିକ ନିୟନ୍ତ୍ରଣ |
ਬੁਨਿਆਦੀ ਇੰਪੁੱਟ,ମ basic ଳିକ ଇନପୁଟ୍ |
ਬੁਨਿਆਦੀ ਹਦਾਇਤ,ମ basic ଳିକ ନିର୍ଦ୍ଦେଶ
ਬੁਨਿਆਦੀ ਆਉਟਪੁੱਟ,ମ basic ଳିକ ଆଉଟପୁଟ୍
ਬੁਨਿਆਦੀ ਕਦਮ,ମ basic ଳିକ ପଦକ୍ଷେପ |
ਬੈਚ,ବ୍ୟାଚ୍
ਬੈਚ ਫਾਈਲ,ବ୍ୟାଚ୍ ଫାଇଲ୍ |
ਬੈਚ ਸਥਿਤੀ,ବ୍ୟାଚ୍ ସ୍ଥିତି |
ਬੈਚ ਪ੍ਰੋਸੈਸਿੰਗ,ବ୍ୟାଚ୍ ପ୍ରକ୍ରିୟାକରଣ |
ਬੈਚ ਸਿਸਟਮ,ବ୍ୟାଚ୍ ସିଷ୍ଟମ୍ |
ਬੌਡ,baud
ਬੌਡ ਦਰ,ବାଉଡ୍ ହାର
ਬੀਮ,ବିମ୍
ਬੇਂਚਮਾਰਕ,ମାନଦଣ୍ଡ
ਦੋ-ਦਿਸ਼ਾ ਸੰਚਾਰ,ଦ୍ୱି-ଦିଗୀୟ ଯୋଗାଯୋଗ |
ਦੋ-ਦਿਸ਼ਾਵੀ ਲਿੰਕ,ଦ୍ୱି-ଦିଗୀୟ ଲିଙ୍କ୍ |
ਬਾਈਨਰੀ ਕੋਡ,ବାଇନାରୀ କୋଡ୍ |
ਬਾਈਨਰੀ ਅੰਕ,ବାଇନାରୀ ଅଙ୍କ
ਬਾਈਨਰੀ ਇਨਪੁਟ ਆਉਟਪੁੱਟ ਸਿਸਟਮ (BIOS),ବାଇନାରୀ ଇନପୁଟ୍ ଆଉଟପୁଟ୍ ସିଷ୍ଟମ୍ (BIOS)
ਬਾਈਨਰੀ ਨੰਬਰ,ବାଇନାରୀ ସଂଖ୍ୟା
ਬਾਈਨਰੀ ਆਪਰੇਟਰ,ବାଇନାରୀ ଅପରେଟର୍ |
ਬਾਈਨਰੀ ਸਬੰਧ,ବାଇନାରୀ ସମ୍ପର୍କ |
ਬਾਈਨਰੀ ਖੋਜ,ବାଇନାରୀ ସନ୍ଧାନ |
ਬਾਈਨਰੀ ਸਰਚ ਟ੍ਰੀ (BST),ବାଇନାରୀ ସନ୍ଧାନ ବୃକ୍ଷ (BST)
ਬਾਈਨਰੀ ਟ੍ਰਾਂਸਫਰ,ବାଇନାରୀ ସ୍ଥାନାନ୍ତର |
ਬਾਈਨਰੀ ਰੁੱਖ,ବାଇନାରୀ ଗଛ |
ਬਾਈਪੋਲਰ ਮੈਮੋਰੀ,ଦ୍ୱିପାକ୍ଷିକ ସ୍ମୃତି
ਜਨਮ ਮੌਤ ਮਾਡਲ,ଜନ୍ମ ମୃତ୍ୟୁ ମଡେଲ |
ਜਨਮ ਮੌਤ ਦੀ ਪ੍ਰਕਿਰਿਆ,ଜନ୍ମ ମୃତ୍ୟୁ ପ୍ରକ୍ରିୟା |
ਬਿੱਟ,ବିଟ୍
ਬਿੱਟ ਨੁਕਸ,ବିଟ୍ ଦୋଷ |
ਬਿੱਟ ਨਕਸ਼ਾ,ବିଟ୍ ମାନଚିତ୍ର
ਬਿੱਟ ਮੈਪ ਪਿਕਸਲ (BMP),ବିଟ୍ ମାନଚିତ୍ର ପିକ୍ସେଲ୍ (BMP)
ਬਿੱਟ ਮੈਟ੍ਰਿਕਸ,ବିଟ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
ਬਿੱਟ ਪੈਟਰਨ,ବିଟ୍ ପ୍ୟାଟର୍ |
ਬਿੱਟ ਸਥਿਤੀ,ବିଟ୍ ସ୍ଥିତି |
ਬਿੱਟ ਰੇਟ,ବିଟ୍ ହାର
