Odiya,Kannada
ପଛ ଡ୍ରାଫ୍ଟ ଡ୍ୟାମ୍ପର୍ |,ಬ್ಯಾಕ್ ಡ್ರಾಫ್ಟ್ ಡ್ಯಾಂಪರ್
ପଛ ଡ୍ରେନ୍ |,ಬ್ಯಾಕ್ ಡ್ರೈನ್
ବ୍ୟାକ୍ ଡ୍ରପ୍ |,ಬ್ಯಾಕ್ ಡ್ರಾಪ್
ପଛକୁ ପୁରଣ କରନ୍ତୁ |,ಹಿಂದೆ ಭರ್ತಿ
ପଛ ଫିଲେଟ୍ |,ಬ್ಯಾಕ್ ಫಿಲೆಟ್
ପଛ ଫ୍ଲାପ୍ ହିଙ୍ଗ୍ |,ಬ್ಯಾಕ್ ಫ್ಲಾಪ್ ಹಿಂಜ್
ପଛ ପ୍ରବାହ ସଂଯୋଗ |,ಬ್ಯಾಕ್ ಫ್ಲೋ ಸಂಪರ್ಕ
ପଛ ପ୍ରବାହ ପ୍ରତିରୋଧକ |,ಬ್ಯಾಕ್ ಫ್ಲೋ ತಡೆಗಟ್ಟುವಿಕೆ
ବ୍ୟାକ୍ ଗେଜ୍ |,ಬ್ಯಾಕ್ ಗೇಜ್
ପଛ ଗୁଟର୍ |,ಹಿಂಭಾಗದ ಗಟಾರ
ପଛ ଚୁଲି,ಹಿಂಬದಿ ಒಲೆ
ସମର୍ଥନ,ಹಿಮ್ಮೇಳ
ବ୍ୟାକିଂ ବୋର୍ଡ |,ಬ್ಯಾಕಿಂಗ್ ಬೋರ್ಡ್
ପଛ ଚାପ |,ಬೆನ್ನಿನ ಒತ್ತಡ
ପଛ ପ୍ରପ,ಬ್ಯಾಕ್ ಪ್ರಾಪ್
ପଛ ଦୃଶ୍ୟ |,ಹಿಂದಿನ ದೃಷ್ಟಿ
ପଛ ପାଣି |,ಹಿಂಬದಿ ನೀರು
ବାଫଲ୍ |,ಅಡ್ಡಿಪಡಿಸು
ବ୍ୟାଗୱାର୍କ |,ಬ್ಯಾಗ್ವರ್ಕ್
ବାଲାଷ୍ଟ,ನಿಲುಭಾರ
ବଲ୍ ମାଟି |,ಬಾಲ್ ಕ್ಲೇ
ବଲ୍ କୋଣ କ୍ଲମ୍ପ୍ |,ಬಾಲ್ ಕೋನ್ ಕ್ಲಾಂಪ್
କଣ୍ଟା ତାର,ಮುಳ್ಳುತಂತಿ
ବାର୍ କୁକୁର |,ಬಾರ್ ನಾಯಿ
ବ୍ୟାରେଜ୍ ବୋର୍ଡ |,ಬಾರ್ಜ್ ಬೋರ್ಡ್
ବାରିୟମ୍ ସଲଫେଟ୍ ପରୀକ୍ଷା |,ಬೇರಿಯಮ್ ಸಲ್ಫೇಟ್ ಪರೀಕ್ಷೆ
ବ୍ୟାରେଜ୍,ಬ್ಯಾರೇಜ್
ବାରେଟ୍ |,ಬ್ಯಾರೆಟ್
ଆଧାର,ಬೇಸ್
ଆଧାର ବିନିମୟ |,ಮೂಲ ವಿನಿಮಯ
ଆଧାର ରେଖା |,ಬೇಸ್ ಲೈನ್
ବେସମେଣ୍ଟ୍ |,ನೆಲಮಾಳಿಗೆ
ବେସମେଣ୍ଟ କାନ୍ଥ |,ನೆಲಮಾಳಿಗೆಯ ಗೋಡೆ
ବେସ୍ ପ୍ଲେଟ୍ |,ಬೇಸ್ ಪ್ಲೇಟ್
"ବେସ୍ ପ୍ଲେଟ୍, ନିୟନ୍ତ୍ରିତ |","ಬೇಸ್ ಪ್ಲೇಟ್, ಹೊಂದಾಣಿಕೆ"
ମୂଳ ପରିପୃଷ୍ଠା |,ಮೂಲ ಶುದ್ಧತ್ವ
ବାସୋଏଡ୍ |,ಬಸಾಯಿಡ್
ବ୍ୟାଟ୍,ಬ್ಯಾಟ್
ସ୍ନାନ ଏବଂ WC,ಬಾತ್ ಮತ್ತು WC
ବାଟା ପେଗ୍ |,ಬ್ಯಾಟರ್ ಪೆಗ್
ବାଟା ପାଇର୍ |,ಬ್ಯಾಟರ್ ಪಿಯರ್
ବ୍ୟାଟର ନିୟମ |,ಬ್ಯಾಟರ್ ನಿಯಮ
ବାଲ୍କ (ବାଲ୍କ),ಬಾಲ್ಕ್ (ಬಾಲ್ಕ್)
ବାଇ,ಕೊಲ್ಲಿ
ଧାରକ,ಬೇರರ್
ବହନ କରିବାର କ୍ଷମତା |,ತಾಳಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
ଗଦା ବହନ କରିବା |,ಬೇರಿಂಗ್ ಪೈಲ್
ଷ୍ଟ୍ରାଟମ୍ ବହନ କରିବା |,ಬೇರಿಂಗ್ ಸ್ಟ್ರಾಟಮ್
ଶଯ୍ୟା,ಹಾಸಿಗೆ
ବିଛଣା ବିମାନ |,ಹಾಸಿಗೆ ವಿಮಾನ
ଶଯ୍ୟା ଗଣ୍ଠି |,ಬೆಡ್ ಜಂಟಿ
ବେଡ୍ ପଥର |,ಬೆಡ್ ರಾಕ್
ବେଡ୍ ରୁମ୍ |,ಮಲಗುವ ಕೋಣೆ
ମହୁମାଛି,ಜೇನುಮೇಣ
ବେଲ୍ ବାକ୍ସ |,ಬೆಲ್ ಬಾಕ್ಸ್
ବାଲ୍ଟି ବାଲିଙ୍ଗ୍ |,ಬೆಲ್ಲಿಂಗ್ ಬಕೆಟ್
ବେଲୋଫ୍ରାମ୍ |,ಬೆಲ್ಲೋಫ್ರಾಮ್
ବେଞ୍ଚ ଭିତ୍ତିଭୂମି |,ಬೆಂಚ್ಡ್ ಅಡಿಪಾಯ
ବେଞ୍ଚିଂ,ಬೆಂಚಿಂಗ್
ବେଞ୍ଚ ମାର୍କ |,ಮಾನದಂಡ
ଲାଭ ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |,ಲಾಭದ ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ
ବରମ,ಬೆರ್ಮ್
ବେଭେଲଡ୍ ବନ୍ଦ |,ಬೆವೆಲ್ಡ್ ಮುಚ್ಚುವಿಕೆ
"ବି-ରାଶି, &quot;B-","ಬಿ-ಹಾರಿಜಾನ್,&quot;ಬಿ-"
ବିଟ୍ |,ಬಿಯಾಟ್
ବାଇଣ୍ଡର୍ |,ಬೈಂಡರ್
ବାନ୍ଧିବା ସାମଗ୍ରୀ |,ಬೈಂಡಿಂಗ್ ವಸ್ತು
ବାୟୋଟ ସିଦ୍ଧାନ୍ତ |,ಬಯೋಟ್ ಸಿದ್ಧಾಂತ
ବିଟୁମେନ |,ಬಿಟುಮೆನ್
କଳା ସୂତା ମାଟି |,ಕಪ್ಪು ಹತ್ತಿ ಮಣ್ಣು
କଳା ପୃଥିବୀ |,ಕಪ್ಪು ಭೂಮಿ
କଳା ଟର୍ଫ ମାଟି |,ಕಪ್ಪು ಟರ್ಫ್ ಮಣ್ಣು
ବ୍ଲେଡ୍ |,ಬ್ಲೇಡ್
ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ ସିମେଣ୍ଟ |,ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್ ಸಿಮೆಂಟ್
ଅବରୋଧ ସଂରଚନା |,ಬ್ಲಾಕ್ ರಚನೆ
ବଗି ପ୍ରତିରୋଧ |,ಬೋಗಿ ಪ್ರತಿರೋಧ
ବଗ୍-ଲୁହାପଥର |,ಬಾಗ್-ಕಬ್ಬಿಣದ ಅದಿರು
ବନ୍ଧ,ಕರಾರುಪತ್ರ
ବନ୍ଧିତ ସଦସ୍ୟ |,ಬಂಧಿತ ಸದಸ್ಯ
ବନ୍ଧିତ ପୋଷ୍ଟ ଟେନସିଂ |,ಬಂಧಿತ ಪೋಸ್ಟ್ ಟೆನ್ಷನಿಂಗ್
ବନ୍ଧ ପଥର |,ಬಾಂಡ್ ಕಲ್ಲು
ସୀମା ଜଳ |,ಬೌಂಡ್ ನೀರು
ବାକ୍ସ ଗୁଟର୍ |,ಬಾಕ್ಸ್ ಗಟರ್
ବନ୍ଧନୀ,ಬ್ರೇಸ್
ଇଟା-ଧାର,ಬ್ರಿಕ್ ಆನ್ ಎಡ್ಜ್
ବ୍ରିଡଲ୍ |,ಬ್ರಿಡ್ಲ್
ଉଜ୍ଜ୍ୱଳତା |,ಹೊಳಪು
ବାଦାମୀ ମାଟି |,ಕಂದು ಮಣ್ಣು
ବିଲଡିଂ,ಕಟ್ಟಡ
ବିଲ୍ଡିଂ ସର୍ବେକ୍ଷଣକାରୀ |,ಕಟ್ಟಡ ಸರ್ವೇಯರ್
ବଫର୍ |,ಬಫರ್
ବଫର୍ ବକ୍ର,ಬಫರ್ ಕರ್ವ್
ବଫରିଂ |,ಬಫರಿಂಗ್
ବଫରିଂ କ୍ଷମତା |,ಬಫರಿಂಗ್ ಸಾಮರ್ಥ್ಯ
ବଣ୍ଡର୍ |,ಬಂದರ್
ଦୁର୍ଗ,ಬಟ್ರೆಸ್
ସି-ରାଶି,ಸಿ-ಹಾರಿಜಾನ್
କେବୁଲ୍ |,ಕೇಬಲ್
କେବୁଲ୍ ମୋଲିଡିଂ |,ಕೇಬಲ್ ಮೋಲ್ಡಿಂಗ್
କ୍ୟାବଲିଂ |,ಕೇಬಲ್ ಹಾಕುವುದು
କ୍ୟାବିନ,ಕ್ಯಾಬಿನ್
କ୍ୟାବିନ ହୁକ୍ |,ಕ್ಯಾಬಿನ್ ಹುಕ್
କ୍ୟାବିନେଟ୍,ಕ್ಯಾಬಿನೆಟ್
କ୍ୟାବୋଲ୍ଟଙ୍କ ବିଦାୟ,ಕಾಬೋಲ್ಟ್ ತೊರೆದರು
କାଫେରିଆ |,ಕೆಫೆಟೇರಿಯಾ
କେଜ୍ |,ಪಂಜರ
କେଜ୍ ନିର୍ମାଣ,ಪಂಜರ ನಿರ್ಮಾಣ
କ ain ନଙ୍କ ସୂତ୍ର |,ಕೇನ್ ಅವರ ಸೂತ್ರ
କେସନ୍ |,ಕೈಸನ್
କେସନ୍ ରୋଗ |,ಕೈಸನ್ ಕಾಯಿಲೆ
କେସନ୍ ଫାଉଣ୍ଡେସନ୍ |,ಕೈಸನ್ ಅಡಿಪಾಯ
କେସନ୍ ଗଦା |,ಕೈಸನ್ ರಾಶಿ
କାଲ୍କେରିସ୍ ଇଟା |,ಸುಣ್ಣದ ಇಟ್ಟಿಗೆ
କାଲକେୟାର ମାଟି |,ಸುಣ್ಣದ ಜೇಡಿಮಣ್ಣು
କାଲ୍କେରିସ୍ କ୍ରଷ୍ଟ୍ |,ಕ್ಯಾಲ್ಕೇರಿಯಸ್ ಕ್ರಸ್ಟ್
ଗଣନା,ಕ್ಯಾಲ್ಸಿಫಿಕೇಶನ್
ଗଣନା,ಕ್ಯಾಲ್ಸಿನೇಷನ್
କାଲସିନ୍,ಕ್ಯಾಲ್ಸಿನ್
କାଲସିଟ୍ |,ಕ್ಯಾಲ್ಸೈಟ್
କ୍ୟାଲସିୟମ୍-ଆଲୁମିନିଟ୍ ସିମେଣ୍ଟ |,ಕ್ಯಾಲ್ಸಿಯಂ-ಅಲ್ಯೂಮಿನೇಟ್ ಸಿಮೆಂಟ್
କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ଇଟା |,ಕ್ಯಾಲ್ಸಿಯಂ-ಸಿಲಿಕೇಟ್ ಇಟ್ಟಿಗೆ
କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ହାଇଡ୍ରେଟ୍ |,ಕ್ಯಾಲ್ಸಿಯಂ-ಸಿಲಿಕೇಟ್ ಹೈಡ್ರೇಟ್
କାଲିଚେ |,ಕ್ಯಾಲಿಚೆ
କାଲିଫର୍ନିଆର ଅନୁପାତ ଅନୁପାତ |,ಕ್ಯಾಲಿಫೋರ್ನಿಯಾ ಬೇರಿಂಗ್ ಅನುಪಾತ
କାଲିପର୍ |,ಕ್ಯಾಲಿಪರ್
କ୍ୟାଲୋରିମିଟର |,ಕ್ಯಾಲೋರಿಮೀಟರ್
କ୍ୟାମ୍ବର |,ಕ್ಯಾಂಬರ್
କେନାଲ |,ಕಾಲುವೆ
କାନୋପି |,ಮೇಲಾವರಣ
କ୍ୟାଣ୍ଟିଲାଇଭର ଫୁଟିଂ |,ಕ್ಯಾಂಟಿಲಿವರ್ ಫೂಟಿಂಗ್
କ୍ୟାପ୍,ಕ್ಯಾಪ್
ସାମର୍ଥ୍ୟ |,ಸಾಮರ್ಥ್ಯ
ସମସ୍ତ ଟ୍ରାକର କ୍ଷମତା |,ಏಲ್ ಟ್ರ್ಯಾಕ್ ಸಾಮರ್ಥ್ಯ
କ୍ୟାପ୍ କେବୁଲ୍ |,ಕ್ಯಾಪ್ ಕೇಬಲ್
କ୍ଷମତା,ಕ್ಯಾಪಿಲ್ಲರಿಟಿ
କ୍ୟାପିଲାରୀ ବ୍ରେକ୍ |,ಕ್ಯಾಪಿಲ್ಲರಿ ಬ್ರೇಕ್
କ୍ୟାପିଲାରୀ ପ୍ରବାହ |,ಕ್ಯಾಪಿಲ್ಲರಿ ಹರಿವು
କ୍ୟାପିଲାରୀ ଆର୍ଦ୍ରତା କିମ୍ବା କ୍ୟାପିଲାରୀ ପାଣି |,ಕ್ಯಾಪಿಲ್ಲರಿ ತೇವಾಂಶ ಅಥವಾ ಕ್ಯಾಪಿಲ್ಲರಿ ನೀರು
କ୍ୟାପିଲାରୀ ପୋର ସ୍ପେସ୍ |,ಕ್ಯಾಪಿಲ್ಲರಿ ರಂಧ್ರದ ಜಾಗ
କ୍ୟାପିଲାରୀ ପୋରୋସିଟି |,ಕ್ಯಾಪಿಲ್ಲರಿ ಸರಂಧ್ರತೆ
କ୍ୟାପିଲାରୀ ସ୍ପେସ୍ |,ಕ್ಯಾಪಿಲ್ಲರಿ ಸ್ಪೇಸ್
ବେଗ କ୍ୟାପଚର କରନ୍ତୁ |,ಕ್ಯಾಪ್ಚರ್ ವೇಗ
କାର୍ବନେସନ୍ |,ಕಾರ್ಬೊನೇಶನ್
କାର୍ବନ କଳା,ಕಾರ್ಬನ್ ಕಪ್ಪು
କାଷ୍ଟବଲ୍ ଚିତ୍ତାକର୍ଷକ |,ಕ್ಯಾಸ್ಟ್ಬಲ್ ವಕ್ರೀಕಾರಕ
କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ କିମ୍ବା କାଷ୍ଟ-ଇନ୍-ସିଟ୍ |,ಬಿತ್ತರಿಸಿದ ಸ್ಥಳದಲ್ಲಿ ಅಥವಾ ಬಿತ್ತರಿಸಿದ ಸ್ಥಳದಲ್ಲಿ
କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ ଗଦା |,ಎರಕಹೊಯ್ದ ರಾಶಿ
କାଷ୍ଟର |,ಕ್ಯಾಸ್ಟರ್
ପଥର ପକାନ୍ତୁ |,ಎರಕಹೊಯ್ದ ಕಲ್ಲು
ଅନୁକ୍ରମଣିକା,ವೇಗವರ್ಧಕ
କ୍ୟାଟେନା |,ಕ್ಯಾಟೆನಾ
ବିଲେଇ ମୁହଁ |,ಬೆಕ್ಕಿನ ಮುಖ
ବିଲେଇ ମୁଣ୍ଡ,ಬೆಕ್ಕಿನ ತಲೆ
କେସନ୍,ಕ್ಯಾಶನ್
ବିଲେଇ ଚାଲିବା |,ಬೆಕ್ಕಿನ ನಡಿಗೆ
କ୍ୟାଭିଟେସନ୍ କ୍ଷତି |,ಗುಳ್ಳೆಕಟ್ಟುವಿಕೆ ಹಾನಿ
ସେଲିଟ୍,ಸೆಲೈಟ್
ସେଲୁଲାର୍ କଂକ୍ରିଟ୍ |,ಸೆಲ್ಯುಲಾರ್ ಕಾಂಕ್ರೀಟ್
ସେଲ୍ୟୁଲାର୍ ନିର୍ମାଣ,ಸೆಲ್ಯುಲಾರ್ ನಿರ್ಮಾಣ
ସିମେଣ୍ଟ |,ಸಿಮೆಂಟ್
"ସିମେଣ୍ଟ, ବିଟୁମିନିୟସ୍ |","ಸಿಮೆಂಟ್, ಬಿಟುಮಿನಸ್"
"ସିମେଣ୍ଟ, ଉଚ୍ଚ ଶକ୍ତି |","ಸಿಮೆಂಟ್, ಹೆಚ್ಚಿನ ಶಕ್ತಿ"
"ସିମେଣ୍ଟ, ହାଇଡ୍ରୋଲିକ୍ |","ಸಿಮೆಂಟ್, ಹೈಡ್ರಾಲಿಕ್"
"ସିମେଣ୍ଟ, କମ୍ ଉତ୍ତାପ |","ಸಿಮೆಂಟ್, ಕಡಿಮೆ ಶಾಖ"
"ସିମେଣ୍ଟ, ରାଜକୋଷ |","ಸಿಮೆಂಟ್, ಕಲ್ಲು"
"ସିମେଣ୍ଟ, ପ୍ରାକୃତିକ |","ಸಿಮೆಂಟ್, ನೈಸರ್ಗಿಕ"
"ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ |","ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್"
"ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ |","ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್ ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್"
"ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ପୋଜଜୋଲାନ୍ |","ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್ ಪೊಝೋಲನ್"
"ସିମେଣ୍ଟ, ସ୍ଲାଗ୍ |","ಸಿಮೆಂಟ್, ಸ್ಲ್ಯಾಗ್"
"ସିମେଣ୍ଟ, ସଲଫେଟ୍ ପ୍ରତିରୋଧକ |","ಸಿಮೆಂಟ್, ಸಲ್ಫೇಟ್ ನಿರೋಧಕ"
"ସିମେଣ୍ଟ, ସୁପର ସଲଫେଟ୍ |","ಸಿಮೆಂಟ್, ಸೂಪರ್ ಸಲ್ಫೇಟ್"
"ସିମେଣ୍ଟ, ଧଳା |","ಸಿಮೆಂಟ್, ಬಿಳಿ"
ସିମେଣ୍ଟ-ଏଗ୍ରିଗେଟ୍ ଅନୁପାତ |,ಸಿಮೆಂಟ್-ಒಟ್ಟಾರೆ ಅನುಪಾತ
ସିମେଣ୍ଟ ବିଷୟବସ୍ତୁ |,ಸಿಮೆಂಟ್ ವಿಷಯ
ସିମେଣ୍ଟ ଜେଲ୍ |,ಸಿಮೆಂಟ್ ಜೆಲ್
ସିମେଣ୍ଟ ବନ୍ଧୁକ |,ಸಿಮೆಂಟ್ ಗನ್
ସିମେଣ୍ଟ କିଲ୍ |,ಸಿಮೆಂಟ್ ಗೂಡು
ସିମେଣ୍ଟ ରଙ୍ଗ |,ಸಿಮೆಂಟ್ ಬಣ್ಣ
ସିମେଣ୍ଟ ପ୍ଲାଷ୍ଟର |,ಸಿಮೆಂಟ್ ಪ್ಲಾಸ್ಟರ್
ସିମେଣ୍ଟ ପଥର |,ಸಿಮೆಂಟ್ ಕಲ್ಲು
ସିମେଣ୍ଟ ସ୍ଲୁରି |,ಸಿಮೆಂಟ್ ಸ್ಲರಿ
ସିମେଣ୍ଟ ଷ୍ଟୋରେଜ୍ |,ಸಿಮೆಂಟ್ ಸಂಗ್ರಹಣೆ
ସିମେଣ୍ଟେସନ୍ ପ୍ରକ୍ରିୟା |,ಸಿಮೆಂಟೇಶನ್ ಪ್ರಕ್ರಿಯೆ
କେନ୍ଦ୍ରକରଣ |,ಕೇಂದ್ರೀಕರಣ
ସେଣ୍ଟରିଂ ଏବଂ ସଟରିଂ |,ಕೇಂದ್ರೀಕರಿಸುವುದು ಮತ್ತು ಮುಚ್ಚುವುದು
କେନ୍ଦ୍ରୀୟ ମିଶ୍ରିତ କଂକ୍ରିଟ୍ |,ಕೇಂದ್ರ ಮಿಶ್ರ ಕಾಂಕ್ರೀಟ್
କେନ୍ଦ୍ରୀୟ ମିକ୍ସର୍ |,ಕೇಂದ್ರ ಮಿಕ್ಸರ್
ସେଣ୍ଟ୍ରିଫୁଗୁଲ୍ ପ୍ରଶଂସକ |,ಕೇಂದ್ರಾಪಗಾಮಿ ಫ್ಯಾನ್
ଚକ,ಚಾಕ್
ଚାମ୍ଫର୍ |,ಚೇಂಫರ್
ଚାମ୍ଫର୍ ଷ୍ଟ୍ରିପ୍ |,ಚೇಂಫರ್ ಸ್ಟ್ರಿಪ್
ଚ୍ୟାନେଲ୍ ବିମ୍ |,ಚಾನಲ್ ಕಿರಣ
ଚରିତ୍ରଗତ ଭାର |,ವಿಶಿಷ್ಟ ಲೋಡ್
ବ istic ଶିଷ୍ଟ୍ୟ ଶକ୍ତି |,ವಿಶಿಷ್ಟ ಶಕ್ತಿ
ଚାର୍ଜ ଅଫ୍ |,ಚಾರ್ಜ್ ಆಫ್
ଚାର୍ଜିଂ,ಚಾರ್ಜ್ ಆಗುತ್ತಿದೆ
ଯା cking ୍ଚ,ಪರಿಶೀಲಿಸಲಾಗುತ್ತಿದೆ
ରାସାୟନିକ ବନ୍ଧ |,ರಾಸಾಯನಿಕ ಬಂಧ
ଚେର୍ନୋଜେମ୍ |,ಚೆರ್ನೋಜೆಮ್
ଛାତି ମାଟି |,ಚೆಸ್ಟ್ನಟ್ ಮಣ್ಣು
ଚିମନି ଗୁଟର |,ಚಿಮಣಿ ಗಟಾರ
ଚିପ୍ ବୋର୍ଡ |,ಚಿಪ್ ಬೋರ್ಡ್
ଚିପିଙ୍ଗ୍ |,ಚಿಪ್ಪಿಂಗ್
ଚିପ୍ସ |,ಚಿಪ್ಸ್
ଚୁଟ୍,ಗಾಳಿಕೊಡೆ
କ୍ଲାସ୍ (କଂକ୍ରିଟ୍ ର),ವರ್ಗ (ಕಾಂಕ್ರೀಟ್)
ମାଟି,ಕ್ಲೇ
ମାଟି ବିଷୟବସ୍ତୁ |,ಕ್ಲೇ ವಿಷಯ
ମାଟି ପ୍ୟାନ |,ಕ್ಲೇ ಪ್ಯಾನ್
ପରିଷ୍କାର,ಕ್ಲೀನ್ಔಟ್
ସଫା କର,ಸ್ವಚ್ಛಗೊಳಿಸಿ
ସଫା କର |,ಕ್ಲೀಟ್
କ୍ଲିଙ୍କର୍ |,ಕ್ಲಿಂಕರ್
କ୍ଲିପ୍,ಕ್ಲಿಪ್
ଜମାଟ ବାନ୍ଧିବା |,ಹೆಪ್ಪುಗಟ್ಟುವಿಕೆ
କଠିନ ଏଗ୍ରିଗେଟ୍ |,ಒರಟಾದ ಒಟ್ಟು
କଠିନ ଶସ୍ୟ ମାଟି |,ಒರಟಾದ ಧಾನ್ಯದ ಮಣ್ಣು
କୋଟ,ಕೋಟ್
କଫର୍ ଡ୍ୟାମ୍ |,ಕಾಫರ್ ಅಣೆಕಟ್ಟು
ମିଳନ,ಒಗ್ಗಟ್ಟು
କୋଲଏଡ୍ |,ಕೊಲಾಯ್ಡ್
କୋଲଏଡାଲ୍ ଆର୍ଦ୍ରତା ସମାନ ଅନୁପାତ |,ಕೊಲೊಯ್ಡಲ್ ತೇವಾಂಶ ಸಮಾನ ಅನುಪಾತ
କୋଲଏଡାଲ୍ ସିଷ୍ଟମ୍ |,ಕೊಲೊಯ್ಡಲ್ ವ್ಯವಸ್ಥೆ
ମିଳିତ ମାଟି |,ಕೊಲ್ಯುವಿಯಲ್ ಮಣ್ಣು
ସ୍ତମ୍ଭ,ಅಂಕಣ
କମ୍ବିଂ ଶେଷ,ಬಾಚಣಿಗೆ ಮುಕ್ತಾಯ
ମିଳିତ ପଦଚିହ୍ନ |,ಕಂಬೈನ್ಡ್ ಫೂಟಿಂಗ್
ମିଶ୍ରିତ ଜଳ |,ಸಂಯೋಜಿತ ನೀರು
ସାଧାରଣ କୋଠରୀ |,ಸಾಮಾನ್ಯ ಕೊಠಡಿ
ସଂପୂର୍ଣ୍ଣ ପ୍ରମାଣପତ୍ର,ಪೂರ್ಣಗೊಳಿಸುವಿಕೆ ಪ್ರಮಾಣಪತ್ರ
ଉପାଦାନ ବର୍ଗ,ಘಟಕ ಚೌಕ
କଂକ୍ରିଟ୍ |,ಕಾಂಕ್ರೀಟ್
ସଂକଳନ,ಕಾಂಕ್ರೀಟಿಕರಣ
ଏକତ୍ରିତ ହାର / ଫ୍ଲାଟ ହାର |,ಏಕೀಕೃತ ದರ/ಫ್ಲಾಟ್ ದರ
ପ୍ରଦୂଷକ,ಮಾಲಿನ್ಯಕಾರಕಗಳು
ଆଲକୋଭ୍ ରାନ୍ଧିବା |,ಅಲ್ಕೋವ್ ಅಡುಗೆ
