Hindi,Telugu
न्यायनिर्णीत करना,అనుబంధం
न्यायनिर्णय करना,తీర్పు
न्यायनिर्णयन,తీర్పు
न्यायनिर्णायक,న్యాయాధికారి
समायोजन,సర్దుబాటు
"प्रशासन करना, देना, दिलाना, व्यवस्था करना",నిర్వహించండి
शपथ दिलाना,ప్రమాణం చేయండి
प्रशासन,పరిపాలన
न्याय-प्रशासन,న్యాయం యొక్క పరిపాలన
प्रशासनिक,పరిపాలనా
प्रशासनिक कार्रवाई,పరిపాలనా చర్య
प्रशासनिक मूल्यांकन,అడ్మినిస్ట్రేటివ్ అప్రైసల్
प्रशासनिक अनुमोदन,పరిపాలనా ఆమోదం
प्रशासनिक प्राधिकारी,పరిపాలనా అధికారం
प्रशासनिक नियंत्रण,పరిపాలనా నియంత్రణ
प्रशासनिक निर्णय,పరిపాలనా నిర్ణయం
प्रशासकीय विभाग,పరిపాలనా విభాగం
प्रशासनिक प्रधान,అడ్మినిస్ట్రేటివ్ హెడ్
प्रशासनिक मुख्यालय,పరిపాలనా ప్రధాన కార్యాలయం
प्रशासनिक उपाय,పరిపాలనా చర్యలు
"प्रशासी शक्‍ति, प्रशासनिक शक्ति",పరిపాలనా శక్తి
प्रशासनिक मंजूरी,పరిపాలనా అనుమతి
"प्रशासन तकनीक, प्रशासनिक प्रविधि",పరిపాలనా సాంకేతికత
प्रशासनिक अधिकरण,అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్
ग्राह्‌यता: स्वीकार्यता,ప్రవేశం
ग्राह्‌य व्यय,ఆమోదయోగ్యమైన వ్యయం
"प्रवेश करने देना, अंदर आने देना, स्वीकार करना, प्रविष्‍ट करना, दाखिल करना, दाखिला देना",అంగీకరించండి
"प्रवेश पत्र, प्रवेश पत्रक",అడ్మిట్ కార్డ్
"प्रविष्‍ट दाखिल, स्वीकृत",అంగీకరించారు
भर्त्‍सना करना,సలహా
दत्‍तक,దత్తత తీసుకున్న వ్యక్తి
दत्‍तकगृहीता,దత్తత
"अंगीकरण, दत्‍तक-ग्रहण",దత్తత
"प्रौढ, वयस्क",వయోజన
"अपमिश्रण, मिलावट",కల్తీ
जारकर्म,వ్యభిచారం
वयस्क मताधिकार,వయోజన ఫ్రాంచైజ్
यथामूल्य शुल्क,ప్రకటన విలువ
"अग्रिम, पेशगी",అడ్వాన్స్
अग्रिम बुकिंग,అడ్వాన్స్ బుకింగ్
अग्रिम प्रति,ముందస్తు కాపీ
अग्रिम  वृद्‌धि,ముందస్తు పెరుగుదల
"अग्रिम अदायगी, अग्रिम भुगतान",ముందస్తు చెల్లింపు
"प्रतिकूल इंदराज, प्रतिकूल प्रविष्‍टि",ప్రతికూల ప్రవేశం
प्रतिकूल अभ्युक्‍ति,ప్రతికూల వ్యాఖ్యలు
प्रतिकूल रिपोर्ट,ప్రతికూల నివేదిక
विज्ञापन,ప్రకటన
"सलाह, सूचना, संज्ञापन",సలహా
"भुगतान सूचना, भुगतान-संज्ञापन",చెల్లింపు సలహా
सलाहकार समिति,సలహా సమితి
सलाहकार परिषद्,సలహా మండలి
"अधिवक्‍ता, एडवोकेट, पक्ष-समर्थक",న్యాయవాది
"कार्य, मामले",వ్యవహారాలు
"शपथपत्र, हलफ़नामा",అఫిడవిట్
संबंधन,అనుబంధం
"अभिपुष्‍टि, प्रतिज्ञान",ధృవీకరణ
सकारात्मक,ధృవీకరించేది
"समर्थ होना, प्रदान करना, दे सकना",స్థోమత
पूर्वोक्‍त,పైన పేర్కొన్నది
नए सिरे से,అఫ్రెష్
"विरुद्‌ध, के प्रति, के सामने, के सम्मुख, की तुलना में",వ్యతిరేకంగా
"आयु, उम्र, युग",వయస్సు
आयु प्रमाणपत्र,వయస్సు ధృవీకరణ పత్రం
मताधिकार आयु,ఓటు హక్కు కోసం వయస్సు
आयु सीमा,వయో పరిమితి
"अभिकरण, एजेंसी",ఏజెన్సీ
कार्यसूची,ఎజెండా
सेवानिवृत्‍ति आयु,పదవీ విరమణ వయస్సు
अधिवर्षिता आयु,పర్యవేక్షణ వయస్సు
"समुच्चय, समूह",సమూహనం
व्यथित,బాధపడ్డాడు
आंदोलन,ఆందోళన
"वार्षिक महासभा, वार्षिक आमसभा",AGM
"क़रार, अनुबंध, सहमति, रजामंदी",ఒప్పందం
"क़रारनामा, अनुबंध पत्र",ఒప్పంద ఫారం
कृषि,వ్యవసాయం
कृषि-उद्‌योग,అగ్రో-ఇండస్ట్రీ
"सहायता, मदद",సహాయం
"आपद संकेत, खतरे का संकेत, अलार्म",అలారం
सजगता,అప్రమత్తత
"उपनाम, उर्फ़ (क्रि.वि.)",అలియాస్
अभिकथन,ఆరోపణ
निष्ठा,విధేయత
मैत्री,కూటమి
सम्बद्‌ध सेवाएं,అనుబంధ సేవలు
सर्वसमावेशी लागत,అన్ని కలుపుకొని ఖర్చు
अखिल भारतीय सेवा,ఆల్ ఇండియా సర్వీసెస్
नियतन,కేటాయింపు
आबंटन,కేటాయింపు
आबंटन-पत्र,కేటాయింపు లేఖ
आबंटिति,కేటాయింపు
"अनुज्ञेय, अनुमतियोग्य",అనుమతించదగినది
"अनुज्ञेय व्यय, अनुमतियोग्य व्यय",అనుమతించదగిన ఖర్చులు
अपील मंजूर करना,అప్పీల్‌ను అనుమతించండి
"भत्‍ता, छूट",భత్యం
सर्वाधिकार सुरक्षित,అన్ని హక్కులూ ప్రత్యేకించుకోవడమైనది
"वर्णक्रम, अकारादिक्रम",అక్షర క్రమం
कहासुनी,వాగ్వాదం
"एकांतर, विकल्पी",ప్రత్యామ్నాయ
"विकल्प, वैकल्पिक",ప్రత్యామ్నాయం
समामेलन,సమ్మేళనం
"संशोधित मसौदा, संशोधित प्रारूप",సవరించిన చిత్తుప్రతి
संशोधन,సవరణ
सुख-सुविधा,సౌకర్యం
"सौहार्दपूर्ण, मैत्रीपूर्ण",స్నేహపూర్వక
गोला-बारूद,మందుగుండు సామగ్రి
"ऋण परिशोधन, ऋण मुक्‍ति",రుణ రుణమాఫీ
"राशि, रक़म, मात्रा",మొత్తం
पेन्शन राशि,పెన్షన్ మొత్తం
अनुरूप पद,సారూప్య పోస్ట్
विश्‍लेषण,విశ్లేషణ
विश्‍लेषणात्मक अध्ययन,విశ్లేషణాత్మక అధ్యయనం
पूर्वज,పూర్వీకుడు
अनुषंगी उद्‌योग,సహాయక పరిశ్రమ
बैर,శత్రుత్వం
संलग्नक,అనుబంధం
वर्षगांठ,వార్షికోత్సవం
"उद्‌घोषण, ऐलान, आख्यापन",ప్రకటన
"खिन्‍नता, चिढ, खीज",కోపం
वार्षिक वित्‍तीय विवरण,వార్షిక ఆర్థిక ప్రకటన
वार्षिक रिपोर्ट,వార్షిక నివేదిక
वार्षिकी,యాన్యుటీ
"अनाम, गुमनाम",అనామక
गुमनाम शिकायत,అనామక ఫిర్యాదు
जवाबदेही,జవాబుదారీతనం
उत्‍तर पत्रक,జవాబు పత్రం
विरोधी,విరోధి
पूर्ववृत्‍त,పూర్వజన్మలు
प्रत्याशित व्यय,Bean హించిన ఖర్చు
प्रत्याशित आय,Ntic హించిన ఆదాయం
"प्रत्याशा, पूर्वानुमान",Ntic హించడం
अग्रिम ज़मानत,ముందస్తు బెయిల్
भ्रष्‍टाचार-निरोधक उपाय,అవినీతి నిరోధక కొలత
"प्रति-पाटन, पाटन-निरोधी",యాంటీ డంపింగ్
पुरावस्तु,పురాతన
रंगभेद,వర్ణవివక్ష
उदासीनता,ఉదాసీనత
शीर्ष निकाय,అపెక్స్ బాడీ
क्षमायाचना,క్షమాపణ
"अपील, अपील करना",అప్పీల్
"हाजि़री, उपसंजाति, रूप",స్వరూపం
तुष्‍टीकरण,సంతృప్తి
अपील अधिकरण,అప్పీలేట్ ట్రిబ్యునల్
परिशिष्‍ट,అపెండిక్స్
उपयंत्र,ఉపకరణం
"अनुप्रयोज्य, लागू",వర్తిస్తుంది
आवेदक,దరఖాస్తుదారు
"आवेदन, अर्ज़ी, अनुप्रयोग, लागू होना",అప్లికేషన్
"आवेदन पत्र, अर्ज़ी",దరఖాస్తు ఫారం
अनुप्रयुक्‍त,అనువర్తిత
"आवेदन करना, अर्जी देना, लागू करना, लागू होना, अनप्रयुक्‍त होना",వర్తించండి
नियुक्‍त व्यक्‍ति,నియామకం
नियुक्‍ति प्राधिकारी,నియమించే అధికారాన్ని
नियुक्‍ति,నియామకం
नियुक्‍ति पत्र,నియామక పత్రం
मंत्रीमंडलीय नियुक्‍ति समिति,నియామకాల కమిటీ క్యాబినెట్
मजदूरी प्रभाजन,వేతనాల విభజన
"मूल्यनिरूपण, आंकना",అంచనా
मूल्यांक,మదింపుదారు
"सराहना, वृद्‌धि",ప్రశంసతో
"पकड़ा जाना, गिरफ़्तारी, बोध, समझ, आशंका",దిగులు
शिक्षु,అప్రెంటిస్
"पहुंच, उपगम, उपमार्ग, दृष्‍टिकोण",విధానం
"उपयुक्‍त, उचित, विनियोजन करना",తగినది
उचित कार्रवाई,తగిన చర్య
उपयुक्‍त शीर्ष,తగిన తల
विनियोजन,కేటాయింపు
अनुमोदन,ఆమోదం
"लगभग, सन्‍निकट",సుమారు
"अभिक्षमता परीक्षा, रुझान परीक्षण",ఆప్టిట్యూడ్ పరీక్ష
मनमाना,ఏకపక్ష
मध्यस्थता करना,మధ్యవర్తిత్వం
"विवाचन, माध्यस्थम्",మధ్యవర్తిత్వ
माध्यस्थम् अधिकरण,మధ్యవర్తిత్వ ట్రిబ్యునల్
"विवाचक, मध्यस्थ",మధ్యవర్తి
वास्तुकला,వాస్తుశిల్పం
अभिलेखागार,ఆర్కైవ్స్
"क्षेत्र, क्षेत्रफल",ప్రాంతం
"क्षेत्र मुख्यालय, क्षेत्रीय मुख्यालय",ఏరియా ప్రధాన కార్యాలయం
"तर्क, बहस",వాదన
"उठना, उद्‌भूत होना, पैदा होना",తలెత్తండి
"सशस्त्र बल, सशस्त्र सेनाएं",సాయుధ దళాలు
"व्यवस्था, विन्यास, प्रबंध",అమరిక
बक़ाया,బకాయి
बक़ाया विवरण,రాక ప్రకటన
आगमन रिपोर्ट,రాక నివేదిక
"दंभ, अक्खड़पन",అహంకారం
"आयुधागार, शास्त्रागार",ఆర్సెనల్
"अनुच्छेद, वस्तु, लेख",వ్యాసం
संस्था के अंतर्नियम,అసోసియేషన్ వ్యాసాలు
नियमावली,వ్యాసాలు
आरोही क्रम,ఆరోహణ క్రమం
अभिनिश्‍चित करना,నిర్ధారించడం
जैसा है जहाँ है,ఎక్కడ ఉందో
"पहलू, पक्ष, दृष्‍टि",కారక
लांछन,ఆస్పర్షన్
"हत्या, हनन",హత్య
हमला,దాడి
"जुटना, एकत्र होना, इकट्ठा होना, जोड़ना, सम्मिलित करना, एकत्र करना",సమీకరించటం
"सभा, जमाव",అసెంబ్లీ
अनुमति,అస్సెంట్
"दृढ़ता से कहना, जोर देकर कहना",నొక్కి చెప్పండి
निर्धारिती,మదింపుదారుడు
निर्धारण,అంచనా
निर्धारण वर्ष,అసెస్‌మెంట్ ఇయర్
"कर-निर्धारक, असेसर",మదింపుదారు
परिसंपत्‍ति,ఆస్తులు
समनुदेशिती,కేటాయించిన
"समनुदेशन, सुपुर्द काम",అసైన్‌మెంట్
समनुदेशक,అసైనర్
"सहायता, मदद",సహాయం
"सह, सहयुक्‍त, सम्मिलित करना, सहयुक्‍त करना",అసోసియేట్
"संघ, संगम, संबंध, साहचर्य",అసోసియేషన్
कार्यभार-ग्रहण,ఛార్జ్ యొక్క umption హ
"आश्‍वासन, बीमा, हस्तांतरण पत्र",హామీ
बीमा कंपनी,అస్యూరెన్స్ కంపెనీ
आश्‍वस्त करना,భరోసా
बट्टे पर,డిస్కౌంట్ వద్ద
परमाणु शक्‍ति,అణు శక్తి
सममूल्य पर,పార్ వద్ద
"बढ़े मूल्य पर, अधिमूल्य पर, प्रीमियम पर",ప్రీమియం వద్ద
"साथ लगाना, संलग्न करना, कुर्की करना",అటాచ్
संलग्न कार्यालय,జతచేయబడిన కార్యాలయం
"संलग्नक, कुर्की",అటాచ్మెంట్
कुर्की आदेश,అటాచ్మెంట్ ఆర్డర్
"लब्धि, प्राप्‍ति",సాధించడం
"प्रयत्‍न करना, प्रयत्‍न",ప్రయత్నం
"उपस्थिति, हाजि़री",హాజరు
"उपस्थिति पंजी, हाजि़री रजिस्टर",హాజరు రిజిస్టర్
उपस्थिति पर्ची,హాజరు స్లిప్
"ध्यान, सावधान",శ్రద్ధ
"अनुप्रमाणन, तसदीक़",ధృవీకరణ
"अनुप्रमाणित प्रति, साक्ष्यांकित प्रति",ధృవీకరించబడిన కాపీ
अभिवृत्‍ति,వైఖరి
आकर्षक वेतन,ఆకర్షణీయమైన జీతం
नीलामी,వేలం
नीलामकर्ता,వేలంపాట
नीलामी बिक्री,వేలం అమ్మకం
"श्रोता, दर्शक, सुनवाई, दर्शन",ప్రేక్షకులు
दृश्य-श्रव्य प्रदर्श,ఆడియో-విజువల్ డిస్ప్లే
दृश्य-श्रव्य प्रचार,ఆడియో-విజువల్ పబ్లిసిటీ
"लेखापरीक्षा, संपरीक्षा",ఆడిట్
"परीक्षित लेखा, संपरीक्षित लेखा",ఆడిట్ చేసిన ఖాతాలు
समपरीक्षित तुलनपत्र,ఆడిట్ చేసిన బ్యాలెన్స్ షీట్
लेखा परीक्षण,ఆడిటింగ్
लेखापरीक्षा आपत्‍ति,ఆడిట్ అభ్యంతరం
लेखापरीक्षक की रिपोर्ट,ఆడిటర్ నివేదిక
प्रेक्षागृह,ఆడిటోరియం
लेखापरीक्षा पैरा,ఆడిట్ పేరా
लेखापरीक्षा रिपोर्ट,ఆర్థిక లెక్కల నివేదిక
मितोपभोग,కాఠిన్యం
मितोपभोग उपाय,పొదుపు చర్యలు
प्रामाणिक,ప్రామాణికమైన
प्राधिकृत प्रतिनिधि,అధీకృత ప్రతినిధి
"प्राधिकृत, प्राधिकारिक",అధికారిక
"(व्यक्‍ति) प्राधिकारी, प्राधिकार, प्राधिकरण, अधिकारी विद्‌वान",అధికారం
प्राधिकार पत्र,అధికారం లేఖ
प्राधिकृत,అధికారం
प्राधिकृत पूंजी,అధీకృత మూలధనం
स्वचालित,ఆటోమేటిక్
स्वायत्‍त,స్వయంప్రతిపత్తి
स्वायत्‍त निकाय,అటానమస్ బాడీ
स्वायत्‍तता,స్వయంప్రతిపత్తి
सहायक,సహాయక
"प्राप्य, उपलब्ध",అందుబాటులో ఉంది
"औसत, सामान्य",సగటు
औसत छुट्टी,సగటు సెలవు
विरुचि,విరక్తి
बचा लेना,అవర్ట్
"परिहार करना, परिवर्जन करना, से बचना",నివారించండి
कर देने से बचना,పన్నును నివారించడం
प्रतीक्षित,వేచి ఉంది
"पंचाट, अधिनिर्णय, पुरस्कार, प्रदान करना",అవార్డు
अधिनिर्णयन प्राधिकारी,అథారిటీ అవార్డు
जागरूकता,అవగాహన
पूर्व-दिनांकित,బ్యాక్‌డేటెడ్
पृष्‍ठभूमि,నేపథ్య
पिछला बक़ाया,బ్యాక్ లాగ్
"मुकर जाना, से हटना",బ్యాక్ అవుట్
पिछला संदर्भ,వెనుక సూచన
पूर्तिकर,బ్యాకప్
पिछड़ा वर्ग,వెనుకబడిన తరగతులు
पिछड़ी जनजाति,వెనుకబడిన తెగ
"अलाभकर सौदा, घाटे का सौदा",చెడు బేరం
बुरा व्यवहार,చెడు ప్రవర్తన
"दुश्‍चरित्र, दु:शील",చెడ్డ పాత్ర
विषम जलवायु भत्‍ता,చెడు వాతావరణ భత్యం
दुराचरण,చెడు ప్రవర్తన
अशोध्य ऋण,చెడు రుణం
असबाब,సామాను
ज़मानत,బెయిల్
"शेष, बाक़ी, संतुलन",సంతులనం
अधोनीत शेष,బ్యాలెన్స్ తగ్గింది
अग्रेनीत शेष,బ్యాలెన్స్ ముందుకు తెచ్చింది
संतुलित बजट,సమతుల్య బడ్జెట్
तुलन पत्र,బ్యాలెన్స్ షీట్
"मतपत्र, मतदान",బ్యాలెట్
मतपेटी,వోట్లు వేసే డబ్బా
मतपत्र,బ్యాలెట్ పేపర్
"प्रतिबंध, रोक, पाबंदी",నిషేధం
"बैंक, साहूकारी करना",బ్యాంక్
बैंक खाता,బ్యాంకు ఖాతా
बैंक शेष,బ్యాంక్ బ్యాలెన్స్
बैंक प्रभार,బ్యాంకు చార్జీలు
"बैंक गारंटी, बैंक प्रत्याभूति",బ్యాంకు హామీ
बैंक अवकाश,బ్యాంకు సెలవు
बैंकिंग सुविधाबैंककारी सुविधा,బ్యాంకింగ్ సౌకర్యం
बैंकिंग कार्य-समय,బ్యాంకింగ్ గంటలు
"बैंक कार्य-व्यवहार, बैंक लेन-देन",బ్యాంకింగ్ లావాదేవీ
बैंक दर,బ్యాంక్ రేటు
बैंक समाधान,బ్యాంకు సయోధ్య
दिवालिया,దివాళా
"बैंक प्रतिभूति, बैंक ज़मानत",బ్యాంక్ భద్రత
बैंक विवरण,బ్యాంకు వాజ్ఞ్మూలము
"प्रीतिभोज, भोज",విందు
"विधिज्ञ परिषद्, बार काउंसिल",బార్ కౌన్సిల్
"सौदा, सौदा करना",బేరం
"सौदेबाजी, सौदाकारी",బేరసారాలు
बंजर भूमि,బంజరు భూమి
वस्तु विनिमय,బార్టర్
आधार,బేస్
"निराधार, बेबुनियाद",నిరాధారమైన
तहख़ाना,బేస్మెంట్
आधार वर्ष,బేస్ ఇయర్
"मूल, बुनियादी",ప్రాథమిక
मूलतः बुनियादी तौर पर,సాధారణంగా
आधारिक आसूचना,ప్రాథమిక మేధస్సు
मूल वेतन,ప్రాథమిక వేతనం
मूल वेतनमान,ప్రాథమిక స్థాయి వేతనం
बुनियादी प्रशिक्षण,ప్రాథమిక శిక్షణ
आधार,ఆధారంగా
"बैच, टोली, खेप, घान",బ్యాచ్
"बैच नंबर, खेप नंबर",బ్యాచ్ సంఖ్య
धारक चैक,బేరర్ చెక్
पूर्व-कथित,ఉదహరించడానికి ముందు
व्यवहार,ప్రవర్తన
विश्‍वास,నమ్మకం
अवमूल्य पर,పార్ క్రింద
"न्यायपीठ, बेंच",బెంచ్
"तल चिह्‌न, मानक",బెంచ్ మార్క్
"लाभप्रद, हितकारी",ప్రయోజనకరమైనది
"हितभागी, लाभार्थी",లబ్ధిదారుడు
"हितलाभ, हित, लाभ",ప్రయోజనం
संदेह लाभ,సందేహం యొక్క ప్రయోజనం
हितकारिता,బెనెవోలెన్స్
हितकारी निधि,బెనెవోలెంట్ ఫండ్
"वसीयत करना, वसीयत द्‌वारा देना",Bequeath
वसीयत,బీక్వెస్ట్
शोकसंतप्त,మరణించారు
भरसक प्रयत्‍न,ఉత్తమ ప్రయత్నాలు
"सुमुन्नति, बेहतरी, खुशहाली",మంచి
"अभिनति, झुकाव, पूर्वाग्रह",బయాస్
पूर्वाग्रही मत,పక్షపాత అభిప్రాయం
ग्रंथसूची,గ్రంథ పట్టిక
द्‌विवार्षिक,ద్వైవార్షిక
दो भागों में बांटना/बंटना,విభజన
द्‌विविवाह,బిగామి
द्‌विपक्षीय,ద్వైపాక్షిక
द्‌विभाषी,ద్విభాషా
"द्‍‌विसदन, द्‌विसदनी",ద్విమకరణ
"विधेयक, बिल",బిల్లు
विनिमय पत्र,మార్పిడికి సంభంధించిన బిల్లు
"द्‌विमासिक रिपोर्ट, अर्धमासिक रिपोर्ट",బిమోంత్లీ రిపోర్ట్
"जिल्दसाजी, बाध्यकारी",బైండింగ్
जीवनवृत्‍त,బయోడేటా
"द्‌विदक्षीय, द्‌विदलीय",బైపార్టైట్
द्‌विपक्षीय करार,ద్వైపాక్షిక ఒప్పందం
जन्म वर्षगाँठ,జనన వార్షికోత్సవం
जन्म प्रमाणपत्र,జనన ధృవీకరణ పత్రం
संतति निरोध,జనన నియంత్రణ
"जन्म तिथि, जन्म की तारीख",పుట్టిన తేదీ
जन्म स्थान,పుట్టిన ప్రదేశం
जन्मदर,జనన రేటు
"पाक्षिक, अर्ध-साप्ताहिक",వారం వారం
काली अर्थव्यवस्था,బ్లాక్ ఎకానమీ
"काली सूची, काली सूची में नाम डालना",బ్లాక్ జాబితా
भयादोहन,బ్లాక్ మెయిల్
"चोर बाजार, काला बाजार",చీకటి వ్యాపారం
दोष लगाना,నింద
कोरा चेक,ఖాళీ చెక్
व्यापक सौदा,దుప్పటి ఒప్పందం
व्यापक आदेश,దుప్పటి క్రమము
धमाका,పేలుడు
सम्मिश्रण,బ్లెండింగ్
"खंड, ब्लॉक",బ్లాక్
"नाकाबंदी, अवरोध",దిగ్బంధనం
अवरूद्‌ध पूंजी,నిరోధించబడిన మూలధనం
"बड़ा अक्षर, साफ़ अक्षर",పెద్ద అక్షరం
रक्‍तदान,రక్త దానం
रक्‍त-संबंधी,రక్త సంబంధాలు
कायिक कार्य,బ్లూ కాలర్ ఉద్యోగం
"ब्लूप्रिंट, खाका",బ్లూప్రింట్
झांसा,బుకాయింపు
"बोर्ड, मंडल, गत्‍ता",బోర్డు
भोजन तथा आवास,బోర్డింగ్ మరియు బస
निदेशक मंडल,బోర్డు డైరెక్టర్లు
राजस्व मंडल,రెవెన్యూ బోర్డ్
निकाय,శరీరం
अंगरक्षक,బాడీగార్డ్
जाली वाउचर,బోగస్ వోచర్
"सद्‍भाव, सदाशयता",బోనఫైడ్స్
"बंधपत्र, बांड",బాండ్
बंधुआ मज़दूर,బంధిత శ్రమ
बोनस,ఉపరి లాభ బహుమానము
"टिकटघर, बुकिंग कार्यालय",నమోదు కార్యాలయం
"बही लेखक, मुनीम",పుస్తక కీపర్
"बहीखाता पद्‌धति, बहीखाता-लेखन",బుక్ కీపింగ్
पुस्तिका,బుక్‌లెట్
संदर्भ पुस्तक,రిఫరెన్స్ పుస్తకం
"खाता मूल्य, अंकित मूल्य",పుస్తకం విలువ
"बूथ, कोष्‍ठ, मतदान कोष्‍ठ",బూత్
"बूथ कब्ज़ा करना, बूथ कब्जाना, बूथ लूटना, मतदान कोष्‍ठ पर कब्जा करना",బూత్ సంగ్రహించడం
सीमा भत्‍ता,సరిహద్దు భత్యం
"सीमारेखा, सीमावर्ती (वि.)",సరిహద్దు రేఖ
उधारकर्ता,రుణగ్రహీత
"उधार लेने की शक्‍ति, ऋणादान शक्‍ति",రుణాలు తీసుకునే శక్తి
बॉस,బాస్
गत्यवरोध,అడ్డంకి
कोष्‍ठक,బ్రాకెట్
सीमा,సరిహద్దు
"बहिष्कार, बॉयकाट",బహిష్కరణ
प्रतिभा पलायन,మెదడు కాలువ
शाखा कार्यालय,శాఖ కార్యాలయం
"भंग, तोड़ना",మించే
