Assamese,Hindi
কেথ&#39;ড ৰে টিউব (CRT),कैथोड किरण नलिका (सी. आर. टी.) कैथोड-रे-टयूब
CD ROM ডিষ্ক ড্ৰাইভ,सी डी रॉम डिस्क ड्रािव
কোষ,सेल
কোষ এনিমেচন,सेल एनीमेशन
চেলুলাৰ ফোন,सेल्युलर फोन
কেন্দ্ৰীয় স্মৃতিশক্তি,"1.केंद्रीय स्मृति,2. केंद्रीय मेमोरी"
কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU),केद्रीय प्रक्रमण एकक (सी पी यू)
কেন্দ্ৰীভূত ব্যৱস্থা,केंद्रीकृत तंत्र
প্ৰমাণিত টেপ,प्रमाणीकृत टेप
শিকলি,श्रृंखला
শৃংখল তথ্য,"1.श्रृंखला आंकड़ा, 2.श्रृंखला सामग्री"
শৃংখল সংযোগ,श्रृंखला कड़ी
চেইনিং,श्रृंखलन
চেনেল,"1.प्रणाल, 2.चैनल"
চেনেল ব্যস্ত সুৰ,"1.प्रणाल व्यस्त टोन, 2.चैनल व्यस्त टोन"
চেনেলৰ ক্ষমতা,"1.प्रणाल क्षमता, 2.चैनल क्षमता"
চেনেল নিয়ন্ত্ৰক,"1.प्रणाल नियंत्रक, 2.चैनल नियंत्रक"
চেনেলৰ ভুল,"1.प्रणाल त्रुटि, 2.चैनल त्रुटि"
চেনেল প্ৰগ্ৰেম,"1.चैनल कार्यक्रम, 2.चैनल प्रोग्राम"
চেনেলৰ নিৰ্ভৰযোগ্যতা,"1.प्रणाल विश्वसनीयता, 2.चैनल विश्वसनीयता"
চেনেল ছেট,"1.प्रणाल समुच्चय, 2.चैनल समुच्चय"
চৰিত্ৰ,संप्रतीक
আখৰৰ ক&#39;ড,"1.संप्रतीक कूट,2. संप्रतीक कोड"
আখৰৰ চাবি,संप्रतीक कुंजी
চৰিত্ৰ পাঠক,संप्रतीक पाठक
আখৰৰ আকাৰ,"1.संप्रतीक सािज, 2.संप्रतीक आमाप"
তালিকা,संचित्र
চেছিছ,"1.न्याधार, 2.चैसिस"
বিট পৰীক্ষা কৰক,जाँच बिट
ডিজিট পৰীক্ষা কৰক,जाँच अंक
ৰাশি পৰীক্ষা কৰক,जाँच योग
শব্দ পৰীক্ষা কৰক,जाँच शब्द
চিপ,चिप
চিপ চেট,चिप सेट
বাছনি কৰক,"1.चुनना, 2.चयन"
ৰঙীনভাৱে,वर्णिक रूप से
চাইফাৰ,"1.सािफर,2. शून्य,3. सीफर"
বৰ্তনী,परिपथ
বৃত্তাকাৰ তালিকা,वर्तुल सूची
cirus,सायरस
উদ্ধৃতি,उल्लेख
শ্ৰেণী,"1.श्रेणी, 2.वर्ग"
ক্লাছ ভেৰিয়েবল,वर्ग चर
শ্ৰেণীবিভাজন,वर्गीकरण
পৰিষ্কাৰ,अपमार्जन
স্পষ্ট এলেকা,अपमार्जित क्षेत्र
ক্লিয়াৰ চেনেল,"1.अपमार्जित प्रणाली, 2.अपमार्जित चैनल"
ক্লিক কৰক,दबाना
গ্ৰাহক,"1.ग्राहक,2. क्लाइट"
ক্লাএন্ট চাৰ্ভাৰ,"1.ग्राहक परिसेवक, 2.ग्राहक सर्वर"
ক্লায়েন্ট ষ্টাব,ग्राहक स्टब
ক্লিপ আৰ্ট,कर्तन कला
ক্লিপ আৰ্ট লাইব্ৰেৰী,कर्तन कला पुस्तकालय
ক্লিপ বৰ্ড,क्लिप बोर्ड
ক্লিপাৰ,क्लिपर
ক্লিপাৰ চিপ,क्लिपर चिप
ক্লিক,गुट
ঘড়ী,"1.घड़ी,2. कालद"
ঘড়ীৰ চক্ৰ,कालद चक्र
ঘড়ীৰ কম্পাঙ্ক,कालद आवृत्ति
ঘড়ী হাৰ্ডৱেৰ,कालद हार्डवेयर
ঘড়ীৰ স্পন্দন,कालद स्पंद
ঘড়ীৰ গতি,कालद गति
ঘড়ী সমন্বয়,कालद तुल्यकालन
ঘড়ীৰ টিক,कालद टिक
ক্ল&#39;ন,क्लोन
বন্ধ,बंद
ক্ল&#39;জ চাৰ্কিট টিভি (CCTV),संवृत परिपथ टी.वी. (सी.सी.टी.वी.)
বন্ধ কৰা,संवरण
ক্লাউড কম্পিউটিং,"1.मेघाभिकलन,2.क्लाुड कंप्यूटिंग"
গুচ্ছ,गुच्छ
আৱৰণযুক্ত কাৰ্ড,"1.विलेपित कार्ड,2. विलेपित पत्रक"
আৱৰণযুক্ত কাগজ,लेपित कागज
সমাক্ষীয়,समाक्षीय
সমাক্ষীয় কেবল,समाक्ष केबल
কোডাচাইল,कोडासिल
ক&#39;ড,"1.कूट, 2.कोड"
ক&#39;ড জেনেৰেটৰ,"1.कूट जनक,2. कोड जनक"
ক&#39;ড পৃষ্ঠা,कूट पृष्ठ
ক&#39;ড শব্দ,"1.कूट शब्द, 2.कोड शब्द"
ক&#39;ডাৰ,"1.कोडर, 2.कूटक"
ক&#39;ডিং পৰীক্ষা,"1.कूट लेखन जाँच, 2. कोडन जाँच"
ক&#39;ডিং ফৰ্ম,कूट लेखन रूप
ক&#39;ডিং শ্বীট,"1.कूटलेखन पत्र, 2. कोडन शीट"
সহগ,गुणांक
সংহতি,ससंजन
ঠাণ্ডা বুট,"1.शीत बूट, 2.शीत प्रारंभ"
ঠাণ্ডা আৰম্ভণি,शीत प्रारंभ
সহযোগিতা,सहयोग
পতন হোৱা,निपात
collate,"1.परिमिलन, 2.समानुक्रमित करना"
টেপ কোলেট কৰক,"1.समानुक्रमित टेप,2. कालेट टेप"
সংঘৰ্ষ,टक्कर
বৃহদান্ত্ৰ,कोलन
ৰং (ৰং),"1.वर्ण, 2.रंग"
ৰঙৰ পৰিপূৰকতা,रंग संतृप्ति
ৰঙৰ টেবুল,रंग सारणी
স্তম্ভ,स्तंभ
