Marathi,Malayalam
परिपूर्ण आर्द्रता,കേവല ഈർപ്പം
परिपूर्ण घटना,കേവല സംഭവങ്ങൾ
परिपूर्ण अपवर्तक निर्देशांक,കേവല അപവർത്തന സൂചിക
पूर्ण अस्थिरता,സമ്പൂർണ്ണ അസ്ഥിരത
पूर्ण अस्थिरता,സമ്പൂർണ്ണ അസ്ഥിരത
"परिपूर्ण तीव्रता, परिपूर्ण तीव्रता","കേവല തീവ്രത, കേവല തീവ്രത"
अस्थेनियाची परिपूर्ण मर्यादा,അസ്തീനിയയുടെ സമ്പൂർണ്ണ പരിധി
परिपूर्ण प्रदीपन खिडकीच्या चौकटीचा खालचा आडवा,കേവല പ്രകാശം സിൽ
परिपूर्ण प्रकाश वक्र,കേവല പ്രകാശ വക്രം
परिपूर्ण परिमाण,കേവലമായ അളവ്
परिपूर्ण बॅरोमीटर,കേവല ബാരോമീറ്റർ
सर्वोच्च सर्वोच्च,പരമോന്നത പരമോന്നത
पूर्ण टोक,സമ്പൂർണ്ണ പരിധി
परिपूर्ण सर्वात कमी,ഏറ്റവും താഴ്ന്നത്
परिपूर्ण गती,കേവല ആക്കം
परिपूर्ण गती,കേവല വേഗത
परिपूर्ण संगीत,കേവല സംഗീതം
परिपूर्ण निरीक्षण,സമ്പൂർണ നിരീക്ഷണം
परिपूर्ण ओम,കേവല ഓം
परिपूर्ण अभिमुखता,കേവല ഓറിയന്റേഷൻ
परिपूर्ण विद्युत ऋणात्मकता,കേവല ഇലക്ട്രോനെഗറ്റിവിറ്റി
परिपूर्ण गुरुत्व,കേവല ഗുരുത്വാകർഷണം
परिपूर्ण दबाव,കേവല മർദ്ദം
परिपूर्ण मालमत्ता,സമ്പൂർണ്ണ സ്വത്ത്
परिपूर्ण स्केलर,കേവല സ്കെയിലർ
तापमानाचे अंतिम प्रमाण*,താപനിലയുടെ കേവല സ്കെയിൽ*
"परिपूर्ण समक्रमण, परिपूर्ण समक्रमण","കേവല സമന്വയം, സമ്പൂർണ്ണ സമന്വയം"
पूर्ण ताण,സമ്പൂർണ്ണ സമ്മർദ്ദം
परिपूर्ण सममिती,കേവല സമമിതി
परिपूर्ण गती शरीर,കേവല ചലന ശരീരം
परिपूर्ण एकक प्रणाली,കേവല യൂണിറ്റ് സിസ്റ്റം
परिपूर्ण तापमान,കേവല താപനില
परिपूर्ण वेळ,കേവല സമയം
निरपेक्ष एकके,കേവല യൂണിറ്റുകൾ
परिपूर्ण मूल्य,യഥാർത്ഥ മൂല്യം
पूर्णांक कॅल्क्युलेटर,പൂർണ്ണസംഖ്യ കാൽക്കുലേറ്റർ
परिपूर्ण वेग,കേവല വേഗത
परिपूर्ण चिकटपणा,കേവല വിസ്കോസിറ്റി
परिपूर्ण वजन,കേവല ഭാരം
पूर्ण शून्य*,കേവല പൂജ്യം*
शून्याचा पूर्ण विभाजक,പൂജ്യത്തിന്റെ കേവല വിഭജനം
शोषून घेणे,ആഗിരണം ചെയ്യുക
शोषक निर्देशांक*,ആഗിരണ സൂചിക*
शोषलेली ऊर्जा,ആഗിരണം ചെയ്ത ഊർജ്ജം
"शोषक, शोषक","ആഗിരണം, ആഗിരണം"
शोषक माध्यम*,ആഗിരണം ചെയ്യാവുന്ന മാധ്യമം*
शोषण क्षमता,ആഗിരണം ശേഷി
शोषण,ആഗിരണം
शोषणमापक*,അബ്സോർപ്റ്റിയോമീറ്റർ*
शोषणमापन*,അബ്സോർപ്റ്റിയോമെട്രി*
शोषण,ആഗിരണം
शोषण - बँड*,ആഗിരണം - ബാൻഡ്*
शोषण सर्किट,ആഗിരണം സർക്യൂട്ട്
शोषण गुणांक,ആഗിരണം ഗുണകം
शोषण स्तंभ,ആഗിരണം കോളം
अवशोषण स्थिर,ആഗിരണ സ്ഥിരത
शोषण सातत्य,ആഗിരണ തുടർച്ച
शोषण क्षेत्र,ആഗിരണം മേഖല
शोषण प्रवाह,ആഗിരണം കറന്റ്
शोषण वक्र*,ആഗിരണം വക്രം*
शोषण फ्रॅक्चर,ആഗിരണം ഒടിവ്
शोषण कोर,ആഗിരണം കോർ
शोषण घटक,ആഗിരണം ഘടകം
शोषण फिल्टर,ആഗിരണം ഫിൽട്ടർ
शोषण फ्लेम फोटोमेट्री*,അബ്സോർപ്ഷൻ ഫ്ലേം ഫോട്ടോമെട്രി*
शोषण हायग्रोमीटर,ആഗിരണം ഹൈഗ്രോമീറ്റർ
शोषण घातांक,ആഗിരണ ഘാതം
शोषण सीमांत,ആഗിരണം നാമമാത്രമാണ്
शोषण रेखा,ആഗിരണം ലൈൻ
शोषण नुकसान,ആഗിരണം നഷ്ടം
शोषण मॉड्यूलेशन,ആഗിരണം മോഡുലേഷൻ
प्रकाश शोषण,പ്രകാശം ആഗിരണം
रेडिएशन उर्जेचे शोषण,റേഡിയേഷൻ ഊർജ്ജത്തിന്റെ ആഗിരണം
शोषण शिखर,ആഗിരണം കൊടുമുടി
शोषण फोटोमेट्री,ആഗിരണം ഫോട്ടോമെട്രി
शोषण प्रमाण,ആഗിരണം അനുപാതം
शोषण श्रेणी*,ആഗിരണം പരിധി*
शोषण स्पेक्ट्रम फोटोमेट्री*,ആഗിരണം സ്പെക്ട്രം ഫോട്ടോമെട്രി*
शोषण स्पेक्ट्रम*,ആഗിരണം സ്പെക്ട്രം*
"शोषक नळी, शोषक नळी","ആഗിരണം ട്യൂബ്, ആഗിരണം ട്യൂബ്"
शोषण हायग्रोमीटर,ആഗിരണം ഹൈഗ്രോമീറ്റർ
शोषक*,ആഗിരണം ചെയ്യാവുന്ന*
शोषक बाष्पीभवक,ആഗിരണം ചെയ്യാവുന്ന ബാഷ്പീകരണം
शोषण कायदा*,ആഗിരണം നിയമം*
शोषण माध्यम,ആഗിരണം മീഡിയം
"शोषक क्षमता, शोषकता*","ആഗിരണം ചെയ്യാനുള്ള ശേഷി, ആഗിരണം*"
शोषण*,ആഗിരണം*
स्टुडिओ सजावट,സ്റ്റുഡിയോ അലങ്കാരം
गुणोत्तर गुणोत्तर,ഗുണിത അനുപാതം
उद्धटपणा,അബോൾട്ട്
बद्दल,കുറിച്ച്
गती वाढवणे,ത്വരിതപ്പെടുത്തുക
प्रवेग-थांबा अंतर,ആക്സിലറേഷൻ-സ്റ്റോപ്പ് ദൂരം
घाई केली,തിടുക്കപ്പെട്ടു
द्रुत वेळ प्रभाव चाचणी,ദ്രുത സമയ ഫല പരിശോധന
जलद प्रवाह,പെട്ടെന്നുള്ള ഒഴുക്ക്
जलद गती,പെട്ടെന്നുള്ള വേഗത
द्रुत शरीर,പെട്ടെന്നുള്ള ശരീരം
प्रवेगक तोलणारा,ആക്സിലറേറ്റർ തൂക്കം
प्रवेगक इलेक्ट्रोड*,ആക്സിലറേറ്റർ ഇലക്ട്രോഡ്*
प्रवेगक वेळ*,ആക്സിലറേറ്റർ സമയം*
प्रवेगक टप्पा,ആക്സിലറേറ്റർ ഘട്ടം
प्रवेगक दर,ആക്സിലറേറ്റർ നിരക്ക്
प्रवेगक व्होल्टेज*,ആക്സിലറേറ്റർ വോൾട്ടേജ്*
प्रवेग,ത്വരണം
प्रवेगक ज्वलन,ത്വരിതപ്പെടുത്തിയ ജ്വലനം
प्रवेग गुणांक,ആക്സിലറേഷൻ കോഫിഫിഷ്യന്റ്
प्रवेग घटक,ത്വരണം ഘടകം
गुरुत्वाकर्षणामुळे प्रवेग,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
प्रवेग घटक,ത്വരണം ഘടകം
प्रवेगक शुल्क,ത്വരിതപ്പെടുത്തിയ ചാർജ്
गुरुत्वाकर्षणाचा प्रवेग,ഗുരുത്വാകർഷണ ത്വരണം
प्रवेग क्षमता,ത്വരണം സാധ്യത
प्रवेग कायदा,ത്വരിതപ്പെടുത്തൽ നിയമം
प्रवेग प्रक्रिया,ത്വരിതപ്പെടുത്തൽ പ്രക്രിയ
प्रवेग क्षेत्र,ആക്സിലറേഷൻ സോൺ
प्रवेग पद्धत,ത്വരിതപ്പെടുത്തൽ രീതി
"प्रवेग सहिष्णुता, प्रवेग सहिष्णुता","ആക്സിലറേഷൻ ടോളറൻസ്, ആക്സിലറേഷൻ ടോളറൻസ്"
प्रवेग वेक्टर,ആക്സിലറേഷൻ വെക്റ്റർ
प्रवेग-व्होल्टेज,ത്വരണം-വോൾട്ടേജ്
प्रवेग लहर,ത്വരണം തരംഗം
प्रवेगक,ആക്സിലറേറ്റർ
"प्रवेग, प्रवेगक*","ത്വരിതപ്പെടുത്തുക, ആക്സിലറേറ്റർ*"
प्रवेगक समीकरण,ആക്സിലറേറ്റർ സമവാക്യം
प्रवेगक*,ആക്സിലറേറ്റർ*
प्रवेगमापक,ആക്സിലറോമീറ്റർ
एक्सीलरोमीटर जुळणी,ആക്സിലറോമീറ്റർ പൊരുത്തപ്പെടുത്തൽ
prestresser,പ്രിസ്ട്രെസർ
वैध वर्ण,സാധുവായ പ്രതീകങ്ങൾ
स्वीकृती कोन,സ്വീകാര്യത കോൺ
स्वीकृती तपशील,സ്വീകാര്യത സ്പെസിഫിക്കേഷൻ
स्वीकार्य चाचणी,സ്വീകാര്യമായ പരിശോധന
"स्वीकारणारा*, स्वीकारणारा","സ്വീകരിക്കുന്നവൻ*, സ്വീകരിക്കുന്നവൻ"
रिसेप्टर अणू,റിസപ്റ്റർ ആറ്റം
रिसेप्टर बाँड,റിസപ്റ്റർ ബോണ്ട്
रिसीव्हर सर्किट,റിസീവർ സർക്യൂട്ട്
रिसेप्टर पातळी,റിസപ്റ്റർ ലെവൽ
दाता रेणू,ദാതാവിന്റെ തന്മാത്ര
रिसेप्टर गुणधर्म,റിസപ്റ്റർ പ്രോപ്പർട്ടി
रिसेप्टर गुणधर्म पातळी,റിസപ്റ്റർ പ്രോപ്പർട്ടി ലെവൽ
प्रवेगक नळी,ആക്സിലറേറ്റർ ഹോസ്
"प्रवेश, प्रतीक्षा, प्रवेश","പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനം"
भुज प्रवेश,ഭുജിലേക്ക് പ്രവേശിക്കുക
प्रवेश प्रणाली,ആക്സസ് സിസ്റ്റം
प्रवेश वेळ,പ്രവേശന സമയം
प्रवेशयोग्यता,പ്രവേശനക്ഷമത
"अतिरिक्त, सहाय्यक, सहायक (v, ), उपकरणे","അധിക, ഓക്സിലറി, ആക്സസറി (v, ), ആക്സസറികൾ"
अतिरिक्त निर्बंध,അധിക നിയന്ത്രണങ്ങൾ
संधी योगायोग,യാദൃശ്ചികം
अपघाती सुधारणा,ആകസ്മികമായ തിരുത്തൽ
अपघाती बायोजेनेसिस,ആകസ്മികമായ ബയോജനസിസ്
अपघाती वळवणे,ആകസ്മികമായ വഴിതിരിച്ചുവിടൽ
अभ्यागत त्रुटी,സന്ദർശക പിശക്
"अचानक थांबणे, अचानक पकडणे","പെട്ടെന്ന് നിർത്തുക, പെട്ടെന്ന് നിർത്തുക"
अपघाती प्रेषण,ആകസ്മികമായ കൈമാറ്റം
यादृच्छिक भिन्नता,ക്രമരഹിതമായ വ്യതിയാനം
समायोजन,ക്രമീകരിക്കൽ
स्थानबद्ध,സ്ഥാനം പിടിച്ചു
संचित त्रुटी,സഞ്ചിത പിശക്
"जमा करणे, जमा करणे","ശേഖരണം, ശേഖരണം"
ऊर्जा साठवण,ഊർജ്ജ സംഭരണം
संचयक*,ശേഖരണം*
अचूकता,കൃത്യത
वास्तव,റിയാലിറ്റി
वास्तविक साधन निरीक्षण,യഥാർത്ഥ ഉപകരണ നിരീക്ഷണം
अचूक श्रेणी मार्कर,കൃത്യമായ റേഞ്ച് മാർക്കർ
अचूक स्कॅनिंग,കൃത്യമായ സ്കാനിംഗ്
सराव,പ്രാക്ടീസ്
प्रवेगक सेल*,ആക്സിലറേറ്റർ സെൽ*
अक्रोमॅटिक लेन्स*,അക്രോമാറ്റിക് ലെൻസ്*
अक्रोमॅटिक*,അക്രോമാറ്റിക്*
अॅक्रोमॅटिक विश्लेषक,അക്രോമാറ്റിക് അനലൈസർ
वारंवारता तटस्थ अँटेना,ഫ്രീക്വൻസി ന്യൂട്രൽ ആന്റിന
अक्रोमॅटिक आकार,അക്രോമാറ്റിക് ആകൃതി
अक्रोमॅटिक फ्रिंज,അക്രോമാറ്റിക് തൊങ്ങൽ
अक्रोमॅटिक लेन्स*,അക്രോമാറ്റിക് ലെൻസ്*
अक्रोमॅटिक पॉइंट पथ,അക്രോമാറ്റിക് പോയിന്റ് പാത
अॅक्रोमॅटिक लेन्स,അക്രോമാറ്റിക് ലെൻസ്
अॅक्रोमॅटिक प्रिझम,അക്രോമാറ്റിക് പ്രിസം
अॅक्रोमॅटिक टेलिस्कोप,അക്രോമാറ്റിക് ടെലിസ്കോപ്പ്
रंगद्रव्य*,അക്രോമാറ്റിറ്റി*
अॅक्रोमॅटायझेशन*,അക്രോമാറ്റിസേഷൻ*
अक्रोमॅटिकता*,അക്രോമാറ്റിറ്റി*
"लवचिक, अपवर्तक, अपवर्तक","ഇലാസ്റ്റിക്, അൺഫ്രാക്റ്ററി, റിഫ്രാക്ടറി"
"एकोर्न नळी, बंजू नळी","അക്രോൺ ഹോസ്, ബഞ്ചു ഹോസ്"
सूक्ष्म झडप,മിനിയേച്ചർ വാൽവ്
इकोफोनी,എക്കോഫോണി
ध्वनिक,അക്കോസ്റ്റിക്
ध्वनिक शोषकता,അക്കോസ്റ്റിക് ആഗിരണം
ध्वनिक क्षीणन गुणांक,അക്കോസ്റ്റിക് അറ്റൻവേഷൻ കോഫിഫിഷ്യന്റ്
ध्वनिक क्षीणन,അക്കോസ്റ്റിക് അറ്റൻവേഷൻ
ध्वनिक चोर अलार्म,അക്കോസ്റ്റിക് കള്ളൻ അലാറം
ध्वनिक क्षमता,അക്കോസ്റ്റിക് കപ്പാസിറ്റൻസ്
श्रवण केंद्र,ശ്രവണ കേന്ദ്രം
ध्वनिक स्पष्टीकरण,അക്കോസ്റ്റിക് വിശദീകരണം
ध्वनिक आवरण,അക്കോസ്റ്റിക് കവർ
ध्वनिक प्रतिसाद,ശബ്ദ പ്രതികരണം
ध्वनिक घटक,അക്കോസ്റ്റിക് ഘടകം
ध्वनिक चालकता,ശബ്ദ ചാലകത
ध्वनिक ओलसर,അക്കോസ്റ്റിക് ഡാംപിംഗ്
ध्वनिक फैलाव,അക്കോസ്റ്റിക് ഡിസ്പർഷൻ
ध्वनी हॅकर,സൗണ്ട് ഹാക്കർ
ध्वनिक ऊर्जा*,ശബ്ദ ഊർജ്ജം*
ध्वनिक ऊर्जा समीकरण,അക്കോസ്റ്റിക് ഊർജ്ജ സമവാക്യം
ध्वनिक समीकरण,ശബ്ദ സമവാക്യം
ध्वनिक पुनर्स्थापना,അക്കോസ്റ്റിക് പുനഃസ്ഥാപിക്കൽ
क्लॅडनी आकार,ക്ലാഡ്നി രൂപങ്ങൾ
ध्वनिक फिल्टर,അക്കോസ്റ്റിക് ഫിൽട്ടർ
ध्वनी जनरेटर,ശബ്ദ ജനറേറ്റർ
ध्वनिक जाळी,അക്കോസ്റ്റിക് ഗ്രേറ്റിംഗ്
ध्वनिक प्रतिबाधा*,ശബ്ദ തടസ്സം*
ध्वनिक जडत्व,അക്കോസ്റ്റിക് ജഡത്വം
ध्वनिक तीव्रता,ശബ്ദ തീവ്രത
ध्वनिक हस्तक्षेप मीटर,അക്കോസ്റ്റിക് ഇടപെടൽ മീറ്റർ
ध्वनिक हस्तक्षेप डिटेक्टर,അക്കോസ്റ്റിക് ഇടപെടൽ ഡിറ്റക്ടർ
ध्वनिक लेन्स,അക്കോസ്റ്റിക് ലെൻസ്
ध्वनी ओळ,ശബ്ദരേഖ
ध्वनिक वस्तुमान,അക്കോസ്റ്റിക് പിണ്ഡം
ध्वनिक साहित्य,അക്കോസ്റ്റിക് മെറ്റീരിയൽ
ध्वनिक अर्थ मुक्त मार्ग,അക്കോസ്റ്റിക് അർത്ഥം സ്വതന്ത്ര പാത
ध्वनिक मोड,അക്കോസ്റ്റിക് മോഡ്
ध्वनिक आवाज,അക്കോസ്റ്റിക് ശബ്ദം
ध्वनिक ओम*,അക്കോസ്റ്റിക് ഓം*
"ध्वनिक पॅनेल, ध्वनिक मंडळ","അക്കോസ്റ്റിക് പാനൽ, അക്കോസ്റ്റിക് ബോർഡ്"
ध्वनिक टप्पा स्थिर,അക്കോസ്റ്റിക് ഘട്ടം സ്ഥിരം
ध्वनिक प्राप्तकर्ता,അക്കോസ്റ്റിക് റിസീവർ
ध्वनिक दाब,ശബ്ദ സമ്മർദ്ദം
ध्वनीचा सममिती नियम,ശബ്ദത്തിന്റെ സമമിതി നിയമം
ध्वनिक प्रसारण,അക്കോസ്റ്റിക് ട്രാൻസ്മിഷൻ
ध्वनिक गुणधर्म,ശബ്ദ ഗുണങ്ങൾ
अकौस्टिक क्वाड्रपोल,അക്കോസ്റ്റിക് ക്വാഡ്രുപോള്
ध्वनिक विकिरण घटक,അക്കോസ്റ്റിക് വികിരണം മൂലകം
ध्वनिक विकिरण,അക്കോസ്റ്റിക് വികിരണം
ध्वनीरोधक,ശബ്ദപ്രതിരോധം
ध्वनिक रेडिओमीटर,അക്കോസ്റ്റിക് റേഡിയോമീറ്റർ
ध्वनिक प्रतिसाद,ശബ്ദ പ്രതികരണം
ध्वनिक परस्पर प्रमेय,അക്കോസ്റ്റിക് റിസിപ്രോസിറ്റി സിദ്ധാന്തം
ध्वनिक घट घटक,അക്കോസ്റ്റിക് റിഡക്ഷൻ ഘടകം
ध्वनिक परावर्तन गुणांक,അക്കോസ്റ്റിക് പ്രതിഫലന ഗുണകം
ध्वनिक अपवर्तन,ശബ്ദ അപവർത്തനം
ध्वनिक प्रतिकार,ശബ്ദ പ്രതിരോധം
ध्वनिक प्रतिसाद,ശബ്ദ പ്രതികരണം
ध्वनिक विखुरणे,അക്കോസ്റ്റിക് ചിതറിക്കൽ
श्रवण बिंदू,ശ്രവണ പോയിന്റ്
ध्वनिक कडकपणा,അക്കോസ്റ്റിക് കാഠിന്യം
ध्वनिक प्रणाली,ശബ്ദസംവിധാനം
ध्वनिक थर्मामीटर,അക്കോസ്റ്റിക് തെർമോമീറ്റർ
ध्वनिक वेग,ശബ്ദ പ്രവേഗം
ध्वनी लहर,ശബ്ദ തരംഗം
ध्वनिक,അക്കോസ്റ്റിക്
ध्वनी शोषण गुणांक,ശബ്ദ ആഗിരണം ഗുണകം
ध्वनी शोषण घटक,ശബ്ദ ആഗിരണം ഘടകം
ध्वनिक सर्किट,അക്കോസ്റ്റിക് സർക്യൂട്ട്
ध्वनिक प्रतिसाद,അക്കോസ്റ്റിക് പ്രതികരണം
ध्वनिक विलंब रेखा,അക്കോസ്റ്റിക് കാലതാമസം ലൈൻ
ध्वनिक विकृती,ശബ്ദ വികലത
ध्वनिक ध्वनीशास्त्र,അക്കോസ്റ്റിക് ശബ്ദശാസ്ത്രം
ध्वनिक फिल्टर,അക്കോസ്റ്റിക് ഫിൽട്ടർ
ध्वनिक प्रतिबाधा*,ശബ്ദ തടസ്സം*
फोनोग्राफ,ഫോണോഗ്രാഫ്
ध्वनिक ओम*,അക്കോസ്റ്റിക് ഓം*
ध्वनिक स्थिरांक,അക്കോസ്റ്റിക് സ്ഥിരാങ്കം
ध्वनिक फोनन,അക്കോസ്റ്റിക് ഫോണോൺ
ध्वनिक प्रसारण स्थिर,അക്കോസ്റ്റിക് ട്രാൻസ്മിഷൻ സ്ഥിരാങ്കം
ध्वनी रूपांतरण गुणांक,ശബ്ദ പരിവർത്തന ഗുണകം
ध्वनिक प्रतिकार,ശബ്ദ പ്രതിരോധം
ध्वनिक कडकपणा,അക്കോസ്റ്റിക് കാഠിന്യം
ध्वनी युनिट,ശബ്ദ യൂണിറ്റ്
ध्वनीरोधक,ശബ്ദപ്രതിരോധം
अकौस्टिक साइड लाइन,അക്കോസ്റ്റിക് സൈഡ് ലൈൻ
"ध्वनीशास्त्र, ध्वनीशास्त्र","ശബ്ദശാസ്ത്രം, ശബ്ദശാസ്ത്രം"
ध्वनी मीटर,ശബ്ദ മീറ്റർ
ध्वनी दाब,ശബ്ദ സമ്മർദ്ദം
संपादन रडार,ഏറ്റെടുക്കൽ റഡാർ
प्रकाशसंश्लेषक विकिरण,ഫോട്ടോസിന്തറ്റിക് റേഡിയേഷൻ
ऍक्टिनियम उत्सर्जन,ആക്ടിനിയം എമിഷൻ
ऍक्टिनो-युरेनियम,ആക്ടിനോ-യുറേനിയം
ऍक्टिनो-युरेनियम मालिका,ആക്ടിനോ-യുറേനിയം പരമ്പര
रेडिओइलेक्ट्रिक,റേഡിയോ ഇലക്ട്രിക്
"ऍक्टिनोमीटर, फोटोमायक्रोमीटर","ആക്ടിനോമീറ്റർ, ഫോട്ടോമൈക്രോമീറ്റർ"
"कृती, कृती","പ്രവൃത്തി, പ്രവൃത്തി"
क्रिया आणि प्रतिक्रिया,പ്രവർത്തനവും പ്രതികരണവും
क्रिया स्थिर,പ്രവർത്തന സ്ഥിരത
प्रभाव क्षेत्र,സ്വാധീന മേഖല
"सक्रिय, सक्रिय","സജീവമാക്കി, സജീവമാക്കി"
सक्रिय प्रसार,സജീവ വ്യാപനം
"सक्रिय फायबर, सक्रिय फायबर","സജീവമാക്കിയ ഫൈബർ, സജീവമാക്കിയ ഫൈബർ"
सक्रियकरण प्रभाव,സജീവമാക്കൽ പ്രഭാവം
सक्रियकरण प्रभाव,സജീവമാക്കൽ പ്രഭാവം
सक्रियकरण विश्लेषण,സജീവമാക്കൽ വിശകലനം
क्रियाकलाप केंद्र,പ്രവർത്തന കേന്ദ്രം
सक्रियकरण परीक्षक,ആക്ടിവേഷൻ ടെസ്റ്റർ
सक्रियता ऊर्जा,സജീവമാക്കൽ ഊർജ്ജം
सक्रियकरण एन्ट्रॉपी,സജീവമാക്കൽ എൻട്രോപ്പി
सक्रियकरण ओव्हरव्होल्टेज,സജീവമാക്കൽ അമിത വോൾട്ടേജ്
सक्रियता दर,സജീവമാക്കൽ നിരക്ക്
"सक्रिय करणारा, सक्रिय करणारा","ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ"
सक्रिय करणारा अणू,ആക്റ്റിവേറ്റർ ആറ്റം
प्रवेगक,ആക്സിലറേറ്റർ
सक्रिय शोषण,സജീവമായ ആഗിരണം
सक्रिय हवाई,സജീവമായ ഏരിയൽ
रेडिएशन धोक्याचे क्षेत्र,റേഡിയേഷൻ അപകട മേഖല
सक्रिय डिव्हाइस,സജീവ ഉപകരണം
सक्रिय लक्ष्यीकरण,സജീവമായ ടാർഗെറ്റിംഗ്
सक्रिय हायड्रोजन*,സജീവ ഹൈഡ്രജൻ*
सक्रिय जाळी,സജീവ മെഷ്
सक्रिय ओळ सक्रिय ओळ,സജീവ ലൈൻ സജീവ ലൈൻ
