Marathi,Assamese
पिठात पेग,বেটাৰ পেগ
पिठात घाट,বেটাৰ ঘাট
पिठात नियम,বেটাৰৰ নিয়ম
बल्क (बाल्क),Baulk (বালক)
खाडी,উপসাগৰ
वाहक,বাহক
सहन करण्याची क्षमता,বহন ক্ষমতা
पत्करणे ब्लॉकला,বেয়াৰিং পাইল
बेअरिंग स्ट्रॅटम,বহন স্তৰ
पलंग,বিছনা
बेडिंग विमान,বিচনাৰ বিমান
बेड संयुक्त,বিচনাৰ সংযোগ
बेड रॉक,বিচনাৰ শিল
बेड रूम,শোৱনি কোঠা
मेण,মৌমাখিৰ মোম
बेल बॉक्स,বেল বাকচ
बेलिंग बादली,বেলিং বাল্টি
बेलोफ्राम,বেলোফ্ৰেম
बेंच केलेला पाया,বেঞ্চযুক্ত ভেটি
बेंचिंग,বেঞ্চিং কৰা
बेंच मार्क,বেঞ্চ মাৰ্ক
लाभ खर्चाचे विश्लेषण,লাভৰ খৰচ বিশ্লেষণ
बर्म,বাৰ্ম
Bevelled बंद,বেভেলড বন্ধ
"B-क्षितिज,&quot;B-","খ-দিগন্ত,&quot;খ-"
बायट,বিয়াত
बाईंडर,বাইণ্ডাৰ
बंधनकारक साहित्य,বান্ধি ৰখা সামগ্ৰী
बायोटचा सिद्धांत,বায়টৰ তত্ত্ব
बिटुमेन,বিটুমিন
काळी कापूस माती,ক’লা কপাহী মাটি
काळी पृथ्वी,ক&#39;লা পৃথিৱী
काळी हरळीची माती,ক’লা টাৰ্ফ মাটি
ब्लेड,ব্লেড
ब्लास्ट फर्नेस स्लॅग सिमेंट,ব্লাষ্ট ফাৰ্নেচ স্লেগ চিমেণ্ট
ब्लॉक रचना,ব্লকযুক্ত গঠন
बोगी प्रतिकार,বগী প্ৰতিৰোধ
बोग-लोह धातू,বোগ-লোহাৰ অক্সাইড
बाँड,বান্ধোন
बंधपत्रित सदस्य,বণ্ডেড সদস্য
बंध पोस्ट टेंशनिंग,বণ্ডেড পোষ্ট টেনচিং
बोंड दगड,বণ্ড ষ্টোন
बांधलेले पाणी,বান্ধি থোৱা পানী
पेटी गटर,বক্স নালা
ब्रेस,ব্ৰেচ
वीट-ऑन-एज,ইটা-অন-এজ
लगाम,লজ্জাজনক
तेज,উজ্জ্বলতা
तपकिरी माती,বাদামী মাটি
इमारत,ভৱন
इमारत सर्वेक्षक,বিল্ডিং জৰীপকাৰী
बफर,বাফাৰ
बफर वक्र,বাফাৰ বক্ৰ
बफरिंग,বাফাৰিং
बफरिंग क्षमता,বাফাৰিং ক্ষমতা
बंदर,বাণ্ডাৰ
बट्रेस,বাট্ৰেছ
सी-क्षितिज,গ-দিগন্ত
केबल,কেবল
केबल मोल्डिंग,কেবল মল্ডিং
केबल टाकणे,কেবলিং
केबिन,কেবিন
केबिन हुक,কেবিন হুক
कपाट,কেবিনেট
कॅबोल्ट सोडला,কেবল্টৰ চাকৰি এৰিছে
कॅफेटेरिया,কেফেটেৰিয়া
पिंजरा,সঁজা
पिंजरा बांधकाम,পিঞ্জৰা নিৰ্মাণ
काईनचे सूत्र,কয়িনৰ সূত্ৰ
कैसन,কেইচন
कॅसन रोग,কেইচন ৰোগ
Caisson पाया,কেইচন ফাউণ্ডেচন
Caisson ढीग,কেইচন পাইল
चुनखडीची वीट,কেলকেয়াৰযুক্ত ইটা
चुनखडीयुक्त चिकणमाती,কেলকেয়াৰযুক্ত মাটি
चुनखडीयुक्त कवच,কেলকেয়াৰযুক্ত খোলা
कॅल्सिफिकेशन,কেলচিফিকেশন
कॅल्सीनेशन,কেলচিনেচন
कॅल्सीन,কেলচিন
कॅल्साइट,কেলচাইট
कॅल्शियम-अल्युमिनेट सिमेंट,কেলচিয়াম-এলুমিনেট চিমেণ্ট
कॅल्शियम-सिलिकेट वीट,কেলচিয়াম-চিলিকেট ইটা
कॅल्शियम-सिलिकेट हायड्रेट,কেলচিয়াম-চিলিকেট হাইড্ৰেট
कॅलिचे,কালিচে
कॅलिफोर्निया बेअरिंग रेशो,কেলিফৰ্ণিয়া বেয়াৰিং ৰেচিঅ’
कॅलिपर,কেলিপাৰ
कॅलरीमीटर,কেলৰিমিটাৰ
कांबर,কেম্বাৰ
कालवा,খাল
छत,কেনপি
कॅन्टिलिव्हर फूटिंग,কেন্টিলিভাৰ ফুটিং
टोपी,কেপ
क्षमता,ক্ষমতা
एइल ट्रॅकची क्षमता,ail ট্ৰেকৰ ক্ষমতা
कॅप केबल,কেপ কেবল
केशिका,কেপিলাৰিটি
केशिका ब्रेक,কেপিলাৰী ব্ৰেক
केशिका प्रवाह,কেপিলাৰী প্ৰবাহ
केशिका ओलावा किंवा केशिका पाणी,কেপিলাৰী আৰ্দ্ৰতা বা কেপিলাৰী পানী
केशिका छिद्र जागा,কেপিলাৰী ছিদ্ৰ স্থান
केशिका सच्छिद्रता,কেপিলাৰী ছিদ্ৰতা
केशिका जागा,কেপিলাৰী স্থান
वेग कॅप्चर करा,কেপচাৰ বেগ
कार्बोनेशन,কাৰ্বনেচন
कार्बन ब्लॅक,কাৰ্বন ব্লেক
कास्टबल रेफ्रेक्ट्री,Castble অবাধ্য
कास्ट-इन-प्लेस किंवा कास्ट-इन-सिटू,কাষ্ট-ইন-প্লেচ বা কাষ্ট-ইন-চিটু
कास्ट-इन-प्लेस मेख,কাষ্ট-ইন-প্লেচ পাইল
एरंडेल,কেষ্টাৰ
कास्ट दगड,ঢালাই শিল
उत्प्रेरक,অনুঘটক
कॅटेना,কেটেনা
मांजरीचा चेहरा,মেকুৰীৰ মুখ
मांजरीचे डोके,মেকুৰীৰ মূৰ
कॅशन,কেটিয়ন
मांजर चालणे,মেকুৰী খোজ কাঢ়িব
पोकळ्या निर्माण होणे नुकसान,গহ্বৰৰ ক্ষতি
Celite,চেলাইট
सेल्युलर कंक्रीट,কোষীয় কংক্ৰিট
सेल्युलर बांधकाम,কোষীয় নিৰ্মাণ
सिमेंट,চিমেণ্ট
"सिमेंट, बिटुमिनस","চিমেণ্ট, বিটুমিনাছ"
"सिमेंट, उच्च शक्ती","চিমেণ্ট, উচ্চ শক্তি"
"सिमेंट, हायड्रॉलिक","চিমেণ্ট, হাইড্ৰলিক"
"सिमेंट, कमी उष्णता","চিমেণ্ট, কম জুইত"
"सिमेंट, दगडी बांधकाम","চিমেণ্ট, শিলৰ কাম"
"सिमेंट, नैसर्गिक","চিমেণ্ট, প্ৰাকৃতিক"
"सिमेंट, पोर्टलँड","চিমেণ্ট, পৰ্টলেণ্ড"
"सिमेंट, पोर्टलँड ब्लास्ट फर्नेस स्लॅग","চিমেণ্ট, পৰ্টলেণ্ড ব্লাষ্ট ফাৰ্নেচৰ স্লেগ"
"सिमेंट, पोर्टलँड पोझोलन","চিমেণ্ট, পৰ্টলেণ্ড প&#39;জ&#39;লান"
"सिमेंट, स्लॅग","চিমেণ্ট, স্লেগ"
"सिमेंट, सल्फेट प्रतिरोधक","চিমেণ্ট, ছালফেট প্ৰতিৰোধী"
"सिमेंट, सुपर सल्फेट","চিমেণ্ট, ছুপাৰ ছালফেটেড"
"सिमेंट, पांढरा","চিমেণ্ট, বগা"
सिमेंट-एकूण प्रमाण,চিমেণ্ট-এগ্ৰিগেটৰ অনুপাত
सिमेंट सामग्री,চিমেণ্টৰ পৰিমাণ
सिमेंट जेल,চিমেণ্ট জেল
सिमेंट बंदूक,চিমেণ্টৰ বন্দুক
सिमेंटची भट्टी,চিমেণ্টৰ ভঁৰাল
सिमेंट पेंट,চিমেণ্টৰ ৰং
सिमेंट प्लास्टर,চিমেণ্টৰ প্লাষ্টাৰ
सिमेंट खडक,চিমেণ্টৰ শিল
सिमेंट स्लरी,চিমেণ্টৰ গোন্ধ
सिमेंट स्टोरेज,চিমেণ্ট সংৰক্ষণ
सिमेंटेशन प्रक्रिया,চিমেণ্টেচন প্ৰক্ৰিয়া
केंद्रीकरण,কেন্দ্ৰীকৰণ
सेंटरिंग आणि शटरिंग,চেণ্টাৰিং আৰু শ্বাটাৰিং
केंद्रीय मिश्रित कंक्रीट,কেন্দ্ৰীয় মিশ্ৰিত কংক্ৰিট
मध्यवर्ती मिक्सर,কেন্দ্ৰীয় মিক্সাৰ
केंद्रापसारक पंखा,কেন্দ্ৰপৃথক ফেন
खडू,চক
चांफर,চেমফাৰ
चेंफर पट्टी,চেমফাৰ ষ্ট্ৰিপ
चॅनेल बीम,চেনেল বিম
वैशिष्ट्यपूर्ण भार,বৈশিষ্ট্যপূৰ্ণ বোজা
वैशिष्ट्यपूर्ण ताकद,বৈশিষ্ট্যপূৰ্ণ শক্তি
चार्ज बंद,চাৰ্জ অফ কৰক
चार्ज होत आहे,চাৰ্জিং
तपासत आहे,পৰীক্ষা কৰি আছে
रासायनिक बंध,ৰাসায়নিক বন্ধন
चेरनोझेम,চেৰনোজেম
चेस्टनट माती,চেষ্টনাটৰ মাটি
चिमणी गटर,চিমনিৰ নালা
चिप बोर्ड,চিপ বৰ্ড
चिपिंग,চিপিং
चिप्स,চিপছ
चुटे,চুটে
वर्ग (काँक्रीटचा),শ্ৰেণী (কংক্ৰিটৰ)
चिकणमाती,বোকা মাটি
चिकणमाती सामग्री,মাটিৰ পৰিমাণ
मातीचा तवा,মাটিৰ কেৰাহী
क्लीनआउट,ক্লিনআউট
साफ करा,চাফ-চিকুণ কৰক
क्लीट,ক্লিট কৰক
क्लिंकर,ক্লিংকাৰ
क्लिप,ক্লিপ
गोठणे,জমা হোৱা
खडबडीत एकूण,মোটা গোটা পদাৰ্থ
खडबडीत दाणेदार माती,মোটা দানাযুক্ত মাটি
कोट,কোট
कोफर धरण,কফাৰ বান্ধ
एकसंधता,সংহতি
कोलायड,কলয়ড
कोलोइडल आर्द्रता समतुल्य गुणोत्तर,কলয়ডাল আৰ্দ্ৰতাৰ সমতুল্য অনুপাত
कोलाइडल प्रणाली,কলয়ডাল ব্যৱস্থা
कोल्व्हियल माती,কলুভিয়াল মাটি
स्तंभ,স্তম্ভ
कॉम्बेड फिनिश,কম্বড ফিনিচিং
एकत्रित पाया,সংযুক্ত ফুটিং
एकत्रित पाणी,সংযুক্ত পানী
सामान्य खोली,কমন ৰুম
पूर्णत्वाचे प्रमाणपत्र,সম্পূৰ্ণ হোৱাৰ প্ৰমাণ পত্ৰ
घटक चौरस,উপাদান বৰ্গ
काँक्रीट,কংক্ৰিট
काँक्रिशन,কংক্ৰিচন
एकत्रित दर/सपाट दर,একত্ৰিত হাৰ/ফ্লেট হাৰ
दूषित पदार्थ,দূষক পদাৰ্থ
पाककला alcove,ৰন্ধা-বঢ়াৰ এলকোভ
सामना करणे,মোকাবিলা কৰা
कॉर्बेल,কৰ্বেল
कॉर्निस,কৰ্নিচ
कपलर,কাপলাৰ
"युग्मक, दुहेरी","কাপলাৰ, ডাবল"
"कपलर, पुटलॉग","কাপলাৰ, পুটলগ"
"युग्मक, कुंडा","কাপলাৰ, চুইভেল"
अभ्यासक्रम,ধাৰা
यादृच्छिक भंगार दगडी बांधकाम,কোৰ্চ কৰা ৰেণ্ডম ধ্বংসাৱশেষ শিলৰ কাম
झाकलेले क्षेत्र,আবৃত অঞ্চল
रांगणे,অধম
रांगणे गुणांक,ক্ৰিপ সহগ
क्रोटोवाइन,ক্ৰ&#39;ট&#39;ভাইন
कावळा पाय,কাউৰী ভৰি
लहानसा तुकडा रचना,ক্ৰাম গঠন
अंकुश,প্ৰতিবন্ধক
चालू,সোঁত
वक्र प्रतिकार,বক্ৰ প্ৰতিৰোধ ক্ষমতা
ओलसर पुरावा कोर्स,ডেম্প প্ৰুফ কোৰ্চ
पूर्ण होण्याची तारीख,সম্পূৰ্ণ হোৱাৰ তাৰিখ
मृत भार,ডেড লোড
मृत पाणी,মৰা পানী
डेसिबल,ডেচিবেল
Deflocculation,ডিফ্ল’কুলেচন
वायुवीजन किंवा हवेच्या जागेचे प्रमाण,বায়ুমণ্ডলৰ মাত্ৰা বা বায়ু স্থান অনুপাত
एकत्रीकरणाची पदवी,একত্ৰীকৰণৰ মাত্ৰা
फैलाव पदवी,বিক্ষিপ্ততাৰ মাত্ৰা
संपृक्तता पदवी,চেচুৰেচনৰ ডিগ্ৰী
घनता,ঘনত্ব
वाळवंट फुटपाथ,মৰুভূমিৰ ফুটপাথ
वाळवंटी माती,মৰুভূমিৰ মাটি
तपशील,সবিশেষ
विकास कालावधी,উন্নয়নৰ সময়ছোৱা
डी-क्षितिज,ডি-দিগন্ত
कर्ण बंध,তিৰ্যক বন্ধন
आकृती,ডায়াগ্ৰাম
डिजिटल डॉक,ডিজিটেল ডক
विभेदक पाणी दर,ভিন্নতামূলক পানীৰ হাৰ
सौम्य वायुवीजन,পাতল কৰা ভেণ্টিলেচন
डिलुव्हियम,ডিলুভিয়াম
जेवणाची खोली,খোৱাঘৰ
दिशा पेग,দিশৰ পেগ
फैलाव,বিক্ষিপ্ততা
डिस्टेंपर,ডিষ্টেম্পাৰ
गोदी,ডক
दार,দুৱাৰ
डोर्मर,ডৰ্মাৰ
डॉर्मर चेक,ডৰ্মাৰ চেক
दुहेरी फ्लेमिश बाँड,ডাবল ফ্লেমিছ বণ্ড
दुहेरी थर,ডাবল লেয়াৰ
डोवेल,ডৱেল
रेखाचित्र बोर्ड,অংকন বৰ্ড
रेखाचित्र खोली,ড্ৰয়িং ৰুম
वाहून नेणे,ড্ৰিফ্ট
कोरडे बल्ब तापमान,শুকান বাল্বৰ উষ্ণতা
कोरडी गोदी,শুকান ডক
कोरडे रबर दगडी बांधकाम,শুকান ৰবৰৰ শিলৰ কাম
डच बाँड,ডাচ বণ্ড
बटू भिंत,বামন দেৱাল
निवास एकक,বাসস্থানৰ ইউনিট
इव्ह,ইভ
Eaves गटर,ইভছ নালা
आर्थिक व्यवहार्यता,অৰ্থনৈতিক সম্ভাৱনীয়তা
एक्टोडायनामॉर्फिक माती,বহিঃগতিশীল মাটি
एडी,এডি
प्रभावी आकार,ফলপ্ৰসূ আকাৰ
फुलणे,ফুলৰ ফুলনি
सांडपाणी,এফ্লুৱেণ্ট
उत्थान,উচ্চতা
एलिव्हिएशन,এলুভিয়েচন
एल्युव्हियम,এলুভিয়াম
एंडोडायनामॉर्फिक माती,এণ্ডোডাইনামৰ্ফিক মাটি
अभियांत्रिकी व्यवहार्यता,অভিযান্ত্ৰিক সম্ভাৱনীয়তা
इंग्रजी बंधन,ইংৰাজী বণ্ড
इंग्रजी बाग भिंत बंधन,ইংৰাজী বাগিচাৰ দেৱালৰ বণ্ড
"EPM (समतुल्य प्रति दशलक्ष),&quot;","ইপিএম (প্ৰতি মিলিয়নৰ সমতুল্য),&quot;"
समतुल्य वजन,সমতুল্য ওজন
अर्ग,Erg
अदलाबदल करण्यायोग्य,বিনিময়যোগ্য
एक्सचेंज करण्यायोग्य आम्लता,বিনিময়যোগ্য এচিডিটি
एक्सचेंजेबल सोडियम टक्केवारी (ESP),বিনিময়যোগ্য ছডিয়াম শতাংশ (ESP)
ई.एस.पी.,ই এছ পি.
एक्सचेंज आंबटपणा,বিনিময় এচিডিটি
एक्सचेंज कॉम्प्लेक्स,এক্সচেঞ্জ কমপ্লেক্স
एक्झॉस्ट,নিষ্কাশন
उघड समाप्त,উন্মুক্ত ফিনিচিং
डोळा,নয়ন
डोळा कपाळ,চকুৰ ভ্ৰূ
तोंड देत,মুখামুখি
बाँडचा सामना करत आहे,বন্ধনৰ সন্মুখীন হোৱা
सुरक्षिततेचा घटक,সুৰক্ষাৰ কাৰক
पडणे,পৰি যোৱা
फेसिया,ফেচিয়া
फेशिया बोर्ड,ফেচিয়া বৰ্ড
दोष,দোষ
फील्ड ओलावा,পথাৰ আৰ্দ্ৰতা
अंतिम ओलावा समतुल्य,চূড়ান্ত আৰ্দ্ৰতাৰ সমতুল্য
फिलेट (मोर्टारचा),ফিলেট (মৰ্টাৰৰ)
अंतिम,চূড়ান্ত
अंतिम मोजमाप,চূড়ান্ত জোখ-মাখ
अंतिम पेमेंटq,চূড়ান্ত পেমেণ্টq
अंतिम पूर्व ताण,চূড়ান্ত প্ৰি ষ্ট্ৰেছ
अंतिम ताण,চূড়ান্ত উত্তেজনা
आर्थिक व्यवहार्यता,আৰ্থিক সম্ভাৱনীয়তা
उत्तम एकूण,মিহি গোটা পদাৰ্থ
फुटलेला खडक,ছিন্নভিন্ন শিল
ध्वजाचा दगड,পতাকা শিল
फ्लेमिश बाँड,ফ্লেমিছ বন্ধন
चमकत आहे,ফিচফিচাই থকা
चमकणारा प्रवाह,ঝলমলীয়া ধাৰা
सपाट छप्पर,সমতল চাল
फ्लेचे,ফ্লেচে
फ्लेमिश गार्डन भिंत बंधन,ফ্লেমিছ বাগিচাৰ দেৱালৰ বন্ধন
चकमक,ফ্লিন্ট
चकमक भिंत,ফ্লিণ্টৰ দেৱাল
फ्लोटिंग मजला,ভাসমান মজিয়া
फ्लोक्युलेशन,ফ্লকুলেচন
फ्लोक्युलेशन मर्यादा,ফ্লকুলেচন সীমা
फ्लोक्युलेशन गुणोत्तर,ফ্লকুলেচন অনুপাত
फ्लोक्युल्स,ফ্লকুলেছ
मजला,মজিয়া
मजला सील,মজিয়াৰ ছীল
प्रवाह,বৈ অহা
चढ - उतार,উঠা-নমা
फूटिंग,ফুটিং
पाया,ভেঁটি
फ्री फॉल बॅरो टॉपिंग मिक्सर,ফ্ৰী ফ&#39;ল বেৰ&#39; টপিং মিক্সাৰ
फ्री फॉल मिक्सर (ड्रम प्रकार),ফ্ৰী ফ&#39;ল মিক্সাৰ (ড্ৰাম টাইপ)
मुक्त दगड,মুক্ত শিল
फ्रेशेट,ফ্ৰেছেট
घर्षण ढीग,ঘৰ্ষণৰ স্তূপ
बेडूक,ভেকুলী
गॅबल,গেবল
गॅबलेट,গেবলেট
Gambrel छप्पर,গাম্ব্ৰেলৰ চাল
गेज,জোখ লোৱা
गेजिंग विभाग,গেজিং অংশ
गेजिंग स्टेशन,গেজিং ষ্টেচন
सामान्य स्थान योजना,সাধাৰণ স্থান পৰিকল্পনা
सामान्य वायुवीजन,সাধাৰণ বায়ু চলাচল
G क्षितीज किंवा gley क्षितीज,G দিগন্ত বা গ্লে দিগন্ত
पर्यंत हिमनदी,হিমবাহৰ টিল
Gneiss,গ্নেইছ
माल यार्ड,সামগ্ৰীৰ চোতাল
ग्रेडियंट प्रतिकार,গ্ৰেডিয়েণ্ট ৰেজিষ্টেন্স
ग्रॅनाइट,গ্ৰেনাইট
दाणेदार रचना,দানাদাৰ গঠন
दाणेदार,গ্ৰেনুলেচন
ग्रेन्युल,গ্ৰেনুল
गुरुत्वाकर्षण मुक्त पाणी,মহাকৰ্ষণীয় পানীমুক্ত পানী
गुरुत्वाकर्षण यार्ड,মহাকৰ্ষণীয় চোতাল
ग्रेट माती गट,মহান মাটিৰ গোট
ग्रिलेज फाउंडेशन,গ্ৰীলেজ ফাউণ্ডেচন
ग्राउंड हँड मोल्डिंग,গ্ৰাউণ্ড হেণ্ড মল্ডিং
गटबद्ध डॉक,গ্ৰুপ কৰা ডক
समूह गृहनिर्माण,গ্ৰুপ হাউছিং
अतिथी खोली,অতিথিশালা
गटार,নালা
गटार वाहक,নালা বাহক
गटर तपासणी,নালা পৰীক্ষা
हॅमर ड्रेसिंग,হাতুৰীৰে ড্ৰেছিং
बंदर,বন্দৰ
आश्रयाचे बंदर,আশ্ৰয়ৰ বন্দৰ
कडक पॅन,কঠিন কেৰাহী
शीर्षलेख,হেডাৰ
हेडर बॉण्ड,হেডাৰ বণ্ড
हेडर कोर्स,হেডাৰ পাঠ্যক্ৰম
हेड गेटची रचना,হেড গেটৰ গঠন
कालव्याचे प्रमुख,খালৰ মূৰ
हेड रेग्युलेटर,হেড ৰেগুলেটৰ
हेरिंग हाडांचे बंधन,হেৰিং হাড়ৰ বন্ধন
हृदयविकार,হৃদয়স্পৰ্শী
भिजण्याची उष्णता,তিয়াই থোৱাৰ তাপ
उच्च अॅल्युमिना सिमेंट,উচ্চ এলুমিনা চিমেণ্ট
हिप,কঁকাল
हिप कॅपिंग,হিপ কেপিং
नितंब टोक,হিপড এণ্ড
हुड,ডকাইত
हुड मोल्डिंग,হুড মল্ডিং
हुकचा कायदा,হুক’ৰ আইন
हूप लोह,হুপ লোহা
क्षितिज,দিগন্ত
आर्द्रीकरण,আৰ্দ্ৰকৰণ
"आर्द्रता, निरपेक्ष","আৰ্দ্ৰতা, নিৰপেক্ষ"
"आर्द्रता, सापेक्ष","আৰ্দ্ৰতা, আপেক্ষিক"
कुबड्याचे अंगण,হাম্প চোতাল
हायड्रोलिक दाब,হাইড্ৰলিক চাপ
हायड्रेशन,জলসিঞ্চন
हायड्रोलिसिस,হাইড্ৰ’লাইছিছ
हायड्रोलाइटिक आम्लता,হাইড্ৰ’লাইটিক এচিডিটি
हायड्रोमॉर्फिक माती,জলৰূপী মাটি
हायड्रोफिलिक कोलाइड,হাইড্ৰফিলিক কলয়ড
हायड्रोफोबिक कोलाइड,হাইড্ৰ’ফ’বিক কলয়ড
हायड्रोस्टॅटिक दाब प्रमाण,হাইড্ৰ’ষ্টেটিক চাপৰ অনুপাত
हायग्रोस्केप्टिक गुणांक,হাইগ্ৰ’স্কেপ্টিক সহগ
हायग्रोस्कोपिक ओलावा,হাইগ্ৰস্কোপিক আৰ্দ্ৰতা
हायड्रोस्कोपीसिटी,হাইড্ৰস্কোপিচিটি
हायग्रोस्कोपिक ओलावा,হাইগ্ৰস্কোপিক আৰ্দ্ৰতা
हायपरबेरिक चेंबर,হাইপাৰবেৰিক চেম্বাৰ
हायपरस्टॅटिक फ्रेम,হাইপাৰষ্টেটিক ফ্ৰেম
हायपोमीटर,হাইপছ’মিটাৰ
रोषणाई,আলোকসজ্জা
इबिबेशन ओलावा,ইম্বিবেচন আৰ্দ্ৰতা
अपरिपक्व माती,অপৰিপক্ক মাটি
जप्त डॉक,জব্দ কৰা ডক
जमीन महसुलात वाढ,ভূমিৰ ৰাজহ বৃদ্ধি
स्वतंत्र मचान,স্বতন্ত্ৰ মৰাপাট
इन्ड्युरेटेड,কঠিন
प्रारंभिक prestress,প্ৰাৰম্ভিক প্ৰিষ্ট্ৰেছ
सुरुवातीचा ताण,প্ৰাৰম্ভিক উত্তেজনা
अंतर्देशीय जलमार्ग बंदर,অভ্যন্তৰীণ জলপথ বন্দৰ
इन्सुलेट बोर्ड,ইনচুলেটিং বৰ্ড
मध्यवर्ती बंदर,মধ্যৱৰ্তী বন্দৰ
अंतर्गत घर्षण,আভ্যন্তৰীণ ঘৰ্ষণ
इंट्राझोनल माती,ইন্ট্ৰাজ’নেল মাটি
आयन,আয়ন
आयन एक्सचेंज,আয়ন বিনিময়
लोखंडी तवा,লোহাৰ কেৰাহী
बागायती जमीन,জলসিঞ্চিত মাটি
सिंचन,জলসিঞ্চন
सिंचन उपकर,জলসিঞ্চনৰ চেছ
जांब,জাম্ব
धडपडणे,জগল কৰক
जॉगल पिन,জগল পিন
जौल,জৌলে
जम्पर,জাম্পাৰ
किलोग्रॅम,কিলোগ্ৰাম
किलोग्राम बल,কিলোগ্ৰাম বল
किलोग्राम फोर्स मीटर,কিলোগ্ৰাম বল মিটাৰ
किलोवॅट तास,কিলোৱাট ঘন্টা
राजा बंद,ৰজা বন্ধ
स्वयंपाकघर,পাকঘৰ
लेस केलेला स्तंभ,লেচযুক্ত স্তম্ভ
मागे पडणे,পিছ পৰি থকা
लॅमेला रूट,লেমেলা শিপা
पातळ थरांचा बनवलेला प्रवाह,লেমিনাৰ প্ৰবাহ
दिवा भोक,লেম্পৰ ফুটা
जमीन संवर्धन,ভূমি বৃদ্ধি
लँड स्लाइडिंग,ভূমি পিছলি যোৱা
लॅटराइट,লেটাৰাইট
लॅटराइट माती,লেটাৰাইট মাটি
मोठ्या संख्येचा कायदा,বৃহৎ সংখ্যকৰ নিয়ম
लेआउट योजना,বিন্যাস পৰিকল্পনা
लेजर,লেজাৰ
चुना पॅन,চূণৰ কেৰাহী
लिंटेल,লিণ্টেল
द्रव मर्यादा,তৰল সীমা
थेट भार,লাইভ লোড
चिकणमाती,লোম
स्थानिक एक्झॉस्ट वेंटिलेशन,স্থানীয় এক্সজেষ্ট ভেণ্টিলেচন
लोको यार्ड,লোকো চোতাল
लॉस,ল&#39;ছ
