English,Telugu
Adapter (adaptor),అడాప్టర్
Adaptive differential pulse code modulation,అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్
Address book,చిరునామా పుస్తకం
Address bus,చిరునామా బస్సు
Address resolution,చిరునామా తీర్మానం
Adjacent channel interference,ప్రక్కనే ఉన్న ఛానల్ జోక్యం
Adjacent channel selectivity,ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ
Adjacent frequency,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ
Adjacent frequency channel,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్
Adjacent picture carrier,ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్
Adjacent sound carrier,ప్రక్కనే ఉన్న సౌండ్ క్యారియర్
Adjacent station,ప్రక్కనే ఉన్న స్టేషన్
Adjustable,సర్దుబాటు
Adjustable condenser,సర్దుబాటు కండెన్సర్
Adjusting pressure,సర్దుబాటు ఒత్తిడిని
Adjusting wrench,రెంచ్ సర్దుబాటు
Adjustment,సర్దుబాటు
Administrator,నిర్వాహకుడు
Advanced technology,అధునాతన సాంకేతిక పరిజ్ఞానం
Aerial,ఆకాశయాన
Aerial array,వైమానిక శ్రేణి
Aerial booster,వైమానిక బూస్టర్
Aerial current,వైమానిక ప్రవాహం
Aerial earthing switch,వైమానిక ఎర్తింగ్ స్విచ్
Aerial efficiency,వైమానిక సామర్థ్యం
Aerial impedance,వైమానిక ఇంపెడెన్స్
Aerial inductance,వైమానిక ఇండక్టెన్స్
Aerial insulator,వైమానిక అవాహకం
Aerial loading coil,వైమానిక లోడింగ్ కాయిల్
Aerial photography,వైమానిక ఫోటోగ్రఫీ
Aerial power,వైమానిక శక్తి
Aerial radiation reistance,వైమానిక రేడియేషన్ రీస్టెన్స్
Aerial reactance,వైమానిక ప్రతిచర్య
Aerodynamics,ఏరోడైనమిక్స్
Agency,ఏజెన్సీ
Air compressor,వాయువుని కుదించునది
Air condenser,ఎయిర్ కండెన్సర్
Air cooled,గాలి చల్లబడింది
Air cored coil,ఎయిర్ కోర్డ్ కాయిల్
Airconditioning,ఎయిర్ కండిషనింగ్
Albedo,ఆల్బెడో
Algorithm,అల్గోరిథం
Aliasing,అలియాసింగ్
Aligning,సమలేఖనం
Alignment,అమరిక
All wave aerial,అన్ని వేవ్ వైమానిక
Allocation,కేటాయింపు
Alphabetic,అక్షరాలు
Alphanumeric,ఆల్ఫాన్యూమరిక్
Alphanumeric character,ఆల్ఫాన్యూమరిక్ పాత్ర
Alphanumeric information,ఆల్ఫాన్యూమరిక్ సమాచారం
Alternating current (a.c.),ప్రత్యామ్నాయ కరెంట్ (a.c.)
Alternation,ప్రత్యామ్నాయం
Alternator,ఆల్టర్నేటర్
Altitude,ఎత్తు
Altitude of the apogee,పొక్కు ఎత్తు
Altitude of the perigee,మూత యొక్క ఎత్తు
Amateur radio communication,Te త్సాహిక రేడియో కమ్యూనికేషన్
Ambience,వాతావరణం
Ambience microphone,వాతావరణ మైక్రోఫోన్
Ambient condition,పరిసర పరిస్థితి
Ambient lighting,పరిసర లైటింగ్
Ambient noise,పరిసర శబ్దం
Ambient temperature,పరిసర ఉష్ణోగ్రత
American standard code,అమెరికన్ స్టాండర్డ్ కోడ్
Ampere,Ampere
Ampere meter,ఆంపియర్ మీటర్
Amplification,విస్తరణ
Amplification factor,యాంప్లిఫికేషన్ కారకం
Amplifier,యాంప్లిఫైయర్
Amplifier gain,యాంప్లిఫైయర్ లాభం
Amplifier noise,యాంప్లిఫైయర్ శబ్దం
Amplifying equipment,పరికరాలను విస్తరించడం
Amplifying klystron,క్లైస్ట్రాన్ విస్తరించడం
Amplifying unit,యాంప్లిఫైయింగ్ యూనిట్
Amplitude,వ్యాప్తి
Amplitude distortion,వ్యాప్తి వక్రీకరణ
Amplitude excursion,వ్యాప్తి విహారయాత్ర
Amplitude factor,వ్యాప్తి కారకం
Amplitude limiter,వ్యాప్తి పరిమితి
Amplitude modulated,వ్యాప్తి మాడ్యులేటెడ్
Amplitude modulation,యాంప్లిట్యూడ్ మాడ్యులేషన్
Analog (analogue),అనలాగ్ (అనలాగ్)
Analog circuit,అనలాగ్ సర్క్యూట్
Analog computer,అనలాగ్ కంప్యూటర్
Analog radio frequency channel,ఫ్రీక్వెన్సీ ఛానల్
Analog representation,అనలాగ్ ప్రాతినిధ్యం
Analog signal,అనలాగ్ సిగ్నల్
Analog to digital,డిజిటల్‌కు అనలాగ్
Analog to digital converter,డిజిటల్ కన్వర్టర్‌కు అనలాగ్
Analog video,అనలాగ్ వీడియో
Analogous,సారూప్యత
Analogy,సారూప్యత
Analysis,విశ్లేషణ
Analysis of data,డేటా యొక్క విశ్లేషణ
Analytical density,విశ్లేషణాత్మక సాంద్రత
Analyze,విశ్లేషించడానికి
Analyzer,ఎనలైజర్
Ancilliary equipment,సహాయక పరికరాలు
AND Gate,మరియు గేట్
Angle of collimation,కొలిమేషన్ యొక్క కోణం
Angle of polarization,ధ్రువణ కోణం
Angle of rotation,భ్రమణ కోణం
Angstrom (Å),గోరు
Angular,కోణీయ
Angular acceleration,కోణీయ త్వరణం
Angular co-ordinates,కోణీయ సమన్వయాలు
Angular deflection,కోణీయ విక్షేపం
Angular dispersion,కోణీయ చెదరగొట్టడం
Angular displacement,కోణీయ స్థానభ్రంశం
Angular error,కోణీయ లోపం
Angular frequency,కోణీయ పౌన .పున్యం
Angular momentum,కోణీయ మొమెంటం
Angular motion,కోణీయ కదలిక
Angular velocity,కోణీయ వేగం
Animation,యానిమేషన్
Anode,యానోడ్
Anode battery,యానోడ్ బ్యాటరీ
Anode characteristic,యానోడ్ లక్షణం
Anode circuit,యానోడ్ సర్క్యూట్
Anode dissipation,యానోడ్ వెదజల్లడం
Anode efficiency,యానోడ్ సామర్థ్యం
Anode input power,యానోడ్ ఇన్పుట్ శక్తి
Anode modulation,యానోడ్ మాడ్యులేషన్
Antenna,యాంటెన్నా
Antenna beamwidth,యాంటెన్నా బీమ్విడ్త్
Antenna booster,యాంటెన్నా బూస్టర్
Antenna changeover switch,యాంటెన్నా చేంజ్ఓవర్ స్విచ్
Antenna coil,యాంటెన్నా కాయిల్
Antenna configuration,యాంటెన్నా కాన్ఫిగరేషన్
Antenna coupler,యాంటెన్నా కప్లర్
Antenna cross polar pattern,యాంటెన్నా క్రాస్ ధ్రువ నమూనా
Antenna current,యాంటెన్నా కరెంట్
Antenna directivity gain,యాంటెన్నా డైరెక్టివిటీ లాభం
Antenna duplexer,యాంటెన్నా డ్యూప్లెక్సర్
Antenna effective area,యాంటెన్నా ప్రభావవంతమైన ప్రాంతం
Antenna efficiency,యాంటెన్నా సామర్థ్యం
Antenna feed,యాంటెన్నా ఫీడ్
Antenna foot print,యాంటెన్నా ఫుట్ ప్రింట్
Antenna gain,యాంటెన్నా లాభం
Antenna height,యాంటెన్నా ఎత్తు
Antenna impedance,యాంటెన్నా ఇంపెడెన్స్
Antenna inductance,యాంటెన్నా ఇండక్టెన్స్
Antenna pattern,యాంటెన్నా నమూనా
Antenna plexer,యాంటెన్నా ప్లెక్సర్
Antenna polarization,యాంటెన్నా ధ్రువణత
Antenna power,యాంటెన్నా శక్తి
Antenna power gain,యాంటెన్నా శక్తి లాభం
Antenna radiation resistance,యాంటెన్నా రేడియేషన్ నిరోధకత
Antenna reactance,యాంటెన్నా రియాక్టెన్స్
Antenna reflector,యాంటెన్నా రిఫ్లెక్టర్
Antenna resistance,యాంటెన్నా నిరోధకత
Antenna resonant frequency,యాంటెన్నా ప్రతిధ్వని ఫ్రీక్వెన్సీ
Antenna spacing,యాంటెన్నా స్పేసింగ్
Antenna switching room,యాంటెన్నా స్విచింగ్ రూమ్
Antenna tuning coil,యాంటెన్నా ట్యూనింగ్ కాయిల్
Antenna tuning hut,యాంటెన్నా ట్యూనింగ్ హట్
Aperture,ఎపర్చరు
Apogee,అపోజీ
Apogee rocket,అపోజీ రాకెట్
Apparatus,ఉపకరణం
Apparent,స్పష్టంగా
Applet,ఆప్లెట్
Application,అప్లికేషన్
Approximate,సుమారు
Aquous solution,అక్వేస్ ద్రావణం
Arc,ఆర్క్
Architecture,వాస్తుశిల్పం
Archival transfer of sound recording,సౌండ్ రికార్డింగ్ యొక్క ఆర్కైవల్ బదిలీ
Archives,ఆర్కైవ్స్
Arithmetic coding,అంకగణిత కోడింగ్
Armature,ఆర్మేచర్
Armature winding,ఆర్మేచర్ వైండింగ్
Array,అమరిక
Arrester,అరేస్టర్
Articulation,ఉచ్చారణ
Artifact (=artefact),(= కళాఖండము
Ascending,ఆరోహణ
Aspect ratio,కారక నిష్పత్తి
Assembler,సమీకరించేవాడు
Assertion,వాదన
Assignment,అప్పగింత
Assignment channel,అసైన్‌మెంట్ ఛానల్
Asymmetrical,అసమాన
Asynchronous,అసమకాలిక
Atmosphere,వాతావరణం
Atmospheric loss,వాతావరణ నష్టం
Atmospheric noise,వాతావరణ శబ్దం
Atmospheric pressure,వాతావరణ పీడనం
Atmospheric propagation,వాతావరణ ప్రచారం
Atmospheric radio-wave,వాతావరణ రేడియో-వేవ్
Atmospherics,వాతావరణం
Atom,అణువు
Atomic structure,అణు నిర్మాణం
Attachment,అటాచ్మెంట్
Attenuation,అటెన్యుయేషన్
Attenuation loss,అటెన్యుయేషన్ నష్టం
Attenuation of sound waves,ధ్వని తరంగాల యొక్క అటకన
Attenuator,అటెన్యూయేటర్
Attenuator-pad,అటెన్యూయేటర్-ప్యాడ్
Audibility threshold,విడిబిలిటీ థ్రెషోల్డ్
Audible,వినగల
Audible frequency,వినగల ఫ్రీక్వెన్సీ
Audible tone,వినగల స్వరం
Audible-spectrum,వినగల-స్పెక్ట్రం
Audience,ప్రేక్షకులు
Audio,ఆడియో
Audio amplifier,ఆడియో యాంప్లిఫైయర్
Audio analyzer,ఆడియో ఎనలైజర్
Audio broadcasting,ఆడియో ప్రసారం
Audio cable,ఆడియో కేబుల్
Audio chain,ఆడియో గొలుసు
Audio codec,ఆడియో కోడెక్
Audio compression,ఆడియో కుదింపు
Audio compressor,ఆడియో కంప్రెసర్
Audio console,ఆడియో కన్సోల్
Audio distortion,ఆడియో వక్రీకరణ
Audio dynamic range,ఆడియో డైనమిక్ పరిధి
Audio file format,ఆడియో ఫైల్ ఫార్మాట్
Audio frame format,ఆడియో ఫ్రేమ్ ఫార్మాట్
Audio frequency amplifier,ఆడియో ఫ్రీక్వెన్సీ యాంప్లిఫైయర్
Audio frequency generator,ఆడియో ఫ్రీక్వెన్సీ జనరేటర్
Audio frequency range,ఆడియో ఫ్రీక్వెన్సీ పరిధి
Audio frequency response,ఆడియో ఫ్రీక్వెన్సీ ప్రతిస్పందన
Audio limiter,ఆడియో పరిమితి
Audio line,ఆడియో లైన్
Audio mixer,ఆడియో మిక్సర్
Audio modulation,ఆడియో మాడ్యులేషన్
Audio oscillator,ఆడియో ఓసిలేటర్
Audio output,ఆడియో అవుట్పుట్
Audio power,ఆడియో శక్తి
Audio quality,ఆడియో నాణ్యత
Audio signal,ఆడియో సిగ్నల్
Audio signal processing,ఆడియో సిగ్నల్ ప్రాసెసింగ్
Audio spectrum,ఆడియో స్పెక్ట్రం
Audio storage,ఆడియో నిల్వ
Audio sub-carrier,ఆడియో సబ్ క్యారియర్
Audio transformer,ఆడియో ట్రాన్స్ఫార్మర్
Audio transmitter,ఆడియో ట్రాన్స్మిటర్
Audio/video compression,శ్రవణ/వీడియో కుదింపు
Audio-frequency oscillator,ఆడియో-ఫ్రీక్వెన్సీ ఓసిలేటర్
Audio-frequency signal,ఆడియో-ఫ్రీక్వెన్సీ సిగ్నల్
Audiometry,ఆడియోమెట్రీ
Audio-visual aid,ఆడియో-విజువల్ ఎయిడ్
Auditory perception,శ్రవణ అవగాహన
Authentication,ప్రామాణీకరణ
Authorised carrier frequency,అధీకృత క్యారియర్ ఫ్రీక్వెన్సీ
Auto CAD,ఆటో క్యాడ్
Auto diagnostics,ఆటో డయాగ్నస్టిక్స్
Automatic,ఆటోమేటిక్
Automatic control,స్వయంచాలక నియంత్రణ
Automatic detection,ఆటోమేటిక్ డిటెక్షన్
Automatic equipment,స్వయంచాలక పరికరాలు
Automatic frequency control,ఆటోమేటిక్ ఫ్రీక్వెన్సీ కంట్రోల్
Automatic limiter,ఆటోమేటిక్ లిమిటర్
Automatic machine,ఆటోమేటిక్ మెషిన్
Automatic phasae control,ఆటోమేటిక్ ఫేసే నియంత్రణ
Automatic picture transmission,ఆటోమేటిక్ పిక్చర్ ట్రాన్స్మిషన్
Automatic playback,ఆటోమేటిక్ ప్లేబ్యాక్
Automatic power control,ఆటోమేటిక్ పవర్ కంట్రోల్
Automatic programming,ఆటోమేటిక్ ప్రోగ్రామింగ్
Automatic recording,ఆటోమేటిక్ రికార్డింగ్
Automatic reset,ఆటోమేటిక్ రీసెట్
Automatic shutter,ఆటోమేటిక్ షట్టర్
Automatic system,ఆటోమేటిక్ సిస్టమ్
Automatic telephone,ఆటోమేటిక్ టెలిఫోన్
Automatic temperature control,స్వయంచాలక ఉష్ణోగ్రత నియంత్రణ
Automatic voltage regulator,ఆటోమేటిక్ వోల్టేజ్ రెగ్యులేటర్
Automatic volume compressor,ఆటోమేటిక్ వాల్యూమ్ కంప్రెసర్
Automatic volume control,ఆటోమేటిక్ వాల్యూమ్ కంట్రోల్
Automatic volume expander,ఆటోమేటిక్ వాల్యూమ్ ఎక్స్‌పాండర్
Automation,ఆటోమేషన్
Automation control,ఆటోమేషన్ నియంత్రణ
Automation frequency controller,ఆటోమేషన్ ఫ్రీక్వెన్సీ కంట్రోలర్
Auxiliary,సహాయక
Auxiliary audio bus,సహాయక ఆడియో బస్సు
Available power,అందుబాటులో ఉన్న శక్తి
Avalanche breakdown,హిమపాతం విచ్ఛిన్నం
Average life,సగటు జీవితం
Average pressure,సగటు పీడనం
Average speed,సగటు వేగం
Axis of spin,స్పిన్ యొక్క అక్షం
Azimuth,అజిముత్
Azimuth angle,అజిముత్ కోణం
Azimuth error,అజిముత్ లోపం
Back light,బ్యాక్ లైట్
Back projection,బ్యాక్ ప్రొజెక్షన్
Back voltage (=reverse voltage),వెనుక వోల్టేజ్ (= రివర్స్ వోల్టేజ్)
Backfire (arc back),బ్యాక్‌ఫైర్ (ఆర్క్ బ్యాక్)
Background light,నేపథ్య కాంతి
Background noise,వెనుకవైపు శబ్ధం
Background projection,నేపథ్య ప్రొజెక్షన్
Backup,బ్యాకప్
Baffle,అడ్డుపడే
Baking,బేకింగ్
Balanced audio,సమతుల్య ఆడియో
Balanced audio line,సమతుల్య ఆడియో లైన్
Balanced transmission line,సమతుల్య ప్రసార రేఖ
Balancing,బ్యాలెన్సింగ్
Ballast,బ్యాలస్ట్
Ballast factor,బ్యాలస్ట్ కారకం
Balun,బలున్
Band,బ్యాండ్
Band pass filter,బ్యాండ్ పాస్ ఫిల్టర్
Band selector,బ్యాండ్ సెలెక్టర్
Band splitting,బ్యాండ్ విభజన
Band stop filter,బ్యాండ్ స్టాప్ ఫిల్టర్
Band switch,బ్యాండ్ స్విచ్
Band tuning,బ్యాండ్ ట్యూనింగ్
Bandwidth,బ్యాండ్‌విడ్త్
Bar,బార్
Bar code,బార్ కోడ్
Bar data,బార్ డేటా
Bare band,బేర్ బ్యాండ్
Bare lamp,బేర్ లాంప్
Barn door,బార్న్ డోర్
Base band,బేస్ బ్యాండ్
Base band signal,బేస్ బ్యాండ్ సిగ్నల్
Base band system,బేస్ బ్యాండ్ వ్యవస్థ
Base browser,బేస్ బ్రౌజర్
Base collector junction,బేస్ కలెక్టర్ జంక్షన్
Base insulator,బేస్ ఇన్సులేటర్
Bass,బాస్
Bass compensation,బాస్ పరిహారం
Bass loudspeaker (woofer),బాస్ లౌడ్‌స్పీకర్ (వూఫర్)
Batch scanning,బ్యాచ్ స్కానింగ్
Battery charging,బ్యాటరీ ఛార్జింగ్
Beam,బీమ్
Beat,బీట్
Beat frequency oscillator,బీట్ ఫ్రీక్వెన్సీ ఓసిలేటర్
Bel,బెల్
Bias,బయాస్
Bias circuit,బయాస్ సర్క్యూట్
Bias frequency,బయాస్ ఫ్రీక్వెన్సీ
Bias voltage,బయాస్ వోల్టేజ్
Biased in the forward direction,ఫార్వర్డ్ దిశలో పక్షపాతం
Bi-directional microphone,ద్వి-దిశాత్మక మైక్రోఫోన్
Billboard,బిల్‌బోర్డ్
Billboard application,బిల్‌బోర్డ్ అప్లికేషన్
Bi-metallic element,ద్వి-మెటాలిక్ మూలకం
Binary,బైనరీ
Binary coded decimal,బైనరీ కోడెడ్ దశాంశం
Binary digit (bit),బైనరీ అంకెలు
Binary number,బైనరీ సంఖ్య
Binaural hearing,బైనరల్ హియరింగ్
Binocular,బైనాక్యులర్
Biometric,బయోమెట్రిక్
Bipolar transistor,బైపోలార్ ట్రాన్సిస్టర్
Bit allocation,బిట్ కేటాయింపు
Bit rate,బిట్ రేటు
Black & white TV,బ్లాక్ & వైట్ టీవీ
Blank,ఖాళీ
Blanking interval,ఖాళీ విరామం
Blanking level,బ్లాంకింగ్ స్థాయి
Bleeder resistance,బ్లీడర్ రెసిస్టెన్స్
Blimped camera,బ్లింపెడ్ కెమెరా
Blinding glare,బ్లైండింగ్ గ్లేర్
Blink,బ్లింక్
Blinking,బ్లింకింగ్
Block code,బ్లాక్ కోడ్
Block diagram,బ్లాక్ రేఖాచిత్రం
Block interleave,బ్లాక్ ఇంటర్‌లీవ్
Blocking capacitor,కెపాసిటర్ నిరోధించడం
Blocking oscillator,ఓసిలేటర్‌ను నిరోధించడం
Bloom,బ్లూమ్
Blow lamp,బ్లో లాంప్
Blow pipe,బ్లో పైప్
Blower,బ్లోవర్
Bluetooth,బ్లూటూత్
Body capacitance,బాడీ కెపాసిటెన్స్
Bookmark,బుక్‌మార్క్
Boolean algebra,బూలియన్ బీజగణితం
Boom,బూమ్
Boost,బూస్ట్
Booster,బూస్టర్
Booster light,బూస్టర్ లైట్
Boosting,బూస్టింగ్
Booting,బూటింగ్
Bootstrap,బూట్స్ట్రాప్
Bottom light,దిగువ కాంతి
Bounce light,బౌన్స్ లైట్
Break down,విచ్ఛిన్నం
Break down voltage,వోల్టేజ్ను విచ్ఛిన్నం చేయండి
Bridge element,వంతెన మూలకం
Bridge rectifier,బ్రిడ్జ్ రెక్టిఫైయర్
Bridged ‘T’ attenuator,వంతెన ‘టి’ అటెన్యూయేటర్
Bridged structure,వంతెన నిర్మాణం
Bridging,బ్రిడ్జింగ్
Bridging amplifier,బ్రిడ్జింగ్ యాంప్లిఫైయర్
Bridging loss,వంతెన నష్టం
Brightness,ప్రకాశం
Brightness control,ప్రకాశం నియంత్రణ
Brittle,పెళుసు
Brittle substance,పెళుసైన పదార్ధం
Broadband,బ్రాడ్‌బ్యాండ్
Broadband amplifier,బ్రాడ్‌బ్యాండ్ యాంప్లిఫైయర్
Broadband ISDN,బ్రాడ్‌బ్యాండ్ ISDN
Broadband system,బ్రాడ్‌బ్యాండ్ వ్యవస్థ
Broadcast and communication technology,ప్రసార మరియు కమ్యూనికేషన్ టెక్నాలజీ
Broadcast coverage,ప్రసార కవరేజ్
Broadcast receiver,ప్రసార రిసీవర్
Broadcast service planning,ప్రసార సేవా ప్రణాళిక
Broadcast transmitter,ప్రసార ట్రాన్స్మిటర్
Broadcaster,బ్రాడ్‌కాస్టర్
Broadcasting,ప్రసారం
Broadcasting station,బ్రాడ్కాస్టింగ్ స్టేషన్
Broken,విరిగింది
Browser,బ్రౌజర్
Browsing,బ్రౌజింగ్
Bubble,బుడగ
Buffer,బఫర్
Buffer amplifier,బఫర్ యాంప్లిఫైయర్
Buffer tube,బఫర్ ట్యూబ్
Bug,బగ్
Built-in antenna,అంతర్నిర్మిత యాంటెన్నా
Burner,బర్నర్
Burning,బర్నింగ్
Burst error,పేలుడు లోపం
Burst insertion pulse,పేలుడు చొప్పించే పల్స్
Burst phase,పేలుడు దశ
Bus,బస్సు
Business intelligence,వ్యాపార నైపుణ్యం
Buzzer,బజర్
By pass,పాస్ ద్వారా
By passing,ఉత్తీర్ణత ద్వారా
Bypass condenser,బైపాస్ కండెన్సర్
C,సి
C+programming language,సి+ప్రోగ్రామింగ్ భాష
Cabinet,క్యాబినెట్
Cable,కేబుల్
Cable compound,కేబుల్ సమ్మేళనం
Cable equalization,కేబుల్ ఈక్వలైజేషన్
Cable loss,కేబుల్ నష్టం
Cache,కాష్
Caching,కాషింగ్
Cadmium cell,కాడ్మియం సెల్
Calculating machine,మెషీన్ లెక్కిస్తోంది
Calculation,లెక్కింపు
Calculator,కాలిక్యులేటర్
Calibrate,క్రమాంకనం
Calipers,కాలిపర్స్
Calorimeter,కేలరీమీటర్
Camcorder,క్యామ్‌కార్డర్
Camera,కెమెరా
Camera alignment,కెమెరా అమరిక
Camera aperture,కెమెరా ఎపర్చరు
Camera coverage,కెమెరా కవరేజ్
Camera line-up,కెమెరా లైనప్
Camera tube,కెమెరా ట్యూబ్
Canopy,పందిరి
Capability,సామర్ధ్యం
Capacitance,కెపాసిటెన్స్
Capacitive load,కెపాసిటివ్ లోడ్
Capacitive reactance,కెపాసిటివ్ రియాక్టెన్స్
Capacitor,కెపాసిటర్
Capacitor input filter,కెపాసిటర్ ఇన్పుట్ ఫిల్టర్
Capacity,సామర్థ్యం
Capsule,క్యాప్సూల్
Caption,శీర్షిక
Capture effect,సంగ్రహ ప్రభావం
Card,కార్డు
Cardioid,కార్డియోయిడ్
Cardioid microphone,కార్డియోయిడ్ మైక్రోఫోన్
Carrier,క్యారియర్
Carrier frequency,క్యారియర్ ఫ్రీక్వెన్సీ
Carrier frequency shift,క్యారియర్ ఫ్రీక్వెన్సీ షిఫ్ట్
Carrier power,క్యారియర్ శక్తి
Carrier sense signal,క్యారియర్ సెన్స్ సిగ్నల్
Carrier sensitivity,క్యారియర్ సున్నితత్వం
Carrier separation,క్యారియర్ విభజన
Carrier shift,క్యారియర్ షిఫ్ట్
Carrier spacing,క్యారియర్ స్పేసింగ్
Carrier suppression,క్యారియర్ అణచివేత
Carrier wave,క్యారియర్ వేవ్
Cartridge,గుళిక
Carving,చెక్కడం
Cascade,క్యాస్కేడ్
Cascaded circuit,క్యాస్కేడ్ సర్క్యూట్
Cassette,క్యాసెట్
Cast iron,తారాగణం ఇనుము
Casting,కాస్టింగ్
Catalogue,జాబితా
Catastrophic interference,విపత్తు జోక్యం
Cathode,కాథోడ్
Cathode follower,కాథోడ్ అనుచరుడు
Cathode resistor,కాథోడ్ రెసిస్టర్
Cellphone,సెల్‌ఫోన్
Cellular,సెల్యులార్
Central control,కేంద్ర నియంత్రణ
Central frequency,కేంద్ర పౌన frequency పున్యం
Central processing unit,సెంట్రల్ ప్రాసెసింగ్ యూనిట్
Centralised database,కేంద్రీకృత డేటాబేస్
Centralised system,కేంద్రీకృత వ్యవస్థ
Ceramic,సిరామిక్
Chamber,గది
Changeover switch,చేంజ్ఓవర్ స్విచ్
Channel,ఛానెల్
Channel encoder,ఛానెల్ ఎన్కోడర్
Channel separation,ఛానెల్ విభజన
Channel spacing,ఛానెల్ అంతరం
Channel switching,ఛానెల్ స్విచింగ్
Characteristic impedance,లక్షణ ఇంపెడెన్స్
Characteristics,లక్షణాలు
Charge carrier,ఛార్జ్ క్యారియర్
Charge density,ఛార్జ్ సాంద్రత
Charged,ఛార్జ్ చేయబడింది
Charger,ఛార్జర్
Charging voltage,ఛార్జింగ్ వోల్టేజ్
Chart,చార్ట్
Chasis,చాసిన్
Chat,చాట్
Chip,చిప్
Choke coil,చౌక్ కాయిల్
Choke input,చౌక్ ఇన్పుట్
Chopper amplifier,ఛాపర్ యాంప్లిఫైయర్
Chroma,క్రోమా
Chroma sampling structure,క్రోమా నమూనా నిర్మాణం
Chrominance,క్రోమినాన్స్
Cinematography,సినిమాటోగ్రఫీ
Circuit,సర్క్యూట్
Circuit board,సర్క్యూట్ బోర్డ్
Circuit breaker,సర్క్యూట్ బ్రేకర్
Circuit element,సర్క్యూట్ మూలకం
Circuit switching,సర్క్యూట్ స్విచింగ్
Circuitry,సర్క్యూట్రీ
Circular motion,వృత్తాకార కదలిక
Circular polarization,వృత్తాకార ధ్రువణత
Circular satellite orbit,వృత్తాకార ఉపగ్రహ కక్ష్య
Circular velocity,వృత్తాకార వేగం
Circularly polarised antenna,వృత్తాకార ధ్రువణ యాంటెన్నా
Circularly polarised transmission,వృత్తాకార ధ్రువణ ప్రసారం
Circulator,సర్క్యులేటర్
Cladding,క్లాడింగ్
Clamp,బిగింపు
Clamping circuit,బిగింపు సర్క్యూట్
Class A operation,క్లాస్ ఎ ఆపరేషన్
Class C tuned amplifier,క్లాస్ సి ట్యూన్డ్ యాంప్లిఫైయర్
Class of emission,ఉద్గార తరగతి
Classical physics,క్లాసికల్ ఫిజిక్స్
Classification,వర్గీకరణ
Cleaning agent,శుభ్రపరిచే ఏజెంట్
Clear,క్లియర్
Clear channel,ఛానెల్ క్లియర్
Click,క్లిక్ చేయండి
Client,క్లయింట్
