Bengali,Malayalam
ক্ষার জল,ആൽക്കലി വെള്ളം
ক্ষারীয়,ആൽക്കലൈൻ
বিকল্প,ബദൽ
অ্যালেলো রসায়ন,അല്ലെലോ രസതന്ത്രം
অ্যালিল,അല്ലീൽ
অ্যালিলোপ্যাথি,അല്ലെലോപ്പതി
ভেথি ফসল,വേത്തി വിള
পরিপূর্ণতা,പൂർത്തീകരണം
নিষিক্তকরণ,ബീജസങ്കലനം
1. আপেক্ষিকতা 2. অ্যালোমেট্রি,1. ആപേക്ഷികത 2. അലോമെട്രി
multiploidy,മൾട്ടിപ്ലോയിഡി
1. প্যারাজিগোসিটি,1. പാരാസിഗോസിറ്റി
1. বিকল্প বছরের ফাংশন 2. বিকল্প ফাংশন,1. ഇതര വർഷത്തെ പ്രവർത്തനം 2. ഇതര പ്രവർത്തനം
বিকল্প ভূমি ব্যবহার,ബദൽ ഭൂമി ഉപയോഗം
পরিবেশ,പരിസ്ഥിതി
সংস্কারক,പരിഷ്കർത്താവ്
মাইটোসিস,മൈറ്റോസിസ്
আমীনান,ആമീനൻ
ammonion,അമോണിയൻ
amniferous,അമ്നിഫെറസ്
1. অকার্যকর রূপ 2. অরূপী,1. ഫലപ്രദമല്ലാത്ത രൂപം 2. അരൂപി
উভচর মিশ্রণ,ഉഭയജീവി മിശ്രിതം
amphoteric,ആംഫോട്ടെറിക്
মজুদ,സ്റ്റോക്ക്പൈലിംഗ്
1. অ্যানেরোবিক 2. অ্যানেরোবিক জীব,1. അനറോബിക് 2. അനറോബിക് ഓർഗാനിസംസ്
হ্যাপ্লয়েড,ഹാപ്ലോയിഡ്
কৌণিক রোপণ,കോണീയ നടീൽ
পশুপালন,മൃഗസംരക്ഷണം
প্রাণীর মলমূত্র,മൃഗ വിസർജ്ജനം
জীবন্ত শক্তি,ജീവനുള്ള ഊർജ്ജം
অস্বাভাবিক,അസാധാരണമായ
এক বছর বয়সী উদ্ভিদ,ഒരു വർഷം പഴക്കമുള്ള ചെടി
বার্ষিক,വാർഷിക
1. পরমানন্দ 2. উচ্ছ্বাস,1. പരമാനന്ദം 2. പ്രഭ
অ্যানথ্রাক্স,ആന്ത്രാക്സ്
নৃতাত্ত্বিক কারণ,നരവംശ ഘടകങ്ങൾ
বেঁচে থাকা,അതിജീവനം
1. অ্যান্টিবায়োটিক 2. অ্যান্টিবায়োটিক,1. ആന്റിബയോട്ടിക് 2. ആന്റിബയോട്ടിക്
বিকর্ষণকারী,വെറുപ്പുളവാക്കുന്ന
অ্যান্টিঅক্সিডেন্ট,ആന്റിഓക്‌സിഡന്റ്
অ্যান্টিটক্সিন,ആന്റിടോക്സിൻ
অনামিকা আঙুল,മോതിര വിരൽ
1. এফিড 2. মাহু 3. চেপা,1. മുഞ്ഞ 2. മാഹു 3. ചേപ
শীর্ষ কুঁড়ি,മുകളിലെ മുകുളം
সর্বোচ্চ কার্যকারিতা,പീക്ക് ഫലപ്രാപ്തി
মৌমাছি পালন,തേനീച്ച വളർത്തൽ
অযৌনতা,അലൈംഗികത
apoptosis,അപ്പോപ്റ്റോസിസ്
পরিশিষ্ট,അനുബന്ധങ്ങൾ
ক্ষুধার্ত,വിശപ്പ്
প্রয়োগ করা,അപേക്ഷിച്ചു
জলজ আগাছা,ജല കള
1. গাছ 2. গাছের বাসিন্দা,1. മരം 2. വൃക്ഷ നിവാസി
শাখা,ശാഖകൾ
প্রোটোবোটানিকাল রেকর্ড,പ്രോട്ടോബോട്ടാണിക്കൽ റെക്കോർഡുകൾ
জোন নম্বর,സോൺ നമ്പർ
1. এলাকা 2. এলাকা,1. ഏരിയ 2. ഏരിയ
শুষ্ক বাস্তুতন্ত্র,വരണ്ട ആവാസവ്യവസ്ഥ
cotyledon,കോട്ടിലിഡൺ
সৌরভ,സൗരഭ്
সুগন্ধি উদ্ভিদ,ആരോമാറ്റിക് പ്ലാന്റ്
সুগন্ধি চাল,സുഗന്ധമുള്ള അരി
ইক্ষু পুষ্পন,ഇക്ഷു പുഷ്പൻ
অ্যাসেপটিক,അസെപ്റ്റിക്
1. অ্যাসেপটিক 2. অ্যাসেপটিক,1. അസെപ്റ്റിക് 2. അസെപ്റ്റിക്
অস্ত্রোপচার,അലൈംഗിക പുനരുൽപാദനം
আকার,വലിപ്പം
সম্পদ,ആസ്തി
1. আত্তীকরণ 2. আত্তীকরণ,1. സ്വാംശീകരണം 2. സ്വാംശീകരണം
1. সমিতি 2. সমিতি,1. അസോസിയേഷൻ 2. അസോസിയേഷൻ
1. কলাম 2. কৃপণতা,1. കോളം 2. ആസ്ട്രിംഗ്സി
হেটেরোজাইগোসিটি,ഹെറ്ററോസൈഗോസിറ്റി
1. পূর্বপুরুষ 2. অ্যাটাভিজম,1. പൂർവ്വികൻ 2. അടവിസം
কণা,കണം
1. অনিশ্চয়তা 2. দুর্বলতা,1. സ്ഥിരീകരണം 2. വൈകല്യം
স্ব জোড়া,സ്വയം ജോടിയാക്കൽ
অটোলাইসিস,ഓട്ടോലിസിസ്
1. স্বতঃস্ফূর্ত জারণ 2. স্বতঃস্ফূর্ত জারণ,1. സ്വതസിദ്ധമായ ഓക്സീകരണം 2. സ്വതസിദ്ധമായ ഓക്സീകരണം
স্বয়ং মাল্টিপ্লেক্সড,സ്വയം മൾട്ടിപ്ലക്സ്
অক্সিন,ഓക്സിൻ
1. কাঁপানো 2. টোড,1. ഷൂക്ക് 2. പൂവൻ
পেনাল ভাইরাস,ശിക്ഷാ വൈറസ്
1. ব্যাসিলাস 2. ব্যাসিলাস,1. ബാസിലസ് 2. ബാസിലസ്
1. ব্যাকটেরিয়া 2. ব্যাকটেরিয়া,1. ബാക്ടീരിയ 2. ബാക്ടീരിയ
ব্যাকটেরিয়াল টক্সিন,ബാക്ടീരിയൽ വിഷം
ব্যাগাস,ബാഗാസ്
ব্যালেন্স শীট,ബാലൻസ് ഷീറ്റ്
সুষম সার ব্যবহার,സമീകൃത വളം ഉപയോഗം
বার গ্রাফ,ബാർ ഗ്രാഫ്
বাকল,കുര
1. ব্যারোমিটার 2. ব্যারোমিটার,1. ബാരോമീറ്റർ 2. ബാരോമീറ്റർ
1. গুঞ্জন 2. অদৃশ্য 3. অনুর্বর,1. ബസർ 2. നിഷ്ക്രിയം 3. വന്ധ്യം
1. বেস 2. বেস 3. কাপং,1. അടിസ്ഥാനം 2. അടിസ്ഥാനം 3. കുപാങ്
1. টালা 2. বেসিন,1. താല 2. തടം
তালাবিসারি,തലബിസാരി
1. বেসিস্টেরনাম 2. রুট ধারক,1. ബാസിസ്റ്റെർനം 2. റൂട്ട് ഹോൾഡർ
উপসাগরীয় বর্ষা,ഗൾഫ് മൺസൂൺ
ফলের উদ্ভিদ,ഫലം പ്ലാന്റ്
বিছানা,കിടക്ക
বিছানা উদ্ভিদ,കിടക്ക പ്ലാന്റ്
বিছানাপত্র,കിടക്കവിരി
বীট গুড়,ബീറ്റ്റൂട്ട് മോളാസസ്
বেল,തുരുത്തി
1. স্ট্রিপ 2. ভূখণ্ড,1. സ്ട്രിപ്പ് 2. ഭൂപ്രദേശം
লাভ-খরচ বিশ্লেষণ,ലാഭ-ചെലവ് വിശകലനം
উচ্চাকাঙ্ক্ষী (স্যাম্পলিং),അഭിലാഷം (സാമ്പിൾ)
দ্বিবার্ষিক গাছপালা,ദ്വിവത്സര സസ്യങ്ങൾ
দ্বিপদ,ദ്വിപദം
বায়োফ্যাক্টর,ബയോഫാക്ടർ
জৈবিক জলবায়ু,ജൈവ കാലാവസ്ഥ
জৈব শক্তি,ജൈവ ഊർജ്ജം
প্রাণীজগতের বাস্তুসংস্থান,ജന്തു പരിസ്ഥിതി
1. বায়ো-প্রসেসর 2. বায়ো-চুল্লি,1. ബയോ പ്രോസസർ 2. ബയോ റിയാക്ടർ
জীবজগৎ,ജൈവമണ്ഡലം
জৈবিক,ബയോട്ടിക്
প্রাণীজগত,ജന്തുജാലങ്ങൾ
ডিভিলিঙ্গি,ദിവിലിംഗി
ধওলান,ധവാലൻ
1. প্রধবাসন (রোগ) 2. দমকা রোগ,1. പ്രധ്വാസൻ (രോഗം) 2. ഗസ്റ്റ് രോഗം
মিশ্রন,മിശ്രണം
1. আংমারী (রোগ) 2. ব্লাইট (রোগ),1. അംഗ്മാരി (രോഗം) 2. ബ്ലൈറ്റ് (രോഗം)
1. ফোস্কা 2. ফোস্কা 3. বিস্ফোরণ 4. ফোস্কা,1. ബ്ലിസ്റ്റർ 2. ബ്ലിസ്റ്റർ 3. എറപ്ഷൻ 4. ബ്ലിസ്റ്റർ
নীল বিপ্লব,നീല വിപ്ലവം
প্ল্যানার হিটিং চেম্বার,പ്ലാനർ ഹീറ്റിംഗ് ചേമ്പർ
প্ল্যানার হিটিং প্রযুক্তি,പ്ലാനർ തപീകരണ സാങ്കേതികവിദ്യ
তুষ,തവിട്
শাখা,ശാഖകൾ
1. ডালপালা 2. উপশাখা,1. തടി 2. ഉപശാഖ
বংশবৃদ্ধি,ഇനം
প্রজনন,പുനരുൽപാദനം
প্রাথমিক অঙ্কুর চিকিত্সা,ആദ്യകാല മുളയ്ക്കൽ ചികിത്സ
1. বাচ্চা 2. ডিম 3. ভ্রূণ,1. കുട്ടി 2. മുട്ട 3. ഭ്രൂണം
উদীয়মান,വളർന്നുവരുന്ന
বাজেট,ബജറ്റ്
1.অ্যাম্ফোটেরিক 2. বাফার,1.ആംഫോട്ടറിക് 2. ബഫർ
মিষ্টি আলু,മധുരക്കിഴങ്ങ്
বান্ট (রোগ),ബണ്ട് (രോഗം)
1. উপজাত 2. উপজাত,1. ഉപോൽപ്പന്നം 2. ഉപോൽപ്പന്നം
c আর্দ্রতা স্পেসিফিকেশন বক্ররেখা,c ഈർപ്പം സ്പെസിഫിക്കേഷൻ കർവ്
তেল পিষ্টক,എണ്ണ പിണ്ണാക്ക്
1. চুন 2. ক্যালসিয়াম,1. നാരങ്ങ 2. കാൽസ്യം
ক্যালসিয়ন,calcion
ফসফেট অপসারণ,ഫോസ്ഫേറ്റ് നീക്കം
1. কিনাটা 2. কালটা,1. കിനാറ്റ 2. കാലാറ്റ
1.ক্যালাস 2. রশ্মি,1.കല്ലസ് 2. കിരണം
1. সেপালস 2. ক্যালিক্স,1. വിദളങ്ങൾ 2. കാളിക്സ്
বহির্মুখী শেষ,പുറത്തെ അവസാനം
এধা,എധ
ক্যানকার (ব্যাকটেরিয়াজনিত রোগ),കാൻസർ (ബാക്ടീരിയ രോഗം)
ক্যানিং,കാനിംഗ്
আকাশ,ആകാശം
অর্থায়ন,ധനകാര്യം
পরাগায়ন (ডুমুরের),പരാഗണം (അത്തിപ്പഴം)
1. ক্যাপসুল 2. ক্যাপসুল 3. ক্যাপসুল,1. കാപ്സ്യൂൾ 2. ക്യാപ്സ്യൂൾ 3. ക്യാപ്സ്യൂൾ
কার্বনাইজড,കാർബണൈസ്ഡ്
কার্বনান,കാർബണൻ
ক্যারাপেস,കാർപേസ്
ব্রেসলেট,വള
1. ঢালাই (লোহা) 2. ক্ষিপ্তি (পোকা),1. കാസ്റ്റിംഗ് (ഇരുമ്പ്) 2. ക്ഷിപ്തി (പ്രാണി)
catabolism,കാറ്റബോളിസം
প্ররোচনা,പ്രേരണ
1. শুঁয়োপোকা 2. শুঁয়োপোকা,1. കാറ്റർപില്ലർ 2. കാറ്റർപില്ലർ
গ d. এন. ক সংগ্রহ,സി ഡി. എൻ. എ. സമാഹാരം
পরিসীমা,പരിധി
1. কোষ 2. কোষ,1. സെൽ 2. സെൽ
কেন্দ্রীয় ফ্রন্ট সিস্টেম,സെൻട്രൽ ഫ്രണ്ട് സിസ്റ്റം
1. পয়েন্ট 2. ফোকাস,1. പോയിന്റ് 2. ഫോക്കസ്
কেন্দ্রীকরণ,അപകേന്ദ്രീകരണം
সেন্ট্রিফিউজ,സെൻട്രിഫ്യൂജ്
তারকা কেন্দ্র,നക്ഷത്ര കേന്ദ്രം
এপিজেনেটিক,എപ്പിജെനെറ്റിക്
কেন্দ্রজা,കേന്ദ്രരാജ
তাঁত,തറി
1. সিরিয়াল 2. সিরিয়াল,1. ധാന്യം 2. സീരിയൽ
1. সার্টিফিকেশন 2. সার্টিফিকেশন,1. സർട്ടിഫിക്കേഷൻ 2. സർട്ടിഫിക്കേഷൻ
প্রত্যয়িত বীজ,സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്
1. খড় 2. কুট্টি 3. শলক সহপাত্র,1. വൈക്കോൽ 2. കുട്ടി 3. ശലക് സഹപത്ര
1. নিভাগ 2. কৈলাজা,1. നിഭാഗ് 2. കൈലജ
কাইমোগ্রাফি,കൈമോഗ്രഫി
1. কিয়াজমা 2. ব্যস্ত,1. കിയാസ്മ 2. തിരക്കിലാണ്
সুপার কুলিং ঘন্টা,supercooling മണിക്കൂർ
তুষারপাত ক্ষতি,മഞ്ഞ് കേടുപാടുകൾ
1. ভিচিরোটাকি 2. কাইমেরা,1. വിചിരോതകി 2. ചിമേര
সবুজ porridge,പച്ച കഞ്ഞി
1. পাতা 2. সবুজ,1. ഇലകൾ 2. പച്ച
সায়ানোসিস,സയനോസിസ്
জৈবিক বিতরণ বিজ্ঞান,ജൈവ വിതരണ ശാസ്ത്രം
1. ক্রোমাটিডস 2. অর্ধেক ক্রোমোজোম,1. ക്രോമാറ്റിഡുകൾ 2. പകുതി ക്രോമസോമുകൾ
ক্রোমাটিন,ക്രോമാറ്റിൻ
ক্রোমাটোগ্রাফি,ക്രോമാറ്റോഗ്രാഫി
ক্রোমাটিনলেশন,ക്രോമാറ്റിലേഷൻ
অলিন্দ বিন্দু,ഏട്രിയൽ പോയിന്റ്
ক্রোমাটোজেনেসিস,ക്രോമാറ്റോജെനിസിസ്
1. ক্রোমোপ্রোটিন 2. পিগমেন্টপ্রোটিন,1. ക്രോമോപ്രോട്ടീൻ 2. പിഗ്മെന്റ് പ്രോട്ടീൻ
1. ক্রোমোজোম 2. ক্রোমোজোম,1. ക്രോമസോമുകൾ 2. ക്രോമസോമുകൾ
1. দীর্ঘস্থায়ী 2. দীর্ঘস্থায়ী 3. দীর্ঘস্থায়ী 4. অপ্রচলিত,1. വിട്ടുമാറാത്ത 2. വിട്ടുമാറാത്ത 3. വിട്ടുമാറാത്ത 4. കാലഹരണപ്പെട്ട
citrange,സിട്രേഞ്ച്
শরৎ উৎসব,ശരത്കാല ഉത്സവം
শ্রেণীবিভাগ,വർഗ്ഗീകരണം
1. কাদামাটি 2. কাদামাটি,1. കളിമണ്ണ് 2. കളിമണ്ണ്
1. পরিষ্কার করা 2. স্ক্রাবিং 3. পরিষ্কার করা 4. পরিশোধন,1. വൃത്തിയാക്കൽ 2. സ്‌ക്രബ്ബിംഗ് 3. വൃത്തിയാക്കൽ 4. ശുദ്ധീകരണം
অবিরাম পরাগায়ন,സ്ഥിരമായ പരാഗണം
ক্রুসিফেরাস ফল,ക്രൂസിഫറസ് ഫലം
জলবায়ু,കാലാവസ്ഥ
জলবায়ুবিদ্যা,കാലാവസ്ഥാ ശാസ്ത്രം
শিয়ার,കത്രിക
পিণ্ড (কাদামাটি),പിണ്ഡം (കളിമണ്ണ്)
ক্লোন,ക്ലോൺ
1.মেঘ 2.মেঘ,1.മേഘങ്ങൾ 2.മേഘങ്ങൾ
clump,കൂട്ടം
গুচ্ছ,കുല
1. মোটা 2. রুক্ষ 3. কাঁচা 4. রুক্ষ,1. പരുക്കൻ 2. പരുക്കൻ 3. അസംസ്കൃതം 4. പരുക്കൻ
1. কভার 2. লেদারেট,1. കവർ 2. ലെതറെറ്റ്
কোয়া,കോയ
1. কোএনজাইম 2. কো-এনজাইম,1. കോഎൻസൈം 2. കോ-എൻസൈം
সংহতি,കെട്ടുറപ്പ്
1. ফাইবার (পাট পাট) 2. নারকেল মোটা,1. നാരുകൾ (ചണം ചണം) 2. കോക്കനട്ട് കോഴ്സ്
মুলাঙ্কুর চোলা,മുളങ്കൂർ ചോല
,
কলয়েড (মাটি),കൊളോയിഡ് (മണ്ണ്)
1.কলাম 2.columella,1.നിര 2.കൊലുമെല്ല
1. শাস্তি 2. কলাম 3. কলাম,1. പെനാൽറ്റി 2. കോളം 3. കോളം
যোগাযোগ,കൂട്ടായ്മ
বাণিজ্যিক ব্যাংক,കൊമേഴ്സ്യൽ ബാങ്ക്
1. পণ্য 2. পণ্যদ্রব্য,1. ചരക്ക് 2. ചരക്ക്
সম্প্রদায়,സമൂഹം
কম্প্যাকশন (মাটির),സങ്കോചം (മണ്ണിന്റെ)
1. সামঞ্জস্যতা 2. সামঞ্জস্য,1. അനുയോജ്യത 2. അനുയോജ്യത
সামঞ্জস্য,അനുയോജ്യത
1. ক্ষতিপূরণ 2. ক্ষতিপূরণ,1. നഷ്ടപരിഹാരം 2. നഷ്ടപരിഹാരം
প্রতিযোগিতামূলক মিথস্ক্রিয়া,മത്സരപരമായ ഇടപെടൽ
সম্পূরক ফসল,സപ്ലിമെന്റ് വിള
1. যৌগিক 2. জটিল,1. സംയുക്തം 2. സങ്കീർണ്ണമായ
গঠনকারী,ഘടകഭാഗം
গঠন,രചന
কম্পোস্ট,കമ്പോസ്റ്റ്
চক্রবৃদ্ধিহারে সুদ,കൂട്ടുപലിശ
গণনা,കണക്കുകൂട്ടൽ
1. কম্পিউটার 2. কম্পিউটার,1. കമ്പ്യൂട്ടർ 2. കമ്പ്യൂട്ടർ
1. একাগ্রতা 2. একাগ্রতা,1. ഏകാഗ്രത 2. ഏകാഗ്രത
1. অপ্টিমাইজার 2. পুনরুজ্জীবিতকারী,1. ഒപ്റ്റിമൈസർ 2. റിവൈറ്റലൈസർ
পরিবাহিতা,ചാലകത
1. কনফিগারেশন 2. কনফিগারেশন,1. കോൺഫിഗറേഷൻ 2. കോൺഫിഗറേഷൻ
1. সামঞ্জস্য 2. কনফিগারেশন 3. সামঞ্জস্য,1. അനുരൂപത 2. കോൺഫിഗറേഷൻ 3. അനുരൂപത
1. ইন্টিগ্রেশন 2. হাইব্রিডাইজেশন,1. സംയോജനം 2. ഹൈബ്രിഡൈസേഷൻ
সংযোজন,സംയോജനം
1. সংযোজক 2. সংযোগকারী,1. അഡിറ്റീവ് 2. കണക്റ്റീവ്
সুরক্ষা,സംരക്ഷണം
একত্রীকরণের,ഏകീകരണം
1. উপাদান 2. উপাদান,1. ചേരുവ 2. ചേരുവകൾ
ভোক্তা,ഉപഭോക്താവ്
খরচ,ഉപഭോഗം
দূষণ,മലിനീകരണം
কনট্যুর রোপণ,കോണ്ടൂർ നടീൽ
কনট্যুর লাইন,കോണ്ടൂർ ലൈൻ
1. কন্ট্রাক্ট ফার্মিং 2. কন্ট্রাক্ট ফার্মিং 3. কন্ট্রাক্ট ফার্মিং,1. കരാർ കൃഷി 2. കരാർ കൃഷി 3. കരാർ കൃഷി
নিয়ন্ত্রিত বায়ুমণ্ডলীয় স্টোরেজ,നിയന്ത്രിത അന്തരീക്ഷ സംഭരണം
সমবায় ব্যাংক,സഹകരണ ബാങ്ക്
সমবায় সমিতির সদস্য,സഹകരണ സംഘം അംഗം
গুলমাভান,ഗുൽമാവാൻ
cubed,സമചതുര
1. ডালপুঞ্জ 2. করোলা,1. ദൽപുഞ്ച് 2. കൊറോള
1. কর্টেক্স 2. কর্টেক্স,1. കോർട്ടെക്സ് 2. കോർട്ടക്സ്
খরচ,ചെലവ്
cotyledon,കോട്ടിലിഡൺ
ক্রেডিট কমিটি,ക്രെഡിറ്റ് കമ്മിറ്റി
1. ঋণ 2. ক্রেডিট,1. കടം കൊടുക്കൽ 2. ക്രെഡിറ്റ്
1. ঋণদাতা 2. পাওনাদার,1. കടം കൊടുക്കുന്നയാൾ 2. കടം കൊടുക്കുന്നയാൾ
1. ক্রেস্ট 2. শীর্ষবিন্দু 3. স্পায়ার,1. ശിഖരം 2. ശീർഷകം 3. ശിഖരം
প্রত্যাহার,പിൻവലിക്കൽ
সমস্যা,പ്രശ്നം
পরীক্ষা,പരീക്ഷ
সমালোচনামূলক,വിമർശനാത്മകം
শস্য বীমা,വിള ഇൻഷുറൻസ്
ফসল ঋণ,വിള വായ്പ
1. ফসল 2. ফসল,1. വിള 2. വിള
চাষ এলাকা,കൃഷി പ്രദേശം
ক্রস বেমানান,ക്രോസ് പൊരുത്തമില്ലാത്ത
1. মুকুট 2. চূড়া (উদ্ভিদ),1. കിരീടം 2. പിനാക്കിൾ (സസ്യം)
নরম কণা,മൃദുവായ കണങ്ങൾ
ভূত্বক,പുറംതോട്
1. ক্রিপ্টোগাম 2. নন-ফ্লোরিফর্ম,1. ക്രിപ്‌റ്റോഗാം 2. നോൺ-ഫ്ലോറിഫോം
ছাঁটাই (ফল),അരിവാൾ (പഴം)
কলম,പേന
চাষের বৈচিত্র্য,കൃഷി ഇനം
1. ট্র্যাকশন 2. কৃষি 3. কৃষিকাজ,1. ട്രാക്ഷൻ 2. കൃഷി 3. കൃഷി
1. কৃষক 2. চাষী,1. കർഷകൻ 2. കൃഷിക്കാരൻ
1. চাষ 2. চাষ 3. লালনপালন,1. കൃഷി 2. കൃഷി 3. വളർത്തൽ
1.সম্পদ 2.প্রস্তুতি,1.വിഭവം 2.തയ്യാറെടുപ്പ്
1.কুন্তালন 2.কুঞ্চন,1.കുന്തളൻ 2.കുഞ്ചോൻ
ভঙ্গি,ഭാവം
1. এপিডার্মিস 2. কিউটিকল,1. പുറംതൊലി 2. പുറംതൊലി
