Odiya,Punjabi
ବେସମେଣ୍ଟ୍ |,ਬੇਸਮੈਂਟ
ବେସମେଣ୍ଟ କାନ୍ଥ |,ਬੇਸਮੈਂਟ ਦੀ ਕੰਧ
ବେସ୍ ପ୍ଲେଟ୍ |,ਬੇਸ ਪਲੇਟ
"ବେସ୍ ପ୍ଲେଟ୍, ନିୟନ୍ତ୍ରିତ |","ਬੇਸ ਪਲੇਟ, ਅਨੁਕੂਲ"
ମୂଳ ପରିପୃଷ୍ଠା |,ਬੇਸ ਸੰਤ੍ਰਿਪਤਾ
ବାସୋଏଡ୍ |,ਬੇਸੌਇਡ
ବ୍ୟାଟ୍,ਬੱਲਾ
ସ୍ନାନ ଏବଂ WC,ਇਸ਼ਨਾਨ ਅਤੇ ਡਬਲਯੂ.ਸੀ
ବାଟା ପେଗ୍ |,ਬੈਟਰ ਪੈਗ
ବାଟା ପାଇର୍ |,ਬੈਟਰ ਪੀਅਰ
ବ୍ୟାଟର ନିୟମ |,ਬੈਟਰ ਨਿਯਮ
ବାଲ୍କ (ବାଲ୍କ),ਬਾਲਕ (ਬਾਲਕ)
ବାଇ,ਬੇ
ଧାରକ,ਧਾਰਕ
ବହନ କରିବାର କ୍ଷମତା |,ਬੇਅਰਿੰਗ ਸਮਰੱਥਾ
ଗଦା ବହନ କରିବା |,ਬੇਅਰਿੰਗ ਪਾਇਲ
ଷ୍ଟ୍ରାଟମ୍ ବହନ କରିବା |,ਬੇਅਰਿੰਗ ਸਟ੍ਰੈਟਮ
ଶଯ୍ୟା,ਬਿਸਤਰਾ
ବିଛଣା ବିମାନ |,ਬਿਸਤਰੇ ਦਾ ਜਹਾਜ਼
ଶଯ୍ୟା ଗଣ୍ଠି |,ਬਿਸਤਰਾ ਜੋੜ
ବେଡ୍ ପଥର |,ਬੈੱਡ ਰੌਕ
ବେଡ୍ ରୁମ୍ |,ਬੈੱਡ ਰੂਮ
ମହୁମାଛି,ਮੋਮ
ବେଲ୍ ବାକ୍ସ |,ਘੰਟੀ ਬਾਕਸ
ବାଲ୍ଟି ବାଲିଙ୍ଗ୍ |,ਘੰਟੀ ਵਾਲੀ ਬਾਲਟੀ
ବେଲୋଫ୍ରାମ୍ |,ਬੇਲੋਫ੍ਰਾਮ
ବେଞ୍ଚ ଭିତ୍ତିଭୂମି |,ਬੈਂਚਡ ਫਾਊਂਡੇਸ਼ਨ
ବେଞ୍ଚିଂ,ਬੈਂਚਿੰਗ
ବେଞ୍ଚ ମାର୍କ |,ਬੇਂਚਮਾਰਕ
ଲାଭ ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |,ਲਾਭ ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
ବରମ,ਬਰਮ
ବେଭେଲଡ୍ ବନ୍ଦ |,Bevelled ਬੰਦ
"ବି-ରାଶି, &quot;B-","ਬੀ-ਹੋਰੀਜ਼ਨ,&quot;ਬੀ-"
ବିଟ୍ |,ਬਾਇਟ
ବାଇଣ୍ଡର୍ |,ਬਿੰਦਰ
ବାନ୍ଧିବା ସାମଗ୍ରୀ |,ਬਾਈਡਿੰਗ ਸਮੱਗਰੀ
ବାୟୋଟ ସିଦ୍ଧାନ୍ତ |,ਬਾਇਓਟ ਦਾ ਸਿਧਾਂਤ
ବିଟୁମେନ |,ਬਿਟੂਮਨ
କଳା ସୂତା ମାଟି |,ਕਾਲੀ ਕਪਾਹ ਦੀ ਮਿੱਟੀ
କଳା ପୃଥିବୀ |,ਕਾਲੀ ਧਰਤੀ
କଳା ଟର୍ଫ ମାଟି |,ਕਾਲੀ ਮੈਦਾਨ ਵਾਲੀ ਮਿੱਟੀ
ବ୍ଲେଡ୍ |,ਬਲੇਡ
ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ ସିମେଣ୍ଟ |,ਬਲਾਸਟ ਫਰਨੇਸ ਸਲੈਗ ਸੀਮਿੰਟ
ଅବରୋଧ ସଂରଚନା |,ਬਲਾਕੀ ਬਣਤਰ
ବଗି ପ୍ରତିରୋଧ |,ਬੋਗੀ ਪ੍ਰਤੀਰੋਧ
ବଗ୍-ଲୁହାପଥର |,ਬੋਗ-ਲੋਹੇ ਦਾ ਧਾਤ
ବନ୍ଧ,ਬਾਂਡ
ବନ୍ଧିତ ସଦସ୍ୟ |,ਬੰਧੂਆ ਮੈਂਬਰ
ବନ୍ଧିତ ପୋଷ୍ଟ ଟେନସିଂ |,ਬੰਧੂਆ ਪੋਸਟ ਤਣਾਅ
ବନ୍ଧ ପଥର |,ਬੰਧਨ ਪੱਥਰ
ସୀମା ଜଳ |,ਬੰਨ੍ਹ ਪਾਣੀ
ବାକ୍ସ ଗୁଟର୍ |,ਬਾਕਸ ਗਟਰ
ବନ୍ଧନୀ,ਬ੍ਰੇਸ
ଇଟା-ଧାର,ਇੱਟ-ਤੇ-ਕਿਨਾਰੇ
ବ୍ରିଡଲ୍ |,ਲਗਾਮ
ଉଜ୍ଜ୍ୱଳତା |,ਚਮਕ
ବାଦାମୀ ମାଟି |,ਭੂਰੀ ਮਿੱਟੀ
ବିଲଡିଂ,ਬਿਲਡਿੰਗ
ବିଲ୍ଡିଂ ସର୍ବେକ୍ଷଣକାରୀ |,ਬਿਲਡਿੰਗ ਸਰਵੇਅਰ
ବଫର୍ |,ਬਫਰ
ବଫର୍ ବକ୍ର,ਬਫਰ ਕਰਵ
ବଫରିଂ |,ਬਫਰਿੰਗ
ବଫରିଂ କ୍ଷମତା |,ਬਫਰਿੰਗ ਸਮਰੱਥਾ
ବଣ୍ଡର୍ |,ਬੰਦਰ
ଦୁର୍ଗ,ਬਟਰਸ
ସି-ରାଶି,ਸੀ-ਹੋਰੀਜ਼ਨ
କେବୁଲ୍ |,ਕੇਬਲ
କେବୁଲ୍ ମୋଲିଡିଂ |,ਕੇਬਲ ਮੋਲਡਿੰਗ
କ୍ୟାବଲିଂ |,ਕੇਬਲਿੰਗ
କ୍ୟାବିନ,ਕੈਬਿਨ
କ୍ୟାବିନ ହୁକ୍ |,ਕੈਬਿਨ ਹੁੱਕ
କ୍ୟାବିନେଟ୍,ਕੈਬਨਿਟ
କ୍ୟାବୋଲ୍ଟଙ୍କ ବିଦାୟ,ਕੈਬੋਲਟ ਨੇ ਛੱਡ ਦਿੱਤਾ
କାଫେରିଆ |,ਕੈਫੇਟੇਰੀਆ
କେଜ୍ |,ਪਿੰਜਰਾ
କେଜ୍ ନିର୍ମାଣ,ਪਿੰਜਰੇ ਦੀ ਉਸਾਰੀ
କ ain ନଙ୍କ ସୂତ୍ର |,ਕੈਨ ਦਾ ਫਾਰਮੂਲਾ
କେସନ୍ |,ਕੈਸਨ
କେସନ୍ ରୋଗ |,ਕੈਸਨ ਦੀ ਬਿਮਾਰੀ
କେସନ୍ ଫାଉଣ୍ଡେସନ୍ |,ਕੈਸਨ ਫਾਊਂਡੇਸ਼ਨ
କେସନ୍ ଗଦା |,ਕੈਸਨ ਢੇਰ
କାଲ୍କେରିସ୍ ଇଟା |,ਕੈਲੇਰੀਅਸ ਇੱਟ
କାଲକେୟାର ମାଟି |,ਚੂਨੇ ਵਾਲੀ ਮਿੱਟੀ
କାଲ୍କେରିସ୍ କ୍ରଷ୍ଟ୍ |,ਛਾਲੇਦਾਰ ਛਾਲੇ
ଗଣନା,ਕੈਲਸੀਫਿਕੇਸ਼ਨ
ଗଣନା,ਕੈਲਸੀਨੇਸ਼ਨ
କାଲସିନ୍,ਕੈਲਸੀਨ
କାଲସିଟ୍ |,ਕੈਲਸਾਈਟ
କ୍ୟାଲସିୟମ୍-ଆଲୁମିନିଟ୍ ସିମେଣ୍ଟ |,ਕੈਲਸ਼ੀਅਮ-ਐਲੂਮੀਨੇਟ ਸੀਮਿੰਟ
କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ଇଟା |,ਕੈਲਸ਼ੀਅਮ-ਸਿਲੀਕੇਟ ਇੱਟ
କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ହାଇଡ୍ରେଟ୍ |,ਕੈਲਸ਼ੀਅਮ-ਸਿਲੀਕੇਟ ਹਾਈਡਰੇਟ
କାଲିଚେ |,ਕੈਲੀਚੇ
କାଲିଫର୍ନିଆର ଅନୁପାତ ଅନୁପାତ |,ਕੈਲੀਫੋਰਨੀਆ ਬੇਅਰਿੰਗ ਅਨੁਪਾਤ
କାଲିପର୍ |,ਕੈਲੀਪਰ
କ୍ୟାଲୋରିମିଟର |,ਕੈਲੋਰੀਮੀਟਰ
କ୍ୟାମ୍ବର |,ਕੈਮਬਰ
କେନାଲ |,ਨਹਿਰ
କାନୋପି |,ਕੈਨੋਪੀ
କ୍ୟାଣ୍ଟିଲାଇଭର ଫୁଟିଂ |,Cantilever ਪੈਰ
କ୍ୟାପ୍,ਕੈਪ
ସାମର୍ଥ୍ୟ |,ਸਮਰੱਥਾ
ସମସ୍ତ ଟ୍ରାକର କ୍ଷମତା |,ਏਲ ਟ੍ਰੈਕ ਦੀ ਸਮਰੱਥਾ
କ୍ୟାପ୍ କେବୁଲ୍ |,ਕੈਪ ਕੇਬਲ
କ୍ଷମତା,ਕੈਪੀਲੇਰਿਟੀ
କ୍ୟାପିଲାରୀ ବ୍ରେକ୍ |,ਕੇਸ਼ਿਕਾ ਬਰੇਕ
କ୍ୟାପିଲାରୀ ପ୍ରବାହ |,ਕੇਸ਼ੀਲ ਪ੍ਰਵਾਹ
କ୍ୟାପିଲାରୀ ଆର୍ଦ୍ରତା କିମ୍ବା କ୍ୟାପିଲାରୀ ପାଣି |,ਕੇਸ਼ਿਕਾ ਨਮੀ ਜਾਂ ਕੇਸ਼ੀਲ ਪਾਣੀ
କ୍ୟାପିଲାରୀ ପୋର ସ୍ପେସ୍ |,ਕੇਸ਼ਿਕਾ ਪੋਰ ਸਪੇਸ
କ୍ୟାପିଲାରୀ ପୋରୋସିଟି |,ਕੇਸ਼ਿਕਾ ਪੋਰੋਸਿਟੀ
କ୍ୟାପିଲାରୀ ସ୍ପେସ୍ |,ਕੇਸ਼ੀਲ ਸਪੇਸ
ବେଗ କ୍ୟାପଚର କରନ୍ତୁ |,ਵੇਗ ਕੈਪਚਰ ਕਰੋ
କାର୍ବନେସନ୍ |,ਕਾਰਬਨੇਸ਼ਨ
କାର୍ବନ କଳା,ਕਾਰਬਨ ਕਾਲਾ
କାଷ୍ଟବଲ୍ ଚିତ୍ତାକର୍ଷକ |,ਕਾਸਟਬਲ ਰਿਫ੍ਰੈਕਟਰੀ
କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ କିମ୍ବା କାଷ୍ଟ-ଇନ୍-ସିଟ୍ |,ਕਾਸਟ-ਇਨ-ਪਲੇਸ ਜਾਂ ਕਾਸਟ-ਇਨ-ਸੀਟੂ
କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ ଗଦା |,ਕਾਸਟ-ਇਨ-ਪਲੇਸ ਢੇਰ
କାଷ୍ଟର |,ਕੈਸਟਰ
ପଥର ପକାନ୍ତୁ |,ਪੱਥਰ ਸੁੱਟੋ
ଅନୁକ୍ରମଣିକା,ਉਤਪ੍ਰੇਰਕ
କ୍ୟାଟେନା |,ਕੈਟੇਨਾ
ବିଲେଇ ମୁହଁ |,ਬਿੱਲੀ ਦਾ ਚਿਹਰਾ
ବିଲେଇ ମୁଣ୍ଡ,ਬਿੱਲੀ ਦਾ ਸਿਰ
କେସନ୍,ਕੈਸ਼ਨ
ବିଲେଇ ଚାଲିବା |,ਬਿੱਲੀ ਵਾਕ
କ୍ୟାଭିଟେସନ୍ କ୍ଷତି |,Cavitation ਨੁਕਸਾਨ
ସେଲିଟ୍,ਸੇਲੀਟ
ସେଲୁଲାର୍ କଂକ୍ରିଟ୍ |,ਸੈਲੂਲਰ ਕੰਕਰੀਟ
ସେଲ୍ୟୁଲାର୍ ନିର୍ମାଣ,ਸੈਲੂਲਰ ਉਸਾਰੀ
ସିମେଣ୍ଟ |,ਸੀਮਿੰਟ
"ସିମେଣ୍ଟ, ବିଟୁମିନିୟସ୍ |","ਸੀਮਿੰਟ, ਬਿਟੂਮਿਨਸ"
"ସିମେଣ୍ଟ, ଉଚ୍ଚ ଶକ୍ତି |","ਸੀਮਿੰਟ, ਉੱਚ ਤਾਕਤ"
"ସିମେଣ୍ଟ, ହାଇଡ୍ରୋଲିକ୍ |","ਸੀਮਿੰਟ, ਹਾਈਡ੍ਰੌਲਿਕ"
"ସିମେଣ୍ଟ, କମ୍ ଉତ୍ତାପ |","ਸੀਮਿੰਟ, ਘੱਟ ਗਰਮੀ"
"ସିମେଣ୍ଟ, ରାଜକୋଷ |","ਸੀਮਿੰਟ, ਚਿਣਾਈ"
"ସିମେଣ୍ଟ, ପ୍ରାକୃତିକ |","ਸੀਮਿੰਟ, ਕੁਦਰਤੀ"
"ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ |","ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ"
"ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ |","ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ ਬਲਾਸਟ ਫਰਨੇਸ ਸਲੈਗ"
"ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ପୋଜଜୋଲାନ୍ |","ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ ਪੋਜ਼ੋਲਨ"
"ସିମେଣ୍ଟ, ସ୍ଲାଗ୍ |","ਸੀਮਿੰਟ, ਸਲੈਗ"
"ସିମେଣ୍ଟ, ସଲଫେଟ୍ ପ୍ରତିରୋଧକ |","ਸੀਮਿੰਟ, ਸਲਫੇਟ ਰੋਧਕ"
"ସିମେଣ୍ଟ, ସୁପର ସଲଫେଟ୍ |","ਸੀਮਿੰਟ, ਸੁਪਰ ਸਲਫੇਟਿਡ"
"ସିମେଣ୍ଟ, ଧଳା |","ਸੀਮਿੰਟ, ਚਿੱਟਾ"
ସିମେଣ୍ଟ-ଏଗ୍ରିଗେଟ୍ ଅନୁପାତ |,ਸੀਮਿੰਟ-ਐਗਰੀਗੇਟ ਅਨੁਪਾਤ
ସିମେଣ୍ଟ ବିଷୟବସ୍ତୁ |,ਸੀਮਿੰਟ ਸਮੱਗਰੀ
ସିମେଣ୍ଟ ଜେଲ୍ |,ਸੀਮਿੰਟ ਜੈੱਲ
ସିମେଣ୍ଟ ବନ୍ଧୁକ |,ਸੀਮਿੰਟ ਬੰਦੂਕ
ସିମେଣ୍ଟ କିଲ୍ |,ਸੀਮਿੰਟ ਭੱਠਾ
ସିମେଣ୍ଟ ରଙ୍ଗ |,ਸੀਮਿੰਟ ਪੇਂਟ
ସିମେଣ୍ଟ ପ୍ଲାଷ୍ଟର |,ਸੀਮਿੰਟ ਪਲਾਸਟਰ
ସିମେଣ୍ଟ ପଥର |,ਸੀਮਿੰਟ ਚੱਟਾਨ
ସିମେଣ୍ଟ ସ୍ଲୁରି |,ਸੀਮਿੰਟ ਸਲਰੀ
ସିମେଣ୍ଟ ଷ୍ଟୋରେଜ୍ |,ਸੀਮਿੰਟ ਸਟੋਰੇਜ਼
ସିମେଣ୍ଟେସନ୍ ପ୍ରକ୍ରିୟା |,ਸੀਮੈਂਟੇਸ਼ਨ ਪ੍ਰਕਿਰਿਆ
କେନ୍ଦ୍ରକରଣ |,ਸੈਂਟਰਿੰਗ
ସେଣ୍ଟରିଂ ଏବଂ ସଟରିଂ |,ਸੈਂਟਰਿੰਗ ਅਤੇ ਸ਼ਟਰਿੰਗ
କେନ୍ଦ୍ରୀୟ ମିଶ୍ରିତ କଂକ୍ରିଟ୍ |,ਕੇਂਦਰੀ ਮਿਸ਼ਰਤ ਕੰਕਰੀਟ
କେନ୍ଦ୍ରୀୟ ମିକ୍ସର୍ |,ਕੇਂਦਰੀ ਮਿਕਸਰ
ସେଣ୍ଟ୍ରିଫୁଗୁଲ୍ ପ୍ରଶଂସକ |,ਸੈਂਟਰਿਫਿਊਗਲ ਪੱਖਾ
ଚକ,ਚਾਕ
ଚାମ୍ଫର୍ |,ਚੈਂਫਰ
ଚାମ୍ଫର୍ ଷ୍ଟ୍ରିପ୍ |,ਚੈਂਫਰ ਪੱਟੀ
ଚ୍ୟାନେଲ୍ ବିମ୍ |,ਚੈਨਲ ਬੀਮ
ଚରିତ୍ରଗତ ଭାର |,ਵਿਸ਼ੇਸ਼ਤਾ ਲੋਡ
ବ istic ଶିଷ୍ଟ୍ୟ ଶକ୍ତି |,ਗੁਣ ਸ਼ਕਤੀ
ଚାର୍ଜ ଅଫ୍ |,ਚਾਰਜ ਬੰਦ
ଚାର୍ଜିଂ,ਚਾਰਜ ਹੋ ਰਿਹਾ ਹੈ
ଯା cking ୍ଚ,ਜਾਂਚ ਕਰ ਰਿਹਾ ਹੈ
ରାସାୟନିକ ବନ୍ଧ |,ਰਸਾਇਣਕ ਬੰਧਨ
ଚେର୍ନୋଜେମ୍ |,ਚੇਰਨੋਜ਼ਮ
ଛାତି ମାଟି |,ਚੈਸਟਨਟ ਮਿੱਟੀ
ଚିମନି ଗୁଟର |,ਚਿਮਨੀ ਗਟਰ
ଚିପ୍ ବୋର୍ଡ |,ਚਿੱਪ ਬੋਰਡ
ଚିପିଙ୍ଗ୍ |,ਚਿੱਪਿੰਗ
ଚିପ୍ସ |,ਚਿਪਸ
ଚୁଟ୍,ਚੂਤ
କ୍ଲାସ୍ (କଂକ୍ରିଟ୍ ର),ਕਲਾਸ (ਕੰਕਰੀਟ ਦੀ)
ମାଟି,ਮਿੱਟੀ
ମାଟି ବିଷୟବସ୍ତୁ |,ਮਿੱਟੀ ਦੀ ਸਮੱਗਰੀ
ମାଟି ପ୍ୟାନ |,ਮਿੱਟੀ ਦਾ ਪੈਨ
ପରିଷ୍କାର,ਸਫਾਈ
ସଫା କର,ਸਾਫ਼ ਕਰੋ
ସଫା କର |,ਕਲੀਟ
କ୍ଲିଙ୍କର୍ |,ਕਲਿੰਕਰ
କ୍ଲିପ୍,ਕਲਿਪ
ଜମାଟ ବାନ୍ଧିବା |,ਜੰਮਣਾ
କଠିନ ଏଗ୍ରିଗେଟ୍ |,ਮੋਟਾ ਕੁੱਲ
କଠିନ ଶସ୍ୟ ମାଟି |,ਮੋਟੇ ਦਾਣੇ ਵਾਲੀ ਮਿੱਟੀ
କୋଟ,ਕੋਟ
କଫର୍ ଡ୍ୟାମ୍ |,ਕੋਫਰ ਡੈਮ
ମିଳନ,ਤਾਲਮੇਲ
କୋଲଏଡ୍ |,ਕੋਲਾਇਡ
କୋଲଏଡାଲ୍ ଆର୍ଦ୍ରତା ସମାନ ଅନୁପାତ |,ਕੋਲੋਇਡਲ ਨਮੀ ਦੇ ਬਰਾਬਰ ਅਨੁਪਾਤ
କୋଲଏଡାଲ୍ ସିଷ୍ଟମ୍ |,ਕੋਲੋਇਡਲ ਸਿਸਟਮ
ମିଳିତ ମାଟି |,ਕੋਲੋਵੀਅਲ ਮਿੱਟੀ
ସ୍ତମ୍ଭ,ਕਾਲਮ
କମ୍ବିଂ ଶେଷ,ਕੰਬਡ ਮੁਕੰਮਲ
ମିଳିତ ପଦଚିହ୍ନ |,ਸੰਯੁਕਤ ਪੈਰ
ମିଶ୍ରିତ ଜଳ |,ਸੰਯੁਕਤ ਪਾਣੀ
ସାଧାରଣ କୋଠରୀ |,ਸਾਂਝਾ ਕਮਰਾ
ସଂପୂର୍ଣ୍ଣ ପ୍ରମାଣପତ୍ର,ਮੁਕੰਮਲਤਾ ਸਰਟੀਫਿਕੇਟ
ଉପାଦାନ ବର୍ଗ,ਕੰਪੋਨੈਂਟ ਵਰਗ
କଂକ୍ରିଟ୍ |,ਕੰਕਰੀਟ
ସଂକଳନ,ਕੰਕਰੀਸ਼ਨ
ଏକତ୍ରିତ ହାର / ଫ୍ଲାଟ ହାର |,ਏਕੀਕ੍ਰਿਤ ਦਰ/ਫਲੈਟ ਦਰ
ପ୍ରଦୂଷକ,ਗੰਦਗੀ
ଆଲକୋଭ୍ ରାନ୍ଧିବା |,ਐਲਕੋਵ ਪਕਾਉਣਾ
ମୁକାବିଲା,ਮੁਕਾਬਲਾ ਕਰਨਾ
କରବେଲ |,ਕੋਰਬੇਲ
କର୍ନିସ୍ |,ਕਾਰਨੀਸ
ଦମ୍ପତି,ਕਪਲਰ
"ଦମ୍ପତି, ଦୁଇଥର |","ਕਪਲਰ, ਡਬਲ"
"ଦମ୍ପତି, ପୁଟ୍ଲଗ୍ |","ਕਪਲਰ, ਪੁਟਲੌਗ"
"ଦମ୍ପତି, ସ୍ୱିଭେଲ୍ |","ਕਪਲਰ, ਘੁਮਾਣ ਵਾਲਾ"
ପାଠ୍ୟକ୍ରମ,ਕੋਰਸ
ରାଣ୍ଡମ୍ ରାଣ୍ଡଲ୍ ଚୁକ୍ତି |,ਕੋਰਸ ਕੀਤਾ ਬੇਤਰਤੀਬ ਮਲਬੇ ਦੀ ਚਿਣਾਈ
ଆଚ୍ଛାଦିତ କ୍ଷେତ୍ର |,ਕਵਰ ਕੀਤਾ ਖੇਤਰ
କ୍ରିପ୍,ਕ੍ਰੀਪ
କ୍ରିପ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,ਕ੍ਰੀਪ ਗੁਣਾਂਕ
କ୍ରୋଟୋଭାଇନ୍ |,ਕਰੋਟੋਵਾਈਨ
କାଉ ପାଦ |,ਕਾਂ ਦੇ ਪੈਰ
ଖଣ୍ଡ ଗଠନ |,ਟੁਕੜਾ ਬਣਤਰ
ବନ୍ଦ କର |,ਕਰਬ
ସାମ୍ପ୍ରତିକ,ਵਰਤਮਾਨ
ବକ୍ର ପ୍ରତିରୋଧ,ਕਰਵ ਪ੍ਰਤੀਰੋਧ
ଓଦା ପ୍ରୁଫ୍ ପାଠ୍ୟକ୍ରମ |,ਨਮੀ ਪਰੂਫ਼ ਕੋਰਸ
