Marathi,Odiya
कादंबरी Disseisin च्या Assize,ନୋଭେଲ୍ ଡିସାଇସିନ୍ ର ଆସାଇଜ୍ |
अत्याचार,ଅତ୍ୟାଚାର
हल्ला,ଆକ୍ରମଣ
ऑलिक कौन्सिल,ଆୟୁଲିକ୍ ପରିଷଦ |
देवीची कुर्‍हाड (= देवी कुर्हाड),ଗେଡିର କୁରା (ି (= ଗେଡି କୁରା) ି)
अक्ष (=रोम-बर्लिन-टोकियो अक्ष),ଆକ୍ସିସ୍ (= ରୋମ୍-ବର୍ଲିନ୍-ଟୋକିଓ ଆକ୍ସିସ୍)
बॅबिलोन,ବାବିଲ
बॅबिलोनियन बंदिवास (= बॅबिलोनी कैद),ବାବିଲର ବନ୍ଦୀତା (= ବାବିଲୋନ ବନ୍ଦୀ)
बचनाल भक्त,ବ୍ୟାଚାନାଲ ଭକ୍ତ
बचनालिया,ବ୍ୟାଚାନାଲିଆ |
बॅचलर,ଅବିବାହିତ
बगदाद करार,ବାଗଦାଦ ଚୁକ୍ତି |
बाल्कन लीग,ବାଲକାନ୍ ଲିଗ୍ |
बाल्कन करार,ବାଲକାନ୍ ଚୁକ୍ତି |
बाल्कन युद्धे,ବାଲକାନ ଯୁଦ୍ଧ |
बाल्टिक करार,ବାଲ୍ଟିକ୍ ଚୁକ୍ତି |
डाकू,ବୃନ୍ଦାବନ
बांडुंग परिषद,ବୃନ୍ଦାବନ ସମ୍ମିଳନୀ |
हद्दपार,ବହିଷ୍କାର |
बॅनर,ବ୍ୟାନର |
रानटी,ବର୍ବର
बार्बिकन,ବାର୍ବିକାନ୍ |
बारडोली सत्याग्रह,ବାର୍ଡୋଲି ସତ୍ୟଗ୍ରାହ |
धान्याचे कोठार बर्नर्स,ବାର୍ ବର୍ନର୍ସ |
जहागीरदार,ବରୁଣ |
बॅरोनेज,ବରୁଣ
Barones majores,ବାରୋନସ୍ ମେଜୋରସ୍ |
बॅरोन्स अल्पवयीन,ବାରୋନସ୍ ମାଇନୋରସ୍ |
जहागीरदार,ବରୁଣେସ୍ |
बॅरोनेट,ବରୁଣେଟ୍ |
बॅरोनेटेज,ବରୁଣେଟେଜ୍ |
बॅरोनेटेज,ବରୁଣେଟେଜ୍ |
बॅरोनेटसी,ବାରୋନେଟସି |
बॅरोनी,ବାରୋନି |
बॅराकून,ବାରାକୁନ୍ |
बॅराकून,ବାରାକୁନ୍ |
बॅरिकेड (= बॅरिकेडो),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
बॅरिकेड (= बॅरिकेडो),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
बॅरिकेड (= बॅरिकेडो),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
बेस कॅम्प,ବେସ୍ କ୍ୟାମ୍ପ୍ |
बॅसिलिका,ବେସିଲିକା |
बॅसिलिका,ବେସିଲିକା |
बॅस्टिला,ବସ୍ତିଲା |
बॅस्टिल,ବସ୍ତିଲ୍ |
बॅस्टिल,ବସ୍ତିଲ୍ |
बॅटरी,ବ୍ୟାଟେରୀ
लढाई,ଯୁଦ୍ଧ
Batlle-array,ବଟଲ୍-ଆରେ |
लढाई रडणे,ଯୁଦ୍ଧ କାନ୍ଦ |
लढाई दिन,ଯୁଦ୍ଧ ଡିନ |
युद्धक्षेत्र,ଯୁଦ୍ଧ କ୍ଷେତ୍ର |
लढाई भजन,ଯୁଦ୍ଧ ଭଜନ
स्पर्सची लढाई,ସ୍ପର୍ସର ଯୁଦ୍ଧ |
स्टँडर्डची लढाई,ମାନାଙ୍କ ଯୁଦ୍ଧ |
युद्धनौका,ଯୁଦ୍ଧ ଜାହାଜ |
युद्धनौका-शक्ती,ଯୁଦ୍ଧ-ଶକ୍ତି |
Bayeux टेपेस्ट्री,ବାୟକ୍ସ ଟେପେଷ୍ଟ୍ରି |
बीकन,ବିକନ୍ |
बीकन टॉवर,ବିକନ୍ ଟାୱାର୍ |
बीव्हर,ବିଭର୍ |
बीव्हर,ବିଭର୍ |
समुद्राचे भिकारी,ସମୁଦ୍ରର ଭିକାରୀ |
बेलिकोज,ବେଲିକୋଜ୍ |
बेलिकोज,ବେଲିକୋଜ୍ |
बेलिकोज,ବେଲିକୋଜ୍ |
बेलिकोसिटी,ବେଲିକୋସିଟି |
बेलोना,ବେଲୋନା |
फायदा,ଉପକାର
धर्मगुरूंचा लाभ,ପାଦ୍ରୀମାନଙ୍କର ଲାଭ
बेनेलक्स,ବେନେଲକ୍ସ |
बर्लिन डिक्री,ବର୍ଲିନ୍ ଆଦେଶ |
बेसरकर,ବର୍ସରକର |
बेझंट (=बेझंट),ବେସାଣ୍ଟ (= ବେଜାଣ୍ଟ)
बेथेल,ବ Bethel ଥେଲ୍ |
बिब्लिओलेटर,Bibliolater
ग्रंथदिंडी,ଗ୍ରନ୍ଥସମୂହ
मोठा बर्था,ବିଗ୍ ବର୍ଥା |
धर्मांध,ବିଗଟ୍ |
बिलेटिंग,ବିଲିଂ
अटेंडरचे बिल,ଅଟ୍ଟାଇଣ୍ଡରର ବିଲ୍ |
अधिकारांचे विधेयक,ଅଧିକାର ବିଲ୍ |
चरित्रकार,ଜୀବନୀ
जन्मकथा,ଜନ୍ମ କାହାଣୀ |
बिव्होक,ବିଭିଆକ୍ |
बिव्होक,ବିଭିଆକ୍ |
बिव्होक,ବିଭିଆକ୍ |
बिझोनिया,ବିଜୋନିଆ |
काळा पक्षी,କଳା ପକ୍ଷୀ
काळा झेंडा,କଳା ପତାକା
कृष्ण विवर,ବ୍ଲାକ୍ ହୋଲ୍ |
कृष्ण विवर,ବ୍ଲାକ୍ ହୋଲ୍ |
काळा पाय (= खरुज),କଳା ଗୋଡ (= ସ୍କାବ)
काळा शर्ट,କଳା ସାର୍ଟ |
ब्लेझोन,ବ୍ଲାଜନ୍
ब्लेझोन,ବ୍ଲାଜନ୍
झगमगाट,ବ୍ଲାଜୋନ୍ରି |
झगमगाट,ବ୍ଲାଜୋନ୍ରି |
ब्लिट्झक्रीग,ବ୍ଲିଟ୍ସ୍କ୍ରିଗ୍ |
रक्तहीन क्रांती (=वैभवशाली क्रांती),ରକ୍ତହୀନ ବିପ୍ଳବ (= ଗ or ରବମୟ ବିପ୍ଳବ)
ब्लडवाईट,ରକ୍ତଚାପ
ब्लडी मेरी,ରକ୍ତାକ୍ତ ମରିୟମ |
निळा,ନୀଳ
निळे रक्त,ନୀଳ ରକ୍ତ
निळे पुस्तक,ନୀଳ ପୁସ୍ତକ |
निळी फीत,ନୀଳ ରିବନ୍ |
निळी फीत,ନୀଳ ରିବନ୍ |
ब्लूज (=रॉयल हॉर्स गार्ड),ବ୍ଲୁଜ୍ (= ରୟାଲ୍ ଘୋଡା ଗାର୍ଡ)
निळा शर्ट,ନୀଳ ସାର୍ଟ |
ब्लू वॉटर स्कूल,ନୀଳ ଜଳ ବିଦ୍ୟାଳୟ |
नियंत्रण मंडळ,ନିୟନ୍ତ୍ରଣ ବୋର୍ଡ |
शरीर चिलखत,ଶରୀରର ଅସ୍ତ୍ରଶସ୍ତ୍ର |
बोअर,ବୋଇର୍
लूट,ବୁଟି
बरो,ବୋରୱୋ |
बुलेउटेरियन,ବୁଲୁଟେରିଅନ୍ |
बोरबॉन,ବୋର୍ବନ୍ |
बॉक्सर बंडखोरी,ବକ୍ସର ବିଦ୍ରୋହ |
ब्रेस,ବନ୍ଧନୀ
ब्रासर्ड,ପିତ୍ତଳ |
ब्रासर्ड,ପିତ୍ତଳ |
ब्रेड वसाहती,ରୁଟି କଲୋନୀ |
ब्रेस्ट प्लेट,ସ୍ତନ ପ୍ଲେଟ୍ |
स्तनाचे काम,ସ୍ତନ କାମ
ब्रेटवाल्डा,ବ୍ରେଟୱାଲଡା |
ब्रिगेंड,ବ୍ରିଗାଣ୍ଡ୍ |
दलाल,ବ୍ରିଗେଣ୍ଡେଜ୍
ब्रिटिश कॉमनवेल्थ ऑफ नेशन्स,ବ୍ରିଟିଶ୍ କମନୱେଲଥ୍ ଅଫ୍ ନେସନ୍ସ |
तपकिरी शर्ट (=नाझी),ବ୍ରାଉନ୍ ସାର୍ଟ (= ନାଜି)
ब्रुसेल्स ट्रीटी (पॅक्ट) संस्था (=वेस्टर्न युरोपियन युनियन),ବ୍ରୁସେଲ୍ସ ଚୁକ୍ତି (ଚୁକ୍ତି) ସଂଗଠନ (= ପଶ୍ଚିମ ୟୁରୋପୀୟ ୟୁନିଅନ୍)
बफ,ବଫ୍ |
बफ,ବଫ୍ |
बफ-कोट,ବଫ୍-କୋଟ୍ |
बफ्स,ବଫସ୍ |
बुले (=परिषद),ବୁଲେ (= ପରିଷଦ)
बर्गेज,ବନ୍ଧକ
बर्जेस,ବରଗଡ |
बायझँटाईन,ବାଇଜାଣ୍ଟାଇନ
बायझँटाईन चर्च,ବ yz ଜୟନ୍ତ ଚର୍ଚ୍ଚ
बायझँटाईन साम्राज्य,ବ yz ଜୟନ୍ତ ସାମ୍ରାଜ୍ୟ |
बायझँटाईन युग,ବାଇଜାଣ୍ଟାଇନ ଯୁଗ
बायझँटाईन इतिहासकार,ବ yz ଜୟନ୍ତ histor ତିହାସିକମାନେ |
कॅबल,କ୍ୟାବଲ୍ |
सीझरवाद,କେଜରିଜିମ୍ |
खलिफा,ଖଲିଫ୍ |
कॅलिग्राफर,କଲିଗ୍ରାଫର୍ |
कॅलिग्राफिस्ट,କଲିଗ୍ରାଫିଷ୍ଟ |
कॅलिग्राफी,କାଲିଗ୍ରାଫି |
कॅल्ट्रॉप,କାଲ୍ଟ୍ରପ୍ |
सौहार्द,କାମାଡେରି |
कॅमरिला,କାମାରିଲା |
कॅमरिला,କାମାରିଲା |
कॅमेलॅकम,କାମେଲାକମ୍ |
क्लृप्ती,କାମୁଫ୍ଲେଜ୍ |
मोहीम,ଅଭିଯାନ |
शिबिराचे अनुयायी,କ୍ୟାମ୍ପ ଅନୁସରଣକାରୀ |
कॅम्पो सॅंटो,କ୍ୟାମ୍ପୋ ସାଣ୍ଟୋ |
कॅम्पस मार्टियस,କ୍ୟାମ୍ପସ୍ ମାର୍ଟିସ୍
कॅनेफोरा,କାନେଫୋରା |
कॅंग्यू,କଙ୍ଗୁ
तोफखाना,କାନନେଡ୍ |
तोफ चारा,ତୋପ ଖାଇବା |
कॅनन,କାନନ୍ |
कॅनन कायदा,କାନନ୍ ନିୟମ |
कॅनोपस डिक्री,କାନୋପସ୍ ଆଦେଶ |
कण्टिंग शस्त्र,ବାହୁବଳୀ
बंदिवान,ବନ୍ଦୀ
कॅप्टर,କ୍ୟାପ୍ଟର
कार्डिनल,କାର୍ଡିନାଲ୍ |
कार्ल,କାର୍ଲ |
कॅरोलिंगियन राजवंश,କାରୋଲିଙ୍ଗିଆନ୍ ରାଜବଂଶ |
कार्थुशियन पंथ,କାର୍ଟୁସିଆନ୍ ସମ୍ପ୍ରଦାୟ |
कार्टोसा,କାର୍ଟୋସା |
कॅस्टेलियन,କାଷ୍ଟେଲିଆନ୍ |
कॅस्टेलियन,କାଷ୍ଟେଲିଆନ୍ |
जाती व्यवस्था,ଜାତି ପ୍ରଣାଳୀ |
वाडा,ଦୁର୍ଗ
वाडा,ଦୁର୍ଗ
वाड्याचे शहर,ଦୁର୍ଗ ସହର
कास्त्रा,କାଷ୍ଟ୍ରା |
कास्त्रा,କାଷ୍ଟ୍ରା |
कॅथेड्रा,କ୍ୟାଥେଡ୍ରା |
कॅथेड्रल,କ୍ୟାଥେଡ୍ରାଲ୍ |
केटो स्ट्रीट कट,କାଟୋ ଷ୍ଟ୍ରିଟ୍ ଷଡଯନ୍ତ୍ର |
कौडिल्लो,କାଉଡିଲୋ |
घोडेस्वार,କାଭାଲିଅର୍ |
घोडेस्वार,କାଭାଲିଅର୍ |
घोडदळ संसद,କାଭାଲିଅର୍ ସଂସଦ |
अदुल्लमची गुहा,ଅଦୁଲ୍ଲାମର ଗୁମ୍ଫା |
गुहा चित्रकला,ଗୁମ୍ଫା ଚିତ୍ର
गुहा चित्रकला,ଗୁମ୍ଫା ଚିତ୍ର
सेंटमवीर,Centumvir
सेंच्युरियन,ସେଞ୍ଚୁରିଅନ୍ |
शतक,ଶତାବ୍ଦୀ
साखळी चिलखत (=साखळी मेल),ଶୃଙ୍ଖଳା ବାହୁବଳୀ (= ଶୃଙ୍ଖଳା ମେଲ୍)
चंत्री,ଚାନ୍ଟ୍ରି |
चंत्री,ଚାନ୍ଟ୍ରି |
चॅप बुक,ଅଧ୍ୟାୟ ପୁସ୍ତକ
धर्मगुरू,ଚାପଲେନ୍ |
धडा,ଅଧ୍ୟାୟ
अपघातांचा अध्याय,ଦୁର୍ଘଟଣାର ଅଧ୍ୟାୟ |
चार्ज करा,ଚାର୍ଜ
चार्ज डी अफेयर्स,ଡିଫେୟାର୍ ଚାର୍ଜ କରନ୍ତୁ |
चार्ज विभाजन,ଚାର୍ଜ ବିଭାଜନ |
चार्जर,ଚାର୍ଜର
रथ,ରଥ
सारथी,ରଥ
सारथी,ରଥ
सारथी,ରଥ
धर्मादाय स्वयंपाकघर,ଚାରିଟି ରୋଷେଇ ଘର |
सनद,ଚାର୍ଟର୍
चार्टिस्ट चळवळ (=चार्टिझम),ଚାର୍ଟିଷ୍ଟ ଆନ୍ଦୋଳନ (= ଚାର୍ଟିଜିମ୍)
चार्टोफिलेशियम,ଚାର୍ଟୋଫିଲାସିୟମ୍ |
Chateau,Chateau |
चेक पोस्ट,ପୋଷ୍ଟ ଯାଞ୍ଚ କରନ୍ତୁ |
रासायनिक युद्ध,ରାସାୟନିକ ଯୁଦ୍ଧ |
चेस्टर,ଚେଷ୍ଟର୍ |
प्रमुख,ମୁଖ୍ୟ
सरदार,ମୁଖିଆ
सरदार,ମୁଖିଆ
सरदार,ମୁଖିଆ
शिफॉन,ଚିଫନ୍ |
शौर्य,ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱିତା |
निवडलेले लोक,ମନୋନୀତ ଲୋକ
ख्रिसमोग्राफीन,କ୍ରିସମୋଗ୍ରାଫିନ୍ |
ख्रिस्ती धर्म,ଖ୍ରୀଷ୍ଟଧର୍ମ
ख्रिश्चन युग,ଖ୍ରୀଷ୍ଟିଆନ ଯୁଗ |
ख्रिश्चन समाजवाद,ଖ୍ରୀଷ୍ଟିଆନ ସମାଜବାଦ |
क्रॉनिकल,ଇତିହାସ
क्रॉनिकलर,କ୍ରୋନିକଲର୍
Chryse Chersonese,କ୍ରିସ୍ ଚେରସୋନିସ୍ |
सिमेलियम,ସିମେଲିୟମ୍ |
Cinquecento शैली,ସିନକେସେଣ୍ଟୋ ଷ୍ଟାଇଲ୍ |
परिक्रमा,ସର୍କୁନାଭିଗେସନ୍ |
सिस्टर्सियन साधू,ସିଷ୍ଟର୍ସିଆନ୍ ମାଙ୍କଡ |
किल्ला,ସୀତା
उद्धरण,ଉଦ୍ଧୃତ
उद्धरण,ଉଦ୍ଧୃତ
सविनय कायदेभंग,ନାଗରିକ ଅବମାନନା |
नागरी युद्ध,ଗୃହଯୁଦ୍ଧ |
सिव्हिस रोमनस,ସିଭିସ୍ ରୋମାନସ୍ |
शास्त्रीय वय,ଶାସ୍ତ୍ରୀୟ ବୟସ |
Clepht (=klepht),କ୍ଲିଫ୍ଟ (= କ୍ଲେଫ୍ଟ)
कारकुनीवाद,ଧର୍ମ ଧର୍ମ
लिपिक,କ୍ଲାରଚ
क्लुनियाक हालचाली,କ୍ଲୁନିୟକ୍ ଗତିବିଧି |
कोट चिलखत,କୋଟ ବାହୁ
अंगरखा,କୋଟ୍
अंगरखा,କୋଟ୍
अंगरखा,କୋଟ୍
मेलचा कोट,କୋଟ୍ ମେଲ୍ |
पलटण,କୋହର୍ଟ |
कॉमिटिया,Comitia
Comitia Centuriata,Comitia Centuriata
Comitia Curiata,Comitia Curiata
कमिटीया ट्रिबुटा,Comitia Tributa
स्मारक कमान,ସ୍ମରଣୀୟ ଆର୍
स्मारक नाणे,ସ୍ମରଣୀୟ ମୁଦ୍ରା
स्मारक शिक्का,ସ୍ମରଣୀୟ ସିଲ୍ |
सामान्य फील्ड,ସାଧାରଣ କ୍ଷେତ୍ର |
Communard,କମ୍ୟୁନାର୍ଡ |
कॉन्कॉर्डॅट,କନକର୍ଡେଟ୍ |
कॉन्कॉर्डॅट,କନକର୍ଡେଟ୍ |
कॉन्डोटिएरे,କଣ୍ଡୋଟିଅର୍ |
पुष्टीकरण कार्टारम,ନିଶ୍ଚିତକରଣ କାର୍ଟାରମ୍ |
संघर्ष,ଦ୍ୱନ୍ଦ୍ୱ |
मंडळी,ମଣ୍ଡଳୀ
जिंकणारे राज्य,ରାଜ୍ୟ ଜିତିବା |
जिंकणारा,ଜୟ
जिंकणारा,କନକ୍ୟୁଷ୍ଟାଡର୍ |
कॉन्सिलियम,କନସିଲିୟମ୍ |
कंसिस्टरी,ସ୍ଥିର
षडयंत्र,ଷଡଯନ୍ତ୍ର
षडयंत्र,ଷଡଯନ୍ତ୍ର
वाणिज्य दूतावास,କନସୁଲେଟ୍ |
सल्लामसलत पुस्तक,କନସୁଲେସନ୍ ବୁକ୍ |
खंडीय प्रणाली,କଣ୍ଟିନେଣ୍ଟାଲ୍ ସିଷ୍ଟମ୍ |
अधिवेशन संसद,ସମ୍ମିଳନୀ ସଂସଦ |
कॉपरहेड्स (=पीस डेमोक्रॅट्स),କପରହେଡ୍ସ (= ଶାନ୍ତି ଗଣତାନ୍ତ୍ରିକ)
कॉपीहोल्ड,କପିହୋଲ୍ଡ |
कोर्डनिंग,କର୍ଡୋନିଂ |
कोरोना,କରୋନା |
राज्याभिषेक,କରୋନେସନ୍ |
राज्याभिषेक दगड,କରୋନେସନ୍ ପଥର |
कॉर्पस,କର୍ପସ୍
Corsair,କର୍ସାୟର୍ |
Corsair,କର୍ସାୟର୍ |
कॉर्सेट (=कॉर्सलेट),କର୍ସେଟ୍ (= କର୍ସଲେଟ୍)
कोर्टेस,କର୍ଟସ୍ |
कोटर (=कोटीर),କୁଟୀର (= କୁଟିଅର୍)
कोटर (= cottier),କୁଟୀର (= କୁଟିଅର୍)
काउंट पॅलेटिनेट,ପାଲାଟିନେଟ୍ ଗଣନା କରନ୍ତୁ |
देशाचे घर,ଦେଶ ଘର
परगणा,କାଉଣ୍ଟି |
काउंटी बरो,କାଉଣ୍ଟି ବୋରୱେଲ |
काउंटी न्यायालये,କାଉଣ୍ଟି କୋର୍ଟ |
काउंटी पॅलाटिन,କାଉଣ୍ଟି ପାଲାଟାଇନ୍ |
कोर्ट,କୋର୍ଟ
कोर्ट,କୋର୍ଟ
न्यायालयाचे परिपत्रक,କୋର୍ଟ ସର୍କୁଲାର୍ |
न्यायालयीन शिष्टाचार,କୋର୍ଟ ଶ iqu ଳୀ
दरबारी,କୋର୍ଟ
कोर्ट ऑफ कॅसेशन,ଅଦାଲତ
कोर्ट ऑफ डायरेक्टर्स (EIC),କୋର୍ଟ ଅଫ୍ ଡାଇରେକ୍ଟର୍ସ (EIC)
मालकांचे न्यायालय,ମାଲିକଙ୍କ କୋର୍ଟ
दरबारी कवी,କୋର୍ଟ କବି
करार केला कॅमेरोनियन,ଚୁକ୍ତିଭିତ୍ତିକ କାମେରୋନିଆନ୍ |
मुकुट,ମୁକୁଟ |
मुकुट,ମୁକୁଟ |
मुकुट,ମୁକୁଟ |
मुकुट जमीन,ମୁକୁଟ ଜମି |
मुकुट जमीन,ମୁକୁଟ ଜମି |
राजकुमार,କ୍ରାଉନ୍ ପ୍ରିନ୍ସ |
धर्मयुद्ध,କ୍ରୁସେଡ୍ |
धर्मयुद्ध,କ୍ରୁସେଡର୍ |
