Assamese,Bengali
দ্বিখণ্ড,দ্বিখণ্ডন
দ্বিখণ্ডন পদ্ধতি,দ্বিখণ্ডিত পদ্ধতি
দ্বিখণ্ড,দ্বিখণ্ডিত
biserial,biserial
বিট,বিট
দ্বিচলকীয় দ্বিপদ বিতৰণ,দ্বিপদ দ্বিপদ বণ্টন
দ্বিচলকীয় সম্পৰ্ক সহগ,bivariate পারস্পরিক সম্পর্ক সহগ
দ্বিচলকীয় বিতৰণ,দ্বিমুখী বন্টন
দ্বিচলকীয় স্বাভাৱিক বিতৰণ,দ্বিমুখী স্বাভাবিক বন্টন
বাইভেক্টৰ,bivector
বোল্টজমেন সমীকৰণ,বোল্টজম্যান সমীকরণ
বুলিয়ান বীজগণিত,বুলিয়ান বীজগণিত
Bose - আইনষ্টাইন পৰিসংখ্যা,বোস-আইনস্টাইন পরিসংখ্যান
সীমাৰ অৱস্থা,সীমানার অবস্থা
সীমা স্তৰ,সীমানা স্তর
সীমাৰেখা,সীমান
সীমা মূল্য,সীমানা মান
সীমা মূল্যৰ সমস্যা,সীমানা মান সমস্যা
সীমাবদ্ধ ফলন,আবদ্ধ ফাংশন
সীমাবদ্ধ মেট্ৰিক্স,আবদ্ধ ম্যাট্রিক্স
সীমাবদ্ধ অঞ্চল,আবদ্ধ অঞ্চল
সীমাবদ্ধ ছেট,আবদ্ধ সেট
ব্ৰাউনিয়ান গতি,ব্রোমিন
গণনা কৰ,গণনা করা
গণনা কৰা,গণনা করা
গণনা কৰা মেচিন,গননা যন্ত্র
গণনা কৰা,গণনা
গণনামূলক পদ্ধতি,গণনা পদ্ধতি
কেলকুলেটৰ,ক্যালকুলেটর
কেলকুলাছ,ক্যালকুলাস
তাৰতম্যৰ কেলকুলাছ,পরিবর্তনের ক্যালকুলাস
কেলৰি,ক্যালোরি
বাতিল আইন,বাতিল আইন
কেননিক সমীকৰণ,ক্যানোনিকাল সমীকরণ
কেননিক ৰূপ,ক্যানোনিকাল ফর্ম
কেননিক মেট্ৰিক্স,ক্যানোনিকাল ম্যাট্রিক্স
কেন্টৰ ছেট,ক্যান্টর সেট
কেণ্টৰৰ ত্ৰিমাত্ৰিক চেট,Cantor এর ত্রিনারি সেট
ক্ষমতাসম্পন্ন পৰিবহণ সমস্যা,ক্যাপাসিটেড পরিবহন সমস্যা
ক্ষমতা,ক্ষমতা
কেপিলাৰী বল,কৈশিক বল
কাৰ্ডিনেল নম্বৰ,অঙ্কবাচক সংখ্যা
কাৰ্টেছিয়ান অক্ষ,কার্টেসিয়ান অক্ষ
কাৰ্টেছিয়ান স্থানাংক,কার্টেসিয়ান স্থানাঙ্ক
কাৰ্টেছিয়ান উৎপাদন,কার্টিজিয়ান পণ্য
গোটৰ কাৰ্টেছিয়ান উৎপাদক,সেটের কার্টেসিয়ান পণ্য
কেছ ষ্টডি,কেস স্টাডি
বিপৰ্যয়জনক উঠা-নমা,বিপর্যয়কর ওঠানামা
কেটেনাৰী,ক্যাটেনারি
কাউচি বিতৰণ,কচি বন্টন
কাউচি সূত্ৰ,কচি সূত্র
কৌচি গৌৰছাট উপপাদ্য,Cauchy Goursat উপপাদ্য
কাউচি ৰিমেন চৰ্ত,কচি রিম্যানের শর্ত
ক&#39;চি ক্ৰম,কচি সিকোয়েন্স
কৌচি অবিচ্ছেদ্য,কচি অবিচ্ছেদ্য
কাউচি প্ৰধান মূল্য,কচি প্রধান মান
ক’চি অৱশিষ্ট উপপাদ্য,কচি অবশিষ্টাংশ উপপাদ্য
কেলি হেমিল্টন উপপাদ্য,কেলি হ্যামিল্টন উপপাদ্য
আকাশী দেহ,স্বর্গীয় শরীরের
আকাশী জোখ,স্বর্গীয় পরিমাপ
আকাশী যান্ত্ৰিকতা,স্বর্গীয় বলবিদ্যা
আকাশী বস্তু,মহাকাশীয় বস্তু
কোষ কম্পাঙ্ক,সেল ফ্রিকোয়েন্সি
লোকপিয়ল,জনগণনা
চেন্টাইল,সেন্টিল
চেন্টিমিটাৰ,সেন্টিমিটার
চেণ্টিমিটাৰ গ্ৰাম দ্বিতীয় ব্যৱস্থা,সেন্টিমিটার গ্রাম দ্বিতীয় সিস্টেম
কেন্দ্ৰীয়,কেন্দ্রীয়
কেন্দ্ৰীয় অক্ষ,কেন্দ্রীয় অক্ষ
কেন্দ্ৰীয় পাৰ্থক্য,কেন্দ্রীয় পার্থক্য
কেন্দ্ৰীয় পাৰ্থক্য সূত্ৰ,কেন্দ্রীয় পার্থক্য সূত্র
কেন্দ্ৰীয় পাৰ্থক্য টেবুল,কেন্দ্রীয় পার্থক্য টেবিল
কেন্দ্ৰীয় সীমা উপপাদ্য,কেন্দ্রীয় সীমা উপপাদ্য
কেন্দ্ৰীয় মুহূৰ্ত,কেন্দ্রীয় মুহূর্ত
কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU),কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU)
কেন্দ্ৰীয় প্ৰৱণতা,কেন্দ্রীয় প্রবণতা
কেন্দ্ৰ,কেন্দ্র
মাধ্যাকৰ্ষণ কেন্দ্ৰ,মাধ্যাকর্ষণ কেন্দ্র
গোটৰ কেন্দ্ৰ,দলের কেন্দ্র
ভৰৰ কেন্দ্ৰ,ভর কেন্দ্র
প্ৰতিসমতাৰ কেন্দ্ৰ,প্রতিসাম্য কেন্দ্র
কেন্দ্ৰপৃথক বল,অপকেন্দ্র বল
কেন্দ্ৰিক বল,কেন্দ্রমুখী বল
কেন্দ্ৰবিন্দু,ভরকেন্দ্র
নিশ্চয়তা,নিশ্চিততা
cgs ব্যৱস্থা,সিজিএস সিস্টেম
cgs ইউনিট,সিজিএস ইউনিট
পাৰ্থক্যৰ শৃংখল নিয়ম,পার্থক্যের চেইন নিয়ম
আকস্মিক কাৰণ,সুযোগ কারণ
chance moves,সুযোগ চলে যায়
অক্ষৰ পৰিৱৰ্তন,অক্ষ পরিবর্তন
ভিত্তিৰ পৰিৱৰ্তন,ভিত্তি পরিবর্তন
ক্ৰম সলনি কৰা,আদেশ পরিবর্তন
বৈশিষ্ট্য সহগ,বৈশিষ্ট্য সহগ
নিৰ্ণায়ক,নির্ধারক
বৈশিষ্ট্যপূৰ্ণ সমীকৰণ,চরিত্রগত সমীকরণ
বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য,চরিত্রগত ফাংশন
লগাৰিদমৰ বৈশিষ্ট্য,লগারিদমের বৈশিষ্ট্য
বৈশিষ্ট্যপূৰ্ণ বহুপদ,চরিত্রগত বহুপদ
বৈশিষ্ট্যপূৰ্ণ মূল্য,বৈশিষ্ট্যগত মান
বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ,চরিত্রগত ভেক্টর
আখৰৰ গোট,অক্ষর সেট
তালিকা,চার্ট
কাই-স্কেয়াৰ বিতৰণ,চি-স্কয়ার বিতরণ
কাই-বৰ্গ সূত্ৰ,চি-বর্গাকার সূত্র
কাই-স্কেয়াৰ পৰীক্ষা,চি-স্কয়ার পরীক্ষা
কৰ্ড,জ্যা
কৰ্ড-বাইছেকচন পদ্ধতি,জ্যা-দ্বিখণ্ডন পদ্ধতি
চাইফাৰ বাৰ্তা (=ক&#39;ড কৰা বাৰ্তা),সাইফার বার্তা (=কোডেড বার্তা)
চাইফাৰ (শূন্য),সাইফার (শূন্য)
বৃত্ত,বৃত্ত
অভিসৰণৰ বৃত্ত,অভিসার বৃত্ত
বৰ্তনী মেট্ৰিক্স,সার্কিট ম্যাট্রিক্স
বৃত্তাকাৰ,বৃত্তাকার
বৃত্তাকাৰ এছিম্পটট,বৃত্তাকার অ্যাসিম্পটোট
বৃত্তাকাৰ হেলিক্স,বৃত্তাকার হেলিক্স
বৃত্তাকাৰ গতি,বৃত্তাকার গতি
circumcentre,পরিধি কেন্দ্র
circumcircle কৰা হৈছে,পরিবৃত্ত
circumscribe কৰক,পরিধি করা
পৰিসীমাবদ্ধ,পরিধিকৃত
circumscribed বৃত্ত,পরিধিকৃত বৃত্ত
ধ্ৰুপদী ডিডক্টিভ কৌশল,ক্লাসিক্যাল ডিডাক্টিভ কৌশল
ধ্ৰুপদী গতিশীলতা,শাস্ত্রীয় গতিবিদ্যা
ধ্ৰুপদী অনুকূলন,শাস্ত্রীয় অপ্টিমাইজেশান
ধ্ৰুপদী ধ্বংস সমস্যা,শাস্ত্রীয় ধ্বংস সমস্যা
ধ্ৰুপদী পৰিসংখ্যা বলবিজ্ঞান,শাস্ত্রীয় পরিসংখ্যানগত বলবিদ্যা
ভুলৰ শ্ৰেণীবিভাজন,ত্রুটির শ্রেণীবিভাগ
শ্ৰেণীৰ ব্যৱধান,ক্লাসের ব্যবধান
শ্ৰেণী-ব্যৱধান একক,ক্লাস-ব্যবধান ইউনিট
শ্ৰেণী সীমা,শ্রেণীর সীমা
ঘড়ীৰ কাঁটাৰ দিশত,ঘড়ির কাঁটার দিকে
clopen (= বন্ধ আৰু খোলা),ক্লোপেন (= বন্ধ এবং খোলা)
বন্ধ কৰা হৈছে,বন্ধ
বন্ধ উত্তল ঢাল,বদ্ধ উত্তল হুল
বন্ধ ঘনক,বন্ধ ঘনক্ষেত্র
বন্ধ বক্ৰ,বন্ধ বক্ররেখা
বন্ধ ডমেইন,বন্ধ ডোমেইন
বন্ধ চিত্ৰ,বন্ধ চিত্র
বন্ধ ব্যৱধান,বন্ধ ব্যবধান
বন্ধ অঞ্চল,বন্ধ অঞ্চল
বন্ধ চেট,বন্ধ সেট
বন্ধ পৃষ্ঠ,বন্ধ পৃষ্ঠ
বন্ধ কৰা,বন্ধ
বন্ধ অপাৰেটৰ,বন্ধ অপারেটর
বন্ধ বিন্দু (= সংস্পৰ্শ বিন্দু),বন্ধ বিন্দু (= যোগাযোগ বিন্দু)
বন্ধ কৰাৰ প্ৰস্তাৱনা,বন্ধ ঘোষণা
বন্ধ কৰা ছেট,বন্ধ সেট
ক্লাষ্টাৰ পইণ্ট,ক্লাস্টার পয়েন্ট
ক্লাষ্টাৰ নমুনা সংগ্ৰহ কৰা,গুচ্ছের আদর্শ
ক্লাষ্টাৰ ছেট,ক্লাস্টার সেট
সমাক্ষীয় বৃত্ত,সমাক্ষ বৃত্ত
সমাক্ষীয় পেৰাবোলা,সমাক্ষীয় প্যারাবোলাস
সমাক্ষীয় সমতল,সমাক্ষ সমতল
সমাক্ষীয় ত্ৰিভুজ,সমাক্ষীয় ত্রিভুজ
কব - ডগলাস ফাংশন,কোব - ডগলাস ফাংশন
ক&#39;ডিং,কোডিং
তথ্যৰ ক&#39;ডিং,ডেটা কোডিং
সহ-ডমেইন,সহ-ডোমেইন
সহগ মেট্ৰিক্স,সহগ ম্যাট্রিক্স
সম্পৰ্কৰ সহগ,পারস্পরিক সম্পর্কের সহগ
নিৰ্ণয়ৰ সহগ,সংকল্প সহগ
স্থিতিস্থাপকতাৰ সহগ,স্থিতিস্থাপকতার সহগ
প্ৰসাৰণৰ সহগ,সম্প্রসারণের সহগ
ঘৰ্ষণৰ সহগ,ঘর্ষণ সহগ
