English,Punjabi
Acoustical propagation constant,ਧੁਨੀ ਪ੍ਰਸਾਰ ਨੂੰ ਸਥਿਰ
Acoustical resistance,ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ
Acoustically insulated,ਧੁਨੀ
Acoustics,ਧੁਨੀ
Acquisition,ਗ੍ਰਹਿਣ
Acronym,ਐਕਰੋਨਾਈਮ
Action area,ਕਾਰਵਾਈ ਖੇਤਰ
Activated filament,ਸਰਗਰਮ ਤੰਦ
Active,ਕਿਰਿਆਸ਼ੀਲ
Active area,ਐਕਟਿਵ ਖੇਤਰ
Active window,ਐਕਟਿਵ ਵਿੰਡੋ
Adaptability,ਅਨੁਕੂਲਤਾ
Adapter (adaptor),ਅਡੈਪਟਰ (ਅਡੈਪਟਰ)
Adaptive differential pulse code modulation,ਅਡੈਪਟਿਵ ਇਨਫਿਅਲ ਪਲਸ ਕੋਡ ਸੰਚਾਲਨ
Address book,ਐਡਰੈੱਸ ਬੁੱਕ
Address bus,ਪਤਾ ਬੱਸ
Address resolution,ਪਤਾ ਹੱਲ
Adjacent channel interference,ਨੇੜਲੇ ਚੈਨਲ ਦਖਲਅੰਦਾਜ਼ੀ
Adjacent channel selectivity,ਨਾਲਤ ਚੈਨਲ ਚੋਣ
Adjacent frequency,ਆਸ ਪਾਸ ਦੀ ਬਾਰੰਬਾਰਤਾ
Adjacent frequency channel,ਨਾਲ ਲੱਗਦੇ ਫ੍ਰੀਕੁਐਂਸੀ ਚੈਨਲ
Adjacent picture carrier,ਨਾਲ ਲੱਗਦੀ ਤਸਵੀਰ ਕੈਰੀਅਰ
Adjacent sound carrier,ਨਾਲ ਲੱਗਦੀ ਆਵਾਜ਼ ਕੈਰੀਅਰ
Adjacent station,ਨਾਲ ਲੱਗਦੀ ਸਟੇਸ਼ਨ
Adjustable,ਵਿਵਸਥਤ
Adjustable condenser,ਵਿਵਸਥਤ ਕੰਡੈਂਸਰ
Adjusting pressure,ਦਬਾਅ ਵਿਵਸਥਿਤ ਕਰਨਾ
Adjusting wrench,ਰੈਂਚ ਨੂੰ ਵਿਵਸਥਿਤ ਕਰਨਾ
Adjustment,ਵਿਵਸਥਾ
Administrator,ਪ੍ਰਬੰਧਕ
Advanced technology,ਤਕਨੀਕੀ ਤਕਨਾਲੋਜੀ
Aerial,ਏਰੀਅਲ
Aerial array,ਏਰੀਅਲ ਐਰੇ
Aerial booster,ਏਰੀਅਲ ਬੂਸਟਰ
Aerial current,ਏਰੀਅਲ ਮੌਜੂਦਾ
Aerial earthing switch,ਏਰੀਅਲ ਕਮਾ ਸਵਿੱਚ
Aerial efficiency,ਏਰੀਅਲ ਕੁਸ਼ਲਤਾ
Aerial impedance,ਏਰੀਅਲ ਰੁਕਾਵਟ
Aerial inductance,ਏਰੀਅਲ ਇੰਡਕੈਕਟੈਂਸ
Aerial insulator,ਏਰੀਅਲ ਇਨਸੂਲੇਟਰ
Aerial loading coil,ਹਵਾਈ ਲੋਡਿੰਗ ਕੋਇਲ
Aerial photography,ਹਵਾਈ ਫੋਟੋਗ੍ਰਾਫੀ
Aerial power,ਏਰੀਅਲ ਪਾਵਰ
Aerial radiation reistance,ਏਰੀਅਲ ਰੇਡੀਏਸ਼ਨ ਰੀਸੈਂਟਸ
Aerial reactance,ਏਰੀਅਲ ਪ੍ਰਤੀਕਰਮ
Aerodynamics,ਐਰੋਡਾਇਨਾਮਿਕਸ
Agency,ਏਜੰਸੀ
Air compressor,ਏਅਰ ਕੰਪ੍ਰੈਸਰ
Air condenser,ਏਅਰ ਕੰਡੈਂਸਰ
Air cooled,ਹਵਾ ਠੰ .ੀ
Air cored coil,ਏਅਰ ਕੋਰਡ ਕੋਇਲ
Airconditioning,ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ
Albedo,ਅਲਬਾਡੋ
Algorithm,ਐਲਗੋਰਿਦਮ
Aliasing,ਅਲਾਇਸਿੰਗ
Aligning,ਐਲਿੰਗਿੰਗ
Alignment,ਅਲਾਈਨਮੈਂਟ
All wave aerial,ਸਾਰੇ ਵੇਵ ਏਰੀਅਲ
Allocation,ਅਲਾਟਮੈਂਟ
Alphabetic,ਵਰਣਮਾਲਾ
Alphanumeric,ਅਲਫਾਨੁਮਿਕ
Alphanumeric character,ਅੱਖਰ ਅੱਖਰ
Alphanumeric information,ਅਲਫਾਨੁਮਿਕ ਜਾਣਕਾਰੀ
Alternating current (a.c.),ਬਦਲਵੇਂ ਮੌਜੂਦਾ (ਏ.ਸੀ.)
Alternation,ਬਦਲਵਾਂ
Alternator,ਅਲਟਰਨੇਟਰ
Altitude,ਉਚਾਈ
Altitude of the apogee,ਅਗੇਬੀ ਦੀ ਉਚਾਈ
Altitude of the perigee,ਚਰਿੱਜ ਦੀ ਉਚਾਈ
Amateur radio communication,ਸ਼ੁਕੀਨ ਰੇਡੀਓ ਸੰਚਾਰ
Ambience,ਮਾਹੌਲ
Ambience microphone,ਮਾਹੌਲ ਮਾਈਕ੍ਰੋਫੋਨ
Ambient condition,ਅੰਬੀਨਟ ਦੀ ਸਥਿਤੀ
Ambient lighting,ਅੰਬੀਨਟ ਲਾਈਟਿੰਗ
Ambient noise,ਅੰਬੀਨਟ ਸ਼ੋਰ
Ambient temperature,ਵਾਤਾਵਰਣ ਦਾ ਤਾਪਮਾਨ
American standard code,ਅਮੈਰੀਕਨ ਸਟੈਂਡਰਡ ਕੋਡ
Ampere,ਐਂਪੀਅਰ
Ampere meter,ਐਂਪਰ ਮੀਟਰ
Amplification,ਸਹਾਇਕਤਾ
Amplification factor,ਐਪਲੀਫਿਕੇਸ਼ਨ ਫੈਕਟਰ
Amplifier,ਐਂਪਲੀਫਾਇਰ
Amplifier gain,ਐਂਪਲੀਫਾਇਰ ਲਾਭ
Amplifier noise,ਐਂਪਲੀਫਾਇਰ ਸ਼ੋਰ
Amplifying equipment,ਅਮਲੀਫਾਈਸਿੰਗ ਉਪਕਰਣ
Amplifying klystron,ਸਰਪਲੱਸਿੰਗ ਕਲਸਟ੍ਰੋਨ
Amplifying unit,ਅਮਲੀਫਾਈਸਿੰਗ ਯੂਨਿਟ
Amplitude,ਐਪਲੀਟਿ .ਡ
Amplitude distortion,ਐਪਲੀਟਿ itude ਡ ਭਟਕਣਾ
Amplitude excursion,ਐਪਲੀਟਿ ord ਡ ਸੈਕਸੀਅਨ
Amplitude factor,ਐਪਲੀਟਿ let ਟ ਫੈਕਟਰ
Amplitude limiter,ਐਪਲੀਟਿ .ਡ ਸੀਮਾ
Amplitude modulated,ਐਪਲੀਟਿ .ਡ
Amplitude modulation,ਐਪਲੀਟਿ let ਟ ਮੇਲੂਲੇਸ਼ਨ
Analog (analogue),ਐਨਾਲਾਗ (ਐਨਾਲਾਗ)
Analog circuit,ਐਨਾਲਾਗ ਸਰਕਿਟ
Analog computer,ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ
Analog radio frequency channel,ਐਨਾਲਾਗ ਰੇਡੀਓ ਬਾਰੰਬਾਰਤਾ ਚੈਨਲ
Analog representation,ਐਨਾਲਾਗ ਪ੍ਰਤੀਨਿਧਤਾ
Analog signal,ਐਨਾਲਾਗ ਸਿਗਨਲ
Analog to digital,ਐਨਾਲਾਗ ਡਿਜੀਟਲ
Analog to digital converter,ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ
Analog video,ਐਨਾਲਾਗ ਵੀਡੀਓ
Analogous,ਸਮਾਨ
Analogy,ਸਮਾਨਤਾ
Analysis,ਵਿਸ਼ਲੇਸ਼ਣ
Analysis of data,ਡਾਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
Analytical density,ਵਿਸ਼ਲੇਸ਼ਣ ਘਣਤਾ
Analyze,ਵਿਸ਼ਲੇਸ਼ਣ
Analyzer,ਵਿਸ਼ਲੇਸ਼ਕ
Ancilliary equipment,Ancilliay ਉਪਕਰਣ
AND Gate,ਅਤੇ ਗੇਟ
Angle of collimation,ਕੋਲੀਮੈਂਟ ਦਾ ਕੋਣ
Angle of polarization,ਧਰੁਵੀਕਰਨ ਦਾ ਕੋਣ
Angle of rotation,ਘੁੰਮਣ ਦਾ ਕੋਣ
Angstrom (Å),ਐਂਗਟਰੋਮ (å)
Angular,ਕੋਣੀ
Angular acceleration,ਕੋਣੀ ਪ੍ਰਵੇਗ
Angular co-ordinates,ਕੋਣੀ ਕੋ-ਆਰਡੀਨੇਟ
Angular deflection,ਐਂਗਲੇਨਰ ਫੁਲੈਕਸ਼ਨ
Angular dispersion,ਐਂਗੂਲਰ ਫੈਲਾਅ
Angular displacement,ਕੋਣੀ ਵਿਸਥਾਪਨ
Angular error,ਐਂਗਲੇਰ ਐਰਰ
Angular frequency,ਕੋਣੀ ਦੀ ਬਾਰੰਬਾਰਤਾ
Angular momentum,ਕੋਣੀ ਗਤੀ
Angular motion,ਕੋਣੀ ਮੋਸ਼ਨ
Angular velocity,ਐਂਗਲੇਰ ਵੇਗ
Animation,ਐਨੀਮੇਸ਼ਨ
Anode,ਐਨੋਡ
Anode battery,ਐਨੋਡ ਬੈਟਰੀ
Anode characteristic,ਐਨੋਡ ਗੁਣ
Anode circuit,ਅਨੋਡ ਸਰਕਟ
Anode dissipation,ਐਨੋਡ ਡਿਸਪੈਂਪੇਸ਼ਨ
Anode efficiency,ਐਨੋਡ ਕੁਸ਼ਲਤਾ
Anode input power,ਐਨੋਡ ਇਨਪੁਟ ਪਾਵਰ
Anode modulation,ਐਡੀਡ ਦੀ ਵਰਤੋਂ
Antenna,ਐਂਟੀਨਾ
Antenna beamwidth,ਐਂਟੀਨਾ ਬੀਅਵਿਡਥ
Antenna booster,ਐਂਟੀਨਾ ਬੂਸਟਰ
Antenna changeover switch,ਐਂਟੀਨਾ ਬਦਲਾਓ ਸਵਿੱਚ
Antenna coil,ਐਂਟੀਨਾ ਕੋਇਲ
Antenna configuration,ਐਟੀਨਨਾ ਕੌਂਫਿਗਰੇਸ਼ਨ
Antenna coupler,ਐਂਟੀਨਾ ਕਪਲਰ
Antenna cross polar pattern,ਐਂਟੀਨਾ ਕਰਾਸ ਪੋਲਰ ਪੈਟਰਨ
Antenna current,ਐਂਟੀਨਾ ਮੌਜੂਦਾ
Antenna directivity gain,ਐਂਟੀਨਾ ਡਾਇਰੈਕਟਰਵਿਟੀ ਲਾਭ
Antenna duplexer,ਐਂਟੀਨਾ ਡੁਪਲੈਕਸਰ
Antenna effective area,ਐਂਟੀਨਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਖੇਤਰ
Antenna efficiency,ਐਂਟੀਨਾ ਕੁਸ਼ਲਤਾ
Antenna feed,ਐਂਟੀਨਾ ਫੀਡ
Antenna foot print,ਐਂਟੀਨਾ ਪੈਰ ਪ੍ਰਿੰਟ
Antenna gain,ਐਂਟੀਨਾ ਲਾਭ
Antenna height,ਐਂਟੀਨਾ ਉਚਾਈ
Antenna impedance,ਐਂਟੀਨਾ ਪ੍ਰੇਸ਼ਾਨ
Antenna inductance,ਐਂਟੀਨਾ ਇੰਡਸੀਕਟੈਂਸ
Antenna pattern,ਐਂਟੀਨਾ ਪੈਟਰਨ
Antenna plexer,ਐਂਟੀਨਾ ਪਲੇਕਸਰ
Antenna polarization,ਐਂਟੀਨਾ ਧਰੁਵੀਕਰਨ
Antenna power,ਐਂਟੀਨਾ ਪਾਵਰ
Antenna power gain,ਐਂਟੀਨਾ ਪਾਵਰ ਲਾਭ
Antenna radiation resistance,ਐਂਟੀਨਾ ਰੇਡੀਏਸ਼ਨ ਟਾਕਰਾ
Antenna reactance,ਐਂਟੀਨਾ ਪ੍ਰਤੀਕ੍ਰਿਆ
Antenna reflector,ਐਂਟੀਨਾ ਰਿਫਲੈਕਟਰ
Antenna resistance,ਐਂਟੀਨਾ ਟਾਕਰੇ
Antenna resonant frequency,ਐਂਟੀਨਾ ਗੂੰਜਕ ਬਾਰੰਬਾਰਤਾ
Antenna spacing,ਐਂਟੀਨਾ ਸਪੇਸਿੰਗ
Antenna switching room,ਐਂਟੀਨਾ ਸਵਿਚਿੰਗ ਰੂਮ
Antenna tuning coil,ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਕੋਇਲ
Antenna tuning hut,ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਹੱਟ
Aperture,ਅਪਰਚਰ
Apogee,ਅਪੋਜੀ
Apogee rocket,ਅਪੋਜੀ ਰਾਕੇਟ
Apparatus,ਉਪਕਰਣ
Apparent,ਸਪੱਸ਼ਟ
Applet,ਐਪਲਿਟ
Application,ਐਪਲੀਕੇਸ਼ਨ
Approximate,ਲਗਭਗ
Aquous solution,Aquive ਹੱਲ
Arc,ਆਰਕ
Architecture,ਆਰਕੀਟੈਕਚਰ
Archival transfer of sound recording,ਧੁਨੀ ਰਿਕਾਰਡਿੰਗ ਦਾ ਆਰਕਵਲ ਟ੍ਰਾਂਸਫਰ
Archives,ਪੁਰਾਲੇਖ
Arithmetic coding,ਹਿਸਾਬ ਕੋਡਿੰਗ
Armature,ਆਰਮਚਰ
Armature winding,ਆਰਮਟਿ ure ਟਰ ਹਵਾ
Array,ਐਰੇ
Arrester,ਅਰੈਸਟਰ
Articulation,ਬਿਆਨ
Artifact (=artefact),ਆਰਟੀਫੈਕਟ (= ਆਰਟਫੈਕਟ)
Ascending,ਚੜ੍ਹਨਾ
Aspect ratio,ਆਕਾਰ ਅਨੁਪਾਤ
Assembler,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
Assertion,ਜ਼ੋਰ
Assignment,ਅਸਾਈਨਮੈਂਟ
Assignment channel,ਅਸਾਈਨਮੈਂਟ ਚੈਨਲ
Asymmetrical,ਅਸਮੈਟ੍ਰਿਕਲ
Asynchronous,ਅਸਿੰਕਰੋਨਸ
Atmosphere,ਵਾਤਾਵਰਣ
Atmospheric loss,ਵਾਯੂਮੰਡਲ ਦਾ ਨੁਕਸਾਨ
Atmospheric noise,ਵਾਯੂਮੰਡਲ ਸ਼ੋਰ
Atmospheric pressure,ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ
Atmospheric propagation,ਵਾਯੂਮੰਡਲ ਪ੍ਰਸਾਰ
Atmospheric radio-wave,ਵਾਯੂਮੰਡਲ ਰੇਡੀਓ-ਵੇਵ
Atmospherics,ਵਾਯੂਮੰਡਲ
Atom,ਐਟਮ
Atomic structure,ਪ੍ਰਮਾਣੂ ਬਣਤਰ
Attachment,ਲਗਾਵ
Attenuation,ਪਟੀਸ਼ਨ
Attenuation loss,ਅਟੁੱਟ ਨੁਕਸਾਨ
Attenuation of sound waves,ਅਵਾਜ਼ ਦੀਆਂ ਲਹਿਰਾਂ ਦਾ ਧਿਆਨ
Attenuator,Attetuator
Attenuator-pad,ਐਟੀਟਨਿਟਰ-ਪੈਡ
Audibility threshold,ਆਡੀਬਿਲਟੀ ਥ੍ਰੈਸ਼ੋਲਡ
Audible,ਸੁਣਨਯੋਗ
Audible frequency,ਆਡੀਅਲ ਬਾਰੰਬਾਰਤਾ
Audible tone,ਸੁਣਨਯੋਗ ਧੁਨ
Audible-spectrum,ਸੁਣਨਯੋਗ-ਸਪੈਕਟ੍ਰਮ
Audience,ਹਾਜ਼ਰੀਨ
Audio,ਆਡੀਓ
Audio amplifier,ਆਡੀਓ ਅਮਲੀਫਾਇਰ
Audio analyzer,ਆਡੀਓ ਵਿਸ਼ਲੇਸ਼ਕ
Audio broadcasting,ਆਡੀਓ ਪ੍ਰਸਾਰਣ
Audio cable,ਆਡੀਓ ਕੇਬਲ
Audio chain,ਆਡੀਓ ਚੇਨ
Audio codec,ਆਡੀਓ ਕੋਡਕ
Audio compression,ਆਡੀਓ ਕੰਪ੍ਰੈਸਨ
Audio compressor,ਆਡੀਓ ਕੰਪ੍ਰੈਸਰ
Audio console,ਆਡੀਓ ਕੰਸੋਲ
Audio distortion,ਆਡੀਓ ਵਿਗਾੜ
Audio dynamic range,ਆਡੀਓ ਡਾਇਨਾਮਿਕ ਰੇਂਜ
Audio file format,ਆਡੀਓ ਫਾਈਲ ਫਾਰਮੈਟ
Audio frame format,ਆਡੀਓ ਫਰੇਮ ਫਾਰਮੈਟ
Audio frequency amplifier,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਐਂਪਲੀਫਾਇਰ
Audio frequency generator,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਜਰਨੇਟਰ
Audio frequency range,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਦੀ ਸੀਮਾ
Audio frequency response,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਜਵਾਬ
Audio limiter,ਆਡੀਓ ਸੀਮਾ
Audio line,ਆਡੀਓ ਲਾਈਨ
Audio mixer,ਆਡੀਓ ਮਿਕਸਰ
Audio modulation,ਆਡੀਓ ਸੰਚਾਲਨ
Audio oscillator,ਆਡੀਓ c ਸਿਲੇਟਰ
Audio output,ਆਡੀਓ ਆਉਟਪੁੱਟ
Audio power,ਆਡੀਓ ਪਾਵਰ
Audio quality,ਆਡੀਓ ਕੁਆਲਟੀ
Audio signal,ਆਡੀਓ ਸਿਗਨਲ
Audio signal processing,ਆਡੀਓ ਸਿਗਨਲ ਪ੍ਰੋਸੈਸਿੰਗ
Audio spectrum,ਆਡੀਓ ਸਪੈਕਟ੍ਰਮ
Audio storage,ਆਡੀਓ ਸਟੋਰੇਜ
Audio sub-carrier,ਆਡੀਓ ਸਬ-ਕੈਰੀਅਰ
Audio transformer,ਆਡੀਓ ਟਰਾਂਸਫਾਰਮਰ
Audio transmitter,ਆਡੀਓ ਟ੍ਰਾਂਸਮੀਟਰ
Audio/video compression,ਆਡੀਓ / ਵੀਡੀਓ ਸੰਕੁਚਨ
Audio-frequency oscillator,ਆਡੀਓ-ਬਾਰੰਬਾਰਤਾ
Audio-frequency signal,ਆਡੀਓ-ਬਾਰੰਬਾਰਤਾ ਸੰਕੇਤ
Audiometry,ਆਡੀਓਮੈਟਰੀ
Audio-visual aid,ਆਡੀਓ-ਵਿਜ਼ੂਅਲ ਸਹਾਇਤਾ
Auditory perception,ਆਡੀਟਰੀ ਧਾਰਨਾ
Authentication,ਪ੍ਰਮਾਣਿਕਤਾ
Authorised carrier frequency,ਅਧਿਕਾਰਤ ਕੈਰੀਅਰ ਬਾਰੰਬਾਰਤਾ
Auto CAD,ਆਟੋ ਕੈਡ
Auto diagnostics,ਆਟੋ ਨਿਦਾਨ
Automatic,ਆਟੋਮੈਟਿਕ
Automatic control,ਆਟੋਮੈਟਿਕ ਕੰਟਰੋਲ
Automatic detection,ਆਟੋਮੈਟਿਕ ਖੋਜ
Automatic equipment,ਆਟੋਮੈਟਿਕ ਉਪਕਰਣ
Automatic frequency control,ਆਟੋਮੈਟਿਕ ਬਾਰੰਬਾਰਤਾ ਨਿਯੰਤਰਣ
Automatic limiter,ਆਟੋਮੈਟਿਕ ਸੀਮਾ
Automatic machine,ਆਟੋਮੈਟਿਕ ਮਸ਼ੀਨ
Automatic phasae control,ਆਟੋਮੈਟਿਕ ਫਾਸੇ ਕੰਟਰੋਲ
Automatic picture transmission,ਆਟੋਮੈਟਿਕ ਤਸਵੀਰ ਸੰਚਾਰ
Automatic playback,ਆਟੋਮੈਟਿਕ ਪਲੇਅਬੈਕ
Automatic power control,ਆਟੋਮੈਟਿਕ ਪਾਵਰ ਕੰਟਰੋਲ
Automatic programming,ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
Automatic recording,ਆਟੋਮੈਟਿਕ ਰਿਕਾਰਡਿੰਗ
Automatic reset,ਆਟੋਮੈਟਿਕ ਰੀਸੈੱਟ
Automatic shutter,ਆਟੋਮੈਟਿਕ ਸ਼ਟਰ
Automatic system,ਆਟੋਮੈਟਿਕ ਸਿਸਟਮ
Automatic telephone,ਆਟੋਮੈਟਿਕ ਟੈਲੀਫੋਨ
Automatic temperature control,ਆਟੋਮੈਟਿਕ ਤਾਪਮਾਨ ਨਿਯੰਤਰਣ
Automatic voltage regulator,ਆਟੋਮੈਟਿਕ ਵੋਲਟੇਜ ਰੈਗੂਲੇਟਰ
Automatic volume compressor,ਆਟੋਮੈਟਿਕ ਵਾਲੀਅਮ ਕੰਪ੍ਰੈਸਰ
Automatic volume control,ਆਟੋਮੈਟਿਕ ਵਾਲੀਅਮ ਨਿਯੰਤਰਣ
Automatic volume expander,ਆਟੋਮੈਟਿਕ ਵਾਲੀਅਮ ਫੈਲਾਓਡਰ
Automation,ਆਟੋਮੈਟੇਸ਼ਨ
Automation control,ਆਟੋਮੈਟੇਸ਼ਨ ਕੰਟਰੋਲ
Automation frequency controller,ਆਟੋਮੈਟਿਕ ਬਾਰੰਬਾਰਤਾ ਕੰਟਰੋਲਰ
Auxiliary,ਸਹਾਇਕ
Auxiliary audio bus,ਸਹਾਇਕ ਆਡੀਓ ਬੱਸ
Available power,ਉਪਲਬਧ ਪਾਵਰ
Avalanche breakdown,ਬਰਫਬਾਰੀ ਟੁੱਟਣਾ
Average life,Life ਸਤਨ ਜ਼ਿੰਦਗੀ
Average pressure,Speptuse ਸਤਨ ਦਬਾਅ
Average speed,Average ਸਤ ਗਤੀ
Axis of spin,ਸਪਿਨ ਦਾ ਧੁਰਾ
Azimuth,ਅਜ਼ੀਮੂਥ
Azimuth angle,ਅਜ਼ੀਮੂਥ ਐਂਗਲ
Azimuth error,ਅਜੀਮੂਥ ਗਲਤੀ
Back light,ਪਿਛਲੀ ਰੋਸ਼ਨੀ
Back projection,ਬੈਕ ਪ੍ਰੋਜੈਕਸ਼ਨ
Back voltage (=reverse voltage),ਵਾਪਸ ਵੋਲਟੇਜ (= ਰਿਵਰਸ ਵੋਲਟੇਜ)
Backfire (arc back),ਬੈਕਫਾਇਰ (ਆਰਕ ਬੈਕ)
Background light,ਪਿਛੋਕੜ ਦੀ ਰੋਸ਼ਨੀ
Background noise,ਪਿਛੋਕੜ ਦੇ ਸ਼ੋਰ
Background projection,ਪਿਛੋਕੜ ਦਾ ਅਨੁਮਾਨ
Backup,ਬੈਕਅਪ
Baffle,ਬੇਫਲ
Baking,ਪਕਾਉਣਾ
Balanced audio,ਸੰਤੁਲਿਤ ਆਡੀਓ
Balanced audio line,ਸੰਤੁਲਿਤ ਆਡੀਓ ਲਾਈਨ
Balanced transmission line,ਸੰਤੁਲਿਤ ਟਰਾਂਸਮਿਸ਼ਨ ਲਾਈਨ
Balancing,ਸੰਤੁਲਨ
Ballast,ਗੈਲਸਟ
Ballast factor,ਗਲੇਸਟ ਫੈਕਟਰ
Balun,ਬਾਲੂਨ
Band,ਜਥਾ
Band pass filter,ਬੈਂਡ ਪਾਸ ਫਿਲਟਰ
Band selector,ਬੈਂਡ ਚੋਣਕਾਰ
Band splitting,ਬੈਂਡ ਸਪਲਿਟਿੰਗ
Band stop filter,ਬੈਂਡ ਸਟੌਪ ਫਿਲਟਰ
Band switch,ਬੈਂਡ ਸਵਿਚ
Band tuning,ਬੈਂਡ ਟਿ ing ਨਿੰਗ
Bandwidth,ਬੈਂਡਵਿਡਥ
Bar,ਬਾਰ
Bar code,ਬਾਰ ਕੋਡ
Bar data,ਬਾਰ ਡਾਟਾ
Bare band,ਬੇਅਰ ਬੈਂਡ
Bare lamp,ਬੇਅਰ ਲੈਂਪ
Barn door,ਬਾਰਨ ਡੋਰ
Base band,ਅਧਾਰ ਬੈਂਡ
Base band signal,ਬੇਸ ਬੈਂਡ ਸਿਗਨਲ
Base band system,ਬੇਸ ਬੈਂਡ ਸਿਸਟਮ
Base browser,ਅਧਾਰ ਬਰਾ browser ਜ਼ਰ
Base collector junction,ਬੇਸ ਕੁਲੈਕਟਰ ਜੰਕਸ਼ਨ
Base insulator,ਅਧਾਰ ਇਨਸੂਲੇਟਰ
Bass,ਬਾਸ
Bass compensation,ਬਾਸ ਮੁਆਵਜ਼ਾ
Bass loudspeaker (woofer),ਬਾਸ ਲਾਡਸਪੀਕਰ (ਵੂਫਾਨ)
Batch scanning,ਬੈਚ ਸਕੈਨਿੰਗ
Battery charging,ਬੈਟਰੀ ਚਾਰਜਿੰਗ
Beam,ਸ਼ਤੀਰ
Beat,ਕੁੱਟਿਆ
Beat frequency oscillator,ਬਾਰੰਬਾਰਤਾ c ਸਿਲੇਟਰ ਨੂੰ ਹਰਾਇਆ
Bel,ਬੇਲ
Bias,ਬਿਆਸ
Bias circuit,ਬਿਆਸ ਸਰਕਟ
Bias frequency,ਪੱਖਪਾਤ ਦੀ ਬਾਰੰਬਾਰਤਾ
Bias voltage,ਬਿਆਸ ਵੋਲਟੇਜ
