Telugu,Kannada
యుద్ధ క్షేత్రం,ಯುದ್ಧಭೂಮಿ
యుద్ధ శ్లోకం,ಯುದ್ಧ ಸ್ತೋತ್ರ
స్పర్స్ యుద్ధం,ಸ್ಪರ್ಸ್ ಕದನ
స్టాండర్డ్ యుద్ధం,ಬ್ಯಾಟಲ್ ಆಫ್ ದಿ ಸ್ಟ್ಯಾಂಡರ್ಡ್
యుద్ధనౌక,ಯುದ್ಧನೌಕೆ
యుద్ధనౌక-బలం,ಯುದ್ಧನೌಕೆ-ಬಲ
Bayeux వస్త్రం,ಬೇಯಕ್ಸ್ ವಸ್ತ್ರ
బెకన్,ದಾರಿದೀಪ
బెకన్ టవర్,ದಾರಿದೀಪ ಗೋಪುರ
బీవర్,ಬೀವರ್
బీవర్,ಬೀವರ್
సముద్రపు బిచ్చగాళ్ళు,ಸಮುದ್ರದ ಭಿಕ್ಷುಕರು
బెల్లికోస్,ಬೆಲ್ಲಿಕೋಸ್
బెల్లికోస్,ಬೆಲ್ಲಿಕೋಸ್
బెల్లికోస్,ಬೆಲ್ಲಿಕೋಸ್
బెల్లికోసిటీ,ಬೆಲ್ಲಿಕೋಸಿಟಿ
బెలోనా,ಬೆಲೋನಾ
ప్రయోజనం,ಪ್ರಯೋಜನ
మతపెద్దల వల్ల ప్రయోజనం,ಧರ್ಮಗುರುಗಳ ಲಾಭ
బెనెలక్స్,ಬೆನೆಲಕ್ಸ್
బెర్లిన్ డిక్రీ,ಬರ್ಲಿನ್ ತೀರ್ಪು
బెర్సెర్కర్,ಬರ್ಸರ್ಕರ್
బెసెంట్ (=బెజాంట్),ಬೆಸೆಂಟ್ (=ಬೆಜಾಂಟ್)
బేతేలు,ಬೆತೆಲ್
గ్రంథకర్త,ಗ್ರಂಥಪಾಲಕ
గ్రంథారాధన,ಗ್ರಂಥಾರಾಧನೆ
బిగ్ బెర్తా,ದೊಡ್ಡ ಬರ್ತಾ
మతోన్మాదుడు,ಮತಾಂಧ
బిల్లేటింగ్,ಬಿಲ್ಲೆಟಿಂಗ್
అటెయిండర్ బిల్లు,ಅಟೈಂಡರ್ ಬಿಲ್
హక్కుల చట్టం,ಹಕ್ಕುಗಳ ಮಸೂದೆ
జీవిత చరిత్ర రచయిత,ಜೀವನಚರಿತ್ರೆಕಾರ
జన్మ కథలు,ಜನ್ಮ ಕಥೆಗಳು
తాత్కాలిక శిబిరం,ತಾತ್ಕಾಲಿಕ
తాత్కాలిక శిబిరం,ತಾತ್ಕಾಲಿಕ
తాత్కాలిక శిబిరం,ತಾತ್ಕಾಲಿಕ
బిజోనియా,ಬಿಜೋನಿಯಾ
బ్లాక్ బర్డింగ్,ಕಪ್ಪು ಪಕ್ಷಿಗಳು
నల్ల జండా,ಕಪ್ಪು ಬಾವುಟ
కృష్ణ బిలం,ಕಪ್ಪು ರಂಧ್ರ
కృష్ణ బిలం,ಕಪ್ಪು ರಂಧ್ರ
నల్ల కాలు (=స్కాబ్),ಕಪ್ಪು ಕಾಲು (=ಹುರುಪು)
నల్ల చొక్కా,ಕಪ್ಪು ಶರ್ಟ್
బ్లజోన్,ಬ್ಲೇಝೋನ್
బ్లజోన్,ಬ್ಲೇಝೋನ್
బ్లేజోన్రీ,ಪ್ರಜ್ವಲಿಸುವಿಕೆ
బ్లజోన్రీ,ಪ್ರಜ್ವಲಿಸುವಿಕೆ
బ్లిట్జ్‌క్రీగ్,ಮಿಂಚುದಾಳಿ
రక్తరహిత విప్లవం (=గ్లోరియస్ రివల్యూషన్),ರಕ್ತರಹಿತ ಕ್ರಾಂತಿ (=ಗ್ಲೋರಿಯಸ್ ರೆವಲ್ಯೂಷನ್)
బ్లడ్వైట్,ಬ್ಲಡ್ವೈಟ್
బ్లడీ మేరీ,ಬ್ಲಡಿ ಮೇರಿ
నీలం,ನೀಲಿ
నీలం రక్తం,ನೀಲಿ ರಕ್ತ
నీలి పుస్తకం,ನೀಲಿ ಪುಸ್ತಕ
నీలం రంగు రిబ్బన్,ನೀಲಿ ರಿಬ್ಬನ್
నీలం రంగు రిబ్బన్,ನೀಲಿ ರಿಬ್ಬನ್
బ్లూస్ (=రాయల్ హార్స్ గార్డ్స్),ಬ್ಲೂಸ್ (=ರಾಯಲ್ ಹಾರ್ಸ್ ಗಾರ್ಡ್ಸ್)
నీలం చొక్కా,ನೀಲಿ ಅಂಗಿ
బ్లూ వాటర్ స్కూల్,ಬ್ಲೂ ವಾಟರ್ ಸ್ಕೂಲ್
బోర్డ్ ఆఫ్ కంట్రోల్,ನಿಯಂತ್ರಣ ಮಂಡಳಿ
శరీర కవచం,ದೇಹದ ರಕ್ಷಾಕವಚ
బోయర్,ಬೋಯರ್
దోపిడి,ಲೂಟಿ
బరో,ಬರೋ
బౌల్యూటేరియన్,ಬೌಲ್ಯೂಟೇರಿಯನ್
బోర్బన్,ಬೌರ್ಬನ್
బాక్సర్ తిరుగుబాటు,ಬಾಕ್ಸರ್ ದಂಗೆ
బ్రేస్,ಬ್ರೇಸ್
బ్రాస్సార్డ్,ಬ್ರಾಸಾರ್ಡ್
బ్రాస్సార్డ్,ಬ್ರಾಸಾರ್ಡ್
బ్రెడ్ కాలనీలు,ಬ್ರೆಡ್ ವಸಾಹತುಗಳು
బ్రెస్ట్ ప్లేట్,ಸ್ತನ ಫಲಕ
రొమ్ము పని,ಸ್ತನ ಕೆಲಸ
బ్రెట్వాల్డా,ಬ್ರೆಟ್ವಾಲ್ಡಾ
బ్రిగాండ్,ಬ್ರಿಗಾಂಡ್
బ్రిగేండేజ్,ಬ್ರಿಗಂಡೇಜ್
బ్రిటిష్ కామన్వెల్త్ ఆఫ్ నేషన్స్,ಬ್ರಿಟಿಷ್ ಕಾಮನ್‌ವೆಲ್ತ್ ರಾಷ್ಟ್ರಗಳು
బ్రౌన్ షర్ట్స్ (=నాజీలు),ಬ್ರೌನ್ ಶರ್ಟ್ಸ್ (=ನಾಜಿಗಳು)
బ్రస్సెల్స్ ట్రీటీ (పాక్ట్) సంస్థ (=వెస్ట్రన్ యూరోపియన్ యూనియన్),ಬ್ರಸೆಲ್ಸ್ ಒಪ್ಪಂದ (ಒಪ್ಪಂದ) ಸಂಸ್ಥೆ (=ಪಶ್ಚಿಮ ಯುರೋಪಿಯನ್ ಒಕ್ಕೂಟ)
యెదురు,ಬಫ್
యెదురు,ಬಫ್
బఫ్-కోటు,ಬಫ್-ಕೋಟ್
బఫ్స్,ಬಫ್ಸ್
బులే (=మండలి),ಬುಲೆ (=ಕೌನ್ಸಿಲ್)
బర్గేజ్,ಬರ್ಗೇಜ್
బర్గెస్,ಬರ್ಗೆಸ್
బైజాంటైన్,ಬೈಜಾಂಟೈನ್
బైజాంటైన్ చర్చి,ಬೈಜಾಂಟೈನ್ ಚರ್ಚ್
బైజాంటైన్ సామ్రాజ్యం,ಬೈಜಾಂಟೈನ್ ಸಾಮ್ರಾಜ್ಯ
బైజాంటైన్ యుగం,ಬೈಜಾಂಟೈನ್ ಯುಗ
బైజాంటైన్ చరిత్రకారులు,ಬೈಜಾಂಟೈನ್ ಇತಿಹಾಸಕಾರರು
కాబాల్,ಕ್ಯಾಬಲ್
సీజరిజం,ಸೀಸರಿಸಂ
ఖలీఫ్,ಖಲೀಫ್
కాలిగ్రాఫర్,ಕ್ಯಾಲಿಗ್ರಾಫರ್
కాలిగ్రాఫిస్ట్,ಕ್ಯಾಲಿಗ್ರಾಫಿಸ್ಟ್
కాలిగ్రఫీ,ಕ್ಯಾಲಿಗ್ರಫಿ
కాల్ట్రాప్,ಕ್ಯಾಲ್ಟ್ರೋಪ್
సాహచర్యం,ಸೌಹಾರ್ದತೆ
కమరిల్లా,ಕ್ಯಾಮರಿಲ್ಲಾ
కమరిల్లా,ಕ್ಯಾಮರಿಲ್ಲಾ
కామెలాకమ్,ಕ್ಯಾಮೆಲಾಕಮ್
మభ్యపెట్టడం,ಮರೆಮಾಚುವಿಕೆ
ప్రచారం,ಪ್ರಚಾರ
క్యాంపు అనుచరుడు,ಶಿಬಿರದ ಅನುಯಾಯಿ
కాంపో శాంటో,ಕ್ಯಾಂಪೋ ಸ್ಯಾಂಟೋ
క్యాంపస్ మార్టియస్,ಕ್ಯಾಂಪಸ್ ಮಾರ್ಟಿಯಸ್
కనెఫోరా,ಕ್ಯಾನೆಫೊರಾ
కంగు,ಕ್ಯಾಂಗ್ಯೂ
ఫిరంగి,ಕ್ಯಾನನೇಡ್
ఫిరంగి మేత,ಕ್ಯಾನನ್ ಮೇವು
కానన్,ಕ್ಯಾನನ್
కానన్ చట్టం,ಕ್ಯಾನನ್ ಕಾನೂನು
కానోపస్ డిక్రీ,ಕ್ಯಾನೋಪಸ್ ತೀರ್ಪು
ఆయుధాలు పట్టుకోవడం,ಕ್ಯಾಂಟಿಂಗ್ ಶಸ್ತ್ರಾಸ್ತ್ರ
బందీ,ಬಂಧಿತ
కాప్టర్,ಕ್ಯಾಪ್ಟರ್
కార్డినల్,ಕಾರ್ಡಿನಲ್
కార్ల్,ಕಾರ್ಲ್
కరోలింగియన్ రాజవంశం,ಕ್ಯಾರೊಲಿಂಗಿಯನ್ ರಾಜವಂಶ
కార్తుసియన్ శాఖ,ಕಾರ್ತೂಸಿಯನ್ ಪಂಥ
కార్టోసా,ಕಾರ್ಟೊಸಾ
కాస్టేలియన్,ಕ್ಯಾಸ್ಟೇಲಿಯನ್
కాస్టేలియన్,ಕ್ಯಾಸ್ಟೆಲಿಯನ್
కుల వ్యవస్థ,ಜಾತಿ ಪದ್ಧತಿ
కోట,ಕೋಟೆ
కోట,ಕೋಟೆ
కోట పట్టణం,ಕೋಟೆಯ ಪಟ್ಟಣ
కాస్ట్రా,ಕ್ಯಾಸ್ಟ್ರಾ
కాస్ట్రా,ಕ್ಯಾಸ್ಟ್ರಾ
కేథడ్రా,ಕ್ಯಾಥೆಡ್ರಾ
కేథడ్రల్,ಕ್ಯಾಥೆಡ್ರಲ್
కాటో స్ట్రీట్ కుట్ర,ಕ್ಯಾಟೊ ಸ್ಟ್ರೀಟ್ ಪಿತೂರಿ
కౌడిల్లో,ಕೌಡಿಲ್ಲೊ
కావలీర్,ಕ್ಯಾವಲಿಯರ್
కావలీర్,ಕ್ಯಾವಲಿಯರ್
కావలీర్ పార్లమెంట్,ಕ್ಯಾವಲಿಯರ್ ಸಂಸತ್ತು
అదుల్లాం గుహ,ಅದುಲ್ಲಮ್ ಗುಹೆ
గుహ పెయింటింగ్,ಗುಹೆ ಚಿತ್ರಕಲೆ
గుహ పెయింటింగ్,ಗುಹೆ ಚಿತ್ರಕಲೆ
సెంటంవిర్,ಸೆಂಟಮ್ವಿರ್
సెంచూరియన్,ಸೆಂಚುರಿಯನ್
సెంచరీ,ಶತಮಾನ
చైన్ ఆర్మర్ (=చైన్ మెయిల్),ಚೈನ್ ರಕ್ಷಾಕವಚ (=ಚೈನ್ ಮೇಲ್)
చాంట్రీ,ಚಾಂಟ್ರಿ
చాంట్రీ,ಚಾಂಟ್ರಿ
చాప్ పుస్తకం,ಅಧ್ಯಾಯ ಪುಸ್ತಕ
చాప్లిన్,ಧರ್ಮಗುರು
అధ్యాయం,ಅಧ್ಯಾಯ
ప్రమాదాల అధ్యాయం,ಅಪಘಾತಗಳ ಅಧ್ಯಾಯ
ఆరోపణ,ಶುಲ್ಕ
ఛార్జ్ డి&#39;ఎఫైర్స్,ಚಾರ್ಜ್ ಡಿ&#39;ಅಫೇರ್ಸ್
ఛార్జ్ విడిపోవడం,ಚಾರ್ಜ್ ವಿಭಜನೆ
ఛార్జర్,ಚಾರ್ಜರ್
రథము,ರಥ
రథసారధి,ಸಾರಥಿ
రథసారధి,ಸಾರಥಿ
రథసారధి,ಸಾರಥಿ
ఛారిటీ వంటగది,ಚಾರಿಟಿ ಅಡಿಗೆ
చార్టర్,ಚಾರ್ಟರ್
చార్టిస్ట్ ఉద్యమం (=చార్టిజం),ಚಾರ್ಟಿಸ್ಟ್ ಮೂವ್‌ಮೆಂಟ್ (=ಚಾರ್ಟಿಸಂ)
చార్టోఫిలాసియం,ಚಾರ್ಟೋಫಿಲೇಸಿಯಮ್
చాటౌ,ಚಟೌ
చెక్ పోస్ట్,ಚೆಕ್ ಪೋಸ್ಟ್
రసాయన యుద్ధం,ರಾಸಾಯನಿಕ ಯುದ್ಧ
చెస్టర్,ಚೆಸ್ಟರ್
చీఫ్,ಮುಖ್ಯಸ್ಥ
అధిపతి,ಮುಖ್ಯಸ್ಥ
అధిపతి,ಮುಖ್ಯಸ್ಥ
అధిపతి,ಮುಖ್ಯಸ್ಥ
షిఫాన్,ಚಿಫೋನ್
శూరత్వం,ಅಶ್ವದಳ
ఎంచుకున్న వ్యక్తులు,ಆಯ್ಕೆಮಾಡಿದ ಜನರು
క్రిస్మోగ్రఫీ,ಕ್ರಿಸ್ಮೋಗ್ರಾಫಿಯನ್
క్రైస్తవమత సామ్రాజ్యం,ಕ್ರೈಸ್ತಪ್ರಪಂಚ
క్రైస్తవ యుగం,ಕ್ರಿಶ್ಚಿಯನ್ ಯುಗ
క్రిస్టియన్ సోషలిజం,ಕ್ರಿಶ್ಚಿಯನ್ ಸಮಾಜವಾದ
క్రానికల్,ಕ್ರಾನಿಕಲ್
క్రానికల్,ಕ್ರಾನಿಕಲ್
Chryse Chersonese,ಕ್ರೈಸ್ ಚೆರ್ಸೋನೀಸ್
సిమిలియం,ಸಿಮೆಲಿಯಮ್
సింక్వెసెంటో స్టైల్,ಸಿಂಕ್ವೆಸೆಂಟೊ ಶೈಲಿ
ప్రదక్షిణ,ಪ್ರದಕ್ಷಿಣೆ
సిస్టెర్సియన్ సన్యాసి,ಸಿಸ್ಟರ್ಸಿಯನ್ ಸನ್ಯಾಸಿ
కోట,ಸಿಟಾಡೆಲ್
అనులేఖనం,ಉಲ್ಲೇಖ
అనులేఖనం,ಉಲ್ಲೇಖ
శాసన ఉల్లంఘన,ನಾಗರಿಕ ಅಸಹಕಾರ
పౌర యుద్ధం,ಅಂತರ್ಯುದ್ಧ
సివిస్ రోమనస్,ಸಿವಿಸ್ ರೋಮನಸ್
సాంప్రదాయ వయస్సు,ಶಾಸ್ತ್ರೀಯ ವಯಸ್ಸು
క్లెఫ్ట్ (=క్లెఫ్ట్),ಕ್ಲೆಫ್ಟ್ (=ಕ್ಲೆಫ್ಟ್)
