Assamese,Tamil
acess বিশেষাধিকাৰ,அணுகல் சலுகை
acess security,அணுகல் பாதுகாப்பு
এচেছ চাৰ্ভাৰ,அணுகல் சேவையகம்
acess সময়,அணுகல் நேரம்
স্বীকৃতি,ஒப்புகை
শব্দবিজ্ঞান,ஒலியியல்
সংক্ষিপ্ত ৰূপ,சுருக்கம்
কাৰ্য্য বাৰ্তা,செயல் செய்தி
সক্ৰিয়কৰণ,செயல்படுத்துதல்
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP),செயலில் உள்ள சர்வர் பக்கம் (ASP)
সক্ৰিয় সংস্কৰণ,செயலில் உள்ள பதிப்பு
অচক্ৰীয়,அசைக்ளிக்
অচক্ৰীয় গ্ৰাফ,அசைக்ளிக் வரைபடம்
আদা ভাষা,அட மொழி
এডাপ্টাৰ,அடாப்டர்
যোগ কৰা,கூட்டு
ফাইল যোগ কৰক,கோப்பை சேர்க்க
অপাৰেচন যোগ কৰক,செயல்பாட்டைச் சேர்க்கவும்
adder,சேர்ப்பான்
ঠিকনা,முகவரி
ঠিকনা বাছ,முகவரி பேருந்து
ঠিকনা নথিপত্ৰ,முகவரி கோப்பு
ঠিকনা বিন্যাস,முகவரி வடிவம்
ঠিকনা উৎপাদক,முகவரி ஜெனரேட்டர்
ঠিকনা ৰেখা,முகவரி வரி
ঠিকনা মেপিং,முகவரி மேப்பிங்
ঠিকনা পইণ্টাৰ,முகவரி சுட்டி
ঠিকনা পঞ্জীয়ন,முகவரி பதிவு
ঠিকনা সমাধান,முகவரி தீர்மானம்
ঠিকনা অনুবাদ,முகவரி மொழிபெயர்ப்பு
ঠিকনাযুক্ত মেমৰি,நினைவாற்றலை உரையாற்றினார்
সম্বোধন কৰা,உரையாற்றுவது
পৰ্যাপ্ততাৰ মাপকাঠী,போதுமான அளவுகோல்கள்
সংযুক্ত,இணைந்த
প্ৰশাসন,நிர்வாகம்
প্ৰশাসক,நிர்வாகி
এডোব এক্ৰ&#39;বেট,அடோப் அக்ரோபேட்
এডোব ফটোশ্বপ,அடோ போட்டோஷாப்
উন্নত ব্যৱসায়িক প্ৰয়োগ প্ৰগ্ৰেমিং (ABAP),அட்வான்ஸ் பிசினஸ் அப்ளிகேஷன் புரோகிராமிங் (ஏபிஏபி)
উন্নত তথ্য,மேம்பட்ட தரவு
উন্নত তথ্য ব্যৱস্থা,மேம்பட்ட தகவல் அமைப்பு
উন্নত প্ৰযুক্তি (AT),மேம்பட்ட தொழில்நுட்பம் (AT)
এজেণ্ট,முகவர்
একত্ৰীকৰণ,திரட்டுதல்
বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা,வான்வழி கணினி அமைப்பு
aldus পৃষ্ঠা নিৰ্মাতা,அல்டஸ் பக்க தயாரிப்பாளர்
সতৰ্কবাণী বাকচ,எச்சரிக்கை பெட்டி
এলগোল,அல்கோல்
এলগৰিদম,அல்காரிதம்
এলগৰিদম বিশ্লেষণ,அல்காரிதம் பகுப்பாய்வு
এলগৰিদম দক্ষতা,அல்காரிதம் திறன்
alias,மாற்றுப்பெயர்
প্ৰান্তিককৰণ,சீரமைப்பு
আবণ্টন,ஒதுக்கீடு
বৰ্ণানুক্ৰমিক,அகரவரிசை
আলফানিউমেৰিক,எண்ணெழுத்து
আলফানিউমেৰিক কি বৰ্ড,எண்ணெழுத்து விசைப்பலகை
আলফা-পৰীক্ষা,ஆல்பா-சோதனை
আলফা-সংস্কৰণ,ஆல்பா பதிப்பு
alt কি&#39;,alt விசை
আলতাভিস্তা,அல்டாவிஸ்டா
অস্পষ্টতা,தெளிவின்மை
অস্পষ্ট ব্যাকৰণ,தெளிவற்ற இலக்கணம்
আমেৰিকান নেচনেল ষ্টেণ্ডাৰ্ডছ ইনষ্টিটিউট (ANSI),அமெரிக்க தேசிய தரநிலை நிறுவனம் (ANSI)
তথ্য বিনিময়ৰ বাবে আমেৰিকান মানক ক&#39;ড (ASCII),தகவல் பரிமாற்றத்திற்கான அமெரிக்க தரநிலை குறியீடு (ASCII)
এনালগ,அனலாக்
এনালগ কম্পিউটাৰ,அனலாக் கணினி
এনালগ ডিভাইচ,அனலாக் சாதனம்
এনালগ মডেম,அனலாக் மோடம்
এনালগ টু ডিজিটেল কনভাৰ্টাৰ (ADC),அனலாக் டு டிஜிட்டல் மாற்றி (ADC)
আৰু,மற்றும்
AND বৰ্তনী,மற்றும் சுற்று
AND গেট,மற்றும் வாயில்
AND অপাৰেচন নহয় (বৰ্জন),மற்றும் செயல்பாடு அல்ல (விலக்கு)
এনিমেচন,இயங்குபடம்
টীকাকৰণ,சிறுகுறிப்பு
বিজুতি,ஒழுங்கின்மை
পূৰ্বসূৰী,முன்னோடி
প্ৰত্যাশিত পেজিং,முன்கூட்டிய பேஜிங்
এন্টি-চিমেট্ৰিক,எதிர்ப்பு சமச்சீர்
এন্টিভাইৰাছ প্ৰগ্ৰেম,வைரஸ் தடுப்பு நிரல்
applet,ஆப்லெட்
এপ্লিকেচন ডেভেলপাৰ,பயன்பாட்டு டெவலப்பர்
এপ্লিকেচন প্ৰগ্ৰেমিং,பயன்பாட்டு நிரலாக்கம்
এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API),பயன்பாட்டு நிரலாக்க இடைமுகம் (API)
এপ্লিকেচন চফ্টৱেৰ,பயன்பாட்டு மென்பொருள்
প্ৰয়োগমূলক ভাষা,பயன்பாட்டு மொழி
আনুমানিক তত্ত্ব,தோராயக் கோட்பாடு
স্থাপত্য,கட்டிடக்கலை
এলেকা হস্তান্তৰ,பகுதி பரிமாற்றம்
তৰ্কাতৰ্কি,வாதம்
গাণিতিক আৰু যুক্তিৰ একক,எண்கணித மற்றும் தர்க்க அலகு
গাণিতিক পৰীক্ষা,எண்கணித சரிபார்ப்பு
গাণিতিক ধ্ৰুৱক,எண்கணித மாறிலி
গাণিতিক তথ্য,எண்கணித தரவு
গাণিতিক নিৰ্দেশনা,எண்கணித அறிவுரை
গাণিতিক আৰু যুক্তি একক (ALU),எண்கணிதம் மற்றும் தருக்க அலகு (ALU)
ARPANET,அர்பானெட்
এৰে,வரிசை
এৰে কেচ,வரிசை கேச்
এৰে কম্পিউটাৰ,வரிசை கணினி
এৰে উপাদান,வரிசை உறுப்பு
এৰেৰ নাম,வரிசை பெயர்
এৰে প্ৰচেছৰ,வரிசை செயலி
কাঁড় চিহ্নসমূহ,அம்புக்குறி விசைகள்
আৰ্টিকুলেচন,உச்சரிப்பு
আৰ্টিকুলেচন পইণ্ট,உச்சரிப்பு புள்ளி
কৃত্ৰিম সংকোচন,செயற்கை சுருக்கம்
কৃত্ৰিম নিয়ন্ত্ৰণ,செயற்கை கட்டுப்பாடு
কৃত্ৰিম বুদ্ধিমত্তা,செயற்கை நுண்ணறிவு
আৰোহী,ஏறுபவர்
আৰোহী সজাই পৰাই তোলা,ஏறும் வகை
ASCII betical ক্ৰম,ASCII betical order
ASCII নিয়ন্ত্ৰণ আখৰ,ASCII கட்டுப்பாட்டு எழுத்து
ASCII নথিপত্ৰ,ASCII கோப்பு
ASCII ফন্ট,ASCII எழுத்துரு
ASCII স্থানান্তৰ,ASCII பரிமாற்றம்
এস্পেক্ট ৰেচিঅ&#39;,விகிதம்
এ এছ পি আই,ASPI
ASR টাইমাৰ,ASR டைமர்
একত্ৰিত কৰা,கூடி
এছেম্বলাৰ,அசெம்பிளர்
সভা,சட்டசபை
সমাবেশ ভাষা,சட்டசபை மொழி
assertion,வலியுறுத்தல்
আবণ্টন কৰা কাৰ্য,பணி நியமனம்
সংস্থা,சங்கம்
সহযোগী ঠিকনা,துணை முகவரி
সহযোগী স্মৃতিশক্তি,துணை நினைவகம்
এস্টেৰিক,ஆஸ்டிரிக்
অসমতাপূৰ্ণ,சமச்சீரற்ற
এচিনক্ৰ&#39;নাছ,ஒத்திசைவற்ற
ডিজিটেল গ্রাহক লাইন (ADSL),ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL)
asynchronous সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM),ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM)
এচিনক্ৰ&#39;নাছ স্থানান্তৰ,ஒத்திசைவற்ற பரிமாற்றம்
এচিনক্ৰ&#39;নাছ স্থানান্তৰ ধৰণ (ATM),ஒத்திசைவற்ற பரிமாற்ற முறை (ATM)
পৰমাণু,அணு
সংলগ্ন নথিপত্ৰ,இணைக்கப்பட்ட ஆவணம்
সংলগ্ন ফাইল,இணைக்கப்பட்டுள்ள கோப்பு
সংলগ্নক,இணைப்பு
বৈশিষ্ট্য,பண்பு
অডিঅ&#39;,ஆடியோ
অডিট প্ৰগ্ৰেমিং,தணிக்கை நிரலாக்கம்
অডিট ট্ৰেইল,தணிக்கை சோதனை
বৃদ্ধি কৰা,பெருக்குதல்
প্ৰমাণীকৰণ প্ৰটোকল,அங்கீகார நெறிமுறை
লেখক ব্যৱস্থা,ஆசிரியர் அமைப்பு
অনুমোদন,அங்கீகாரம்
অটো বিমূৰ্ত,தானியங்கு சுருக்கம்
স্বয়ংক্ৰিয় বুট কৰা,தானாக துவக்குதல்
অটোকেড,ஆட்டோகேட்
অটোলগ অন,ஆட்டோலாக் ஆன்
automata,தானியங்கி
automata তত্ত্ব,தானியங்கு கோட்பாடு
স্বয়ংক্ৰিয় কম্পিউটিং,தானியங்கி கணினி
স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ,தானியங்கி தரவு செயலாக்கம்
স্বয়ংক্ৰিয় ভুল সংশোধন,தானியங்கி பிழை திருத்தம்
স্বয়ংক্ৰিয় কাৰ্য্য,தானியங்கி செயல்பாடு
স্বয়ংক্ৰিয় সূচীভুক্তকৰণ,தானியங்கி அட்டவணைப்படுத்தல்
স্বয়ংক্ৰিয় লাইব্ৰেৰী কল,தானியங்கி நூலக அழைப்பு
স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং,தானியங்கி நிரலாக்க
স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম,தானியங்கி மீட்பு திட்டம்
স্বয়ংক্ৰিয় ৰুটিন,தானியங்கி வழக்கம்
স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ,தானியங்கி கணினி மீட்பு
স্বয়ংক্ৰিয় টেলাৰ মেচিন (ATM),தானியங்கி பணம் செலுத்தும் இயந்திரம் (ATM)
অটোমেচন,தானியங்கி
অটোপ্লে,தானியங்கி
স্বয়ংক্ৰিয় সংৰক্ষণ কৰক,தானாக சேமிக்கவும்
সহায়ক,துணை
সহায়ক স্মৃতিশক্তি,துணை நினைவகம்
সহায়ক সংৰক্ষণ,துணை சேமிப்பு
উপলব্ধ তালিকা,கிடைக்கும் பட்டியல்
উপলব্ধ সময়,கிடைக்கும் நேரம்
গড়,சராசரி
awk (ভাষা),awk (மொழி)
বেকএণ্ড,பின்தளம்
বেকএণ্ড প্ৰচেছৰ,பின்தள செயலி
বেকফেচ আঁতৰোৱা,பின்முகத்தை அகற்றுதல்
পটভূমি প্ৰক্ৰিয়াকৰণ,பின்னணி செயலாக்கம்
বেকিং ষ্ট&#39;ৰ,பேக்கிங் கடை
বেকপেচিং,பின் இணைப்பு
বেকস্পেচ,பின்வெளி
পিছুৱাই যোৱা,பின்வாங்குதல்
বেক-আপ,காப்புப்பிரதி
বেক-আপ মেমৰি,காப்பு நினைவகம்
পিছলৈ ত্ৰুটি পুনৰুদ্ধাৰ,பின்னோக்கி பிழை மீட்பு
বেলেন্স শ্বীট,இருப்புநிலை
বেণ্ড,இசைக்குழு
বেণ্ডৰ প্ৰস্থ,பட்டை அகலம்
বেংকাৰৰ এলগৰিদম,வங்கியாளர் வழிமுறை
বাৰ ক&#39;ড,பார் குறியீடு
বাৰ ক&#39;ড স্ক্যানাৰ,பட்டை குறி படிப்பான் வருடி
বাৰ গ্ৰাফ,சட்ட வரைபடம்
ভিত্তি ঠিকনা,அடிப்படை முகவரி
বেচ বেণ্ড,அடிப்படை இசைக்குழு
ভিত্তি সংখ্যা,அடிப்படை எண்
ভিত্তি টেবুল,அடிப்படை அட்டவணை
প্ৰাথমিক,அடிப்படை
মূল নিয়ন্ত্ৰণ,அடிப்படை கட்டுப்பாடு
মূল ইনপুট,அடிப்படை உள்ளீடு
মূল নিৰ্দেশনা,அடிப்படை அறிவுறுத்தல்
মূল আউটপুট,அடிப்படை வெளியீடு
মূল পদক্ষেপ,அடிப்படை படி
বেটছ,தொகுதி
বেচ ফাইল,தொகுதி கோப்பு
বেচৰ অৱস্থান,தொகுதி நிலை
বেচ প্ৰচেছিং,தொகுதி செயலாக்கம்
বেচ ব্যৱস্থা,தொகுதி அமைப்பு
baud,பாட்
বড হাৰ,பாட் விகிதம்
আলোকৰশ্মি,உத்திரம்
বেঞ্চমাৰ্ক,அளவுகோல்
দ্বিমুখী যোগাযোগ,இருதரப்பு தொடர்பு
দ্বিমুখী সংযোগ,இருதரப்பு இணைப்பு
বাইনাৰী ক&#39;ড,பைனரி குறியீடு
বাইনাৰী অংক,பைனரி இலக்கம்
বাইনাৰী ইনপুট আউটপুট চিস্টেম (BIOS),பைனரி உள்ளீட்டு வெளியீட்டு அமைப்பு (பயாஸ்)
বাইনাৰী সংখ্যা,பைனரி எண்
বাইনাৰী অপাৰেটৰ,பைனரி ஆபரேட்டர்
বাইনাৰী সম্পৰ্ক,பைனரி உறவு
বাইনাৰী সন্ধান,பைனரி தேடல்
বাইনাৰী সন্ধান গছ (BST),பைனரி தேடல் மரம் (BST)
বাইনাৰী স্থানান্তৰ,பைனரி பரிமாற்றம்
বাইনাৰী গছ,பைனரி மரம்
বাইপোলাৰ মেম’ৰী,இருமுனை நினைவகம்
জন্ম মৃত্যুৰ আৰ্হি,பிறப்பு இறப்பு மாதிரி
জন্ম মৃত্যু প্ৰক্ৰিয়া,பிறப்பு இறப்பு செயல்முறை
বিট,பிட்
বিট দোষ,சிறிய தவறு
বিট মেপ,பிட் வரைபடம்
বিট মেপ পিক্সেল (BMP),பிட் மேப் பிக்சல் (BMP)
বিট মেট্ৰিক্স,பிட் மேட்ரிக்ஸ்
বিট পেটাৰ্ণ,பிட் முறை
বিটৰ অৱস্থান,பிட் நிலை
বিট হাৰ,பிட் விகிதம்
ব্লেক বক্স পৰীক্ষা,கருப்பு பெட்டி சோதனை
টিপটিপিয়াই,கண் சிமிட்டுதல்
অৱৰুদ্ধ কৰা,தொகுதி
ব্লক কেচ,தொகுதி தற்காலிக சேமிப்பு
ব্লক চেক কৰক,தடுப்பு சோதனை
ব্লক কপি,தொகுதி நகல்
ব্লক ডায়াগ্ৰাম,தொகுதி வரைபடம்
নেটৱাৰ্ক ব্লক কৰা,பிணையத்தைத் தடுக்கிறது
ব’ৰ্ড,பலகை
বুক মাৰ্ক,புத்தககுறி
বুলিয়ান বীজগণিত,பூலியன் இயற்கணிதம்
বুলিয়ান সম্পৰ্ক,பூலியன் உறவு
বুট বিভাজন,துவக்க பகிர்வு
বুট ষ্ট্ৰেপিং,பூட் ஸ்ட்ராப்பிங்
বুট-ষ্ট্ৰেপ লোডাৰ,பூட்-ஸ்ட்ராப் ஏற்றி
সেঁতু,பாலம்
ব্ৰডবেণ্ড নেটৱৰ্কিং,பிராட்பேண்ட் நெட்வொர்க்கிங்
সম্প্ৰচাৰ,ஒளிபரப்பு
সম্প্ৰচাৰ ৰেডিঅ&#39;,ஒலிபரப்பு வானொலி
ব্ৰাউজ কৰক,உலவ
ব্ৰাউজাৰ,உலாவி
বি-বৃক্ষ,பி-மரம்
বুদবুদ স্মৃতিশক্তি,குமிழி நினைவகம்
বুদবুদ সজাই পৰাই তোলা,குமிழி வகை
বাল্টি,வாளி
বন্ধু ব্যৱস্থা,நண்பர் அமைப்பு
বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ,பட்ஜெட் பயனுள்ள கட்டுப்பாடு
বাফাৰ,தாங்கல்
পোক,பிழை
বাছ,பேருந்து
বাইট,பைட்
বাইট ক&#39;ড,பைட் குறியீடு
গ,c
C++,C++
cache,தற்காலிக சேமிப்பு
কেশ্ব বাফাৰ,கேச் தாங்கல்
কেশ্ব মেমৰি,கேச் நினைவகம்
গণনা কৰা,கணக்கீடு
কেলকুলেটৰ,கால்குலேட்டர்
কেলকুলেটৰ চিপ,கால்குலேட்டர் சிப்
কল কৰা,அழைப்பு
নামেৰে ফোন কৰক,பெயரால் அழைக்கவும்
ৰেফাৰেন্সৰ দ্বাৰা কল কৰক,குறிப்பு மூலம் அழைப்பு
মূল্যৰ দ্বাৰা কল কৰক,மதிப்பு மூலம் அழைப்பு
চলকৰ দ্বাৰা কল কৰক,மாறிகள் மூலம் அழைப்பு
গেট কল কৰক,அழைப்பு வாயில்
বাতিল কৰক,ரத்து செய்
বাতিল বুটাম,ரத்து பொத்தான்
canonical,நியமனம்
কেননিক ৰূপ,நியமன வடிவம்
ক্ষমতা,திறன்
ক্ষমতা তালিকা,திறன் பட்டியல்
ক্ষমতা,திறன்
caps লক চাবি,தொப்பி பூட்டு விசை
কাৰ্ড,அட்டை
কাৰ্ড ৰিডাৰ,கார்டு ரீடர்
কাৰ্ডিনালিটি,கார்டினாலிட்டி
বাহক,கேரியர்
বাহক বেণ্ড,கேரியர் பேண்ட்
বাহক বোজা,கேரியர் சுமை
বাহক সংকেত,கேரியர் சிக்னல்
বাহক তৰংগ,கேரியர் அலை
কঢ়িওৱা,சுமந்து செல்
carry digit,இலக்கத்தை எடுத்துச் செல்லுங்கள்
পতাকা কঢ়িয়াই নিয়া,கொடியை ஏந்தி
কাৰ্টিজ ডিস্ক,கெட்டி வட்டு
cascade,அருவி
ঘটনা,வழக்கு
কেথড ৰে টিউব (CRT),கத்தோட் கதிர் குழாய் (CRT)
কেথ&#39;ড ৰে টিউব (CRT),கேத்தோடு கதிர் குழாய் (CRT)
CD ROM ডিষ্ক ড্ৰাইভ,CD ROM வட்டு இயக்கி
কোষ,செல்
কোষ এনিমেচন,செல் அனிமேஷன்
চেলুলাৰ ফোন,கை பேசி
কেন্দ্ৰীয় স্মৃতিশক্তি,மைய நினைவகம்
কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU),மத்திய செயலாக்க அலகு (CPU)
কেন্দ্ৰীভূত ব্যৱস্থা,மையப்படுத்தப்பட்ட அமைப்பு
প্ৰমাণিত টেপ,சான்றளிக்கப்பட்ட நாடா
শিকলি,சங்கிலி
শৃংখল তথ্য,சங்கிலி தரவு
শৃংখল সংযোগ,சங்கிலி இணைப்பு
চেইনিং,சங்கிலியிடுதல்
চেনেল,சேனல்
চেনেল ব্যস্ত সুৰ,சேனல் பிஸியான தொனி
চেনেলৰ ক্ষমতা,சேனல் திறன்
চেনেল নিয়ন্ত্ৰক,சேனல் கட்டுப்படுத்தி
চেনেলৰ ভুল,சேனல் பிழை
চেনেল প্ৰগ্ৰেম,சேனல் நிரல்
চেনেলৰ নিৰ্ভৰযোগ্যতা,சேனல் நம்பகத்தன்மை
চেনেল ছেট,சேனல் தொகுப்பு
চৰিত্ৰ,பாத்திரம்
আখৰৰ ক&#39;ড,எழுத்து குறியீடு
আখৰৰ চাবি,எழுத்து திறவுகோல்
চৰিত্ৰ পাঠক,பாத்திர வாசகர்
আখৰৰ আকাৰ,எழுத்து அளவு
তালিকা,விளக்கப்படம்
চেছিছ,சேஸ்பீடம்
বিট পৰীক্ষা কৰক,சோதனை பிட்
ডিজিট পৰীক্ষা কৰক,எண்ணை சரிபார்க்க
ৰাশি পৰীক্ষা কৰক,காசோலை தொகை
শব্দ পৰীক্ষা কৰক,சரிபார்ப்பு வார்த்தை
চিপ,சிப்
চিপ চেট,சிப் தொகுப்பு
বাছনি কৰক,தேர்வு
ৰঙীনভাৱে,வர்ண ரீதியாக
চাইফাৰ,மறைக்குறியீடு
বৰ্তনী,சுற்று
বৃত্তাকাৰ তালিকা,வட்ட பட்டியல்
cirus,சிரஸ்
উদ্ধৃতি,மேற்கோள்
শ্ৰেণী,வர்க்கம்
ক্লাছ ভেৰিয়েবল,வர்க்க மாறி
শ্ৰেণীবিভাজন,வகைப்பாடு
পৰিষ্কাৰ,தெளிவானது
স্পষ্ট এলেকা,தெளிவான பகுதி
ক্লিয়াৰ চেনেল,தெளிவான சேனல்
ক্লিক কৰক,கிளிக் செய்யவும்
গ্ৰাহক,வாடிக்கையாளர்
ক্লাএন্ট চাৰ্ভাৰ,கிளையன்ட் சர்வர்
ক্লায়েন্ট ষ্টাব,கிளையன்ட் ஸ்டப்
ক্লিপ আৰ্ট,சிறு படம்
ক্লিপ আৰ্ট লাইব্ৰেৰী,கிளிப் ஆர்ட் நூலகம்
ক্লিপ বৰ্ড,கிளிப் போர்டு
ক্লিপাৰ,கிளிப்பர்
ক্লিপাৰ চিপ,கிளிப்பர் சிப்
ক্লিক,குழு
ঘড়ী,கடிகாரம்
ঘড়ীৰ চক্ৰ,கடிகார சுழற்சி
ঘড়ীৰ কম্পাঙ্ক,கடிகார அதிர்வெண்
ঘড়ী হাৰ্ডৱেৰ,கடிகார வன்பொருள்
ঘড়ীৰ স্পন্দন,கடிகார துடிப்பு
ঘড়ীৰ গতি,கடிகார வேகம்
ঘড়ী সমন্বয়,கடிகார ஒத்திசைவு
ঘড়ীৰ টিক,கடிகார டிக்
ক্ল&#39;ন,குளோன்
বন্ধ,நெருக்கமான
ক্ল&#39;জ চাৰ্কিট টিভি (CCTV),க்ளோஸ் சர்க்யூட் டிவி (சிசிடிவி)
বন্ধ কৰা,மூடல்
ক্লাউড কম্পিউটিং,கிளவுட் கம்ப்யூட்டிங்
গুচ্ছ,கொத்து
আৱৰণযুক্ত কাৰ্ড,பூசிய அட்டை
আৱৰণযুক্ত কাগজ,பூசிய காகித
সমাক্ষীয়,கோஆக்சியல்
সমাক্ষীয় কেবল,கோஆக்சியல் கேபிள்
কোডাচাইল,கோடாசில்
ক&#39;ড,குறியீடு
ক&#39;ড জেনেৰেটৰ,குறியீடு உற்பத்தியாளர்
ক&#39;ড পৃষ্ঠা,குறியீடு பக்கம்
ক&#39;ড শব্দ,குறியீட்டு வார்த்தை
ক&#39;ডাৰ,குறியீட்டாளர்
ক&#39;ডিং পৰীক্ষা,குறியீட்டு சோதனை
ক&#39;ডিং ফৰ্ম,குறியீட்டு வடிவம்
ক&#39;ডিং শ্বীট,குறியீட்டு தாள்
সহগ,குணகம்
সংহতি,இணக்கத்தைப்
ঠাণ্ডা বুট,குளிர் துவக்க
ঠাণ্ডা আৰম্ভণি,குளிர் ஆரம்பம்
সহযোগিতা,இணைந்து
পতন হোৱা,சரிவு
collate,இணை
টেপ কোলেট কৰক,கோலேட் டேப்
সংঘৰ্ষ,மோதல்
বৃহদান্ত্ৰ,பெருங்குடல்
ৰং (ৰং),நிறம் (நிறம்)
ৰঙৰ পৰিপূৰকতা,வண்ண செறிவு
ৰঙৰ টেবুল,வண்ண அட்டவணை
স্তম্ভ,நெடுவரிசை
সংমিশ্ৰণ,சேர்க்கை
কম্বো বক্স,சேர்க்கை பெட்டி
আদেশ,கட்டளை
কমাণ্ড বুটাম,கட்டளை பொத்தான்
কমাণ্ড তালিকা,கட்டளை பட்டியல்
মন্তব্য,கருத்து
অংগীকাৰ,அர்ப்பணிப்பு
পণ্য,பண்டம்
সাধাৰণ ব্যৱসায়মুখী ভাষা (Cobol),பொதுவான வணிகம் சார்ந்த மொழி (கோபோல்)
সাধাৰণ ভুল,பொதுவான பிழை
সাধাৰণ ভাষা,பொது மொழி
সাধাৰণ ৰুটিন,பொதுவான வழக்கம்
যোগাযোগ,தொடர்பு
যোগাযোগ লাইন,தொடர்பு வரி
যোগাযোগ ধৰণ,தொடர்பு முறை
যোগাযোগ নেটৱৰ্ক,தொடர்பு நெட்வொர்க்
যোগাযোগ প্ৰাচল,தொடர்பு அளவுரு
যোগাযোগ ব্যৱস্থা,தொடர்பு அமைப்பு
সংকোচন,சுருக்கம்
কম্পাণ্ডাৰ,தளபதி
companding,இணைத்தல்
কোম্পানী নেটৱৰ্ক,நிறுவனத்தின் நெட்வொர்க்
তুলনামূলক পৰীক্ষা,ஒப்பீட்டு சோதனை
সামঞ্জস্যতা,பொருந்தக்கூடிய தன்மை
উপযুক্ত,இணக்கமான
সংকলন,தொகுத்தல்
কম্পাইল কৰক আৰু যাওক,தொகுத்து செல்ல
কম্পাইলাৰ,தொகுப்பி
কম্পাইলাৰ ভাষা,தொகுக்கும் மொழி
পৰিপূৰক,நிரப்பு
দহজনৰ ওপৰত পৰিপূৰক,நிரப்பு-பத்து
পৰিপূৰক,பூர்த்தி செய்பவர்
সম্পূৰ্ণ কঢ়িয়াই নিয়া,முழு சுமந்து
জটিল,சிக்கலான
জটিল সংখ্যা,சிக்கலான எண்
উপাদান,கூறு
উপাদান বস্তুৰ আৰ্হি (COM),கூறு பொருள் மாதிரி (COM)
কম্পোজিট,கூட்டு
সুৰ-ৰচনা,கலவை
গণনামূলক,கணக்கீட்டு
কম্পিউটাৰ,கணினி
কম্পিউটাৰ কেন্দ্ৰ,கணினி மையம்
কম্পিউটাৰ বিশেষজ্ঞ,கணினி நிபுணர்
কম্পিউটাৰ গ্ৰাফিক্স,கணினி வரைகலை
কম্পিউটাৰৰ নিৰ্দেশনা,கணினி அறிவுறுத்தல்
কম্পিউটাৰ ভাষা,கணினி மொழி
কম্পিউটাৰ নেটৱৰ্ক,கணினி வலையமைப்பு
কম্পিউটাৰ বিজ্ঞান,கணினி அறிவியல்
কম্পিউটাৰ সুৰক্ষা,கணினி பாதுகாப்பு
কম্পিউটাৰ চিমুলেটন,கணினி உருவகப்படுத்துதல்
