Tamil,English
அட்ரினல் சுரப்பி,Adrenal gland
அட்ரினோகார்டிகோட்ரோபிக் ஹார்மோன் (ACTH),Adrenocorticotropic hormone (ACTH)
அட்ரினோகார்டிகோட்ரோபிக் வெளியீட்டு ஹார்மோன் (ACTRH),Adrenocorticotropic releasing hormone (ACTRH)
Adsorbent,Adsorbent
உறிஞ்சுதல்,Adsorption
மேம்பட்ட சோர்டேட்,Advanced chordate
சாதகமான பிறழ்வு,Advantageous mutation
சாகச,Adventitial
சாகச வேர்,Adventitious root
பாதகமான விளைவு,Adverse effect
Aedes,Aedes
கலாச்சாரத்தின் காற்றோட்டம்,Aeration of culture
ஏரென்கிமா,Aerenchyma
வான்வழி,Aerial
வான்வழி வேர்,Aerial root
வான்வழி படப்பிடிப்பு,Aerial shoot
ஏரோபிக் சுவாசம்,Aerobic respiration
ஏரோபிக் சுவாசம்,Aerobic respiration
அழகியல்,Aesthetics
அவதூறு,Aestivation
அவதூறு,Aestivation
Afferent,Afferent
இணைப்பு நிறமூர்த்தம்,Affinity chromatography
பாதிக்கப்பட்ட உறுப்பு,Afflicted organ
காடு வளர்ப்பு,Afforestation
அகமோஸ்பெர்மி,Agamospermy
அகர்,Agar
அகரோஸ்,Agarose
அகரோஸ் ஜெல் எலெட்ரோபோரேசிஸ்,Agarose gel eletrophoresis
அகரோஸ் பாலிமர் ஜெல்,Agarose polymer gel
அகாஸ்ட்,Agast
நீலக்கத்தாழை,Agave
வயது விநியோகம்,Age distribution
வயது பிரமிட்,Age pyramid
திரட்டுதல்,Agglutination
மதிப்பீட்டு,Aggregate
நுண்ணறைகளின் மொத்தம்,Aggregate of follicle
நுண்ணறைகளின் மொத்தம்,Aggregate of follicle
திரட்டுதல்,Aggregation
ஆக்கிரமிப்பு,Aggressiveness
கிளர்ச்சி அமைப்பு,Agitator system
அக்னாதா,Agnatha
அகூட்டி,Agouti
அக்ரானல் குளோரோபிளாஸ்ட்,Agranal chloroplast
வேளாண்,Agranular
அக்ரானுலோசைட்,Agranulocyte
வேளாண்மை,Agriculture
வளர்ப்பு,Agroforestry
அக்ரோபாக்டீரியம் மத்தியஸ்தம்,Agrobacterium mediated
அக்ரோபாக்டீரியம் டூம்ஃபேசியன்ஸ்,Agrobacterium tumefaciens
வேளாண் வேதியியல்,Agrochemical
வேளாண் வேதியியல்,Agrochemical
வேளாண் மண்டலம்,Agroclimatic zone
வேளாண் பண்பு,Agronomic trait
வேளாண்,Agronomy
எய்ட்ஸ்,AIDS
காற்று சிறுநீர்ப்பை,Air bladder
ஏர் கண்டிஷனர்,Air conditioner
விமானப் பாதை,Air passage
காற்று மாசுபாடு,Air pollution
ஏர் சாக்,Air sac
காற்று வெற்றிடம்,Air vacuole
காற்று சுவாசம்,Air-breathing
அலைன்,Alain
அலரி தசை,Alary muscle
அலாஸ்கன் பிரவுன் கரடி,Alaskan brown bear
இயற்கை நிறத்தை இழந்தவர்,Albino
அல்புகோ,Albugo
ஆல்புமின்,Albumin
ஆல்புமினஸ் விதை,Albuminous seed
அல்புமினூரியா,Albuminuria
ஆல்பர்னம்,Alburnum
அல்செடே,Alcedae
ஆல்டிஹீட்,Aldehyede
ஆல்டோஸ்டிரோன் அமைப்பு,Aldosterone system
ஆல்டோஸ்டிரோன்,Aldosterone
அலியுரோன் அடுக்கு,Aleurone layer
அலூரோபிளாஸ்ட்,Aleuroplast
அல்பால்ஃபா,Alfalfa
பாசி பூக்கும்,Algal bloom
ஆல்ஜின்,Algin
ஏலியன் டி.என்.ஏ.,Alien DNA
அன்னிய இனங்கள்,Alien species
சீரமைப்பு,Alignment
சீரமைப்பு,Alignment
உணவுக்குழாய்,Alimentary canal
ஆன்டிமென்டரி சிஸ்டம்,Alimentary system
அலிஸ்மேசீஸ்,Alismaceace
காராய்டு,Alkaloid
கார,Alkaline
அல்காப்டோனூரியா,Alkaptonuria
அலன்டோயிஸ்,Allantois
அலீல் அதிர்வெண்,Allele frequency
அல்லீல்,Allele
அல்லீலோமார்பிக் ஜோடி,Allelomorphic pair
ஒவ்வாமை,Allergen
முதலை,Alligator
அல்லியம் செபா,Allium cepa
Allocamy,Allogamy
அலோகிராஃப்ட்,Allograft
அலோபாட்ரிக் விவரக்குறிப்பு,Allopatric speciation
அலோபோலிப்ளோயிட்,Allopolyploid
அலோஸ்டெரிக் விளைவு,Allosteric effect
அலோஸ்டெரிக் என்சைம்,Allosteric enzyme
அலோஸ்டெரிக் இன்ஹிபிட்டர்,Allosteric inhibitor
அலோஸ்டெரிக் பண்பேற்றம்,Allosteric modulation
அலோஸ்டெரிக் தளம்,Allosteric site
அலோஸ்டெரிக் தடுப்பு,Allosteric inhibition
அலோடெட்ராப்ளோயிட்,Allotetraploid
அல்னஸ்,Alnus
கற்றாழை,Aloe
அச்சுடன்,Along the axon
ஆல்பா-ஆன்டிட்ரிப்சின்,Alpha-antitrypsin
ஆல்பா-லாக்டல்புமின்,Alpha-lactalbumin
ஆல்பைன் காலநிலை நிலை,Alpine climate condition
ஆல்பைன் புல்வெளி,Alpine meadow
ஆல்பைன் மண்டலம்,Alpine zone
ஆல்ஸ்டோனியா,Alstonia
ஆல்டர்னேரியா,Alternaria
மாற்று,Alternate
தலைமுறையின் மாற்று,Alternation of generation
உயர நோய்,Altitude sickness
உயரம்,Altitude
அல்வியோலர் குழாய்,Alveolar duct
Alytes,Alytes
அல்சீமர் நோய்,Alzheimer's disease
AMACRINE CELL,Amacrine cell
அமராந்தேசி,Amaranthaceae
அமராந்தஸ்,Amaranthus
சுற்றுப்புற ஆஸ்மோடிக் செறிவு,Ambient osmotic concentration
அம்ப்ஸ்டோமா,Ambystoma
அமைடு,Amide
அமினோ அமிலம்,Amino acid
அமினோ அமில ஏற்பி,Amino acid acceptor
அமினோஅசில் டி ஆர்.என்.ஏ சின்தேடேஸ்,Aminoacyl t RNA synthetase
அமினோஅசிலேஷன்,Aminoacylation
அமிடோசிஸ்,Amitosis
அம்மோனியா,Ammonia
அம்மோனிகேஃபிகேஷன்,Ammonification
அம்மோனோடெலிசம்,Ammonotelism
அம்னோசென்டெசிஸ்,Amniocentesis
அம்னோசென்டெசிஸ் நுட்பம்,Amniocentesis technique
அம்னியோசைட்,Amniocyte
அம்னியன்,Amnion
அம்னோடிக் திரவம்,Amniotic fluid
அம்னோடிக் சவ்வு,Amniotic membrane
அம்னோடிக் சாக்,Amniotic sac
அமீபா,Amoeba
அமீபோசைட்,Amoebocyte
அமீபாய்டு,Amoeboid
அமீபாய்டு லிம்போசைட்,Amoeboid lymphocyte
அமீபாய்டு இயக்கம்,Amoeboid movement
உருவமற்ற,Amorphous
தொகை,Amount
ஆம்பெடமைன்,Amphetamine
ஆம்பிபியா,Amphibia
ஆம்பிபியன்,Amphibian
ஆம்பிபியன்,Amphibian
ஆம்பியோக்ஸஸ்,Amphioxus
ஆம்பியோக்ஸஸ் லான்சியோலட்டஸ்,Amphioxus lanceolatus
ஆம்பிபாதிக்,Amphipathic
ஆம்பிபாதிக் லிப்பிட்,Amphipathic lipid
ஆம்பிசர்கா,Amphisarca
ஆம்பிசிலின்,Ampicillin
ஆம்புல்லா,Ampulla
ஆம்பல்லரி சுரப்பி,Ampullary gland
அமிக்டால்,Amygdal
அமிக்டேல்,Amygdale
அமிக்டலின்,Amygdalin
அமிலேஸ்,Amylase
அமிலோபிளாஸ்ட்,Amyloplast
அனபீனா,Anabaena
அனபாஸ்,Anabas
அனபோலிக் பாதைகள்,Anabolic pathways
அனபோலிசம்,Anabolism
அனகார்டியாசி,Anacardiaceae
இரத்த சோகை,Anaemia
காற்றில்லா,Anaerobe
காற்றில்லா எரிபொருள்,Anaerobic fuel
காற்றில்லா சுவாசம்,Anaerobic respiration
காற்றில்லா கசடு டைஜெஸ்டர்,Anaerobic sludge digester
காற்றில்லா,Anaerobic
அனைமா,Anaima
குத,Anal
குத,Anal
குத துளை,Anal aperture
குத செர்சி,Anal cerci
குத லூப்,Anal loop
குத பாணி,Anal style
ஒப்பீட்டு,Analogous
ஒப்பீட்டு,Analogous
ஒப்புமை,Analogy
ஒப்புமை,Analogy
பகுப்பாய்வு,Analysis
அனாபேஸ்,Anaphase
உடற்கூறியல் தடை,Anatomic barrier
உடற்கூறியல் அம்சம்,Anatomical aspect
உடற்கூறியல் நிபுணர்,Anatomist
உடற்கூறியல்,Anatomy
மூதாதையர் வழித்தோன்றல் வரிசை,Ancestor descendant sequence
மூதாதையர் பரம்பரை,Ancestral lineage
மூதாதையர் வரிசை,Ancestral sequence
அன்சிலோஸ்டோமா,Ancylostoma
ஆண்ட்ரோசியம்,Androecium
ஆண்ட்ரோஜன்,Androgen
இரத்த சோகை,Anemia
அனிமோன்,Anemone
அனூப்ளோயிட்,Aneuploid
அனூப்ளோயிடி,Aneuploidy
ஆஞ்சினா,Angina
ஆஞ்சியோகிராம்,Angiogram
ஆஞ்சியோகிராஃப்,Angiograph
ஆஞ்சியோகிராஃபி,Angiography
ஆஞ்சியோபிளாஸ்டி,Angioplasty
ஆஞ்சியோஸ்பெர்ம்,Angiosperm
ஆஞ்சியோடென்சின்,Angiotensin
ஆஞ்சியோடென்சினோஜென்,Angiotensinogen
ஆங்லர் மீன்,Angler fish
அங்குயினா,Anguina
ஆங்குயிஸ்,Anguis
விலங்கு,Animal
விலங்கு,Animal
விலங்கு சாணம்,Animal dung
கால்நடை வளர்ப்பு,Animal husbandry
விலங்கு காரியோடைப்பிங்,Animal karyotyping
விலங்கு இராச்சியம்,Animal kingdom
விலங்கு திசு,Animal tissue
விலங்கு,Animalia
அனியன்,Anion
அனிசோட்ரோபிக் பேண்ட்,Anisotropic band
அனீலிங்,Annealing
Annelid,Annelid
அன்னெலிடா,Annelida
ஆண்டு வளையம்,Annual ring
வருடாந்திர,Annulated
Annule,Annule
ஒழுங்கற்ற வகை,Anomalous type
அனோபீல்ஸ்,Anopheles
எறும்பு உண்பவர்,Ant eater
விரோதமான,Antagonistic
அண்டார்டிக்,Antarctic
ஆண்டெனா,Antenna
ஆண்டெனா காம்ப்ளக்ஸ்,Antenna complex
ஆண்டெனல் சுரப்பி,Antennal gland
முன்புற (வென்ட்ரல்) சாம்பல் கொம்பு,Anterior (ventral) gray horn
முன்புற ஹைப்போபிஸிஸ்,Anterior hypophysis
முன்புற தலையீட்டு சல்கஸ்,Anterior interventricular sulcus
மகரந்தம்,Anther
மகரந்த கலாச்சாரம்,Anther culture
Anteridium,Antheridium
ஆந்தமாசி,Antherozoid
அந்தோசெரோஸ்,Anthoceros
அந்தோசெரோடோப்சிடா,Anthocerotopsida
ஆந்த்ராக்ஸ்,Anthrax
மானுடவியல் அழிவு,Anthropogenic extinction
மானுடவியல்,Anthropology
பாக்டீரியா எதிர்ப்பு,Antibacterial
ஆண்டிபயாடிக் பென்சிலின்,Antibiotic penicillin
ஆண்டிபயாடிக் எதிர்ப்பு,Antibiotic resistant
நுண்மணி,Antibiotic(s)
ஆன்டிபாடி,Antibody
ஆன்டிபாடி ஜோடி,Antibody couple
ஆன்டிபாடி மத்தியஸ்த நோய் எதிர்ப்பு சக்தி,Antibody mediated immunity
ஆன்டிகோகுலண்ட்,Anticoagulant
ஆன்டிகோடன் லூப்,Anticodon loop
ஆண்டிடிரஸன்,Antidepressant
ஆண்டிடியூரிடிக் ஹார்மோன் (ADH),Antidiuretic hormone (ADH)
ஆன்டிஜென் மரபணு,Antigen gene
ஆன்டிஜென்-ஆன்டிபாடி வளாகம்,Antigen-antibody complex
ஆன்டிஜெனிக் தீர்மானிப்பான்,Antigenic determinant
முரண்பாடு காரணி,Antinutritional factor
ஆக்ஸிஜனேற்ற,Antioxidant
ஆன்டிபோடல் கரு,Antipodal nucleus
எதிர்ப்பு சென்ஸ் ஆர்.என்.ஏ,Anti-sense RNA
ஆன்டிவைரல் புரதம்,Antiviral protein
Antrum,Antrum
அனுக்ளீட்,Anucleate
ஆசனவாய்,Anus
கவலைக் கோளாறு,Anxiety disorder
பெருநாடி வளைவு,Aortic arch
பெருநாடி கேங்க்லியன்,Aortic ganglion
பெருநாடி செமிலுனர் வால்வு,Aortic semilunar valve
பெருநாடி வால்வு,Aortic valve
APC (ANAPHASE ஐ ஊக்குவிக்கும் சிக்கலானது),APC (anaphase promoting complex)
அப்பெலிக் மூதாதையர்,Apelike ancestor
அஃபிட்,Aphid
அப்ரோடைட்,Aphrodite
நுனி ஆதிக்கம்,Apical dominance
அபிகல் பேட்,Apical pad
பொருள்,Apiculture
Apis indica,Apis indica
Applanospore,Aplanospore
அப்லிசியா,Aplysia
அப்போகார்பே,Apocarpae
அப்போகார்பஸ்,Apocarpous
அப்போகார்பஸ் கருப்பை,Apocarpous ovary
அபோக்ரைன் சுரப்பி,Apocrine gland
அப்போஎன்சைம்,Apoenzyme
Apomict,Apomict
Apomixis,Apomixis
அபோபிளாசம்,Apoplasm
அப்போபிளாஸ்டிக் பாதை,Apoplastic pathway
அப்போப்டொசிஸ்,Apoptosis
கருவி,Apparatus
Appendicular எலும்புக்கூட்டை,Appendicular skeleton
சீக்கத்தின் பின் இணைப்பு,Appendix of the caecum
ஆப்பிள் நத்தை,Apple snail
மீன்வளர்ப்பு,Aquaculture
அக்வாபோரின்,Aquaporin
நீர்வாழ் ஆம்பிபியன்,Aquatic amphibian
நீர்வாழ் வடிவம்,Aquatic form
நீர்வாழ் வாழ்விடம்,Aquatic habitat
நீர்வாழ் உயிரினம்,Aquatic organism
நீர்வாழ் ஆலை,Aquatic plant
நீர்வாழ் சுவாசம்,Aquatic respiration
நீர்வாழ் திரவம்,Aqueous fluid
அக்வஸ் முமல்,Aqueous humur
நீர்வாழ் உள்-செல்லுலார் திரவம்,Aqueous intra-cellular fluid
அக்வஸ் மாதிரி,Aqueous sample
நீர் பத திரவம்,Aqueous solution
அக்விலா,Aquila
அரபிடோப்சிஸ்,Arabidopsis
அராக்னிடா,Arachnida
அராக்னாய்டு,Arachnoid
அரேனியஸ்,Araneus
ஆர்பெசண்ட்,Arborescent
ஆர்போரசென்ட் லைகோபாட்,Arborescent lycopod
தொல்பொருள்,Archaebacteria
ஆர்க்கிகோனியம்,Archegonium
தீவுக்கூட்டம்,Archipelago
ஆர்க்டிக்,Arctic
ஆர்க்டிக் டெர்ன்,Arctic tern
ஆர்க்டிக் டன்ட்ரா,Arctic tundra
ஆர்டியா,Ardea
அரியாலர் திசு,Areolar tissue
ஆர்கேமோன் (முட்கள் நிறைந்த பாப்பி),Argemone (prickly poppy)
ஆர்கேமோன் மெக்ஸிகானா,Argemone mexicana
அர்ஜினைன்,Arginine
வறண்ட பகுதி,Arid region
அரிஸ்டோலோச்சியாசி,Aristolochiaceae
கை உணவு,Arm feeding
இராணுவப்புழு,Armyworm
Rioid,Aroid
நறுமணம்,Aroma
கைது செய்பவர்,Arrester
ஆர்ட்டெமிசியா,Artemisia
தமனி சிஸ்டாலிக்,Arterial systolic
தமனி கிளரோடிக்,Arteriosclerotic
ஆர்த்ரோபாட்,Arthropod
கீல்வாதம்,Arthritis
ஆர்த்ரோபோடா,Arthropoda
குருத்தெலும்பு மூட்டு,Articular cartilage
வெளிப்படுத்துங்கள்,Articulate
வெளிப்படுத்தப்பட்டது,Articulated
செயற்கை இதயமுடுக்கி,Artificial pacemaker
செயற்கை தேர்வு,Artificial selection
ஆர்டோகார்பஸ் ஹீட்டோரோபில்லஸ்,Artocarpus heterophyllus
அஸ்பெஸ்டாஸ் ஃபைபர்,Asbestos fibre
அஸ்பெஸ்டோசிஸ்,Asbestosis
அஸ்காரிஸ்,Ascaris
ஏறும் குரோமடோகிராபி,Ascending chromatography
ஆஸ்கிடியா,Ascidia
ஆஸ்கிடியன்,Ascidian
அஸ்கோகார்ப்,Ascocarp
அஸ்கோமைசீட்ஸ்,Ascomycetes
அஸ்கார்பிக் அமிலம்,Ascorbic acid
அஸ்கோஸ்போர்,Ascospore
அஸ்கஸ்,Ascus
அசெப்டேட்,Aseptate
ஓரினச்சேர்க்கை இனப்பெருக்கம்,Asexual reproduction
ஓரினச்சேர்க்கை வித்து,Asexual spore
அஸ்பாரகின் சின்தேடேஸ்,Asparagine synthetase
அஸ்பாரகஸ்,Asparagus
அஸ்பார்டிக் அமிலம்,Aspartic acid
அஸ்பெர்கிலஸ் நைஜர்,Aspergillus niger
அஸ்பெர்கிலஸ்,Aspergillus
அஸ்போடெலஸ் டெனுஃபோலியஸ்,Asphodelus tenuifolius
ஆஸ்பிரின்,Aspirin
மதிப்பீடு,Assay
அசெம்பிளேஜ்,Assemblage
ஒருங்கிணைப்பு செயல்திறன்,Assimilation efficiency
ஒருங்கிணைப்பு வேர்,Assimilatory root
உதவி இனப்பெருக்க நுட்பம்,Assisted reproductive technique
சங்க பகுதி,Association area
அசோசியேட்டிவ் சிம்பியோசிஸ்,Associative symbiosis
வகைப்படுத்தல் மற்றும் மறுசீரமைப்பு,Assortment and recombination
காரணியின் வகைப்படுத்தல்,Assortment of factor
ஆஸ்டாகஸ்,Astacus
அஸ்டெரேசி,Asteraceae
நட்சத்திரங்கள்,Asterales
சிறுகோள்,Asteroid
ஆஸ்துமா,Asthma
அஸ்ட்ராகலஸ் கம்மிஃபர்,Astragalus gummifer
நிழலிடா சுழல் கம்பம்,Astral spindle pole
வானியலாளர்,Astronomer
சமச்சீரற்ற காரியோடைப்,Asymmetric karyotype
சமச்சீரற்ற,Asymmetrical
Aththeromatous,Atheromatous
பெருந்தமனி தடிப்பு,Atherosclerosis
பெருந்தமனி தடிப்பு தகடு,Atherosclerotic plaque
அட்லஸ்,Atlas
அட்லஸ் முதுகெலும்பு,Atlas vertebra
வளிமண்டலம்,Atmosphere
வளிமண்டல,Atmospheric
வளிமண்டல உள்ளீடுகள்,Atmospheric inputs
அணு சக்தி நுண்ணோக்கி,Atomic force microscope
அணு,Atom
ATP ASE,ATP ase
ஏட்ரியல் சுருக்கம்,Atrial contraction
ஏட்ரியல் குறு நடுக்கம்,Atrial fibrillation
ஏட்ரியல் நேட்ரியூரிடிக் காரணி (ANF),Atrial natriuretic factor (ANF)
ஏட்ரியல் முனை,Atrial node
ஏட்ரியல் சிஸ்டோல்,Atrial systole
அட்ரியோவென்ட்ரிகுலர் முனை,Atrioventricular node
அட்ரியோவென்ட்ரிகுலர் வால்வு,Atrioventricular valve
ஏட்ரியம் (பீட்ரியா),Atrium (peatria)
ஏட்ரியம் (பீட்ரியா),Atrium (peatria)
அட்ரோபா பெல்லடோனா,Atropa belladonna
அட்ராபி,Atrophy
அட்ரோபின் ஆல்கலாய்டு,Atropine alkaloid
இணைப்பு தட்டு,Attachment plate
செவிவழி புறணி,Auditory cortex
ஆலோசிரா,Aulosira
ஆரிகல் (ஆரிகுலா),Auricle (auricula)
ஆரிகல் (ஆரிகுலா),Auricle (auricula)
ஆரிகல் (ஆரிகுலா),Auricle (auricula)
ஆரிகல் (ஆரிகுலா),Auricle (auricula)
ஆஸ்ட்ராலோபிதீசின்கள்,Australopithecines
தன்னியக்கவியல்,Autecology
தானியங்கு டி.என்.ஏ சீக்வென்சர்,Automated DNA sequencer
ஆட்டோபோலிப்ளோயிட்,Autopolyploid
ஆட்டோஅனலைசர்,Autoanalyser
தன்னியக்க,Autogamy
தன்னியக்க,Autogamy
ஆட்டோகிராஃப்ட்,Autograft
தன்னுடல் தாங்குதிறன் நோய்,Autoimmune disease
ஆட்டோமொபைல் வெளியேற்றம்,Automobile exhaust
தன்னியக்க (விருப்பமில்லாத) நரம்பு மண்டலம்,Autonomic (involuntary) nervous system
தன்னியக்க லைசோசோம்,Autophagic lysosome
ஆட்டோப்ளோயிட்,Autoploid
ஆட்டோபோடியம்,Autopodium
ஆட்டோபோலிப்ளோயிட்,Autopolyploid
ஆட்டோசோமல் குரோமோரோம்,Autosomal chromorome
ஆட்டோசோமால் மரபணு,Autosomal gene
ஆட்டோசோம்,Autosome
ஆட்டோடெட்ராப்ளோயிட்,Autotetraploid
தன்னியக்கவியல்,Autotomy
ஆட்டோட்ரிப்ளோயிட் வகை,Autotriploid variety
ஆட்டோட்ரோஃப்,Autotroph
இலையுதிர் மரம்,Autumn wood
ஆக்சனோகிராஃப்,Auxanograph
ஆக்சனோமீட்டர்,Auxanometer
இறுதியில் வளர்ச்சி,Auxetic growth
ஆக்சின்,Auxin
ஆக்சோட்ரோஃப்,Auxotroph
ஒரு வி மூட்டை,A V bundle
ஏவ்ஸ்,Aves
அவிசெனியா,Avicennia
Awn,Awn
அச்சு எலும்புக்கூடு,Axial skeleton
அச்சு,Axile
அச்சு மொட்டு,Axillary bud
அச்சு,Axillary
அச்சு முதுகெலும்பு,Axis vertebra
ஆக்சன்,Axon
அச்சு சவ்வு,Axonal membrane
அச்சு,Axonally
அச்சு,Axoneme
அசோஸ்பிரில்லம்,Azospirillum
அசோடோபாக்டர்,Azotobacter
அசைகஸ் நரம்பு,Azygous vein
பேசிலஸ் ஆந்த்ராசிஸ்,Bacillus anthracis
பேசிலஸ் துரிங்கென்சிஸ் (பி.டி),Bacillus thuringiensis (Bt)
பேசிலஸ்,Bacillus
பாக்டீரியா,Bacteria
பாக்டீரியா,Bacterial
பாக்டீரியா செயற்கை குரோமோசோம் (பிஏசி),Bacterial artificial chromosome (BAC)
பாக்டீரியா நோய்க்கிருமி,Bacterial pathogen
பாக்டீரியா பிளாஸ்மா சவ்வு,Bacterial plasma membrane
பாக்டீரியா திரிபு,Bacterial strain
நுண்ணுயிரியல்,Bacteriological
பாக்டீரியாவியல் பெயரிடல்,Bacteriological nomenclature
பாக்டீரியோபேஜ்,Bacteriophage
நுண்ணுயிர்,Bacterium
பாகுலோவைரஸ்,Baculovirus
பேக்கிங்,Bagging
பாலெனோப்டெரா,Balaenoptera
சீரான பாலிமார்பிசம்,Balanced polymorphism
சமநிலை தேர்வு,Balancing selection
பலனோகுளோசஸ்,Balanoglossus
பாலனஸ்,Balanus
பலவுஸ்டா,Balausta
பந்து மற்றும் சாக்கெட் கூட்டு,Ball and socket joint
பலூன் கேதரைசேஷன்,Balloon catherization
பாம் எச் i,Bam H I
மூங்கில் தண்டு,Bamboo-shoot
பேண்டட் ஆன்டீட்டர்,Banded anteater
பேண்டிங் நுட்பம்,Banding technique
பார்பிட்யூரேட்,Barbiturate
வெற்று பாறை,Bare rock
தடை,Barrier
பட்டை,Bark
பர்னக்கிள்,Barnacle
அடித்தள உடல்,Basal body
அடித்தள அட்டை,Basal cover
பாசல் கேங்க்லியன்,Basal ganglion
அடித்தள திண்டு,Basal pad
அடித்தளம்,Base
தள ஜோடி,Base pair
அடித்தள சவ்வு,Basement membrane
பாசிடியோகார்ப்,Basidiocarp
பாசிடியோமைசீட்ஸ்,Basidiomycetes
பாசிடியோஸ்போர்,Basidiospore
பாசிடியம்,Basidium
அடிப்படை,Basifixed
துளசி சவ்வு,Basilar membrane
பாசிபெட்டல் இன்டர்னோட் ஆர்டர்,Basipetal internode order
பாசோபில்,Basophil
பாசோபிலிக்,Basophilic
பேட்ஸியன் மிமிக்ரி,Batesian mimicry
குளியல் கடற்பாசி,Bath sponge
குளியல் கடற்பாசி,Bath sponge
