Odiya,Kannada
ତ୍ୱରକ,ವೇಗವರ್ಧಕ
ଆକ୍ସିଲେରୋମିଟର,ವೇಗವರ್ಧಕ
ସମ୍ମାନ,ಪ್ರಿಸ್ಟ್ರೆಸರ್
ଗ୍ରହଣୀୟ ପରୀକ୍ଷା,ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ
ଗ୍ରହଣକାରୀ,ಸ್ವೀಕರಿಸುವವರು
ଦାତା ଅଣୁ,ದಾನಿ ಅಣು
"ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |","ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶಿಸುವಿಕೆ"
ଅଭିଗମ୍ୟତା,ಪ್ರವೇಶಿಸುವಿಕೆ
"ଅତିରିକ୍ତ, ଆନୁଷଙ୍ଗିକ, ଆନୁଷଙ୍ଗିକ (v।), ଆସେସୋରିଜ୍ (ଏଡି।)","ಹೆಚ್ಚುವರಿ, ಪರಿಕರ, ಪರಿಕರ (ವಿ.), ಪರಿಕರಗಳು (ಸಂ)"
ପ୍ରବେଶ ସମୟ,ಪ್ರವೇಶ ಸಮಯ
ପରିଦର୍ଶକ ତ୍ରୁଟି |,ಸಂದರ್ಶಕರ ದೋಷ
ଆଡଜଷ୍ଟେସନ୍,ಹೊಂದಾಣಿಕೆ
ସଂଗୃହିତ,ಸಂಗ್ರಹಿಸಲಾಗಿದೆ
"ଜମା, ଜମା","ಶೇಖರಣೆ, ಶೇಖರಣೆ"
ଜମାକାରୀ,ಸಂಚಯಕ
ସଠିକତା,ನಿಖರತೆ
ବାସ୍ତବତା,ರಿಯಾಲಿಟಿ
ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |,ವರ್ಣರಹಿತ ಮಸೂರ
ଆକ୍ରୋମାଟିକ୍ |,ವರ್ಣರಹಿತ
ଆକ୍ରୋମାଟିଟି,ವರ್ಣರಹಿತತೆ
ଶବ୍ଦ,ಅಕೌಸ್ಟಿಕ್
ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |,ಧ್ವನಿ ನಿರೋಧಕ
ଆକାଶବାଣୀ ଫୋନନ୍ |,ಅಕೌಸ್ಟಿಕ್ ಫೋನಾನ್
ଧ୍ୱନି ଏକକ |,ಧ್ವನಿ ಘಟಕ
ଶବ୍ଦ,ಅಕೌಸ್ಟಿಕ್
ଶବ୍ଦ ଜେନେରେଟର,ಧ್ವನಿ ಜನರೇಟರ್
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
ସକ୍ରିୟ,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
ସକ୍ରିୟ ଶକ୍ତି,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
"ସକ୍ରିୟକାରୀ, ସକ୍ରିୟକାରୀ |","ಆಕ್ಟಿವೇಟರ್, ಆಕ್ಟಿವೇಟರ್"
ସକ୍ରିୟ |,ಸಕ್ರಿಯ
ସକ୍ରିୟତା,ಕ್ರಿಯಾಶೀಲತೆ
ପ୍ରକୃତ ଚାପ,ನಿಜವಾದ ಒತ್ತಡ
ଫୁସ୍ଫୁସ୍,ಗುಸುಗುಸು
ସଂକ୍ଷେପରେ,ಒಟ್ಟುಗೂಡಿಸಲು
"ରାଶି, ଯୋଗ, ସମୁଦାୟ (ଏଡି।), ଯୋଗୀ (v।)","ಮೊತ್ತ, ಸಂಕಲನ, ಒಟ್ಟು (ed.), ಸಂಯೋಜಕ (v.)"
"ସଂଯୋଗ ସ୍ୱର, ଅତିରିକ୍ତ ସ୍ୱର (ସ୍ ow ର)","ಸಂಯೋಜಕ ಸ್ವರ, ಹೆಚ್ಚುವರಿ ಸ್ವರ (ಸ್ವರ)"
ଯୋଗୀ,ಸಂಯೋಜಕ
ଆଡିଶିନ୍ |,ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
ଆଡେସିଭ୍ ଶକ୍ତି |,ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ
adiabat,ಅಡಿಯಾಬಟ್
ଆଡିଆବାଟିକ୍ |,ಅಡಿಯಾಬಾಟಿಕ್
ଉତ୍ତାପ ଇନସୁଲେଟିଂ,ಶಾಖ ನಿರೋಧಕ
ସଂଲଗ୍ନ,ಬಾಂಧವ್ಯ
ନିୟନ୍ତ୍ରିତ,ಹೊಂದಾಣಿಕೆ
ଅନୁପ୍ରବେଶ,ನುಗ್ಗುವಿಕೆ
ବିଜ୍ or ାପନ,ಹೊರಹೀರುವಿಕೆ
ଆଗକୁ,ಮುಂದೆ
ପ୍ରଗତିଶୀଳ |,ಪ್ರಗತಿಪರ
"akashi, air (v।), aerial (ed।)","ಆಕಾಶಿ, ವಾಯು (ವಿ.), ವೈಮಾನಿಕ (ಸಂ)"
ଆଣ୍ଟେନା ଷ୍ଟ୍ରିମ୍ |,ಆಂಟೆನಾ ಸ್ಟ್ರೀಮ್
ବାୟୁ ସର୍ବେକ୍ଷଣ |,ವೈಮಾನಿಕ ಸಮೀಕ್ಷೆ
ବାୟୁ ବେଗ,ಗಾಳಿಯ ವೇಗ
ଏରୋଡାଇନାମିକ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಗುಣಾಂಕ
ଏରୋଡାଇନାମିକ୍ |,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ
ଏରୋଡାଇନାମିକ୍ସ |,ವಾಯುಬಲವಿಜ್ಞಾನ
ଏରୋନେଟିକାଲ୍ |,ಏರೋನಾಟಿಕಲ್
ଏରୋନେଟିକ୍ସ |,ಏರೋನಾಟಿಕ್ಸ್
ବାୟୁ ନାଡ,ಗಾಳಿಯ ನಾಡಿ
"ବାୟୁମଣ୍ଡଳ, ଗ୍ୟାସୋସଫର |","ವಾತಾವರಣ, ಅನಿಲಗೋಳ"
ଫୋକସ୍ ସିଷ୍ଟମ୍ |,ಕೇಂದ್ರೀಕೃತ ವ್ಯವಸ್ಥೆ
ପଛ ଇଗ୍ନିସନ୍ |,ಹಿಂಭಾಗದ ದಹನ
ପଛ ଆଲୋକ,ಹಿಂಬದಿ ಬೆಳಕು
ସଂକଟ,ಕನ್ಕ್ಯುಶನ್
"ବୟସ, ବୟସ, ବୟସ, ଯୁଗ (ଏଡି।), ସମୟ (ver।), ସମୟ, ସମୟ ଦ୍ୱାରା ପ୍ରଭାବିତ ହେବା |","ವಯಸ್ಸು, ವಯಸ್ಸು, ವಯಸ್ಸು, ಯುಗ (ed.), ಸಮಯವನ್ನು ಪ್ರಭಾವಿಸಲು (ver.), ಸಮಯ, ಸಮಯದಿಂದ ಪ್ರಭಾವಿತವಾಗಿರುತ್ತದೆ"
ସମୟ ପ୍ରଭାବିତ |,ಸಮಯ ಪ್ರಭಾವಿತವಾಗಿದೆ
"ବାର୍ଦ୍ଧକ୍ୟ, ବାର୍ଦ୍ଧକ୍ୟ","ವಯಸ್ಸಾದ, ವಯಸ್ಸಾದ"
ସମୟ ପ୍ରଭାବ,ಸಮಯದ ಪರಿಣಾಮ
ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା,ಸಮಯ ಪರಿಣಾಮ ಪರೀಕ್ಷೆ
ମାଧ୍ୟାକର୍ଷଣ |,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಲ್ಲದ
ପୁନ iliation ନିର୍ମାଣ,ಸಮನ್ವಯ
"ବାୟୁବାହୀ ରାଡାର, ଏରିଆଲ୍ ରାଡାର୍ |","ವಾಯುಗಾಮಿ ರಾಡಾರ್, ವೈಮಾನಿಕ ರಾಡಾರ್"
"ଏରିଲ୍ ଟାର୍ଗେଟ୍, ଏରିଲ୍ ଟାର୍ଗେଟ୍ |","ವೈಮಾನಿಕ ಗುರಿ, ವೈಮಾನಿಕ ಗುರಿ"
ବାୟୁ ଶ୍ ir ାସକ୍ରିୟା,ವಾಯು ಉಸಿರಾಟಕಾರಕ
ଶୀତତାପ ନିୟନ୍ତ୍ରଣ,ಹವಾನಿಯಂತ್ರಣ
ଏୟାରକ୍ରାଫ୍ ଟ୍ରାନ୍ସଫର୍ମର |,ಏರ್ಕ್ರೂ ಟ್ರಾನ್ಸ್ಫಾರ್ಮರ್
ବିମାନ,ವಿಮಾನ
ଶ୍ରେଣୀବଦ୍ଧତା |,ಜೋಡಣೆ
ଶ୍ରେଣୀବଦ୍ଧ ତ୍ରୁଟି |,ಜೋಡಣೆ ದೋಷ
ଲାଇଭ୍ ସର୍କିଟ୍ |,ಲೈವ್ ಸರ್ಕ್ಯೂಟ್
ପୂର୍ଣ୍ଣ ଗ୍ଲାସ୍ ଟ୍ୟୁବ୍ |,ಪೂರ್ಣ ಗಾಜಿನ ಕೊಳವೆ
ପୁରା ଧାତୁ ଟ୍ୟୁବ୍ |,ಸಂಪೂರ್ಣ ಲೋಹದ ಕೊಳವೆ
ଠିକ କରିବା ପାଇଁ,ಸರಿಪಡಿಸಲು
"ମିସ୍ରାଟୁ (ଏଡି।), ମିଶ୍ରଭାନ୍ (କ୍ର।)","ಮಿಶ್ರತು (ಸಂ), ಮಿಶ್ರತ್ವಾನ್ (ಸಿಆರ್.)"
ମିଶ୍ର,ಮಿಶ್ರತ್ವಾನ್
ସର୍ବବ୍ୟାପୀ ମାଧ୍ୟମ |,ಸರ್ವತ್ರ ಮಾಧ್ಯಮ
omni ଆଣ୍ଟେନା |,ಓಮ್ನಿ ಆಂಟೆನಾ
ଆଲମାନାକ |,ಪಂಚಾಂಗ
ଆଲଫା,ಆಲ್ಫಾ
ଆଲଫା-କାର୍ଯ୍ୟକଳାପ |,ಆಲ್ಫಾ ಚಟುವಟಿಕೆ
ବର୍ଣ୍ଣମାଳା,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್
ଆଲଫା ରଶ୍ମି |,ಆಲ್ಫಾ ಕಿರಣ
ପରିବର୍ତ୍ତନ କରନ୍ତୁ |,ಬದಲಾವಣೆ
"ବିକଳ୍ପ, ବିକଳ୍ପ","ಪರ್ಯಾಯ, ಪರ್ಯಾಯ"
ବିକଳ୍ପ,ಆವರ್ತಕ
ଉଚ୍ଚତା,ಅಲ್ಟಿಮೀಟರ್
ଉଚ୍ଚତା,ಅಲ್ಟಿಮೀಟರ್
ଉଚ୍ଚତା,ಆಲ್ಟೈಮೆಟ್ರಿ
"ଉଚ୍ଚତା, ଉଚ୍ଚତା, ଉଚ୍ଚତା, ଉଚ୍ଚତା |","ಎತ್ತರ, ಎತ್ತರ, ಎತ್ತರ, ಎತ್ತರ"
ଗାଣିତିକ ଯୁକ୍ତିଯୁକ୍ତ ୟୁନିଟ୍ (ALU),ಅಂಕಗಣಿತದ ತಾರ್ಕಿಕ ಘಟಕ (ALU)
amaget ନିୟମ |,ಅಮೇಟ್ ನಿಯಮ
ପରିବେଶ,ಪರಿಸರ
ଆମିକ୍ରନ୍ |,ಅಮಿಕ್ರಾನ್
ଆମ୍ମିଟର,ವಿದ್ಯುತ್ ಪ್ರವಾಹ ಮಾಪಕ
ଆମ୍ପେର୍,ಆಂಪಿಯರ್
ampere-law,ಆಂಪಿಯರ್-ಕಾನೂನು
ଆମ୍ଫିବିଆନ୍ ଆୟନ |,ಉಭಯಚರ ಅಯಾನು
ବୃଦ୍ଧି,ವರ್ಧನೆ
ଏମ୍ପ୍ଲିଫାୟର୍,ಆಂಪ್ಲಿಫಯರ್
"କୋଣ, ପରିମାପ","ಕೋನ, ಆಯಾಮ"
a। M. U. (ପରମାଣୁ ମାସ ଏକକ),ಎ. ಎಂ.ಯು. (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ)
ସୁସଙ୍ଗତ,ಹೊಂದಬಲ್ಲ
ଅନୁରୂପ,ಸಾದೃಶ್ಯ
ବିଶ୍ଳେଷକ |,ವಿಶ್ಲೇಷಕ
ବିଶ୍ଳେଷଣ |,ವಿಶ್ಲೇಷಣೆ
ବିଶ୍ଳେଷଣାତ୍ମକ |,ವಿಶ್ಲೇಷಣಾತ್ಮಕ
ଅଣ-ବିନ୍ଦୁ |,ಪಾಯಿಂಟ್ ಅಲ್ಲದ
ଅସନ୍ତୁଷ୍ଟ |,ಅಸಂಗತ
ଏବଂ ଦ୍ୱାର,ಮತ್ತು ಬಾಗಿಲು
ଅଣ-ଆକାଶବାଣୀ |,ಅಕೌಸ್ಟಿಕ್ ಅಲ್ಲದ
ଅନୋମାଲ୍ ଇଲାସ୍ଟିସିଟି |,ಅಸಂಗತ ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ
ଆନ୍ହାଇଡ୍ରସ୍,ಜಲರಹಿತ
କୋଣ,ಕೋನ
ଆଙ୍ଗଷ୍ଟ୍ରମ୍ ୟୁନିଟ୍ |,ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ
କୋଣାର୍କ |,ಕೋನೀಯ
ପ୍ରୋଟ୍ରାକ୍ଟର ଭର୍ନିଅର୍ |,ಪ್ರೊಟ್ರಾಕ್ಟರ್ ವರ್ನಿಯರ್
ବିବାଦୀୟ |,ವಿವಾದಾತೀತ
ସମ୍ମାନଜନକ |,ಗೌರವವಿಲ್ಲದ
ଆକ୍ରୋମାଟିକ୍ ଚୁମ୍ବକୀୟକରଣ |,ವರ್ಣರಹಿತ ಕಾಂತೀಕರಣ
ଅଳସୁଆ |,ಆಲಸ್ಯ
ଆୟନ,ಅಯಾನ್
ଅସୀମିତ |,ಅಸಮ್ಮಿತ
ଆଇସୋଟ୍ରୋପିକ୍ |,ಐಸೊಟ್ರೊಪಿಕ್
ଆଇସୋଟ୍ରୋପିଜିମ୍ |,ಐಸೊಟ್ರೋಪಿಸಮ್
ବିଲୋପ,ಅಳಿಸುವಿಕೆ
ଷଡଯନ୍ତ୍ରକାରୀ,ನಿರೂಪಕ
anode,ಆನೋಡ್
ଆନାଡାଇଜେସନ୍ |,ಆನೋಡೈಸೇಶನ್
ଅସଙ୍ଗତ,ಅಸಮಂಜಸ
ଅପ୍ଟିକାଲ୍ ସିଷ୍ଟମ୍ |,ಆಪ್ಟಿಕಲ್ ಸಿಸ್ಟಮ್
ଆଣ୍ଟେନା |,ಆಂಟೆನಾ
ଆଣ୍ଟିବାୟର୍,ಆಂಟಿಬೆರಿಯನ್
ଆଣ୍ଟି-ବଣ୍ଡିଂ ଗୁଣ |,ವಿರೋಧಿ ಬಂಧ ಆಸ್ತಿ
କାଉଣ୍ଟର ବଣ୍ଡ |,ಕೌಂಟರ್ ಬಾಂಡ್
ଓଲଟା ଶକ୍ତି |,ಹಿಮ್ಮುಖ ಶಕ್ತಿ
ଡାଇମାଗ୍ନେଟିକ୍ |,ಡಯಾಮ್ಯಾಗ್ನೆಟಿಕ್
ହୀରା ଚୁମ୍ବକୀୟ ପଦାର୍ଥ |,ಡಯಾಮ್ಯಾಗ್ನೆಟಿಕ್ ವಸ್ತು
ଆଣ୍ଟି-ଇନଫ୍ଲାମେଟୋରୀ |,ವಿರೋಧಿ ಉರಿಯೂತ
ଆଣ୍ଟିଗ୍ରାଭିଟି,ಗುರುತ್ವ ವಿರೋಧಿ
ଆଣ୍ଟିଲାମଡା କଣିକା |,antilamda ಕಣ
ଆଲେଲେପଟନ୍ |,ಅಲೆಲೆಪ್ಟನ್
ଡାଇମାଗ୍ନେଟିକ୍ |,ಕಾಂತೀಯ
ଆଣ୍ଟିମାଟର୍ |,ಆಂಟಿಮಾಟರ್
ଆଣ୍ଟି ମିସାଇଲ୍,ವಿರೋಧಿ ಕ್ಷಿಪಣಿ
ଆଣ୍ଟିନାଟ୍ରନ୍ |,ಆಂಟಿನ್ಯೂಟ್ರಾನ್
ପଲସିଂ,ಮಿಡಿಯುತ್ತಿದೆ
ଆଣ୍ଟିନ୍ୟୁକ୍ଲିଅନ୍ |,ಆಂಟಿನ್ಯೂಕ್ಲಿಯಾನ್
ଆଣ୍ଟିପାର୍ଟିକଲ୍ |,ಪ್ರತಿಕಣ
ଆଣ୍ଟିପ୍ରୋଟନ୍ |,ಆಂಟಿಪ್ರೋಟಾನ್
ଆଣ୍ଟିରେଫ୍ଲେକ୍ଟିଭ୍ |,ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ
ଆଣ୍ଟିସାଇମେଟ୍ରିକ୍ |,ಆಂಟಿಸಮ್ಮಿತೀಯ
ପୁନରାବୃତ୍ତି ନୁହେଁ |,ಮರುಕಳಿಸುವುದಿಲ್ಲ
ଆନାକ୍ରୋନିଜିମ୍ |,ಅನಾಕ್ರೊನಿಸಮ್
ଛିଦ୍ର ହୋଇଥିବା ସ୍କାନିଂ ଡିସ୍କ |,ರಂದ್ರ ಸ್ಕ್ಯಾನಿಂಗ್ ಡಿಸ್ಕ್
ଦ୍ୱାରକ,ದ್ವಾರಕ್
"ଉପର, ଉପର, ଆଗ","ಮೇಲ್ಭಾಗ, ಮೇಲ್ಭಾಗ, ಮುಂಭಾಗ"
"ସୂର୍ଯ୍ୟ ଉଚ୍ଚ, ସୂର୍ଯ୍ୟ ଉଚ୍ଚ, ଆପସୋର୍ |","ಸೂರ್ಯ ಅಧಿಕ, ಸೂರ್ಯ ಅಧಿಕ, ಅಪ್ಸೌರ್"
ଉଦାସୀନ ଲେସ୍ |,ನಿರಾಸಕ್ತಿ ಲೇಸ್
ଅଣ-ଦୁ hetic ଖଦାୟକ |,ಕರುಣಾಜನಕವಲ್ಲದ
ଅକ୍ଷମତା |,ಅಂಗವೈಕಲ್ಯವಲ್ಲದ
ବହୁତ ଆକ୍ରୋମାଟିକ୍ |,ಬಹಳ ವರ್ಣರಹಿತ
"ଭୂମି ଉଚ୍ଚ, ଆପୋଜି |","ಭೂಮಿ-ಎತ್ತರ, ಅಪೋಜಿ"
"ଅଣପୋଲାର୍, ସର୍କମ୍ପୋଲାର୍ |","ಧ್ರುವೀಯವಲ್ಲದ, ವೃತ್ತಾಕಾರದ"
ପାରାପୋଲାରିଟି |,ಪರಧ್ರುವೀಯತೆ
ଉପକରଣ,ಸಾಧನ
"ଭର୍ଚୁଆଲ୍, ଭିଜୁଆଲ୍ |","ವಾಸ್ತವ, ದೃಶ್ಯ"
ଦୃଶ୍ୟମାନ ସୂର୍ଯ୍ୟ |,ಗೋಚರ ಸೂರ್ಯ
ଭିଜୁଆଲ୍ ସମୟ |,ದೃಶ್ಯ ಸಮಯ
ଉଦୀୟମାନ ରୂପ,ಹೊರಹೊಮ್ಮುವ ನೋಟ
ଆବେଦନ,ಅಪ್ಲಿಕೇಶನ್
ପ୍ରଯୁଜ୍ୟତା |,ಅನ್ವಯಿಸುವಿಕೆ
ପ୍ରୟୋଗ ହୋଇଛି |,ಅನ್ವಯಿಸಲಾಗಿದೆ
ପର୍ଯ୍ୟବେକ୍ଷଣଯୋଗ୍ୟ |,ಗಮನಿಸಬಹುದಾದ
ଉପାୟ,ಅನುಸಂಧಾನ
"ପାଖାପାଖି, ପାଖାପାଖି","ಹತ್ತಿರ, ಸುಮಾರು"
ଆନୁମାନିକତା,ಅಂದಾಜು
ବାଷ୍ପ ଚାପ,ಆವಿಯ ಒತ್ತಡ
ସ୍ବେଚ୍ଛାକୃତ,ಸ್ವಯಂಪ್ರೇರಿತ
"ଆର୍କ ଫର୍ଣ୍ଣେସ୍, ଆର୍କ ଫର୍ଣ୍ଣେସ୍ |","ಆರ್ಕ್ ಫರ್ನೇಸ್, ಆರ್ಕ್ ಫರ್ನೇಸ್"
ଆର୍କିମିଡିସ୍ ନିୟମ |,ಆರ್ಕಿಮಿಡಿಸ್ ಕಾನೂನು
ସ୍ଥାପତ୍ୟ ଆକାଶବାଣୀ |,ವಾಸ್ತುಶಿಲ್ಪದ ಅಕೌಸ್ಟಿಕ್ಸ್
ଆର୍କ ଦୀପ,ಆರ್ಕ್ ದೀಪ
ଆର୍କ-ସ୍ପେକ୍ଟ୍ରମ୍ |,ಆರ್ಕ್-ಸ್ಪೆಕ್ಟ್ರಮ್
"କ୍ଷେତ୍ର, କ୍ଷେତ୍ର","ಪ್ರದೇಶ, ಪ್ರದೇಶ"
"ଆଞ୍ଚଳିକ, ଆଞ୍ଚଳିକ","ಪ್ರಾದೇಶಿಕ, ಪ್ರಾದೇಶಿಕ"
"ବାହୁ, ବାହୁ, ଶାଖା |","ತೋಳು, ತೋಳು, ಶಾಖೆ"
ଶ୍ରଦ୍ଧାଳୁ,ಹವ್ಯಾಸಿ
"ଆରେ, ଆରେ","ವ್ಯೂಹ, ವ್ಯೂಹ"
ରସିଦ,ರಿಸೀವರ್
ଉଚ୍ଚାରଣ ସ୍ୱଚ୍ଛତା |,ಉಚ್ಚಾರಣೆ ಸ್ಪಷ್ಟತೆ
ସିନ୍ଥେଟିକ୍ |,ಸಂಶ್ಲೇಷಿತ
କୃତ୍ରିମ ସଂକ୍ରମଣ,ಕೃತಕ ರೂಪಾಂತರ
ଆରୋହଣ,ಆರೋಹಣ
ଆରୋହଣ,ಆರೋಹಣ
ଆରୋହଣ,ಹತ್ತುವುದು
ଆଗୋଲି,ಆಗೋಲಿ
ଏକୀକରଣ,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
ର ସେଟ୍,ಜೊತೆ
"ଏକତ୍ର କରିବା, ଏକତ୍ର କରିବା |","ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು"
"ଏକତ୍ର କରିବା, ଏକତ୍ର କରିବା, ଏକତ୍ର କରିବା |","ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು"
ସଠିକତା ଆକଳନ,ನಿಖರವಾದ ಅಂದಾಜು
ନିର୍ଦ୍ଦିଷ୍ଟ (କ୍ୱାଣ୍ଟମ୍ ସଂଖ୍ୟା) ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |,ನಿರ್ದಿಷ್ಟಪಡಿಸಿದ (ಕ್ವಾಂಟಮ್ ಸಂಖ್ಯೆಗಳ) ವಿಶೇಷಣಗಳು
"ସମ୍ବନ୍ଧୀୟ, ଆସୋସିଏଟିଭ୍, କଞ୍ଜୁଗେଟ୍ |","ಸಂಬಂಧಿತ, ಸಹಾಯಕ, ಸಂಯೋಜಿತ"
ସ୍ ow ର ଶବ୍ଦ,ಸ್ವರ ಧ್ವನಿ
ସ୍ୱୟଂଚାଳିତ ମଲ୍ଟିଭାଇବ୍ରେଟର |,ಸ್ವಯಂಚಾಲಿತ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
asthenic,ಅಸ್ತೇನಿಕ್
"ନିବୃତ୍ତତା, astigmatism |","ಇಂದ್ರಿಯನಿಗ್ರಹ, ಅಸ್ಟಿಗ್ಮ್ಯಾಟಿಸಮ್"
ସ୍ପେସ୍ ଭ୍ରମଣ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |,ಬಾಹ್ಯಾಕಾಶ ಪ್ರಯಾಣ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ |,ಖಗೋಳ ಭೌತಶಾಸ್ತ್ರ
ମହାକାଶଚାରୀ,ಗಗನಯಾತ್ರಿ
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ,ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ
ସ୍ୱର୍ଗୀୟ,ಆಕಾಶ
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ,ಖಗೋಳಶಾಸ್ತ್ರ
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ |,ಖಗೋಳ ಭೌತಶಾಸ್ತ್ರ
ଅସୀମିତ |,ಅಸಮ್ಮಿತ
ଅସ୍ମିପଟୋଟିକ୍ |,ಲಕ್ಷಣರಹಿತ
ବୃଦ୍ଧି,ಉಲ್ಬಣಗೊಳಿಸುತ್ತಿದೆ
ଅସନ୍ତୁଳିତ |,ಅಸಮಕಾಲಿಕ
"ପରିବେଶ, ପରିବେଶ","ವಾತಾವರಣ, ವಾತಾವರಣ"
ବାୟୁମଣ୍ଡଳ,ವಾತಾವರಣದ
ପବନ ଅଶାନ୍ତି |,ಗಾಳಿ ಪ್ರಕ್ಷುಬ್ಧತೆ
ପରମାଣୁ,ಪರಮಾಣು
ପରମାଣୁ,ಪರಮಾಣು
ପରମାଣୁ,ಪರಮಾಣುತ್ವ
ଆଣବିକ ମାସ,ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ
ପରମାଣୁ ସଂଖ୍ୟା,ಪರಮಾಣು ಸಂಖ್ಯೆ
"ଆଣବିକ ରିଆକ୍ଟର, ଆଣବିକ ଗଦା |","ಪರಮಾಣು ರಿಯಾಕ್ಟರ್, ಪರಮಾಣು ರಾಶಿ"
ପରମାଣୁ,ಪರಮಾಣು
କଣିକା,ಕಣ
କଣିକା,ಕಣ
