Tamil,Punjabi
விவசாய சந்தைப்படுத்தல்,ਖੇਤੀਬਾੜੀ ਮੰਡੀਕਰਨ
விவசாய தொழில்நுட்பம்,ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ
1. விவசாயம் 2. விவசாயம் 3. விவசாய அறிவியல்,1. ਖੇਤੀ 2. ਖੇਤੀ 3. ਖੇਤੀ ਵਿਗਿਆਨ
விவசாய காடுகள்,ਖੇਤੀਬਾੜੀ ਜੰਗਲਾਤ
விவசாய பல்லுயிர்,ਖੇਤੀਬਾੜੀ ਜੈਵ ਵਿਭਿੰਨਤਾ
விவசாய கரிம குறைபாடுகள்,ਖੇਤੀਬਾੜੀ ਜੈਵਿਕ ਨੁਕਸ
விவசாய உயிரியல்,ਖੇਤੀਬਾੜੀ ਜੀਵ ਵਿਗਿਆਨ
விவசாய காலநிலை பன்முகத்தன்மை,ਖੇਤੀ-ਜਲਵਾਯੂ ਵਿਭਿੰਨਤਾ
வேளாண் காலநிலை மண்டலத்தை உருவாக்குதல்,ਖੇਤੀ ਜਲਵਾਯੂ ਖੇਤਰ ਦੀ ਰਚਨਾ
வளர்ப்பு,ਖੇਤੀ ਜੰਗਲਾਤ
வேளாண்மை,ਖੇਤੀ ਵਿਗਿਆਨ
வேளாண்மை,ਖੇਤੀ ਵਿਗਿਆਨਕ
விவசாய மேய்ச்சல்,ਖੇਤੀਬਾੜੀ ਪੇਸਟੋਰਲ
பயிர் செயலாக்கம்,ਫਸਲ ਪ੍ਰੋਸੈਸਿੰਗ
புல் அறிவியல்,ਘਾਹ ਵਿਗਿਆਨ
பயிர் வகை,ਫਸਲ ਦੀ ਕਿਸਮ
எபிஃபைட்,epiphyte
aikiochi மண்,aikiochi ਮਿੱਟੀ
வண்ண குருட்டுத்தன்மை,ਰੰਗ ਅੰਨ੍ਹਾਪਨ
அல்பிசோல்,alfisol
பாசி,ਐਲਗੀ
பாசி நோய்,ਐਲਗੀ ਰੋਗ
காரம் நீர்,ਖਾਰੀ ਪਾਣੀ
காரமானது,ਖਾਰੀ
மாற்று,ਵਿਕਲਪਕ
அலெலோ வேதியியல்,ਐਲੇਲੋ ਕੈਮਿਸਟਰੀ
அலீல்,ਐਲੀਲ
அலெலோபதி,ਐਲੇਲੋਪੈਥੀ
வேத்தி பயிர்,ਵੇਥੀ ਦੀ ਫਸਲ
நிறைவு,ਸੰਪੂਰਨਤਾ
கருத்தரித்தல்,ਗਰੱਭਧਾਰਣ ਕਰਨਾ
1. சார்பியல் 2. அலோமெட்ரி,1. ਰਿਲੇਟੀਵਿਟੀ 2. ਐਲੋਮੈਟਰੀ
பலவகை,multiploidy
1. Parazygosity,1. ਪੈਰਾਜ਼ੀਗੋਸਿਟੀ
1. மாற்று ஆண்டு செயல்பாடு 2. மாற்று செயல்பாடு,1. ਵਿਕਲਪਕ ਸਾਲ ਫੰਕਸ਼ਨ 2. ਵਿਕਲਪਕ ਫੰਕਸ਼ਨ
மாற்று நில பயன்பாடு,ਬਦਲਵੀਂ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ
சூழல்,ਵਾਤਾਵਰਣ
சீர்திருத்தவாதி,ਸੁਧਾਰਕ
மைடோசிஸ்,ਮਾਈਟੋਸਿਸ
அமீனன்,ਆਮੀਨ
அம்மோனியன்,ਐਮੋਨੀਅਨ
அம்னிஃபெரஸ்,amniferous
1. பயனற்ற வடிவம் 2. அரூபி,1. ਬੇਅਸਰ ਰੂਪ 2. ਅਰੂਪੀ
நீர்வீழ்ச்சி கலவை,amphibian ਮਿਸ਼ਰਣ
ஆம்போடெரிக்,ਐਮਫੋਟੇਰਿਕ
கையிருப்பு,ਭੰਡਾਰ
1. காற்றில்லா 2. காற்றில்லா உயிரினங்கள்,1. ਐਨਾਇਰੋਬਿਕ 2. ਐਨਾਇਰੋਬਿਕ ਜੀਵ
ஹாப்ளாய்டு,ਹੈਪਲੋਇਡ
கோண நடவு,ਕੋਣੀ ਲਾਉਣਾ
கால்நடை வளர்ப்பு,ਪਸ਼ੂ ਪਾਲਣ
விலங்கு மலம்,ਜਾਨਵਰ ਦੇ ਮਲ-ਮੂਤਰ
வாழ்க்கை ஆற்றல்,ਜੀਵਤ ਊਰਜਾ
முரண்பாடான,ਅਸਧਾਰਨ
ஒரு வருடம் பழமையான ஆலை,ਇੱਕ ਸਾਲ ਪੁਰਾਣਾ ਪੌਦਾ
ஆண்டு,ਸਾਲਾਨਾ
1. பரவசம் 2. பிரகாசம்,1. ਅਨੰਦ 2. ਚਮਕ
ஆந்த்ராக்ஸ்,ਐਂਥ੍ਰੈਕਸ
மானுடவியல் காரணிகள்,ਮਾਨਵ-ਜਨਕ ਕਾਰਕ
உயிர்வாழ்தல்,ਬਚਾਅ
1. ஆன்டிபயாடிக் 2. நுண்ணுயிர்க்கொல்லி,1. ਐਂਟੀਬਾਇਓਟਿਕ 2. ਐਂਟੀਬਾਇਓਟਿਕ
விரட்டும்,ਘਿਣਾਉਣੀ
ஆக்ஸிஜனேற்ற,ਐਂਟੀਆਕਸੀਡੈਂਟ
ஆன்டிடாக்சின்,ਐਂਟੀਟੌਕਸਿਨ
மோதிர விரல்,ਰਿੰਗ ਉਂਗਲ
1. அசுவினி 2. மஹு 3. செபா,1. ਐਫੀਡ 2. ਮਹੂ 3. ਚੇਪਾ
மேல் மொட்டு,ਚੋਟੀ ਦੇ ਮੁਕੁਲ
உச்ச செயல்திறன்,ਸਿਖਰ ਪ੍ਰਭਾਵ
தேனீ வளர்ப்பு,ਮਧੂ ਮੱਖੀ ਪਾਲਣ
ஓரினச்சேர்க்கை,ਅਲੌਕਿਕਤਾ
அப்போப்டொசிஸ்,apoptosis
பிற்சேர்க்கைகள்,ਜੋੜ
பசியை உண்டாக்கும்,ਭੁੱਖ ਵਧਾਉਣ ਵਾਲਾ
விண்ணப்பித்தார்,ਲਾਗੂ ਕੀਤਾ
நீர்வாழ் களை,ਜਲਜੀ ਬੂਟੀ
1. மரம் 2. மரத்தில் வசிப்பவர்,1. ਰੁੱਖ 2. ਰੁੱਖ ਨਿਵਾਸੀ
கிளைகள்,ਬ੍ਰਾਂਚਿੰਗ
புரோட்டோபோட்டானிக்கல் பதிவுகள்,ਪ੍ਰੋਟੋਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ
மண்டல எண்,ਜ਼ੋਨ ਨੰਬਰ
1. பகுதி 2. பகுதி,1. ਖੇਤਰ 2. ਖੇਤਰ
உலர் சுற்றுச்சூழல்,ਖੁਸ਼ਕ ਈਕੋਸਿਸਟਮ
கோட்டிலிடன்,cotyledon
சௌரப்,ਸੌਰਭ
நறுமண ஆலை,ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ
வாசனை அரிசி,ਸੁਗੰਧਿਤ ਚੌਲ
இக்ஷு புஷ்பன்,ਇਕੁ ਪੁਸ਼ਪੰ ॥
அசெப்டிக்,ਅਸੈਪਟਿਕ
1. அசெப்டிக் 2. அசெப்டிக்,1. ਅਸੈਪਟਿਕ 2. ਅਸੈਪਟਿਕ
பாலின இனப்பெருக்கம்,ਅਲੌਕਿਕ ਪ੍ਰਜਨਨ
அளவு,ਆਕਾਰ
சொத்து,ਸੰਪਤੀ
1. ஒருங்கிணைப்பு 2. ஒருங்கிணைப்பு,1. ਸਮੀਕਰਨ 2. ਸਮੀਕਰਨ
1. சங்கம் 2. சங்கம்,1. ਐਸੋਸੀਏਸ਼ਨ 2. ਐਸੋਸੀਏਸ਼ਨ
1. நெடுவரிசை 2. துவர்ப்பு,1. ਕਾਲਮ 2. astringency
பன்முகத்தன்மை,heterozygosity
1. முன்னோர் 2. அடவிசம்,1. ਪੂਰਵਜ 2. ਅਟਾਵਿਜ਼ਮ
துகள்,ਕਣ
1. உறுதிப்படுத்தல் 2. குறைபாடு,1. ਅਪੁਸ਼ਟਤਾ 2. ਵਿਗਾੜ
சுய இணைத்தல்,ਸਵੈ ਜੋੜਾ
தன்னியக்கம்,autolysis
1. தன்னிச்சையான ஆக்சிஜனேற்றம் 2. தன்னிச்சையான ஆக்சிஜனேற்றம்,1. ਸੁਭਾਵਕ ਆਕਸੀਕਰਨ 2. ਸਵੈ-ਚਾਲਤ ਆਕਸੀਕਰਨ
சுய மல்டிபிளக்ஸ்,ਸਵੈ ਮਲਟੀਪਲੈਕਸ
ஆக்சின்,auxin
1. குலுக்கல் 2. தேரை,1. ਹਿਲਾ 2. ਟੌਡ
தண்டனை வைரஸ்,ਸਜ਼ਾ ਵਾਇਰਸ
1. பேசிலஸ் 2. பேசிலஸ்,1. ਬੇਸੀਲਸ 2. ਬੇਸੀਲਸ
1. பாக்டீரியா 2. பாக்டீரியா,1. ਬੈਕਟੀਰੀਆ 2. ਬੈਕਟੀਰੀਆ
பாக்டீரியா நச்சு,ਬੈਕਟੀਰੀਆ ਦੇ ਜ਼ਹਿਰ
கரும்பு சக்கை,ਬੈਗਾਸ
இருப்பு தாள்,ਸੰਤੁਲਨ ਸ਼ੀਟ
சீரான உர பயன்பாடு,ਸੰਤੁਲਿਤ ਖਾਦ ਦੀ ਵਰਤੋਂ
சட்ட வரைபடம்,ਬਾਰ ਗ੍ਰਾਫ
பட்டை,ਸੱਕ
1. காற்றழுத்தமானி 2. காற்றழுத்தமானி,1. ਬੈਰੋਮੀਟਰ 2. ਬੈਰੋਮੀਟਰ
1. buzzer 2. inert 3. barren,1. ਬਜ਼ਰ 2. ਜੜ 3. ਬੰਜਰ
1. அடிப்படை 2. அடிப்படை 3. குபாங்,1. ਅਧਾਰ 2. ਅਧਾਰ 3. ਕੱਪਾਂਗ
1. தாலா 2. பேசின்,1. ਤਾਲਾ 2. ਬੇਸਿਨ
தலபிசாரி,ਤਾਲਾਬੀਸਰੀ
1. பாசிஸ்டர்னம் 2. ரூட் ஹோல்டர்,1. ਬੇਸਿਸਟਰਨਮ 2. ਰੂਟ ਹੋਲਡਰ
வளைகுடா பருவமழை,ਖਾੜੀ ਮਾਨਸੂਨ
பழ செடி,ਫਲ ਪੌਦਾ
படுக்கை,ਬਿਸਤਰਾ
படுக்கை ஆலை,ਬੈੱਡ ਪੌਦਾ
படுக்கை,ਬਿਸਤਰਾ
பீற்று வெல்லப்பாகு,ਚੁਕੰਦਰ ਗੁੜ
பெல்லோஸ்,ਘੰਟੀ
1. கீற்று 2. நிலப்பரப்பு,1. ਪੱਟੀ 2. ਭੂਮੀ
இலாப-செலவு பகுப்பாய்வு,ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
ஆர்வலர் (மாதிரி),ਚਾਹਵਾਨ (ਨਮੂਨਾ)
இரு ஆண்டு தாவரங்கள்,ਦੋ-ਸਾਲਾ ਪੌਦੇ
இருவகை,ਬਾਇਨੋਮੀਅਲ
உயிர் காரணி,ਬਾਇਓਫੈਕਟਰ
உயிரியல் காலநிலை,ਜੈਵਿਕ ਜਲਵਾਯੂ
உயிர் ஆற்றல்,ਬਾਇਓ ਊਰਜਾ
விலங்கு சூழலியல்,ਜੀਵ-ਜੰਤੂ ਵਾਤਾਵਰਣ
1. உயிர் செயலி 2. உயிர் உலை,1. ਬਾਇਓ-ਪ੍ਰੋਸੈਸਰ 2. ਬਾਇਓ-ਰਿਐਕਟਰ
உயிர்க்கோளம்,ਜੀਵ-ਮੰਡਲ
உயிரியல்,ਬਾਇਓਟਿਕ
விலங்கினங்கள்,ਜੀਵ-ਜੰਤੂ
திவிலிங்கி,ਡਿਵਿਲਿੰਗੀ
தவலன்,ਧਵਲਨ
1. பிரத்வாசன் (நோய்) 2. குடல் நோய்,1. ਪ੍ਰਧਵਾਸਨ (ਰੋਗ) 2. ਗਸਟ ਰੋਗ
கலத்தல்,ਮਿਲਾਉਣਾ
1. அங்கமாரி (நோய்) 2. ப்ளைட் (நோய்),1. ਅੰਗਮਾਰੀ (ਰੋਗ) 2. ਝੁਲਸ (ਰੋਗ)
1. கொப்புளம் 2. கொப்புளம் 3. வெடிப்பு 4. கொப்புளம்,1. ਛਾਲੇ 2. ਛਾਲੇ 3. ਫਟਣਾ 4. ਛਾਲੇ
நீல புரட்சி,ਨੀਲੀ ਕ੍ਰਾਂਤੀ
பிளானர் வெப்பமூட்டும் அறை,ਪਲੈਨਰ ਹੀਟਿੰਗ ਚੈਂਬਰ
பிளானர் வெப்பமாக்கல் தொழில்நுட்பம்,ਪਲੈਨਰ ਹੀਟਿੰਗ ਤਕਨਾਲੋਜੀ
தவிடு,ਬਰੈਨ
கிளைகள்,ਬ੍ਰਾਂਚਿੰਗ
1. கிளை 2. துணைக் கிளை,1. ਟਹਿਣੀ 2. ਸਬਬ੍ਰਾਂਚ
இனம்,ਨਸਲ
இனப்பெருக்கம்,ਪ੍ਰਜਨਨ
ஆரம்ப முளைப்பு சிகிச்சை,ਸ਼ੁਰੂਆਤੀ ਉਗਣ ਦਾ ਇਲਾਜ
1. குட்டி 2. முட்டை 3. கரு,1. ਬੱਚਾ 2. ਅੰਡੇ 3. ਭਰੂਣ
துளிர்க்கிறது,ਉਭਰਦਾ
பட்ஜெட்,ਬਜਟ
1.ஆம்போடெரிக் 2. தாங்கல்,1. ਐਮਫੋਟੇਰਿਕ 2. ਬਫਰ
இனிப்பு உருளைக்கிழங்கு,ਮਿਠਾ ਆਲੂ
பன்ட் (நோய்),ਬੰਟ (ਰੋਗ)
1. துணை தயாரிப்பு 2. துணை தயாரிப்பு,1. ਉਪ-ਉਤਪਾਦ 2. ਉਪ-ਉਤਪਾਦ
c ஈரப்பதம் விவரக்குறிப்பு வளைவு,c ਨਮੀ ਨਿਰਧਾਰਨ ਕਰਵ
எண்ணெய் கேக்,ਤੇਲ ਕੇਕ
1. சுண்ணாம்பு 2. கால்சியம்,1. ਚੂਨਾ 2. ਕੈਲਸ਼ੀਅਮ
கால்சியன்,ਕੈਲਸੀਓਨ
பாஸ்பேட் நீக்கம்,ਫਾਸਫੇਟ ਹਟਾਉਣ
1. கினாட்டா 2. கலாட்டா,1. ਕਿਨਾਟਾ 2. ਕੈਲਾਟਾ
1.காலஸ் 2. கதிர்,1. ਕੈਲਸ 2. ਕਿਰਨ
1. செப்பல்ஸ் 2. கேலிக்ஸ்,1. ਸੈਪਲਸ 2. ਕੈਲਿਕਸ
வெளிப்புற முடிவு,ਬਾਹਰੀ ਅੰਤ
எதா,ਏਡਾ
புற்றுநோய் (பாக்டீரியா நோய்),ਕੈਂਕਰ (ਬੈਕਟੀਰੀਆ ਦੀ ਬਿਮਾਰੀ)
பதப்படுத்தல்,ਕੈਨਿੰਗ
வானம்,ਅਸਮਾਨ
நிதி,ਵਿੱਤ
மகரந்தச் சேர்க்கை (அத்திப்பழங்கள்),ਪਰਾਗੀਕਰਨ (ਅੰਜੀਰ ਦਾ)
1. காப்ஸ்யூல் 2. காப்ஸ்யூல் 3. கேப்சூல்,1. ਕੈਪਸੂਲ 2. ਕੈਪਸੂਲ 3. ਕੈਪਸੂਲ
கார்பனேற்றப்பட்டது,ਕਾਰਬਨਾਈਜ਼ਡ
கார்பனான்,ਕਾਰਬਨਾਨ
கார்பேஸ்,carapace
வளையல்,ਬਰੇਸਲੈੱਟ
1. வார்ப்பு (இரும்பு) 2. க்ஷிப்தி (பூச்சி),1. ਕਾਸਟਿੰਗ (ਲੋਹਾ) 2. ਕਸ਼ਤੀ (ਕੀੜੇ)
வினையூக்கம்,catabolism
தூண்டுதல்,ਪ੍ਰੇਰਣਾ
1. கம்பளிப்பூச்சி 2. கம்பளிப்பூச்சி,1. ਕੈਟਰਪਿਲਰ 2. ਕੈਟਰਪਿਲਰ
c d. என். அ. சேகரிப்பு,c d. ਐਨ. a ਸੰਗ੍ਰਹਿ
சரகம்,ਸੀਮਾ
1. செல் 2. செல்,1. ਸੈੱਲ 2. ਸੈੱਲ
மத்திய முன் அமைப்பு,ਕੇਂਦਰੀ ਫਰੰਟ ਸਿਸਟਮ
1. புள்ளி 2. கவனம்,1. ਪੁਆਇੰਟ 2. ਫੋਕਸ
மையவிலக்கு,centrifugation
மையவிலக்கு,ਸੈਂਟਰਿਫਿਊਜ
நட்சத்திர மையம்,ਸਟਾਰ ਸੈਂਟਰ
எபிஜெனெடிக்,epigenetic
கேந்திரராஜா,ਕੇਂਦਰਜਾ
தறி,ਲੂਮ
1. தானியம் 2. தொடர்,1. ਸੀਰੀਅਲ 2. ਸੀਰੀਅਲ
1. சான்றிதழ் 2. சான்றிதழ்,1. ਸਰਟੀਫਿਕੇਸ਼ਨ 2. ਸਰਟੀਫਿਕੇਸ਼ਨ
சான்றளிக்கப்பட்ட விதை,ਪ੍ਰਮਾਣਿਤ ਬੀਜ
1. வைக்கோல் 2. குட்டி 3. ஷலாக் சஹாபத்ரா,1. ਤੂੜੀ 2. ਕੁੱਟੀ 3. ਸ਼ਲਕ ਸਹਪਾਤਰਾ
1. நிபாக் 2. கைலாஜா,1. ਨਿਭਾਗ 2. ਕੈਲਜਾ
கைமோகிராபி,ਕਾਇਮੋਗ੍ਰਾਫੀ
1. கியாஸ்மா 2. பிஸி,1. ਕੀਜ਼ਮਾ 2. ਵਿਅਸਤ
supercooling மணி,ਸੁਪਰ ਕੂਲਿੰਗ ਘੰਟੇ
உறைபனி சேதம்,ਠੰਡ ਦਾ ਨੁਕਸਾਨ
1. விசிரோடகி 2. சிமேரா,1. ਵੀਚਰੋਤਕੀ 2. ਚਿਮੇਰਾ
பச்சை கஞ்சி,ਹਰਾ ਦਲੀਆ
1. தழை 2. பச்சை,1. ਪੱਤੇ 2. ਹਰੇ
சயனோசிஸ்,ਸਾਇਨੋਸਿਸ
உயிரியல் விநியோக அறிவியல்,ਜੈਵਿਕ ਵੰਡ ਵਿਗਿਆਨ
1. குரோமாடிட்ஸ் 2. அரை குரோமோசோம்கள்,1. ਕ੍ਰੋਮੇਟਿਡਜ਼ 2. ਅੱਧੇ ਕ੍ਰੋਮੋਸੋਮਜ਼
குரோமடின்,chromatin
குரோமடோகிராபி,ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ
நிறமாற்றம்,chromatinlation
ஏட்ரியல் புள்ளி,ਅਟਲ ਬਿੰਦੂ
நிறமூர்த்தம்,chromatogenesis
1. குரோமோபுரோட்டீன் 2. நிறமி புரதம்,1. ਕ੍ਰੋਮੋਪ੍ਰੋਟੀਨ 2. ਪਿਗਮੈਂਟਪ੍ਰੋਟੀਨ
1. குரோமோசோம்கள் 2. குரோமோசோம்கள்,1. ਕ੍ਰੋਮੋਸੋਮਜ਼ 2. ਕ੍ਰੋਮੋਸੋਮਜ਼
1. நாள்பட்ட 2. நாள்பட்ட 3. நாள்பட்ட 4. வழக்கற்று,1. ਪੁਰਾਣੀ 2. ਪੁਰਾਣੀ 3. ਪੁਰਾਣੀ 4. ਪੁਰਾਣੀ
சிட்ரேஞ்ச்,citrange
இலையுதிர் திருவிழா,ਪਤਝੜ ਤਿਉਹਾਰ
வகைப்பாடு,ਵਰਗੀਕਰਨ
1. களிமண் 2. களிமண்,1. ਮਿੱਟੀ 2. ਮਿੱਟੀ
1. சுத்தம் செய்தல் 2. ஸ்க்ரப்பிங் 3. சுத்தம் செய்தல் 4. சுத்திகரிப்பு,1. ਸਫਾਈ 2. ਰਗੜਨਾ 3. ਸਫਾਈ 4. ਸ਼ੁੱਧੀਕਰਨ
தொடர்ந்து மகரந்த சேர்க்கை,ਲਗਾਤਾਰ ਪਰਾਗਣ
சிலுவை பழம்,cruciferous ਫਲ
காலநிலை,ਜਲਵਾਯੂ
காலநிலையியல்,ਜਲਵਾਯੂ ਵਿਗਿਆਨ
வெட்டு,ਕੱਟਣਾ
கட்டி (களிமண்),ਗੰਢ (ਮਿੱਟੀ)
குளோன்,ਕਲੋਨ
1.மேகங்கள் 2.மேகங்கள்,1. ਬੱਦਲ 2. ਬੱਦਲ
கொத்து,ਝੁੰਡ
கொத்து,ਝੁੰਡ
1. கரடுமுரடான 2. கரடுமுரடான 3. கச்சா 4. கரடுமுரடான,1. ਮੋਟਾ 2. ਮੋਟਾ 3. ਕੱਚਾ 4. ਮੋਟਾ
1. கவர் 2. leatherette,1. ਕਵਰ 2. ਚਮੜਾ
கோயா,ਕੋਯਾ
1. கோஎன்சைம் 2. கோ-என்சைம்,1. ਕੋਐਨਜ਼ਾਈਮ 2. ਕੋ-ਐਨਜ਼ਾਈਮ
ஒற்றுமை,ਤਾਲਮੇਲ
1. நார்ச்சத்து (சணல் சணல்) 2. தேங்காய் கரடுமுரடானது,1. ਫਾਈਬਰ (ਜੂਟ ਜੂਟ) 2. ਨਾਰੀਅਲ ਮੋਟੇ
மூலங்கூர் சோழன்,ਮੁਲੰਕੁਰ ਚੋਲਾ
,
கொலாய்டு (மண்),ਕੋਲਾਇਡ (ਮਿੱਟੀ)
1.நெடுவரிசை 2.கொலுமல்லா,1.ਕਾਲਮ 2.ਕੋਲੁਮੇਲਾ
1. தண்டனை 2. நெடுவரிசை 3. நெடுவரிசை,1. ਜੁਰਮਾਨਾ 2. ਕਾਲਮ 3. ਕਾਲਮ
ஒற்றுமை,ਸਾਂਝ
வணிக வங்கி,ਵਪਾਰਕ ਬੈਂਕ
1. சரக்கு 2. வணிகப் பொருட்கள்,1. ਵਸਤੂ 2. ਵਪਾਰਕ ਮਾਲ
சமூக,ਭਾਈਚਾਰਾ
சுருக்கம் (மண்),ਮਿਸ਼ਰਣ (ਮਿੱਟੀ ਦਾ)
1. இணக்கம் 2. இணக்கம்,1. ਅਨੁਕੂਲਤਾ 2. ਅਨੁਕੂਲਤਾ
பொருந்தக்கூடிய தன்மை,ਅਨੁਕੂਲਤਾ
1. இழப்பீடு 2. இழப்பீடு,1. ਮੁਆਵਜ਼ਾ 2. ਮੁਆਵਜ਼ਾ
