Hindi,English
1. अंगमारी (रोग) 2.  ब्लाइट (रोग),blight
1. छाला 2. फफोला 3. उद्वर्त 4. ब्लिस्टर,blister
नीली क्रांति,blue revolution
तलीय ताप चैंबर,bottom heat chamber
तलीय ताप तकनीक,bottom heat technique
चोकर,bran
शाखन,branching
1. टहनी 2. उपशाखा,branchlet
नस्ल,breed
प्रजनन,breeding
शीघ्र अंकुरण उपचार,brimming
1. शाव 2. अंड 3. भ्रूण,brood
कलिकायन,budding
बजट,budget
1.उभयप्रतिरोधी 2. बफर,buffer
शल्ककंद,bulb
बंट (रोग),bunt
1. उपजात 2. उपोत्पाद,by-product
c नमी विशिष्टता वक्र,c moisture characteristic curve
खली,cake
1. चूनेदार 2.कैल्सियमी,calcarious
कैल्सीयन,calcification
फॉस्फेट का निस्तापन,calcination of phosphate
1. किणता 2. कैलसता,callosity
1.कैलस 2. किण,callus
1. बाह्यदल पुंज 2.कैलिक्स,calyx
वाह्यदल अंत,calyx-end
एधा,cambium
कैंकर (जीवाणु रोग),canker
डिब्बाबंदी,canning
वितान,canopy
पूंजी,capital
परागण (अंजीर का),caprification
1. संपुट 2. संपुटिका 3. कैप्सूल,capsule
कार्बोनीकृत,carbonated
कार्बनन,carbonization
अंडप,carpel
मणिबंध,carpus
1. ढलाई (लोहे की) 2. क्षिप्ति (कीट),casting
अपचय,catabolism
उत्प्रेरण,catalysis
1. इल्ली 2. सूंडी,caterpillar
सी ड़ी. एन. ए. संग्रह,C-DNA Library
सीमा,ceiling
1. कोशिका 2. कोष्ठिका,cell
केंद्रीय अग्रग प्रणाली,central leader system
1. सबिंदु 2. सकेंद्र,centric
अपकेंद्रण,centrifugation
अपकेंद्रक,centrifuge
तारककेंद्र,centriole
केंद्रजनिक,centrogenic
केंद्रजा,centrogenous
लूम,cercus
1. धान्य 2. सीरियल,cereal
1. प्रमाणीकरण 2. प्रमाणन,certification
प्रमाणित बीज,certified seed
1. भूसा 2. कुट्टी 3. शल्क सहपत्र,chaff
1. निभाग 2. कैलाजा,chalaza
रसानुवर्तन,chemotropism
1. किआज्मा 2. व्यत्यस्त,chiasma
अतिशीतन घंटे,chilling hours
शीतज क्षति,chilling injury
1.  विचित्रोतकी 2. काइमेरा,chimera
हरित दली,chloranthy
1. पर्णहरित 2. हरितक,chlorophyll
हरिमाहीनता,chlorosis
जीव वितरण विज्ञान,chorology
1. क्रोमैटिड 2. अर्धगुणसूत्र,chromatid
क्रोमैटिन,chromatin
वर्णलेखन,chromatography
क्रोमोटिनलयन,chromatolysis
परिसूत्र बिंदु,chromocentre
वर्णजनन,chromogenesis
1. क्रोमोप्रोटीन 2. वर्णकप्रोटीन,chromoprotein
1. गुणसूत्र 2. क्रोमोसोम,chromosome
1. चिरकाली 2. दीर्घकाली 3. जीर्ण 4. पुराना,chronic
सिट्रेंज,citrange
पर्णाभपर्व,cladode
वर्गीकरण,classification
1.मृत्तिका 2. चिकनी मिट्टी,clay
1. निर्मलन 2. मार्जन 3. सफाई 4.  शोधन,cleaning
अनुन्मील्य परागण,cleistogamy
क्रतिक श्वसनी फल,climacteric fruit
जलवायु,climate
जलवायु विज्ञान,climatology
कतरनी,clipper
ढेला (मिट्टी का),clod
क्लोन,clone
1.मेघ 2. बादल,cloud
पुंज (क्लंप,clump
गुच्छ,cluster
1.स्थूल 2. मोटा 3. कच्चा 4. अपरिष्कृत,coarse
1. आवरण 2.  चर्मावरण,coat (seed)
कोया,cocoon
1. कोएन्जाइम 2. सह-एन्जाइम,coenzyme
संसंजन,cohesion
1. रेशा (जूट पटसन) 2. नारियल जटा,coir
मूलांकुर चोल,coleorrhiza
,collar 1. स्तंभमूलसंधि 2. कॉलर 3. ग्रीवा
कोलॉइड (मृदा),colloid (soil)
1.स्तंभिका 2. कॉलुमेला,columella
1.दंड 2. स्तंभ 3. कॉलम,column
सहभोजिता,commensalism
वाणिज्यिक बैंक,commercial bank
1. जिंस 2. पण्य वस्तु,commodity
समुदाय,community
संहनन (मृदा का),compaction (of soil)
1. सुसंगति 2. संगतता,compatibility
सुसंगतता,compatibility
1. क्षतिपूर्ति 2. मुआवजा,compensation
स्पर्धी अन्योन्यक्रिया,competitive interaction
पूरक सस्य,complementary crop
1.सम्मिश्र 2. जटिल,complex
घटक,component
संघटन,composition
कंपोस्ट,compost
चक्रवृद्धि ब्याज,compound interest
अभिकलन,computation
1.अभिकलित्र 2.कंप्यूटर,computer
1. सांद्रण 2. संकेद्रण,concentration
1. अनुकूलक 2. पुनरुद्धारक,conditioner
चालकता,conductance
1. विन्यास 2. संरूपण,configuration
1. अनुरूपता 2. समविन्यास 3. संरूपता,conformity
1.समाकुलन 2. संकरण,confounding
संयुग्मन,conjugation
1. योजी 2. संयोजी,connective
सरंक्षण,conservation
चकबंदी,consolidation
1.संघटक 2. अवयव,constituents
उपभोक्ता,consumer
उपभोग,consumption
संदूषण,contamination
समोच्च रोपण,contour planting
समोच्च रेखा,contour
1.संविदा कृषि 2. ठेका कृषि 3. अनुबंधित खेती,contract farming
नियंत्रित वातावरणीय भंडारण,controlled storage
सहकारी बैंक,co-operative bank
सहकारी संस्था सदस्य,cooperator
गुल्मवन,coppice
घनकंद,corm
1.दलपुंज 2. कोरोला,corolla
1. वल्कुट 2. कोर्टेक्स,cortex
लागत,cost
बीजपत्र,cotyledon (seed)
ऋण समिति,credit society
1.उधार 2. साख,credit
1. ऋणदाता 2. लेनदार,creditor
1.शिखा 2. शीर्ष 3. शिखर,crest
व्याकुंचन,crinkle
संकट,crisis
कसौटी,criterion
क्रांतिक,critical
फसल बीमा,crop insurance
फसल ऋण,crop loan
1. सस्य 2. फसल,crop
सस्यन क्षेत्र,cropping area
पार-असंगत,cross-incompatible
1. मुकुट 2. शिखर (पादप),crown (plant)
मृदुकण,crumb
पपड़ी,crust
1. क्रिप्टोगैम 2. अपुष्पीपादप,cryptogam
छांटन (फल),cull (fruits)
कल्म,culm
कृष्य किस्म,cultivar
1.कर्षण 2. कृषि 3. खेती,cultivation
1.किसान 2. कल्टीवेटर (यंत्र),cultivator
1.संवर्ध 2. संवर्धन 3. पालन,culture
1.संसाधन 2.तैयार करना,curing
1.कुंतलन 2. कुंचन,curling
मुद्रा,currency
1. उपत्वचा 2. क्यूटिकल,cuticle
1.कलम 2. कटाई 3. काटना 4.कटाग्र 5. कटावा,cutting
1.कृमि कोष 2. सिस्ट 3. पुटी 4.विकृत गुल्म 5. रसौली,cyst
साइटोक्रोम,cytochrome
कोशिका युग्मन,cytogamy
कोशिका जनन,cytogenesis
कोशिका आनुवंशिकी,cytogenetics
कोशिका द्रव्य विभाजन,cytokinesis
कोशिका विज्ञान,cytology
कोशिका लयन,cytolysis
1. साइटोमियर 2. कोशिका खंड,cytomere
कोशिका द्रव्य,cytoplasm
1.डेरी 2. दुग्धशाला,dairy
डेरी उदयोग,dairying
1. बांध 2. प्रजननी,dam
दिवस निरपेक्ष पादप,day-neutral
पुष्पन के बाद दिन,days after flowering
पूर्ण पुष्पन के बाद दिन,days after full bloom
निष्पुष्पन,deblossoming
विकैल्सीकरण,decalcification
1. निथारना 2. निस्तारना,decant
क्षय,decay
पर्णपाती,deciduous
1. दशमिक 2. दशमलव,decimal
न्यूनता,deficiency
अनूर्णन (मृदा),deflocculation (soil)
विपुष्पन,defloration
विपत्रण,defoliation
वनोन्मूलन,deforestation
अपहासन,degeneration
निम्नीकरण,degradation
अंश दिवस,degree days
1.मात्रा 2. अंश,degree
स्फुटन,dehiscence
भूसी हटाना,dehulling
भूसी हटाना,dehusking
निर्जलीकरण,dehydration
निर्जलकारित्र,dehydrator
मांग,demand
1. विकृतीकरण 2. गुणनाशन,denaturation
अनाच्छादन,denudation
1. निक्षेप (मृदा) 2. जमा (अर्थशास्त्र),deposit
निक्षेपण,deposition
1. मूल्यहास 2.अवमूल्यन,depreciation
विलवणीकरण,desalinization
1. जल शुष्कन 2. निर्जलीकरण,desiccation
1.अभिकल्पना 2. डिजाइन,design
शुष्कित्र,dessicator
गुठली निकालना,destoning
वि-अंतः भूस्तारीकरण,desuckering
वियुग्मन,desynapsis
1. नर मंजरी निकालना (मक्का) 2. बल्लर निकालना,detassel
बल्लर या कुंदन को काटना,detasseling
निर्धारक,determinant
अवमूल्यन,devaluation
वनस्पतिरहित करना,devegetation
विचलन,deviation
द्विक,diad
निदान,diagnosis
भिन्नकाल पक्वता,dichogamy
द्विभाजन,dichotomy
1.दविबीजपत्री 2.डाइकोटिलेड़न (बीज),dicotyledon (seed)
पश्चमारी (रोग),die back (disease)
1. विसरण 2. विसार,diffusion
पाचनीयता,digestibility
द्विसंकर,dihybrid
1. बांध 2. नाली 3. परिवाह,dike (dyke)
तनु,dilute
1. एकलिंगाश्रयी 2. पृथक् लिंगी,dioecious
द्विगुणित,diploid
1. द्विगुणित 2. डिप्लॉइड,diploid
द्विसूत्र,diplonema
1. निष्कलिकायन 2. कलिका निकालना,disbudding
1. तवेदार हल चलाना 2. चक्काकरण,discing
छूट,discount
रोगाणुनाशन,disinfection
1. परिक्षेपण 2. प्रकीर्णन,dispersion
1.प्रकीर्णन 2.प्रसरण,dissemination
विविधीकरण,diversification
विविधीकृत कृषि,diversified farming
डी एन ए सोपान,DNA Ladder
डी.एन.ए. ग्राही,DNA receptor
गोदी-भाड़ा,dockage
प्रभावी,dominant
प्रसुप्ति,dormancy
1. मात्रा 2. खुराक 3. डोज,dose
दोहरा सिग्माभ वक्र,douole sigmoid curve
1. झोंका 2. खिंचाव,draft (draught)
1. निकास नाली 2. अपवाहिका,drain
जलनिकास,drainage
कर्षण,draw
1.दवा पिलाना 2. दवाई से तर करना,drenching
प्रसाधन (बीज),dressing (seed)
1.बरमा 2. उथली भूल 3. ड्रिल 4. वपित्र,drill (n.)
1.सूराख करना 2. बेधन 3. बरमाना,drilling (ag. engg)
1.वेधना 2. ड्रिल से बोना 3. ड्रिल से डालना,drilling (agronomy)
बूंद-बूंद सिंचाई,drip irrigation
शुष्क खेती,dryland farming
1.धूल 2. बुकनी,dust
1.धूलित्र 2. प्रकीर्णक,duster
बुरकना,dusting
1. बौना 2. वामन,dwarf
वामन पिरामिड,dwarf pyramid
वामिनीभवन,dwarfing
पारिस्थितिकी,ecology
अर्थमिति,econometrics
आर्थिक दक्षता,economic efficiency
परिस्थितिक प्ररूप,ecotype
बहिःस्तरपोषित,ectotrophic
मृदीय,edaphic
मृदा विज्ञान,edaphology
1. मेड़बंदी 2. किनारा बनाना 3. किनारा बंदी,edging
खाद्य अंश,edible part
मांग की लोच,elasticity of demand
उत्पादन लोच,elasticity of production
विद्युत्-अपघटन,electrolysis
वैद्युतकण-संचलन,electrophoresis
अवक्षालन,eluviation
1.विपुंसीकारित्र 2. बंधकारित्र 3.विपुंसीकार 4. बंध्यकार,emasculator
1.मेड़ बंदी 2. डौलबंदी,embanking
भ्रूण,embryo
1. भ्रूणविज्ञान 2. भौणिकी,embryology
1. निकलना 2. निर्गमन,emergence
पायसीकारक,emulsifier
अंतर्जात,endogenous
अंतः सूत्री विभाजन,endomitosis
अंतः परजीवी,endoparasite
भ्रूणपोष,endosperm
उद्यम,enterprise
कीटविज्ञान,entomology
पर्यावरण,environment
1. प्रकिण्व 2. एन्जाइम,enzyme
दलपुंज कलमबंदी,epicotyl grafting
1. अधिपादप 2. एपिफाइट,epiphyte
समानधारिता,equity
उन्मूलन,eradication
आवश्यक पोषक तत्व,essential nutrients
1. परिमापन 2. कूतना 3. आकलन,estimation
पांडुरता,etiolation
सुजननिक,eugenic
मूल्यांकन,evaluation
वाष्पनमापी,evaporimeter
वाष्पन-वाष्पोत्सर्जन,evapo-transpiration
सदाहरित क्रांति,evergreen revolution
1. सदाहरित 2. सदापर्णी,evergreen
विकास,evolution
उच्छेद करना,excise
परिक्षय (उर्वरता),exhaustion (fertility)
शोषण,exploitation
1. खोज 2. अन्वेषण,exploration
1. बहिर्वेधन 2. उत्सारण,extrusion
आंख,eye (sugarcane/potato)
1. कारक 2. घटक 3. उपादान 4. साधन,factor
कारक उत्पादकता,factor productivity
आढ़तिये का बट्टा,factorage
क्रमगुणित ब्लॉक डिजाइन,factorial block design
विकल्पी,facultative
1. पड़ती 2. पलिहर,fallow
कुल,family
प्रक्षेत्र मूल्यांकन,farm appraisal
प्रक्षेत्र का बजट बनाना,farm budgeting
कृषि व्यवसाय,farm business
प्रक्षेत्र नियोजन,farm planning
1. किसान 2. कृषक,farmer
1. कृषि 2. खेती,farming
संघट्टन,fasciation
बहुप्रजनन,fecundation
किण्वन,fermentation
उर्वरता,fertility
उर्वरक,fertilizer
उर्वरक उपयोग दक्षता,fertilizer use efficiency
रेशेदार,fibrous
1. खेत 2. क्षेत्र 3. स्थान,field
मृदा जलधारिता,field capacity
प्रक्षेत्र प्रदर्शन,field demonstration
1. स्थिरीकरण 2. यौगिकीकरण 3. निर्धारण,fixation
1. आप्लावन 2. अधिसिंचन,flooding
प्रवाह आरेख,flow diagram
खाद्य मान,food value
चारा,forage (fodder)
पूर्वानुमान,forecasting
वन,forest
वनरोपण,forestation
1. ताड़पर्ण 2. प्रपर्ण,frond
तुषार रोधी,frost resistant
1.पाला 2. तुषार,frost
1. हिमशीतित 2. हिमीकृत,frozen (fruit & vegetable)
फलन,fructification
1. फल पातन 2. फल का झड़ना,fruit drop
फल बनना,fruit -set (fruit setting)
1. धूमन 2. धूम देना,fumigation
कवकनाशी,fungicide
कवकरोधी,fungistatic
कवक,fungus
1. खूड़ 2. सीता,furow
1. संलयन 2. संगलन,fusion
रूआं,fuzz
रोएंदार,fuzzy
1. वृक्ष व्रण 2. पिटिका,gall (Hort)
1. युग्मक 2. गैमीट,gamete
1. उद्यान 2. बाग,garden
1. पनसाल 2. जलमापी,gauge (water)
जीन संग्रह,gene bank
जीन टैगन,gene tagging
वंशावली विज्ञान,geneology
जीन मानचित्र,genetic map
आनुवंशिकी,genetics
1. जीनोम 2. संजीन,genome
संजीनी संग्रह,genomic library
जीनोमिक्स,genomics
जीनप्ररूपी,genotype
1. जीनी संरचना 2. जीन प्ररूप,genotype
वंश,genus
1. जीनस 2. वंश,genus
1. रोगाणु 2. जर्म,germ
रोगाणुनाशी,germicide
अंकुरण,germination
1. जननद्रव्य 2. जर्मप्लाज्म,germplasm
जिबरेलिक अम्ल,gibberellic acid
ओटना,ginning
तुष,glume
1. लसदार 2. ग्लूटिनी,glutinous
ग्लाइकोलिसिस,glycolysis
नाइस,gneiss
स्वर्णिम क्रांति,golden revolution
1. श्रेणीकरण 2. वर्गीकरण 3. स्तरीकरण,grading
1. कलमबंद पादप 2. कलमी पौधा,grafted plant
कलम असंगत,graft-incompatible
ग्रैना,granna
कणिकायन,granulation
हरी खाद,green manure
हरित क्रांति,green revolution
वृद्धि और परिवर्धन,growth and development
1. गोंद रोग 2. गोंदार्ति,gummosis
भिन्नस्थ - उभयस्त्रीलिंगी,gynodioecious
1. प्रकृति 2. स्वभाव 3. रूपगुण 4. स्वरूप,habit
1. ओला 2. करकापात 3. करका,hail
रोमिलवैच,hairyvetch
लवणमृदोद्भिद्,halophyte
हैरो,harrow
1. तुड़ाई सूचकांक 2. कटाई सूचकांक,harvest index
1.कटाई 2. कटी फसल 3. तैयार फसल 4. उपज,harvest
1. तोड़ना 2. कटाई 3. तुड़ाई,harvesting
1. अंडे से निकलना 2. अंडा सेना,hatch
सूखी घास,hay
सूखा चारा,haylage
गंजी,haystock
धुंध,haze
धुंधता,hazy
1. बाली 2. सिट्टा 3.मुंडक 4. शीर्ष 5. सिर 6. सिरा,head (Agro)
सिरा (नाली का),head (of channel)
शीर्ष छंटाई,heading back
बाड़,hedge
अधिरक्षण,hedging
कुंडलिनी,helix
हेमैटाइट,hematite
1. शाक 2. बूटी,herb
1.वनस्पति संग्रह 2. वनस्पति संग्रहालय,herbarium
शाकनाशी,herbicide
आनुवंशिकता,heredity
वंशागतित्व,heretability
उभयलिंगी,hermaphrodite
विषमवर्णी,heterochromatic
विषम-निषेचन,heterofertilization
1. संकरओज 2. हेटेरोसिस,heterosis
लिंगक्रोमोसोम,heterosome
परपोषित,heterotroph
षड्गुणित,hexaploid
शीत निष्क्रियता,hibernate
उच्च सघनता रोपण,high density planting
1. पिंडलक 2. हिल (धान),hill (rice)
आयतचित्र,histogram
उच्च तकनीकी औद्यानिकी,hitech horticulture
1.करंड 2. छत्ता,hive
1.गुड़ाई 2. गोड़ना,hoeing
जोत,holding
निजी फार्म,home farm
समस्थिति,homeostasis
वासभूमि,homestead
समांगता,homogeneity
1.सजातीय 2. समांगी,homogenous
समधर्मी,homologus
समयुग्मज,homozygote
1.खुरलिका 2. खाद्यधानी 3. हापर,hopper
1.संस्तर 2. क्षितिज,horizon
औद्यानिक फसलें,horticultural crops
1. उद्यान विज्ञान 2. बागवानी 3. उद्यान कृषि 4.औदयानिकी,horticulture
