Punjabi,Bengali
ਵਿਭਿੰਨਤਾ ਦਾ ਕੋਣ,বিবর্তন কোণ
ਉਚਾਈ ਦਾ ਕੋਣ,উচ্চতা কোণ
ਘਟਨਾ ਦਾ ਕੋਣ,ঘটনার কোণ
ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ,অভিক্ষেপ কোণ
ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ,প্রতিফলন কোণ
ਅਪਵਰਤਨ ਦਾ ਕੋਣ,প্রতিসরণ কোণ
ਰੋਟੇਸ਼ਨ ਦਾ ਕੋਣ,ঘূর্ণন কোণ
ਕੁੱਲ ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ,মোট প্রতিফলনের কোণ
ਕੋਣੀ ਪ੍ਰਵੇਗ,কৌণিক ত্বরণ
ਕੋਣੀ ਗਤੀ,কৌণিক গতি
ਕੋਣੀ ਗਤੀ,কৌণিক গতি
ਕੋਣੀ ਵੇਗ,কৌণিক বেগ
ਐਨੁਲਸ,অ্যানুলাস
ਜਵਾਬ,উত্তর
ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ,বিরোধী – ডেরিভেটিভ
ਵਿਰੋਧੀ ਸਮਰੂਪ ਫੰਕਸ਼ਨ,অপ্রতিসম ফাংশন
ਲਾਗੂ ਹੈ,প্রযোজ্য
ਐਪਲੀਕੇਸ਼ਨ,আবেদন
ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ,প্রয়োগকৃত গতিশীল প্রোগ্রামিং
ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ,প্রয়োগ করা জ্যামিতি
ਲਾਗੂ ਗਣਿਤ,ফলিত গণিত
ਲਾਗੂ ਅੰਕੜੇ,ফলিত পরিসংখ্যান
ਲਗਭਗ,আন্দাজ
ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ,প্রায় একটানা ফাংশন
ਅੰਦਾਜ਼ਨ ਢੰਗ,আনুমানিক পদ্ধতি
ਅੰਦਾਜ਼ਨ ਹੱਲ,আনুমানিক সমাধান
ਲਗਭਗ ਸਮੱਸਿਆ,আনুমানিক সমস্যা
ਲਗਭਗ ਸੰਪਤੀ,আনুমানিক সম্পত্তি
ਯੋਗਤਾ ਟੈਸਟ ਬੈਟਰੀ,যোগ্যতা পরীক্ষার ব্যাটারি
Argand ਚਿੱਤਰ,Argand ডায়াগ্রাম
ਆਪਹੁਦਰੇ ਢੰਗ ਨਾਲ ਚੁਣਿਆ ਗਿਆ ਹੈ,নির্বিচারে নির্বাচিত
ਮਨਮਾਨੀ,ইচ্ছামত
ਆਪਹੁਦਰੇ ਸਥਿਰ,নির্বিচারে ধ্রুবক
ਆਪਹੁਦਰੇ ਤੱਤ,নির্বিচারে উপাদান
ਮਨਮਾਨੀ ਬਿੰਦੂ,নির্বিচারে পয়েন্ট
ਆਰਕੀਮੀਡੀਅਨ ਕਾਨੂੰਨ,আর্কিমিডিয়ান আইন
ਆਰਕੀਮੀਡੀਜ਼ ਸਿਧਾਂਤ,আর্কিমিডিসের নীতি
ਚਾਪ ਦੀ ਲੰਬਾਈ,চাপ দৈর্ঘ্য
ਚੱਕਰ ਦਾ ਚਾਪ,বৃত্তের চাপ
ਚਾਪ ਸਾਇਨ ਵੰਡ,আর্ক সাইন ডিস্ট্রিবিউশন
ਚਾਪ ਸਾਇਨ ਪਰਿਵਰਤਨ,চাপ সাইন রূপান্তর
ਖੇਤਰ,এলাকা
ਖੇਤਰੀ ਬਣਤਰ,আঞ্চলিক টেক্সচার
ਕੰਪਲੈਕਸ ਨੰਬਰ ਦੀ ਦਲੀਲ,জটিল সংখ্যার যুক্তি
ਗਣਿਤ ਦਾ ਮਤਲਬ,গাণিতিক গড়
ਗਣਿਤ ਦੀ ਕਾਰਵਾਈ,গাণিতিক অপারেশন
ਗਣਿਤ ਦੀ ਇਕਾਈ,পাটিগণিত একক
ਪ੍ਰਬੰਧ,ব্যবস্থা
ਐਰੇ,অ্যারে
ਨਕਲੀ ਸੈਟੇਲਾਈਟ,কৃত্রিম উপগ্রহ
ਨਕਲੀ ਵੇਰੀਏਬਲ,কৃত্রিম পরিবর্তনশীল
ਚੜ੍ਹਨਾ,আরোহণ
ਵੱਧਦੇ ਹੋਏ,আরোহী
ਤੀਬਰਤਾ ਦਾ ਵੱਧਦਾ ਕ੍ਰਮ,মাত্রার আরোহী ক্রম
ਚੜ੍ਹਦੀ ਲੜੀ,আরোহী সিরিজ
ਅਸੈਂਬਲਰ ਭਾਸ਼ਾ,সংযোজনকারী ভাষা
ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ,নিয়োগ সমস্যা
ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ,সহযোগী আইন
ਆਪਰੇਟਰਾਂ ਦਾ ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ,অপারেটরদের সহযোগী আইন
ਸਹਿਯੋਗੀ ਕਾਰਵਾਈ,সহযোগী অপারেশন
ਸੰਗਤ,সহযোগীতা
ਮਤਲਬ ਮੰਨਿਆ,ধরে নেওয়া গড়
ਅਨੁਮਾਨਿਤ ਸੰਭਾਵਨਾ ਵੰਡ,অনুমান সম্ভাব্যতা বন্টন
ਧਾਰਨਾ,ধৃষ্টতা
ਜੋਤਿਸ਼,জ্যোতিষশাস্ত্র
ਪੁਲਾੜ ਵਿਗਿਆਨੀ ਇੰਜੀਨੀਅਰ,মহাকাশচারী প্রকৌশলী
ਖਗੋਲ ਵਿਗਿਆਨੀ,জ্যোতির্বিজ্ঞানী
ਖਗੋਲੀ ਘੜੀ,জ্যোতির্বিদ্যা ঘড়ি
ਖਗੋਲ ਵਿਗਿਆਨ,জ্যোতির্বিদ্যা
ਅਸਮਿਤ ਵਕਰ,অপ্রতিসম বক্ররেখা
ਅਸਮਿਤੀ,অসমতা
asymptote,উপসর্গ
asymptotic,অ্যাসিম্পোটিক
asymptotically ਕੁਸ਼ਲ ਅਨੁਮਾਨਕ,লক্ষণগতভাবে দক্ষ অনুমানকারী
asymptotically ਨਿਰਪੱਖ ਅਨੁਮਾਨਕ,asymptotically নিরপেক্ষ অনুমানকারী
asymptotic ਵਿਵਹਾਰ,অ্যাসিম্পোটিক আচরণ
asymptotic ਵੰਡ ਫੰਕਸ਼ਨ,অ্যাসিম্পোটিক ডিস্ট্রিবিউশন ফাংশন
asymptotic ਵਿਸਥਾਰ,অ্যাসিম্পোটিক সম্প্রসারণ
ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ,বায়ুমণ্ডলীয় চাপ
ਬੇਤਰਤੀਬੇ &#39;ਤੇ,এলোমেলোভাবে
ਵਿਸ਼ੇਸ਼ਤਾ,বৈশিষ্ট্য
ਗੁਣ ਨਮੂਨਾ ਪ੍ਰਕਿਰਿਆ,বৈশিষ্ট্য নমুনা পদ্ধতি
ਵਧੀ ਹੋਈ ਮੈਟਰਿਕਸ,অগমেন্টেড ম্যাট্রিক্স
ਸਵੈ-ਸੰਬੰਧ ਗੁਣਾਂਕ,স্বয়ংক্রিয় সম্পর্ক সহগ
ਸਵੈ-ਸਬੰਧੀ ਫੰਕਸ਼ਨ,স্বয়ংক্রিয় সম্পর্ক ফাংশন
autocovariance,স্বয়ংক্রিয়তা
ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਰ,স্বয়ংক্রিয় কম্পিউটার
ਆਟੋਰਿਗਰੇਸ਼ਨ,অটোরিগ্রেশন
ਸਹਾਇਕ ਸਮੀਕਰਨ,সহায়ক সমীকরণ
ਔਸਤ ਨਮੂਨਾ ਨੰਬਰ ਵਕਰ (ASN ਕਰਵ),গড় নমুনা সংখ্যা বক্ররেখা (ASN কার্ভ)
axiom,স্বতঃসিদ্ধ
ਸਵੈ-ਜੀਵਨੀ ਪਹੁੰਚ,স্বতঃসিদ্ধ পদ্ধতি
ਸੰਭਾਵਨਾ ਦਾ axiom,সম্ভাব্যতার স্বতঃসিদ্ধ
ਧੁਰਾ,অক্ষ
abscissa ਦਾ ਧੁਰਾ,আবসিসার অক্ষ
ਧਰਤੀ ਦੀ ਧੁਰੀ,পৃথিবীর অক্ষ
ਇਨਕਲਾਬ ਦੀ ਧੁਰੀ,বিপ্লবের অক্ষ
ਰੋਟੇਸ਼ਨ ਦਾ ਧੁਰਾ,ঘূর্ণনের অক্ষ
ਸਪਿਨ ਦਾ ਧੁਰਾ,ঘূর্ণনের অক্ষ
ਵਾਪਸ-ਸਥਾਪਨਾ,ফিরে প্রতিস্থাপন
ਪਿਛਲਾ ਫਰਕ,পশ্চাদপদ পার্থক্য
ਬੈਕਵਰਡ-ਇੰਟਰਪੋਲੇਸ਼ਨ ਫਾਰਮੂਲਾ,পশ্চাদগামী-ইন্টারপোলেশন সূত্র
ਸੰਤੁਲਨ,ভারসাম্য
ਸੰਤੁਲਿਤ ਡਿਜ਼ਾਈਨ,সুষম নকশা
ਸੰਤੁਲਨ ਸ਼ੀਟ,ব্যালেন্স শীট
ਬੈਲਿਸਟਿਕ ਮਿਜ਼ਾਈਲ,ক্ষেপণাস্ত্র
ਬੈਲਿਸਟਿਕਸ,ব্যালিস্টিক
ਪੱਟੀ,বার
ਅਧਾਰ,ভিত্তি
ਅਧਾਰ ਕੋਣ,ভিত্তি কোণ
ਲਘੂਗਣਕ ਦਾ ਅਧਾਰ,লগারিদমের ভিত্তি
ਬੁਨਿਆਦੀ,মৌলিক
ਬੁਨਿਆਦੀ ਸੰਭਵ ਹੱਲ,মৌলিক সম্ভাব্য সমাধান
ਬੁਨਿਆਦੀ ਹੱਲ,মৌলিক সমাধান
ਬੁਨਿਆਦੀ ਵੇਰੀਏਬਲ,মৌলিক পরিবর্তনশীল
ਆਧਾਰ,ভিত্তি
ਆਧਾਰ ਤੱਤ,ভিত্তি উপাদান
ਆਧਾਰ ਮੈਟਰਿਕਸ,ভিত্তি ম্যাট্রিক্স
ਇੱਕ ਵੈਕਟਰ ਸਪੇਸ ਦਾ ਅਧਾਰ,একটি ভেক্টর স্থান ভিত্তি
ਸਬਸਪੇਸ ਦਾ ਆਧਾਰ,সাবস্পেস ভিত্তি
ਬੇਸੀਅਨ ਅੰਦਾਜ਼ਾ,Bayesian অনুমান
ਬੇਸ ਦਾ ਕਾਨੂੰਨ,বেইস আইন
ਬੇਅਸ ਦਾ ਸਿਧਾਂਤ,বেইসের উপপাদ্য
ਬਰਨੌਲੀ ਵੰਡ,বার্নোলি বিতরণ
ਬਰਨੌਲੀ ਨੰਬਰ,বার্নোলি নম্বর
ਬਰਨੌਲੀ ਪ੍ਰੋਬੇਬਿਲਟੀ ਫੰਕਸ਼ਨ,Bernoulli সম্ভাব্যতা ফাংশন
ਬਰਨੌਲੀ ਦਾ ਸਮੀਕਰਨ,বার্নউলির সমীকরণ
ਬੇਰੀ ਫੰਕਸ਼ਨ,বেরি ফাংশন
ਵਧੀਆ ਫਿੱਟ,শ্রেষ্ঠ মিল
ਵਧੀਆ - ਫਿੱਟ ਲਾਈਨ,সেরা - ফিট লাইন
ਵਧੀਆ ਹੱਲ,সেরা সমাধান
ਵਧੀਆ ਰਣਨੀਤੀਆਂ,সেরা কৌশল
ਬੀਟਾ ਵੰਡ,বিটা বিতরণ
ਪੱਖਪਾਤ,পক্ষপাত
ਪੱਖਪਾਤੀ ਅਨੁਮਾਨ,পক্ষপাতমূলক অনুমান
biharmonic ਸਮੀਕਰਨ,বিহারমোনিক সমীকরণ
ਦੋਭਾਗ,দ্বিখণ্ডন
ਦੋ-ਪੱਖੀ ਨਕਸ਼ਾ,দ্বিমুখী মানচিত্র
ਦੋ-ਪੱਖੀ ਮੈਪਿੰਗ,দ্বিমুখী ম্যাপিং
ਦੋ-ਲੀਨੀਅਰ ਫਾਰਮ,বাইলিনিয়ার ফর্ম
ਦੋ-ਲੀਨੀਅਰ ਫੰਕਸ਼ਨ,বাইলিনিয়ার ফাংশন
ਦੋ-ਲੀਨੀਅਰ ਹਰਮੀਟੀਅਨ ਰੂਪ,বাইলিনিয়ার হারমিটিয়ান ফর্ম
ਬਾਈਨਰੀ,বাইনারি
ਬਾਈਨਰੀ ਕੋਡ,বাইনারি কোড
ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ,বাইনারি কোডেড দশমিক
ਬਾਈਨਰੀ ਕੋਡਿੰਗ,বাইনারি কোডিং
ਬਾਈਨਰੀ ਕੰਪਿਊਟਰ,বাইনারি কম্পিউটার
ਬਾਈਨਰੀ ਅੰਕ,বাইনারি সংখ্যা
ਬਾਈਨਰੀ ਕਾਰਵਾਈ,বাইনারি অপারেশন
ਬਾਈਨਰੀ ਸਿਸਟਮ,বাইনারি সিস্টেম
ਬਾਈਨਰੀ ਵੇਰੀਏਬਲ,বাইনারি পরিবর্তনশীল
ਬਾਇਨੋਮੀਅਲ ਗੁਣਾਂਕ,দ্বিপদ সহগ
ਬਾਇਨੋਮੀਅਲ ਵੰਡ,দ্বিপদ ডিস্ট্রিবিউশন
ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ,দ্বিপদ সমীকরণ
ਬਾਇਨੋਮੀਅਲ ਵਿਸਤਾਰ,দ্বিপদ সম্প্রসারণ
ਦੋਨੋਮੀ ਸਮੀਕਰਨ,দ্বিপদ অভিব্যক্তি
ਬਾਇਨੋਮੀਅਲ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ,দ্বিপদী র্যান্ডম পরিবর্তনশীল
ਬਾਇਨੋਮੀਅਲ ਥਿਊਰਮ,দ্বিপদ উপপাদ্য
ਦੋਭਾਗ,দ্বিখণ্ডন
ਦੋਭਾਗ ਵਿਧੀ,দ্বিখণ্ডিত পদ্ধতি
ਬਾਈਸੈਕਟਰ,দ্বিখণ্ডিত
biserial,biserial
ਬਿੱਟ,বিট
bivariate binomial distribution,দ্বিপদ দ্বিপদ বণ্টন
ਬਾਇਵਾਰੀਏਟ ਸਹਿ-ਸਬੰਧ ਗੁਣਾਂਕ,bivariate পারস্পরিক সম্পর্ক সহগ
ਦੋ-ਪੱਖੀ ਵੰਡ,দ্বিমুখী বন্টন
ਬਾਇਵਰੀਏਟ ਸਧਾਰਣ ਵੰਡ,দ্বিমুখী স্বাভাবিক বন্টন
bivector,bivector
ਬੋਲਟਜ਼ਮੈਨ ਸਮੀਕਰਨ,বোল্টজম্যান সমীকরণ
ਬੂਲੀਅਨ ਅਲਜਬਰਾ,বুলিয়ান বীজগণিত
ਬੋਸ - ਆਈਨਸਟਾਈਨ ਦੇ ਅੰਕੜੇ,বোস-আইনস্টাইন পরিসংখ্যান
ਸੀਮਾ ਸਥਿਤੀ,সীমানার অবস্থা
ਸੀਮਾ ਪਰਤ,সীমানা স্তর
ਸੀਮਾ ਰੇਖਾ,সীমান
ਸੀਮਾ ਮੁੱਲ,সীমানা মান
ਸੀਮਾ ਮੁੱਲ ਸਮੱਸਿਆ,সীমানা মান সমস্যা
ਸੀਮਾਬੱਧ ਫੰਕਸ਼ਨ,আবদ্ধ ফাংশন
ਸੀਮਾਬੱਧ ਮੈਟ੍ਰਿਕਸ,আবদ্ধ ম্যাট্রিক্স
ਸੀਮਾਬੱਧ ਖੇਤਰ,আবদ্ধ অঞ্চল
ਸੀਮਾਬੱਧ ਸੈੱਟ,আবদ্ধ সেট
ਬ੍ਰਾਊਨੀਅਨ ਮੋਸ਼ਨ,ব্রোমিন
ਗਣਨਾ ਕਰੋ,গণনা করা
ਗਣਨਾ,গণনা করা
ਗਣਨਾ ਮਸ਼ੀਨ,গননা যন্ত্র
ਗਣਨਾ,গণনা
ਗਣਨਾ ਵਿਧੀ,গণনা পদ্ধতি
ਕੈਲਕੁਲੇਟਰ,ক্যালকুলেটর
ਕੈਲਕੂਲਸ,ক্যালকুলাস
ਪਰਿਵਰਤਨ ਦਾ ਕੈਲਕੂਲਸ,পরিবর্তনের ক্যালকুলাস
ਕੈਲੋਰੀ,ক্যালোরি
ਰੱਦ ਕਰਨ ਦਾ ਕਾਨੂੰਨ,বাতিল আইন
ਕੈਨੋਨੀਕਲ ਸਮੀਕਰਨ,ক্যানোনিকাল সমীকরণ
ਕੈਨੋਨੀਕਲ ਰੂਪ,ক্যানোনিকাল ফর্ম
ਕੈਨੋਨੀਕਲ ਮੈਟ੍ਰਿਕਸ,ক্যানোনিকাল ম্যাট্রিক্স
ਕੈਂਟਰ ਸੈੱਟ,ক্যান্টর সেট
ਕੈਂਟਰ ਦਾ ਟਰਨਰੀ ਸੈੱਟ,Cantor এর ত্রিনারি সেট
ਸਮਰੱਥਾ ਵਾਲੀ ਆਵਾਜਾਈ ਦੀ ਸਮੱਸਿਆ,ক্যাপাসিটেড পরিবহন সমস্যা
ਸਮਰੱਥਾ,ক্ষমতা
ਕੇਸ਼ਿਕਾ ਬਲ,কৈশিক বল
ਮੁੱਖ ਨੰਬਰ,অঙ্কবাচক সংখ্যা
ਕਾਰਟੇਸੀਅਨ ਧੁਰੇ,কার্টেসিয়ান অক্ষ
ਕਾਰਟੇਸੀਅਨ ਕੋਆਰਡੀਨੇਟਸ,কার্টেসিয়ান স্থানাঙ্ক
ਕਾਰਟੇਸੀਅਨ ਉਤਪਾਦ,কার্টিজিয়ান পণ্য
ਸੈੱਟਾਂ ਦਾ ਕਾਰਟੇਸ਼ੀਅਨ ਉਤਪਾਦ,সেটের কার্টেসিয়ান পণ্য
ਮਾਮਲੇ &#39;ਦਾ ਅਧਿਐਨ,কেস স্টাডি
ਘਾਤਕ ਉਤਰਾਅ-ਚੜ੍ਹਾਅ,বিপর্যয়কর ওঠানামা
ਕੈਟੇਨਰੀ,ক্যাটেনারি
ਕੌਚੀ ਵੰਡ,কচি বন্টন
ਕੌਚੀ ਫਾਰਮੂਲਾ,কচি সূত্র
ਕੌਚੀ ਗੌਰਸਤ ਪ੍ਰਮੇਯ,Cauchy Goursat উপপাদ্য
ਕਾਚੀ ਰੀਮੈਨ ਦੀਆਂ ਸਥਿਤੀਆਂ,কচি রিম্যানের শর্ত
ਕਾਚੀ ਕ੍ਰਮ,কচি সিকোয়েন্স
ਕੌਚੀ ਅਟੁੱਟ,কচি অবিচ্ছেদ্য
ਕੌਚੀ ਪ੍ਰਮੁੱਖ ਮੁੱਲ,কচি প্রধান মান
ਕਾਚੀ ਅਵਸ਼ੇਸ਼ ਪ੍ਰਮੇਯ,কচি অবশিষ্টাংশ উপপাদ্য
ਕੈਲੀ ਹੈਮਿਲਟਨ ਪ੍ਰਮੇਯ,কেলি হ্যামিল্টন উপপাদ্য
ਆਕਾਸ਼ੀ ਸਰੀਰ,স্বর্গীয় শরীরের
ਆਕਾਸ਼ੀ ਮਾਪ,স্বর্গীয় পরিমাপ
ਆਕਾਸ਼ੀ ਮਕੈਨਿਕਸ,স্বর্গীয় বলবিদ্যা
ਆਕਾਸ਼ੀ ਵਸਤੂ,মহাকাশীয় বস্তু
ਸੈੱਲ ਬਾਰੰਬਾਰਤਾ,সেল ফ্রিকোয়েন্সি
ਜਨਗਣਨਾ,জনগণনা
centile,সেন্টিল
ਸੈਂਟੀਮੀਟਰ,সেন্টিমিটার
