Bengali,Assamese
আর্কিপিস্কোপেট,আৰ্কিপিস্কোপেট
আভিজাত্য,অভিজাত শ্ৰেণী
অভিজাত,অভিজাত
আভিজাত্য স্নোবারি,অভিজাত স্নোবৰী
এরিস্টটলীয়,এৰিষ্ট&#39;টেলিয়ান
আরমাডা,আৰ্মাডা
আরমাদা (=স্প্যানিশ আরমাদা),আৰ্মাডা (=স্পেনিছ আৰ্মাডা)
আর্মোরিস্ট (= আর্মারিস্ট),আৰ্মৰিষ্ট (=armourist)
বর্ম (= বর্ম),কৱচ (=কৱচ)
আর্মারিস্ট,আৰ্মৰিষ্ট
আরিয়ান,আৰ্য্য
আরিয়ান,আৰ্য্য
আসকারী,আস্কৰী
বরাদ্দ,Assignat
সহায়তা,Assize
সহায়তা,Assize
সহায়তা,Assize
অস্ত্র আইনের সহায়তা,এছাইজ অৱ আৰ্মছ এক্ট
ড্যারিন প্রেজেন্টমেন্টের সহায়তা,ডেৰেইন প্ৰেজেণ্টমেণ্টৰ এছাইজ
মর্ট &#39;ডি&#39; পূর্বপুরুষের সহায়তা,মৰ্ট &#39;ডি&#39; পূৰ্বপুৰুষৰ এছাইজ
নভেল ডিসিসিনের অ্যাসাইজ,নভেল ডিচেইচিনৰ এছাইজ
নৃশংসতা,অত্যাচাৰ
আক্রমণ,আক্ৰমণ
অলিক কাউন্সিল,অলিক কাউন্সিল
দেবীর কুঠার (=দেহী কুঠার),গেডেছৰ কুঠাৰ (=গেডেছৰ কুঠাৰ)
অক্ষ (=রোম-বার্লিন-টোকিও অক্ষ),অক্ষ (=ৰোম-বাৰ্লিন-টকিঅ&#39; অক্ষ)
ব্যাবিলন,বেবিলন
ব্যাবিলনীয় বন্দিত্ব (=ব্যাবিলনীয় বন্দিত্ব),বেবিলনৰ বন্দীত্ব (=বেবিলনৰ বন্দীত্ব)
বাচনাল ভক্ত,বচনাল ভক্ত
বাচনালিয়া,বাচনালিয়া
ব্যাচেলর,অবিবাহিত লোক
বাগদাদ চুক্তি,বাগদাদ চুক্তি
বলকান লীগ,বাল্কন লীগ
বলকান চুক্তি,বাল্কন চুক্তি
বলকান যুদ্ধ,বাল্কন যুদ্ধ
বাল্টিক চুক্তি,বাল্টিক চুক্তি
দস্যু,ডাকাত
বান্দুং সম্মেলন,বাণ্ডুং সন্মিলন
নির্বাসন,নিৰ্বাসন
ব্যানার,বেনাৰ
অসভ্য,বৰ্বৰ
বারবিকান,বাৰ্বিকান
বারদোলী সত্যাগ্রহ,বৰদলৈ সত্যাগ্ৰহ
শস্যাগার বার্নার্স,বাৰ্ন বাৰ্নাৰ্ছ
ব্যারন,বেৰন
ব্যারোনেজ,বেৰনেজ
ব্যারনস মেজরস,বেৰনছ মেজৰ
ব্যারোনস মাইনরস,বেৰনেছ নাবালক
ব্যারনেস,বেৰনেছ
ব্যারোনেট,বেৰনেট
ব্যারোনেটেজ,বেৰনেটেজ
ব্যারোনেটেজ,বেৰনেটেজ
ব্যারোনেটসি,বেৰনেটচি
ব্যারনি,বেৰনি
ব্যারাকুন,বেৰাকুন
ব্যারাকুন,বেৰাকুন
ব্যারিকেড (=ব্যারিকেড),বেৰিকেড (=barricade)
ব্যারিকেড (=ব্যারিকেড),বেৰিকেড (=barricade)
ব্যারিকেড (=ব্যারিকেড),বেৰিকেড (=barricade)
সেনাঘাঁটি,বেচ কেম্প
ব্যাসিলিকা,বেচিলিকা
ব্যাসিলিকা,বেচিলিকা
বাস্তিলা,বাষ্টিলা
বাস্তিল,বেষ্টিল
বাস্তিল,বেষ্টিল
ব্যাটারি,বেটাৰি
যুদ্ধ,যুদ্ধ
ব্যাটলে-অ্যারে,বাটলে-এৰে
যুদ্ধ কান্না,যুদ্ধৰ চিঞৰ
যুদ্ধ দিন,যুদ্ধৰ ডিন
যুদ্ধক্ষেত্র,যুদ্ধক্ষেত্ৰ
যুদ্ধের স্তব,যুদ্ধ গীত
স্পার্সের যুদ্ধ,স্পাৰ্ছৰ যুদ্ধ
স্ট্যান্ডার্ড যুদ্ধ,ষ্টেণ্ডাৰ্ডৰ যুদ্ধ
যুদ্ধজাহাজ,যুদ্ধজাহাজ
যুদ্ধজাহাজ-শক্তি,যুদ্ধজাহাজ-শক্তি
Bayeux ট্যাপেস্ট্রি,Bayeux টেপেষ্ট্ৰি
বীকন,বিকন
বীকন টাওয়ার,বিকন টাৱাৰ
বিভার,বিভাৰ
বিভার,বিভাৰ
সমুদ্রের ভিক্ষুক,সাগৰৰ ভিক্ষাৰী
বেলিকোস,বেলিকোজ
বেলিকোস,বেলিকোজ
বেলিকোস,বেলিকোজ
বেলিকোসিটি,বেলিকোচিটি
বেলোনা,বেলোনা
উপকারিতা,বেনিফিচ
যাজকদের সুবিধা,ধৰ্মগুৰুসকলৰ লাভ
বেনেলাক্স,বেনেলাক্স
বার্লিন ডিক্রি,বাৰ্লিন ডিক্রী
বেসার,Berserker
বেসান্ট (=বেজেন্ট),Besant (=বেজান্ট)
বেথেল,বেথেল
বিবিলিওলেটর,বিব্লিঅ&#39;লেটাৰ
বিবিলিওলাট্রি,গ্ৰন্থবিজ্ঞান
বিগ বার্থা,বিগ বাৰ্থা
বিগট,কুসংস্কাৰ
বিলেটিং,বিলেটিং
অ্যাটেন্ডারের বিল,বিল অৱ এটেইণ্ডাৰ
অধিকার বিল,অধিকাৰৰ বিল
জীবনীকার,জীৱনীকাৰ
জন্মের গল্প,জন্মৰ কাহিনী
বিভাক,বিভক
বিভাক,বিভক
বিভাক,বিভক
বিজোনিয়া,বিজোনিয়া
কালো পাখি,ক&#39;লা চৰাই চোৱা
কালো পতাকা,ক&#39;লা পতাকা
কৃষ্ণ গহ্বর,ব্লেক হোল
কৃষ্ণ গহ্বর,ব্লেক হোল
কালো পা (= স্ক্যাব),ক&#39;লা ভৰি (=scab)
কালো শার্ট,ক&#39;লা চাৰ্ট
ব্লাজন,ব্লেজন
ব্লাজন,ব্লেজন
ব্লাজনরি,ব্লেজনাৰী
ব্লাজনরি,ব্লেজনাৰী
Blitzkrieg,ব্লিটজক্ৰিগ
রক্তহীন বিপ্লব (=গৌরবময় বিপ্লব),ৰক্তহীন বিপ্লৱ (=গৌৰৱময় বিপ্লৱ)
ব্লাডওয়াইট,ব্লাডৱাইট
ব্লাডি মেরি,ব্লাডি মেৰী
নীল,নীলা
আভিজাত্য,নীলা তেজ
নীল বই,নীলা কিতাপ
নীল পটি,নীলা ফিতা
নীল পটি,নীলা ফিতা
ব্লুজ (=রয়্যাল হর্স গার্ড),ব্লুজ (=ৰয়েল হৰ্চ গাৰ্ড)
নীল শার্ট,নীলা চাৰ্ট
ব্লু ওয়াটার স্কুল,ব্লু ৱাটাৰ স্কুল
নিয়ন্ত্রণ বোর্ড,নিয়ন্ত্ৰণ ব’ৰ্ড
শরীরবর্ম,শৰীৰৰ কৱচ
বোয়ার,ব&#39;ৰ
লুঠ,লুটপাত
বরো,বৰো
বুলিউটেরিয়ন,Bouleuterion
বোরবন,বোৰ্বন
বক্সার বিদ্রোহ,বক্সাৰ বিদ্ৰোহ
বন্ধনী,ব্ৰেচ
ব্রাসার্ড,ব্ৰাছাৰ্ড
ব্রাসার্ড,ব্ৰাছাৰ্ড
রুটি উপনিবেশ,ব্ৰেড কলনী
ব্রেস্ট প্লেট,ব্ৰেষ্ট প্লেট
স্তনের কাজ,স্তনৰ কাম
ব্রেটওয়াল্ডা,ব্ৰেটৱাল্ডা
ব্রিগ্যান্ড,ব্ৰিগাণ্ড
ব্রিগ্যান্ডেজ,ব্ৰিগেণ্ডেজ
ব্রিটিশ কমনওয়েলথ অফ নেশনস,ব্ৰিটিছ কমনৱেলথ অৱ নেচনছ
ব্রাউন শার্ট (=নাৎসি),ব্ৰাউন চাৰ্ট (=নাজী)
ব্রাসেলস চুক্তি (চুক্তি) সংস্থা (=পশ্চিম ইউরোপীয় ইউনিয়ন),ব্ৰাছেলছ সন্ধি (পেক্ট) সংগঠন (=পশ্চিম ইউৰোপীয় সংঘ)
বাফ,বাফ
বাফ,বাফ
বাফ-কোট,বাফ-কোট
বাফস,বাফছ
বুলে (= পরিষদ),বুলে (=পৰিষদ)
বার্গেজ,বাৰ্গেজ
বার্গেস,বাৰ্জেছ
বাইজেন্টাইন,বাইজেন্টাইন
বাইজেন্টাইন গির্জা,বাইজেন্টাইন গীৰ্জা
বাইজেন্টাইন সাম্রাজ্য,বাইজেন্টাইন সাম্ৰাজ্য
বাইজেন্টাইন যুগ,বাইজেন্টাইন যুগ
বাইজেন্টাইন ইতিহাসবিদ,বাইজেন্টাইন ইতিহাসবিদ
ক্যাবল,কেবাল
সিজারিজম,ছিজাৰীজম
খলিফা,খলিফা
ক্যালিগ্রাফার,কেলিগ্ৰাফাৰ
ক্যালিগ্রাফিস্ট,কেলিগ্ৰাফিষ্ট
ক্যালিগ্রাফি,কেলিগ্ৰাফী
ক্যালট্রপ,কেলট্ৰপ
বন্ধুত্ব,সতীৰ্থতা
ক্যামারিলা,কেমাৰিলা
ক্যামারিলা,কেমাৰিলা
ক্যামেলাউকাম,কেমেলাকম
ছদ্মবেশ,ছদ্মবেশ
প্রচারণা,অভিযান
শিবিরের অনুসারী,কেম্প অনুগামী
ক্যাম্পো সান্টো,কেম্পো ছান্টো
ক্যাম্পাস মার্টিয়াস,কেম্পাছ মাৰ্চিয়াছ
ক্যানেফোরা,কেনেফোৰা
ক্যাঙ্গু,কেংগু
কামান,কেননেড
কামানের খাদ্যরুপে পরিগণিত মানুষ,কামানৰ ঘাঁহ
ক্যানন,কেনন
ক্যানন আইন,কেনন আইন
ক্যানোপাস ডিক্রি,কেন&#39;পাছৰ ডিক্রী
ক্যান্টিং অস্ত্র,কেনটিং আৰ্মছ
বন্দী,বন্দী
বন্দী,বন্দী
মৌলিক,কাৰ্ডিনেল
কার্ল,কাৰ্ল
ক্যারোলিংজিয়ান রাজবংশ,কেৰ&#39;লিঞ্জিয়ান বংশ
কার্থুসিয়ান সম্প্রদায়,কাৰ্থুছিয়ান পন্থা
কার্টোসা,কাৰ্টোছা
কাস্টেলীয়,কেষ্টেলিয়ান
কাস্টেলীয়,কেষ্টেলিয়ান
বর্ণপ্রথা,জাতি ব্যৱস্থা
দুর্গ,দুৰ্গ
দুর্গ,দুৰ্গ
দুর্গ শহর,কেছল টাউন
কাস্ত্রা,কাষ্ট্ৰা
কাস্ত্রা,কাষ্ট্ৰা
ক্যাথেড্রা,কেথেড্ৰা
ক্যাথিড্রাল,কেথেড্ৰেল
ক্যাটো স্ট্রিট ষড়যন্ত্র,কেটো ষ্ট্ৰীটৰ ষড়যন্ত্ৰ
কাউডিলো,কৌডিলো
অশ্বারোহী,কেভেলিয়াৰ
অশ্বারোহী,কেভেলিয়াৰ
অশ্বারোহী সংসদ,কেভেলিয়াৰ সংসদ
আদুল্লামের গুহা,আদুল্লামৰ গুহা
গুহাচিত্র,গুহা চিত্ৰকলা
গুহাচিত্র,গুহা চিত্ৰকলা
সেন্টুমভির,চেণ্টুমভিৰ
সেঞ্চুরিয়ান,চেঞ্চুৰিয়ান
সেঞ্চুরি,শতিকা
চেইন আর্মার (= চেইন মেইল),চেইন আৰ্মৰ (=চেইন মেইল)
চ্যানট্রি,চান্ট্ৰী
চ্যানট্রি,চান্ট্ৰী
চ্যাপ বই,চ্যাপ কিতাপ
চ্যাপলিন,চেপলিন
অধ্যায়,অধ্যায়
দুর্ঘটনার অধ্যায়,দুৰ্ঘটনাৰ অধ্যায়
চার্জ,চাৰ্জ
চার্জ ডি অ্যাফেয়ার্স,চাৰ্জ ডি এফেয়াৰ্ছ
চার্জ বিভাজন,চাৰ্জ পাৰ্টিং
চার্জার,চাৰ্জাৰ
রথ,ৰথ
সারথি,ৰথী
সারথি,ৰথী
সারথি,ৰথী
দাতব্য রান্নাঘর,চেৰিটি কিচেন
সনদ,চনদ
চার্টিস্ট আন্দোলন (=চার্টিজম),চাৰ্টিষ্ট আন্দোলন (=চাৰ্টিষ্ট)
চার্টোফাইলাসিয়াম,চাৰ্ট’ফাইলেচিয়াম
Chateau,চেট&#39;
চেক পোস্ট,পোষ্ট চেক কৰক
রাসায়নিক যুদ্ধ,ৰাসায়নিক যুদ্ধ
চেস্টার,চেষ্টাৰ
প্রধান,প্ৰধান
প্রধান,মুখীয়াল
প্রধান,মুখীয়াল
প্রধান,মুখীয়াল
শিফন,চিফন
বীরত্ব,অশ্বাৰোহীতা
নির্বাচিত মানুষ,নিৰ্বাচিত লোকসকল
ক্রিসমোগ্রাফিয়ন,ক্ৰীছমোগ্ৰাফী
খ্রিস্টধর্ম,খ্ৰীষ্টান ধৰ্ম
খ্রিস্টীয় যুগ,খ্ৰীষ্টান যুগ
খ্রিস্টান সমাজতন্ত্র,খ্ৰীষ্টান সমাজবাদ
ক্রনিকল,ক্ৰনিকল
ক্রনিকলার,ক্ৰনিকলাৰ
Chryse Chersonese,ক্ৰাইজ চেৰ্চোনিজ
সিমেলিয়াম,চিমেলিয়াম
সিনকুয়েসেন্টো স্টাইল,Cinquecento শৈলী
পরিক্রমা,প্ৰদক্ষিণ
সিস্টারসিয়ান সন্ন্যাসী,চিষ্টাৰচিয়ান সন্ন্যাসী
সিটাডেল,দুৰ্গ
উদ্ধৃতি,উদ্ধৃতি
উদ্ধৃতি,উদ্ধৃতি
আইন অমান্য,নাগৰিক অবাধ্যতা
গৃহযুদ্ধ,গৃহযুদ্ধ
সিভিস রোমানাস,চিভিছ ৰোমানাছ
শাস্ত্রীয় বয়স,ধ্ৰুপদী যুগ
ক্লেফ্ট (=ক্লেফ্ট),ক্লেফ্ট (=klepht)
কেরানিবাদ,কেৰাণীবাদ
ক্লারাচ,ক্লাৰুচ
ক্লুনিয়াক আন্দোলন,ক্লুনিয়াক আন্দোলন
কোট বর্ম,কোট কৱচ
অস্ত্রের কোট,কোট অৱ আৰ্মছ
অস্ত্রের কোট,কোট অৱ আৰ্মছ
অস্ত্রের কোট,কোট অৱ আৰ্মছ
ডাকের কোট,কোট অৱ মেইল
সমদল,কোহৰ্ট
কমিটিয়া,কমিটিয়া
Comitia Centuriata,কমিটিয়া চেঞ্চুৰিয়াটা
কমিটিয়া কুরিয়াটা,কমিটিয়া কুৰিয়াটা
Comitia Tributa,কমিটিয়া ট্ৰিবুটা
স্মারক খিলান,স্মৃতিচাৰণ তোৰণ
স্মারক মুদ্রা,স্মৃতিচাৰণ মুদ্ৰা
স্মারক সীলমোহর,স্মৃতিসৌধ
সাধারণ ক্ষেত্র,সাধাৰণ ক্ষেত্ৰ
কমুনার্ড,কমিউনাৰ্ড
কনকর্ড্যাট,কনকৰ্ডেট
কনকর্ড্যাট,কনকৰ্ডেট
কনডোটিয়ের,কণ্ডোটিয়েৰ
নিশ্চিতকরণ Cartarum,নিশ্চিতকৰণ Cartarum
দ্বন্দ্ব,বিবাদ
ধর্মসভা,মণ্ডলী
বিজয়ী রাষ্ট্র,বিজয়ী ৰাষ্ট্ৰ
বিজয়ী,বিজয়ী
বিজয়ী,কনকিষ্টাডৰ
কনসিলিয়াম,কনচিলিয়াম
কনসিস্টরি,কনচিষ্টৰী
ষড়যন্ত্র,ষড়যন্ত্ৰ
ষড়যন্ত্র,ষড়যন্ত্ৰ
কনস্যুলেট,কনছুলেট
কনসুলেশন বই,কনছুলেচন কিতাপ
মহাদেশীয় ব্যবস্থা,মহাদেশীয় ব্যৱস্থা
কনভেনশন সংসদ,অধিৱেশন সংসদ
কপারহেডস (=শান্তি গণতন্ত্রী),কপাৰহেড (=শান্তি গণতন্ত্ৰ)
কপিহোল্ড,কপিহ&#39;ল্ড
কর্ডনিং,ঘেৰাও কৰা
করোনা,কৰ&#39;না
রাজ্যাভিষেক,ৰাজ অভিষেক
রাজ্যাভিষেক পাথর,ৰাজ অভিষেক শিল
কর্পাস,কৰ্পাছ
কর্সেয়ার,কৰ্চেয়াৰ
কর্সেয়ার,কৰ্চেয়াৰ
কাঁচুলি (= কর্সেলেট),কৰ্চেট (=কোৰ্চলেট)
কর্টেস,কৰ্টেছ
কোটার (=কোটিয়ার),কোটাৰ (=cottier)
কোটার (=কোটিয়ার),কোটাৰ (=cottier)
কাউন্ট প্যালাটিনেট,কাউন্ট পেলেটিনেট
দেশের বাড়ি,দেশৰ ঘৰ
কাউন্টি,কাউন্টি
কাউন্টি বরো,কাউন্টি বৰো
কাউন্টি আদালত,কাউন্টি আদালত
কাউন্টি প্যালাটাইন,কাউন্টি পেলেটিন
আদালত,আদালত
আদালত,আদালত
আদালতের সার্কুলার,আদালতৰ চক্ৰান্তমূলক
আদালতের শিষ্টাচার,আদালতৰ শিষ্টাচাৰ
দরবারী,কৰ্টিয়াৰ
ক্যাসেশন আদালত,কেচেচনৰ আদালত
কোর্ট অফ ডিরেক্টরস (EIC),সঞ্চালক আদালত (EIC)
মালিকদের আদালত,মালিকৰ আদালত
দরবারের কবি,আদালতৰ কবি
চুক্তিবদ্ধ ক্যামেরোনিয়ান,চুক্তিবদ্ধ কেমেৰনিয়ানসকল
মুকুট,মুকুট
মুকুট,মুকুট
মুকুট,মুকুট
মুকুট জমি,মুকুটৰ ভূমি
মুকুট জমি,মুকুটৰ ভূমি
ক্রাউন প্রিন্স,ক্ৰাউন প্ৰিন্স
ক্রুসেড,ক্ৰুছেড
ক্রুসেডার,ক্ৰুছেডাৰ
ক্রিপ্টোগ্রাম,ক্ৰিপ্টোগ্ৰাম
কুইরাস,কুইৰাছ
কুইরাসিয়ার,কুইৰাচিয়াৰ
কাল্ট দেবতা,কাল্ট দেৱতা
কুরিয়া,কুৰিয়া
কুরিয়া,কুৰিয়া
জারবাদ,জাৰবাদ
অন্ধকার মহাদেশ,অন্ধকাৰ মহাদেশ
বিচারের দিন,বিচাৰৰ দিন
বিচারের দিন,বিচাৰৰ দিন
যাজক,ডিন
দশক,দশক
ডেনারিয়াস,ডেনাৰিয়াছ
ক্ষমতাচ্যুত রাজা,পদচ্যুত ৰজা
নষ্ট করা,লুটপাত কৰা
বিলুপ্তি,লুণ্ঠন
ডিথ্রোন,ডিথ্ৰন
ডায়ডেম,ডায়েডেম
ডায়ডেম,ডায়েডেম
ডায়ডেম,ডায়েডেম
ডায়াসিয়া,ডায়েচিয়া
ডিকাস্টেরিয়াম,ডিকাষ্টেৰিয়াম
ডিলুভিয়ালিস্ট,ডিলুভিয়ালিষ্ট
ডায়োসিস,ডাইচ
ডায়োসিস,ডাইচ
নির্দেশিকা (=নির্দেশনা),ডাইৰেক্টৰ (=নিৰ্দেশনা)
নির্দেশিকা (=নির্দেশনা),ডাইৰেক্টৰ (=নিৰ্দেশনা)
দিরহাম,দিৰহাম
অবিশ্বাসী,অবিশ্বাসী
অবিশ্বাসী,অবিশ্বাসী
ভুলের মতবাদ,লেপছৰ মতবাদ
দলিল,নথিপত্ৰ
দালিলিক প্রমাণ,নথিপত্ৰৰ প্ৰমাণ
গম্বুজের বই,ডমছডে বুক
কনস্টানটাইনের দান,কনষ্টেণ্টাইনৰ দান
নিয়তি,ডুম
ডাওগার রানী,বিধৱা ৰাণী
ড্রাগন,ড্ৰেগুন
ড্রোমেডারিয়ান,ড্ৰ&#39;মেডাৰিয়ান
ড্রোমেডারি,ড্ৰমেডাৰী
ড্রমন্ড,ড্ৰমণ্ড
দ্বৈত,দ্বৈত
দ্বৈত জোট,দ্বৈত মিত্ৰতা
ডুয়েল এন্টেন্টে,ডুৱেল এণ্টেণ্ট
দ্বৈত ব্যবস্থা (= দ্বৈত সরকার),দ্বৈত ব্যৱস্থা (=দ্বিতীয় চৰকাৰ)
ডিউক,ড্যুক
ডুমা,ডুমা
বামন অবতার,বামন অৱতাৰ
রাজবংশ,বংশ
রাজবংশ,বংশ
ঈগল,ঈগল
বুড়ো মানুষ,এলডাৰ মানুহ
আর্ল,আৰ্ল
প্রাচীনত্ব,আৰ্লডম
প্রারম্ভিক গুপ্ত,আদিম গুপ্তাসকল
প্রারম্ভিক (ঐতিহাসিক) সাইট,প্ৰাথমিক (ঐতিহাসিক) স্থান
প্রারম্ভিক বৈদিক যুগ,প্ৰাথমিক বৈদিক যুগ
ইক্লেসিয়া,ইক্লেছিয়া
পুনরুদ্ধারের আদেশ,পুনৰুদ্ধাৰৰ আদেশ
আট ভাঁজ পথ,আঠ ভাঁজ পথ
প্রবীণ,বয়োজ্যেষ্ঠসকল
বয়স্ক রাষ্ট্রনায়ক (=জেনরো),জ্যেষ্ঠ ৰাষ্ট্ৰনেতা (=genro)
হাতির ছাগু,হাতী গোড
এগারো বছরের অত্যাচার,এঘাৰ বছৰৰ অত্যাচাৰ
Elysae (=Elysee),এলিছাই (=এলিচি)
ঘের আন্দোলন,ঘেৰাও আন্দোলন
এনসাইক্লিক্যাল,এনচাইক্লিকেল
বিশ্বকোষবাদী আন্দোলন,বিশ্বকোষবাদী আন্দোলন
Entente,এন্টেন্টে
Entente cordiale,এন্টেন্টে কৰ্ডিয়েল
সিংহাসন,এনথ্ৰন
এনট্যুরেজ,এনট্যুৰেজ
এফোদ,ইফোদ
ইফোর,এফোৰ
মহাকাব্য যুগ,মহাকাব্যিক যুগ
মহাকাব্যিক নায়ক,মহাকাব্যিক নায়ক
এপিগ্রাফ,এপিগ্ৰাফ
এপিস্কোপ্যাসি,এপিস্কোপেচি
এপিস্কোপেট,এপিস্কোপেট
পর্ব,খণ্ড
যুগ,যুগ
যুগ তৈরির ঘটনা,যুগ সৃষ্টিকাৰী অনুষ্ঠান
যুগ সৃষ্টিকারী মানুষ,যুগ সৃষ্টিকাৰী মানুহ
উপনাম,ইপ&#39;নিম
ইকুয়েরি,ইকুৱেৰী
ইকুয়েরি,ইকুৱেৰী
অশ্বারোহী মূর্তি,অশ্বাৰোহীৰ মূৰ্তি
যুগ,যুগ
এরগাস্টুলাম,এৰগাষ্টুলাম
ইউক্যারিস্ট,ইউখাৰিষ্ট
ধর্মপ্রচার,ইভানজেলিজম
ধর্মপ্রচার আন্দোলন,ইভানজেলিকেল আন্দোলন
ধর্মপ্রচারক,ইভানজেলিষ্ট
Exarch,Exarch
এক্সিল্যার্ক,এক্সাইলাৰ্ক
ফালাঙ্গিস্ট,ফেলেংগিষ্ট
পিতার জমি,পিতৃ ভূমি
পিতার জমি,পিতৃ ভূমি
ফেরিয়া,ফেৰিয়া
ফেটিশ,ফেটিছ
সামন্ত জোত,সামন্তীয় হোল্ডিংছ
সামন্ততন্ত্র (=সামন্ততন্ত্র),সামন্তবাদ (=সামন্তীয় ব্যৱস্থা)
