Kannada,Gujarati
ಅನಲಾಗ್-ಟು-ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ,એનાલોગ-ટુ-ડિજિટલ કન્વર્ટર
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,એનાલોગ કમ્પ્યુટર
ವಿಶ್ಲೇಷಣೆ,વિશ્લેષણ
ಸಹವರ್ತಿತ್ವದ ವಿಶ್ಲೇಷಣೆ,સહપ્રવૃત્તિનું વિશ્લેષણ
ಎಣಿಕೆಯ ಡೇಟಾದ ವಿಶ್ಲೇಷಣೆ,ગણતરી માહિતીનું વિશ્લેષણ
ವ್ಯತ್ಯಾಸದ ವಿಶ್ಲೇಷಣೆ,વિચલનનું વિશ્લેષણ
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಜ್ಯಾಮಿತಿ,વિશ્લેષણાત્મક ભૂમિતિ
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಕಾರ್ಯ,વિશ્લેષણાત્મક કાર્ય
ಕೋನ,કોણ
ಸಂಪರ್ಕದ ಕೋನ,સંપર્ક કોણ
ವಿಚಲನ ಕೋನ,વિચલન કોણ
ಖಿನ್ನತೆಯ ಕೋನ,હતાશાનો કોણ
ವಿಚಲನ ಕೋನ,વિચલન કોણ
ವಿವರ್ತನೆಯ ಕೋನ,વિવર્તન કોણ
ಎತ್ತರದ ಕೋನ,એલિવેશન કોણ
ಘಟನೆಯ ಕೋನ,ઘટના કોણ
ಪ್ರೊಜೆಕ್ಷನ್ ಕೋನ,પ્રક્ષેપણ કોણ
ಪ್ರತಿಬಿಂಬದ ಕೋನ,પ્રતિબિંબ કોણ
ವಕ್ರೀಭವನದ ಕೋನ,રીફ્રેક્શન કોણ
ತಿರುಗುವಿಕೆಯ ಕೋನ,પરિભ્રમણ કોણ
ಒಟ್ಟು ಪ್ರತಿಫಲನದ ಕೋನ,કુલ પ્રતિબિંબ કોણ
ಕೋನೀಯ ವೇಗವರ್ಧನೆ,કોણીય પ્રવેગક
ಕೋನೀಯ ಚಲನೆ,કોણીય ગતિ
ಕೋನೀಯ ವೇಗ,કોણીય ઝડપ
ಕೋನೀಯ ವೇಗ,કોણીય વેગ
ವಾರ್ಷಿಕ,વલય
ಉತ್ತರ,જવાબ
ವಿರೋಧಿ ಉತ್ಪನ್ನ,વિરોધી વ્યુત્પન્ન
ಆಂಟಿಸಿಮೆಟ್ರಿಕ್ ಕಾರ್ಯ,એન્ટિસપ્રમાણ કાર્ય
ಅನ್ವಯಿಸುವ,લાગુ
ಅಪ್ಲಿಕೇಶನ್,અરજી
ಅನ್ವಯಿಕ ಡೈನಾಮಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,લાગુ ડાયનેમિક પ્રોગ્રામિંગ
ಅನ್ವಯಿಕ ಜ್ಯಾಮಿತಿ,લાગુ ભૂમિતિ
ಅನ್ವಯಿಕ ಗಣಿತ,લાગુ ગણિત
ಅನ್ವಯಿಕ ಅಂಕಿಅಂಶಗಳು,લાગુ આંકડા
ಸರಿಸುಮಾರು,લગભગ
ಸರಿಸುಮಾರು ನಿರಂತರ ಕಾರ್ಯ,લગભગ સતત કાર્ય
ಅಂದಾಜು ವಿಧಾನ,અંદાજિત પદ્ધતિ
ಅಂದಾಜು ಪರಿಹಾರ,અંદાજિત ઉકેલ
ಅಂದಾಜು ಸಮಸ್ಯೆ,અંદાજની સમસ્યા
ಅಂದಾಜು ಆಸ್ತಿ,અંદાજિત મિલકત
ಆಪ್ಟಿಟ್ಯೂಡ್ ಟೆಸ್ಟ್ ಬ್ಯಾಟರಿ,યોગ્યતા પરીક્ષણ બેટરી
ಅರ್ಗಾಂಡ್ ರೇಖಾಚಿತ್ರ,આર્ગાન્ડ ડાયાગ્રામ
ನಿರಂಕುಶವಾಗಿ ಆಯ್ಕೆ ಮಾಡಲಾಗಿದೆ,મનસ્વી રીતે પસંદ કરેલ
ನಿರಂಕುಶ,મનસ્વી
ಅನಿಯಂತ್ರಿತ ಸ್ಥಿರ,મનસ્વી સતત
ಅನಿಯಂತ್ರಿತ ಅಂಶ,મનસ્વી તત્વ
ಅನಿಯಂತ್ರಿತ ಬಿಂದು,મનસ્વી બિંદુ
ಆರ್ಕೆಮಿಡಿಯನ್ ಕಾನೂನು,આર્કેમીડિયન કાયદો
ಆರ್ಕಿಮಿಡಿಸ್ ತತ್ವ,આર્કિમિડીઝ સિદ્ધાંત
ಆರ್ಕ್ ಉದ್ದ,ચાપ લંબાઈ
ವೃತ್ತದ ಚಾಪ,વર્તુળની ચાપ
ಆರ್ಕ್ ಸೈನ್ ವಿತರಣೆ,આર્ક સાઈન વિતરણ
ಆರ್ಕ್ ಸೈನ್ ರೂಪಾಂತರ,આર્ક સાઈન ટ્રાન્સફોર્મેશન
ಪ್ರದೇಶ,વિસ્તાર
ಪ್ರದೇಶದ ವಿನ್ಯಾಸ,ક્ષેત્રીય રચના
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಯ ವಾದ,જટિલ સંખ્યાની દલીલ
ಅಂಕಗಣಿತದ ಸರಾಸರಿ,અંકગણિત સરેરાશ
ಅಂಕಗಣಿತದ ಕಾರ್ಯಾಚರಣೆ,અંકગણિત કામગીરી
ಅಂಕಗಣಿತದ ಘಟಕ,અંકગણિત એકમ
ವ್ಯವಸ್ಥೆ,વ્યવસ્થા
ಶ್ರೇಣಿ,એરે
ಕೃತಕ ಉಪಗ್ರಹ,કૃત્રિમ ઉપગ્રહ
ಕೃತಕ ವೇರಿಯಬಲ್,કૃત્રિમ ચલ
ಏರು,ચડવું
ಆರೋಹಣ,ચડતા
ಪರಿಮಾಣದ ಆರೋಹಣ ಕ್ರಮ,તીવ્રતાનો ચડતો ક્રમ
ಆರೋಹಣ ಸರಣಿ,ચડતી શ્રેણી
ಅಸೆಂಬ್ಲರ್ ಭಾಷೆ,એસેમ્બલર ભાષા
ನಿಯೋಜನೆ ಸಮಸ್ಯೆ,સોંપણીની સમસ્યા
ಸಹಾಯಕ ಕಾನೂನು,સહયોગી કાયદો
ನಿರ್ವಾಹಕರ ಸಹಾಯಕ ಕಾನೂನು,ઓપરેટરોનો સહયોગી કાયદો
ಸಹಾಯಕ ಕಾರ್ಯಾಚರಣೆ,સહયોગી કામગીરી
ಸಹಭಾಗಿತ್ವ,સહયોગ
ಸರಾಸರಿ ಊಹಿಸಲಾಗಿದೆ,ધાર્યું સરેરાશ
ಸಂಭವನೀಯತೆಯ ವಿತರಣೆಯನ್ನು ಊಹಿಸಲಾಗಿದೆ,અનુમાનિત સંભાવના વિતરણ
ಊಹೆ,ધારણા
ಜ್ಯೋತಿಷ್ಯ,જ્યોતિષ
ಗಗನಯಾತ್ರಿ ಇಂಜಿನಿಯರ್,એસ્ટ્રોનોટિકલ એન્જિનિયર
ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ,ખગોળશાસ્ત્રી
ಖಗೋಳ ಗಡಿಯಾರ,ખગોળશાસ્ત્રીય ઘડિયાળ
ಖಗೋಳಶಾಸ್ತ್ರ,ખગોળશાસ્ત્ર
ಅಸಮವಾದ ಕರ್ವ್,અસમપ્રમાણ વળાંક
ಅಸಿಮ್ಮೆಟ್ರಿ,અસમપ્રમાણતા
ಲಕ್ಷಣರಹಿತ,એસિમ્પ્ટોટ
ಲಕ್ಷಣರಹಿತ,એસિમ્પટોટિક
ಲಕ್ಷಣರಹಿತ ಪರಿಣಾಮಕಾರಿ ಅಂದಾಜುಗಾರ,એસિમ્પટોટિકલી કાર્યક્ષમ અંદાજકાર
ಲಕ್ಷಣರಹಿತವಾಗಿ ನಿಷ್ಪಕ್ಷಪಾತ ಅಂದಾಜುಗಾರ,એસિમ્પટોટિકલી નિષ્પક્ષ અંદાજકર્તા
ಲಕ್ಷಣರಹಿತ ನಡವಳಿಕೆ,એસિમ્પ્ટોટિક વર્તન
ಲಕ್ಷಣರಹಿತ ವಿತರಣಾ ಕಾರ್ಯ,એસિમ્પ્ટોટિક વિતરણ કાર્ય
ಲಕ್ಷಣರಹಿತ ವಿಸ್ತರಣೆ,એસિમ્પ્ટોટિક વિસ્તરણ
ವಾತಾವರಣದ ಒತ್ತಡ,વાતાવરણ નુ દબાણ
ಯಾದೃಚ್ಛಿಕವಾಗಿ,રેન્ડમ પર
ಗುಣಲಕ್ಷಣ,લક્ષણ
ಮಾದರಿ ವಿಧಾನದ ಗುಣಲಕ್ಷಣಗಳು,વિશેષતા નમૂના પ્રક્રિયા
ವರ್ಧಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್,સંવર્ધિત મેટ્રિક્સ
ಸ್ವಯಂ ಸಂಬಂಧ ಗುಣಾಂಕ,સ્વતઃસંબંધ ગુણાંક
ಸ್ವಯಂ ಸಂಬಂಧ ಕಾರ್ಯ,સ્વતઃસંબંધ કાર્ય
ಆಟೋಕೋವೇರಿಯನ್ಸ್,ઓટોકોવરિઅન્સ
ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟರ್,સ્વચાલિત કમ્પ્યુટર
ಸ್ವಯಂ ಹಿನ್ನಡೆ,ઓટો રીગ્રેશન
ಸಹಾಯಕ ಸಮೀಕರಣ,સહાયક સમીકરણ
ಸರಾಸರಿ ಮಾದರಿ ಸಂಖ್ಯೆ ಕರ್ವ್ (ASN ಕರ್ವ್),સરેરાશ સેમ્પલ નંબર કર્વ (ASN કર્વ)
ಮೂಲತತ್ವ,સ્વયંસિદ્ધ
ಅಕ್ಷೀಯ ವಿಧಾನ,સ્વયંસિદ્ધ અભિગમ
ಸಂಭವನೀಯತೆಯ ಮೂಲತತ್ವ,સંભાવનાનું સ્વયંસિદ્ધ
ಅಕ್ಷರೇಖೆ,ધરી
ಅಬ್ಸಿಸ್ಸಾದ ಅಕ್ಷ,abscissa ની અક્ષ
ಭೂಮಿಯ ಅಕ್ಷ,પૃથ્વીની ધરી
ಕ್ರಾಂತಿಯ ಅಕ್ಷ,ક્રાંતિની ધરી
ತಿರುಗುವಿಕೆಯ ಅಕ್ಷ,પરિભ્રમણની અક્ષ
ಸ್ಪಿನ್ ಅಕ್ಷ,સ્પિનની ધરી
ಬ್ಯಾಕ್-ಬದಲಿ,બેક-અવેજી
ಹಿಂದುಳಿದ ವ್ಯತ್ಯಾಸ,પછાત તફાવત
ಹಿಂದುಳಿದ-ಪ್ರಕ್ಷೇಪಣ ಸೂತ್ರ,બેકવર્ડ-ઇન્ટરપોલેશન ફોર્મ્યુલા
ಸಮತೋಲನ,સંતુલન
ಸಮತೋಲಿತ ವಿನ್ಯಾಸ,સંતુલિત ડિઝાઇન
ಆಯವ್ಯಯ ಪಟ್ಟಿ,સરવૈયા
ಬ್ಯಾಲಿಸ್ಟಿಕ್ ಕ್ಷಿಪಣಿ,બેલિસ્ટિક મિસાઇલ
ಬ್ಯಾಲಿಸ್ಟಿಕ್ಸ್,બેલિસ્ટિક્સ
ಬಾರ್,બાર
ಬೇಸ್,પાયો
ಮೂಲ ಕೋನ,આધાર કોણ
ಲಾಗರಿಥಮ್ನ ಆಧಾರ,લઘુગણકનો આધાર
ಮೂಲಭೂತ,પાયાની
ಮೂಲ ಕಾರ್ಯಸಾಧ್ಯ ಪರಿಹಾರ,મૂળભૂત શક્ય ઉકેલ
ಮೂಲ ಪರಿಹಾರ,મૂળભૂત ઉકેલ
ಮೂಲ ವೇರಿಯಬಲ್,મૂળભૂત ચલ
ಆಧಾರದ,આધાર
ಆಧಾರ ಅಂಶ,આધાર તત્વ
ಆಧಾರ ಮ್ಯಾಟ್ರಿಕ್ಸ್,આધાર મેટ્રિક્સ
ವೆಕ್ಟರ್ ಜಾಗದ ಆಧಾರ,વેક્ટર સ્પેસનો આધાર
ಉಪಸ್ಥಳದ ಆಧಾರ,સબસ્પેસનો આધાર
ಬೇಸಿಯನ್ ಅಂದಾಜು,બેયસિયન અંદાજ
ಬೇಯ್ಸ್ ಕಾನೂನು,બેયસનો કાયદો
ಬೇಯಸ್ ಪ್ರಮೇಯ,બેયસનું પ્રમેય
ಬರ್ನೌಲ್ಲಿ ವಿತರಣೆ,બર્નૌલી વિતરણ
ಬರ್ನೌಲ್ಲಿ ಸಂಖ್ಯೆ,બર્નોલી નંબર
ಬರ್ನೌಲ್ಲಿ ಸಂಭವನೀಯತೆ ಕಾರ್ಯ,બર્નૌલી સંભાવના કાર્ય
ಬರ್ನೌಲಿಯ ಸಮೀಕರಣ,બર્નૌલીનું સમીકરણ
ಬೆರ್ರಿ ಕಾರ್ಯ,બેરી કાર્ય
ಅತ್ಯುತ್ತಮ ಫಿಟ್,શ્રેષ્ઠ ગોઠવણ
ಅತ್ಯುತ್ತಮ - ಫಿಟ್ ಲೈನ್,શ્રેષ્ઠ - ફિટ લાઇન
ಉತ್ತಮ ಪರಿಹಾರ,શ્રેષ્ઠ ઉકેલ
ಅತ್ಯುತ್ತಮ ತಂತ್ರಗಳು,શ્રેષ્ઠ વ્યૂહરચના
ಬೀಟಾ ವಿತರಣೆ,બીટા વિતરણ
ಪಕ್ಷಪಾತ,પૂર્વગ્રહ
ಪಕ್ಷಪಾತದ ಅಂದಾಜು,પક્ષપાતી અંદાજ
ಬೈಹಾರ್ಮೋನಿಕ್ ಸಮೀಕರಣ,બિહાર્મોનિક સમીકરણ
ಬೈಜೆಕ್ಷನ್,બાયજેક્શન
ಬೈಜೆಕ್ಟಿವ್ ನಕ್ಷೆ,દ્વિભાષી નકશો
ಬೈಜೆಕ್ಟಿವ್ ಮ್ಯಾಪಿಂಗ್,બાયજેક્ટિવ મેપિંગ
ಬೈಲಿನಿಯರ್ ರೂಪ,દ્વિરેખીય સ્વરૂપ
ಬೈಲಿನಿಯರ್ ಕಾರ್ಯ,દ્વિરેખીય કાર્ય
ಬೈಲಿನಿಯರ್ ಹರ್ಮಿಟಿಯನ್ ರೂಪ,દ્વિરેખીય હર્મિટિયન સ્વરૂપ
ಅವಳಿ,દ્વિસંગી
ಬೈನರಿ ಕೋಡ್,દ્વિસંગી કોડ
ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ,દ્વિસંગી કોડેડ દશાંશ
ಬೈನರಿ ಕೋಡಿಂಗ್,દ્વિસંગી કોડિંગ
ಬೈನರಿ ಕಂಪ್ಯೂಟರ್,દ્વિસંગી કમ્પ્યુટર
ದ್ವಿಮಾನ ಅಂಕಿ,દ્વિસંગી અંક
ಬೈನರಿ ಕಾರ್ಯಾಚರಣೆ,દ્વિસંગી કામગીરી
ಬೈನರಿ ಸಿಸ್ಟಮ್,દ્વિસંગી સિસ્ટમ
ಬೈನರಿ ವೇರಿಯಬಲ್,દ્વિસંગી ચલ
ದ್ವಿಪದ ಗುಣಾಂಕ,દ્વિપદી ગુણાંક
ದ್ವಿಪದ ವಿತರಣೆ,દ્વિપદી વિતરણ
ದ್ವಿಪದ ಸಮೀಕರಣ,દ્વિપદી સમીકરણ
ದ್ವಿಪದ ವಿಸ್ತರಣೆ,દ્વિપદી વિસ્તરણ
ದ್ವಿಪದ ಅಭಿವ್ಯಕ್ತಿ,દ્વિપદી અભિવ્યક્તિ
ದ್ವಿಪದ ಯಾದೃಚ್ಛಿಕ ವೇರಿಯಬಲ್,દ્વિપદી રેન્ડમ ચલ
ದ್ವಿಪದ ಪ್ರಮೇಯ,દ્વિપદી પ્રમેય
ಇಬ್ಭಾಗ,દ્વિભાગ
ವಿಭಜನಾ ವಿಧಾನ,દ્વિભાજન પદ્ધતિ
ದ್ವಿಭಾಜಕ,દ્વિભાજક
ಬೈಸೀರಿಯಲ್,બાયસીરીયલ
ಸ್ವಲ್ಪ,બીટ
ದ್ವಿಪದ ದ್ವಿಪದ ವಿತರಣೆ,દ્વિપક્ષીય દ્વિપદી વિતરણ
ದ್ವಿಗುಣ ಪರಸ್ಪರ ಸಂಬಂಧ ಗುಣಾಂಕ,બાયવેરિયેટ સહસંબંધ ગુણાંક
ದ್ವಿಗುಣ ವಿತರಣೆ,દ્વિવિધ વિતરણ
ದ್ವಿಗುಣ ಸಾಮಾನ್ಯ ವಿತರಣೆ,બાયવેરિયેટ સામાન્ય વિતરણ
ಬೈವೆಕ್ಟರ್,બાઇવેક્ટર
ಬೋಲ್ಟ್ಜ್‌ಮನ್ ಸಮೀಕರಣ,બોલ્ટ્ઝમેન સમીકરણ
ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ,બુલિયન બીજગણિત
ಬೋಸ್ - ಐನ್ಸ್ಟೈನ್ ಅಂಕಿಅಂಶಗಳು,બોઝ - આઈન્સ્ટાઈન આંકડા
ಗಡಿ ಸ್ಥಿತಿ,સીમાની સ્થિતિ
ಗಡಿ ಪದರ,સીમા સ્તર
ಗಡಿ ರೇಖೆ,સીમા રેખા
ಗಡಿ ಮೌಲ್ಯ,સીમા મૂલ્ય
ಗಡಿ ಮೌಲ್ಯದ ಸಮಸ್ಯೆ,સીમા મૂલ્યની સમસ્યા
ಸೀಮಿತ ಕಾರ್ಯ,બંધાયેલ કાર્ય
ಬೌಂಡೆಡ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್,બાઉન્ડેડ મેટ્રિક્સ
ಗಡಿ ಪ್ರದೇಶ,સીમિત પ્રદેશ
ಸೀಮಿತ ಸೆಟ್,બાઉન્ડેડ સેટ
ಬ್ರೌನಿಯನ್ ಚಲನೆ,બ્રાઉનિયન ગતિ
ಲೆಕ್ಕಾಚಾರ,ગણત્રી
ಲೆಕ್ಕಾಚಾರ,ગણતરી
ಲೆಕ್ಕಾಚಾರ ಯಂತ್ರ,ગણતરી મશીન
ಲೆಕ್ಕಾಚಾರ,ગણતરી
ಲೆಕ್ಕಾಚಾರದ ಕಾರ್ಯವಿಧಾನ,ગણતરીની પ્રક્રિયા
ಕ್ಯಾಲ್ಕುಲೇಟರ್,કેલ્ક્યુલેટર
ಕಲನಶಾಸ್ತ್ರ,કલન
ವ್ಯತ್ಯಾಸದ ಕಲನಶಾಸ್ತ್ರ,વિવિધતાની ગણતરી
ಕ್ಯಾಲೋರಿ,કેલરી
ರದ್ದತಿ ಕಾನೂನು,રદ કરવાનો કાયદો
ಅಂಗೀಕೃತ ಸಮೀಕರಣ,પ્રામાણિક સમીકરણ
ಅಂಗೀಕೃತ ರೂಪ,પ્રમાણભૂત સ્વરૂપ
ಅಂಗೀಕೃತ ಮ್ಯಾಟ್ರಿಕ್ಸ್,પ્રમાણભૂત મેટ્રિક્સ
ಕ್ಯಾಂಟರ್ ಸೆಟ್,કેન્ટર સેટ
ಕ್ಯಾಂಟರ್‌ನ ತ್ರಯಾತ್ಮಕ ಸೆಟ್,કેન્ટોરનો તૃતીય સમૂહ
ಸಾಮರ್ಥ್ಯದ ಸಾರಿಗೆ ಸಮಸ್ಯೆ,ક્ષમતાયુક્ત પરિવહન સમસ્યા
ಸಾಮರ್ಥ್ಯ,ક્ષમતા
ಕ್ಯಾಪಿಲ್ಲರಿ ಬಲ,રુધિરકેશિકા બળ
ಕಾರ್ಡಿನಲ್ ಸಂಖ್ಯೆ,મુખ્ય નંબર
ಕಾರ್ಟೇಶಿಯನ್ ಅಕ್ಷಗಳು,કાર્ટેશિયન અક્ષો
ಕಾರ್ಟೇಶಿಯನ್ ನಿರ್ದೇಶಾಂಕಗಳು,કાર્ટેશિયન કોઓર્ડિનેટ્સ
ಕಾರ್ಟೇಶಿಯನ್ ಉತ್ಪನ್ನ,કાર્ટેશિયન ઉત્પાદન
ಸೆಟ್‌ಗಳ ಕಾರ್ಟೇಶಿಯನ್ ಉತ್ಪನ್ನ,સેટનું કાર્ટેશિયન ઉત્પાદન
ಉದಾಹರಣಾ ಪರಿಶೀಲನೆ,કેસ સ્ટડી
ದುರಂತದ ಏರಿಳಿತ,આપત્તિજનક વધઘટ
ಕ್ಯಾಟೆನರಿ,કેટેનરી
ಕೌಚಿ ವಿತರಣೆ,કોચી વિતરણ
