Tamil,Punjabi
அளவின் ஏறுவரிசை,ਤੀਬਰਤਾ ਦਾ ਵੱਧਦਾ ਕ੍ਰਮ
ஏறுவரிசை தொடர்,ਚੜ੍ਹਦੀ ਲੜੀ
அசெம்பிளர் மொழி,ਅਸੈਂਬਲਰ ਭਾਸ਼ਾ
பணி நியமன பிரச்சனை,ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ
துணை சட்டம்,ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ
ஆபரேட்டர்களின் துணை சட்டம்,ਆਪਰੇਟਰਾਂ ਦਾ ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ
துணை செயல்பாடு,ਸਹਿਯੋਗੀ ਕਾਰਵਾਈ
கூட்டுறவு,ਸੰਗਤ
சராசரியாக கருதப்படுகிறது,ਮਤਲਬ ਮੰਨਿਆ
நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது,ਅਨੁਮਾਨਿਤ ਸੰਭਾਵਨਾ ਵੰਡ
அனுமானம்,ਧਾਰਨਾ
ஜோதிடம்,ਜੋਤਿਸ਼
விண்வெளி பொறியாளர்,ਪੁਲਾੜ ਵਿਗਿਆਨੀ ਇੰਜੀਨੀਅਰ
வானியலாளர்,ਖਗੋਲ ਵਿਗਿਆਨੀ
வானியல் கடிகாரம்,ਖਗੋਲੀ ਘੜੀ
வானியல்,ਖਗੋਲ ਵਿਗਿਆਨ
சமச்சீரற்ற வளைவு,ਅਸਮਿਤ ਵਕਰ
சமச்சீரற்ற தன்மை,ਅਸਮਿਤੀ
அறிகுறியற்றது,asymptote
அறிகுறியற்ற,asymptotic
அறிகுறியற்ற திறமையான மதிப்பீட்டாளர்,asymptotically ਕੁਸ਼ਲ ਅਨੁਮਾਨਕ
அறிகுறியற்ற பாரபட்சமற்ற மதிப்பீட்டாளர்,asymptotically ਨਿਰਪੱਖ ਅਨੁਮਾਨਕ
அறிகுறியற்ற நடத்தை,asymptotic ਵਿਵਹਾਰ
அறிகுறியற்ற விநியோக செயல்பாடு,asymptotic ਵੰਡ ਫੰਕਸ਼ਨ
அறிகுறியற்ற விரிவாக்கம்,asymptotic ਵਿਸਥਾਰ
வளிமண்டல அழுத்தம்,ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ
சீரற்ற முறையில்,ਬੇਤਰਤੀਬੇ &#39;ਤੇ
பண்பு,ਵਿਸ਼ੇਸ਼ਤਾ
மாதிரி செயல்முறை பண்புகளை,ਗੁਣ ਨਮੂਨਾ ਪ੍ਰਕਿਰਿਆ
பெரிதாக்கப்பட்ட அணி,ਵਧੀ ਹੋਈ ਮੈਟਰਿਕਸ
தன்னியக்க தொடர்பு குணகம்,ਸਵੈ-ਸੰਬੰਧ ਗੁਣਾਂਕ
தன்னியக்க தொடர்பு செயல்பாடு,ਸਵੈ-ਸਬੰਧੀ ਫੰਕਸ਼ਨ
தன்னியக்க மாறுபாடு,autocovariance
தானியங்கி கணினி,ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਰ
தன்னியக்க பின்னடைவு,ਆਟੋਰਿਗਰੇਸ਼ਨ
துணை சமன்பாடு,ਸਹਾਇਕ ਸਮੀਕਰਨ
சராசரி மாதிரி எண் வளைவு (ASN வளைவு),ਔਸਤ ਨਮੂਨਾ ਨੰਬਰ ਵਕਰ (ASN ਕਰਵ)
கோட்பாடு,axiom
அச்சு அணுகுமுறை,ਸਵੈ-ਜੀਵਨੀ ਪਹੁੰਚ
நிகழ்தகவு கோட்பாடு,ਸੰਭਾਵਨਾ ਦਾ axiom
அச்சு,ਧੁਰਾ
abscissa அச்சு,abscissa ਦਾ ਧੁਰਾ
பூமியின் அச்சு,ਧਰਤੀ ਦੀ ਧੁਰੀ
புரட்சியின் அச்சு,ਇਨਕਲਾਬ ਦੀ ਧੁਰੀ
சுழற்சியின் அச்சு,ਰੋਟੇਸ਼ਨ ਦਾ ਧੁਰਾ
சுழற்சியின் அச்சு,ਸਪਿਨ ਦਾ ਧੁਰਾ
பின்-மாற்று,ਵਾਪਸ-ਸਥਾਪਨਾ
பின்தங்கிய வேறுபாடு,ਪਿਛਲਾ ਫਰਕ
பின்தங்கிய இடைக்கணிப்பு சூத்திரம்,ਬੈਕਵਰਡ-ਇੰਟਰਪੋਲੇਸ਼ਨ ਫਾਰਮੂਲਾ
சமநிலை,ਸੰਤੁਲਨ
சீரான வடிவமைப்பு,ਸੰਤੁਲਿਤ ਡਿਜ਼ਾਈਨ
இருப்புநிலை,ਸੰਤੁਲਨ ਸ਼ੀਟ
பாலிஸ்டிக் ஏவுகணை,ਬੈਲਿਸਟਿਕ ਮਿਜ਼ਾਈਲ
பாலிஸ்டிக்ஸ்,ਬੈਲਿਸਟਿਕਸ
மதுக்கூடம்,ਪੱਟੀ
அடித்தளம்,ਅਧਾਰ
அடிப்படை கோணம்,ਅਧਾਰ ਕੋਣ
மடக்கையின் அடிப்படை,ਲਘੂਗਣਕ ਦਾ ਅਧਾਰ
அடிப்படை,ਬੁਨਿਆਦੀ
அடிப்படை சாத்தியமான தீர்வு,ਬੁਨਿਆਦੀ ਸੰਭਵ ਹੱਲ
அடிப்படை தீர்வு,ਬੁਨਿਆਦੀ ਹੱਲ
அடிப்படை மாறி,ਬੁਨਿਆਦੀ ਵੇਰੀਏਬਲ
அடிப்படையில்,ਆਧਾਰ
அடிப்படை உறுப்பு,ਆਧਾਰ ਤੱਤ
அடிப்படை அணி,ਆਧਾਰ ਮੈਟਰਿਕਸ
ஒரு திசையன் இடத்தின் அடிப்படை,ਇੱਕ ਵੈਕਟਰ ਸਪੇਸ ਦਾ ਅਧਾਰ
துணைவெளியின் அடிப்படை,ਸਬਸਪੇਸ ਦਾ ਆਧਾਰ
பேய்சியன் மதிப்பீடு,ਬੇਸੀਅਨ ਅੰਦਾਜ਼ਾ
பேய்ஸ் சட்டம்,ਬੇਸ ਦਾ ਕਾਨੂੰਨ
பேய்ஸ் தேற்றம்,ਬੇਅਸ ਦਾ ਸਿਧਾਂਤ
பெர்னோலி விநியோகம்,ਬਰਨੌਲੀ ਵੰਡ
பெர்னோலி எண்,ਬਰਨੌਲੀ ਨੰਬਰ
பெர்னோலி நிகழ்தகவு செயல்பாடு,ਬਰਨੌਲੀ ਪ੍ਰੋਬੇਬਿਲਟੀ ਫੰਕਸ਼ਨ
பெர்னோலியின் சமன்பாடு,ਬਰਨੌਲੀ ਦਾ ਸਮੀਕਰਨ
பெர்ரி செயல்பாடு,ਬੇਰੀ ਫੰਕਸ਼ਨ
சிறந்த பொருத்தம்,ਵਧੀਆ ਫਿੱਟ
சிறந்த பொருத்தம் வரி,ਵਧੀਆ - ਫਿੱਟ ਲਾਈਨ
சிறந்த தீர்வு,ਵਧੀਆ ਹੱਲ
சிறந்த உத்திகள்,ਵਧੀਆ ਰਣਨੀਤੀਆਂ
பீட்டா விநியோகம்,ਬੀਟਾ ਵੰਡ
சார்பு,ਪੱਖਪਾਤ
பாரபட்சமான மதிப்பீடு,ਪੱਖਪਾਤੀ ਅਨੁਮਾਨ
பைஹார்மோனிக் சமன்பாடு,biharmonic ਸਮੀਕਰਨ
பிஜேக்ஷன்,ਦੋਭਾਗ
இருமுனை வரைபடம்,ਦੋ-ਪੱਖੀ ਨਕਸ਼ਾ
பைஜெக்டிவ் மேப்பிங்,ਦੋ-ਪੱਖੀ ਮੈਪਿੰਗ
இருகோடி வடிவம்,ਦੋ-ਲੀਨੀਅਰ ਫਾਰਮ
இருமுனை செயல்பாடு,ਦੋ-ਲੀਨੀਅਰ ਫੰਕਸ਼ਨ
இருமுனை ஹெர்மிடியன் வடிவம்,ਦੋ-ਲੀਨੀਅਰ ਹਰਮੀਟੀਅਨ ਰੂਪ
பைனரி,ਬਾਈਨਰੀ
பைனரி குறியீடு,ਬਾਈਨਰੀ ਕੋਡ
பைனரி குறியிடப்பட்ட தசம,ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ
பைனரி குறியீட்டு முறை,ਬਾਈਨਰੀ ਕੋਡਿੰਗ
பைனரி கணினி,ਬਾਈਨਰੀ ਕੰਪਿਊਟਰ
பைனரி இலக்கம்,ਬਾਈਨਰੀ ਅੰਕ
பைனரி செயல்பாடு,ਬਾਈਨਰੀ ਕਾਰਵਾਈ
பைனரி அமைப்பு,ਬਾਈਨਰੀ ਸਿਸਟਮ
பைனரி மாறி,ਬਾਈਨਰੀ ਵੇਰੀਏਬਲ
ஈருறுப்புக் குணகம்,ਬਾਇਨੋਮੀਅਲ ਗੁਣਾਂਕ
இருவகைப் பரவல்,ਬਾਇਨੋਮੀਅਲ ਵੰਡ
ஈருறுப்புச் சமன்பாடு,ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ
ஈருறுப்பு விரிவாக்கம்,ਬਾਇਨੋਮੀਅਲ ਵਿਸਤਾਰ
ஈருறுப்பு வெளிப்பாடு,ਦੋਨੋਮੀ ਸਮੀਕਰਨ
ஈருறுப்பு சீரற்ற மாறி,ਬਾਇਨੋਮੀਅਲ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ
ஈருறுப்பு தேற்றம்,ਬਾਇਨੋਮੀਅਲ ਥਿਊਰਮ
இரு பிரிவு,ਦੋਭਾਗ
பிரித்தல் முறை,ਦੋਭਾਗ ਵਿਧੀ
இருவகை,ਬਾਈਸੈਕਟਰ
இருமுறை,biserial
பிட்,ਬਿੱਟ
இருவகை இருவகைப் பரவல்,bivariate binomial distribution
இருவகை தொடர்பு குணகம்,ਬਾਇਵਾਰੀਏਟ ਸਹਿ-ਸਬੰਧ ਗੁਣਾਂਕ
இருவகை விநியோகம்,ਦੋ-ਪੱਖੀ ਵੰਡ
இருவகை சாதாரண விநியோகம்,ਬਾਇਵਰੀਏਟ ਸਧਾਰਣ ਵੰਡ
பைவெக்டர்,bivector
போல்ட்ஸ்மேன் சமன்பாடு,ਬੋਲਟਜ਼ਮੈਨ ਸਮੀਕਰਨ
பூலியன் இயற்கணிதம்,ਬੂਲੀਅਨ ਅਲਜਬਰਾ
போஸ் - ஐன்ஸ்டீன் புள்ளிவிவரங்கள்,ਬੋਸ - ਆਈਨਸਟਾਈਨ ਦੇ ਅੰਕੜੇ
எல்லை நிலை,ਸੀਮਾ ਸਥਿਤੀ
எல்லை அடுக்கு,ਸੀਮਾ ਪਰਤ
எல்லைக் கோடு,ਸੀਮਾ ਰੇਖਾ
எல்லை மதிப்பு,ਸੀਮਾ ਮੁੱਲ
எல்லை மதிப்பு பிரச்சனை,ਸੀਮਾ ਮੁੱਲ ਸਮੱਸਿਆ
வரையறுக்கப்பட்ட செயல்பாடு,ਸੀਮਾਬੱਧ ਫੰਕਸ਼ਨ
கட்டுப்பட்ட அணி,ਸੀਮਾਬੱਧ ਮੈਟ੍ਰਿਕਸ
எல்லைக்குட்பட்ட பகுதி,ਸੀਮਾਬੱਧ ਖੇਤਰ
வரையறுக்கப்பட்ட தொகுப்பு,ਸੀਮਾਬੱਧ ਸੈੱਟ
பிரவுனிய இயக்கம்,ਬ੍ਰਾਊਨੀਅਨ ਮੋਸ਼ਨ
கணக்கிட,ਗਣਨਾ ਕਰੋ
கணக்கிடுகிறது,ਗਣਨਾ
கணக்கிடும் இயந்திரம்,ਗਣਨਾ ਮਸ਼ੀਨ
கணக்கீடு,ਗਣਨਾ
கணக்கீட்டு செயல்முறை,ਗਣਨਾ ਵਿਧੀ
கால்குலேட்டர்,ਕੈਲਕੁਲੇਟਰ
கால்குலஸ்,ਕੈਲਕੂਲਸ
மாறுபாட்டின் கணக்கீடு,ਪਰਿਵਰਤਨ ਦਾ ਕੈਲਕੂਲਸ
கலோரி,ਕੈਲੋਰੀ
ரத்து சட்டம்,ਰੱਦ ਕਰਨ ਦਾ ਕਾਨੂੰਨ
நியமன சமன்பாடு,ਕੈਨੋਨੀਕਲ ਸਮੀਕਰਨ
நியமன வடிவம்,ਕੈਨੋਨੀਕਲ ਰੂਪ
நியமன அணி,ਕੈਨੋਨੀਕਲ ਮੈਟ੍ਰਿਕਸ
கேன்டர் செட்,ਕੈਂਟਰ ਸੈੱਟ
கேண்டரின் மும்முனைத் தொகுப்பு,ਕੈਂਟਰ ਦਾ ਟਰਨਰੀ ਸੈੱਟ
திறன் கொண்ட போக்குவரத்து பிரச்சனை,ਸਮਰੱਥਾ ਵਾਲੀ ਆਵਾਜਾਈ ਦੀ ਸਮੱਸਿਆ
திறன்,ਸਮਰੱਥਾ
தந்துகி விசை,ਕੇਸ਼ਿਕਾ ਬਲ
கார்டினல் எண்,ਮੁੱਖ ਨੰਬਰ
கார்ட்டீசியன் அச்சுகள்,ਕਾਰਟੇਸੀਅਨ ਧੁਰੇ
கார்ட்டீசியன் ஆயத்தொகுப்புகள்,ਕਾਰਟੇਸੀਅਨ ਕੋਆਰਡੀਨੇਟਸ
கார்ட்டீசியன் தயாரிப்பு,ਕਾਰਟੇਸੀਅਨ ਉਤਪਾਦ
தொகுப்புகளின் கார்ட்டீசியன் தயாரிப்பு,ਸੈੱਟਾਂ ਦਾ ਕਾਰਟੇਸ਼ੀਅਨ ਉਤਪਾਦ
வழக்கு ஆய்வு,ਮਾਮਲੇ &#39;ਦਾ ਅਧਿਐਨ
பேரழிவு ஏற்ற இறக்கம்,ਘਾਤਕ ਉਤਰਾਅ-ਚੜ੍ਹਾਅ
கேடனரி,ਕੈਟੇਨਰੀ
காச்சி விநியோகம்,ਕੌਚੀ ਵੰਡ
கௌச்சி சூத்திரம்,ਕੌਚੀ ਫਾਰਮੂਲਾ
Cauchy Goursat தேற்றம்,ਕੌਚੀ ਗੌਰਸਤ ਪ੍ਰਮੇਯ
Cauchy Rimann நிபந்தனைகள்,ਕਾਚੀ ਰੀਮੈਨ ਦੀਆਂ ਸਥਿਤੀਆਂ
கௌச்சி வரிசை,ਕਾਚੀ ਕ੍ਰਮ
Cauchy ஒருங்கிணைந்த,ਕੌਚੀ ਅਟੁੱਟ
Cauchy முதன்மை மதிப்பு,ਕੌਚੀ ਪ੍ਰਮੁੱਖ ਮੁੱਲ
கௌச்சி எச்ச தேற்றம்,ਕਾਚੀ ਅਵਸ਼ੇਸ਼ ਪ੍ਰਮੇਯ
கெய்லி ஹாமில்டன் தேற்றம்,ਕੈਲੀ ਹੈਮਿਲਟਨ ਪ੍ਰਮੇਯ
வானுலக,ਆਕਾਸ਼ੀ ਸਰੀਰ
வான அளவீடு,ਆਕਾਸ਼ੀ ਮਾਪ
வான இயக்கவியல்,ਆਕਾਸ਼ੀ ਮਕੈਨਿਕਸ
வான பொருள்,ਆਕਾਸ਼ੀ ਵਸਤੂ
