Telugu,Bengali
అగ్రోక్లిమాటిక్ వైవిధ్యం,অ্যাগ্রোক্লিম্যাটিক বৈচিত্র্য
అగ్రోక్లిమాటిక్ జోనింగ్,অ্যাগ্রোক্লিম্যাটিক জোনিং
అగ్రోఫారెస్ట్రీ,কৃষি
వ్యవసాయ శాస్త్రం,কৃষিবিদ
వ్యవసాయ శాస్త్రం,কৃষি
అగ్రోపాస్టోరల్,অ্যাগ্রোপাস্টোরাল
అగ్రోప్రాసెసింగ్,কৃষি
అగ్రోస్టాలజీ,অ্যাগ্রোস্টোলজি
అగ్రోటైప్,এগ্রোটাইপ
ఎయిర్ ప్లాంట్,এয়ার প্ল্যান্ট
అకియోచి నేల,আকিওচি মাটি
అల్బినిజం,অ্যালবিনিজম
ఆల్ఫిసోల్స్,আলফিসোলস
ఆల్గే,শৈবাল
ఆల్గల్ వ్యాధి,অ্যালগাল ডিজিজ
క్షార నీరు,ক্ষার জল
ఆల్కలీన్,ক্ষারীয়
యుగ్మ వికల్పం,অ্যালিল
అల్లెలోకెమికల్స్,অ্যালিলোকেমিক্যালস
అల్లెలోమోర్ఫ్,Allelomorph
అల్లెలోపతి,অ্যালোলোপ্যাথি
అల్లే క్రాపింగ్,অলি ক্রপিং
కేటాయింపు,বরাদ্দ
అయోగాగమి,অ্যালোগ্যামি
అలోమెట్రీ,অ্যালোমেট্রি
అల్లోపాలిప్లోయిడ్,অ্যালোপলিপ্লয়েড
(అలోసిన్సిస్ఐలు,Allosynapsis (allosyndesis)
ప్రత్యామ్నాయ బేరింగ్,বিকল্প ভারবহন
ప్రత్యామ్నాయ భూ వినియోగం,বিকল্প জমি ব্যবহার
పరిసర,পরিবেষ্টিত
అమేలియోరెంట్,অ্যামেলিয়োর্যান্ট
అమిటోసిస్,অ্যামিটোসিস
అమినైజేషన్,গোলাবারুদ
అమ్మోనిఫికేషన్,অ্যামোনিফিকেশন
అమ్మోనిఫైయర్,অ্যামোনিফায়ার
AMORFH,অ্যামর্ফ
యాంఫిమిక్సిస్,অ্যাম্ফিমিক্সিস
యాంఫోటెరిక్,এমফোটেরিক
అనాబాలిజం,অ্যানাবোলিজম
Anaerobe,অ্যানেরোব
అనూప్లోయిడ్,অ্যানিউপ্লয়েড
యాంగిల్ నాటడం,কোণ রোপণ
పశుసంరక్షణ,পশুপালন
జంతు తిరస్కరణ,প্রাণী প্রত্যাখ্যান
శక్తిని యానిమేట్ చేయండి,অ্যানিমেট শক্তি
అనిసోప్లాయిడ్,অ্যানিসোপ্লয়েড
వార్షిక ప్లాంట్,বার্ষিক উদ্ভিদ
వార్షిక,বার্ষিক
సంశ్లేషణ,অ্যান্থেসিস
ఆంత్రాక్స్,অ্যানথ্রাক্স
మానవ కారకం,অ্যানথ্রোপোজেনিক ফ্যাক্টর
యాంటీబయోసిస్,অ্যান্টিবায়োসিস
యాంటీబయాటిక్,অ্যান্টিবায়োটিক
విరుగుడు,প্রতিষেধক
యాంటీఆక్సిడెంట్లు,অ্যান্টিঅক্সিডেন্টস
యాంటిటాక్సిన్,অ্যান্টিটক্সিন
యాన్యులస్,অ্যানুলাস
అఫిడ్,এফিড
ఎపికల్ బడ్,অ্যাপিকাল কুঁড়ি
ఎపికల్ ఆధిపత్యం,অ্যাপিকাল আধিপত্য
పుష్పగుచ్ఛము,এপিক্যালচার (মৌমাছি পালন)
అపోమిక్సిస్,অ্যাপোমিক্সিস
అపోప్టోసిస్,অ্যাপোপটোসিস
అనుబంధం,সংযোজন
ఆకలి,ক্ষুধার্ত
అనువర్తిత,প্রয়োগ
జల కలుపు,জলজ আগাছা
అర్బోరియల్,আরবোরিয়াল
అర్బరైజేషన్,আর্বোরাইজেশন
ఆర్కియో-బొటానికల్ రికార్డులు,আর্কিও-বোটানিকাল রেকর্ডস
ప్రాంత గణాంకాలు,অঞ্চল পরিসংখ্যান
ప్రాంతం,অঞ্চল
శుష్క పర్యావరణ వ్యవస్థ,শুকনো বাস্তুতন্ত্র
అరిల్,আরিল
వాసన,সুগন্ধ
సుగంధ మొక్క,সুগন্ধযুক্ত উদ্ভিদ
సుగంధ బియ్యం,সুগন্ধযুক্ত চাল
బాంజింగ్,তীর
అసేప్సిస్,Asepsis
అసెప్టిక్,অ্যাসেপটিক
అలైంగిక ప్రచారం,অ্যাসেক্সুয়াল প্রচার
పరీక్ష,অ্যাস
ఆస్తులు,সম্পদ
సమీకరణ,সংমিশ্রণ
అసోసియేషన్,সংঘ
రక్తస్రావం,জ্যোতিষী
అసినప్సిస్,অ্যাসিনাপসিস
అటావిజం,Atavism
అటామైజర్,Atomizer
క్షీణత,অ্যাট্রোফি
ఆటోగామి,অটোগামি
ఆటోలిసిస్,অটোলাইসিস
ఆటోక్సీడేషన్,অটোক্সিডেশন
ఆటోపోలిప్లోయిడ్,অটোপলিপ্লয়েড
ఆక్సిన్లు,অক্সিনস
దంపతులు,এডাব্লুএন (ব্রিজল)
బాదం,বাদাম
కలబంద,অ্যালো
అమరాంథస్,অমরান্থাস
Ammi,আম্মি
అంజన్ గడ్డి,অঞ্জান ঘাস
ఆంథూరియం,অ্যান্থুরিয়াম
"అయోన్లా, ఇండియన్ గూస్బెర్రీ","অোনলা, ভারতীয় গুজবেরি"
ఆపిల్,অ্যাপল
నేరేడు పండు,এপ্রিকট
అర్బియన్ జాస్మిన్,আরবিয়ান জেসমিন
అరేకా గింజ,সুপারি বাদাম
అర్జున్,অর্জুন
అస్ఫోటిడా,Asfoetida
యాష్ పొట్లకాయ,অ্যাশ লাউ
అశోక చెట్టు,অশোক গাছ
కవచము కలుపు,আশ্থমা আগাছা (ইউফোর্বিয়া)
ఆస్పరాగస్,অ্যাস্পারাগাস
అవోకాడో,অ্যাভোকাডো
అంతా అల్నాఫ్న్నే,আলফালফা (লুসার্ন)
చీమలు,পিঁপড়া
అఫిడ్స్,এফিডস
ఆర్మీ పురుగు,সেনা কৃমি
వ్యవసాయ ఆర్థికవేత్త,কৃষি অর্থনীতিবিদ
వ్యవసాయ పొడిగింపు,কৃষি এক্সটেনশনিস্ট
వ్యవసాయ శాస్త్రవేత్త,কৃষি বিজ্ঞানী
వ్యవసాయ ఇంజనీర్,কৃষি প্রকৌশলী
అగ్రోబయాలజిస్ట్,অ্যাগ্রোবায়োলজিস্ট
వ్యవసాయ శాస్త్రవేత్త,কৃষিবিদ
అగ్రోఫిసిక్,অ্যাগ্রোফিজিসট
జంతువుల పెంపకందారుడు,প্রাণী ব্রিডার
బాసిల్లస్ వైరస్,ব্যাসিলাস ভাইরাস
బాసిల్లస్,ব্যাসিলাস
బాక్టీరియా,ব্যাকটিরিয়া
బాక్టీరియోటాక్సిన్,ব্যাকটিরিওক্সিন
బాగస్సే,ব্যাগাস
బ్యాలెన్స్ షీట్,ব্যালেন্স শীট
సమతుల్య ఫలదీకరణం,ভারসাম্যহীন নিষেক
బార్ రేఖాచిత్రం,বার ডায়াগ্রাম
బెరడు,বাকল
బేరోమీటర్,ব্যারোমিটার
బంజరు,বন্ধ্যা
బేస్,বেস
బేసిన్,বেসিন
బాసిపెటల్,বেসিপেটাল
బేసిథెర్నమ్,বেসস্টারনাম
బే రుతుపవనాలు,উপসাগর
బేరింగ్ ప్లాంట్,বিয়ারিং প্ল্যান্ট
మం చం,বিছানা
బెడర్,বেডার
పరుపు,বিছানাপত্র
దుంప మొలాసిస్,বীট গুড়
బెలోస్,বেলো
బెల్ట్,বেল্ট
బెనిఫిట్-కాస్ట్ అనాలిసిస్,বেনিফিট-ব্যয় বিশ্লেষণ
పక్షపాతం,পক্ষপাতদুষ্ট (নমুনা)
ద్వైవార్షిక,দ্বিবার্ষিক
ద్విపద,দ্বিপদী
బయోజెంట్,বায়োএজেন্ট
బయోక్లైమేట్,বায়োক্লিমেট
బయోఎనర్జీ,বায়োনারজি
బయోనోమిక్స్,বায়োনমিক্স
బయోఇయాక్టర్,বায়োরিয়্যাক্টর
బయోస్పియర్,বায়োস্ফিয়ার
బయోటిక్,বায়োটিক
బయోటైప్,বায়োটাইপ
ద్విలింగ,উভকামী
బ్లాంచింగ్,ব্লাঞ্চিং
పేలుడు,বিস্ফোরণ
కలపండి,মিশ্রণ
ముడత,ব্লাইট
పొక్కు,ফোস্কা
నీలం విప్లవం,নীল বিপ্লব
దిగువ వేడి గది,নীচে তাপ চেম্বার
దిగువ ఉష్ణ సాంకేతికత,নীচে তাপ কৌশল
బ్రాన్,ব্রান
శాఖ,শাখা
బ్రాంచ్లెట్,শাখা
జాతి,প্রজনন
పెంపకం,প্রজনন
బ్రిమ్మింగ్,Brimming
సంతానం,ব্রুড
బడ్డింగ్,উদীয়মান
బడ్జెట్,বাজেট
బఫర్,বাফার
బల్బ్,বাল্ব
బంట్,বুট
ఉప-ఉత్పత్తి,উপজাত
బాబుల్ అకాసియా,বাবুল অ্যাকাসিয়া
బేబీ మొక్కజొన్న,শিশুর ভূট্টা
బేల్,বেল
బైల్,বেল
బాల్సం,বালসাম
వెదురు,বাঁশ
అరటి,কলা
మర్రి చెట్టు,বটগাছ
బార్లీ,বার্লি
బార్నియార్డ్ మిల్లెట్,বার্নইয়ার্ড মিললেট
తులసి,পুদিনা
బాస్టర్డ్ సెడార్,জারজ সিডার
బాస్టర్డ్ మైరోబాలన్,জারজ মাইরোবালান
బౌహినియా,বাউহিনিয়া
బే బెర్రీ,বে বেরি
బీన్,বিন
దుంప,বীট
బెల్లడోన్నా,বেলাদোনা
బెర్,বের
బెర్సీమ్,বার্সিম
బెటెల్,সুপারি
బిలింబి,বিলিম্বি
కాకరకాయ,বিটার লাউ
బ్లాక్ గ్రామ్,কালো গ্রাম
బ్లాక్ నైట్ షేడ్,কালো নাইটশেড
బౌగెన్విలియా,বোগেনভিলিয়া
బాటిల్ బ్రష్,বোতল ব্রাশ
బాటిల్ పొట్లకాయ,বোতল লাউ
బాక్స్ ట్రీ,বক্স ট্রি
బ్రెడ్ ఫ్రూట్,রুটি ফল
పెళ్లి లత,ব্রাইডাল লতা
బ్రింజల్,ব্রিনজাল
బ్రాడ్ బీన్,ব্রড শিম
బ్రోకలీ,ব্রোকলি
బ్రస్సెల్ మొలక,ব্রাসেলের স্প্রাউট
బుక్వీట్,বাকউইট
బ్యూటియా,বুটিয়া
బాండికూట్,ব্যান্ডিকুট
ఎలుగుబంటి,ভাল্লুক
బీటిల్,বিটল
బొబ్బ బీటిల్,ফোস্কা বিটল
బ్లూ బుల్,নীল ষাঁড়
బోల్ పురుగు,বোল কৃমি
సీతాకోకచిలుక,প্রজাপতি
బాక్టీరియాలజిస్ట్,ব্যাকটিরিওলজিস্ট
బయోకెమిస్ట్,বায়োকেমিস্ট
జీవశాస్త్రవేత్త,জীববিজ্ঞানী
బయోటెక్నాలజిస్ట్,বায়োটেকনোলজিস্ট
వృక్షశాస్త్రజ్ఞుడు,উদ্ভিদবিদ
సి తేమ లక్షణ వక్రత,সি আর্দ্রতা বৈশিষ্ট্যযুক্ত বক্ররেখা
కేక్,কেক
కాల్కారియస్,ক্যালারিয়াস
కాల్సిఫికేషన్,ক্যালিফিকেশন
ఫాస్ఫేట్ యొక్క లెక్కింపు,ফসফেটের ক্যালকিনেশন
కాలోసిటీ,Calost
కాలిస్,কলাস
కాలిక్స్,ক্যালিক্স
కాలిక్స్-ఎండ్,ক্যালিক্স-এন্ড
కాంబియం,ক্যাম্বিয়াম
క్యాంకర్,ক্যান্সার
క్యానింగ్,ক্যানিং
పందిరి,ক্যানোপি
రాజధాని,মূলধন
కాప్రిఫికేషన్,ক্যাপরিফিকেশন
క్యాప్సూల్,ক্যাপসুল
కార్బోనేటేడ్,কার্বনেটেড
కార్బోనైజేషన్,কার্বনাইজেশন
కార్పెల్,কার্পেল
కార్పస్,কার্পাস
కాస్టింగ్,ঢালাই
క్యాటాబోలిజం,ক্যাটাবোলিজম
ఉత్ప్రేరక,ক্যাটালাইসিস
గొంగళి పురుగు,শুঁয়াপোকা
సి-డిఎన్ఎ లైబ్రరీ,সি-ডিএনএ লাইব্রেরি
పైకప్పు,সিলিং
సెల్,সেল
కేంద్ర నాయకుడు వ్యవస్థ,কেন্দ্রীয় নেতা ব্যবস্থা
సెంట్రిక్,কেন্দ্রিক
సెంట్రిఫ్యూగేషన్,সেন্ট্রিফিউগেশন
సెంట్రిఫ్యూజ్,সেন্ট্রিফিউজ
సెంట్రియోల్,সেন্ট্রিওল
సెంట్రోజెనిక్,সেন্ট্রোজেনিক
సెంట్రోజెనస్,সেন্ট্রোজেনাস
సెర్కస్,সার্কাস
ధాన్యం,সিরিয়াল
ధృవీకరణ,শংসাপত্র
ధృవీకరించబడిన విత్తనం,প্রত্যয়িত বীজ
చాఫ్,চ্যাফ
చలాజా,চালাজা
కెమోట్రోపిజం,কেমোট্রপিজম
చియాస్మా,চিয়াসমা
చిల్లింగ్ గంటలు,শীতল সময়
చిల్లింగ్ గాయం,শীতল আঘাত
చిమెరా,চিমেরা
క్లోరాంథీ,ক্লোরান্টি
క్లోరోఫిల్,ক্লোরোফিল
క్లోరోసిస్,ক্লোরোসিস
క్లోరాలజీ,ক্লোরোলজি
క్రోమాటిడ్,ক্রোমাটিড
క్రోమాటిన్,ক্রোমাটিন
క్రోమాటోగ్రఫీ,ক্রোমাটোগ্রাফি
క్రోమాటోలిసిస్,ক্রোমাটোলাইসিস
క్రోమోసెంట్రే,ক্রোমোসেন্ট্রে
క్రోమోజెనిసిస్,ক্রোমোজেনেসিস
క్రోమోప్రొటీన్,ক্রোমোপ্রোটিন
క్రోమోజోమ్,ক্রোমোজোম
దీర్ఘకాలిక,দীর্ঘস্থায়ী
సిట్రేంజ్,সিট্রঞ্জ
క్లాడోడ్,ক্লেডোড
వర్గీకరణ,শ্রেণিবদ্ধকরণ
మట్టి,ক্লে
శుభ్రపరచడం,পরিষ্কার
క్లిస్టోగామి,ক্লিস্টোগ্যামি
క్లైమాక్టెరిక్ పండు,ক্লাইম্যাক্টেরিক ফল
వాతావరణం,জলবায়ু
క్లైమాటాలజీ,জলবায়ু
క్లిప్పర్,ক্লিপার
క్లాడ్,ক্লোড
క్లోన్,ক্লোন
మేఘం,মেঘ
క్లాంప్,ক্লাম্প
క్లస్టర్,ক্লাস্টার
ముతక,মোটা
విత్తనం,কোট (বীজ)
కోకన్,কোকুন
కోఎంజైమ్,কোএনজাইম
సమన్వయం,সংহতি
కోయిర్,কয়ার
కోలియోరిజా,কোলোররিজা
కాలర్,কলার
ఘోథ,কলয়েড (মাটি)
కొలుమెల్లా,কলিউমেলা
కాలమ్,কলাম
ప్రారంభం,কমেন্সালিজম
వాణిజ్య బ్యాంకు,বাণিজ্যিক ব্যাংক
వస్తువు,পণ্য
సంఘం,সম্প্রদায়
సంపీడన (మట్టి),সংযোগ (মাটির)
అనుకూలత,সামঞ্জস্যতা
అనుకూలత,সামঞ্জস্যতা
పరిహారం,ক্ষতিপূরণ
పోటీ పరస్పర చర్య,প্রতিযোগিতামূলক মিথস্ক্রিয়া
పరిపూరకరమైన పంట,পরিপূরক ফসল
క్లిష్టమైన,জটিল
భాగం,উপাদান
కూర్పు,গঠন
కంపోస్ట్,কম্পোস্ট
చక్రవడ్డీ,চক্রবৃদ্ধিহারে সুদ
గణన,গণনা
కంప్యూటర్,কম্পিউটার
ఏకాగ్రత,একাগ্রতা
కండీషనర్,কন্ডিশনার
ప్రవర్తన,আচরণ
ఆకృతీకరణ,কনফিগারেশন
అనుగుణ్యత,অনুসার
గందరగోళం,বিভ্রান্তিকর
సంయోగం,সংমিশ্রণ
కనెక్టివ్,সংযোগকারী
పరిరక్షణ,সংরক্ষণ
ఏకీకరణ,একত্রীকরণের
భాగాలు,উপাদান
వినియోగదారు,গ্রাহক
వినియోగం,খরচ
కాలుష్యం,দূষণ
ఆకృతి నాటడం,কনট্যুর রোপণ
ఆకృతి,কনট্যুর
కాంట్రాక్ట్ వ్యవసాయం,চুক্তি চাষ
నియంత్రిత నిల్వ,নিয়ন্ত্রিত স্টোরেজ
సహకార బ్యాంక్,সমবায় ব্যাংক
సహకారం,সহযোগী
కాపిస్,কপিস
కార్మ్,Corm
కొరోల్లా,করোলা
కార్టెక్స్,কর্টেক্স
ధర,ব্যয়
కోడిలిడాన్,কোটিলেডন (বীজ)
క్రెడిట్ సొసైటీ,ক্রেডিট সোসাইটি
క్రెడిట్,ক্রেডিট
రుణదాత,পাওনাদার
క్రెస్ట్,ক্রেস্ট
ముడతలు,ক্রিঙ্কল
సంక్షోభం,সংকট
ప్రమాణం,মানদণ্ড
క్లిష్టమైన,সমালোচনা
పంట భీమా,শস্য বীমা
పంట రుణం,শস্য loan ণ
పంట,ফসল
పంట ప్రాంతం,ক্রপিং অঞ্চল
క్రాస్ ఇన్ఫాంపిబుల్,ক্রস-ইনমপ্যাটেবল
క్రౌన్ (మొక్క),মুকুট (উদ্ভিদ)
ముక్క,ক্রম্ব
క్రస్ట్,ক্রাস্ট
క్రిప్టోమ్,ক্রিপ্টোগাম
మెడ (పండ్లు),কুল (ফল)
కుల్మ్,কাল্ম
సాగు,চাষকারী
సాగు,চাষ
సాగు,কৃষক
సంస్కృతి,সংস্কৃতি
క్యూరింగ్,নিরাময়
కర్లింగ్,কার্লিং
కరెన్సీ,মুদ্রা
క్యూటికల్,কিউটিকাল
కట్టింగ్,কাটা
తిత్తి,সিস্ট
సైటోక్రోమ్,সাইটোক্রোম
సైటోగామి,সাইটোগ্যামি
సైటోజెనిసిస్,সাইটোজেনেসিস
సైటోజెనెటిక్స్,সাইটোজেনেটিক্স
సైటోకినిసిస్,সাইটোকাইনেসিস
సైటోలజీ,সাইটোলজি
సైటోలిసిస్,সাইটোলাইসিস
సైటోమీర్,সাইটোমির
సైటోప్లాజమ్,সাইটোপ্লাজম
క్యాబేజీ,বাঁধাকপি
కాక్టస్,ক্যাকটাস
కలేన్ద్యులా,ক্যালেন্ডুলা
ఫలారిస్,ক্যানারি ঘাস (ফালারিস)
Canna,ক্যানা
కాపారిస్,ক্যাপারি
క్యాప్సికం,ক্যাপসিকাম
కారాంబోలా,ক্যারামবোলা
కారాపా,ক্যারপা
ఏలకులు,এলাচ
కార్నేషన్,কার্নেশন
కారెట్,গাজর
జీడి పప్పు,হিজলি বাদাম
కాసియా,ক্যাসিয়া
కాస్టర్,ক্যাস্টর
కాలీఫ్లవర్,ফুলকপি
సెలెరీ,সেলারি
ఛాంపాక్,চ্যাম্প্যাক
చెనోపోడియం,চেনোপোডিয়াম
చెర్రీ టమొూటా,চেরি টমেটো
చెర్రీ,চেরি
"చిక్పా, గ్రామ్","ছোলা, গ্রাম"
మిరపకాయలు,মরিচ
చైనా టర్పెంటైన్ చెట్టు,চীন টারপেনটাইন গাছ
చౌ చౌ,কুকুর কুকুর
క్రిసాన్తిమం,ক্রিস্যান্থেমাম
"చుఫా, ఎర్త్ బాదం","চুফা, পৃথিবী বাদাম"
సికోరీ,সিচরি
దాల్చిన చెక్క,দারুচিনি
సిట్రాన్,সিট্রন
సిట్రోనెల్లా గడ్డి,সিট্রোনেলা ঘাস
క్లైంబింగ్ జాస్మిన్,জেসমিন আরোহণ
లవంగం,লবঙ্গ
క్లస్టర్ బీన్,ক্লাস্টার বিন
కోకో,কোকো
కొబ్బరి,নারকেল
కాఫీ,কফি
కోలియస్,কোলিয়াস
కోలోకాసియా,কলোকাসিয়া
"కోలోసిన్త్, చేదు ఆపిల్","কলোকিন্থ, তিক্ত আপেল"
సాధారణ పర్స్లేన్,সাধারণ পার্সেলেন
కొత్తిమీర,ধনে
పత్తి,সুতি
కౌపీయా,কাউপিয়া
క్యూబ్బ్,কিউব
దోసకాయ,শসা
కుకుర్బిట్స్,Cucubits
జీలకర్ర,জিরা
కరివేపాకు ఆకు,কারি পাতা
సీతాఫలం,আতা
క్యాప్సూల్ బోరర్,ক্যাপসুল বোরার
గొంగళి పురుగు,ক্যাটারপিলার
సిట్రస్ సైలా,সাইট্রাস সাইক্ল্লা
క్రికెట్,ক্রিকেট
కాకి,কাক
కట్ పురుగు,কাটা কৃমি
పాల,দুগ্ধ
పాల,ডেয়ারিং
ఆనకట్ట,বাঁধ
రోజు-తటస్థ,দিন-নিরপেক্ষ
పుష్పించే రోజుల తరువాత,ফুলের পরে দিন
పూర్తి బ్లూమ్ తర్వాత రోజులు,পুরো পুষ্প পরে দিন
డెబ్లోసింగ్,ডিব্লোসোমিং
డీకాల్సిఫికేషన్,ডিক্যালসিফিকেশন
డికాంట్,ডিক্যান্ট
క్షయం,ক্ষয়
ఆకురాల్చే,পাতলা
దశాంశం,দশমিক
లోపం,স্বল্পতা
మట్టి,ডিফলোকুলেশন (মাটি)
డెఫ్లోరేషన్,Defloration
డీఫోలియేషన్,ডিফোলিয়েশন
అటవీ నిర్మూలన,বন নিধন
క్షీణత,অবক্ষয়
క్షీణత,অবক্ষয়
డిగ్రీ రోజులు,ডিগ্রি দিন
డిగ్రీ,ডিগ্রি
డీహిస్సెన్స్,ডিহেসেন্স
డెహల్లింగ్,ডিহুলিং
డెహస్కింగ్,ডিহুসিং
నిర్జలీకరణం,পানিশূন্যতা
డీహైడ్రేటర్,ডিহাইড্রেটর
డిమాండ్,চাহিদা
డీనాటరేషన్,অবনতি
తిరస్కరణ,অস্বীকার
డిపాజిట్,আমানত
నిక్షేపణ,জবানবন্দি
తరుగుదల డీసాలినైజేషన్,অবমূল্যায়ন বিচ্ছিন্নকরণ
డీసికేషన్,বিশৃঙ্খলা
రూపకల్పన,নকশা
డెస్సికేటర్,ডেসিসেটর
డెస్టొనింగ్,গন্তব্য
డెస్కరింగ్,Desuckering
డెసినాప్సిస్,Desynapsis
డిటాసెల్,ডেটাসেল
డిటాసెలింగ్,ডিটাসেলিং
నిర్ణయాధికారి,নির্ধারক
విలువ తగ్గింపు,অবমূল্যায়ন
డివెగెటేషన్,দেভেজেটেশন
విచలనం,বিচ্যুতি
డైడ్,ডায়াড
రోగ నిర్ధారణ,রোগ নির্ণয়
డైకోగామి,Dichogamy
డైకోటోమి,দ্বৈতত্ত্ব
విత్తనం,ডিকোটাইলডন (বীজ)
డై బ్యాక్ (వ్యాధి),ফিরে মারা (রোগ)
విస్తరణ,বিচ্ছুরণ
డైజెస్టిబిలిటీ,হজমতা
డైహైబ్రిడ్,ডিহাইব্রিড
ఒక రకానికి చెందిన వ్యక్తి,ডাইক (ডাইক)
పలుచన,পাতলা
డైయోసియస్,ডাইওসিয়াস
డిప్లాయిడ్,ডিপ্লোড
డిప్లాయిడ్,ডিপ্লোড
డిప్లొనెమా,ডিপ্লোনেমা
విడదీయడం,অসন্তুষ্টি
డిస్కింగ్,ডিস্কিং
డిస్కౌంట్,ছাড়
క్రిమిసంహారక,নির্বীজন
చెదరగొట్టడం,বিচ্ছুরণ
వ్యాప్తి,প্রচার
వైవిధ్యీకరణ,বৈচিত্রতা
వైవిధ్యభరితమైన వ్యవసాయం,বিবিধ কৃষিকাজ
DNA నిచ్చెన,ডিএনএ মই
DNA రిసెప్టర్,ডিএনএ রিসেপ্টর
డాకేజ్,ডকেজ
ఆధిపత్యం,প্রভাবশালী
నిద్రాణస్థితి,সুপ্ততা
మోతాదు,ডোজ
డబుల్ సిగ్మోయిడ్ కర్వ్,ডাবল সিগময়েড বক্ররেখা
ముసాయిదా (ముసాయిదా),খসড়া (খসড়া)
హరించడం,ড্রেন
పారుదల,নিকাশী
డ్రా,অঙ্কন
డ్రించింగ్,ভিজে যাওয়া
డ్రెస్సింగ్ (విత్తనం),ড্রেসিং (বীজ)
డ్రిల్ (ఎన్.),ড্রিল (এন।)
డ్రిల్లింగ్ (ఎగ్. ఇంజిగ్),ড্রিলিং (এজি। ইঞ্জিন)
వ్యవసాయ శాస్త్రం,ড্রিলিং (কৃষি)
బిందు సేద్యం,ড্রিপ সেচ
డ్రైలాండ్ వ్యవసాయం,শুকনো কৃষিকাজ
దుమ్ము,ধুলো
డస్టర్,ডাস্টার
దుమ్ము,ধুলাবালি
మరగుజ్జు,বামন
మరగుజ్జు పిరమిడ్,বামন পিরামিড
మరగుజ్జు,বামন
డైసీ,ডেইজি
తేదీలు,তারিখ
రోజు జాస్మిన్,ডে জেসমিন
మెంతులు,ডিল
దిననాథ్ గడ్డి,দিননাথ ঘাস
డాడర్,ডড্ডার
"డూబ్ గడ్డి, బెర్ముడా గడ్డి","ডুব ঘাস, বারমুডা ঘাস"
డ్రూస్,ড্রুস
పొడి అల్లం,শুকনো আদা
బీటిల్‌ను డీఫోలైట్ చేస్తుంది,ডিফোলিয়েটিং বিটল
డ్రోన్,ড্রোন
