English,Gujarati
assembly (=assemblage),"એસેમ્બલીંગ, એસેમ્બલીંગ, એસેમ્બલીંગ"
assessment of accuracy,ચોકસાઇ અંદાજ
assigned assignment (of quantum numbers),ઉલ્લેખિત (ક્વોન્ટમ નંબરોની) વિશિષ્ટતાઓ
associated,"સંબંધિત, સહયોગી, જોડાણ"
assonance,સ્વર અવાજ
astable multivibrator (=free running multivibrator),સ્વચાલિત મલ્ટિવાઇબ્રેટર
astatic,અસ્થેનિક
astigmatism,"ત્યાગ, અસ્પષ્ટતા"
astrionics,અવકાશ યાત્રા ઇલેક્ટ્રોનિક્સ
astrometry,એસ્ટ્રોફિઝિક્સ
astronaut,અવકાશયાત્રી
astronomer,ખગોળશાસ્ત્રી
astronomical,આકાશી
astronomy,ખગોળશાસ્ત્ર
astrophysics,એસ્ટ્રોફિઝિક્સ
asymmetrical,અસમપ્રમાણ
asymptote,એસિમ્પટોટિક
asymptotic,ઉત્તેજક
asynchronous,અસુમેળ
atmosphere,"વાતાવરણ, વાતાવરણ"
atmospheric,વાતાવરણીય
atmospherics,પવનની અશાંતિ
atom,પરમાણુ
atomic,અણુ
atomicity,પરમાણુ
atomic mass,પરમાણુ સમૂહ
atomic number,અણુ સંખ્યા
atomic reactor (=atomic pile),"પરમાણુ રિએક્ટર, પરમાણુ ખૂંટો"
atomistic,અણુ
atomization,કણ
atomizer,કણ
attenuation,એટેન્યુએશન
attenuator,"હળવું કરવું, હળવું કરવું"
attraction,વશીકરણ
attractive forces,આકર્ષણનું બળ
audibility,શ્રાવ્યતા
audio-amplifier,ઓડિયો ફ્રીક્વન્સી એમ્પ્લીફાયર
audio,સાંભળી શકાય તેવું
audio generator,ઓડિયો જનરેટર
audiogram,શ્રાવ્ય ગ્રાફ
audiology,સુનાવણી વિજ્ઞાન
audiometer,ઓડિયોમીટર
audio oscillator,શ્રાવ્ય આવર્તન ઓસિલેટર
audio signal,ધ્વનિ સંકેત
audiovisual,દ્રશ્ય-શ્રાવ્ય
auditorium,"ઓડિટોરિયમ, ઓડિટોરિયમ"
Auger effect,ઓઝેડ અસર
augmentation,પ્રમોશન
augmentor,વધારનાર
aurora,ધ્રુવીય જ્યોત
aurora australis,દક્ષિણ ધ્રુવીય જ્યોત
aurora borealis,ઉત્તર ધ્રુવીય જ્યોત
autoalarm,આપોઆપ ચેતવણી
autocollimator,ઓટો પેરેલલાઈઝર
automatic,"આપોઆપ, આપોઆપ, આપોઆપ"
automation,"ઓટોમેશન, ઓટોમેશન"
auxiliary,"સહાયક, સહકારી, વધારાનું"
avalanche,"અવડાવ, હિમપ્રપાત"
average,"સરેરાશ, સરેરાશ"
avoidance,પરિવાર
axial,અક્ષીય
axis,ધરી
azimuth,અઝીમથ
azimuthal,અઝીમથ
back,પાછા
background,"પૃષ્ઠભૂમિ, પૃષ્ઠભૂમિ"
backlash,"પછાત, પછાત"
backout,ટર્નઅરાઉન્ડ
back swing voltage pulser,બેક વોલ્ટેજ પલ્સર
back to back connection,સંબંધ પછી
back up,વળતર
back voltage (Freverse voltage),વિરોધી વોલ્ટેજ
backward scattering,પશ્ચાદવર્તી સ્કેટરિંગ
back wave (=spacing wave),ઇન્ટર્સ્ટિશલ તરંગ
bad conductor,ઇન્સ્યુલેટર
bail out,પેરાશૂટ જમ્પ
bakeout,ગરમી
balance,"સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન"
balancer,બેલેન્સર
balancing,સંતુલન
ball ended magnet,ગ્લોબ્યુલ
ballistic,"બેલિસ્ટિક, બેલિસ્ટિક"
ballistic galvanometer,"પ્રોજેક્શન ગેલ્વેનોમીટર, પ્રોજેક્શન ગેલ્વેનોમીટર"
ballistic missile,મિસાઇલ
ballistics,"બેલિસ્ટિક્સ, હથિયાર"
ballistic throw,પ્રક્ષેપણ
ballistic trajectory,મફત માર્ગ
balloon,"બલૂન, બલૂન"
Balmer discontinuity,બાલ્મર બંધ
band,"બેન્ડ, બેન્ડ, બેન્ડ"
bang,વિસ્ફોટ
bank,"એરે, બીમ, કિનારો, બેંક, કિનારો"
bar,"કૉલમ, બાર, કોબ, બ્લોક, બાર, સળિયા, બાર, 8. દિવાલ, 9. રેખા, 10. ધાર, 1 બ્લોક, 1, બાર, 1, રેખા, 1, પરીક્ષણ રેખા"
Bardeen theory,બાર્ડીન સિદ્ધાંત
Barkhausen effect,barkhausen અસર
Barlow's wheel,બાર્લો ચક્ર
bar magnet,બાર ચુંબક
barn,કોઠાર
barogram,હવાનું દબાણ ગ્રાફ
barograph,"બેરોગ્રાફ, બેરોગ્રાફ"
barometer,બેરોમીટર
barometry,વાતાવરણ નુ દબાણ
barosphere,"કોસ્મોસ, બેરોમોસ્ફિયર"
bar pendulum,લોલક લોલક
barrier,"અવરોધ, પરમાણુ, પરમાણુ અવરોધ"
barrier layer (rectifier)=blocking layer -depletion layer =space charge layer,અવરોધ સ્તર
baryon,બેરિયન
barysphere,ગુરુમંડળ
base band,આધાર બેન્ડ
basic,"મૂળભૂત, મૂળભૂત, આલ્કલાઇન"
basis,પાયો
batching,"ગણતરી, ટીમ રચના"
bath,"કુંડ, કુંડ, હીટર, હીટિંગ પોટ, સ્નાન"
battery,બેટરી
bay,"એરે સેગમેન્ટ, ચેમ્બર, ખાડી"
B-display,પ્રદર્શન
beacon,કિબાન
bead,"મણિકા, બીડ"
beam,"બીમ, બીમ, બીમ, ટ્રમ્પ"
bearing,"ડિકમેન, ડિકોન"
beat,"ડોલ, વિસ્પંડ"
Becqueral effect,બેકરેલ અસર
bell jar,ઘંટડી બરણી
bellow,બેલો
bell shaped,ઘંટડી ઘડિયાળ
bench,"વેદિકા, બેંચ"
bend,"મોડ, બંક (સં.), વળાંક (v.)"
bending,બેંકન
bent,"વળેલું, વળેલું"
Bernoulli's equation,બર્નોલી-સમીકરણ
Bessel function,મૂળભૂત કાર્ય
best fit,શ્રેષ્ઠ સંલગ્નતા
beta (भ्),બીટા (b)
betatron,betatron
Bethe's model,bethe મોડેલ
bevatron,બાયવેટ્રોન
B-H curve,BH વળાંક
biangular,દ્વિકોણીય
bias,"પૂર્વગ્રહ, પૂર્વગ્રહ"
biaxial,દ્વિ-અક્ષીય
bichromate cell,બાઈક્રોમેટ કોષ
biconcave,અભ્યવતલ
biconical aerial,ડબલ એન્ટેના
biconvex,બાયકોન્વેક્સ
bicrystal,"દ્વિ-સ્ફટિક, દ્વિ-સ્ફટિક"
bidirectional microphone,દ્વિદિશ માઇક્રોફોન
bifactor model,દ્વિપદી મોડેલ
bifilar,એકલિંગાશ્રયી
bilateral,દ્વિપક્ષીય
bilinear,દ્વિરેખીય
bimolecular,બાયમોલેક્યુલર
binary,"દ્વિ-ચલ, દ્વિ-આધાર, દ્વિ"
binary code,"બાઈનરી કોડ, બાઈનરી કોડ"
binary star,રમત સ્ટાર
binary system,દ્વિસંગી પદ્ધતિ
binaural,બે બાજુવાળા
binding,બોન્ડ
binocular,"બાયનોક્યુલર, બાયનોક્યુલર"
binode,દ્વિસંગી
binomial distribution,દ્વિપદી વિતરણ
binuclear,"દ્વિકેન્દ્રીય, દ્વિકેન્દ્રીય, દ્વિસંગી"
biodynamics,બાયોડાયનેમિક્સ
bioelectronics,બાયો ઇલેક્ટ્રોનિક્સ
biophysicist,બાયોફિઝિસ્ટ
biophysics,બાયોફિઝિક્સ
biosatellite,જૈવિક ઉપગ્રહ
bioscope,"સિનેમેટોગ્રાફર, બાયોસ્કોપ"
Biot-Savart'law,બાયો-સાવર્ટ નિયમ
biphase current,બાયફેસિક વર્તમાન
bipolar,દ્વિધ્રુવ
biprism,"બાયપ્રિઝમ, બાયપ્રિઝમ"
biquartz,"biquartz, biquartz"
bistable characteristics,બાયફાસિક પાત્ર
bistable multivibrator,બે તબક્કાનું મલ્ટિવાઇબ્રેટર
bit,"દ્વાયાંક* (દ્વિસંગી અંક), બર્મીઝ, અની, ટુક"
black,"કાળો, કૃષ્ણ"
black body,કાળું શરીર
black light,અદ્રશ્ય પ્રકાશ
black out,તિમિરાયન રેડિયો તિમિરાયન
black out pulse (=blanking pulse),ઇજેક્શન પલ્સ
black out voltage (=cut of bias),પૂર્વગ્રહ સમાપ્ત કરો
black radiation,કાળા કિરણોત્સર્ગ
blank,"અપૂર્ણ, ખાલી"
blanketing,આવરણ
blanking,રદબાતલ
blast,"વિસ્ફોટ, વિસ્ફોટ, ગસ્ટ"
bleeder,"savika, bleeder, savi"
blind,"વેશપલટો, અંધ"
Bloch theorem,બ્લોચનું પ્રમેય
blocking,"અવરોધ, અવરોધ, અવરોધ"
blow,"ફટકો, ફટકો, ફટકો"
blue print,બ્લુ પ્રિન્ટ
blur circle,અસ્પષ્ટતા વર્તુળ
blurred,અસ્પષ્ટ
bob,"બોલ, ગોળા, પેન્ડન્ટ"
body,"શરીર, પદાર્થ"
body capacitance,શારીરિક ક્ષમતા
body centred,કેન્દ્રિત
body diagonal,"શરીર-કર્ણ, અંત-કર્ણ"
bogie,"બોગી, અજાણી શોધ (રડાર)"
Bohr effect,બોર અસર
Bohr magneton,બોર મેગ્નેટોન
boiler,"બોઈલર, બોઈલર"
boiling,"ઉકળતા, ઉકળતા"
Boltzmann equation,બોલ્ટ્સમેન સમીકરણ
bombarding electron,બોમ્બર ઇલેક્ટ્રોન
bombarding energy,"આઘાતજનક ઊર્જા, બોમ્બિંગ ઊર્જા"
bond,ગીરો
bonding,"બંધાયેલ, બંધાયેલ, બંધાયેલ"
booster,વધારનાર
boron,બોરોન
Bose particle,બોસ-પાર્ટીકલ
boson,બોસોન
bounce,"આંચકો, કૂદકો"
bound,બંધાયેલ
boundary,"મર્યાદા, મર્યાદા (ઇડી.), સીમાંત (વિ.)"
bound,બંધાયેલ
bow,ધનુરાશિ યાર્ડ
bow wave,સઢવાળી તરંગ
Boyle point,બોઈલર હીટિંગ
Boyle's law,બોયલનો કાયદો
Boyle' temperature,બોઈલર હીટિંગ
Bracket series,કૌંસ-વર્ગ
Bragg law,બેગ નિયમ
braided wire,ગૂંથેલા વાયર
braking orbit,બ્રેક વર્ગ
Bramah press,બ્રામા કોમ્પ્રેસર
branching,શાખાઓ
Bravais lattice,"બહાદુર જાળી, બહાદુર જાળી"
braze,બ્રાસ બ્રેઝિંગ
break,વિચ્છેદ
break contact,બ્રેક કનેક્ટર
breakdown diode,"ફ્રેક્ચર ડાયોડ, ઝેનર ડાયોડ"
breaking,અસ્થિભંગ
breeder reactor,"બ્રીડર રિએક્ટર, બ્રીડર ન્યુક્લિયર ફર્નેસ, બ્રીડર ફર્નેસ"
breeding,પ્રજનન
bremsstrahlung,"રેટાડન્ટ રેડિયેશન, બ્રાસ્ટ્રલંગ"
Brewster angle,બ્રુસ્ટર-એંગલ
Brewster fringe,બ્રુસ્ટર ફ્રિજ
bridge,પુલ
bridging,બ્રિજ બોન્ડ
bright,"તેજસ્વી, તેજસ્વી, ચમકદાર"
brightening,રોશની કરનાર
bright,તેજ
brightness,"દ્યુતિ, પ્રભા"
Brillouin zone,બ્રિલુવાન વિસ્તાર
British Standard Candle,બ્રિટિશ સ્ટાન્ડર્ડ મીણબત્તી
brittle,બરડ
brittleness,બરડપણું
broadcasting,પ્રસારણ
broad,વિગતવાર
broadside,પૂર્વવર્તી
Broglie formula,બ્રોગલી ફોર્મ્યુલા
broken,ખંડિત
Brownian motion,બ્રાઉની ગતિ
brush,"કુચી, બુરુશ, કુર્ચ, ગુલમ"
bubble,"બબલ, બબલ (સં.), ગણગણાટ (v.)"
bubbling,પ્રભાવ
bucking,વિરોધી પગલાં
buckling,સંકોચન
buffer,"amp-રેઝિસ્ટન્સ, બફર"
building acoustics,ધ્વનિશાસ્ત્ર
build up,બર્ધન
bulb,બલ્બ
bulging,ઉભરો
bulk,"વોલ્યુમ, જથ્થાબંધ, સમૂહ, સમૂહ, વોલ્યુમ"
bulk modulus,વોલ્યુમ સ્થિતિસ્થાપકતા ગુણાંક
bulk property,વસ્તી મિલકત
bulk temperature,મહત્તમ તાપમાન
bump (in a curve),મણકા
bunch,"ટોળું, ટોળું (n.), ક્લસ્ટર થવું (ver.)"
buncher,ટોળું
Bunsen cell,બન્સેન સેલ
buoy,ઉત્સાહ
buoyancy,"ઉલ્લાસ, ઉલ્લાસ"
Burger's circuit,બર્ગર સર્કિટ
burglar alarm,ચોર ઘંટડી
burner,"બર્નર, ઇગ્નીટર"
burn out,સંપૂર્ણ ઇગ્નીશન
burst,"વિસ્ફોટ, વિસ્ફોટ, વિસ્ફોટ"
busy line,લાઇન વ્યસ્ત
busy tone,વ્યસ્ત સ્વર
buzzer,બઝર
bypass,બાયપાસ
bypassing,સર્કિટ
cable,"દરિયાઈ વાયર, કેબલ"
cadmium,કેડમિયમ
caesium cell,સીઝિયમ-કોષ
cage dipole,પાંજર દ્વિધ્રુવ
cage effect,પાંજર અસર
calculate,ગણતરી કરવી
calculator,કેલ્ક્યુલેટર
calendar,કૅલેન્ડર
calibrate,"માપાંકન, માપાંકન, પુનરાવર્તન"
calibration factor,"માપાંકન ગુણક, માપાંકન ગુણક"
callipers,કેલિપર્સ
call-meter,"કૉલ કેલ્ક્યુલેટર, ટોક કેલ્ક્યુલેટર"
caloric,"ગરમી (v.), કેલરી (ed.)"
calorimeter,"કેલરીમીટર, કેલરીમીટર"
calorimetry,"કેલરીમેટ્રી, કેલરીમેટ્રી"
camera,કેમેરા
canal rays,"કુલ્યા કિરણ, નહેર કિરણ"
candela,candela
candle,"મીણબત્તી, મીણબત્તી"
canonical,પ્રામાણિક
cantilever,કેન્ટીલીવર
cap,"ટોપી, ડગલો (ઇડી.), ઇન્ટરલેસિંગ (v.)"
capacitance,હોલ્ડિંગ
capacitor,કેપેસિટર
capillarity,"કેપિલેરિટી, કેપિલેરિટી"
capillary,"રુધિરકેશિકા, રુધિરકેશિકા"
capillary force,રુધિરકેશિકા બળ
capsule,"કેપ્સ્યુલ, કેપ્સ્યુલ, કેપ્સ્યુલ"
capture,કેપ્ચર
carbon 14 dating,કાર્બન 14 શેડ્યુલિંગ
cardinals,"મુખ્ય બિંદુ, મુખ્ય સંખ્યા, ગણતરી સંખ્યા"
Carnot's theorem,કાર્નો પ્રમેય
carrier,વાહક
Cartesian axes,કાર્ટેશિયન અક્ષ
cartridge,કારતૂસ
cascade,"સોપાની (વિ.), સોપાનીપત (સં.)"
catalysed,પ્રેરિત
catastrophe,"આપત્તિ, આફત"
catching diode,લિમિટર ડાયોડ
cathetometer,"ઓર્થોમીટર, કેથેટોમીટર"
cathetron,કેથેટ્રોન
cathode,કેથોડ
cation,cation
caustic surface,બીમિંગ પાનું
cavity,કોટર
ceiling,"સીમાંત, આવરણ, આંતરછેદ, સૌથી વધુ સંખ્યા, આવરણ"
celestial,આકાશી
cell constant,કોષ-સતત
cemented lens,સિમેન્ટેડ લેન્સ
centering,ફોકસ
centigrade,સેન્ટીગ્રેડ
centimeter,સેન્ટીમીટર
centimeter gram second system,સેન્ટીમીટર-ગ્રામ-સેકન્ડ પદ્ધતિ
central,"કેન્દ્રિય, કેન્દ્રિય"
central processing unit (C.P.U),કેન્દ્રીય સંસાધન એકમ
centre,કેન્દ્ર
centre of collineation,સંરેખણ કેન્દ્ર
centric ray,મધ્ય કિરણ
centripetal,કેન્દ્રબિંદુ
centroid,ન્યુક્લિયસ
ceramic,સિરામિક
c.g.s. system,c ગ્રામ. થી. પદ્ધતિ
chain decay,સીરીયલ સડો
chamber,"કોષ, ઓરડો, ઓરડો"
chance,"તક, તક, તક"
changing,ચલ
channel,"ચેનલ, ચેનલ, ચેનલ, જળમાર્ગ"
channelling,"ચેનલાઈઝેશન, ચેનલાઈઝેશન"
chaos,"અરાજકતા, અવ્યવસ્થા"
character,"પાત્ર, પાત્ર, પાત્ર"
characteristic,"લાક્ષણિકતા, લાક્ષણિકતા, લાક્ષણિકતા, સંપૂર્ણ, લાક્ષણિકતા"
charge,"ચાર્જ, ચાર્જ, ચાર્જ, ચાર્જ"
charger,ચાર્જર
charging,ભરો
Charles' law,ચાર્લ્સ કાયદો
chart,"ચાર્ટ, ચાર્ટ"
chasing,ફોલો-અપ
chasis,"ચોકી, ચેસિસ"
check,"પરીક્ષણ, પરીક્ષણ"
chemical,રાસાયણિક
chemi-luminescence,કેમિલ્યુમિનેસેન્સ
chip,"શેવિંગ્સ, ચિપ્સ, ચિપ્સ"
chi-square test,નો-ક્લાસ ટેસ્ટ
choke,"ગૂંગળામણ (ખામી), ગૂંગળામણ"
chopper amplifier,તૂટક તૂટક એમ્પ્લીફાયર
choral music,સમૂહ સંગીત
chromatic,રંગીન
chromaticity,પિગમેન્ટેશન
chromaticness,પિગમેન્ટેશન
chromastism,પિગમેન્ટેશન
chromatograph,ક્રોમેટોગ્રામ
chromometer,"કલરમીટર, ક્રોમોમીટર"
chromophore,ક્રોમોફોર
chromosphere,"રંગમંડળ, રંગમંડળ"
chronograph,"કાલઆલેખક, કાલઆલેખક, કાલઆલેખક"
chronometer,ક્રોનોમીટર
cinema,"ફિલ્મો, ફિલ્મો"
cinematography,સિનેમેટોગ્રાફી
cipher (zero),"શૂન્ય, સાઇફર"
circle in (=iris in),પુનરાવૃત્તિ
circuit,સર્કિટ
circuitry,સર્કિટરી
circular,"ગોળ, પરિપત્ર"
circulating,ફરતું
circulation,"પરિભ્રમણ, પરિભ્રમણ"
circulator,પરિભ્રમણકર્તા
circumferential,પરિઘ
circumuclear electron,પરમાણુ ઇલેક્ટ્રોન
circumterrestrial satellite,પરિભુ ઉપગ્રહ
citizen's band,નાગરિક આવર્તન બેન્ડ
cladding,"વસ્ત્રો, વ્યવસાય"
clamping,બોન્ડ
Clapeyron equation,ક્લેપીરોન સમીકરણ
classical,"ઉત્તમ, ઉત્તમ, ઉત્તમ"
clearance,"અંતરાલ, દૂર કરવું (વિશેષ.)"
cleavage,વિભાજન
climate,વાતાવરણ
climb,માઉન્ટ
clinical thermometer,"પિરોમીટર, તબીબી થર્મોમીટર"
clock voltage,ઘડિયાળ વોલ્ટેજ
clockwise,ઘડિયાળની દિશામાં
closed circuit,બંધ સર્કિટ
closed circuit television (=piped television),બંધ સર્કિટ ટેલિવિઝન
close packed,"ચુસ્તપણે ભરેલું, ચુસ્તપણે ભરેલું"
close packed structure,સારી રીતે પેકેજ્ડ માળખું
closest approach,નજીકનો અભિગમ
