Assamese,Punjabi
বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা),ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ)
বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া,ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ
আগেলাই,ਅਗੇਲੈ
অশ্বাৰোহীৰ যুগ,ਬਹਾਦਰੀ ਦੀ ਉਮਰ
এজ অৱ ইংলাইটমেণ্ট,ਗਿਆਨ ਦੀ ਉਮਰ
পেৰিক্লিছৰ বয়স,ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ
যুক্তিৰ বয়স,ਕਾਰਨ ਦੀ ਉਮਰ
কৃষিবাদ,ਖੇਤੀਵਾਦ
কৃষি আন্দোলন,ਖੇਤੀ ਅੰਦੋਲਨ
এলবিয়ন,ਐਲਬੀਅਨ
এলবাম,ਐਲਬਮ
এলডাৰমেন,ਐਲਡਰਮੈਨ
আলোকসজ্জা বাহু,ਲੁਭਾਉਣੇ ਹਥਿਆਰ
এমিটি,ਦੋਸਤੀ
এম্ফিক্টয়নিক কাউন্সিল,Amphictyonic ਕੌਂਸਲ
এম্ফিক্টয়নিক লীগ,ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ
এম্ফিথিয়েটাৰ,ਅਖਾੜਾ
অমৰি নল গোট (মৃৎশিল্পৰ),ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ)
এনাক্ৰ’নিজম,ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ
এনাক্ৰ’নিষ্টিক,ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ
পূৰ্বপুৰুষ,ਪੂਰਵਜ
পূৰ্বপুৰুষ পূজা,ਪੂਰਵਜ ਦੀ ਪੂਜਾ
বংশ,ਵੰਸ਼
বংশ,ਵੰਸ਼
বংশ,ਵੰਸ਼
বংশ,ਵੰਸ਼
Ancien শাসন ব্যৱস্থা,ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ
পৌৰাণিক,ਪ੍ਰਾਚੀਨ
প্ৰাচীন বেলাড,ਪ੍ਰਾਚੀਨ ਗੀਤ
প্ৰাচীন বিশ্বাস,ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ
প্ৰাচীন প্ৰথা,ਪ੍ਰਾਚੀਨ ਰਿਵਾਜ
প্ৰাচীন ইতিহাস,ਪ੍ਰਾਚੀਨ ਇਤਿਹਾਸ
প্ৰাচীন কীৰ্তিচিহ্ন,ਪ੍ਰਾਚੀਨ ਸਮਾਰਕ
উপাখ্যান,ਕਿੱਸਾ
এঞ্জেলট,ਐਂਜਲੋਟ
এঞ্জেলছ,ਐਂਜਲਸ
এঞ্জেভিন (=anjevin),ਐਂਜੇਵਿਨ (=ਅੰਜੇਵਿਨ)
কোণ,ਕੋਣ
এংলিকান,ਐਂਗਲੀਕਨ
এংলিকান কমিউনিয়ন,ਐਂਗਲੀਕਨ ਕਮਿਊਨੀਅਨ
এংলিকানিজম,ਐਂਗਲੀਕਨਵਾਦ
এংলো-ফ’ব,ਐਂਗਲੋ-ਫੋਬ
এংলো-ফ’বিয়া,ਐਂਗਲੋ-ਫੋਬੀਆ
এংলো-চেক্সন,ਐਂਗਲੋ-ਸੈਕਸਨ
এংলো-চেক্সনবাদ,ਐਂਗਲੋ-ਸੈਕਸੋਨਿਜ਼ਮ
এনালিষ্ট,ਐਨਾਲਿਸਟ
এনালছ,ਇਤਿਹਾਸ
সংলগ্নকৰণ,ਅਨੇਕਸ਼ਨ
এণ্টে-বেলাম,ਐਂਟੀ-ਬੇਲਮ
এণ্টে তাৰিখ,ਪਿਛਲੀ ਤਾਰੀਖ
কেৰাণীবাদ বিৰোধী,ਵਿਰੋਧੀ ਮੌਲਵੀਵਾਦ
কেৰাণী বিৰোধী আইন,ਕਲੈਰੀਕਲ ਵਿਰੋਧੀ ਕਾਨੂੰਨ
প্ৰাচীনতা,ਪੁਰਾਤਨਤਾ
ভাড়া বিৰোধী,ਵਿਰੋਧੀ ਕਿਰਾਇਆ
ভাড়া বিৰোধী,ਵਿਰੋਧੀ ਕਿਰਾਇਆ
চেমিটিজম বিৰোধী,ਵਿਰੋਧੀ ਸਾਮੀਵਾਦ
এঞ্জেক,ਐਨਜ਼ੈਕ
এপেলা,ਅਪੇਲਾ
আৰালু,ਅਰਲੂ
আৰ্ক বিচপ,ਆਰਕ ਬਿਸ਼ਪ
আৰ্ক ডাচি,ਆਰਕ ਡਚੀ
আৰ্ক ড্যুক,ਆਰਕ ਡਿਊਕ
আৰ্কাইফ (=আৰ্কাইভ সংগ্ৰহ),ਪੁਰਾਲੇਖ (=ਪੁਰਾਲੇਖ ਸੰਗ੍ਰਹਿ)
আৰ্কিপিস্কোপেট,ਆਰਚੀਪੀਸਕੋਪੇਟ
অভিজাত শ্ৰেণী,ਕੁਲੀਨ
অভিজাত,ਰਈਸ
অভিজাত স্নোবৰী,ਕੁਲੀਨ ਸਨੋਬਰੀ
এৰিষ্ট&#39;টেলিয়ান,ਅਰਿਸਟੋਟਲੀਅਨ
আৰ্মাডা,ਆਰਮਾਡਾ
আৰ্মাডা (=স্পেনিছ আৰ্মাডা),ਆਰਮਾਡਾ (= ਸਪੇਨੀ ਆਰਮਾਡਾ)
আৰ্মৰিষ্ট (=armourist),ਸ਼ਸਤਰਧਾਰਕ (=ਸ਼ਸਤਰਧਾਰਕ)
কৱচ (=কৱচ),ਸ਼ਸਤ੍ਰ (= ਸ਼ਸਤ੍ਰ)
আৰ্মৰিষ্ট,ਸ਼ਸਤਰਧਾਰਕ
আৰ্য্য,ਆਰੀਅਨ
আৰ্য্য,ਆਰੀਅਨ
আস্কৰী,ਅਸਕਰੀ
Assignat,ਅਸਾਈਨੈਟ
Assize,ਅਸਾਈਜ਼
Assize,ਅਸਾਈਜ਼
Assize,ਅਸਾਈਜ਼
এছাইজ অৱ আৰ্মছ এক্ট,ਅਸਲਾ ਐਕਟ ਦੀ ਸਹਾਇਤਾ
ডেৰেইন প্ৰেজেণ্টমেণ্টৰ এছাইজ,ਡੈਰੇਨ ਪ੍ਰੈਜ਼ੈਂਟਮੈਂਟ ਦੀ ਸਹਾਇਤਾ
মৰ্ট &#39;ডি&#39; পূৰ্বপুৰুষৰ এছাইজ,ਮੋਰਟ &#39;ਡੀ&#39; ਪੂਰਵਜ ਦੀ ਸਹਾਇਤਾ
নভেল ডিচেইচিনৰ এছাইজ,ਨਾਵਲ ਡੀਸੀਸਿਨ ਦੀ ਸਹਾਇਤਾ
অত্যাচাৰ,ਅੱਤਿਆਚਾਰ
আক্ৰমণ,ਹਮਲਾ
অলিক কাউন্সিল,ਔਲਿਕ ਕੌਂਸਲ
গেডেছৰ কুঠাৰ (=গেডেছৰ কুঠাৰ),ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ (= ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ)
অক্ষ (=ৰোম-বাৰ্লিন-টকিঅ&#39; অক্ষ),ਐਕਸਿਸ (=ਰੋਮ-ਬਰਲਿਨ-ਟੋਕੀਓ ਐਕਸਿਸ)
বেবিলন,ਬਾਬਲ
বেবিলনৰ বন্দীত্ব (=বেবিলনৰ বন্দীত্ব),ਬਾਬਲੀ ਗ਼ੁਲਾਮੀ (=ਬੇਬੀਲੋਨ ਦੀ ਗ਼ੁਲਾਮੀ)
বচনাল ভক্ত,ਬਚਨਲ ਭਗਤ
বাচনালিয়া,ਬਚਨਲਿਆ
অবিবাহিত লোক,ਕੁਆਰਾ
বাগদাদ চুক্তি,ਬਗਦਾਦ ਸਮਝੌਤਾ
বাল্কন লীগ,ਬਾਲਕਨ ਲੀਗ
বাল্কন চুক্তি,ਬਾਲਕਨ ਸਮਝੌਤਾ
বাল্কন যুদ্ধ,ਬਾਲਕਨ ਯੁੱਧ
বাল্টিক চুক্তি,ਬਾਲਟਿਕ ਸਮਝੌਤਾ
ডাকাত,ਡਾਕੂ
বাণ্ডুং সন্মিলন,ਬੈਂਡੁੰਗ ਕਾਨਫਰੰਸ
নিৰ্বাসন,ਦੇਸ਼ ਨਿਕਾਲੇ
বেনাৰ,ਬੈਨਰ
বৰ্বৰ,ਵਹਿਸ਼ੀ
বাৰ্বিকান,ਬਾਰਬੀਕਨ
বৰদলৈ সত্যাগ্ৰহ,ਬਾਰਡੋਲੀ ਸੱਤਿਆਗ੍ਰਹਿ
বাৰ্ন বাৰ্নাৰ্ছ,ਬਾਰਨ ਬਰਨਰ
বেৰন,ਬੈਰਨ
বেৰনেজ,ਬੈਰੋਨੇਜ
বেৰনছ মেজৰ,ਬੈਰੋਨਸ ਮੇਜਰਸ
বেৰনেছ নাবালক,ਬੈਰੋਨਸ ਨਾਬਾਲਗ
বেৰনেছ,ਬੈਰੋਨੇਸ
বেৰনেট,ਬੈਰੋਨੇਟ
বেৰনেটেজ,ਬੈਰੋਨੇਟੇਜ
বেৰনেটেজ,ਬੈਰੋਨੇਟੇਜ
বেৰনেটচি,ਬੈਰੋਨੇਟਸੀ
বেৰনি,ਬੈਰੋਨੀ
বেৰাকুন,ਬੈਰਾਕੂਨ
বেৰাকুন,ਬੈਰਾਕੂਨ
বেৰিকেড (=barricade),ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
বেৰিকেড (=barricade),ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
বেৰিকেড (=barricade),ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
বেচ কেম্প,ਬੇਸ ਕੈਂਪ
বেচিলিকা,ਬੇਸਿਲਿਕਾ
বেচিলিকা,ਬੇਸਿਲਿਕਾ
বাষ্টিলা,ਬਸਤੀਲਾ
বেষ্টিল,ਬੈਸਟਿਲ
বেষ্টিল,ਬੈਸਟਿਲ
বেটাৰি,ਬੈਟਰੀ
যুদ্ধ,ਲੜਾਈ
বাটলে-এৰে,ਬੈਟਲੇ-ਐਰੇ
যুদ্ধৰ চিঞৰ,ਲੜਾਈ ਦਾ ਰੋਣਾ
যুদ্ধৰ ডিন,ਲੜਾਈ ਦੀਨ
যুদ্ধক্ষেত্ৰ,ਲੜਾਈ ਦਾ ਮੈਦਾਨ
যুদ্ধ গীত,ਲੜਾਈ ਦਾ ਭਜਨ
স্পাৰ্ছৰ যুদ্ধ,ਸਪਰਸ ਦੀ ਲੜਾਈ
ষ্টেণ্ডাৰ্ডৰ যুদ্ধ,ਸਟੈਂਡਰਡ ਦੀ ਲੜਾਈ
যুদ্ধজাহাজ,ਬੈਟਲਸ਼ਿਪ
যুদ্ধজাহাজ-শক্তি,ਬੈਟਲਸ਼ਿਪ-ਤਾਕਤ
Bayeux টেপেষ্ট্ৰি,Bayeux tapestry
বিকন,ਬੀਕਨ
বিকন টাৱাৰ,ਬੀਕਨ ਟਾਵਰ
বিভাৰ,ਬੀਵਰ
বিভাৰ,ਬੀਵਰ
সাগৰৰ ভিক্ষাৰী,ਸਮੁੰਦਰ ਦੇ ਭਿਖਾਰੀ
বেলিকোজ,ਬੇਲੀਕੋਜ਼
বেলিকোজ,ਬੇਲੀਕੋਸ
বেলিকোজ,ਬੇਲੀਕੋਜ਼
বেলিকোচিটি,ਬੇਲੀਕੋਸਿਟੀ
বেলোনা,ਬੇਲੋਨਾ
বেনিফিচ,ਲਾਭ
ধৰ্মগুৰুসকলৰ লাভ,ਪਾਦਰੀਆਂ ਦਾ ਲਾਭ
বেনেলাক্স,ਬੇਨੇਲਕਸ
বাৰ্লিন ডিক্রী,ਬਰਲਿਨ ਫ਼ਰਮਾਨ
Berserker,ਬੇਸਰਕਰ
Besant (=বেজান্ট),ਬੇਸੰਤ (=ਬੇਜ਼ੰਤ)
বেথেল,ਬੈਥਲ
বিব্লিঅ&#39;লেটাৰ,ਬਾਈਬਲੀਓਲੇਟਰ
গ্ৰন্থবিজ্ঞান,ਬਿਬਲਿਓਲਾਟਰੀ
বিগ বাৰ্থা,ਵੱਡੀ ਬਰਥਾ
কুসংস্কাৰ,ਬਿਗੌਟ
বিলেটিং,ਬਿਲੀਟਿੰਗ
বিল অৱ এটেইণ্ডাৰ,ਅਟੈਂਡਰ ਦਾ ਬਿੱਲ
অধিকাৰৰ বিল,ਅਧਿਕਾਰਾਂ ਦਾ ਬਿੱਲ
জীৱনীকাৰ,ਜੀਵਨੀਕਾਰ
জন্মৰ কাহিনী,ਜਨਮ ਕਹਾਣੀਆਂ
বিভক,ਬਿਵੁਆਕ
বিভক,ਬਿਵੁਆਕ
বিভক,ਬਿਵੁਆਕ
বিজোনিয়া,ਬਿਜੋਨੀਆ
ক&#39;লা চৰাই চোৱা,ਕਾਲਾ ਪੰਛੀ
ক&#39;লা পতাকা,ਕਾਲਾ ਝੰਡਾ
ব্লেক হোল,ਕਾਲਾ ਮੋਰੀ
ব্লেক হোল,ਕਾਲਾ ਮੋਰੀ
ক&#39;লা ভৰি (=scab),ਕਾਲੀ ਲੱਤ (= ਖੁਰਕ)
ক&#39;লা চাৰ্ট,ਕਾਲੀ ਕਮੀਜ਼
ব্লেজন,ਬਲੇਜ਼ਨ
ব্লেজন,ਬਲੇਜ਼ਨ
ব্লেজনাৰী,ਧਮਾਕੇਦਾਰ
ব্লেজনাৰী,ਧਮਾਕੇਦਾਰ
ব্লিটজক্ৰিগ,ਬਲਿਟਜ਼ਕਰੀਗ
ৰক্তহীন বিপ্লৱ (=গৌৰৱময় বিপ্লৱ),ਖੂਨ ਰਹਿਤ ਇਨਕਲਾਬ (= ਸ਼ਾਨਦਾਰ ਇਨਕਲਾਬ)
ব্লাডৱাইট,ਬਲੱਡਵਾਈਟ
ব্লাডি মেৰী,ਖੂਨੀ ਮੈਰੀ
নীলা,ਨੀਲਾ
নীলা তেজ,ਨੀਲਾ ਖੂਨ
নীলা কিতাপ,ਨੀਲੀ ਕਿਤਾਬ
নীলা ফিতা,ਨੀਲਾ ਰਿਬਨ
নীলা ফিতা,ਨੀਲਾ ਰਿਬਨ
ব্লুজ (=ৰয়েল হৰ্চ গাৰ্ড),ਬਲੂਜ਼ (=ਰਾਇਲ ਹਾਰਸ ਗਾਰਡ)
নীলা চাৰ্ট,ਨੀਲੀ ਕਮੀਜ਼
ব্লু ৱাটাৰ স্কুল,ਬਲੂ ਵਾਟਰ ਸਕੂਲ
নিয়ন্ত্ৰণ ব’ৰ্ড,ਕੰਟਰੋਲ ਬੋਰਡ
শৰীৰৰ কৱচ,ਸਰੀਰ ਦੇ ਬਸਤ੍ਰ
ব&#39;ৰ,ਬੋਅਰ
লুটপাত,ਲੁੱਟ
বৰো,ਬੋਰੋ
Bouleuterion,ਬੁਲੇਉਟੇਰੀਅਨ
বোৰ্বন,ਬੋਰਬਨ
বক্সাৰ বিদ্ৰোহ,ਮੁੱਕੇਬਾਜ਼ ਬਗਾਵਤ
ব্ৰেচ,ਬ੍ਰੇਸ
ব্ৰাছাৰ্ড,ਬ੍ਰਾਸਾਰਡ
ব্ৰাছাৰ্ড,ਬ੍ਰਾਸਾਰਡ
ব্ৰেড কলনী,ਰੋਟੀ ਦੀਆਂ ਬਸਤੀਆਂ
ব্ৰেষ্ট প্লেট,ਛਾਤੀ ਪਲੇਟ
স্তনৰ কাম,ਛਾਤੀ ਦਾ ਕੰਮ
ব্ৰেটৱাল্ডা,ਬਰੇਟਵਾਲਡਾ
ব্ৰিগাণ্ড,ਬ੍ਰਿਗੈਂਡ
ব্ৰিগেণ্ডেজ,ਬ੍ਰਿਗੇਂਡੇਜ
ব্ৰিটিছ কমনৱেলথ অৱ নেচনছ,ਬ੍ਰਿਟਿਸ਼ ਕਾਮਨਵੈਲਥ ਆਫ ਨੇਸ਼ਨਜ਼
ব্ৰাউন চাৰ্ট (=নাজী),ਭੂਰੇ ਰੰਗ ਦੀਆਂ ਕਮੀਜ਼ਾਂ (=ਨਾਜ਼ੀਆਂ)
ব্ৰাছেলছ সন্ধি (পেক্ট) সংগঠন (=পশ্চিম ইউৰোপীয় সংঘ),ਬ੍ਰਸੇਲਜ਼ ਸੰਧੀ (ਪੈਕਟ) ਸੰਗਠਨ (= ਪੱਛਮੀ ਯੂਰਪੀਅਨ ਯੂਨੀਅਨ)
বাফ,ਮੱਝ
বাফ,ਮੱਝ
বাফ-কোট,ਮੱਝ-ਕੋਟ
বাফছ,ਮੱਝਾਂ
বুলে (=পৰিষদ),ਬੁਲੇ (=ਕੌਂਸਲ)
বাৰ্গেজ,ਬਰਗੇਜ
বাৰ্জেছ,ਬਰਗੇਸ
বাইজেন্টাইন,ਬਿਜ਼ੰਤੀਨੀ
বাইজেন্টাইন গীৰ্জা,ਬਿਜ਼ੰਤੀਨੀ ਚਰਚ
বাইজেন্টাইন সাম্ৰাজ্য,ਬਿਜ਼ੰਤੀਨੀ ਸਾਮਰਾਜ
বাইজেন্টাইন যুগ,ਬਿਜ਼ੰਤੀਨੀ ਯੁੱਗ
বাইজেন্টাইন ইতিহাসবিদ,ਬਿਜ਼ੰਤੀਨੀ ਇਤਿਹਾਸਕਾਰ
কেবাল,ਕਾਬਲ
ছিজাৰীজম,ਕੈਸਰਵਾਦ
খলিফা,ਖਲੀਫਾ
কেলিগ্ৰাফাৰ,ਕੈਲੀਗ੍ਰਾਫਰ
কেলিগ্ৰাফিষ্ট,ਕੈਲੀਗ੍ਰਾਫਿਸਟ
কেলিগ্ৰাফী,ਕੈਲੀਗ੍ਰਾਫੀ
কেলট্ৰপ,ਕੈਲਟ੍ਰੋਪ
সতীৰ্থতা,ਦੋਸਤੀ
কেমাৰিলা,ਕੈਮਰਿਲਾ
কেমাৰিলা,ਕੈਮਰਿਲਾ
কেমেলাকম,ਕੈਮਲੌਕਮ
ছদ্মবেশ,ਕੈਮੋਫਲੇਜ
অভিযান,ਮੁਹਿੰਮ
কেম্প অনুগামী,ਕੈਂਪ ਫਾਲੋਅਰ
কেম্পো ছান্টো,ਕੈਂਪੋ ਸੈਂਟੋ
কেম্পাছ মাৰ্চিয়াছ,ਕੈਂਪਸ ਮਾਰਟੀਅਸ
কেনেফোৰা,ਕੈਨੇਫੋਰਾ
কেংগু,ਕੈਂਗੂ
কেননেড,ਕੈਨੋਨੇਡ
কামানৰ ঘাঁহ,ਤੋਪ ਚਾਰਾ
কেনন,ਕੈਨਨ
কেনন আইন,ਕੈਨਨ ਕਾਨੂੰਨ
কেন&#39;পাছৰ ডিক্রী,ਕੈਨੋਪਸ ਫ਼ਰਮਾਨ
কেনটিং আৰ্মছ,ਕੈਂਟਿੰਗ ਹਥਿਆਰ
বন্দী,ਬੰਦੀ
বন্দী,ਕੈਪਟਰ
কাৰ্ডিনেল,ਕਾਰਡੀਨਲ
কাৰ্ল,ਕਾਰਲ
কেৰ&#39;লিঞ্জিয়ান বংশ,ਕੈਰੋਲਿੰਗੀਅਨ ਰਾਜਵੰਸ਼
কাৰ্থুছিয়ান পন্থা,ਕਾਰਥੁਸੀਅਨ ਸੰਪਰਦਾ
কাৰ্টোছা,ਕਾਰਟੋਸਾ
কেষ্টেলিয়ান,ਕੈਸਟਲੀਅਨ
কেষ্টেলিয়ান,ਕੈਸਟਲੀਅਨ
জাতি ব্যৱস্থা,ਜਾਤ ਪ੍ਰਣਾਲੀ
দুৰ্গ,ਕਿਲ੍ਹਾ
দুৰ্গ,ਕਿਲ੍ਹਾ
কেছল টাউন,ਕੈਸਲ ਸ਼ਹਿਰ
কাষ্ট্ৰা,ਕਾਸਟਰਾ
কাষ্ট্ৰা,ਕਾਸਟਰਾ
কেথেড্ৰা,ਕੈਥੇਡਰਾ
কেথেড্ৰেল,ਗਿਰਜਾਘਰ
কেটো ষ্ট্ৰীটৰ ষড়যন্ত্ৰ,ਕੈਟੋ ਸਟ੍ਰੀਟ ਸਾਜ਼ਿਸ਼
কৌডিলো,ਕਾਉਡੀਲੋ
কেভেলিয়াৰ,ਕੈਵਲੀਅਰ
কেভেলিয়াৰ,ਕੈਵਲੀਅਰ
কেভেলিয়াৰ সংসদ,ਕੈਵਲੀਅਰ ਸੰਸਦ
আদুল্লামৰ গুহা,ਅਦੁੱਲਮ ਦੀ ਗੁਫਾ
গুহা চিত্ৰকলা,ਗੁਫਾ ਚਿੱਤਰਕਾਰੀ
গুহা চিত্ৰকলা,ਗੁਫਾ ਚਿੱਤਰਕਾਰੀ
চেণ্টুমভিৰ,ਸੇਂਟਮਵੀਰ
চেঞ্চুৰিয়ান,ਸੈਂਚੁਰੀਅਨ
শতিকা,ਸਦੀ
চেইন আৰ্মৰ (=চেইন মেইল),ਚੇਨ ਆਰਮਰ (= ਚੇਨ ਮੇਲ)
চান্ট্ৰী,ਛੰਤਰੀ
চান্ট্ৰী,ਛੰਤਰੀ
চ্যাপ কিতাপ,ਚੈਪ ਕਿਤਾਬ
চেপলিন,ਪਾਦਰੀ
অধ্যায়,ਅਧਿਆਇ
দুৰ্ঘটনাৰ অধ্যায়,ਹਾਦਸਿਆਂ ਦਾ ਅਧਿਆਇ
চাৰ্জ,ਚਾਰਜ
চাৰ্জ ডি এফেয়াৰ্ছ,ਚਾਰਜ ਡੀ
চাৰ্জ পাৰ্টিং,ਚਾਰਜ ਵਿਭਾਜਨ
চাৰ্জাৰ,ਚਾਰਜਰ
ৰথ,ਰੱਥ
ৰথী,ਰੱਥ
ৰথী,ਰੱਥ
ৰথী,ਰੱਥ
চেৰিটি কিচেন,ਚੈਰਿਟੀ ਰਸੋਈ
চনদ,ਚਾਰਟਰ
চাৰ্টিষ্ট আন্দোলন (=চাৰ্টিষ্ট),ਚਾਰਟਿਸਟ ਅੰਦੋਲਨ (=ਚਾਰਟਿਜ਼ਮ)
চাৰ্ট’ফাইলেচিয়াম,ਚਾਰਟੋਫਾਈਲੇਸ਼ੀਅਮ
চেট&#39;,Chateau
পোষ্ট চেক কৰক,ਚੈੱਕ ਪੋਸਟ
ৰাসায়নিক যুদ্ধ,ਰਸਾਇਣਕ ਯੁੱਧ
চেষ্টাৰ,ਚੈਸਟਰ
প্ৰধান,ਮੁੱਖ
মুখীয়াল,ਸਰਦਾਰ
মুখীয়াল,ਸਰਦਾਰ
মুখীয়াল,ਸਰਦਾਰ
চিফন,ਸ਼ਿਫੋਨ
অশ্বাৰোহীতা,ਸ਼ਿਸ਼ਟਾਚਾਰ
নিৰ্বাচিত লোকসকল,ਚੁਣੇ ਹੋਏ ਲੋਕ
ক্ৰীছমোগ্ৰাফী,ਕ੍ਰਿਸਮੋਗ੍ਰਾਫੀ
খ্ৰীষ্টান ধৰ্ম,ਈਸਾਈ-ਜਗਤ
খ্ৰীষ্টান যুগ,ਈਸਾਈ ਯੁੱਗ
খ্ৰীষ্টান সমাজবাদ,ਈਸਾਈ ਸਮਾਜਵਾਦ
ক্ৰনিকল,ਇਤਹਾਸ
ক্ৰনিকলাৰ,ਇਤਿਹਾਸਕਾਰ
ক্ৰাইজ চেৰ্চোনিজ,Chryse Chersonese
চিমেলিয়াম,ਸਿਮਲੀਅਮ
Cinquecento শৈলী,Cinquecento ਸ਼ੈਲੀ
প্ৰদক্ষিণ,ਸਰਕਮਨੇਵੀਗੇਸ਼ਨ
চিষ্টাৰচিয়ান সন্ন্যাসী,ਸਿਸਟਰਸੀਅਨ ਭਿਕਸ਼ੂ
দুৰ্গ,ਕਿਲਾ
উদ্ধৃতি,ਹਵਾਲਾ
উদ্ধৃতি,ਹਵਾਲਾ
নাগৰিক অবাধ্যতা,ਸਿਵਲ ਅਣਆਗਿਆਕਾਰੀ
গৃহযুদ্ধ,ਸਿਵਲ ਯੁੱਧ
চিভিছ ৰোমানাছ,ਸਿਵਿਸ ਰੋਮਨਸ
ধ্ৰুপদী যুগ,ਕਲਾਸੀਕਲ ਉਮਰ
ক্লেফ্ট (=klepht),ਕਲੀਫ਼ਟ (=ਕਲੇਫ਼ਟ)
কেৰাণীবাদ,ਕਲਰਕਵਾਦ
ক্লাৰুচ,ਕਲਰਚ
ক্লুনিয়াক আন্দোলন,ਕਲੀਨਿਕ ਅੰਦੋਲਨ
কোট কৱচ,ਕੋਟ ਸ਼ਸਤ੍ਰ
কোট অৱ আৰ্মছ,ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ
কোট অৱ আৰ্মছ,ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ
কোট অৱ আৰ্মছ,ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ
কোট অৱ মেইল,ਡਾਕ ਦਾ ਕੋਟ
কোহৰ্ট,ਸਮੂਹ
কমিটিয়া,ਕੋਮੀਟੀਆ
কমিটিয়া চেঞ্চুৰিয়াটা,Comitia Centuriata
কমিটিয়া কুৰিয়াটা,Comitia Curiata
কমিটিয়া ট্ৰিবুটা,ਕੋਮੀਟੀਆ ਟ੍ਰਿਬੂਟਾ
স্মৃতিচাৰণ তোৰণ,ਯਾਦਗਾਰੀ arch
স্মৃতিচাৰণ মুদ্ৰা,ਯਾਦਗਾਰੀ ਸਿੱਕਾ
স্মৃতিসৌধ,ਯਾਦਗਾਰੀ ਮੋਹਰ
সাধাৰণ ক্ষেত্ৰ,ਆਮ ਖੇਤਰ
