Hindi,Gujarati
कृषि भौतिकीविद्,કૃષિવિજ્stાન
"प्राणि प्रजनक, पशु प्रजनक",પશુ સંવર્ધક
दंड विषाणु,બેસિલસ વાયરસ
"दंडाणु, बैसिलस",દંભ
"जीवाणु, बैक्टीरिया",જીવાત
जीवविष,કોઇ
खोई,મસાલા
"तुलन-पत्र, चिट्ठा",સરવૈયા
संतुलित निषेचन,શેતરાન
दंड आरेख,આકૃતિ
छाल,ભડકો
"वायुदाबमापी, बैरोमीटर",બાહુદ માળખાં
"बजर, अकृष्य, बांझ",ઉજ્જડ
"आधार, बेस, कपांग",પાયો
"थाला, द्रोणी",ઉજવણી
तलाभिसारी,બીક
"बेसिस्टर्नम, मूलाधारक",દરિયાકાંઠે
खाड़ी मानसून,ચોમાસા
फलदायी पौधा,પધ્ધદનો છોડ
क्यारी,પથારી
क्यारी - पौधा,ઘાને
क्यारी बनाना,નાળ
चुंकदर शीरा,બીટ દાળ
धौंकनी,ધૂન
"पट्टी, इलाका",બેલ્ટ
लाभ-लागत विश्लेषण,લાભ આપતી કિંમતે વિશ્લેષણ
अभिनत (प्रतिचयन),પક્ષપાતી (નમૂના)
द्विवर्षीय पादप,દ્વિવાર્ષિક
द्विपद,દ્વિપદી
जैवकारक,જૈવિક
जीव जलवायु,જૈવ
जैव ऊर्जा,બાયનર્જી
जीव पारिस्थितिकी,જીવવિજ્icsાન
"जैव-प्रक्रियापात्र, बायो रिएक्टर",બાયરોએક્ટર
जीव-मंडल,જીવશોષ
जैविक,જૈવિક
जीव प्रारूप,જંતુઓ
द्विलिंगी,દ્વિલિંગી
धवलन,નિસ્તેજ
"प्रध्वसं (रोग), झोंका रोग",વિનોદ
सम्मिश्रण,મિશ્રણ
"अंगमारी (रोग), ब्लाइट (रोग)",વાંક કા blવો
"छाला, फफोला, उद्वर्त, ब्लिस्टर",ફટકો
नीली क्रांति,ક્રાંતિ
तलीय ताप चैंबर,તળિયે ગરમીનો ઓરડો
तलीय ताप तकनीक,તળિય ગરમીની તકનીક
चोकर,ક brંગું
शाखन,શાખા
"टहनी, उपशाखा",શાખા -શાખા -શાખ્ય
नस्ल,ઉછેર
"प्रजनन, अभिजनन",ઉછેર
शीघ्र अंकुरण उपचार,કોઇ
"शाव, अंड, भ्रूण",ક brંગું
कलिकायन,જાંબુડી
बजट,અંદાજપત્ર
"उभयप्रतिरोधी, बफर",બફર
शल्ककंद,ગોળાકાર
"बंट (रोग), चोट",સંલગ્ન
"उपजात, उपोत्पाद",પેટા-પેદાશ
"बबूल, कीकर",બબુલ બાવળ
बेबी कॉर्न,બાળક મકાઈ
बेल,બેલ
लाजालु,બાલ
गुलमेंहदी,બાલસમ
बांस,વાંસ
केला,કરડ
बरगद,વડ નું વૃક્ષ
जौ,જવ
सावां,બાર્નેયાર્ડ બાજરી
तुलसी,એક જાતનો છોડ
रुद्राक्ष,બેસ્ટાર્ડ દેવદાર
बहेड़ा,બેસ્ટર્ડ માયરોબાલન
कचनार,બૌહિનીયા
कैफल,ખાડી
सेम,બીન
चुकंदर,સલાદ
बेलाडोना,બાલ્ટડોન્ના
बेर,બેવકૂફ
बरसीम,ઠપકો આપવો
पान,સોપારી
बिलिंबी,બિલોમ્બી
करेला,કડવી દારૂ
उड़द,કાળો ગ્રામ
मकोय,કાળી નાઈટશેડ
बोगेनविलिया,બોગૈનવિલે
बोटल ब्रश,બોટ
लौकी,બોટલ ગોળા
"चीकदी, पापरी",બ boxટ -ઝાડ
ब्रेड फ्रूट,બ્રેડ ફળો
डेला,લગ્ન સમારંભ
बैंगन,શોરબકોર
"बाकला, चौड़ी बीन",વ્યાપક બીન
ब्रोकोली,કોતરણી
ब्रुसेल्स स्प्राउट,બ્રસેલ્સ sprout
कुटू,બિયાં સાથેનો દાણો
"पलाश लता, किंशुक",Butોરિયા
घूंस,એક જાતની નાની ભડકી
भालू,સહન કરવું
भृंग,ભમરો
फफोला भृंग,ફોલ્લો ભમરો
नील गाय,વાદળી બળદ
कपास की सूंड़ी,Bણપત્ર
तितली,બ butterટરફ્લાય
जीवाणु विज्ञानी,જીવાણુવિજ્ologistાની
जैव रसायनविद्,જૈવ રસાયણાકાર
जीव विज्ञानी,જીવવિજ્ologistાન
जैव प्रौद्योगिकीविद्,જીવવિજ્ologistાની
वनस्पतिविद्,વનસ્પતિશાસ્ત્ર
c नमी विशिष्टता वक्र,સી ભેજ લાક્ષણિકતા વળાંક
खली,કેક
"चूनेदार, कैल्सियमी",ગુણવાળું
कैल्सीयन,ચુન્યાસ
फॉस्फेट का निस्तापन,ફોસ્ફેટનું ગણતરી
"किणता, कैलसता",ઉશ્કેરાટ
"कैलस, किण",ક callલસ
"बाह्यदल पुंज, कैलिक्स",Calાળ
बाह्यदल अंत,ક calલિક્સનો અંત
एधा,કણસ
कैंकर (जीवाणु रोग),ક canંગું
डिब्बाबंदी,ડબ્બા
वितान,છત્ર
पूंजी,પાટનગર
परागण (अंजीर का),કરચલીકરણ
"संपुट, संपुटिका, कैप्सूल",ક capંગલ
कार्बोनीकृत,કાર્બન
कार्बनन,કાર્બનલાઇઝેશન
अंडप,કળ
मणिबंध,કળશ
"ढलाई (लोहे की), क्षिप्ति (कीट)",કિલ્લો
अपचय,વિસર્જન
उत्प्रेरण,ઉદ્દીપન
"इल्ली, सूंडी",ઈયળ
C- डीएनए संग्रह,સી-ડી.એન.એ.
सीमा,છત
"कोशिका, कोष्ठिका",ઓરડું
केंद्रीय अग्रलेख प्रणाली,કેન્દ્રીય નેતા પદ્ધતિ
"सबिंदु, सकेंद्र",કેન્દ્ર બનાવવી
अपकेंद्रण,કેન્દ્રો
अपकेंद्रित,કેન્દ્ર
तारककेंद्र,કેન્દ્ર
केंद्रजनिक,કેન્દ્રોવાળું
केंद्रजा,કેન્દ્રો
लूम,કરકસર
"धान्य, सीरियल",ધારણ
"प्रमाणीकरण, प्रमाणन",પ્રમાણપત્ર
प्रमाणित बीज,પ્રમાણિત બીજ
"भूसा, कुट्टी, शल्क सहपत्र",કણ
"निभाग, कैलाजा",ચલાઝા
रसानुवर्तन,વાદળવિજ્ismાન
"काएज्मा, व्यत्यस्त",જાંબુડિયા રંગ
द्रुतशीतन घंटे,ઠંડક કલાકો
शीतज क्षति,ઠંડક ઇજા
"विचित्रोतकी, किमेरा",તંગ
हरित दली,કળ
"पर्णहरित, हरितक",હરિતદ્રવ્ય
हरिमाहीनता,હરિતદ્રવ્ય
जीव वितरण विज्ञान,હરિતદ્રવ્ય
"क्रोमैटिड, अर्धगुणसूत्र",ક્રોમેટિડ
क्रोमैटिन,ક્રોમટિન
वर्णलेखन,ક્રોમશલિઓ
क्रोमोटिनलयन,ક્રોધિતતા
परिसूत्र बिंदु,ક્રોમોસેન્ટ્રી
वर्णजनन,ક્રોમતત્વ
"क्रोमोप्रोटीन, वर्णकप्रोटीन",રંગભૂમિ
"गुणसूत्र, क्रोमोसोम",રંગબેરંગી
"चिरकाली, दीर्घकाली, जीर्ण, पुराना",કાયમી
सिट्रेंज,સિત્તર
पर्णाभपर्व,કવડો
वर्गीकरण,વર્ગીકરણ
"मृत्तिका, चिकनी मिट्टी",માટી
"निर्मलन, मार्जन, सफाई, शोधन",સફાઈ
"अनुन्मील्य परागण, स्वपरागण",રોટી
क्रांतिक श्वसनी फल,ઘાતકી ફળ
जलवायु,વાતાવરણ
जलवायु विज्ञान,આબોહવાવિજ્ologyાન
कतरनी,જાડું
ढेला (मिट्टी का),ગાલ
"क्लोन, कृन्तक",ક્લોન
"मेघ, बादल",વાદળ
"पुंज (क्लंप, संपुंजन)",ઝગડો
गुच्छ,ઝગડો
"स्थूल, मोटा, कच्चा, अपरिष्कृत",બરછટ
"आवरण (बीज़), चर्मावरण",કોટ (બીજ)
कोया,કોપરો
"कोएन्जाइम, सह-प्रकिण्व",કોનઝાઇમ
संसंजन,સુશોભન
"रेशा (जूट पटसन), नारियल जटा",Coાંકણ
मूलांकुर चोल,કોયડો
"स्तंभमूलसंधि, कॉलर, ग्रीवा",કોઠાર
कोलॉइड (मृदा),કોલોઇડ (માટી)
"स्तंभिका, कॉलुमेला",જાંબુડિયા રંગનું બનેલું
"दंड, स्तंभ, कॉलम",કોલમ
सहभोजिता,સંપ્રદાય
वाणिज्यिक बैंक,વેપારી બેંક
"जिंस, पण्य वस्तु",કોડ્યુ
समुदाय,સમુદાય
"संहनन, (मृदा का)",કોમ્પેક્શન (માટીનું)
"सुसंगति, संगतता",સુસંગતતા
सुसंगतता,સુસંગતતા
"क्षतिपूर्ति, मुआवजा",વળતર
स्पर्धी अन्योन्यक्रिया,સ્પર્ધાત્મક ક્રિયાપ્રતિક્રિયા
पूरक सस्य,પૂરક પાક
"सम्मिश्र, जटिल",સંકુલ
घटक,ઘટક
संघटन,-નું જોડાણ
कंपोस्ट,કંપોસ્ટ
चक्रवृद्धि ब्याज,સંયોજન વ્યાજ
अभिकलन,ગણતરી
"अभिकलित्र, कंप्यूटर",કોમ્પ્યુટર
"सांद्रण, संकेद्रण",એકાગ્રતા
"अनुकूलक, पुनरुद्धारक",શરત
चालकता,વાહકતા
"विन्यास, संरूपण",ગોઠવણી
"अनुरूपता, समविन्यास, समरूपता",સુસંગતતા
"समाकुलन, संकरण",મૂંઝવણભર્યું
संयुग्मन,જોડાણ
"योजी, संयोजी",સંબંધક
सरंक्षण,સંરક્ષણ
चकबंदी,એકીકરણ
"संघटक, अवयव",ઘટ
उपभोक्ता,ગ્રાહક
उपभोग,વપરાશ
संदूषण,દૂષણ
समोच्च रोपण,સમોચ્ચ વાવેતર
समोच्च रेखा,સમતૈલી
"संविदा कृषि, ठेका कृषि, अनुबंधित खेती",કરાર -ખેતી
नियंत्रित भंडारण,નિયંત્રિત સંગ્રહ
सहकारी बैंक,સહકારી બેંક
सहकारी संस्था सदस्य,ભૌતિક
गुल्मवन,ક copંગું
घनकंद,કોતર
"दलपुंज, कोरोला",કોથળી
"वल्कल, कॉर्टेक्स",કોતરણી
लागत,ખર્ચ
बीजपत्र,કોટિલેડોન (બીજ)
ऋण समिति,ધિરાણ મંડળી
"उधार, साख",જમા
"ऋणदाता, लेनदार",લેણદાર
"शिखा, शीर्ष, शिखर",ખરબચડું
व्याकुंचन,કરચલી
संकट,સંકટ
कसौटी,માપદંડ
"क्रांतिक, विकट, नाजुक",વિવેકી
फसल बीमा,પાક વીમો
फसल ऋण,પાક -લોન
"सस्य, फसल",પાક
सस्यन क्षेत्र,પાક વિસ્તાર
पार-असंगत,વળગાડ
"मुकुट, शिखर (पादप)",તાજ (છોડ)
मृदुकण,ભડકો
पपड़ी,બંદર
"क्रिप्टोगैम, अपुष्पीपादप",ગુપ્ત
छांटन (फल),કુલ (ફળો)
"कल्म, वेणुकाण्ड",ક culંગું
कृष्य किस्म,ખેડૂત
"कर्षण, कृषि, खेती",ખેતી
"किसान, कल्टीवेटर (यंत्र)",ખેડૂત
"संवर्ध, संवर्धन, पालन",સંસ્કાર
"संसाधन, तैयार करना",ઉપચાર
"कुंतलन, कुंचन",કરચલી
मुद्रा,ચલણ
"उपत्वचा, क्यूटिकल",પહાડીચણો
"कलम, कटाई, काटना, कटाग्र, कटावा",કાપવા
"कृमि कोष, सिस्ट, पुटी, विकृत गुल्म, रसौली",કોતરણી
साइटोक्रोम,કોયડો
कोशिका युग्मन,ચિત્ત્રમણિકા
कोशिका जनन,ચક્રાક્રમ
कोशिका आनुवंशिकी,સાયટોજેનેટિક્સ
कोशिका द्रव्य विभाजन,ચિત્તભ્રમ
कोशिका विज्ञान,મનોહરવિજ્ cyાન
कोशिकाविघटन,કોયતરો
"साइटोमियर, कोशिका खंड",કોથળી
कोशिका द्रव्य,કોયડો
बंदगोभी,કોબી
नागफनी,કactક્ટસ
ज़रगुल,ક calંડન
"गिल्ली डंडा, गेहूं का मामा",કેનેરી ઘાસ (ફાલારિસ)
कैना,ઝેર
करीर,કળણ
शिमला मिर्च,ક capંગિકમ
कमरख,કોથળી
पुसुर,કાર્પા
इलाइची,ઇલાયચી
कार्नेशन,સંતાડ
गाजर,ગાજર
काजू,કાજુ
अमलतास,કાસિયા
अरंडी,એરપોર
फूलगोभी,ફૂલકોબી
सेलेरी,કચુંબરની વનસ્પતિ
चम्पा,ચેમ્પ
बथुआ,ચેતાન
चेरी टमाटर,ચેરી ટમેટા
चेरी,ચેરી
चना,"ચણા, ગ્રામ"
मिर्च,મરચાં
काकड़ा,ચાઇના ટર્પેન્ટાઇન ટ્રી
लौकू,ચો-ચો
गुलदाउदी,ક્રાયસન્થેમમ
चिचोड़ा,"ચુફા, પૃથ્વી બદામ"
"चिकोरी, कारनी",ચિત્ત
दालचीनी,તજ
सिट्रोन,સિટ્રોન
गंजनी,સિટ્રોનેલા ઘાસ
मालती,ચ bingતી જાસ્મિન
लौंग,ફાટવું
ग्वार बीन,કલગીર બીન
कहवा,કોકો
नारियल,નારિયેળ
कॉफी,કોફી
पत्थरचूर,કોલસ
अरबी,કોલોકસિયા
इंद्रायन,"કોલોસિન્થ, કડવો સફરજન"
जंगली पालक,સામાન્ય પરત
धनिया,કોથમીર
कपास,સુતરાઉ
लोबिया,કોથળી
कबाब-चीनी,ઘનબી
खीरा,કાકડી
कद्दूवर्गीय,કકર્બિટ્સ
जीरा,જીરું
करी पत्ता,પર્ણ
शरीफा,સીતાફળ
पुटिका वेधक,કોઇ
इल्ली,કેટરપિલર
सिट्रस साएला,સાઇટ્રસ સાયલ્લા
झींगर,ક્રિકેટ
कौआ,તારવું
कटुआ,કૃમિ
"डेरी, दुग्धशाला",ડેરી
डेरी उद्योग,ડેરીંગ
"बांध, प्रजननी",ડામ
दिवस निरपेक्ष पादप,તટસ્થ
पुष्पन के बाद के दिवस,ફૂલો પછીના દિવસો
पूर्ण पुष्पन के बाद के दिवस,સંપૂર્ણ મોર પછીના દિવસો
निष्पुष्पन,ભિન્ન
विकैल्सीकरण,છળ
"निथारना, निस्तारना",ડોકટ
क्षय,સડો
पर्णपाती,નિર્ણાયક
"दशमिक, दशमलव",દશાંશ
न्यूनता,ઉણલી
"अनूर्णन (मृदा), वि-उर्णन",ડિફ્લોક્યુલેશન (માટી)
विपुष्पन,ઉન્મત્ત
विपत्रण,અસ્થિરતા
वनोन्मूलन,વન -નાબૂદી
"अपह्रासन, अपकर्षण",અધ degપન
निम्नीकरण,અધોગતિ
अंश दिवस,ડિગ્રી દિવસ
"मात्रा, अंश",પ્રમાણ
स्फुटन,વિકૃત
भूसी हटाना,ઉદ્ધત
भूसी हटाना,ધ્રુવીય
निर्जलीकरण,નિર્જલીકરણ
निर्जलकारित्र,નિર્જૃપક
मांग,માંગ
"विकृतीकरण, गुणनाशन",પ્રાણઘાતક
अनाच्छादन,ખોટો ઉપયોગ
"निक्षेप (मृदा), जमा (अर्थशास्त्र)",થાપણ
निक्षेपण,જુબાની
"मूल्यह्रास, अवमूल्यन विलवणीकरण",ઘસૃષ્ટિ
"जल शुष्कन, निर्जलीकरण",અવ્યવસ્થા
"अभिकल्पना, डिजाइन",આચાર
शुष्कित्र,બેસાડનાર
गुठली निकालना,ખામી
वि-अंतः भूस्तारीकरण,આછું
वियुग्मन,દેશી
"नर मंजरी निकालना (मक्का), बल्लर निकालना",ખાદ્ય પદાર્થ
बल्लर या फुंदन को काटना,અસ્થિર
निर्धारक,નિર્ધારક
अवमूल्यन,અવમૂલ્યન
वनस्पतिरहित करना,નીરસ
विचलन,વિચલનો
द्विक,નિષ્ઠુર
निदान,નિદાન
भिन्नकाल पक्वता,દ્વિ -દખલ
द्विभाजन,અલગ -અલગ
"द्विबीजपत्री, डाइकोटिलेड़न (बीज)",ડિકોટિલેડોન (બીજ)
पश्चमारी (रोग),પાછા ડાઇ (રોગ)
"विसरण, विसार",પ્રસાર
पाचनीयता,પાચનત્વ
द्विसंकर,દિગ્ગજ
"बांध, नाली, परिवाह",ડાઇક (ડાઇક)
तनु,પાતળું
"एकलिंगाश्रयी, पृथक् लिंगी",દ્વેષી
द्विगुणित,રાજદ્રોહ
"द्विगुणित, डिप्लॉइड",રાજદ્રોહ
द्विसूत्र,રાજદ્રોહ
"निष्कलिकायन, कलिका निकालना",અવજ્ disા
"तवेदार हल चलाना, चक्काकरण",ઠપકો
छूट,છૂટ
रोगाणुनाशन,જીવાલો
"परिक्षेपण, प्रकीर्णन",વિક્ષેપ
"प्रकीर्णन, प्रसरण",પ્રસાર
विविधीकरण,વૈવિધ્ય
विविधीकृत कृषि,વૈવિધ્યપૂર્ણ ખેતી
डीएनए सोपान,ડીએનએ સીડી
डीएनए ग्राही,ડીએનએ રીસેપ્ટર
गोदी-भाड़ा,ગોળાકાર
प्रभावी,પ્રભુત્વપૂર્ણ
प्रसुप्ति,નિષ્ક્રિયતા
"मात्रा, खुराक, डोज",માત્રા
दोहरा सिग्माभ वक्र,ડબલ સિગ્મ id ઇડ વળાંક
"झोंका, खिंचाव",ડ્રાફ્ટ (ડ્રાફ્ટ)
"निकास नाली, अपवाहिका",ગટર
जलनिकास,ગટર
कर्षण,ખેંચાણ
"दवा पिलाना, दवाई से तर करना",ભીડિયું
प्रसाधन (बीज),ડ્રેસિંગ (બીજ)
"बरमा, उथली भूल, ड्रिल, वपित्र",ડ્રિલ (એન.)
"सूराख करना, बेधन, बरमाना",ડ્રિલિંગ (એજી. એન્જીજી)
"वेधना, ड्रिल से बोना, ड्रिल से डालना",ડ્રિલિંગ (કૃષિવિજ્) ાન)
बूंद-बूंद सिंचाई,ટીપું સિંચાઈ
शुष्क खेती,સૂકરાની ખેતી
"धूल, बुकनी",ધૂળ
"धूलित्र, प्रकीर्णक",ડસ્ટર
बुरकना,ધૂમ્રપાન
"बौना, वामन",વામન
वामन पिरामिड,વામન પિરામિડ
वामिनीयन,વામન
गुलबहार,ડેઝી
खजूर,તારીખ
दिन का राजा,જાસ્મિન
सोया,સુવાદાણા
दीनानाथ घास,દંડ
अमरबेल,ઘા
दूब घास,"ડૂબ ઘાસ, બર્મુડા ઘાસ"
छोंकर,ભડકો
सौंठ,સૂકા આદુ
पत्तियां खाने वाला भृंग,અછડતી ભમરો
नर मधुमक्खी,ડ્રોન
बत्तख,બતક
पारिस्थितिकी,પરિસ્થિતિવિજ્ologyાન
अर्थमिति,અર્થશાસ્ત્ર
आर्थिक दक्षता,આર્થિક કાર્યક્ષમતા
पारिस्थितिक प्ररूप,પર્યાવરણ
बहिःस्तरपोषित,શિષ્ટાચારને લગતું
मृदीय,શેખીને લગતું
मृद विज्ञान,પદવિજ્ologyાન
"मेड़बंदी, किनारा बनाना, किनारा बंदी",ધાર
खाद्य अंश,ખાદ્ય ભાગ
मांग की लोच,સ્થિતિસ્થાપકતા
उत्पादन लोच,સ્થિતિસ્થાપકતા
विद्युत्-अपघटन,વિદ્યાપમાણ
वैद्युतकण-संचलन,વિદ્યુતપ્રવાહ
अवक्षालन,નિરુત્સાહ
