Marathi,Assamese
वैमानिक,এৰোনটিকেল
वैमानिक,এৰোনটিক্স
हवेची नाडी,বায়ুৰ স্পন্দন
"वातावरण, वायूमंडल","বায়ুমণ্ডল, গেছ&#39;স্ফিয়াৰ"
फोकस सिस्टम,ফোকাচ চিষ্টেম
परत प्रज्वलन,বেক ইগনিচন
परत प्रकाश,বেক লাইট
आघात,জোকাৰণি
"वय, वय, वय, युग (सं.), वेळेवर परिणाम करणे (व्हेर.), वेळ, काळाने प्रभावित होणे","বয়স, বয়স, বয়স, যুগ (ed.), সময়ক প্ৰভাৱিত কৰা (ver.), সময়, সময়ৰ দ্বাৰা প্ৰভাৱিত হোৱা"
वेळ प्रभावित,সময় প্ৰভাৱিত
"वृद्धत्व, वृद्धत्व","বয়স বৃদ্ধি, বয়স বৃদ্ধি"
वेळेचा प्रभाव,সময়ৰ প্ৰভাৱ
वेळ प्रभाव चाचणी,সময় প্ৰভাৱ পৰীক্ষা
गुरुत्वाकर्षणरहित,মাধ্যাকৰ্ষণহীন
समेट,মিলন
"हवाई रडार, हवाई रडार","বায়ুমণ্ডলীয় ৰাডাৰ, আকাশী ৰাডাৰ"
"हवाई लक्ष्य, हवाई लक्ष्य","আকাশী লক্ষ্য, আকাশী লক্ষ্য"
हवा श्वसन यंत्र,বায়ু শ্বাসযন্ত্ৰ
वातानुकुलीत,এয়াৰ কণ্ডিচনাৰ
विंडप्रूफ ट्रान्सफॉर्मर,এয়াৰক্ৰু ট্ৰেন্সফৰ্মাৰ
विमान,বিমান
संरेखन,প্ৰান্তিককৰণ
संरेखन त्रुटी,প্ৰান্তিককৰণৰ ভুল
थेट सर्किट,লাইভ চাৰ্কিট
पूर्ण काचेची ट्यूब,সম্পূৰ্ণ কাঁচৰ নলী
संपूर्ण धातूची नळी,গোটেই ধাতুৰ নলী
निराकरण,ঠিক কৰা
"मिश्रातु (सं.), मिश्रत्व (क्र.)","মিশ্ৰতু (সম্পা.), মিশ্ৰত্বন (ক্ৰ.)"
मिश्रत्व,মিশ্ৰত্ৱন
सर्वव्यापी माध्यम,সৰ্বব্যাপী মাধ্যম
सर्व अँटेना,omni এন্টেনা
पंचांग,আলমানাক
अल्फा,আলফা
अल्फा क्रियाकलाप,আলফা-কাৰ্য্যকলাপ
अल्फान्यूमेरिक,আলফানিউমেৰিক
अल्फा किरण,আলফা ৰশ্মি
बदला,সলা
"पर्यायी, पर्यायी","বিকল্প, বিকল্প"
अल्टरनेटर,অলটাৰেটৰ
अल्टिमीटर,উচ্চতামাপক
अल्टिमीटर,উচ্চতামাপক
altimetry,উচ্চতা মাপকাঠী
"उंची, उंची, उंची, उंची","উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা"
अंकगणित तर्क युनिट (ALU),গাণিতিক যুক্তি একক (ALU)
amaget नियम,amaget নিয়ম
वातावरण,পৰিৱেশ
amicron,amicron
ammeter,এমিটাৰ
अँपिअर,এম্পিয়াৰ
अँपिअर-लॉ,এম্পিয়াৰ-আইন
उभयचर आयन,উভচৰ আয়ন
प्रवर्धन,এম্প্লিফিকেশন
अॅम्प्लीफायर,এম্প্লিফায়াৰ
"कोन, परिमाण","কোণ, মাত্ৰা"
a एम. यू. (अणु वस्तुमान एकक),ক. এম ইউ. (পাৰমাণৱিক ভৰ একক)
सुसंगत,উপযুক্ত
साधर्म्य,উপমা
विश्लेषक,বিশ্লেষক
विश्लेषण,বিশ্লেষণ
विश्लेषणात्मक,বিশ্লেষণাত্মক
नॉन पॉइंट,নন-পইন্ট
विसंगत,অস্বাভাৱিক
आणि दरवाजा,আৰু দুৱাৰ
गैर-ध्वनी,অ-ধ্বনিযুক্ত
विसंगत लवचिकता,বিষম স্থিতিস্থাপকতা
निर्जल,জলহীন
कोन,কোণ
अँग्स्ट्रोम युनिट,angstrom একক
टोकदार,কৌণিক
protractor vernier,প্ৰট্ৰেক্টৰ vernier
विवादास्पद,বিতৰ্কহীন
अनादर,অসন্মানজনক
अक्रोमॅटिक चुंबकीकरण,ৰঙীন চুম্বকীয়কৰণ
सुस्त,শিথিলতা
anion,এনিয়ন
असममित,অসমতাপূৰ্ণ
समस्थानिक,সমতলীয়
isotropism,সমচক্ৰীয়তা
हटवणे,মচি পেলোৱা
कटकारस्थान,ষড়যন্ত্ৰকাৰী
एनोड,এনোড
anodization,এনোডাইজেচন
विसंगत,অসামঞ্জস্যপূৰ্ণ
ऑप्टिकल प्रणाली,অপটিকেল চিষ্টেম
अँटेना,এন্টেনা
अँटीबेरियन,এন্টিবেৰিয়ান
अँटी-बॉन्डिंग गुणधर्म,এন্টি-বণ্ডিং বৈশিষ্ট্য
काउंटर बाँड,কাউণ্টাৰ বণ্ড
उलट शक्ती,ৰিভাৰ্ছ পাৱাৰ
डायमॅग्नेटिक,ডাইমেগনেটিক
डायमॅग्नेटिक सामग्री,ডাইমেগনেটিক পদাৰ্থ
विरोधी दाहक,এন্টি-ইনফ্লেমেটৰী
गुरुत्वाकर्षण,এন্টিগ্ৰেভিটি
antilamda कण,এন্টিলামডা কণা
ऍलेलेप्टन,এলিলেপ্টন
डायमॅग्नेटिक,ডাইমেগনেটিক
प्रतिपदार्थ,এন্টিমেটাৰ
क्षेपणास्त्र विरोधी,এন্টি মিছাইল
अँटीन्यूट्रॉन,এন্টিনিউট্ৰন
pulsating,স্পন্দনশীল
अँटीन्यूक्लिओन,এন্টিনিউক্লিয়ন
प्रतिकण,এন্টিপাৰটিকেল
अँटीप्रोटॉन,এন্টিপ্ৰ&#39;টন
परावर्तक,এন্টিৰিফ্লেক্টিভ
विषमताविरोधी,এন্টিসিমেট্ৰিক
आवर्ती नाही,non recurring
अनाक्रोनिझम,এনাক্ৰ&#39;নিজম
छिद्रित स्कॅनिंग डिस्क,ছিদ্ৰযুক্ত স্কেনিং ডিস্ক
द्वारक,দ্বাৰক
"वर, वर, समोर","ওপৰ, ওপৰ, সন্মুখ"
"उच्च सूर्य, उच्च सूर्य","সূৰ্য্য উচ্চ, উচ্চ সূৰ্য্য"
उदासीन लेस,উদাসীন জৰী
गैर-दयनीय,অকৰুণ
अपंगत्व नसणे,অ-অক্ষমতা
अतिशय वर्णवर्धक,অতি ৰংহীন
"जमीन-उंच, apogee","ভূমি-উচ্চ, apogee"
"nonpolar, circumpolar","অমেৰু, বৃত্তাকাৰ"
parapolarity,পেৰাপোলাৰিটি
साधन,সঁজুলি
"आभासी, दृश्य","ভাৰ্চুৱেল, দৃশ্যমান"
दृश्यमान सूर्य,দৃশ্যমান সূৰ্য্য
दृश्य वेळ,দৃশ্যমান সময়
उदयोन्मुख देखावा,উদীয়মান ৰূপ
अर्ज,দৰ্খাস্ত
लागू,প্ৰযোজ্যতা
लागू,প্ৰয়োগ কৰা হৈছে
निरीक्षण करण्यायोग्य,পৰ্যবেক্ষণযোগ্য
दृष्टीकोन,পদ্ধতি
"जवळ, अंदाजे","ওচৰত, প্ৰায়"
अंदाजे,আনুমানিককৰণ
बाष्प दाब,বাষ্পৰ চাপ
ऐच्छिक,স্বেচ্ছামূলক
"चाप भट्टी, चाप भट्टी","চাপ চুলা, চাপ চুলা"
आर्किमिडीजचा कायदा,আৰ্কিমিডিছৰ নিয়ম
आर्किटेक्चरल ध्वनीशास्त्र,স্থাপত্যৰ ধ্বনিবিজ্ঞান
चाप दिवा,চাপ লেম্প
आर्क-स्पेक्ट्रम,চাপ-বৰ্ণালী
"क्षेत्र, क्षेत्र","এলেকা, এলেকা"
"प्रादेशिक, प्रादेशिक","আঞ্চলিক, আঞ্চলিক"
"हात, हात, शाखा","বাহু, বাহু, শাখা"
हौशी,অপেশাদার
"अॅरे, अॅरे","এৰে, এৰে"
प्राप्तकर्ता,ৰিচিভাৰ
उच्चार स्पष्टता,উচ্চাৰণৰ স্পষ্টতা
सिंथेटिक,কৃত্ৰিম
कृत्रिम संक्रमण,কৃত্ৰিম ৰূপান্তৰ
चढत्या,আৰোহী
आरोहण,আৰোহণ
चढणे,বগাই যোৱা
अगोली,আগোলি
एकत्रीकरण,একত্ৰীকৰণ
संच,set of
"एकत्र करणे, एकत्र करणे","একত্ৰিত কৰা, একত্ৰিত কৰা"
"एकत्र करणे, एकत्र करणे, एकत्र करणे","একত্ৰিত কৰা, একত্ৰিত কৰা, একত্ৰিত কৰা"
अचूक अंदाज,নিখুঁত অনুমান
निर्दिष्ट (क्वांटम संख्यांची) वैशिष्ट्ये,নিৰ্দিষ্ট (কোৱাণ্টাম সংখ্যাৰ) ধাৰ্য্যকৰণসমূহ
"संबंधित, सहयोगी, संयुग्मित","সম্পৰ্কীয়, সংযুক্ত, সংযুক্ত"
स्वराचा उच्चार,স্বৰধ্বনি
स्वयंचलित मल्टीव्हायब्रेटर,স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ
अस्थेनिक,এষ্টেনিক
"संयम, दृष्टिवैषम्य","বিৰতি, দৃষ্টিশক্তি"
अंतराळ प्रवास इलेक्ट्रॉनिक्स,মহাকাশ ভ্ৰমণ ইলেক্ট্ৰনিকছ
खगोल भौतिकशास्त्र,জ্যোতিৰ্পদাৰ্থ বিজ্ঞান
अंतराळवीर,মহাকাশচাৰী
खगोलशास्त्रज्ञ,জ্যোতিৰ্বিজ্ঞানী
आकाशीय,আকাশী
खगोलशास्त्र,জ্যোতিৰ্বিজ্ঞান
खगोल भौतिकशास्त्र,জ্যোতিৰ্পদাৰ্থ বিজ্ঞান
असममित,অসমতাপূৰ্ণ
लक्षणे नसलेला,এছিম্পটটিক
त्रासदायक,গুৰুতৰ কৰি তোলা
असिंक्रोनस,এচিনক্ৰ&#39;নাছ
"वातावरण, वातावरण","বায়ুমণ্ডল, বায়ুমণ্ডল"
वातावरणीय,বায়ুমণ্ডলীয়
वारा अशांतता,বতাহৰ অস্থিৰতা
आण्विक,পাৰমাণৱিক
अणू,পাৰমাণৱিক
आण्विकता,পাৰমাণৱিকতা
आण्विक वस्तुमान,পাৰমাণৱিক ভৰ
अणुक्रमांक,পাৰমাণৱিক সংখ্যা
"आण्विक अणुभट्टी, आण्विक ढीग","নিউক্লিয়াৰ ৰিয়েক্টৰ, নিউক্লিয়াৰ পাইল"
अणू,পাৰমাণৱিক
कण,কণা
कण,কণা
"क्षीणता, क्षीणता","attenuation, ক্ষীণকৰণ"
"कमी करणे, कमी करणे","attenuating, ক্ষীণ কৰা"
मोहिनी,আকৰ্ষণ
आकर्षण शक्ती,আকৰ্ষণৰ বল
ऐकण्याची क्षमता,শ্ৰৱণ ক্ষমতা
ऑडिओ वारंवारता अॅम्प्लिफायर,অডিঅ&#39; ফ্ৰিকুৱেন্সি এম্প্লিফায়াৰ
ऐकण्यायोग्य,শ্ৰৱণযোগ্য
ऑडिओ जनरेटर,অডিঅ&#39; জেনেৰেটৰ
श्रवणक्षमता आलेख,শ্ৰৱণ ক্ষমতা গ্ৰাফ
श्रवण विज्ञान,শ্ৰৱণ বিজ্ঞান
ऑडिओमीटर,অডিঅ&#39;মিটাৰ
ऐकण्यायोग्य वारंवारता ऑसिलेटर,শ্ৰৱণযোগ্য কম্পাঙ্ক দোলক
ध्वनी सिग्नल,শব্দ সংকেত
दृकश्राव्य,দৃশ্য-শ্ৰাব্য
"सभागृह, सभागृह","অডিটৰিয়াম, অডিটৰিয়াম"
ओझेड प्रभाव,OZ প্ৰভাৱ
जाहिरात,প্ৰচাৰ
वर्धक,এনহান্সাৰ
ध्रुवीय ज्योत,মেৰু শিখা
दक्षिण ध्रुवीय ज्वाला,দক্ষিণ মেৰু শিখা
उत्तर ध्रुवीय ज्योत,উত্তৰ মেৰু শিখা
स्वयंचलित सूचना,স্বয়ংক্ৰিয় সতৰ্কবাণী
स्वयं समांतर,অটো সমান্তৰালকাৰী
"स्वयंचलित, स्वयंचलित, स्वयंचलित","স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়"
"ऑटोमेशन, ऑटोमेशन","স্বয়ংক্ৰিয়কৰণ, স্বয়ংক্ৰিয়কৰণ"
"सहाय्यक, सहकारी, अतिरिक्त","সহায়ক, সমবায়, অতিৰিক্ত"
"आडवा, हिमस्खलन","অৱদাভা, হিমস্খলন"
"अर्थ, क्षुद्र","mean, mean"
परिवार,পৰিৱৰণ
अक्षीय,অক্ষীয়
अक्ष,অক্ষ
दिगंश,এজিমুথ
दिगंश,এজিমুথ
परत,পিছলৈ
"पार्श्वभूमी, पार्श्वभूमी","পটভূমি, পটভূমি"
"मागासलेला, मागासलेला","পিছপৰা, পিছপৰা"
टर्नअराउंड,ঘুৰা
बॅक व्होल्टेज पल्सर,বেক ভল্টেজ পালছাৰ
पोस्ट-रिलेशनशिप,সম্পৰ্কৰ পিছৰ
प्रतिपूर्ती,ৰিইম্বৰ্চেমেণ্ট
अँटी व्होल्टेज,এন্টি ভল্টেজ
पोस्टरियर स्कॅटरिंग,পশ্চাৎ বিক্ষিপ্ততা
इंटरस्टिशियल लाट,অন্তৰ্স্থলীৰ তৰংগ
इन्सुलेटर,ইনচুলেটৰ
हवाई छत्री वापरून घेतलेली उडी,পেৰাচুট জাম্প
गरम करणे,উত্তাপন কৰা
"शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक","ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য"
बॅलन्सर,বেলেন্সাৰ
शिल्लक,ভাৰসাম্যতা বজাই ৰখা
गोलाकार,গ্ল&#39;বুল
"बॅलिस्टिक, बॅलिस्टिक","বেলিষ্টিক, বেলিষ্টিক"
"प्रोजेक्शन गॅल्व्हानोमीटर, प्रोजेक्शन गॅल्व्हानोमीटर","প্ৰজেকচন গেলভেন’মিটাৰ, প্ৰজেকচন গেলভেন’মিটাৰ"
क्षेपणास्त्र,মিছাইল
"बॅलिस्टिक्स, शस्त्रे","বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ"
प्रक्षेपण,প্ৰক্ষেপণ
मुक्त मार्ग,মুক্ত ট্ৰেজেক্টৰী
"फुगा, फुगा","বেলুন, বেলুন"
balmer खंडितता,বালমাৰ বিচ্ছিন্নতা
"बँड, बँड, बँड","বেণ্ড, বেণ্ড, বেণ্ড"
स्फोट,ফুটা
"अॅरे, बीम, किनारा, किनारा, किनारा","array, beam, তীৰ, পাৰ, উপকূল"
"स्तंभ, बार, कोब, ब्लॉक, बार, रॉड, बार, 8. भिंत, 9. रेखा, 10. किनारा, 1 ब्लॉक, 1, बार, 1, रेखा, 1, चाचणी रेखा","স্তম্ভ, বাৰ, কব, ব্লক, বাৰ, ৰড, বাৰ, ৮.বেৰ, ৯. ৰেখা, ১০. প্ৰান্ত, ১ ব্লক, ১, বাৰ, ১, ৰেখা, ১, পৰীক্ষা ৰেখা"
bardeen तत्त्व,bardeen নীতি
barkhausen प्रभाव,barkhausen প্ৰভাৱ
बारलो सायकल,barlow চক্ৰ
बार चुंबक,বাৰ চুম্বক
धान्याचे कोठार,ভঁৰাল
हवेचा दाब आलेख,বায়ুৰ চাপৰ গ্ৰাফ
"बॅरोग्राफ, बॅरोग्राफ","বেৰ&#39;গ্ৰাফ, বেৰ&#39;গ্ৰাফ"
बॅरोमीटर,বেৰ&#39;মিটাৰ
वातावरणाचा दाब,বায়ুমণ্ডলীয় চাপ
"कॉसमॉस, बॅरोमोस्फियर","ব্ৰহ্মাণ্ড, বেৰ&#39;স্ফিয়াৰ"
पेंडुलम पेंडुलम,পেণ্ডুলাম
"अडथळा, आण्विक, आण्विक अडथळा","বাধা, পাৰমাণৱিক বাধা, পাৰমাণৱিক বাধা"
अडथळा पातळी,বাধাৰ স্তৰ
बेरियन,barion
गुरुमंडळ,গুৰুমণ্ডল
बेस बँड,বেচ বেণ্ড
"मूलभूत, मूलभूत, अल्कधर्मी","মৌলিক, মৌলিক, ক্ষাৰকীয়"
पाया,ভেঁটি
"गणना, संघ निर्मिती","গণনা, দল গঠন"
"टाकी, टाकी, हीटर, गरम करण्याचे भांडे, आंघोळ","cistern, cistern, হিটাৰ, গৰম কৰা পাত্ৰ, গা ধোৱা"
बॅटरी,বেটাৰি
"अॅरे सेगमेंट, चेंबर, बे","এৰে খণ্ড, কক্ষ, উপসাগৰ"
प्रदर्शन,প্ৰদৰ্শন
किबान,কিবান
"माणिका, बीड","মণিকা, বিড"
"तुळई, तुळई, तुळई, ट्रम्प","ৰশ্মি, ৰশ্মি, ৰশ্মি, ট্রাম্প"
"डिकमन, डिकॉन","ডিকমন, ডিকন"
"dole, vispand","ডোলে, ভিস্পেণ্ড"
बेकरेल प्रभाव,becquerel প্ৰভাৱ
बेल जार,ঘণ্টা জাৰ
घुंगरू,bellows
घंटा घड्याळ,ঘণ্টা ঘড়ী
"वेदिका, खंडपीठ","বেদিকা, বেঞ্চ"
"मोड, बंक (सं.), वाकणे (v.)","মোড, বাংক (সম্পা.), বেণ্ড (v.)"
बँकन,বাংকন
"वाकलेला, वाकलेला","bent, বেঁকা"
बर्नौली-समीकरण,বাৰ্নৌলি-সমীকৰণ
बेसल-फंक्शन,ভিত্তি-ফলন
सर्वोत्तम आसंजन,শ্ৰেষ্ঠ আঠাযুক্ততা
बीटा (ब),বিটা (খ)
betatron,betatron
bethe मॉडेल,bethe মডেল
बायव्हट्रॉन,বিভাট্ৰন
BH वक्र,BH বক্ৰ
द्विभुज,দ্বিকোণীয়া
"पक्षपात, पक्षपात","bias, পক্ষপাতিত্ব"
द्वि-अक्षीय,দ্বি-অক্ষীয়
बिक्रोमेट सेल,বাইক্ৰ&#39;মেট কোষ
अभ्यवताल,অভ্যাৱতল
दुहेरी अँटेना,ডাবল এন্টেনা
द्विउत्तल,দ্বি উত্তল
"द्वि-क्रिस्टल, दुहेरी-क्रिस्टल","দ্বি-স্ফটিক, দ্বৈত-স্ফটিক"
द्विदिश मायक्रोफोन,দ্বিমুখী মাইক্ৰ&#39;ফোন
द्विपदी मॉडेल,দ্বিপদ আৰ্হি
डायओशियस,ডাইঅ&#39;ইচিয়াছ
द्विपक्षीय,দ্বিপাক্ষিক
द्विरेखीय,দ্বিৰেখা
द्विमोलेक्युलर,দ্বি আণৱিক
"द्वि-चर, द्वि-आधार, दुहेरी","দ্বি-চলক, দ্বি-ভিত্তিক, দ্বৈত"
"बायनरी कोड, बायनरी कोड","বাইনাৰী ক&#39;ড, বাইনাৰী ক&#39;ড"
गेम स्टार,গেম ষ্টাৰ
बायनरी पद्धत,বাইনাৰী পদ্ধতি
दुहेरी बाजू असलेला,biparietal
बंध,বান্ধোন
"द्विनेत्री, द्विनेत्री","বাইনোকুলাৰ, বাইনোকুলাৰ"
बायनरी,বাইনাৰী
द्विपदी वितरण,দ্বিপদ বিতৰণ
"द्विकेंद्रीय, द्विकेंद्री, द्विकेंद्रित","দ্বিকেন্দ্ৰীয়, দ্বিকেন্দ্ৰীয়, দ্বি-নিউক্লিয়েট"
जैवगतिकी,জৈৱগতিবিদ্যা
बायो इलेक्ट्रॉनिक्स,বায়&#39; ইলেক্ট্ৰনিক্স
बायोफिजिस्ट,জৈৱপদাৰ্থবিজ্ঞানী
बायोफिजिक्स,জৈৱপদাৰ্থ বিজ্ঞান
जैविक उपग्रह,জৈৱিক উপগ্ৰহ
"सिनेमॅटोग्राफर, बायोस्कोप","চিনেমাটোগ্ৰাফাৰ, বায়স্কোপ"
जैव-सावर्त नियम,বায়&#39;-ছাভাৰ্ট নিয়ম
biphasic प्रवाह,দ্বিফেজিক কাৰেণ্ট
द्विध्रुव,ডাইপোল
"biprism, biprism","বাইপ্ৰিজম, বাইপ্ৰিজম"
"biquartz, biquartz","বাইকোৱাৰ্টছ, বাইকোৱাৰ্ট"
biphasic वर्ण,দ্বিপৰ্যায়ৰ আখৰ
दोन-स्टेज मल्टीव्हायब्रेटर,দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ
"द्वयंक* (बायनरी अंक), बर्मीज, अनी, तुक","ড্ৱায়াংক* (বাইনাৰী সংখ্যা), বাৰ্মিজ, অনি, টুক"
"काळा, कृष्णा","ক&#39;লা, কৃষ্ণ"
काळे शरीर,ক&#39;লা শৰীৰ
अदृश्य प्रकाश,অদৃশ্য পোহৰ
timirayan रेडिओ timirayan,timirayan ৰেডিঅ&#39; timirayan
इजेक्शन नाडी,ইজেকচন পালছ
पूर्वाग्रह समाप्त करा,end bias
काळा विकिरण,ক&#39;লা বিকিৰণ
"अपूर्ण, रिक्त","অসম্পূৰ্ণ, খালী"
कव्हर,আৱৰণ
रद्द करणे,বাতিল কৰা
"स्फोट, स्फोट, वाफा","বিস্ফোৰণ, বিস্ফোৰণ, ধুমুহা"
"savika, bleeder, savi","সবিকা, ব্লিডাৰ, সবি"
"वेशात, आंधळा","ছদ্মবেশত, অন্ধ"
ब्लोचचे प्रमेय,ব্লকৰ উপপাদ্য
"अवरोधित करणे, अवरोधित करणे, अडथळा आणणे","ব্লক, ব্লক, ব্লক"
"फुंकणे, फुंकणे, फुंकणे","blow, blow, আঘাত কৰা"
ब्लू प्रिंट,নীলা প্ৰিন্ট
अस्पष्टता वर्तुळ,অস্পষ্টতা বৃত্ত
अस्पष्ट,তৰংগ
"बॉल, गोलाकार, लटकन","বল, গোলক, লকেট"
"शरीर, वस्तू","শৰীৰ, বস্তু"
शारीरिक क्षमता,শাৰীৰিক ক্ষমতা
केंद्रीत,কেন্দ্ৰীভূত
"शरीर-कर्ण, अंत-कर्ण","শৰীৰ-তিৰ্যক, শেষ-তিৰ্যক"
"बोगी, अज्ञात शोध (रडार)","bogie, অজ্ঞাত ধৰা পেলোৱা (ৰাডাৰ)"
बोअर इफेक्ट,ব&#39;ৰ ইফেক্ট
बोर मॅग्नेटन,ব&#39;ৰ মেগনেটন
"बॉयलर, बॉयलर","বয়লাৰ, বয়লাৰ"
"उकळणे, उकळणे","উতলা, উতলা"
बोल्ट्समन समीकरण,বোল্টছমেন সমীকৰণ
बॉम्बर इलेक्ट्रॉन,বোমাৰু ইলেক্ট্ৰন
"क्लेशकारक ऊर्जा, बॉम्बस्फोट ऊर्जा","আঘাতজনিত শক্তি, বোমা বিস্ফোৰণ শক্তি"
गहाण,বন্ধক
"बंधलेले, बंधलेले, बंधलेले","বণ্ডেড, বণ্ডেড, বণ্ডেড"
वर्धक,এনহান্সাৰ
बोरॉन,বোৰন
बोस-कण,বস-কণা
बोसॉन,ব&#39;চন
"धक्का, उडी","জোকাৰণি, জাম্প"
बद्ध,বাধ্যতা
"मर्यादा, मर्यादा (सं.), सीमांत (वि.)","সীমা, সীমা (সম্পা.), প্ৰান্তীয় (v.)"
बद्ध,বাধ্যতা
धनु राशीचे अंगण,ধনু ৰাশিৰ চোতাল
नौकानयन लाट,পালতোলা ঢৌ
बॉयलर गरम करणे,বয়লাৰ গৰম কৰা
बॉयलचा कायदा,ল&#39;ৰাৰ আইন
बॉयलर गरम करणे,বয়লাৰ গৰম কৰা
कंस-वर्ग,বন্ধনী-শ্ৰেণী
पिशवी नियम,বেগ নিয়ম
गुंफलेली तार,আন্তঃসংলগ্ন তাঁৰ
ब्रेक वर्ग,ব্ৰেক ক্লাছ
