Punjabi,Assamese
ਰਿੰਗ ਉਂਗਲ,ৰিং ফিংগাৰ
1. ਐਫੀਡ 2. ਮਹੂ 3. ਚੇਪਾ,১.এফিড ২.মহু ৩.চেপা
ਚੋਟੀ ਦੇ ਮੁਕੁਲ,শীৰ্ষ কলি
ਸਿਖਰ ਪ੍ਰਭਾਵ,শীৰ্ষ ফলপ্ৰসূতা
ਮਧੂ ਮੱਖੀ ਪਾਲਣ,মৌমাখি ৰখা
ਅਲੌਕਿਕਤਾ,অযৌনতা
apoptosis,এপ&#39;প্টোছিছ
ਜੋੜ,appendages
ਭੁੱਖ ਵਧਾਉਣ ਵਾਲਾ,appetizer
ਲਾਗੂ ਕੀਤਾ,প্ৰয়োগ কৰা হৈছে
ਜਲਜੀ ਬੂਟੀ,জলজ অপতৃণ
1. ਰੁੱਖ 2. ਰੁੱਖ ਨਿਵਾਸੀ,১.গছ ২.গছৰ বাসিন্দা
ਬ੍ਰਾਂਚਿੰਗ,শাখা-প্ৰশাখা
ਪ੍ਰੋਟੋਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ,প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড
ਜ਼ੋਨ ਨੰਬਰ,জ&#39;ন নম্বৰ
1. ਖੇਤਰ 2. ਖੇਤਰ,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
ਖੁਸ਼ਕ ਈਕੋਸਿਸਟਮ,শুকান পৰিৱেশ তন্ত্ৰ
cotyledon,কুটিলডন
ਸੌਰਭ,সৌৰভ
ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ,সুগন্ধিযুক্ত উদ্ভিদ
ਸੁਗੰਧਿਤ ਚੌਲ,সুগন্ধি চাউল
ਇਕੁ ਪੁਸ਼ਪੰ ॥,ইক্ষু পুষ্পন
ਅਸੈਪਟਿਕ,বীজাণুমুক্ত
1. ਅਸੈਪਟਿਕ 2. ਅਸੈਪਟਿਕ,১.এচেপ্টিক ২.এচেপ্টিক
ਅਲੌਕਿਕ ਪ੍ਰਜਨਨ,অযৌন প্ৰজনন
ਆਕਾਰ,আকাৰ
ਸੰਪਤੀ,সম্পত্তি
1. ਸਮੀਕਰਨ 2. ਸਮੀਕਰਨ,১/ আত্মসাৎ ২. আত্মসাৎ
1. ਐਸੋਸੀਏਸ਼ਨ 2. ਐਸੋਸੀਏਸ਼ਨ,১.সংঘ ২.সংঘ
1. ਕਾਲਮ 2. astringency,1. স্তম্ভ 2. astringency
heterozygosity,হেটেৰ&#39;জাইগোচিটি
1. ਪੂਰਵਜ 2. ਅਟਾਵਿਜ਼ਮ,১.পূৰ্বপুৰুষ ২.আটাভিজম
ਕਣ,কণা
1. ਅਪੁਸ਼ਟਤਾ 2. ਵਿਗਾੜ,1. অনিশ্চয়তা 2. বিকলতা
ਸਵੈ ਜੋੜਾ,self pairing
autolysis,অটোলাইছিছ
1. ਸੁਭਾਵਕ ਆਕਸੀਕਰਨ 2. ਸਵੈ-ਚਾਲਤ ਆਕਸੀਕਰਨ,1. স্বতঃস্ফূৰ্ত অক্সিডেচন 2. স্বতঃস্ফূৰ্ত অক্সিডেচন
ਸਵੈ ਮਲਟੀਪਲੈਕਸ,self multiplexed
auxin,অক্সিন
1. ਹਿਲਾ 2. ਟੌਡ,১/ জোকাৰি যোৱা ২. টোড
ਸਜ਼ਾ ਵਾਇਰਸ,পেনাল ভাইৰাছ
1. ਬੇਸੀਲਸ 2. ਬੇਸੀਲਸ,১.বেচিলাছ ২.বেচিলাছ
1. ਬੈਕਟੀਰੀਆ 2. ਬੈਕਟੀਰੀਆ,১/ বেক্টেৰিয়া ২) বেক্টেৰিয়া
ਬੈਕਟੀਰੀਆ ਦੇ ਜ਼ਹਿਰ,বেক্টেৰিয়াৰ বিষাক্ত পদাৰ্থ
ਬੈਗਾਸ,বাগাছ
ਸੰਤੁਲਨ ਸ਼ੀਟ,বেলেন্স শ্বীট
ਸੰਤੁਲਿਤ ਖਾਦ ਦੀ ਵਰਤੋਂ,সুষম সাৰৰ ব্যৱহাৰ
ਬਾਰ ਗ੍ਰਾਫ,বাৰ গ্ৰাফ
ਸੱਕ,বাকলি
1. ਬੈਰੋਮੀਟਰ 2. ਬੈਰੋਮੀਟਰ,১.বেৰ’মিটাৰ ২.বেৰ’মিটাৰ
1. ਬਜ਼ਰ 2. ਜੜ 3. ਬੰਜਰ,১. বাজাৰ ২. নিষ্ক্ৰিয় ৩. বন্যাৰ্ত
1. ਅਧਾਰ 2. ਅਧਾਰ 3. ਕੱਪਾਂਗ,1. ভিত্তি 2. ভিত্তি 3. কুপাং
1. ਤਾਲਾ 2. ਬੇਸਿਨ,১.তালা ২.বেচিন
ਤਾਲਾਬੀਸਰੀ,তালাবিছাৰী
1. ਬੇਸਿਸਟਰਨਮ 2. ਰੂਟ ਹੋਲਡਰ,১.বেচিষ্টেৰনাম ২.মূল ধাৰণকাৰী
ਖਾੜੀ ਮਾਨਸੂਨ,উপসাগৰীয় বাৰিষা
ਫਲ ਪੌਦਾ,ফলৰ উদ্ভিদ
ਬਿਸਤਰਾ,বিছনা
ਬੈੱਡ ਪੌਦਾ,বিচনা উদ্ভিদ
ਬਿਸਤਰਾ,বিচনা চাদৰ
ਚੁਕੰਦਰ ਗੁੜ,বুটমাহৰ গুড়
ਘੰਟੀ,bellows
1. ਪੱਟੀ 2. ਭੂਮੀ,১.ষ্ট্ৰিপ ২.ভূখণ্ড
ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ,লাভ-খৰচ বিশ্লেষণ
ਚਾਹਵਾਨ (ਨਮੂਨਾ),আকাংক্ষিত (Sampling)
ਦੋ-ਸਾਲਾ ਪੌਦੇ,দ্বিবাৰ্ষিক উদ্ভিদ
ਬਾਇਨੋਮੀਅਲ,দ্বিপদ
ਬਾਇਓਫੈਕਟਰ,বায়&#39;ফেক্টৰ
ਜੈਵਿਕ ਜਲਵਾਯੂ,জৈৱিক জলবায়ু
ਬਾਇਓ ਊਰਜਾ,জৈৱ শক্তি
ਜੀਵ-ਜੰਤੂ ਵਾਤਾਵਰਣ,প্ৰাণীৰ পৰিস্থিতিতন্ত্ৰ
1. ਬਾਇਓ-ਪ੍ਰੋਸੈਸਰ 2. ਬਾਇਓ-ਰਿਐਕਟਰ,১/ বায়’-প্ৰচেছৰ ২.বায়’-ৰিয়ক্টৰ
ਜੀਵ-ਮੰਡਲ,জৈৱমণ্ডল
ਬਾਇਓਟਿਕ,জৈৱিক
ਜੀਵ-ਜੰਤੂ,প্ৰাণীজগত
ਡਿਵਿਲਿੰਗੀ,ডিভিলিংগি
ਧਵਲਨ,ধাৱলান
1. ਪ੍ਰਧਵਾਸਨ (ਰੋਗ) 2. ਗਸਟ ਰੋਗ,১/প্ৰধ্বাসন (ৰোগ) ২) গাষ্ট ৰোগ
ਮਿਲਾਉਣਾ,মিশ্ৰণ
1. ਅੰਗਮਾਰੀ (ਰੋਗ) 2. ਝੁਲਸ (ਰੋਗ),১.আংমাৰী (ৰোগ) ২.ব্লাইট (ৰোগ) ২.
1. ਛਾਲੇ 2. ਛਾਲੇ 3. ਫਟਣਾ 4. ਛਾਲੇ,১/ ফোহা ২. ফোহা ৩. বিস্ফোৰণ ৪. ফোহা
ਨੀਲੀ ਕ੍ਰਾਂਤੀ,নীলা বিপ্লৱ
ਪਲੈਨਰ ਹੀਟਿੰਗ ਚੈਂਬਰ,প্লেনাৰ হিটিং চেম্বাৰ
ਪਲੈਨਰ ਹੀਟਿੰਗ ਤਕਨਾਲੋਜੀ,সমতল উত্তাপন প্ৰযুক্তি
ਬਰੈਨ,ব্ৰাণ
ਬ੍ਰਾਂਚਿੰਗ,শাখা-প্ৰশাখা
1. ਟਹਿਣੀ 2. ਸਬਬ੍ਰਾਂਚ,১.ডাল ২.উপশাখা
ਨਸਲ,বংশবৃদ্ধি
ਪ੍ਰਜਨਨ,প্ৰজনন
ਸ਼ੁਰੂਆਤੀ ਉਗਣ ਦਾ ਇਲਾਜ,আগতীয়াকৈ অংকুৰণৰ চিকিৎসা
1. ਬੱਚਾ 2. ਅੰਡੇ 3. ਭਰੂਣ,১. পোৱালি ২. কণী ৩. ভ্ৰূণ
ਉਭਰਦਾ,budding
ਬਜਟ,বাজেট
1. ਐਮਫੋਟੇਰਿਕ 2. ਬਫਰ,১.এম্ফোটেৰিক ২.বাফাৰ
ਮਿਠਾ ਆਲੂ,মিঠা আলু
ਬੰਟ (ਰੋਗ),বান্ট (ৰোগ)
1. ਉਪ-ਉਤਪਾਦ 2. ਉਪ-ਉਤਪਾਦ,1. উপ-উৎপাদন 2. উপ-উৎপাদন
c ਨਮੀ ਨਿਰਧਾਰਨ ਕਰਵ,c আৰ্দ্ৰতা নিৰ্দিষ্টকৰণ বক্ৰ
ਤੇਲ ਕੇਕ,তেলৰ কেক
1. ਚੂਨਾ 2. ਕੈਲਸ਼ੀਅਮ,১.চূণ ২.কেলচিয়াম
ਕੈਲਸੀਓਨ,calcion
ਫਾਸਫੇਟ ਹਟਾਉਣ,ফছফেট আঁতৰোৱা
1. ਕਿਨਾਟਾ 2. ਕੈਲਾਟਾ,১.কিনাটা ২.কালাটা
1. ਕੈਲਸ 2. ਕਿਰਨ,১.কেলাছ ২.ৰশ্মি
1. ਸੈਪਲਸ 2. ਕੈਲਿਕਸ,1. ফুলৰ গুটি 2. calyx
ਬਾਹਰੀ ਅੰਤ,বাহ্যিক শেষ
ਏਡਾ,এধা
ਕੈਂਕਰ (ਬੈਕਟੀਰੀਆ ਦੀ ਬਿਮਾਰੀ),কেন্সাৰ (বেক্টেৰিয়াৰ ৰোগ)
ਕੈਨਿੰਗ,কেনিং
ਅਸਮਾਨ,আকাশ
ਵਿੱਤ,বিত্ত
ਪਰਾਗੀਕਰਨ (ਅੰਜੀਰ ਦਾ),পৰগাছা (ডুমুৰৰ)
1. ਕੈਪਸੂਲ 2. ਕੈਪਸੂਲ 3. ਕੈਪਸੂਲ,১.কেপচুল ২.কেপচুল ৩.কেপচুল
ਕਾਰਬਨਾਈਜ਼ਡ,কাৰ্বনাইজড
ਕਾਰਬਨਾਨ,কাৰ্বনেন
carapace,carapace
ਬਰੇਸਲੈੱਟ,এপাত হাতৰ অলংকাৰ
1. ਕਾਸਟਿੰਗ (ਲੋਹਾ) 2. ਕਸ਼ਤੀ (ਕੀੜੇ),1. ঢালাই (লোহা) 2. ক্ষীপতি (পোক)
catabolism,কেটাবলিজম
ਪ੍ਰੇਰਣਾ,প্ৰৰোচনা
1. ਕੈਟਰਪਿਲਰ 2. ਕੈਟਰਪਿਲਰ,1. পোক 2. পোক
c d. ਐਨ. a ਸੰਗ੍ਰਹਿ,গ ঘ. এন. ক. সংগ্ৰহ
ਸੀਮਾ,পৰিসৰ
1. ਸੈੱਲ 2. ਸੈੱਲ,১.কোষ ২.কোষ
ਕੇਂਦਰੀ ਫਰੰਟ ਸਿਸਟਮ,কেন্দ্ৰীয় ফ্ৰন্ট ব্যৱস্থা
1. ਪੁਆਇੰਟ 2. ਫੋਕਸ,1. বিন্দু 2. ফোকাচ
centrifugation,কেন্দ্ৰচালিতকৰণ
ਸੈਂਟਰਿਫਿਊਜ,কেন্দ্ৰচালিত কৰক
ਸਟਾਰ ਸੈਂਟਰ,তাৰকা কেন্দ্ৰ
epigenetic,এপিজেনেটিক
ਕੇਂਦਰਜਾ,কেন্দ্ৰজা
ਲੂਮ,loom
1. ਸੀਰੀਅਲ 2. ਸੀਰੀਅਲ,১/ শস্যৰ বীজ ২. ছিৰিয়েল
1. ਸਰਟੀਫਿਕੇਸ਼ਨ 2. ਸਰਟੀਫਿਕੇਸ਼ਨ,১.প্ৰমাণীকৰণ ২.প্ৰমাণীকৰণ
ਪ੍ਰਮਾਣਿਤ ਬੀਜ,প্ৰমাণিত বীজ
1. ਤੂੜੀ 2. ਕੁੱਟੀ 3. ਸ਼ਲਕ ਸਹਪਾਤਰਾ,১) খেৰ ২.কুট্টি ৩.শালক সহপাত্ৰ
1. ਨਿਭਾਗ 2. ਕੈਲਜਾ,১.নিভাগ ২.কৈলাজা
ਕਾਇਮੋਗ੍ਰਾਫੀ,চাইম&#39;গ্ৰাফী
1. ਕੀਜ਼ਮਾ 2. ਵਿਅਸਤ,১.কিয়াজমা ২.ব্যস্ত
ਸੁਪਰ ਕੂਲਿੰਗ ਘੰਟੇ,ছুপাৰকুলিং ঘন্টা
ਠੰਡ ਦਾ ਨੁਕਸਾਨ,হিম ক্ষতি
1. ਵੀਚਰੋਤਕੀ 2. ਚਿਮੇਰਾ,১/ ভিচিৰোটাকি ২.চিমেৰা
ਹਰਾ ਦਲੀਆ,সেউজীয়া দাইল
1. ਪੱਤੇ 2. ਹਰੇ,১.পাতল ২.সেউজীয়া
ਸਾਇਨੋਸਿਸ,চাইন&#39;ছিছ
ਜੈਵਿਕ ਵੰਡ ਵਿਗਿਆਨ,জৈৱিক বিতৰণ বিজ্ঞান
1. ਕ੍ਰੋਮੇਟਿਡਜ਼ 2. ਅੱਧੇ ਕ੍ਰੋਮੋਸੋਮਜ਼,১) ক্ৰ’মেটিড ২) আধা ক্ৰম’জম
chromatin,ক্ৰ&#39;মেটিন
ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ,ক্ৰ&#39;মাট&#39;গ্ৰাফী
chromatinlation,ক্ৰ&#39;মেটিনেচন
ਅਟਲ ਬਿੰਦੂ,অলিন্দৰ বিন্দু
chromatogenesis,ক্ৰ&#39;মেট&#39;জেনেছিছ
1. ਕ੍ਰੋਮੋਪ੍ਰੋਟੀਨ 2. ਪਿਗਮੈਂਟਪ੍ਰੋਟੀਨ,১/ ক্ৰম’প্ৰটিন ২.ৰঞ্জক প্ৰটিন
1. ਕ੍ਰੋਮੋਸੋਮਜ਼ 2. ਕ੍ਰੋਮੋਸੋਮਜ਼,১.ক্ৰম’জম ২.ক্ৰম’জম
1. ਪੁਰਾਣੀ 2. ਪੁਰਾਣੀ 3. ਪੁਰਾਣੀ 4. ਪੁਰਾਣੀ,1. দীৰ্ঘদিনীয়া 2. দীৰ্ঘদিনীয়া 3. দীৰ্ঘদিনীয়া 4. অচল
citrange,ট্যাগ এর সাথে ছবি &#39;citrange&#39;:
ਪਤਝੜ ਤਿਉਹਾਰ,পতন উৎসৱ
ਵਰਗੀਕਰਨ,শ্ৰেণীবিভাজন
1. ਮਿੱਟੀ 2. ਮਿੱਟੀ,১.মাটি ২.মাটি
1. ਸਫਾਈ 2. ਰਗੜਨਾ 3. ਸਫਾਈ 4. ਸ਼ੁੱਧੀਕਰਨ,১/ পৰিষ্কাৰ কৰা ২.স্ক্ৰাব কৰা ৩. পৰিষ্কাৰ কৰা ৪.বিশুদ্ধকৰণ
ਲਗਾਤਾਰ ਪਰਾਗਣ,স্থায়ী পৰগাছা
cruciferous ਫਲ,ক্ৰুচিফেৰাছ ফল
ਜਲਵਾਯੂ,জলবায়ু
ਜਲਵਾਯੂ ਵਿਗਿਆਨ,জলবায়ুবিজ্ঞান
ਕੱਟਣਾ,shear
ਗੰਢ (ਮਿੱਟੀ),গোট (মাটি)
ਕਲੋਨ,ক্ল&#39;ন
1. ਬੱਦਲ 2. ਬੱਦਲ,১.ডাৱৰ ২.ডাৱৰ
ਝੁੰਡ,ক্লাম্প
ਝੁੰਡ,মুঠি
1. ਮੋਟਾ 2. ਮੋਟਾ 3. ਕੱਚਾ 4. ਮੋਟਾ,১.মোটা ২.ৰুক্ষ ৩.কেঁচা ৪.ৰুক্ষ
1. ਕਵਰ 2. ਚਮੜਾ,১.আৱৰণ ২.চামৰাৰ টুকুৰা
ਕੋਯਾ,কয়া
1. ਕੋਐਨਜ਼ਾਈਮ 2. ਕੋ-ਐਨਜ਼ਾਈਮ,১/ কো-এনজাইম ২.কো-এনজাইম
ਤਾਲਮੇਲ,সংহতি
1. ਫਾਈਬਰ (ਜੂਟ ਜੂਟ) 2. ਨਾਰੀਅਲ ਮੋਟੇ,১/ আঁহ (পাট পাট) ২) নাৰিকল মোটা
ਮੁਲੰਕੁਰ ਚੋਲਾ,মুলংকুৰ চোলা
,
ਕੋਲਾਇਡ (ਮਿੱਟੀ),কলয়ড (মাটি)
1.ਕਾਲਮ 2.ਕੋਲੁਮੇਲਾ,১.স্তম্ভ ২.কলমেলা
1. ਜੁਰਮਾਨਾ 2. ਕਾਲਮ 3. ਕਾਲਮ,১/ শাস্তি ২.স্তম্ভ ৩.স্তম্ভ
ਸਾਂਝ,কমিউনিয়ন
