Kannada,Marathi
ಮುನ್ನಡೆ,प्रगती
ಮುಂಗಡ ಬುಕಿಂಗ್,अ‍ॅडव्हान्स बुकिंग
ಮುನ್ನಡೆ,आगाऊ प्रत
ಮುಂಗಡ ಹೆಚ್ಚಳ,आगाऊ वाढ
ಮುಂಗಡ ಪಾವತಿ,आगाऊ भरणा
ಪ್ರತಿಕೂಲ ಪ್ರವೇಶ,प्रतिकूल प्रविष्टी
ಪ್ರತಿಕೂಲ ಟೀಕೆಗಳು,प्रतिकूल टीका
ಪ್ರತಿಕೂಲ ವರದಿ,प्रतिकूल अहवाल
ಆಯ್ಕೆ,जाहिरात
ಸಲಹೆ,सल्ला
ಪಾವತಿಯ ಸಲಹೆ,देयकाचा सल्ला
ಸಲಹಾ ಸಮಿತಿ,सल्लागार समिती
ಸಲಹಾ ಮಂಡಳಿ,सल्लागार परिषद
ಪ್ರತಿಪಾದಿಸು,वकिली
ವ್ಯವಹಾರ,घडामोडी
ಅಫಿಡವಿಟ್,प्रतिज्ञापत्र
ಉಪಶಮನ,संलग्नता
ದೃ ir ೀಕರಣ,पुष्टीकरण
ದೃ irf ೀಕರಣದ,होकारार्थी
ಆತುರಿಸು,परवाना
ಈನಟ,उपरोक्त
ಹೊಸದಾಗಿ,पुन्हा
ವಿರುದ್ಧವಾಗಿ,विरुद्ध
ವಯಸ್ಸು,वय
ವಯಸ್ಸಾದ ಪ್ರಮಾಣಪತ್ರ,वय प्रमाणपत्र
ಮತದಾರರ ವಯಸ್ಸು,मताधिकार वय
ವಯಸ್ಸಿಗೆ,वय मर्यादा
ವಾಗ್ದಾನ,एजन्सी
ಕಾಗಾರ,अजेंडा
ನಿವೃತ್ತಿಯ ವಯಸ್ಸು,सेवानिवृत्तीचे वय
ಮೇಲ್ವಿಚಾರಣೆಯ ವಯಸ್ಸು,अधोरेखित वय
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,एकत्रिकरण
ದುಃಖಿಸಿದ,संताप
ಆಂದೋಲನ,आंदोलन
ಅವಾತ,एजीएम
ಒಪ್ಪಂದ,करार
ಒಪ್ಪಂದದ ರೂಪ,करार फॉर्म
ಕೃಷಿ,शेती
ಕೃಷಿ ಉದ್ಯಮ,कृषी-उद्योग
ನೆರವು,मदत
ಎಚ್ಚರಿಕೆ,गजर
ಜಾಗರೂಕತೆ,सतर्कता
ಅಲಿಯಾಸ್,उर्फ
ಆರೋಪಣೆ,आरोप
ನಿಷ್ಠೆ,निष्ठा
ಮೈತ್ರಿ,युती
ಮಿತ್ರ ಸೇವೆಗಳು,संबद्ध सेवा
ಎಲ್ಲಾ ಅಂತರ್ಗತ ವೆಚ್ಚ,सर्व समावेशक किंमत
ಅಖಿಲ ಭಾರತ ಸೇವೆಗಳು,अखिल भारतीय सेवा
ಮನವಸಿಕೆ,वाटप
ಹಂಚಿಕೆ,वाटप
ಹಂಚಿಕೆ ಪತ್ರ,वाटप पत्र
ಹಂಚುವವ,अ‍ॅलोटी
ಅನುಮತಿಸುವ,परवानगीयोग्य
ಅನುಮತಿಸುವ ವೆಚ್ಚಗಳು,अनुमत खर्च
ಮನವಿಯನ್ನು ಅನುಮತಿಸಿ,अपीलला परवानगी द्या
ಭತ್ಯೆ,भत्ता
ಎಲ್ಲ ಹಕ್ಕುಗಳನ್ನು ಕಾಯ್ದಿರಿಸಲಾಗಿದೆ,सर्व हक्क राखीव
ವರ್ಣಮಾಲೆ,वर्णमाला क्रम
ವಾಗ್ವಾದ,भांडण
ಪರ್ಯಾಯ,वैकल्पिक
ಬದಲಕ,पर्यायी
ಸಂಯೋಗ,एकत्रिकरण
ತಿದ್ದುಪಡಿ ಮಾಡಿದ ಕರಡು,सुधारित मसुदा
ತಿದ್ದುಪಡಿ,दुरुस्ती
ಸೌಕರ್ಯ,सुविधा
ಸೌಹಾರ್ದಯುತ,मैत्रीपूर्ण
ಮದ್ದುಗುಂಡು,दारूगोळा
ಸಾಲದ ಭೋಗ್ಯ,कर्जाचे or न्टायझेशन
ಮೊತ್ತ,रक्कम
ಪಿಂಚಣಿ ಪ್ರಮಾಣ,पेन्शनची रक्कम
ಸಾದೃಶ್ಯದ ಹುದ್ದೆ,समान पोस्ट
ವಿಶ್ಲೇಷಣೆ,विश्लेषण
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಅಧ್ಯಯನ,विश्लेषणात्मक अभ्यास
ಪೂರ್ವಜ,पूर्वज
ಪೂರಕ ಉದ್ಯಮ,सहायक उद्योग
ದ್ವೇಷ,वैर
ಅನುಬಂಧ,जोड
ವಾರ್ಷಿಕೋತ್ಸವ,वर्धापनदिन
ಪ್ರಕಟಿಸುವುದು,घोषणा
ಕಿರಿಕಿರಿಯ,त्रास
ವಾರ್ಷಿಕ ಹಣಕಾಸು ಹೇಳಿಕೆ,वार्षिक आर्थिक विधान
ವಾರ್ಷಿಕ ವರದಿ,वार्षिक अहवाल
ವರ್ಷಾಶನ,वार्षिकी
ಅನಾಮಿಕ,अज्ञात
ಅನಾಮಧೇಯ ದೂರು,अज्ञात तक्रार
ಉತ್ತರಾಧಿಕಾರಿಯಾಗದಿರುವಿಕೆ,उत्तरदायित्व
ಉತ್ತರ ಪತ್ರಿಕೆ,उत्तरपत्रिका
ವಿರೋಧಿ,विरोधी
ಪೂರ್ವಸಿದ್ಧತೆಗಳು,पूर्वज
ನಿರೀಕ್ಷಿತ ಖರ್ಚು,अपेक्षित खर्च
ನಿರೀಕ್ಷಿತ ಆದಾಯ,अपेक्षित उत्पन्न
ನಿರೀಕ್ಷಣೆ,अपेक्षा
ನಿರೀಕ್ಷಿತ ಜಾಮೀನು,अपेक्षित जामीन
ಭ್ರಷ್ಟಾಚಾರ ವಿರೋಧಿ,भ्रष्टाचारविरोधी उपाय
ಡಂಪಿಂಗ್ ವಿರೋಧಿ,अँटी-डंपिंग
ಪ್ರಾಚೀನ,प्राचीन
ವರ್ಣಭೇದ,वर्णभेद
ನಿರಾಸಕ್ತಿ,औदासिन्य
ತುದಿ ದೇಹ,शिखर शरीर
ಕ್ಷಮೆ,दिलगिरी
ಮನವಿಯನ್ನು,अपील
ಗೋಚರತೆ,देखावा
ಸಮಾಧಾನ,शांतता
ಮೊದಲೇ ನ್ಯಾಯಮಂಡಣಿ,अपील न्यायाधिकरण
ಅನುಬಂಧ,परिशिष्ट
ಉಪಕರಣ,उपकरण
ಅನ್ವಯಿಸುವ,लागू
ಅರ್ಜಿದಾರ,अर्जदार
ಅನ್ವಯಿಸು,अर्ज
ಅರ್ಜಿ,अर्ज
ಅನ್ವಯಿಕ,लागू
ಅನ್ವಯಿಸು,अर्ज करा
ನೇಮಕಾತಿ,नेमणूक
ಅಧಿಕಾರವನ್ನು ನೇಮಿಸುವುದು,अधिकाराची नेमणूक
ನೇಮಕ,नियुक्ती
ನೇಮಕಾತಿ ಪತ್ರ,नियुक्ती पत्र
ಕ್ಯಾಬಿನೆಟ್ನ ನೇಮಕಾತಿ ಸಮಿತಿ,मंत्रिमंडळाची नेमणूक समिती
ವೇತನದ ಹಂಚಿಕೆ,वेतनाचे विभाजन
ಮೌಲ್ಯಮಾಪಕ,मूल्यमापन
ಮೌಲ್ಯಮಾಪಕ,मूल्यांकनकर्ता
ಮೆಚ್ಚುಗೆ,कौतुक
ಭಯ,भीती
ಅಪ್ರೆಂಟಿಸ್,शिकाऊ उमेदवार
ಸಮೀಪಿಸು,संपर्क साधा
ಸೂಕ್ತ,योग्य
ಸೂಕ್ತ ಕ್ರಮ,योग्य कृती
ಸೂಕ್ತ ತಲೆ,योग्य डोके
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,विनियोग
ಅನುಮೋದನೆ,मान्यता
ಅಂದಾಜು,अंदाजे
ಆಪ್ಟಿಟ್ಯೂಡ್ ಪರೀಕ್ಷೆ,योग्यता चाचणी
ಅನಿಯಂತ್ರಿತ,अनियंत्रित
ನಿಣಿಸು,लवाद
ಮಧ್ಯಸ್ಥಿಕೆ,लवाद
ಮಧ್ಯಸ್ಥಿಕೆ ನ್ಯಾಯಮಂಡಳ,लवाद न्यायाधिकरण
ಮಧ್ಯಸ್ಥ,लवाद
ವಾಸ್ತುಶಿಲ್ಪಿ,आर्किटेक्चर
ಆರ್ಕೈವ್ಸ್,संग्रहण
ಪ್ರದೇಶ,क्षेत्र
ಪ್ರದೇಶದ ಪ್ರದೇಶ,क्षेत्र मुख्यालय
ವಾದ,युक्तिवाद
ಹುಳು,उद्भवू
ಸಶಸ್ತ್ರ ಪಡೆ,सशस्त्र सेना
ಜೋಡಣೆ,व्यवस्था
ಬಾಕಿ,थकबाकी
ಬಾಕಿ ಹೇಳಿಕೆ,थकबाकी विधान
ಆಗಮನ ವರದಿ,आगमन अहवाल
ಅಸ್ತವ್ಯಸ್ತತೆ,गर्विष्ठपणा
ಸ ೦ ತಾನು,शस्त्रागार
ಲೇಖನ,लेख
ಸಂಘದ ಲೇಖನಗಳು,संघटनेचा लेख
ಲೇಖನಗಳು,लेख
ಆರೋಹಣ,चढत्या ऑर्डर
ಒತ್ತಿಹೇಳಿಸು,निश्चित करा
ಎಲ್ಲಿದೆ,कोठे आहे
ಆಕಾರ,पैलू
ಆಪಾದನೆ,भ्रष्टाचार
ಹತ್ಯೆ,हत्या
ದಾಳಿ,हल्ला
ಜೋಡಿಸು,एकत्र करा
ಸಭೆ,असेंब्ली
ಒಪ್ಪು,मान्यता
ಪ್ರತಿಪಾದಿಸು,ठामपणे
ಮೌಲ್ಯಮಾಪಕ,निर्धारक
ಮೌಲ್ಯಮಾಪನ,मूल्यांकन
ಮೌಲ್ಯಮಾಪನ ವರ್ಷ,मूल्यांकन वर्ष
ಮೌಲ್ಯಮಾಪಕ,मूल्यांकनकर्ता
ಸ್ವಸಮಾನಗಳು,मालमत्ता
ನಿಯೋಗಿ,असिशात
ನಿಯೋಜನೆ,असाइनमेंट
ನಿಯೋಜಕ,असाइनर
ಸಹಾಯ,सहाय्य
ಜೊತೆಗಾರ,सहयोगी
ಸಂಘ,असोसिएशन
ಚಾರ್ಜ್ನ umption ಹೆ,शुल्काची धारणा
ಭರವಸೆ,आश्वासन
ಅಶ್ಯೂರೆನ್ಸ್ ಕಂಪನಿ,आश्वासन कंपनी
ಭರವಸೆ ಕೊಡು,आश्वासन
ರಿಯಾಯಿತಿಯಲ್ಲಿ,सूट वर
ಪರಮಾಣು ಶಕ್ತಿ,अणु शक्ती
ಸಮನಾಗಿ,समम वर
ಪ್ರೀಮಿಯಂನಲ್ಲಿ,प्रीमियमवर
ಲಗತ್ತಿಸು,संलग्न करा
ಲಗತ್ತಿಸಲಾದ ಕಚೇರಿ,संलग्न कार्यालय
ಬಾಂಧಾಣ,संलग्नक
ಲಗತ್ತು ಆದೇಶ,संलग्नक ऑर्डर
ಸಾಧನೆ,प्राप्ती
ಪ್ರಯತ್ನ,प्रयत्न
ಹಾಜರಾತಿ,उपस्थिती
ಹಾಜರಾತಿ ನೋಂದಣಿ,उपस्थिती नोंदणी
ಹಾಜರಾತಿ ಸ್ಲಿಪ್,उपस्थिती स्लिप
ಗಮನ,लक्ष
ದೃestೀಕರಣ,प्रमाणीकरण
ದೃ ested ೀಕರಿಸಿದ ಪ್ರತಿ,प्रमाणित प्रत
ವರ್ತನೆ,वृत्ती
ಆಕರ್ಷಕ ಸಂಬಳ,आकर्षक पगार
ಹರಾಜು,लिलाव
ಹರಾಜುದಾರ,लिलाव
ಹರಾಜು ಮಾರಾಟ,लिलाव विक्री
ಪ್ರೇಕ್ಷಕರು,प्रेक्षक
ಆಡಿಯೊ ದೃಶ್ಯ ಪ್ರದರ್ಶನ,ऑडिओ-व्हिज्युअल प्रदर्शन
ಆಡಿಯೋ ದೃಶ್ಯ ಪ್ರಚಾರ,ऑडिओ-व्हिज्युअल प्रसिद्धी
ಲೆಕ್ಕಪರಿಶೋಧನೆ,ऑडिट
ಲೆಕ್ಕಪರಿಶೋಧಿತ ಖಾತೆಗಳು,ऑडिट खाती
ಲೆಕ್ಕಪರಿಶೋಧಿತ ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್,ऑडिट बॅलन्स शीट
ಲೆಕ್ಕಾಚಾರ,ऑडिटिंग
ಲೆಕ್ಕಪರಿಶೋಧನೆ,ऑडिट आक्षेप
ಲೆಕ್ಕಪರಿಶೋಧಕರ ವರದಿ,ऑडिटरचा अहवाल
ಸಭಾಪತಿ,सभागृह
ಲೆಕ್ಕಪರಿಶೋಧನೆ,ऑडिट परिच्छेद
ಲೆಕ್ಕಪರಿಶೋಧನೆ,ऑडिट अहवाल
ಕಠಿಣತೆ,कठोरता
ಕಠಿಣತೆ ಕ್ರಮಗಳು,कठोरपणाचे उपाय
ಅಧಿಕೃತ,अस्सल
ಅಧಿಕೃತ ಪ್ರತಿನಿಧಿ,अधिकृत प्रतिनिधी
ಅಧಿಕೃತವಾದ,अधिकृत
ಅಧಿಕಾರ,अधिकार
ಅಧಿಕಾರ ಪತ್ರ,प्राधिकरण पत्र
ಅಧಿಕಾರಾವಧ,अधिकृत
ಅಧಿಕೃತ ಬಂಡವಾಳ,अधिकृत भांडवल
ಸ್ವಯಂಚಾಲಿತ,स्वयंचलित
ಸ್ವಾಯತ್ತ,स्वायत्त
ಸ್ವಾಯತ್ತ ದೇಹ,स्वायत्त शरीर
ಸ್ವಾಯತ್ತತೆ,स्वायत्तता
ಸಹಾಯಕ,सहाय्यक
ಲಭ್ಯ,उपलब्ध
ಸರಾಸರಿ,सरासरी
ಸರಾಸರಿ ರಜೆ,सरासरी रजा
ನಿವಾರಣೆ,प्रतिकार
ತಪ್ಪಿಸು,टाळतो
ತಪ್ಪಿಸಲು,टाळा
ತೆರಿಗೆ ತಪ್ಪಿಸುವುದು,कर टाळणे
ಕಾಯುತ್ತಿರುವ,प्रतीक्षा केली
ಪ್ರಶಸ್ತಿ,पुरस्कार
ಪ್ರಶಸ್ತಿ ಪ್ರಾಧಿಕಾರ,पुरस्कार प्राधिकरण
ಅ ೦ ಗಿರುವಿಕೆ,जागरूकता
ಹಿತ್ತಲಿನ,बॅकडेटेड
ಹಿನ್ನೆಲೆ,पार्श्वभूमी
ಹಿಂದಿನ ಲಾಗ್,परत लॉग
ಹಿಂದೆ,मागे होणे
ಹಿಂದಿನ ಉಲ್ಲೇಖ,परत संदर्भ
ಬ್ಯಾಕ್ ಅಪ್,बॅक अप
ಹಿಂದುಳಿದ ತರಗತಿಗಳು,मागास वर्ग
ಹಿಂದುಳಿದ ಬುಡಕಟ್ಟು,मागास जमाती
ಕೆಟ್ಟ ಚೌಕಾಶಿ,वाईट सौदा
ಕೆಟ್ಟ ನಡತೆ,वाईट वागणं
ಕೆಟ್ಟ ಪಾತ್ರ,वाईट वर्ण
ಕೆಟ್ಟ ಹವಾಮಾನ ಭತ್ಯೆ,वाईट हवामान भत्ता
ಕೆಟ್ಟ ನಡವಳಿಕೆ,वाईट आचरण
ಕೆಟ್ಟ ಸಾಲ,वाईट कर्ज
ಸಾಮಾನು ಸರಂಜಾಮು,सामान
ಜಾಮೀನು,जामीन
ಸಮತೋಲನ,शिल्लक
ಸಮತೋಲನವನ್ನು ಉರುಳಿಸಿದೆ,शिल्लक खाली आणले
ಸಮತೋಲನವನ್ನು ಮುಂದಕ್ಕೆ ತರಲಾಗಿದೆ,शिल्लक पुढे आणले
ಸಮತೋಲಿತ ಬಜೆಟ್,संतुलित बजेट
ಸಮತೋಲನ,शिल्लक पत्रक
ಮತದಾನ,मतपत्रिका
ಮತಪೆಟ್ಟಿಗೆ,मतपेटी
ಮತದಾನದ ಕಾಗದ,मतपत्रिका
ನಿಷೇಧಿಸು,बंदी
ಬ್ಯಾಂಕ್,बँक
ಬ್ಯಾಂಕ್ ಖಾತೆ,बँक खाते
ಬ್ಯಾಂಕ್ ಬ್ಯಾಲೆನ್ಸ್,बँक बॅलन्स
ಬ್ಯಾಂಕ್ ಶುಲ್ಕಗಳು,बँक शुल्क
ಬ್ಯಾಂಕ್ ಖಾತರಿ,बँक हमी
ಬ್ಯಾಂಕ್ ರಜೆ,बँक सुट्टी
ಬ್ಯಾಂಕಿಂಗ್ ಸೌಲಭ್ಯ,बँकिंग सुविधा
ಬ್ಯಾಂಕಿಂಗ್ ಸಮಯ,बँकिंग तास
ಬ್ಯಾಂಕಿಂಗ್ ವಹಿವಾಟು,बँकिंग व्यवहार
ಬ್ಯಾಂಕ್ ಪ್ರಮಾಣ,बँक दर
ಬ್ಯಾಂಕ್ ಸಮನ್ವಯ,बँक सलोखा
ದಿವಾಳಿಯಾದ,दिवाळखोर
ಬ್ಯಾಂಕ್ ಭದ್ರತೆ,बँक सुरक्षा
ಬ್ಯಾಂಕ್ ಲೆಕ್ಕವಿವರಣೆ,बँक स्टेटमेंट
Banಟ,मेजवानी
ಪಟ್ಟಿಗ ಮಂಡಳಿ,बार कौन्सिल
ಚೌಕಾಶಿ,सौदा
ಚೌಕಾಶಿ,बार्गेनिंग
ಬಂಜರು ಭೂಮಿ,नापीक जमीन
ಚೂರು,बार्टर
ಬೇನೆ,पाया
ಆಧಾರರಹಿತ,निराधार
ನೆಲಮಾಳಿಗೆ,तळघर
ಮೂಲ ವರ್ಷ,बेस वर्ष
ಮೂಲಭೂತ,मूलभूत
ಮೂಲವಾಗಿ,मूलभूतपणे
ಮೂಲ ಬುದ್ಧಿ,मूलभूत बुद्धिमत्ता
ಮೂಲಭೂತ ವೇತನ,मूलभूत वेतन
ವೇತನದ ಮೂಲ ಪ್ರಮಾಣ,मूलभूत वेतन
ಮೂಲಭೂತ ತರಬೇತಿ,मूलभूत प्रशिक्षण
ಆಧಾರ,आधार
ದಡ,बॅच
ಬ್ಯಾಚ್ ಸಂಖ್ಯೆ,बिल्ला क्रमांक
ಧಾರಕ ಚೆಕ್,वाहक तपासणी
ಉಲ್ಲೇಖಿಸಿದ ಮೊದಲು,उद्धृत करण्यापूर्वी
ವರ್ತನೆ,वर्तन
ನಂಬಿಕೆ,विश्वास
ಕೆಳಗಿನ ಪಾರ್,समम खाली
ಬೆಂಚು,खंडपीठ
ಮಾನದಂಡ,बेंचमार्क
ಪ್ರಯೋಜನಕರ,फायदेशीर
ಫಲಾನುಭವಿ,लाभार्थी
ಲಾಭ,फायदा
ಅನುಮಾನದ ಲಾಭ,संशयाचा फायदा
ಪರೋಪಕಾರ,परोपकार
ಪರೋಪಕಾರಿ ನಿಧಿ,बेनिव्हॉलेंट फंड
ಮಾಪಕ,निर्विकार
ಉಯುದಿ,वकील
ದುಃಖಿತ,शोक
ಅತ್ಯುತ್ತಮ ಪ್ರಯತ್ನಗಳು,सर्वोत्तम प्रयत्न
ಸುಡುವುದು,बेटरमेंट
ಪಕ್ಷಪಾತ,पूर्वाग्रह
