Malayalam,Punjabi
ഏറ്റെടുത്ത ഇമ്മുനോൻറെ കുറവ് സിൻഡ്രോം (എയ്ഡ്സ്),ਐਕੁਆਇਰਡ ਇਮੂਨੋ ਦੀ ਘਾਟ ਸਿੰਡਰੋਮ (ਏਡਜ਼)
അങ്കാരിയ,ਅਰੇਂੀਆ
അക്രിക്കൈൻ ഡൈ,ਐਸੀਰੇਸਾਈਨ ਡਾਇ
അക്രോസെന്റ്,ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ
അക്രോമീൻ,ਐਕਰੋਮਰ
അക്രോരേറ്റൽ സീക്വൻസ്,ਅਸ਼ੋਕਲ ਤਰਤੀਬ
അക്രോപോളൽ ഓർഡർ,ਐਕਰੋਪੇਟਲ ਆਰਡਰ
അക്രോസിൻ,ਐਕਰੋਸਿਨ
ആക്ടിൻ,ਐਕਟਿਨ
ആക്റ്റിൻ പോലുള്ള പ്രോട്ടീൻ,ਐਕਟਿਨ ਵਰਗੇ ਪ੍ਰੋਟੀਨ
ആക്ടിനോമോർഫിക്,ਐਕਟਿਨੀਮੋਰਿਕ
ആക്റ്റിനോമൈസെറ്റുകൾ,ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ
പ്രവർത്തന സാധ്യത,ਕਾਰਵਾਈ ਸੰਭਾਵਨਾ
സജീവമാക്കിയ സ്ലഡ്ജ്,ਸਰਗਰਮ ਸਲੱਜ
സജീവമാക്കിയ സ്ലഡ്ജ് ഫ്ലോക്ക്,ਸਰਗਰਮ ਸਲੈਮ ਫਾਸਟ
സജീവമാക്കൽ .ർജ്ജം,ਐਕਟੀਵੇਸ਼ਨ Energy ਰਜਾ
സജീവമായ ആഗിരണം,ਐਕਟਿਵ ਸਮਾਈ
സജീവ പ്രതിരോധശേഷി,ਕਿਰਿਆਸ਼ੀਲ ਛੋਟ
സജീവ വികിരണം,ਸਰਗਰਮ ਰੇਡੀਏਸ਼ਨ
സജീവ സൈറ്റ്,ਐਕਟਿਵ ਸਾਈਟ
ആധ്രിക്കുക,ਐਕਟੀਵੇਟ
അക്യുമിനേറ്റ്,ਅਮੀਮਿਨੇਟ
ആദാംസിയ,ਐਡਮਜ਼ੀਆ
പൊരുത്തപ്പെടലി,ਅਨੁਕੂਲਤਾ
പൊരുത്തപ്പെടുത്തൽ,ਅਨੁਕੂਲਤਾ
ലൈറ്റ് ഭരണകൂടത്തിന് അനുയോജ്യമായ പൊരുത്തപ്പെടുത്തൽ,ਚਾਨਣ ਸ਼ਾਸਨ ਲਈ ਅਨੁਕੂਲਤਾ
ജല ദഹനത്തോടുള്ള പൊരുത്തപ്പെടുത്തൽ,ਪਾਣੀ ਦੀ ਘਾਟ ਲਈ ਅਨੁਕੂਲਤਾ
അഡാപ്റ്റീവ് സവിശേഷതകൾ,ਅਨੁਕੂਲ ਗੁਣ
അഡാപ്റ്റീവ് പ്രതിരോധശേഷി,ਅਨੁਕੂਲ ਛੋਟ
അഡാപ്റ്റീവ് വികിരണം,ਅਨੁਕੂਲ ਰੇਡੀਏਸ਼ਨ
അഡാപ്റ്റീവ് സ്വഭാവം,ਅਨੁਕੂਲ ਗੁਣ
അഡാക്സിയൽ ഉപരിതലം,ਏਕੈਕਸੀਅਲ ਸਤਹ
ആസക്തി നിഴൽ,ਨਸ਼ਾ ਕਰਨ ਵਾਲੀ ਵਿਕਾਰ
ആദൈൈൻ,ਐਡੀਨੇਨ
Adenocortiopin,ਐਡੇਨੋਕਾਰਸਪੋਰਟ੍ਰੋਪਿਨ
ആദിനോഹൈപഫിസിസ്,ਐਡੀਨੋਹਾਇਪਿਸਿਸ
Adenosin diphosphate,ਅਡੇਨੋਸਿਨ ਡਿਇਆਪਸਫੇਟ
Adenosine deaminase,ਐਡੀਨੋਸਾਈਨ ਡਿਮੇਨਬੇਸ
അഡെനോസിൻ മോണോഫോസ്ഫേറ്റ്,ਐਡੀਨੋਸਾਈਨ ਮੋਨੋਫੋਸਫੇਟ
അഡെനോസിൻ ട്രിപ്പ്ഫോസ്ഫേറ്റ് (എടിപി),ਐਡੀਨੋਸਾਈਨ ਟ੍ਰਾਈਫੋਸਫੇਟ (ਏਟੀਪੀ)
Adenileat സൈക്ലെസ്,ਐਡੀਨੇਲਲੇਟ ਸਾਈਕਲੇਜ
പശ ശക്തി,ਚਿਪਕਣ ਵਾਲੀ ਤਾਕਤ
മുദവയ്ക്കുക,ਐਡਪੋਜ਼
Adipocyte (FALE സെൽ),Adipocyte (ਚਰਬੀ ਸੈੱਲ)
അഡിപോസ് ടിഷ്യു,ਐਡਪੋਜ਼ ਟਿਸ਼ੂ
ആരാധന,ਐਡਨੇਟ
സമീപ കമ്മ്യൂണിറ്റി,ਨਾਲ ਲੱਗਦੀ ਕਮਿ Community ਨਿਟੀ
അഡ്രീനല്,ਐਡਰੀਨਲ
അഡ്രീനൽ ഗ്രന്ഥി,ਐਡਰੇਨਲ ਗਲੈਂਡ
അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ (acth),ਐਡਰੇਨੋਕੋਟਰੋਪਿਕ ਹਾਰਮੋਨ (ਐਕਟਿਹ)
അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ റിലീസ് ചെയ്യുന്നു (acth),ਐਡਰੇਨੋਕਰੋਪੋਰਟਿਕੋਟਰੋਪਿਕ ਰੀਲੀਜ਼ ਹਾਰਮੋਨ (ACTRH)
ദുര്ധി പകര്,ਐਡੋਰਬੈਂਟ
ദുര്ഗയോധം,ਇਸ਼ਤਿਹਾਰ
വിപുലമായ കീടങ്ങൾ,ਐਡਵਾਂਸਡ ਕੋਰਡੇਟ
പ്രയോജനകരമായ മ്യൂട്ടേഷൻ,ਲਾਭਦਾਇਕ ਪਰਿਵਰਤਨ
സാഹസികമായ,ਸਾਹਸੀ
സാഹസിക റൂട്ട്,ਸਾਹਸੀ ਜੜ
പ്രതികൂല ഫലം,ਗਲਤ ਪ੍ਰਭਾਵ
Aedes,ਏ.ਡੀ.ਡੀ.
സംസ്കാരത്തിന്റെ വായുസഞ്ചാരം,ਸਭਿਆਚਾਰ ਦੀ ਹਵਾਬਾਜ਼ੀ
അരേഞ്ചമ,Énerchyma
ഏരിയൽ,ਏਰੀਅਲ
Aierial റൂട്ട്,ਏਰੀਅਲ ਰੂਟ
ഏരിയൽ ഷൂട്ട്,ਏਰੀਅਲ ਸ਼ੂਟ
എയ്റോബിക് ശ്വസനം,ਐਰੋਬਿਕ ਸਾਹ
എയ്റോബിക് ശ്വസനം,ਐਰੋਬਿਕ ਸਾਹ
സൗന്ദര്യശാസ്ത്രം,ਸੁਹਜ
പകർച്ചവ്വാധം,ਖਰਾਸ਼
പകർച്ചവ്വാധം,ਖਰਾਸ਼
അശ്രദ്ധ,ਪਿਆਰ
അഫിനിറ്റി ക്രോമാറ്റോഗ്രാഫി,ਪੱਕਾ ਐਫੀਲੀਅਸ ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ
പീഡിപ്പിച്ച അവയവം,ਦੁਖੀ ਅੰਗ
വനനം,ਕਥਾ
അഗമോസ്പർമി,ਅਗਿਆਤ
അഗറും,ਅਗਰ
അഗരോസ്,ਅਗਿਆਤ
അഗരോസ് ജെൽ എലെട്രോഫോറെസിസ്,ਅਗਾਅਰਜ਼ ਜੈੱਲ ਐਲੀਟ੍ਰੋਫੋਨਸਿਸ
അഗരോസ് പോളിമർ ജെൽ,ਅਗਿਆਤ ਪੋਲੀਮਰ ਜੈੱਲ
അഗാധമായ,ਅਤਿ
കൂരക്കം,ਅਗਾਵ
പ്രായ വിതരണം,ਉਮਰ ਵੰਡ
പ്രായ പിരമിഡ്,ਉਮਰ ਪਿਰਾਮਿਡ
നിര്മ്മിപ്പ,Agglutate
ആകെത്തുകയായുള്ള,ਸਮੁੱਚੀ
ഫോളിക്കിളിന്റെ ആകെത്തുക,Follicle ਦਾ ਸਮੁੱਚਾ
ഫോളിക്കിളിന്റെ ആകെത്തുക,Follicle ਦਾ ਸਮੁੱਚਾ
അഗ്രഗേഷൻ,ਇਕੱਤਰਤਾ
ആക്രമശാസ്ത്രം,ਹਮਲਾਵਰਤਾ
അജിറ്ററ്റർ സിസ്റ്റം,ਐਗਰੀਏਟਰ ਸਿਸਟਮ
അഗ്നിനാഥ,ਅਗਨੀਥਾ
അഗൗട്ടി,ਅਗਾਤੀ
അഗ്രഗൽ ക്ലോറോപ്ലാസ്റ്റ്,ਅਗਰੰਡੀ ਕਲਰੋਲੋਪਲਾਸਟ
അഗ്രനനുകാരി,ਅਗਰੂ
അഗ്രമായനുലോസിടെ,ਅਗਰਾਨੂਲੋਸਾਈਟ
കൃഷിപ്പണി,ਖੇਤੀ ਬਾੜੀ
അഗ്രോഫോറസ്ട്രി,ਐਗਰੋਫੋਰੈਸਟਰੀ
അഗ്രോബക്രിയം മധ്യസ്ഥത,ਐਗਰੋਬੈਟਰਿਅਮ ਵਿਚੋਲਗੀ
അഗ്രോബക്രിയം ടുബ്ഫാസിയൻസ്,ਐਗਰੋਬੈਟਰਿਅਮ ਟੋਮਫੈਕੈਨਜ਼
കാർഷിക,ਐਗਰੋ ਕੈਮੀਕਲ
കാർഷിക,ਐਗਰੋ ਕੈਮੀਕਲ
അഗ്രോക്ലിമീയ മേഖല,ਅਗਰੋਕਲਾਈਮੈਟਿਕ ਜ਼ੋਨ
അഗ്രോണമിക് സ്വഭാവം,ਖੇਤੀਬਾਜੀ ਗੁਣ
അഗ്രോണമി,ਖੇਤੀਬਾੜੀ
എയ്ഡ്സ്,ਏਡਜ਼
എയർ ബ്ളാഡര്,ਏਅਰ ਬਲੈਡਰ
എയർകണ്ടീഷണർ,ੲੇ. ਸੀ
എയർ പാസേജ്,ਹਵਾ ਦਾ ਰਾਹ
വായു മലിനീകരണം,ਹਵਾ ਪ੍ਰਦੂਸ਼ਣ
വ്ലാക്,ਏਅਰ ਸੈਕ
വായു ശൂന്യത,ਏਅਰ ਵੈਕਲੂਓਲ
എയർ ശ്വസനം,ਹਵਾ-ਸਾਹ
അനെയ്ൻ,ਅਲੇਨ
അലറി പേശി,ਅਲੇਰੀ ਮਾਸਪੇਸ਼ੀ
അലാസ്കൻ ബ്ര rown ൺ ബിയർ,ਅਲਾਸਕਨ ਬ੍ਰਾ .ਨ ਰਿੱਛ
ആൽബിനോ,ਐਲਬਿਨੋ
ആൽബൂഗോ,ਆਲਬੂਗੋ
ആൽബമിൻ,ਐਲਬਮਿਨ
ആൽബ്യൂമിനസ് വിത്ത്,ਐਲਬਿੰਜੀਨ ਬੀਜ
അൽബുമിനൂറിയ,ਐਲਬਿ → ਮਿਨੂਰੀਆ
ആൽബനം,ਐਲਬਟਨਮ
അൽകെഡെ,ਐਲਸੀਏਸੀ
Aldeheeede,Aldeyhede
ആൽഡോസ്റ്റെറോൺ സിസ്റ്റം,ਅੈਲਡੋਸਟਰੋਨ ਸਿਸਟਮ
ആൽഡോസ്റ്റെറോൺ,ਅਲੇਸਟਰੋਨ
അലോറോൺ ലെയർ,ਅਲੇਪੁਰਨ ਪਰਤ
അലൂറോപ്ലാസ്റ്റ്,ਐਲੇਰੋਪਲਾਸਟ
പയറുവർഗ്ഗങ്ങൾ,ਅਲਫਾਫਾ
ആൽഗൽ പൂവ്,ਐਲਗਲ ਖਿੜ
അൾഗിൻ,ਅਲੀਗਿਨ
അന്യഗ്രഹ ഡിഎൻഎ,ਪਰਦੇਸੀ ਡੀਐਨਏ
അന്യഗ്രഹ ജീവികൾ,ਪਰਦੇਸੀ ਪ੍ਰਜਾਤੀ
വിന്യാപകമായ,ਅਲਾਈਨਮੈਂਟ
വിന്യാപകമായ,ਅਲਾਈਨਮੈਂਟ
അലിമെന്ററി കനാൽ,ਅਲੀਮੈਂਟਰੀ ਨਹਿਰ
അലിമെന്ററി സിസ്റ്റം,ਅਲੀਮੈਂਟਰੀ ਸਿਸਟਮ
അലിയാസം,ਐਲਿਸਮੇਸਸੀ
ആൽക്കലോയിഡ്,ਐਲਕਾਲਾਇਡ
ആൽക്കലൈൻ,ਐਲਕਲੀਨ
ആൽക്കപ്റ്റോറിയ,ਅਲਕਾਪਟਨੂਰੀਆ
Allantois,ਅੱਲੈਂਟੋਇਸ
അല്ലെൽ ഫ്രീക്വൻസി,ਐਲੀ ਬਾਰੰਬਾਰਤਾ
അല്ലലേ,ਐਲੀਲ
അല്ലോമോർഫിക് ജോഡി,ਅਲੇਲਬਿਕ ਜੋੜੀ
അലർജി,ਐਲਰਗੇਨ
ചീങ്കണ്ണി,ਐਲੀਗੇਟਰ
അല്ലിയം സിപ,ਐਲੀਅਮ ਸੀ.ਪੀ.ਏ.
അലോഗാമി,ਆਲੋਗਮ
അല്ലുഫ്രാഫ്റ്റ്,ਅਲਾਗ੍ਰਾਫਟ
അലോപ്പേട്രിക് സ്പെസിഫിക്കേഷൻ,ਅਲੋਪੈਟ੍ਰਿਕ ਜਾਦੂਈ
Allopolyplogid,ਐਲੋਪੋਲਾਈਵਲਾਈਡ
എല്ലാസ്റ്റീസ്റ്റ് ഇഫക്റ്റ്,ਐਲੋਸਟਰਿਕ ਪ੍ਰਭਾਵ
Allonteric enzyme,ਐਲੋਸਟ੍ਰਿਕ ਪਾਚਕ
ഓസ്റ്റോസ്റ്റർ ഇൻഹിബിറ്റർ,ਐਲੋਸਟਰਿਕ ਇਨਿਹਿਬਟਰ
എല്ലാസ്റ്റീസ്റ്റ് മോഡുലേഷൻ,ਐਲੋਸਟ੍ਰਿਕ ਮੈਨੂਲੇਸ਼ਨ
ഓസ്റ്റോസ്റ്റർ സൈറ്റ്,ਐਲੋਸਟ੍ਰਿਕ ਸਾਈਟ
ആസ്റ്റോസ്റ്റ് ഗർബിംഗ്,ਐਲੋਸਟਰਿਕ ਰੋਕ
അലോട്ട്ട്രലോയിഡ്,Allotetraplaidd
അൽനസ്,ਐਲਾਨਸ
കറ്റാർ,ਐਲੋ
ആക്സോണിനൊപ്പം,ਐਕਸੋਨ ਦੇ ਨਾਲ
ആൽഫ-ആന്റിട്രിറ്റിപ്സ്,ਅਲਫ਼ਾ-ਐਂਟੀਟ੍ਰਿਪਸਿਨ
ആൽഫ-ലാക്റ്റൽബുമിൻ,ਅਲਫ਼ਾ-ਲੈਕਟਲਬੁਮਿਨ
ആൽപൈൻ കാലാവസ്ഥാ അവസ്ഥ,ਐਲਪਾਈਨ ਦੀ ਸਥਿਤੀ
ആൽപൈൻ മെഡോ,ਅਲਪਾਈਨ ਮੈਡੋ
ആൽപൈൻ സോൺ,ਅਲਪਾਈਨ ਜ਼ੋਨ
ആൽസ്റ്റോണിയ,ਅਲਸਟੋਨੀਆ
ആദരജോ,ਅਲਟਰਨੇਰੀਆ
ഏകാന്തരക്രമത്തിൽ,ਵਿਕਲਪਿਕ
തലമുറയുടെ മാറിമാറ്റം,ਪੀੜ੍ਹੀ ਦੀ ਤਬਦੀਲੀ
ഉറ്റമകരമായ രോഗം,ਉਚਾਈ ਬਿਮਾਰੀ
ഉയരം,ਉਚਾਈ
അൽവിയോളാർ നാളം,ਐਲਵੋਲਰ ਡੈਕਟ
അലിറ്റ്സ്,ਅਲਾਈਨ
അല്ഷിമേഴ്സ് രോഗം,ਅਲਜ਼ਾਈਮਰ ਰੋਗ
അമാക്രീൻ സെൽ,ਅਮੈਕਰਾਈਨ ਸੈੱਲ
അമറാന്തം,ਅਮਰੰਥੈਸੇ
അമരന്തസ്,ਅਮੈਸ਼ਨਥਸ
ആംബിയന്റ് ഓസ്മോട്ടിക് സാന്ദ്രത,ਅੰਬੀਨਟ ਓਮੋਟਿਕ ਗਾੜ੍ਹਾਪਣ
ആംബിസ്റ്റോമ,ਅਮੈਸਟੋਮਾ
അറുമണ്ടിന്,ਐਮੀਡ
അമിനോ അമ്ലം,ਅਮੀਨੋ ਐਸਿਡ
അമിനോ ആസിഡ് സ്വീകാര്യത,ਅਮੀਨੋ ਐਸਿਡ ਸਵੀਕਾਰਟਰ
അമിനോസിഎൽ ടി ആർഎ സിന്തസെസ്,ਅਮੀਨੋਸਾੱਲ ਟੀ ਆਰ ਐਨ ਏ ਸਿੰਥੇਟੇਸ
അമിപോസിലേഷൻ,ਅਮੀਨੋਕੁਲੇਸ਼ਨ
അമിറ്റോസിസ്,ਅਮਿਤੋਸਿਸ
ക്ഷാരവായു,ਅਮੋਨੀਆ
അമ്മോണിഫിക്കേഷൻ,ਅਨੁਮੋਧ
അമോമോട്ടലിസം,ਅਮੋਨੋਟੇਲਿਜ਼ਮ
അമ്നിയോസെന്റസിസ്,ਅਮਨੀਓਸੈਂਟੀਸਿਸ
Amniocentess സാങ്കേതികത,ਅਮਨੀਓਸੈਂਟੀਸਿਸ ਤਕਨੀਕ
Amniocyte,ਅਮਨੀਓਸਾਈਟ
Amnion,ਅਮਨੀਅਨ
അമ്നിയോട്ടിക് ദ്രാവകം,ਅਮਨੀਓਟਿਕ ਤਰਲ
അമ്നിയോട്ടിക് മെംബ്രൺ,ਐਮਨੀਓਟਿਕ ਝਿੱਲੀ
അമ്നിയോട്ടിക് സഞ്ചി,ਅਮਨੀਓਟਿਕਯੂ
അമീബ,ਅਮੋਬਾ
Amoebocyte,ਅਮੀਓਬੋਸਾਈਟ
Amoeboid,ਅਮੀਬੋਇਡ
Amoeboid lymphocyte,ਅਮੀਬੋਇਡ ਲਿੰਫੋਸਾਈਟ
അമോബോഡ് ചലനം,ਅਮੀਬੋਇਡ ਅੰਦੋਲਨ
അക്കോറോഫസ്,ਅਮੋਰੈਫਸ
സംഖ,ਦੀ ਰਕਮ
ആംഫെറ്റാമൈൻ,ਅਮੀਫੇਟਾਮਾਈਨ
ആംഫിബിയ,ਅਮਫੀਬੀਆ
ആംഫിബിയൻ,ਐਫੀਬੀਅਨ
ആംഫിബിയൻ,ਐਫੀਬੀਅਨ
Amphioxus,Amphioxus
ആംഫിയോക്സസ് ലാൻനോലാറ്റസ്,Amphioxus Lannolotus
ഉംഫിപതിക്,ਐਮਫੀਪਾਥਿਕ
ആംഫിപതിക് ലിപിഡ്,ਐਮਫੀਪਾਥਿਕ ਲਿਪਿਡ
ആംഫിസാർക്ക,ਅਮਫੀਸਾਰਕਾ
ആമ്പസില്ലിൻ,ਐਂਪੀਸਿਲਿਨ
അമ്പള്ളു,Ampulla
മുള്ളറി ഗ്രന്ഥി,ਐਮਪੁੱਲੇਰੀ ਗਲੈਂਡ
ആമിഗ്ഡാൽ,ਅਮੀਗਡਲ
ആമിഗ്ഡേൽ,ਅਮੀਗਡੇਲ
ആമിഗ്ഡാലിൻ,ਅਮੀਗਡਲਿਨ
അമിലേസ്,ਐਮੀਲੇਸ
അമിലോപ്ലാസ്റ്റ്,ਅਮੋਲੋਪਲਾਸਸਟ
അനാബെന,ਅਨਬਾਨਾ
അനബാസ്,ਅਨਬਾਸ
അനാബോളിക് പാത,ਐਨਾਬੋਲਿਕ ਮਾਰਗਾਂ
അനാബോളിസം,ਐਨਾਬੋਲਿਜ਼ਮ
അനകാർഡിയേസി,ਅਨਾਕਾਰਿਆਸੀ
വിളമിയ,ਅਨੀਮੀਆ
അയ്റോബ്,ਅਨੀਰੋਬ
അനാറോബിക് ഇന്ധനം,ਅਨੈਰੋਬਿਕ ਬਾਲਣ
അനാറോബിക് ശ്വസനം,ਅਨੈਰੋਬਿਕ ਸਾਹ
അനാറോബിക് സ്ലഡ്ജ് ഡൈജസ്റ്റർ,ਅਨੈਰੋਬਿਕ ਸਲੈਗ ਡਿਜਸਟਰ
Anaerobic,ਅਨੀਰੋਬਿਕ
അനൈമ,ਅਨਾਮਾ
മലദ്വാരം,ਗੁਦਾ
മലദ്വാരം,ਗੁਦਾ
മലദ്വാരം,ਗੁਦਾ ਅਪਰਚਰ
അനൽ സെറി,ਗੁਦਾ ਕਰਬੇਲੀ
അനൽ ലൂപ്പ്,ਗੁਦਾ ਲੂਪ
അനൽ ശൈലി,ਗੁਦਾ ਸ਼ੈਲੀ
അനസ്),ਸਮਾਨ
അനസ്),ਸਮਾਨ
അനലോഗി,ਸਮਾਨਤਾ
അനലോഗി,ਸਮਾਨਤਾ
വിശകലനം,ਵਿਸ਼ਲੇਸ਼ਣ
അനാഫേസ്,ਐਨਾਫਸੇਸ
Anatomic തടസ്സം,ਐਨੀਟੋਮਿਕ ਬੈਰੀਅਰ
ശരീരഘടന,ਐਨਾਟੋਮਿਕਲ ਪਹਿਲੂ
അനാട്ടമിസ്റ്റ്,ਐਨੀਟੋਮਿਸਟ
ശരീരശാസ്തം,ਸਰੀਰ ਵਿਗਿਆਨ
പൂർവ്വികൻ പിൻഗാമിയായ ശ്രേണി,ਪੂਰਵਜ ਵੰਸ਼ਜ ਕ੍ਰਮ
പൂർവ്വിക വംശജർ,ਜੱਦੀ ਵੰਸ਼ਜ
പൂർവ്വാവസ്ഥ,ਪੂਰਵਜ ਕ੍ਰਮ
ആൻസിലോസ്റ്റമ,ਐਸੀਕੇਲੋਸਟੋਮਾ
ആൻഡ്രോസിയം,ਐਂਡਰੋਸੀਅਮ
ആൻഡ്രോജൻ,ਐਂਡਰੋਜਨ
വിളമിയ,ਅਨੀਮੀਆ
അനെമോൺ,ਅਨੀਮੋਨ
Aneuplogode,ਅਨੀਉਟਲੋਇਡ
അനിയുപ്ലോയിഡി,ਅਨੀਯੁਰਾਕੀਡੀ
ആഞ്ചിന,ਐਨਜਾਈਨਾ
ആൻജിയോഗ്രാം,ਐਂਜੀਗਰਾਮ
ആഗിരിഗ്രാഫ്,ਐਂਜੀਓਗ੍ਰਾਫ
ആജീദർ,ਐਂਜੀਓਗ੍ਰਾਫੀ
ആൻജിയോപ്ലാസ്റ്റി,ਐਂਜੀਓਪਲਾਸਟੀ
അൻജിയോസ്പെർം,ਐਂਜੀਓਸਪਰਸਮ
ആൻജിയോടെൻസിൻ,ਐਂਜੀਓਟੈਨਸਿਨ
ആൻജിയോടെൻസിനോജെൻ,ਐਂਜੀਓਟੈਨਸਿਨੋਜਨ
ആംഗ്ലർ മത്സ്യം,ਐਂਗਲਰ ਮੱਛੀ
മുതൽക്കുള,ਅੰਗੀਨਾ
ഉള്ക്കൊണ്ടിൻ,Anguiss
ജന്തു,ਜਾਨਵਰ
ജന്തു,ਜਾਨਵਰ
മൃഗം ചാണകം,ਜਾਨਵਰ ਗੋਬਰ
മൃഗസംരക്ഷണം,ਪਸ਼ੂ ਪਾਲਣ
അനിമൽ കരിയട്ടിപ്പിംഗ്,ਜਾਨਵਰ ਕੈਰੀਓਟਾਈਪਿੰਗ
ജന്തു ലോകം,ਪਸ਼ੂ ਰਾਜ
മൃഗങ്ങളുടെ ടിഷ്യു,ਜਾਨਵਰਾਂ ਦੇ ਟਿਸ਼ੂ
അദ്ധ്യാപകൻ,ਯੰਤਰੀਆ
അനിയോൺ,Anion
അനിസോട്രോപിക് ബാൻഡ്,ਐਨਿਸੋਟ੍ਰੋਪਿਕ ਬੈਂਡ
അനെലിലിംഗ്,ਐਂਲਿੰਗਿੰਗ
Anenelid,ਅੰਨੇਲਿਡ
അന്നലിഡ,ਅਨਲਿਲਡਾ
വാർഷിക മോതിരം,ਸਾਲਾਨਾ ਰਿੰਗ
റദ്ദാക്കിയത്,ਅੰਨਟੇਡ
ചെറുമാനം,ਸਾਲ
അപാകത തരം,ਅਸਧਾਰਨ ਕਿਸਮ
അനോഫെൽസ്,ਐਨਾਓਫੇਲਜ਼
ഉറുമ്പുതീനി,ਕੀੜੀ ਹੈਟਰ
വിരുദ്ധ,ਵਿਰੋਧੀ
