Punjabi,Telugu
ਐਰੋਡਾਇਨਾਮਿਕਸ,ఏరోడైనమిక్స్
ਏਜੰਸੀ,ఏజెన్సీ
ਏਅਰ ਕੰਪ੍ਰੈਸਰ,వాయువుని కుదించునది
ਏਅਰ ਕੰਡੈਂਸਰ,ఎయిర్ కండెన్సర్
ਹਵਾ ਠੰ .ੀ,గాలి చల్లబడింది
ਏਅਰ ਕੋਰਡ ਕੋਇਲ,ఎయిర్ కోర్డ్ కాయిల్
ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ,ఎయిర్ కండిషనింగ్
ਅਲਬਾਡੋ,ఆల్బెడో
ਐਲਗੋਰਿਦਮ,అల్గోరిథం
ਅਲਾਇਸਿੰਗ,అలియాసింగ్
ਐਲਿੰਗਿੰਗ,సమలేఖనం
ਅਲਾਈਨਮੈਂਟ,అమరిక
ਸਾਰੇ ਵੇਵ ਏਰੀਅਲ,అన్ని వేవ్ వైమానిక
ਅਲਾਟਮੈਂਟ,కేటాయింపు
ਵਰਣਮਾਲਾ,అక్షరాలు
ਅਲਫਾਨੁਮਿਕ,ఆల్ఫాన్యూమరిక్
ਅੱਖਰ ਅੱਖਰ,ఆల్ఫాన్యూమరిక్ పాత్ర
ਅਲਫਾਨੁਮਿਕ ਜਾਣਕਾਰੀ,ఆల్ఫాన్యూమరిక్ సమాచారం
ਬਦਲਵੇਂ ਮੌਜੂਦਾ (ਏ.ਸੀ.),ప్రత్యామ్నాయ కరెంట్ (a.c.)
ਬਦਲਵਾਂ,ప్రత్యామ్నాయం
ਅਲਟਰਨੇਟਰ,ఆల్టర్నేటర్
ਉਚਾਈ,ఎత్తు
ਅਗੇਬੀ ਦੀ ਉਚਾਈ,పొక్కు ఎత్తు
ਚਰਿੱਜ ਦੀ ਉਚਾਈ,మూత యొక్క ఎత్తు
ਸ਼ੁਕੀਨ ਰੇਡੀਓ ਸੰਚਾਰ,Te త్సాహిక రేడియో కమ్యూనికేషన్
ਮਾਹੌਲ,వాతావరణం
ਮਾਹੌਲ ਮਾਈਕ੍ਰੋਫੋਨ,వాతావరణ మైక్రోఫోన్
ਅੰਬੀਨਟ ਦੀ ਸਥਿਤੀ,పరిసర పరిస్థితి
ਅੰਬੀਨਟ ਲਾਈਟਿੰਗ,పరిసర లైటింగ్
ਅੰਬੀਨਟ ਸ਼ੋਰ,పరిసర శబ్దం
ਵਾਤਾਵਰਣ ਦਾ ਤਾਪਮਾਨ,పరిసర ఉష్ణోగ్రత
ਅਮੈਰੀਕਨ ਸਟੈਂਡਰਡ ਕੋਡ,అమెరికన్ స్టాండర్డ్ కోడ్
ਐਂਪੀਅਰ,Ampere
ਐਂਪਰ ਮੀਟਰ,ఆంపియర్ మీటర్
ਸਹਾਇਕਤਾ,విస్తరణ
ਐਪਲੀਫਿਕੇਸ਼ਨ ਫੈਕਟਰ,యాంప్లిఫికేషన్ కారకం
ਐਂਪਲੀਫਾਇਰ,యాంప్లిఫైయర్
ਐਂਪਲੀਫਾਇਰ ਲਾਭ,యాంప్లిఫైయర్ లాభం
ਐਂਪਲੀਫਾਇਰ ਸ਼ੋਰ,యాంప్లిఫైయర్ శబ్దం
ਅਮਲੀਫਾਈਸਿੰਗ ਉਪਕਰਣ,పరికరాలను విస్తరించడం
ਸਰਪਲੱਸਿੰਗ ਕਲਸਟ੍ਰੋਨ,క్లైస్ట్రాన్ విస్తరించడం
ਅਮਲੀਫਾਈਸਿੰਗ ਯੂਨਿਟ,యాంప్లిఫైయింగ్ యూనిట్
ਐਪਲੀਟਿ .ਡ,వ్యాప్తి
ਐਪਲੀਟਿ itude ਡ ਭਟਕਣਾ,వ్యాప్తి వక్రీకరణ
ਐਪਲੀਟਿ ord ਡ ਸੈਕਸੀਅਨ,వ్యాప్తి విహారయాత్ర
ਐਪਲੀਟਿ let ਟ ਫੈਕਟਰ,వ్యాప్తి కారకం
ਐਪਲੀਟਿ .ਡ ਸੀਮਾ,వ్యాప్తి పరిమితి
ਐਪਲੀਟਿ .ਡ,వ్యాప్తి మాడ్యులేటెడ్
ਐਪਲੀਟਿ let ਟ ਮੇਲੂਲੇਸ਼ਨ,యాంప్లిట్యూడ్ మాడ్యులేషన్
ਐਨਾਲਾਗ (ਐਨਾਲਾਗ),అనలాగ్ (అనలాగ్)
ਐਨਾਲਾਗ ਸਰਕਿਟ,అనలాగ్ సర్క్యూట్
ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ,అనలాగ్ కంప్యూటర్
ਐਨਾਲਾਗ ਰੇਡੀਓ ਬਾਰੰਬਾਰਤਾ ਚੈਨਲ,ఫ్రీక్వెన్సీ ఛానల్
ਐਨਾਲਾਗ ਪ੍ਰਤੀਨਿਧਤਾ,అనలాగ్ ప్రాతినిధ్యం
ਐਨਾਲਾਗ ਸਿਗਨਲ,అనలాగ్ సిగ్నల్
ਐਨਾਲਾਗ ਡਿਜੀਟਲ,డిజిటల్‌కు అనలాగ్
ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ,డిజిటల్ కన్వర్టర్‌కు అనలాగ్
ਐਨਾਲਾਗ ਵੀਡੀਓ,అనలాగ్ వీడియో
ਸਮਾਨ,సారూప్యత
ਸਮਾਨਤਾ,సారూప్యత
ਵਿਸ਼ਲੇਸ਼ਣ,విశ్లేషణ
ਡਾਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ,డేటా యొక్క విశ్లేషణ
ਵਿਸ਼ਲੇਸ਼ਣ ਘਣਤਾ,విశ్లేషణాత్మక సాంద్రత
ਵਿਸ਼ਲੇਸ਼ਣ,విశ్లేషించడానికి
ਵਿਸ਼ਲੇਸ਼ਕ,ఎనలైజర్
Ancilliay ਉਪਕਰਣ,సహాయక పరికరాలు
ਅਤੇ ਗੇਟ,మరియు గేట్
ਕੋਲੀਮੈਂਟ ਦਾ ਕੋਣ,కొలిమేషన్ యొక్క కోణం
ਧਰੁਵੀਕਰਨ ਦਾ ਕੋਣ,ధ్రువణ కోణం
ਘੁੰਮਣ ਦਾ ਕੋਣ,భ్రమణ కోణం
ਐਂਗਟਰੋਮ (å),గోరు
ਕੋਣੀ,కోణీయ
ਕੋਣੀ ਪ੍ਰਵੇਗ,కోణీయ త్వరణం
ਕੋਣੀ ਕੋ-ਆਰਡੀਨੇਟ,కోణీయ సమన్వయాలు
ਐਂਗਲੇਨਰ ਫੁਲੈਕਸ਼ਨ,కోణీయ విక్షేపం
ਐਂਗੂਲਰ ਫੈਲਾਅ,కోణీయ చెదరగొట్టడం
ਕੋਣੀ ਵਿਸਥਾਪਨ,కోణీయ స్థానభ్రంశం
ਐਂਗਲੇਰ ਐਰਰ,కోణీయ లోపం
ਕੋਣੀ ਦੀ ਬਾਰੰਬਾਰਤਾ,కోణీయ పౌన .పున్యం
ਕੋਣੀ ਗਤੀ,కోణీయ మొమెంటం
ਕੋਣੀ ਮੋਸ਼ਨ,కోణీయ కదలిక
ਐਂਗਲੇਰ ਵੇਗ,కోణీయ వేగం
ਐਨੀਮੇਸ਼ਨ,యానిమేషన్
ਐਨੋਡ,యానోడ్
ਐਨੋਡ ਬੈਟਰੀ,యానోడ్ బ్యాటరీ
ਐਨੋਡ ਗੁਣ,యానోడ్ లక్షణం
ਅਨੋਡ ਸਰਕਟ,యానోడ్ సర్క్యూట్
ਐਨੋਡ ਡਿਸਪੈਂਪੇਸ਼ਨ,యానోడ్ వెదజల్లడం
ਐਨੋਡ ਕੁਸ਼ਲਤਾ,యానోడ్ సామర్థ్యం
ਐਨੋਡ ਇਨਪੁਟ ਪਾਵਰ,యానోడ్ ఇన్పుట్ శక్తి
ਐਡੀਡ ਦੀ ਵਰਤੋਂ,యానోడ్ మాడ్యులేషన్
ਐਂਟੀਨਾ,యాంటెన్నా
ਐਂਟੀਨਾ ਬੀਅਵਿਡਥ,యాంటెన్నా బీమ్విడ్త్
ਐਂਟੀਨਾ ਬੂਸਟਰ,యాంటెన్నా బూస్టర్
ਐਂਟੀਨਾ ਬਦਲਾਓ ਸਵਿੱਚ,యాంటెన్నా చేంజ్ఓవర్ స్విచ్
ਐਂਟੀਨਾ ਕੋਇਲ,యాంటెన్నా కాయిల్
ਐਟੀਨਨਾ ਕੌਂਫਿਗਰੇਸ਼ਨ,యాంటెన్నా కాన్ఫిగరేషన్
ਐਂਟੀਨਾ ਕਪਲਰ,యాంటెన్నా కప్లర్
ਐਂਟੀਨਾ ਕਰਾਸ ਪੋਲਰ ਪੈਟਰਨ,యాంటెన్నా క్రాస్ ధ్రువ నమూనా
ਐਂਟੀਨਾ ਮੌਜੂਦਾ,యాంటెన్నా కరెంట్
ਐਂਟੀਨਾ ਡਾਇਰੈਕਟਰਵਿਟੀ ਲਾਭ,యాంటెన్నా డైరెక్టివిటీ లాభం
ਐਂਟੀਨਾ ਡੁਪਲੈਕਸਰ,యాంటెన్నా డ్యూప్లెక్సర్
ਐਂਟੀਨਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਖੇਤਰ,యాంటెన్నా ప్రభావవంతమైన ప్రాంతం
ਐਂਟੀਨਾ ਕੁਸ਼ਲਤਾ,యాంటెన్నా సామర్థ్యం
ਐਂਟੀਨਾ ਫੀਡ,యాంటెన్నా ఫీడ్
ਐਂਟੀਨਾ ਪੈਰ ਪ੍ਰਿੰਟ,యాంటెన్నా ఫుట్ ప్రింట్
ਐਂਟੀਨਾ ਲਾਭ,యాంటెన్నా లాభం
ਐਂਟੀਨਾ ਉਚਾਈ,యాంటెన్నా ఎత్తు
ਐਂਟੀਨਾ ਪ੍ਰੇਸ਼ਾਨ,యాంటెన్నా ఇంపెడెన్స్
ਐਂਟੀਨਾ ਇੰਡਸੀਕਟੈਂਸ,యాంటెన్నా ఇండక్టెన్స్
ਐਂਟੀਨਾ ਪੈਟਰਨ,యాంటెన్నా నమూనా
ਐਂਟੀਨਾ ਪਲੇਕਸਰ,యాంటెన్నా ప్లెక్సర్
ਐਂਟੀਨਾ ਧਰੁਵੀਕਰਨ,యాంటెన్నా ధ్రువణత
ਐਂਟੀਨਾ ਪਾਵਰ,యాంటెన్నా శక్తి
ਐਂਟੀਨਾ ਪਾਵਰ ਲਾਭ,యాంటెన్నా శక్తి లాభం
ਐਂਟੀਨਾ ਰੇਡੀਏਸ਼ਨ ਟਾਕਰਾ,యాంటెన్నా రేడియేషన్ నిరోధకత
ਐਂਟੀਨਾ ਪ੍ਰਤੀਕ੍ਰਿਆ,యాంటెన్నా రియాక్టెన్స్
ਐਂਟੀਨਾ ਰਿਫਲੈਕਟਰ,యాంటెన్నా రిఫ్లెక్టర్
ਐਂਟੀਨਾ ਟਾਕਰੇ,యాంటెన్నా నిరోధకత
ਐਂਟੀਨਾ ਗੂੰਜਕ ਬਾਰੰਬਾਰਤਾ,యాంటెన్నా ప్రతిధ్వని ఫ్రీక్వెన్సీ
ਐਂਟੀਨਾ ਸਪੇਸਿੰਗ,యాంటెన్నా స్పేసింగ్
ਐਂਟੀਨਾ ਸਵਿਚਿੰਗ ਰੂਮ,యాంటెన్నా స్విచింగ్ రూమ్
ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਕੋਇਲ,యాంటెన్నా ట్యూనింగ్ కాయిల్
ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਹੱਟ,యాంటెన్నా ట్యూనింగ్ హట్
ਅਪਰਚਰ,ఎపర్చరు
ਅਪੋਜੀ,అపోజీ
ਅਪੋਜੀ ਰਾਕੇਟ,అపోజీ రాకెట్
ਉਪਕਰਣ,ఉపకరణం
ਸਪੱਸ਼ਟ,స్పష్టంగా
ਐਪਲਿਟ,ఆప్లెట్
ਐਪਲੀਕੇਸ਼ਨ,అప్లికేషన్
ਲਗਭਗ,సుమారు
Aquive ਹੱਲ,అక్వేస్ ద్రావణం
ਆਰਕ,ఆర్క్
ਆਰਕੀਟੈਕਚਰ,వాస్తుశిల్పం
ਧੁਨੀ ਰਿਕਾਰਡਿੰਗ ਦਾ ਆਰਕਵਲ ਟ੍ਰਾਂਸਫਰ,సౌండ్ రికార్డింగ్ యొక్క ఆర్కైవల్ బదిలీ
ਪੁਰਾਲੇਖ,ఆర్కైవ్స్
ਹਿਸਾਬ ਕੋਡਿੰਗ,అంకగణిత కోడింగ్
ਆਰਮਚਰ,ఆర్మేచర్
ਆਰਮਟਿ ure ਟਰ ਹਵਾ,ఆర్మేచర్ వైండింగ్
ਐਰੇ,అమరిక
ਅਰੈਸਟਰ,అరేస్టర్
ਬਿਆਨ,ఉచ్చారణ
ਆਰਟੀਫੈਕਟ (= ਆਰਟਫੈਕਟ),(= కళాఖండము
ਚੜ੍ਹਨਾ,ఆరోహణ
ਆਕਾਰ ਅਨੁਪਾਤ,కారక నిష్పత్తి
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,సమీకరించేవాడు
ਜ਼ੋਰ,వాదన
ਅਸਾਈਨਮੈਂਟ,అప్పగింత
ਅਸਾਈਨਮੈਂਟ ਚੈਨਲ,అసైన్‌మెంట్ ఛానల్
ਅਸਮੈਟ੍ਰਿਕਲ,అసమాన
ਅਸਿੰਕਰੋਨਸ,అసమకాలిక
ਵਾਤਾਵਰਣ,వాతావరణం
ਵਾਯੂਮੰਡਲ ਦਾ ਨੁਕਸਾਨ,వాతావరణ నష్టం
ਵਾਯੂਮੰਡਲ ਸ਼ੋਰ,వాతావరణ శబ్దం
ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ,వాతావరణ పీడనం
ਵਾਯੂਮੰਡਲ ਪ੍ਰਸਾਰ,వాతావరణ ప్రచారం
ਵਾਯੂਮੰਡਲ ਰੇਡੀਓ-ਵੇਵ,వాతావరణ రేడియో-వేవ్
ਵਾਯੂਮੰਡਲ,వాతావరణం
ਐਟਮ,అణువు
ਪ੍ਰਮਾਣੂ ਬਣਤਰ,అణు నిర్మాణం
ਲਗਾਵ,అటాచ్మెంట్
ਪਟੀਸ਼ਨ,అటెన్యుయేషన్
ਅਟੁੱਟ ਨੁਕਸਾਨ,అటెన్యుయేషన్ నష్టం
ਅਵਾਜ਼ ਦੀਆਂ ਲਹਿਰਾਂ ਦਾ ਧਿਆਨ,ధ్వని తరంగాల యొక్క అటకన
Attetuator,అటెన్యూయేటర్
ਐਟੀਟਨਿਟਰ-ਪੈਡ,అటెన్యూయేటర్-ప్యాడ్
ਆਡੀਬਿਲਟੀ ਥ੍ਰੈਸ਼ੋਲਡ,విడిబిలిటీ థ్రెషోల్డ్
ਸੁਣਨਯੋਗ,వినగల
ਆਡੀਅਲ ਬਾਰੰਬਾਰਤਾ,వినగల ఫ్రీక్వెన్సీ
ਸੁਣਨਯੋਗ ਧੁਨ,వినగల స్వరం
ਸੁਣਨਯੋਗ-ਸਪੈਕਟ੍ਰਮ,వినగల-స్పెక్ట్రం
ਹਾਜ਼ਰੀਨ,ప్రేక్షకులు
ਆਡੀਓ,ఆడియో
ਆਡੀਓ ਅਮਲੀਫਾਇਰ,ఆడియో యాంప్లిఫైయర్
ਆਡੀਓ ਵਿਸ਼ਲੇਸ਼ਕ,ఆడియో ఎనలైజర్
ਆਡੀਓ ਪ੍ਰਸਾਰਣ,ఆడియో ప్రసారం
ਆਡੀਓ ਕੇਬਲ,ఆడియో కేబుల్
ਆਡੀਓ ਚੇਨ,ఆడియో గొలుసు
ਆਡੀਓ ਕੋਡਕ,ఆడియో కోడెక్
ਆਡੀਓ ਕੰਪ੍ਰੈਸਨ,ఆడియో కుదింపు
ਆਡੀਓ ਕੰਪ੍ਰੈਸਰ,ఆడియో కంప్రెసర్
ਆਡੀਓ ਕੰਸੋਲ,ఆడియో కన్సోల్
ਆਡੀਓ ਵਿਗਾੜ,ఆడియో వక్రీకరణ
ਆਡੀਓ ਡਾਇਨਾਮਿਕ ਰੇਂਜ,ఆడియో డైనమిక్ పరిధి
ਆਡੀਓ ਫਾਈਲ ਫਾਰਮੈਟ,ఆడియో ఫైల్ ఫార్మాట్
ਆਡੀਓ ਫਰੇਮ ਫਾਰਮੈਟ,ఆడియో ఫ్రేమ్ ఫార్మాట్
ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਐਂਪਲੀਫਾਇਰ,ఆడియో ఫ్రీక్వెన్సీ యాంప్లిఫైయర్
ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਜਰਨੇਟਰ,ఆడియో ఫ్రీక్వెన్సీ జనరేటర్
ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਦੀ ਸੀਮਾ,ఆడియో ఫ్రీక్వెన్సీ పరిధి
ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਜਵਾਬ,ఆడియో ఫ్రీక్వెన్సీ ప్రతిస్పందన
ਆਡੀਓ ਸੀਮਾ,ఆడియో పరిమితి
ਆਡੀਓ ਲਾਈਨ,ఆడియో లైన్
ਆਡੀਓ ਮਿਕਸਰ,ఆడియో మిక్సర్
ਆਡੀਓ ਸੰਚਾਲਨ,ఆడియో మాడ్యులేషన్
ਆਡੀਓ c ਸਿਲੇਟਰ,ఆడియో ఓసిలేటర్
ਆਡੀਓ ਆਉਟਪੁੱਟ,ఆడియో అవుట్పుట్
ਆਡੀਓ ਪਾਵਰ,ఆడియో శక్తి
ਆਡੀਓ ਕੁਆਲਟੀ,ఆడియో నాణ్యత
ਆਡੀਓ ਸਿਗਨਲ,ఆడియో సిగ్నల్
ਆਡੀਓ ਸਿਗਨਲ ਪ੍ਰੋਸੈਸਿੰਗ,ఆడియో సిగ్నల్ ప్రాసెసింగ్
ਆਡੀਓ ਸਪੈਕਟ੍ਰਮ,ఆడియో స్పెక్ట్రం
ਆਡੀਓ ਸਟੋਰੇਜ,ఆడియో నిల్వ
ਆਡੀਓ ਸਬ-ਕੈਰੀਅਰ,ఆడియో సబ్ క్యారియర్
ਆਡੀਓ ਟਰਾਂਸਫਾਰਮਰ,ఆడియో ట్రాన్స్ఫార్మర్
ਆਡੀਓ ਟ੍ਰਾਂਸਮੀਟਰ,ఆడియో ట్రాన్స్మిటర్
ਆਡੀਓ / ਵੀਡੀਓ ਸੰਕੁਚਨ,శ్రవణ/వీడియో కుదింపు
ਆਡੀਓ-ਬਾਰੰਬਾਰਤਾ,ఆడియో-ఫ్రీక్వెన్సీ ఓసిలేటర్
ਆਡੀਓ-ਬਾਰੰਬਾਰਤਾ ਸੰਕੇਤ,ఆడియో-ఫ్రీక్వెన్సీ సిగ్నల్
ਆਡੀਓਮੈਟਰੀ,ఆడియోమెట్రీ
ਆਡੀਓ-ਵਿਜ਼ੂਅਲ ਸਹਾਇਤਾ,ఆడియో-విజువల్ ఎయిడ్
ਆਡੀਟਰੀ ਧਾਰਨਾ,శ్రవణ అవగాహన
ਪ੍ਰਮਾਣਿਕਤਾ,ప్రామాణీకరణ
ਅਧਿਕਾਰਤ ਕੈਰੀਅਰ ਬਾਰੰਬਾਰਤਾ,అధీకృత క్యారియర్ ఫ్రీక్వెన్సీ
ਆਟੋ ਕੈਡ,ఆటో క్యాడ్
ਆਟੋ ਨਿਦਾਨ,ఆటో డయాగ్నస్టిక్స్
ਆਟੋਮੈਟਿਕ,ఆటోమేటిక్
ਆਟੋਮੈਟਿਕ ਕੰਟਰੋਲ,స్వయంచాలక నియంత్రణ
ਆਟੋਮੈਟਿਕ ਖੋਜ,ఆటోమేటిక్ డిటెక్షన్
ਆਟੋਮੈਟਿਕ ਉਪਕਰਣ,స్వయంచాలక పరికరాలు
