Gujarati,Assamese
એસાયક્લિક,অচক্ৰীয়
ઉમેરો,যোগ কৰা
ઉમેરનાર,adder
વધુમાં,যোগ
વધારાનું સૂત્ર,যোগ সূত্ৰ
જટિલ સંખ્યાઓનો ઉમેરો,জটিল সংখ্যাৰ সংযোজন
કાર્યોનો ઉમેરો,ফলনসমূহৰ সংযোজন
મેટ્રિસિસનો ઉમેરો,মেট্ৰিক্সৰ সংযোজন
બહુપદીનો ઉમેરો,বহুপদ যোগ কৰা
સંભાવનાઓનો ઉમેરો,সম্ভাৱনাৰ সংযোজন
વેક્ટરનો ઉમેરો,ভেক্টৰৰ সংযোজন
વધારાનું પ્રમેય,যোগ উপপাদ্য
ઉમેરણ જૂથ,যোগকৰণ গোট
ઉમેરણ વ્યસ્ત,যোগকৰণৰ বিপৰীত
ઉમેરણ મિલકત,যোগসূত্ৰৰ বৈশিষ্ট্য
ઉમેરણ,যোগকৰণ
સંલગ્નતા મેટ્રિક્સ,সংলগ্নতা মেট্ৰিক্স
અડીને,পাৰ্শ্বৱৰ্তী
અડીને આવેલા ખૂણા,কাষৰীয়া কোণ
અડીને શિરોબિંદુ,কাষৰীয়া শিখৰ
સંલગ્ન,adjoin
સંલગ્ન,সংলগ্ন
સંલગ્ન નિર્ણાયક,সংযুক্ত নিৰ্ণায়ক
સંલગ્ન વિભેદક સમીકરણ,সংযুক্ত অৱভেদ্য সমীকৰণ
સંલગ્ન સમીકરણ,সংযুক্ত সমীকৰণ
સંલગ્ન મેટ્રિક્સ,সংলগ্ন মেট্ৰিক্স
મેટ્રિક્સનો સંલગ્ન ભાગ,মেট্ৰিক্সৰ সংযুক্ত
એડજ્યુગેટ મેટ્રિક્સ,এডজুগেট মেট্ৰিক্স
સ્વીકાર્ય નિર્ણય કાર્ય,গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য
સ્વીકાર્ય પૂર્વધારણા,গ্ৰহণযোগ্য অনুমান
એરોડાયનેમિક બળ,বায়ুগতিবিদ্যা বল
એરોડાયનેમિક્સ,বায়ুগতিবিদ্যা
સંલગ્ન ભૂમિતિ,affine জ্যামিতি
affine મેપિંગ,affine মেপিং
સંલગ્ન રૂપાંતર,affine ৰূপান্তৰ
એકંદર ચલો,চলকসমূহ একত্ৰিত কৰা
બીજગણિત,বীজগণিত
બીજગણિતીય રીતે બંધ,বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে
બીજગણિતીય સમીકરણ,বীজগণিতীয় সমীকৰণ
બીજગણિતીય અભિવ્યક્તિ,বীজগণিতীয় প্ৰকাশ
બીજગણિત સ્વરૂપ,বীজগণিতীয় ৰূপ
બીજગણિત કાર્ય,বীজগণিতীয় ফলন
બીજગણિત ભૂમિતિ,বীজগণিতীয় জ্যামিতি
બીજગણિત ગુણાકાર,বীজগণিতীয় বহুগুণতা
બીજગણિત સિસ્ટમ,বীজগণিতীয় ব্যৱস্থা
તમામ પૂર્ણાંક સમસ્યા,সকলো-পূৰ্ণসংখ্যা সমস্যা
ફાળવણી સમસ્યા,আবণ্টনৰ সমস্যা
આલ્ફાબેટીકલ નોટેશન,বৰ্ণানুক্ৰমিক সংকেত
આલ્ફાબેટીક અક્ષર,বৰ্ণানুক্ৰমিক আখৰ
વૈકલ્પિક કોણ,বিকল্প কোণ
વૈકલ્પિક સ્વરૂપ,বিকল্প ৰূপ
વૈકલ્પિક જૂથ,বিকল্প গোট
વૈકલ્પિક મેટ્રિક્સ,বিকল্প মেট্ৰিক্স
વૈકલ્પિક શ્રેણી,বিকল্প শৃংখলা
વૈકલ્પિક પૂર્વધારણા,বিকল্প অনুমান
વૈકલ્પિક ઓપ્ટિમા,বিকল্প optima
વૈકલ્પિક પરિણામ,বিকল্প ফলাফল
એનાલોગ-ટુ-ડિજિટલ કન્વર્ટર,এনালগ-টু-ডিজিটেল ৰূপান্তৰক
એનાલોગ કમ્પ્યુટર,এনালগ কম্পিউটাৰ
વિશ્લેષણ,বিশ্লেষণ
સહપ્રવૃત્તિનું વિશ્લેષણ,সহাৱস্থানৰ বিশ্লেষণ
ગણતરી માહિતીનું વિશ્લેષણ,গণনা তথ্যৰ বিশ্লেষণ
વિચલનનું વિશ્લેષણ,ভ্যাৰিয়েন্সৰ বিশ্লেষণ
વિશ્લેષણાત્મક ભૂમિતિ,বিশ্লেষণাত্মক জ্যামিতি
વિશ્લેષણાત્મક કાર્ય,বিশ্লেষণাত্মক কাৰ্য্য
કોણ,কোণ
સંપર્ક કોણ,সংস্পৰ্শৰ কোণ
વિચલન કોણ,বিচ্যুতিৰ কোণ
હતાશાનો કોણ,বিষণ্ণতাৰ কোণ
વિચલન કોણ,বিচ্যুতিৰ কোণ
વિવર્તન કોણ,বিবৰ্তনৰ কোণ
એલિવેશન કોણ,উচ্চতাৰ কোণ
ઘટના કોણ,প্ৰাদুৰ্ভাৱৰ কোণ
પ્રક્ષેપણ કોણ,প্ৰক্ষেপণৰ কোণ
પ્રતિબિંબ કોણ,প্ৰতিফলনৰ কোণ
રીફ્રેક્શન કોણ,বিবৰ্তনৰ কোণ
પરિભ્રમણ કોણ,ঘূৰ্ণনৰ কোণ
કુલ પ્રતિબિંબ કોણ,মুঠ প্ৰতিফলনৰ কোণ
કોણીય પ્રવેગક,কৌণিক ত্বৰণ
કોણીય ગતિ,কৌণিক গতি
કોણીય ઝડપ,কৌণিক গতি
કોણીય વેગ,কৌণিক বেগ
વલય,annulus
જવાબ,উত্তৰ
વિરોધી વ્યુત્પન્ન,এন্টি – ডেৰাইভেটিভ
એન્ટિસપ્રમાણ કાર્ય,এন্টিচিমেট্ৰিক ফাংচন
લાગુ,প্ৰযোজ্য
અરજી,দৰ্খাস্ত
લાગુ ડાયનેમિક પ્રોગ્રામિંગ,ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে
લાગુ ભૂમિતિ,প্ৰয়োগ কৰা জ্যামিতি
લાગુ ગણિત,প্ৰয়োগ কৰা গণিত
લાગુ આંકડા,প্ৰয়োগ কৰা পৰিসংখ্যা
લગભગ,অনুমানিক
લગભગ સતત કાર્ય,প্ৰায় অবিৰত ফলন
અંદાજિત પદ્ધતિ,আনুমানিক পদ্ধতি
અંદાજિત ઉકેલ,আনুমানিক সমাধান
અંદાજની સમસ્યા,আনুমানিক সমস্যা
અંદાજિત મિલકત,আনুমানিক বৈশিষ্ট্য
યોગ્યતા પરીક્ષણ બેટરી,aptitude পৰীক্ষাৰ বেটাৰী
આર્ગાન્ડ ડાયાગ્રામ,আৰ্গাণ্ড ডায়েগ্ৰাম
મનસ્વી રીતે પસંદ કરેલ,ইচ্ছাকৃতভাৱে বাছি লোৱা
મનસ્વી,স্বেচ্ছাচাৰী
મનસ્વી સતત,ইচ্ছাকৃত ধ্ৰুৱক
મનસ્વી તત્વ,ইচ্ছাকৃত উপাদান
મનસ્વી બિંદુ,ইচ্ছাকৃত বিন্দু
આર્કેમીડિયન કાયદો,আৰ্কিমিডিয়ান আইন
આર્કિમિડીઝ સિદ્ધાંત,আৰ্কিমিডিছ নীতি
ચાપ લંબાઈ,চাপৰ দৈৰ্ঘ্য
વર્તુળની ચાપ,বৃত্তৰ চাপ
આર્ક સાઈન વિતરણ,চাপ চাইন বিতৰণ
આર્ક સાઈન ટ્રાન્સફોર્મેશન,চাপ চাইন ৰূপান্তৰ
વિસ્તાર,এলাকা
ક્ષેત્રીય રચના,এৰিয়াল টেক্সচাৰ
જટિલ સંખ્યાની દલીલ,জটিল সংখ্যাৰ যুক্তি
અંકગણિત સરેરાશ,গাণিতিক গড়
અંકગણિત કામગીરી,গাণিতিক কাৰ্য্য
અંકગણિત એકમ,গাণিতিক একক
વ્યવસ્થા,ব্যৱস্থা
એરે,এৰে
કૃત્રિમ ઉપગ્રહ,কৃত্ৰিম উপগ্ৰহ
કૃત્રિમ ચલ,কৃত্ৰিম চলক
ચડવું,আৰোহণ কৰা
ચડતા,আৰোহী
તીવ્રતાનો ચડતો ક્રમ,মাত্ৰাৰ আৰোহী ক্ৰম
ચડતી શ્રેણી,আৰোহী শৃংখলা
એસેમ્બલર ભાષા,এছেম্বলাৰ ভাষা
સોંપણીની સમસ્યા,নিযুক্তিৰ সমস্যা
સહયોગી કાયદો,সহযোগী আইন
ઓપરેટરોનો સહયોગી કાયદો,অপাৰেটৰৰ এছ&#39;চিয়েটিভ ল&#39;
સહયોગી કામગીરી,এছ&#39;চিয়েটিভ অপাৰেচন
સહયોગ,সহযোগিতা
ધાર્યું સરેરાશ,ধৰি লোৱা গড়
અનુમાનિત સંભાવના વિતરણ,ধাৰণা কৰা সম্ভাৱনা বিতৰণ
ધારણા,ধাৰণা
જ્યોતિષ,জ্যোতিষ
એસ્ટ્રોનોટિકલ એન્જિનિયર,মহাকাশ অভিযন্তা
ખગોળશાસ્ત્રી,জ্যোতিৰ্বিজ্ঞানী
ખગોળશાસ્ત્રીય ઘડિયાળ,জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী
ખગોળશાસ્ત્ર,জ্যোতিৰ্বিজ্ঞান
અસમપ્રમાણ વળાંક,অসমতাপূৰ্ণ বক্ৰ
અસમપ્રમાણતા,বিষমতা
એસિમ્પ્ટોટ,asymptote
એસિમ્પટોટિક,এছিম্পটটিক
એસિમ્પટોટિકલી કાર્યક્ષમ અંદાજકાર,asymptotically দক্ষ অনুমানক
એસિમ્પટોટિકલી નિષ્પક્ષ અંદાજકર્તા,asymptotically নিৰপেক্ষ অনুমানক
એસિમ્પ્ટોટિક વર્તન,asymptotic আচৰণ
એસિમ્પ્ટોટિક વિતરણ કાર્ય,এছিম্পটটিক বিতৰণ ফলন
એસિમ્પ્ટોટિક વિસ્તરણ,এছিম্পটটিক প্ৰসাৰণ
વાતાવરણ નુ દબાણ,বায়ুমণ্ডলীয় চাপ
રેન્ડમ પર,যাদৃচ্ছিকভাৱে
લક્ષણ,বৈশিষ্ট্য
વિશેષતા નમૂના પ્રક્રિયા,বৈশিষ্ট্যসমূহৰ নমুনা সংগ্ৰহ পদ্ধতি
સંવર્ધિત મેટ્રિક્સ,বৰ্ধিত মেট্ৰিক্স
સ્વતઃસંબંધ ગુણાંક,স্ব-সম্বন্ধ সহগ
સ્વતઃસંબંધ કાર્ય,স্বয়ংসম্বন্ধ কাৰ্য্য
ઓટોકોવરિઅન્સ,অটোকোভেৰিয়েন্স
સ્વચાલિત કમ્પ્યુટર,স্বয়ংক্ৰিয় কম্পিউটাৰ
ઓટો રીગ્રેશન,অটোৰিগ্ৰেছন
સહાયક સમીકરણ,সহায়ক সমীকৰণ
સરેરાશ સેમ્પલ નંબર કર્વ (ASN કર્વ),গড় নমুনা সংখ্যা বক্ৰ (ASN বক্ৰ)
સ્વયંસિદ્ધ,axiom
સ્વયંસિદ્ધ અભિગમ,স্বতন্ত্ৰীয় পদ্ধতি
સંભાવનાનું સ્વયંસિદ્ધ,সম্ভাৱনাৰ স্বতন্ত্ৰতা
ધરી,অক্ষ
abscissa ની અક્ષ,abscissa ৰ অক্ষ
પૃથ્વીની ધરી,পৃথিৱীৰ অক্ষ
ક્રાંતિની ધરી,বিপ্লৱৰ অক্ষ
પરિભ્રમણની અક્ષ,ঘূৰ্ণনৰ অক্ষ
સ્પિનની ધરી,স্পিনৰ অক্ষ
બેક-અવેજી,বেক-বিকল্প
પછાત તફાવત,পিছপৰা পাৰ্থক্য
બેકવર્ડ-ઇન્ટરપોલેશન ફોર્મ્યુલા,বেকৱাৰ্ড-ইন্টাৰপলেচন সূত্ৰ
સંતુલન,ভাৰসাম্যতা বজাই ৰখা
સંતુલિત ડિઝાઇન,সুষম ডিজাইন
સરવૈયા,বেলেন্স শ্বীট
બેલિસ્ટિક મિસાઇલ,বেলিষ্টিক মিছাইল
બેલિસ્ટિક્સ,বেলিষ্টিকছ
બાર,বাৰ
પાયો,ভেঁটি
આધાર કોણ,ভিত্তি কোণ
લઘુગણકનો આધાર,লগাৰিদমৰ ভিত্তি
પાયાની,প্ৰাথমিক
મૂળભૂત શક્ય ઉકેલ,মূল সম্ভৱপৰ সমাধান
મૂળભૂત ઉકેલ,মূল সমাধান
મૂળભૂત ચલ,মূল চলক
આધાર,ভিত্তিত
આધાર તત્વ,ভিত্তি উপাদান
આધાર મેટ્રિક્સ,ভিত্তি মেট্ৰিক্স
વેક્ટર સ્પેસનો આધાર,এটা ভেক্টৰ স্থানৰ ভিত্তি
સબસ્પેસનો આધાર,উপস্থানৰ ভিত্তি
બેયસિયન અંદાજ,বেইছিয়ান অনুমান
બેયસનો કાયદો,বেইছৰ নিয়ম
બેયસનું પ્રમેય,বেইছৰ উপপাদ্য
બર્નૌલી વિતરણ,বাৰ্নৌলি বিতৰণ
બર્નોલી નંબર,বাৰ্নৌলি নম্বৰ
બર્નૌલી સંભાવના કાર્ય,বাৰ্নৌলি সম্ভাৱনা ফলন
બર્નૌલીનું સમીકરણ,বাৰ্নৌলিৰ সমীকৰণ
બેરી કાર્ય,বেৰী ফাংচন
શ્રેષ્ઠ ગોઠવણ,বেষ্ট ফিট
શ્રેષ્ઠ - ફિટ લાઇન,শ্ৰেষ্ঠ - ফিট লাইন
શ્રેષ્ઠ ઉકેલ,উত্তম সমাধান
શ્રેષ્ઠ વ્યૂહરચના,শ্ৰেষ্ঠ কৌশলসমূহ
બીટા વિતરણ,বিটা বিতৰণ
પૂર્વગ્રહ,পক্ষপাত
પક્ષપાતી અંદાજ,পক্ষপাতমূলক অনুমান
બિહાર્મોનિક સમીકરણ,বিহাৰমনিক সমীকৰণ
બાયજેક્શન,bijection
દ્વિભાષી નકશો,bijective মানচিত্ৰ
બાયજેક્ટિવ મેપિંગ,bijective মেপিং
દ્વિરેખીય સ્વરૂપ,দ্বিৰৈখিক ৰূপ
દ્વિરેખીય કાર્ય,দ্বিৰৈখিক ফলন
દ્વિરેખીય હર્મિટિયન સ્વરૂપ,দ্বিৰৈখিক হাৰ্মিটিয়ান ৰূপ
દ્વિસંગી,বাইনাৰী
દ્વિસંગી કોડ,বাইনাৰী ক&#39;ড
દ્વિસંગી કોડેડ દશાંશ,বাইনাৰী ক&#39;ড কৰা দশমিক
દ્વિસંગી કોડિંગ,বাইনাৰী ক&#39;ডিং
દ્વિસંગી કમ્પ્યુટર,বাইনাৰী কম্পিউটাৰ
દ્વિસંગી અંક,বাইনাৰী অংক
દ્વિસંગી કામગીરી,বাইনাৰী অপাৰেচন
દ્વિસંગી સિસ્ટમ,বাইনাৰী ব্যৱস্থা
દ્વિસંગી ચલ,বাইনাৰী চলক
દ્વિપદી ગુણાંક,দ্বিপদ সহগ
દ્વિપદી વિતરણ,দ্বিপদ বিতৰণ
દ્વિપદી સમીકરણ,দ্বিপদ সমীকৰণ
દ્વિપદી વિસ્તરણ,দ্বিপদ সম্প্ৰসাৰণ
દ્વિપદી અભિવ્યક્તિ,দ্বিপদ অভিব্যক্তি
દ્વિપદી રેન્ડમ ચલ,দ্বিপদ ৰেণ্ডম চলক
દ્વિપદી પ્રમેય,দ্বিপদ উপপাদ্য
દ્વિભાગ,দ্বিখণ্ড
દ્વિભાજન પદ્ધતિ,দ্বিখণ্ডন পদ্ধতি
દ્વિભાજક,দ্বিখণ্ড
બાયસીરીયલ,biserial
બીટ,বিট
દ્વિપક્ષીય દ્વિપદી વિતરણ,দ্বিচলকীয় দ্বিপদ বিতৰণ
બાયવેરિયેટ સહસંબંધ ગુણાંક,দ্বিচলকীয় সম্পৰ্ক সহগ
દ્વિવિધ વિતરણ,দ্বিচলকীয় বিতৰণ
બાયવેરિયેટ સામાન્ય વિતરણ,দ্বিচলকীয় স্বাভাৱিক বিতৰণ
બાઇવેક્ટર,বাইভেক্টৰ
બોલ્ટ્ઝમેન સમીકરણ,বোল্টজমেন সমীকৰণ
બુલિયન બીજગણિત,বুলিয়ান বীজগণিত
બોઝ - આઈન્સ્ટાઈન આંકડા,Bose - আইনষ্টাইন পৰিসংখ্যা
સીમાની સ્થિતિ,সীমাৰ অৱস্থা
સીમા સ્તર,সীমা স্তৰ
સીમા રેખા,সীমাৰেখা
સીમા મૂલ્ય,সীমা মূল্য
સીમા મૂલ્યની સમસ્યા,সীমা মূল্যৰ সমস্যা
બંધાયેલ કાર્ય,সীমাবদ্ধ ফলন
બાઉન્ડેડ મેટ્રિક્સ,সীমাবদ্ধ মেট্ৰিক্স
સીમિત પ્રદેશ,সীমাবদ্ধ অঞ্চল
બાઉન્ડેડ સેટ,সীমাবদ্ধ ছেট
બ્રાઉનિયન ગતિ,ব্ৰাউনিয়ান গতি
ગણત્રી,গণনা কৰ
ગણતરી,গণনা কৰা
ગણતરી મશીન,গণনা কৰা মেচিন
ગણતરી,গণনা কৰা
ગણતરીની પ્રક્રિયા,গণনামূলক পদ্ধতি
કેલ્ક્યુલેટર,কেলকুলেটৰ
કલન,কেলকুলাছ
વિવિધતાની ગણતરી,তাৰতম্যৰ কেলকুলাছ
કેલરી,কেলৰি
રદ કરવાનો કાયદો,বাতিল আইন
પ્રામાણિક સમીકરણ,কেননিক সমীকৰণ
પ્રમાણભૂત સ્વરૂપ,কেননিক ৰূপ
પ્રમાણભૂત મેટ્રિક્સ,কেননিক মেট্ৰিক্স
કેન્ટર સેટ,কেন্টৰ ছেট
કેન્ટોરનો તૃતીય સમૂહ,কেণ্টৰৰ ত্ৰিমাত্ৰিক চেট
ક્ષમતાયુક્ત પરિવહન સમસ્યા,ক্ষমতাসম্পন্ন পৰিবহণ সমস্যা
ક્ષમતા,ক্ষমতা
રુધિરકેશિકા બળ,কেপিলাৰী বল
મુખ્ય નંબર,কাৰ্ডিনেল নম্বৰ
કાર્ટેશિયન અક્ષો,কাৰ্টেছিয়ান অক্ষ
કાર્ટેશિયન કોઓર્ડિનેટ્સ,কাৰ্টেছিয়ান স্থানাংক
કાર્ટેશિયન ઉત્પાદન,কাৰ্টেছিয়ান উৎপাদন
સેટનું કાર્ટેશિયન ઉત્પાદન,গোটৰ কাৰ্টেছিয়ান উৎপাদক
કેસ સ્ટડી,কেছ ষ্টডি
આપત્તિજનક વધઘટ,বিপৰ্যয়জনক উঠা-নমা
કેટેનરી,কেটেনাৰী
કોચી વિતરણ,কাউচি বিতৰণ
કોચી સૂત્ર,কাউচি সূত্ৰ
કોચી ગૌરસત પ્રમેય,কৌচি গৌৰছাট উপপাদ্য
Cauchy Riemann શરતો,কাউচি ৰিমেন চৰ্ত
કોચી ક્રમ,ক&#39;চি ক্ৰম
કોચી અભિન્ન,কৌচি অবিচ্ছেদ্য
કોચી મુખ્ય મૂલ્ય,কাউচি প্ৰধান মূল্য
કોચી અવશેષ પ્રમેય,ক’চি অৱশিষ্ট উপপাদ্য
કેલી હેમિલ્ટન પ્રમેય,কেলি হেমিল্টন উপপাদ্য
અવકાશી પદાર્થ,আকাশী দেহ
અવકાશી માપ,আকাশী জোখ
અવકાશી મિકેનિક્સ,আকাশী যান্ত্ৰিকতা
અવકાશી પદાર્થ,আকাশী বস্তু
સેલ આવર્તન,কোষ কম্পাঙ্ক
વસ્તી ગણતરી,লোকপিয়ল
સેન્ટાઇલ,চেন্টাইল
સેન્ટીમીટર,চেন্টিমিটাৰ
સેન્ટીમીટર ગ્રામ સેકન્ડ સિસ્ટમ,চেণ্টিমিটাৰ গ্ৰাম দ্বিতীয় ব্যৱস্থা
કેન્દ્રીય,কেন্দ্ৰীয়
કેન્દ્રીય અક્ષ,কেন্দ্ৰীয় অক্ষ
કેન્દ્રીય તફાવત,কেন্দ্ৰীয় পাৰ্থক্য
કેન્દ્રીય તફાવત સૂત્ર,কেন্দ্ৰীয় পাৰ্থক্য সূত্ৰ
કેન્દ્રીય તફાવત કોષ્ટક,কেন্দ্ৰীয় পাৰ্থক্য টেবুল
કેન્દ્રીય મર્યાદા પ્રમેય,কেন্দ্ৰীয় সীমা উপপাদ্য
કેન્દ્રીય ક્ષણ,কেন্দ্ৰীয় মুহূৰ্ত
સેન્ટ્રલ પ્રોસેસિંગ યુનિટ (CPU),কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU)
કેન્દ્રીય વલણ,কেন্দ্ৰীয় প্ৰৱণতা
કેન્દ્ર,কেন্দ্ৰ
ગુરુત્વાકર્ષણ કેન્દ્ર,মাধ্যাকৰ্ষণ কেন্দ্ৰ
જૂથનું કેન્દ્ર,গোটৰ কেন্দ্ৰ
સમૂહનું કેન્દ્ર,ভৰৰ কেন্দ্ৰ
સમપ્રમાણતાનું કેન્દ્ર,প্ৰতিসমতাৰ কেন্দ্ৰ
કેન્દ્રત્યાગી બળ,কেন্দ্ৰপৃথক বল
કેન્દ્રબિંદુ બળ,কেন্দ্ৰিক বল
કેન્દ્રીય,কেন্দ্ৰবিন্দু
નિશ્ચિતતા,নিশ্চয়তা
સીજીએસ સિસ્ટમ,cgs ব্যৱস্থা
સીજીએસ એકમ,cgs ইউনিট
ભિન્નતાનો સાંકળ નિયમ,পাৰ্থক্যৰ শৃংখল নিয়ম
તક કારણો,আকস্মিক কাৰণ
તક ચાલ,chance moves
અક્ષોનું પરિવર્તન,অক্ষৰ পৰিৱৰ্তন
આધાર ફેરફાર,ভিত্তিৰ পৰিৱৰ্তন
ઓર્ડરમાં ફેરફાર,ক্ৰম সলনি কৰা
લાક્ષણિક ગુણાંક,বৈশিষ্ট্য সহগ
નિર્ણાયક,নিৰ্ণায়ক
લાક્ષણિક સમીકરણ,বৈশিষ্ট্যপূৰ্ণ সমীকৰণ
લાક્ષણિક કાર્ય,বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য
લઘુગણકની લાક્ષણિકતા,লগাৰিদমৰ বৈশিষ্ট্য
લાક્ષણિક બહુપદી,বৈশিষ্ট্যপূৰ্ণ বহুপদ
લાક્ષણિક મૂલ્ય,বৈশিষ্ট্যপূৰ্ণ মূল্য
લાક્ષણિક વેક્ટર,বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ
અક્ષર સમૂહ,আখৰৰ গোট
ચાર્ટ,তালিকা
ચી-સ્ક્વેર વિતરણ,কাই-স্কেয়াৰ বিতৰণ
ચી-સ્ક્વેર ફોર્મ્યુલા,কাই-বৰ্গ সূত্ৰ
ચી-સ્ક્વેર ટેસ્ટ,কাই-স্কেয়াৰ পৰীক্ষা
તાર,কৰ্ড
તાર-દ્વિભાજન પદ્ધતિ,কৰ্ড-বাইছেকচন পদ্ধতি
સાઇફર સંદેશ (=કોડેડ સંદેશ),চাইফাৰ বাৰ্তা (=ক&#39;ড কৰা বাৰ্তা)
સાઇફર (શૂન્ય),চাইফাৰ (শূন্য)
વર્તુળ,বৃত্ত
કન્વર્જન્સનું વર્તુળ,অভিসৰণৰ বৃত্ত
સર્કિટ મેટ્રિક્સ,বৰ্তনী মেট্ৰিক্স
પરિપત્ર,বৃত্তাকাৰ
પરિપત્ર એસિમ્પ્ટોટ,বৃত্তাকাৰ এছিম্পটট
ગોળાકાર હેલિક્સ,বৃত্তাকাৰ হেলিক্স
પરિપત્ર ગતિ,বৃত্তাকাৰ গতি
પરિઘ કેન્દ્ર,circumcentre
પરિઘ,circumcircle কৰা হৈছে
ઘેરાવો,circumscribe কৰক
ઘેરાયેલું,পৰিসীমাবদ্ধ
ઘેરાયેલું વર્તુળ,circumscribed বৃত্ত
ક્લાસિકલ ડિડક્ટિવ ટેકનિક,ধ্ৰুপদী ডিডক্টিভ কৌশল
શાસ્ત્રીય ગતિશીલતા,ধ্ৰুপদী গতিশীলতা
શાસ્ત્રીય ઓપ્ટિમાઇઝેશન,ধ্ৰুপদী অনুকূলন
શાસ્ત્રીય વિનાશની સમસ્યા,ধ্ৰুপদী ধ্বংস সমস্যা
શાસ્ત્રીય આંકડાકીય મિકેનિક્સ,ধ্ৰুপদী পৰিসংখ্যা বলবিজ্ঞান
ભૂલોનું વર્ગીકરણ,ভুলৰ শ্ৰেণীবিভাজন
વર્ગ અંતરાલ,শ্ৰেণীৰ ব্যৱধান
વર્ગ અંતરાલ એકમ,শ্ৰেণী-ব্যৱধান একক
વર્ગ મર્યાદા,শ্ৰেণী সীমা
ઘડિયાળની દિશામાં,ঘড়ীৰ কাঁটাৰ দিশত
ક્લોપેન (= બંધ અને ખુલ્લું),clopen (= বন্ধ আৰু খোলা)
બંધ,বন্ধ কৰা হৈছে
બંધ બહિર્મુખ હલ,বন্ধ উত্তল ঢাল
બંધ સમઘન,বন্ধ ঘনক
બંધ વળાંક,বন্ধ বক্ৰ
બંધ ડોમેન,বন্ধ ডমেইন
બંધ આકૃતિ,বন্ধ চিত্ৰ
બંધ અંતરાલ,বন্ধ ব্যৱধান
બંધ પ્રદેશ,বন্ধ অঞ্চল
બંધ સેટ,বন্ধ চেট
બંધ સપાટી,বন্ধ পৃষ্ঠ
બંધ,বন্ধ কৰা
બંધ ઓપરેટર,বন্ধ অপাৰেটৰ
બંધ બિંદુ (= સંપર્ક બિંદુ),বন্ধ বিন্দু (= সংস্পৰ্শ বিন্দু)
બંધ કરવાની ધારણા,বন্ধ কৰাৰ প্ৰস্তাৱনা
બંધ સેટ,বন্ধ কৰা ছেট
ક્લસ્ટર બિંદુ,ক্লাষ্টাৰ পইণ্ট
ક્લસ્ટર નમૂના,ক্লাষ্টাৰ নমুনা সংগ্ৰহ কৰা
ક્લસ્ટર સેટ,ক্লাষ্টাৰ ছেট
કોક્સિયલ વર્તુળો,সমাক্ষীয় বৃত্ত
કોક્સિયલ પેરાબોલાસ,সমাক্ষীয় পেৰাবোলা
કોક્સિયલ પ્લેન,সমাক্ষীয় সমতল
કોક્સિયલ ત્રિકોણ,সমাক্ষীয় ত্ৰিভুজ
કોબ - ડગ્લાસ કાર્ય,কব - ডগলাস ফাংশন
કોડિંગ,ক&#39;ডিং
ડેટાનું કોડિંગ,তথ্যৰ ক&#39;ডিং
સહ-ડોમેન,সহ-ডমেইন
