Kannada,Punjabi
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್,ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,ਐਕਸੈਸ ਇੰਡੈਕਸ
ಪ್ರವೇಶ ಕೀ,ਪਹੁੰਚ ਕੁੰਜੀ
ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್,ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ
ಪ್ರವೇಶ ಮೋಡ್,ਪਹੁੰਚ ਮੋਡ
ಪ್ರವೇಶ ಸವಲತ್ತು,ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ
ಪ್ರವೇಶ ಭದ್ರತೆ,ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ
ಪ್ರವೇಶ ಸರ್ವರ್,ਪਹੁੰਚ ਸਰਵਰ
ಪ್ರವೇಶ ಸಮಯ,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
ಸ್ವೀಕೃತಿ,ਮਾਨਤਾ
ಅಕೌಸ್ಟಿಕ್ಸ್,ਧੁਨੀ ਵਿਗਿਆਨ
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,ਸੰਖੇਪ ਸ਼ਬਦ
ಕ್ರಿಯೆಯ ಸಂದೇಶ,ਕਾਰਵਾਈ ਸੁਨੇਹਾ
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,ਸਰਗਰਮੀ
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP),ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ)
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ
ಅಸೈಕ್ಲಿಕ್,acyclic
ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್,acyclic ਗ੍ਰਾਫ਼
ಅದಾ ಭಾಷೆ,ਅਦਾ ਭਾਸ਼ਾ
ಅಡಾಪ್ಟರ್,ਅਡਾਪਟਰ
ಸೇರಿಸಿ,ਸ਼ਾਮਲ ਕਰੋ
ಕಡತವನ್ನು ಸೇರಿಸು,ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ
ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸೇರಿಸಿ,ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ
ಸೇರಿಸುವವನು,ਜੋੜਨ ਵਾਲਾ
ವಿಳಾಸ,ਪਤਾ
ವಿಳಾಸ ಬಸ್,ਪਤਾ ਬੱਸ
ವಿಳಾಸ ಫೈಲ್,ਐਡਰੈੱਸ ਫਾਈਲ
ವಿಳಾಸ ಸ್ವರೂಪ,ਪਤਾ ਫਾਰਮੈਟ
ವಿಳಾಸ ಜನರೇಟರ್,ਪਤਾ ਜਨਰੇਟਰ
ವಿಳಾಸ ಸಾಲು,ਐਡਰੈੱਸ ਲਾਈਨ
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,ਪਤਾ ਮੈਪਿੰਗ
ವಿಳಾಸ ಪಾಯಿಂಟರ್,ਪਤਾ ਸੰਕੇਤਕ
ವಿಳಾಸ ನೋಂದಣಿ,ਪਤਾ ਰਜਿਸਟਰ
ವಿಳಾಸ ನಿರ್ಣಯ,ਪਤਾ ਹੱਲ
ವಿಳಾಸ ಅನುವಾದ,ਪਤਾ ਅਨੁਵਾਦ
ಸ್ಮರಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ,ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ
ಉದ್ದೇಶಿಸಿ,ਸੰਬੋਧਨ
ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡಗಳು,ਅਨੁਕੂਲਤਾ ਦੇ ਮਾਪਦੰਡ
ಪಕ್ಕದ,adjoint
ಆಡಳಿತ,ਪ੍ਰਸ਼ਾਸਨ
ನಿರ್ವಾಹಕ,ਪ੍ਰਬੰਧਕ
ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್,ਅਡੋਬ ਐਕਰੋਬੈਟ
ಅಡೋಬ್ ಫೋಟೋಶಾಪ್,ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ
ಅಡ್ವಾನ್ಸ್ ಬಿಸಿನೆಸ್ ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ (ABAP),ਐਡਵਾਂਸ ਬਿਜ਼ਨਸ ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ (ABAP)
ಸುಧಾರಿತ ಡೇಟಾ,ਉੱਨਤ ਡਾਟਾ
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT),ਉੱਨਤ ਤਕਨਾਲੋਜੀ (ਏ.ਟੀ.)
ಏಜೆಂಟ್,ਏਜੰਟ
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,ਏਕੀਕਰਨ
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ
ಅಲ್ಡಸ್ ಪೇಜ್ ಮೇಕರ್,aldus ਪੇਜ ਮੇਕਰ
ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ,ਚੇਤਾਵਨੀ ਬਾਕਸ
ಆಲ್ಗೋಲ್,ਐਲਗੋਲ
ಅಲ್ಗಾರಿದಮ್,ਐਲਗੋਰਿਦਮ
ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ,ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ
ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ,ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ
ಅಲಿಯಾಸ್,ਉਪਨਾਮ
ಜೋಡಣೆ,ਅਲਾਈਨਮੈਂਟ
ಹಂಚಿಕೆ,ਵੰਡ
ವರ್ಣಮಾಲೆಯ,ਵਰਣਮਾਲਾ
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್,ਅੱਖਰ ਅੰਕੀ
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀ ಬೋರ್ಡ್,ਅੱਖਰ ਅੰਕੀ ਕੁੰਜੀ ਬੋਰਡ
ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ,ਅਲਫ਼ਾ-ਟੈਸਟ
ಆಲ್ಫಾ-ಆವೃತ್ತಿ,ਅਲਫ਼ਾ-ਵਰਜਨ
ಆಲ್ಟ್ ಕೀ,alt ਕੁੰਜੀ
ಅಲ್ಟಾವಿಸ್ತಾ,altavista
ಅಸ್ಪಷ್ಟತೆ,ਅਸਪਸ਼ਟਤਾ
ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ,ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ
ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI),ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡਰਡ ਇੰਸਟੀਚਿਊਟ (ANSI)
ಮಾಹಿತಿ ವಿನಿಮಯಕ್ಕಾಗಿ ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕೋಡ್ (ASCII),ਜਾਣਕਾਰੀ ਇੰਟਰਚੇਂਜ ਲਈ ਅਮਰੀਕੀ ਸਟੈਂਡਰਡ ਕੋਡ (ASCII)
ಅನಲಾಗ್,ਐਨਾਲਾਗ
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
ಅನಲಾಗ್ ಸಾಧನ,ਐਨਾਲਾਗ ਜੰਤਰ
ಅನಲಾಗ್ ಮೋಡೆಮ್,ਐਨਾਲਾਗ ਮਾਡਮ
ಅನಲಾಗ್ ಟು ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ (ADC),ਐਨਾਲਾਗ ਟੂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ (ADC)
ಮತ್ತು,ਅਤੇ
ಮತ್ತು ಸರ್ಕ್ಯೂಟ್,ਅਤੇ ਸਰਕਟ
ಮತ್ತು ಗೇಟ್,ਅਤੇ ਗੇਟ
ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ),ਅਤੇ ਕਾਰਵਾਈ ਨਹੀਂ (ਬੇਹੱਦ)
ಅನಿಮೇಷನ್,ਐਨੀਮੇਸ਼ਨ
ಟಿಪ್ಪಣಿ,ਐਨੋਟੇਸ਼ਨ
ಅಸಂಗತತೆ,ਅਸੰਗਤਤਾ
ಪೂರ್ವಭಾವಿ,ਪੂਰਵ
ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್,ਅਗਾਊਂ ਪੇਜਿੰਗ
ವಿರೋಧಿ ಸಮ್ಮಿತೀಯ,ਵਿਰੋਧੀ ਸਮਰੂਪ
ಆಂಟಿವೈರಸ್ ಪ್ರೋಗ್ರಾಂ,ਐਂਟੀਵਾਇਰਸ ਪ੍ਰੋਗਰਾਮ
ಆಪ್ಲೆಟ್,ਐਪਲਿਟ
ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್,ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API),ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ (API)
ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್,ਐਪਲੀਕੇਸ਼ਨ ਸਾਫਟਵੇਅਰ
ಅನ್ವಯಿಕ ಭಾಷೆ,ਲਾਗੂ ਕਰਨ ਵਾਲੀ ਭਾਸ਼ਾ
ಅಂದಾಜು ಸಿದ್ಧಾಂತ,ਅਨੁਮਾਨ ਥਿਊਰੀ
ವಾಸ್ತುಶಿಲ್ಪ,ਆਰਕੀਟੈਕਚਰ
ಪ್ರದೇಶ ವರ್ಗಾವಣೆ,ਖੇਤਰ ਦਾ ਤਬਾਦਲਾ
ವಾದ,ਦਲੀਲ
ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ,ਹਿਸਾਬ ਅਤੇ ਤਰਕ ਇਕਾਈ
ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ,ਹਿਸਾਬ ਦੀ ਜਾਂਚ
ಅಂಕಗಣಿತ ಸ್ಥಿರ,ਅੰਕਿਤ ਸਥਿਰ
ಅಂಕಗಣಿತದ ಡೇಟಾ,ਅੰਕਿਤ ਡੇਟਾ
ಅಂಕಗಣಿತದ ಸೂಚನೆ,ਗਣਿਤ ਸੰਬੰਧੀ ਹਦਾਇਤ
ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ (ALU),ਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ (ALU)
ಅರ್ಪಾನೆಟ್,ਅਰਪਨੇਟ
ಶ್ರೇಣಿ,ਐਰੇ
ರಚನೆಯ ಸಂಗ್ರಹ,ਐਰੇ ਕੈਸ਼
ಅರೇ ಕಂಪ್ಯೂಟರ್,ਐਰੇ ਕੰਪਿਊਟਰ
ರಚನೆಯ ಅಂಶ,ਐਰੇ ਤੱਤ
ರಚನೆಯ ಹೆಸರು,ਐਰੇ ਨਾਮ
ರಚನೆಯ ಪ್ರೊಸೆಸರ್,ਐਰੇ ਪ੍ਰੋਸੈਸਰ
ಬಾಣದ ಕೀಲಿಗಳು,ਤੀਰ ਕੁੰਜੀਆਂ
ಉಚ್ಚಾರಣೆ,ਉਚਾਰਨ
ಉಚ್ಚಾರಣಾ ಬಿಂದು,ਬਿਆਨ ਬਿੰਦੂ
ಕೃತಕ ಸಂಕೋಚನ,ਨਕਲੀ ਸੰਕੁਚਿਤ
ಕೃತಕ ನಿಯಂತ್ರಣ,ਨਕਲੀ ਕੰਟਰੋਲ
ಕೃತಕ ಬುದ್ಧಿವಂತಿಕೆ,ਬਣਾਵਟੀ ਗਿਆਨ
ಆರೋಹಣ,ਚੜ੍ਹਦਾ
ಆರೋಹಣ ರೀತಿಯ,ਵਧਦੀ ਲੜੀ
ASCII ಬೆಟಿಕಲ್ ಆರ್ಡರ್,ASCII ਬੇਟਿਕਲ ਆਰਡਰ
ASCII ನಿಯಂತ್ರಣ ಪಾತ್ರ,ASCII ਕੰਟਰੋਲ ਅੱਖਰ
ASCII ಫೈಲ್,ASCII ਫਾਈਲ
ASCII ಫಾಂಟ್,ASCII ਫੌਂਟ
ASCII ವರ್ಗಾವಣೆ,ASCII ਟ੍ਰਾਂਸਫਰ
ಆಕಾರ ಅನುಪಾತ,ਆਕਾਰ ਅਨੁਪਾਤ
ASPI,ਏ.ਐਸ.ਪੀ.ਆਈ
ASR ಟೈಮರ್,ASR ਟਾਈਮਰ
ಜೋಡಿಸು,ਇਕੱਠਾ ਕਰਨਾ
ಅಸೆಂಬ್ಲರ್,ਅਸੈਂਬਲਰ
ಸಭೆ,ਅਸੈਂਬਲੀ
ಅಸೆಂಬ್ಲಿ ಭಾಷೆ,ਅਸੈਂਬਲੀ ਭਾਸ਼ਾ
ಪ್ರತಿಪಾದನೆ,ਦਾਅਵਾ
ನಿಯೋಜನೆ,ਅਸਾਈਨਮੈਂਟ
ಸಂಘ,ਐਸੋਸੀਏਸ਼ਨ
ಸಹಾಯಕ ವಿಳಾಸ,ਸਹਿਯੋਗੀ ਪਤਾ
ಸಹಾಯಕ ಸ್ಮರಣೆ,ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ
ಆಸ್ಟರಿಕ್,ਤਾਰਾ
ಅಸಮ್ಮಿತ,ਅਸਮਿਤ
ಅಸಮಕಾಲಿಕ,ਅਸਿੰਕ੍ਰੋਨਸ
ಅಸಮಕಾಲಿಕ ಡಿಜಿಟಲ್ ಚಂದಾದಾರರ ಸಾಲು (ADSL),ਅਸਿੰਕ੍ਰੋਨਸ ਡਿਜੀਟਲ ਸਬਸਕ੍ਰਾਈਬਰ ਲਾਈਨ (ADSL)
ಅಸಮಕಾಲಿಕ ಸಮಯ ವಿಭಾಗ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (ATDM),ਅਸਿੰਕ੍ਰੋਨਸ ਟਾਈਮ ਡਿਵੀਜ਼ਨ ਮਲਟੀਪਲੈਕਸਿੰਗ (ATDM)
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ,ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ
ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ ಮೋಡ್ (ATM),ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ ਮੋਡ (ATM)
ಪರಮಾಣು,ਪਰਮਾਣੂ
ಲಗತ್ತಿಸಲಾದ ಡಾಕ್ಯುಮೆಂಟ್,ਨੱਥੀ ਦਸਤਾਵੇਜ਼
ಲಗತ್ತಿಸಲಾದ ಕಡತ,ਨੱਥੀ ਫ਼ਾਈਲ
ಬಾಂಧವ್ಯ,ਲਗਾਵ
ಗುಣಲಕ್ಷಣ,ਵਿਸ਼ੇਸ਼ਤਾ
ಆಡಿಯೋ,ਆਡੀਓ
ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ
ಆಡಿಟ್ ಟ್ರಯಲ್,ਆਡਿਟ ਟ੍ਰੇਲ
ವರ್ಧನೆ,ਵਾਧਾ
ದೃಢೀಕರಣ ಪ್ರೋಟೋಕಾಲ್,ਪ੍ਰਮਾਣਿਕਤਾ ਪ੍ਰੋਟੋਕੋਲ
ಲೇಖಕ ವ್ಯವಸ್ಥೆ,ਲੇਖਕ ਪ੍ਰਣਾਲੀ
ಅಧಿಕಾರ,ਅਧਿਕਾਰ
ಸ್ವಯಂ ಅಮೂರ್ತ,ਆਟੋ ਐਬਸਟਰੈਕਟ
ಸ್ವಯಂಬೂಟ್ ಮಾಡುವಿಕೆ,ਆਟੋਬੂਟਿੰਗ
ಆಟೋಕ್ಯಾಡ್,ਆਟੋਕੈਡ
ಸ್ವಯಂ ಲಾಗ್ ಆನ್,ਆਟੋਲੌਗ ਚਾਲੂ
ಸ್ವಯಂಚಾಲಿತ,ਆਟੋਮੇਟਾ
ಸ್ವಯಂಚಾಲಿತ ಸಿದ್ಧಾಂತ,ਆਟੋਮੈਟਾ ਥਿਊਰੀ
ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟಿಂಗ್,ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਿੰਗ
ಸ್ವಯಂಚಾಲಿತ ಡೇಟಾ ಸಂಸ್ಕರಣೆ,ਆਟੋਮੈਟਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ
ಸ್ವಯಂಚಾಲಿತ ದೋಷ ತಿದ್ದುಪಡಿ,ਆਟੋਮੈਟਿਕ ਗਲਤੀ ਸੁਧਾਰ
ಸ್ವಯಂಚಾಲಿತ ಕಾರ್ಯ,ਆਟੋਮੈਟਿਕ ਫੰਕਸ਼ਨ
ಸ್ವಯಂಚಾಲಿತ ಸೂಚ್ಯಂಕ,ਆਟੋਮੈਟਿਕ ਇੰਡੈਕਸਿੰਗ
ಸ್ವಯಂಚಾಲಿತ ಲೈಬ್ರರಿ ಕರೆ,ਆਟੋਮੈਟਿਕ ਲਾਇਬ੍ਰੇਰੀ ਕਾਲ
ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್,ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ,ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ
ಸ್ವಯಂಚಾಲಿತ ದಿನಚರಿ,ਆਟੋਮੈਟਿਕ ਰੁਟੀਨ
ಸ್ವಯಂಚಾಲಿತ ಸಿಸ್ಟಮ್ ಚೇತರಿಕೆ,ਆਟੋਮੈਟਿਕ ਸਿਸਟਮ ਰਿਕਵਰੀ
ಸ್ವಯಂಚಾಲಿತ ಟೆಲ್ಲರ್ ಯಂತ್ರ (ATM),ਆਟੋਮੈਟਿਕ ਟੈਲਰ ਮਸ਼ੀਨ (ATM)
ಯಾಂತ್ರೀಕೃತಗೊಂಡ,ਆਟੋਮੇਸ਼ਨ
ಸ್ವಚಾಲಿತ,ਸਵੈ ਚਾਲ
ಸ್ವಯಂ ಉಳಿಸಿ,ਸਵੈ-ਸੰਭਾਲ
ಸಹಾಯಕ,ਸਹਾਇਕ
ಸಹಾಯಕ ಸ್ಮರಣೆ,ਸਹਾਇਕ ਮੈਮੋਰੀ
ಸಹಾಯಕ ಸಂಗ್ರಹಣೆ,ਸਹਾਇਕ ਸਟੋਰੇਜ਼
ಲಭ್ಯವಿರುವ ಪಟ್ಟಿ,ਉਪਲਬਧ ਸੂਚੀ
ಲಭ್ಯವಿರುವ ಸಮಯ,ਉਪਲਬਧ ਸਮਾਂ
ಸರಾಸರಿ,ਔਸਤ
awk (ಭಾಷೆ),awk (ਭਾਸ਼ਾ)
ಬ್ಯಾಕೆಂಡ್,ਬੈਕਐਂਡ
ಬ್ಯಾಕೆಂಡ್ ಪ್ರೊಸೆಸರ್,ਬੈਕਐਂਡ ਪ੍ਰੋਸੈਸਰ
ಹಿಂಬದಿ ತೆಗೆಯುವಿಕೆ,ਬੈਕਫੇਸ ਹਟਾਉਣਾ
ಹಿನ್ನೆಲೆ ಸಂಸ್ಕರಣೆ,ਪਿਛੋਕੜ ਦੀ ਕਾਰਵਾਈ
ಬ್ಯಾಕಿಂಗ್ ಅಂಗಡಿ,ਬੈਕਿੰਗ ਸਟੋਰ
ಬ್ಯಾಕ್‌ಪ್ಯಾಚಿಂಗ್,ਬੈਕਪੈਚਿੰਗ
ಬ್ಯಾಕ್‌ಸ್ಪೇಸ್,ਬੈਕਸਪੇਸ
ಬ್ಯಾಕ್‌ಟ್ರ್ಯಾಕಿಂಗ್,ਬੈਕਟਰੈਕਿੰਗ
ಬ್ಯಾಕ್ ಅಪ್,ਬੈਕ-ਅੱਪ
ಬ್ಯಾಕ್-ಅಪ್ ಮೆಮೊರಿ,ਬੈਕਅੱਪ ਮੈਮੋਰੀ
ಹಿಂದುಳಿದ ದೋಷ ಚೇತರಿಕೆ,ਪਿੱਛੇ ਗਲਤੀ ਰਿਕਵਰੀ
ಆಯವ್ಯಯ ಪಟ್ಟಿ,ਸੰਤੁਲਨ ਸ਼ੀਟ
ಬ್ಯಾಂಡ್,ਜਥਾ
ಬ್ಯಾಂಡ್ ಅಗಲ,ਬੈਂਡ ਚੌੜਾਈ
ಬ್ಯಾಂಕರ್ ಅಲ್ಗಾರಿದಮ್,ਬੈਂਕਰ ਦਾ ਐਲਗੋਰਿਦਮ
ಬಾರ್ ಕೋಡ್,ਬਾਰ ਕੋਡ
ಬಾರ್ ಕೋಡ್ ಸ್ಕ್ಯಾನರ್,ਬਾਰ ਕੋਡ ਸਕੈਨਰ
ಬಾರ್ ಗ್ರಾಫ್,ਬਾਰ ਗ੍ਰਾਫ
ಮೂಲ ವಿಳಾಸ,ਅਧਾਰ ਪਤਾ
ಬೇಸ್ ಬ್ಯಾಂಡ್,ਅਧਾਰ ਬੈਂਡ
ಮೂಲ ಸಂಖ್ಯೆ,ਅਧਾਰ ਨੰਬਰ
ಬೇಸ್ ಟೇಬಲ್,ਅਧਾਰ ਸਾਰਣੀ
ಬೇಸಿಕ್,ਬੇਸਿਕ
ಮೂಲ ನಿಯಂತ್ರಣ,ਬੁਨਿਆਦੀ ਕੰਟਰੋਲ
ಮೂಲ ಇನ್ಪುಟ್,ਬੁਨਿਆਦੀ ਇੰਪੁੱਟ
ಮೂಲ ಸೂಚನೆ,ਬੁਨਿਆਦੀ ਹਦਾਇਤ
ಮೂಲ ಔಟ್ಪುಟ್,ਬੁਨਿਆਦੀ ਆਉਟਪੁੱਟ
ಮೂಲ ಹಂತ,ਬੁਨਿਆਦੀ ਕਦਮ
ಬ್ಯಾಚ್,ਬੈਚ
ಬ್ಯಾಚ್ ಫೈಲ್,ਬੈਚ ਫਾਈਲ
ಬ್ಯಾಚ್ ಸ್ಥಾನ,ਬੈਚ ਸਥਿਤੀ
ಬ್ಯಾಚ್ ಸಂಸ್ಕರಣೆ,ਬੈਚ ਪ੍ਰੋਸੈਸਿੰਗ
ಬ್ಯಾಚ್ ವ್ಯವಸ್ಥೆ,ਬੈਚ ਸਿਸਟਮ
ಬಾಡ್,ਬੌਡ
ಬೌಡ್ ದರ,ਬੌਡ ਦਰ
ಕಿರಣ,ਬੀਮ
ಮಾನದಂಡ,ਬੇਂਚਮਾਰਕ
ದ್ವಿಮುಖ ಸಂವಹನ,ਦੋ-ਦਿਸ਼ਾ ਸੰਚਾਰ
ದ್ವಿಮುಖ ಲಿಂಕ್,ਦੋ-ਦਿਸ਼ਾਵੀ ਲਿੰਕ
ಬೈನರಿ ಕೋಡ್,ਬਾਈਨਰੀ ਕੋਡ
ದ್ವಿಮಾನ ಅಂಕಿ,ਬਾਈਨਰੀ ਅੰਕ
ಬೈನರಿ ಇನ್‌ಪುಟ್ ಔಟ್‌ಪುಟ್ ಸಿಸ್ಟಮ್ (BIOS),ਬਾਈਨਰੀ ਇਨਪੁਟ ਆਉਟਪੁੱਟ ਸਿਸਟਮ (BIOS)
ಬೈನರಿ ಸಂಖ್ಯೆ,ਬਾਈਨਰੀ ਨੰਬਰ
ಬೈನರಿ ಆಪರೇಟರ್,ਬਾਈਨਰੀ ਆਪਰੇਟਰ
ದ್ವಿಮಾನ ಸಂಬಂಧ,ਬਾਈਨਰੀ ਸਬੰਧ
ಬೈನರಿ ಹುಡುಕಾಟ,ਬਾਈਨਰੀ ਖੋਜ
