Malayalam,Telugu
അഡെനോസിൻ മോണോഫോസ്ഫേറ്റ്,అడెనోసిన్ మోనోఫాస్ఫేట్
അഡെനോസിൻ ട്രിപ്പ്ഫോസ്ഫേറ്റ് (എടിപി),గ్రంధి ముడతలు
Adenileat സൈക്ലെസ്,అడెనిలేట్ సైక్లేస్
പശ ശക്തി,అంటుకునే శక్తి
മുദവയ്ക്കുക,అడిపేట్
Adipocyte (FALE സെൽ),కొవ్వు పెండినవి
അഡിപോസ് ടിഷ്യു,కొవ్వు కణజాలము
ആരാധന,Adnate
സമീപ കമ്മ്യൂണിറ്റി,ప్రక్కనే ఉన్న సంఘం
അഡ്രീനല്,అడ్రినల్
അഡ്രീനൽ ഗ്രന്ഥി,అడ్రినల్ గ్రంథి
അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ (acth),ఎడ్రినల్ గ్రంథి
അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ റിലീസ് ചെയ്യുന്നു (acth),ఎడ్రినల్ గ్రంథి యొక్క విడుదల హార్మోన్
ദുര്ധി പകര്,Adsorbent
ദുര്ഗയോധം,శోషణ
വിപുലമായ കീടങ്ങൾ,అధునాతన కార్డేట్
പ്രയോജനകരമായ മ്യൂട്ടേഷൻ,ప్రయోజనకరమైన మ్యుటేషన్
സാഹസികമായ,అడ్వెసిషియల్
സാഹസിക റൂട്ട്,సాహసోపేతమైన రూట్
പ്രതികൂല ഫലം,ప్రతికూల ప్రభావం
Aedes,AEDES
സംസ്കാരത്തിന്റെ വായുസഞ്ചാരം,సంస్కృతి వాయువు
അരേഞ്ചമ,ఏరెన్చైమా
ഏരിയൽ,ఆకాశయాన
Aierial റൂട്ട്,వైమానిక రూట్
ഏരിയൽ ഷൂട്ട്,వైమానిక షూట్
എയ്റോബിക് ശ്വസനം,ఏరోబిక్ శ్వాసక్రియ
എയ്റോബിക് ശ്വസനം,ఏరోబిక్ శ్వాసక్రియ
സൗന്ദര്യശാസ്ത്രം,సౌందర్యం
പകർച്ചവ്വാധം,ఎస్టివేషన్
പകർച്ചവ്വാധം,ఎస్టివేషన్
അശ്രദ്ധ,అనుబంధ
അഫിനിറ്റി ക്രോമാറ്റോഗ്രാഫി,అనుబంధ క్రోమాటోగ్రఫీ
പീഡിപ്പിച്ച അവയവം,బాధిత అవయవం
വനനം,అటవీ నిర్మూలన
അഗമോസ്പർമി,అగామోస్పెర్మీ
അഗറും,అగర్
അഗരോസ്,అగరోస్
അഗരോസ് ജെൽ എലെട്രോഫോറെസിസ്,అగరోస్ జెల్ ఎలెట్రోఫోరేసిస్
അഗരോസ് പോളിമർ ജെൽ,అగరోస్ పాలిమర్ జెల్
അഗാധമായ,అగాస్ట్
കൂരക്കം,కిత్తలి
പ്രായ വിതരണം,వయస్సు పంపిణీ
പ്രായ പിരമിഡ്,వయస్సు పిరమిడ్
നിര്മ്മിപ്പ,సంకలనం
ആകെത്തുകയായുള്ള,మొత్తం
ഫോളിക്കിളിന്റെ ആകെത്തുക,ఫోలికల్ యొక్క మొత్తం
ഫോളിക്കിളിന്റെ ആകെത്തുക,ఫోలికల్ యొక్క మొత్తం
അഗ്രഗേഷൻ,సమూహనం
ആക്രമശാസ്ത്രം,దూకుడు
അജിറ്ററ്റർ സിസ്റ്റം,ఆందోళన వ్యవస్థ
അഗ്നിനാഥ,అగ్నాథ
അഗൗട്ടി,అగౌటి
അഗ്രഗൽ ക്ലോറോപ്ലാസ്റ്റ്,అగ్రనాల్ క్లోరోప్లాస్ట్
അഗ്രനനുകാരി,అగ్రన్యులర్
അഗ്രമായനുലോസിടെ,అగ్రనులోసైట్
കൃഷിപ്പണി,వ్యవసాయం
അഗ്രോഫോറസ്ട്രി,అగ్రోఫారెస్ట్రీ
അഗ്രോബക്രിയം മധ്യസ്ഥത,అగ్రోబాక్టీరియం మధ్యవర్తిత్వం
അഗ്രോബക്രിയം ടുബ്ഫാസിയൻസ്,అగ్రోబాక్టీరియం ట్యూమెఫేసియన్స్
കാർഷിക,వ్యవసాయ రసాయన
കാർഷിക,వ్యవసాయ రసాయన
അഗ്രോക്ലിമീയ മേഖല,అగ్రోక్లిమాటిక్ జోన్
അഗ്രോണമിക് സ്വഭാവം,వ్యవసాయ లక్షణం
അഗ്രോണമി,వ్యవసాయ శాస్త్రం
എയ്ഡ്സ്,ఎయిడ్స్
എയർ ബ്ളാഡര്,గాలి మూత్రాశయం
എയർകണ്ടീഷണർ,వాతానుకూలీన యంత్రము
എയർ പാസേജ്,గాలి మార్గం
വായു മലിനീകരണം,వాయుకాలుష్యం
വ്ലാക്,ఎయిర్ శాక్
വായു ശൂന്യത,ఎయిర్ వాక్యూల్
എയർ ശ്വസനം,గాలి-శ్వాస
അനെയ്ൻ,అలైన్
അലറി പേശി,అలారి కండరం
അലാസ്കൻ ബ്ര rown ൺ ബിയർ,అలాస్కాన్ బ్రౌన్ బేర్
ആൽബിനോ,అల్బినో
ആൽബൂഗോ,అల్బుగో
ആൽബമിൻ,అల్బుమిన్
ആൽബ്യൂമിനസ് വിത്ത്,అల్బుమినస్ సీడ్
അൽബുമിനൂറിയ,అల్బుమినూరియా
ആൽബനം,అల్బర్నమ్
അൽകെഡെ,ఆల్కే
Aldeheeede,ఆల్డెహీడ్
ആൽഡോസ്റ്റെറോൺ സിസ്റ്റം,ఆల్డోస్టెరాన్ వ్యవస్థ
ആൽഡോസ്റ്റെറോൺ,ఆల్డోస్టెరాన్
അലോറോൺ ലെയർ,అల్యూరోన్ పొర
അലൂറോപ്ലാസ്റ്റ്,అల్యూరోప్లాస్ట్
പയറുവർഗ്ഗങ്ങൾ,అల్ఫాల్ఫా
ആൽഗൽ പൂവ്,ఆల్గల్ బ్లూమ్
അൾഗിൻ,అల్జీన్
അന്യഗ്രഹ ഡിഎൻഎ,గ్రహాంతర DNA
അന്യഗ്രഹ ജീവികൾ,గ్రహాంతర జాతులు
വിന്യാപകമായ,అమరిక
വിന്യാപകമായ,అమరిక
അലിമെന്ററി കനാൽ,అలిమెంటరీ కెనాల్
അലിമെന്ററി സിസ്റ്റം,అలిమెంటరీ సిస్టమ్
അലിയാസം,అలిస్మాసిస్
ആൽക്കലോയിഡ്,ఆల్కలాయిడ్
ആൽക്കലൈൻ,ఆల్కలీన్
ആൽക്കപ്റ്റോറിയ,అల్కాప్టోటోరియా
Allantois,అల్లాంటోయిస్
അല്ലെൽ ഫ്രീക്വൻസി,యుగ్మ వికల్ప ఫ్రీక్వెన్సీ
അല്ലലേ,యుగ్మ వికల్పం
അല്ലോമോർഫിക് ജോഡി,అల్లెలోమోర్ఫిక్ జత
അലർജി,అలెర్జీ
ചീങ്കണ്ണി,ఎలిగేటర్
അല്ലിയം സിപ,అల్లియం సెపా
അലോഗാമി,అయోగాగమి
അല്ലുഫ്രാഫ്റ്റ്,అల్లోగ్రాఫ్ట్
അലോപ്പേട്രിക് സ്പെസിഫിക്കേഷൻ,అల్లోపాట్రిక్ స్పెసియేషన్
Allopolyplogid,అల్లోపాలిప్లోయిడ్
എല്ലാസ്റ്റീസ്റ്റ് ഇഫക്റ്റ്,అలోస్టెరిక్ ప్రభావం
Allonteric enzyme,అలోస్టెరిక్ ఎంజైమ్
ഓസ്റ്റോസ്റ്റർ ഇൻഹിബിറ്റർ,అలోస్టెరిక్ ఇన్హిబిటర్
എല്ലാസ്റ്റീസ്റ്റ് മോഡുലേഷൻ,అలోస్టెరిక్ మాడ్యులేషన్
ഓസ്റ്റോസ്റ്റർ സൈറ്റ്,అలోస్టెరిక్ సైట్
ആസ്റ്റോസ്റ്റ് ഗർബിംഗ്,అలోస్టెరిక్ నిరోధం
അലോട്ട്ട്രലോയിഡ്,అలోటెట్రాప్లాయిడ్
അൽനസ്,ఆల్నస్
കറ്റാർ,కలబంద
ആക്സോണിനൊപ്പം,ఆక్సాన్ వెంట
ആൽഫ-ആന്റിട്രിറ്റിപ്സ്,ఆల్ఫా-యాంటిట్రిప్సిన్
ആൽഫ-ലാക്റ്റൽബുമിൻ,ఆల్ఫా-లాక్టల్బ్యూమిన్
ആൽപൈൻ കാലാവസ്ഥാ അവസ്ഥ,ఆల్పైన్ వాతావరణ పరిస్థితి
ആൽപൈൻ മെഡോ,ఆల్పైన్ మేడో
ആൽപൈൻ സോൺ,ఆల్పైన్ జోన్
ആൽസ്റ്റോണിയ,ఆల్స్టోనియా
ആദരജോ,ఆల్టర్నేరియా
ഏകാന്തരക്രമത്തിൽ,ప్రత్యామ్నాయ
തലമുറയുടെ മാറിമാറ്റം,తరం యొక్క ప్రత్యామ్నాయం
ഉറ്റമകരമായ രോഗം,ఎత్తు రుగ్మత
ഉയരം,ఎత్తు
അൽവിയോളാർ നാളം,అల్వియోలార్ డక్ట్
അലിറ്റ്സ്,అలిట్స్
അല്ഷിമേഴ്സ് രോഗം,అల్జీమర్స్ వ్యాధి
അമാക്രീൻ സെൽ,అమాక్రిన్ సెల్
അമറാന്തം,అమరాంతేసి
അമരന്തസ്,అమరాంథస్
ആംബിയന്റ് ഓസ്മോട്ടിക് സാന്ദ്രത,పరిసర ఓస్మోటిక్ గా ration త
ആംബിസ്റ്റോമ,అంబిస్టోమా
അറുമണ്ടിന്,అమైడ్
അമിനോ അമ്ലം,అమైనో ఆమ్లం
അമിനോ ആസിഡ് സ്വീകാര്യത,అమైనో యాసిడ్ అంగీకారం
അമിനോസിഎൽ ടി ആർഎ സിന്തസെസ്,అమైన్‌లాకారి
അമിപോസിലേഷൻ,అమైనోఅసిలేషన్
അമിറ്റോസിസ്,అమిటోసిస్
ക്ഷാരവായു,అమ్మోనియా
അമ്മോണിഫിക്കേഷൻ,అమ్మోనిఫికేషన్
അമോമോട്ടലിസം,అమ్మోనోటెలిజం
അമ്നിയോസെന്റസിസ്,అమ్నియోసెంటెసిస్
Amniocentess സാങ്കേതികത,అమ్నియోసెంటెసిస్ టెక్నిక్
Amniocyte,అమ్నియోసైట్
Amnion,అమ్నియోన్
അമ്നിയോട്ടിക് ദ്രാവകം,అమ్నియోటిక్ ద్రవం
അമ്നിയോട്ടിക് മെംബ്രൺ,అమ్నియోటిక్ పొర
അമ്നിയോട്ടിക് സഞ്ചി,అమ్నియోటిక్ శాక్
അമീബ,అమీబా
Amoebocyte,అమీబోసైట్
Amoeboid,అమీబాయిడ్
Amoeboid lymphocyte,అమీబోయిడ్ లింఫోసైట్
അമോബോഡ് ചലനം,అమీబోయిడ్ కదలిక
അക്കോറോഫസ്,నిరాకార
സംഖ,మొత్తం
ആംഫെറ്റാമൈൻ,యాంఫేటమిన్
ആംഫിബിയ,ఉభయచర
ആംഫിബിയൻ,ఉభయచర
ആംഫിബിയൻ,ఉభయచర
Amphioxus,యాంఫియోక్సస్
ആംഫിയോക്സസ് ലാൻനോലാറ്റസ്,యాంఫియోక్సస్ లాన్సోలాటస్
ഉംഫിപതിക്,యాంఫిపతిక్
ആംഫിപതിക് ലിപിഡ്,యాంఫిపతిక్ లిపిడ్
ആംഫിസാർക്ക,యాంఫిసార్కా
ആമ്പസില്ലിൻ,ఆంపిసిలిన్
അമ്പള്ളു,అంపుల్లా
മുള്ളറി ഗ്രന്ഥി,అంపల్లరీ గ్రంథి
ആമിഗ്ഡാൽ,అమిగ్డాల్
ആമിഗ്ഡേൽ,అమిగ్డేల్
ആമിഗ്ഡാലിൻ,అమిగ్డాలిన్
അമിലേസ്,అమిలేస్
അമിലോപ്ലാസ്റ്റ്,అమిలోప్లాస్ట్
അനാബെന,అనాబెనా
അനബാസ്,అనాబాస్
അനാബോളിക് പാത,అనాబాలిక్ మార్గాలు
അനാബോളിസം,అనాబాలిజం
അനകാർഡിയേസി,అనాకార్డియాసి
വിളമിയ,రక్తహీనత
അയ്റോബ്,Anaerobe
അനാറോബിക് ഇന്ധനം,వాయురహిత ఇంధనం
അനാറോബിക് ശ്വസനം,వాయురహిత శ్వాసక్రియ
അനാറോബിക് സ്ലഡ്ജ് ഡൈജസ്റ്റർ,వాయురహిత బురద డైజెస్టర్
Anaerobic,Anaerobic
അനൈമ,అనైమా
മലദ്വാരം,ఆసన
മലദ്വാരം,ఆసన
മലദ്വാരം,ఆసన ఎపర్చరు
അനൽ സെറി,అనల్ సెర్సీ
അനൽ ലൂപ്പ്,అనల్ లూప్
അനൽ ശൈലി,ఆసన శైలి
അനസ്),సారూప్యత
അനസ്),సారూప్యత
അനലോഗി,సారూప్యత
അനലോഗി,సారూప్యత
വിശകലനം,విశ్లేషణ
അനാഫേസ്,అనాఫేస్
Anatomic തടസ്സം,శరీర నిర్మాణ అవరోధం
ശരീരഘടന,శరీర నిర్మాణ అంశం
അനാട്ടമിസ്റ്റ്,శరీర నిర్మాణ శాస్త్రవేత్త
ശരീരശാസ്തം,శరీర నిర్మాణ శాస్త్రం
പൂർവ്വികൻ പിൻഗാമിയായ ശ്രേണി,పూర్వీకుల వారసుడు క్రమం
പൂർവ്വിക വംശജർ,పూర్వీకుల వంశం
പൂർവ്വാവസ്ഥ,పూర్వీకుల క్రమం
ആൻസിലോസ്റ്റമ,అన్సైలోస్టోమా
ആൻഡ്രോസിയം,ఆండ్రోసియం
ആൻഡ്രോജൻ,ఆండ్రోజెన్
വിളമിയ,రక్తహీనత
അനെമോൺ,ఎనిమోన్
Aneuplogode,అనూప్లోయిడ్
അനിയുപ്ലോയിഡി,అనూప్లోయిడి
ആഞ്ചിന,ఆంజినా
ആൻജിയോഗ്രാം,యాంజియోగ్రామ్
ആഗിരിഗ്രാഫ്,యాంజియోగ్రాఫ్
ആജീദർ,యాంజియోగ్రఫీ
ആൻജിയോപ്ലാസ്റ്റി,యాంజియోప్లాస్టీ
അൻജിയോസ്പെർം,యాంజియోస్పెర్మ్
ആൻജിയോടെൻസിൻ,యాంజియోటెన్సిన్
ആൻജിയോടെൻസിനോജെൻ,యాంజియోటెన్సినోజెన్
ആംഗ്ലർ മത്സ്യം,జాలరి చేప
മുതൽക്കുള,అంగునా
ഉള്ക്കൊണ്ടിൻ,అంగుయిస్
ജന്തു,జంతువు
ജന്തു,జంతువు
മൃഗം ചാണകം,జంతువుల పేడ
മൃഗസംരക്ഷണം,పశుసంరక్షణ
അനിമൽ കരിയട്ടിപ്പിംഗ്,జంతువుల కార్యోటైపింగ్
ജന്തു ലോകം,జంతు సామ్రాజ్యం
മൃഗങ്ങളുടെ ടിഷ്യു,జంతువుల కణజాలం
അദ്ധ്യാപകൻ,యానిమాలియా
അനിയോൺ,అయాన్
അനിസോട്രോപിക് ബാൻഡ്,అనిసోట్రోపిక్ బ్యాండ్
അനെലിലിംഗ്,ఎనియలింగ్
Anenelid,అన్నెలిడ్
അന്നലിഡ,అన్నెలిడా
വാർഷിക മോതിരം,వార్షిక రింగ్
റദ്ദാക്കിയത്,యాన్యులేటెడ్
ചെറുമാനം,యాన్యుల్
അപാകത തരം,క్రమరహిత రకం
അനോഫെൽസ്,అనోఫిల్స్
ഉറുമ്പുതീനി,చీమ తినేవాడు
വിരുദ്ധ,విరోధి
അന്റാർട്ടിക്ക്,అంటార్కిటిక్
ഏരിയെല്,యాంటెన్నా
ആന്റിന കോംപ്ലക്സ്,యాంటెన్నా కాంప్లెక్స్
ആന്റിനൽ ഗ്രന്ഥി,యాంటెనల్ గ్రంథి
ആന്റീരിയർ (വെൻട്രൽ) ഗ്രേ ഹോൺ,ముందరి (వెంట్రల్) బూడిద కొమ్ము
ആന്റീരി ഹൈപ്പോഫിസിസ്,పూర్వ హైపోఫిసిస్
മുൻകാല ഇടവേള സൾക്കസ്,పూర్వ జోక్య సల్కస్
അഥേർ,Anther
ആന്തർ സംസ്കാരം,పూర్వ సంస్కృతి
അങ്കാദിയം,ఆంథెరిడియం
Antresood,అంటెరోజాయిడ్
ആന്തസംഘങ്ങൾ,ఆంథోసెరోస్
ആന്തസൂറോടോപ്സിഡ,ఆంథోసెరోటోప్సిడా
ആന്ത്രാക്സ്,ఆంత్రాక్స్
ആന്ത്രോപെനിക് വംശനാശം,మానవ అంతరించిపోవడం
നരവംശശാസ്ത്രം,మానవ శాస్త్రం
ആൻറി ബാക്ടീരിയൽ,యాంటీ బాక్టీరియల్
ആൻറിബയോട്ടിക് പെനിസിലിൻ,యాంటీబయాటిక్ పెన్సిలిన్
ആൻറിബയോട്ടിക് പ്രതിരോധം,యాంటీబయాటిక్ రెసిస్టెంట్
ആൻറിബയോട്ടിക് (കൾ),యాంటీబయాటిక్ (లు)
ആന്റിബോഡി,యాంటీబాడీ
ആന്റിബോഡി ദമ്പതികൾ,యాంటీబాడీ జంట
ആന്റിബോഡി മെറ്റലേറ്റഡ് പ്രതിരോധശേഷി,యాంటీబాడీ మధ్యవర్తిత్వ రోగనిరోధక శక్తి
Anicoagululant,ప్రతిస్కందకం
ആന്റികോഡൻ ലൂപ്പ്,యాంటికోడాన్ లూప్
ആന്റീഡിപ്രസന്റ്,యాంటిడిప్రెసెంట్
ആന്റിഡിയുററ്റിക് ഹോർമോൺ (ADH),అశ్లీల ముందు భాగము
ആന്റിജൻ ജീൻ,యాంటిజెన్ జన్యువు
ആന്റിജൻ-ആന്റിബോഡി കോംപ്ലക്സ്,యాంటిజెన్-యాంటీబాడీ కాంప్లెక్స్
ആന്റിഗനിക് ഡിറ്റർമിനന്റ്,యాంటిజెనిక్ డిటర్మినెంట్
ആന്റിനൈറ്റിഷണൽ ഫാക്ടർ,యాంటిన్యూట్రిషనల్ కారకం
ആന്റിഓക്സിഡന്റ്,యాంటీఆక్సిడెంట్
ആന്റിപോഡൽ ന്യൂക്ലിയസ്,యాంటీపోడల్ న్యూక్లియస్
ആന്റി സെൻസ് ആർഎൻഎ,యాంటీ సెన్స్ RNA
ആൻറിവിറൽ പ്രോട്ടീൻ,యాంటీవైరల్ ప్రోటీన్
ആധാട്,Antrum
Anuclate,అనుక్లీట్
ഗുദം,పాయువు
ഉത്കണ്ഠ രോഗം,ఆందోళన రుగ్మత
അയോർട്ടിക് കമാനം,బృహద్ధమని వంపు
അയോർട്ടിക് ഗാംഗ്ലിയൻ,బృహద్ధమని గ్యాంగ్లియన్
അയോർട്ടിക് സെമിലുനാർ വാൽവ്,బృహద్ధమని సెమిలునార్ వాల్వ్
അയോർട്ടിക് വാൽവ്,బృహద్ధమని కవాటం
APC (Anaphas പ്രോത്സാഹിപ്പിക്കുന്നത്),APC (అనాఫేస్ ప్రమోటింగ్ కాంప్లెక్స్)
അപ്പോയിലൈക്ക് പൂർവ്വം,అపెలైక్ పూర్వీకుడు
ആഫിഡ്,అఫిడ్
അഫ്രോഡൈറ്റ്,ఆఫ్రొడైట్
അഗ്ര ആധിപത്യം,ఎపికల్ ఆధిపత్యం
അപ്ലിക്കേഷൻ പാഡ്,ఎపికల్ ప్యాడ్
അവലി,ఎపికల్చర్
Apis ഇൻഡിക്ക,APIS ఇండికా
എപ്ലാനോസ്പോര്,అప్లానోస్పోర్
അപ്ളീസിയ,అప్లిసియా
അപ്പോക്കാർപേ,అపోకార్పే
അപ്പോക്കറസ്,అపోకార్పస్
അപ്പോക്കർബസ് അണ്ഡാശയം,అపోకార్పస్ అండాశయం
അപ്പോക്രൈൻ ഗ്രന്ഥി,అపోక్రిన్ గ్రంథి
അപെൻസൈം,అపోఎంజైమ్
ശാന്തമായ,అపోమిక్
അപ്പോമിക്സിസ്,అపోమిక్సిస్
UpoPlasm,అపోప్లాజమ్
Apopleastic വഴി,అపోప్లాస్టిక్ మార్గం
അപ്പോപ്ടോസിസ്,అపోప్టోసిస్
ഉപകരണങ്ങള്,ఉపకరణం
കൂട്ടിച്ചേർത്ത അസ്ഥികൂടം,అనుబంధ అస్థిపంజరం
കീകത്തിന്റെ അനുബന്ധം,కర్ణభేరి యొక్క అనుబంధం
ആപ്പിൾ ഒച്ചുകൾ,ఆపిల్ నత్త
അക്വാകൾച്ചർ,ఆక్వాకల్చర్
അക്വാപ്പീര,ఆక్వాపోరిన్
ജലവിഷയക്കാരൻ,జల ఉభయచర
ജലരീതി,జల రూపం
ജല ആവാസവ്യവസ്ഥ,జల ఆవాసాలు
ജലജീവിങ്ങള്,జల జీవి
ജലസ്വചന്തി,జల మొక్క
ജലവിശ്വാസം,జల శ్వాసక్రియ
ജല ദ്രാവകം,సజల ద్రవం
ജലീയ ഉന്മൂലനം,సజల హ్యూమర్
ജലീയ ഇൻട്രാ സെല്ലുലാർ ദ്രാവകം,సజల ఇంట్రా-సెల్యులార్ ద్రవం
ജലീയ സാമ്പിള്,సజల నమూనా
ജലീയ പരിഹാരം,సజల ద్రావణంలో
അക്വില,అక్విలా
അറബിഡോപ്സിസ്,అరబిడోప్సిస్
അരാക്നിഡ,అరాచ్నిడా
അരാക്നോയിഡ്,అరాక్నోయిడ్
അരാനിയസ്,అరేనియస్
അർബസവാളികമായ,అర్బోర్సెంట్
അർബറോസന്റ് ലൈക്കോപോഡ്,అర్బోర్సెంట్ లైకోపాడ్
ആർക്കീഫായ,ఆర్కిబాక్టీరియా
ആൾജിഗോണിയം,ఆర్కిగోనియం
ദീപസമൂഹം,ద్వీపసమూహం
ആർട്ടിക്,ఆర్కిటిక్
ആർട്ടിക് ടെർൺ,ఆర్కిటిక్ టెర్న్
ആർട്ടിക് തുണ്ട്ര,ఆర్కిటిక్ టండ్రా
Ardea,ఆర్డియా
ഇറോളാർ ടിഷ്യു,ఐసోలార్ కణజాలం
ആർഗ്മോൺ (പ്രിക്ലി പോപ്പി),రుజువు
ആർഗ്മോൺ മെക്സിക്കന,ఆర్గెమోన్ మెక్సికానా
അർജിനൈൻ,అర్జినిన్
വരണ്ട പ്രദേശം,శుష్క ప్రాంతం
അരിസ്റ്റോളോസിയേസി,అరిస్టోలోచియాసియా
ആയുധ ഭക്ഷണം,చేయి దాణా
