Telugu,Hindi
అమైనో యాసిడ్ అంగీకారం,ऐमीनो अम्ल-ग्राही
అమైన్‌లాకారి,ऐमीनोएसिल टी-आर.एन.ए.सिन्थेटेज
అమైనోఅసిలేషన్,ऐमीनोएसिलीयन
అమిటోసిస్,असूत्री विभाजन
అమ్మోనియా,अमोनिया
అమ్మోనిఫికేషన్,अमोनीकरण
అమ్మోనోటెలిజం,अमोनिया-उत्सर्जन
అమ్నియోసెంటెసిస్,उल्बवेधन
అమ్నియోసెంటెసిస్ టెక్నిక్,उल्बवेधन तकनीक
అమ్నియోసైట్,उल्बकोशिका
అమ్నియోన్,उल्ब
అమ్నియోటిక్ ద్రవం,उल्ब तरल
అమ్నియోటిక్ పొర,उल्ब कला
అమ్నియోటిక్ శాక్,उल्ब कोश
అమీబా,अमीबा
అమీబోసైట్,"अमीबाणु, अमीबीकोशिका"
అమీబాయిడ్,"अमीबाभ, अमीबीय"
అమీబోయిడ్ లింఫోసైట్,अमीबाभ लसीकाणु
అమీబోయిడ్ కదలిక,"अमीबीय गति, अमीबाभ गति"
నిరాకార,"रवाहीन, अक्रिस्टलीय"
మొత్తం,"मात्रा, परिमाण"
యాంఫేటమిన్,ऐम्फेटैमीन
ఉభయచర,ऐम्फिबिया
ఉభయచర,ऐम्फिबियन (प्राणी)
ఉభయచర,उभयचर
యాంఫియోక్సస్,एम्फिऑक्सस
యాంఫియోక్సస్ లాన్సోలాటస్,ऐम्फिऑक्सस लेन्सयोलेटस
యాంఫిపతిక్,उभयसंवेदी
యాంఫిపతిక్ లిపిడ్,उभयसंवेदी वसा
యాంఫిసార్కా,ऐम्फिसार्का
ఆంపిసిలిన్,ऐम्पिसिलिन
అంపుల్లా,"तुंबिका, ऐंपुला"
అంపల్లరీ గ్రంథి,तुंबिका ग्रंथि
అమిగ్డాల్,ऐमिग्डल
అమిగ్డేల్,वातामक
అమిగ్డాలిన్,ऐमिग्डालिन
అమిలేస్,एमिलेज
అమిలోప్లాస్ట్,मंडलवक
అనాబెనా,ऐनाबीना
అనాబాస్,ऐनाबस
అనాబాలిక్ మార్గాలు,उपचय पथक्रम
అనాబాలిజం,उपचय
అనాకార్డియాసి,ऐनाकार्डिएसी
రక్తహీనత,अरक्तता
Anaerobe,"अवायुजीव, अनॉक्सी जीव"
వాయురహిత ఇంధనం,अवायवी ईंधन
వాయురహిత శ్వాసక్రియ,"अवायु-श्वसन, अनॉक्सीय श्वसन"
వాయురహిత బురద డైజెస్టర్,अवायवी आपंक पाचित्र
Anaerobic,"अवायवी, अवायुजीवी"
అనైమా,एनाइमा
ఆసన,"गुदीय, गुद"
ఆసన,पक्षांत
ఆసన ఎపర్చరు,"गुदीय द्वारक, गुद छिद्र"
అనల్ సెర్సీ,गुदलूम
అనల్ లూప్,पक्षांत पाश
ఆసన శైలి,गुदशूक
సారూప్యత,समवृत्ति
సారూప్యత,"सदृश, अनुरूप"
సారూప్యత,समवृत्तिता
సారూప్యత,"सादृश्य, अनुरूपता"
విశ్లేషణ,विश्लेषण
అనాఫేస్,पश्चावस्था
శరీర నిర్మాణ అవరోధం,शारीरी रोध
శరీర నిర్మాణ అంశం,शारीरीय पक्ष
శరీర నిర్మాణ శాస్త్రవేత్త,शारीरज्ञ
శరీర నిర్మాణ శాస్త్రం,शारीर
పూర్వీకుల వారసుడు క్రమం,पूर्वज वंशज अनुक्रम
పూర్వీకుల వంశం,पूर्वज वंशक्रम
పూర్వీకుల క్రమం,पूर्वज अनुक्रम
అన్సైలోస్టోమా,ऐंकिलोस्टोमा
ఆండ్రోసియం,पुमंग
ఆండ్రోజెన్,"ऐंड्रोजेन, पुंजन"
రక్తహీనత,अरक्तता
ఎనిమోన్,अनेमनी
అనూప్లోయిడ్,असुगुणित
అనూప్లోయిడి,असुगुणिता
ఆంజినా,ऐंजाइना
యాంజియోగ్రామ్,वाहिकाचित्र
యాంజియోగ్రాఫ్,ऐंजिओग्राफ
యాంజియోగ్రఫీ,"वाहिकाचित्रण, ऐंजिओग्राफी"
యాంజియోప్లాస్టీ,"वाहिका-संधान, ऐंजिओप्लास्टी"
యాంజియోస్పెర్మ్,आवृतबीजी
యాంజియోటెన్సిన్,ऐंजिओटेन्सिन
యాంజియోటెన్సినోజెన్,ऐंजिओटेन्सिनोजन
జాలరి చేప,वडिश मीन
అంగునా,ऐंग्विना
అంగుయిస్,ऐन्गुइस
జంతువు,प्राणी
జంతువు,पशु
జంతువుల పేడ,पशु शमल
పశుసంరక్షణ,पशुपालन
జంతువుల కార్యోటైపింగ్,प्राणी गुणसूत्रप्ररूपण
జంతు సామ్రాజ్యం,प्राणिजगत्
జంతువుల కణజాలం,प्राणि-ऊतक
యానిమాలియా,ऐनिमेलिया
అయాన్,ऋणायन
అనిసోట్రోపిక్ బ్యాండ్,विषमदैशिक पट्ट
ఎనియలింగ్,अनीलन
అన్నెలిడ్,ऐनेलिड (प्राणी)
అన్నెలిడా,ऐनेलिडा
వార్షిక రింగ్,वार्षिक वलय
యాన్యులేటెడ్,वलयाकार
యాన్యుల్,"वलयांश, ऐन्यूल"
క్రమరహిత రకం,असंगत प्ररूप
అనోఫిల్స్,ऐनोफेलीज
చీమ తినేవాడు,चींटीखोर
విరోధి,विरोधी
అంటార్కిటిక్,दक्षिण ध्रुवीय
యాంటెన్నా,शृंगिका
యాంటెన్నా కాంప్లెక్స్,ऐन्टेना संकुल
యాంటెనల్ గ్రంథి,शृंगिका ग्रंथि
ముందరి (వెంట్రల్) బూడిద కొమ్ము,अग्र (अधर) घूसर शृंग
పూర్వ హైపోఫిసిస్,अग्र पीयूषिका
పూర్వ జోక్య సల్కస్,अग्र अंतरानिलयी परिखा
Anther,परागकोश
పూర్వ సంస్కృతి,पराग संवर्धन
ఆంథెరిడియం,पुंधानी
అంటెరోజాయిడ్,पुमणु
ఆంథోసెరోస్,ऐन्थोसिरोस
ఆంథోసెరోటోప్సిడా,ऐन्थोसिरोटॉप्सिडा
ఆంత్రాక్స్,ऐन्थ्रैक्स
మానవ అంతరించిపోవడం,मानवजनित विलोपन
మానవ శాస్త్రం,मानवविज्ञान
యాంటీ బాక్టీరియల్,प्रतिजीवाणुक
యాంటీబయాటిక్ పెన్సిలిన్,प्रतिजैविक पेनिसिलिन
యాంటీబయాటిక్ రెసిస్టెంట్,प्रतिजैविक प्रतिरोधी
యాంటీబయాటిక్ (లు),प्रतिजैविक
యాంటీబాడీ,"प्रतिरक्षी, प्रतिपिंड"
యాంటీబాడీ జంట,"प्रतिरक्षी युग्म, प्रतिपिंड युग्म"
యాంటీబాడీ మధ్యవర్తిత్వ రోగనిరోధక శక్తి,प्रतिरक्षी माध्यित प्रतिरक्षा
ప్రతిస్కందకం,प्रतिस्कंदक
యాంటికోడాన్ లూప్,प्रतिप्रकूट पाश (प्रतिकोडॉन पाश)
యాంటిడిప్రెసెంట్,प्रति-अवसादक
అశ్లీల ముందు భాగము,प्रतिमूत्रल हॉर्मोन
యాంటిజెన్ జన్యువు,प्रतिजन जीन
యాంటిజెన్-యాంటీబాడీ కాంప్లెక్స్,प्रतिजन-प्रतिरक्षी सम्मिश्र
యాంటిజెనిక్ డిటర్మినెంట్,प्रतिजनी निर्धारक
యాంటిన్యూట్రిషనల్ కారకం,प्रतिपोषक कारक
యాంటీఆక్సిడెంట్,प्रतिऑक्सीकारक
యాంటీపోడల్ న్యూక్లియస్,प्रतिव्यासांत केंद्रक
యాంటీ సెన్స్ RNA,प्रति-अर्थक आर.एन.ए.
యాంటీవైరల్ ప్రోటీన్,प्रतिविषाणुक प्रोटीन
Antrum,गह्वर
అనుక్లీట్,अकेंद्रकी
పాయువు,गुदा
ఆందోళన రుగ్మత,दुश्चिंता विकार
బృహద్ధమని వంపు,महाधमनी चाप
బృహద్ధమని గ్యాంగ్లియన్,कर्ण गुच्छिका
బృహద్ధమని సెమిలునార్ వాల్వ్,महाधमनी अर्धचंद्र कपाट
బృహద్ధమని కవాటం,महाधमनी कपाट
APC (అనాఫేస్ ప్రమోటింగ్ కాంప్లెక్స్),पश्चावस्था वर्धक संमिश्र
అపెలైక్ పూర్వీకుడు,कपि-सम पूर्वज
అఫిడ్,ऐफिड
ఆఫ్రొడైట్,ऐफ्रोडाइट
ఎపికల్ ఆధిపత్యం,शीर्ष प्रभाविता
ఎపికల్ ప్యాడ్,शीर्ष तल्प
ఎపికల్చర్,मधुमक्खीपालन
APIS ఇండికా,ऐपिस इंडिका
అప్లానోస్పోర్,अचलबीजाणु
అప్లిసియా,ऐप्लीसिया
అపోకార్పే,ऐपोकार्पी
అపోకార్పస్,वियुक्तांडपी
అపోకార్పస్ అండాశయం,वियुक्तांडपी अंडाशय
అపోక్రిన్ గ్రంథి,अपस्रावी ग्रंथि
అపోఎంజైమ్,एपोएंजाइम
అపోమిక్,असंगजनिक
అపోమిక్సిస్,असंगजनन
అపోప్లాజమ్,ऐपोप्लाज्म
అపోప్లాస్టిక్ మార్గం,सुप्रवाही पथक्रम
అపోప్టోసిస్,एपोप्टोसिस
ఉపకరణం,उपकरण
అనుబంధ అస్థిపంజరం,उपांगी कंकाल
కర్ణభేరి యొక్క అనుబంధం,अंधनाल की परिशेषिका
ఆపిల్ నత్త,ऐपल घोंघा
ఆక్వాకల్చర్,जलकृषि
ఆక్వాపోరిన్,ऐक्वापॉरिन
జల ఉభయచర,जलीय ऐम्फिबियन
జల రూపం,जलीय रूप
జల ఆవాసాలు,जलीय पर्यावास
జల జీవి,जलीय जीव
జల మొక్క,जलीय पादप
జల శ్వాసక్రియ,जलीय श्वसन
సజల ద్రవం,जलीय तरल
సజల హ్యూమర్,"नेत्रोद, ऐक्विअस ह्यूमर"
సజల ఇంట్రా-సెల్యులార్ ద్రవం,जलीय अंतःकोशिका तरल
సజల నమూనా,जलीय नमूना
సజల ద్రావణంలో,जलीय विलयन
అక్విలా,एक्विला
అరబిడోప్సిస్,ऐरेबिडॉप्सिस
అరాచ్నిడా,एरेक्निडा
అరాక్నోయిడ్,एरेक्नॉइड (लूताजालाभ)
అరేనియస్,अरेनियस
అర్బోర్సెంట్,वृक्षवत्
అర్బోర్సెంట్ లైకోపాడ్,वृक्षवत् लाइकोपॉड
ఆర్కిబాక్టీరియా,आद्य जीवाणु
ఆర్కిగోనియం,स्त्रीधानी
ద్వీపసమూహం,द्वीपसमूह
ఆర్కిటిక్,"उत्तरध्रुवीय, आर्कटिक"
ఆర్కిటిక్ టెర్న్,आर्कटिक टर्न
ఆర్కిటిక్ టండ్రా,"उत्तरध्रुवीय टुंड्रा, आर्कटिक टुंड्रा"
ఆర్డియా,आर्डिया
ఐసోలార్ కణజాలం,एरियोली ऊतक
రుజువు,"आर्जिमनी, पीली कंटीली"
ఆర్గెమోన్ మెక్సికానా,आर्जिमनी मेक्सिकाना
అర్జినిన్,आर्जिनीन
శుష్క ప్రాంతం,शुष्क प्रक्षेत्र
అరిస్టోలోచియాసియా,ऐरिस्टोलोकिएसी
చేయి దాణా,भुजाकृत अशन
ఆర్మీవార్మ్,सैनिक शलभ (चने की सूंडी)
Aroid,ऐरॉयड
వాసన,ऐरोमा
అరేస్టర్,प्रग्राही
ఆర్టెమిసియా,आर्टिमिजिया
ధమనుల సిస్టోలిక్,धमनी प्रकुंचनी
ఆర్టిరియోస్క్లెరోటిక్,धमनीकाठिन्यकारी
ఆర్థ్రోపోడ్,संधिपाद
ఆర్థరైటిస్,संधिशोथ
ఆర్థ్రోపోడా,"संधिपाद संघ, आथ्रोपोडा"
కీలు మృదులాస్థి,संधायक उपास्थि
ఉచ్చారణ,संधिल
ఉచ్చరించబడింది,संधित
కృత్రిమ పేస్‌మేకర్,कृत्रिम गतिचालक
కృత్రిమ ఎంపిక,कृत्रिम वरण
ఆర్టోకార్పస్ హెటెరోఫిల్లస్,आर्टोकार्पस हेटेरोफिलस (कटहल)
ఆస్బెస్టాస్ ఫైబర్,ऐस्बेस्टॉस रेशा
ఆస్బెస్టాసిస్,"ऐस्बेस्टॉसिता, ऐस्बेस्टॉस-आर्ति"
అస్కారిస్,ऐस्केरिस
ఆరోహణ క్రోమాటోగ్రఫీ,आरोही वर्णलेखन
అస్సిడియా,ऐसिडिआ
అస్సిడియన్,ऐसिडियन
అస్కోకార్ప్,ऐस्कोकार्प
అస్కోమైసెట్స్,ऐस्कोमाइसिटीज
ఆస్కార్బిక్ ఆమ్లం,ऐस्कॉर्बिक अम्ल
అస్కోస్పోర్,"ऐस्कस बीजाणु, ऐस्कोस्पोर"
అస్కస్,ऐस्कस
Aseptate,पटहीन
అలైంగిక పునరుత్పత్తి,अलैंगिक जनन
అలైంగిక బీజాంశం,अलैंगिक बीजाणु
ఆస్పరాజిన్ సింథటేస్,ऐस्पेराजीन सिन्थेटेस
ఆస్పరాగస్,"ऐस्पैरागस, शतावरी"
అస్పార్టిక్ ఆమ్లం,ऐस्पार्टिक अम्ल
ఆస్పెర్‌గిల్లస్ నైగర్,ऐस्पर्जिलस नाइजर
ఆస్పెర్‌గిల్లస్,ऐस्पर्जिलस
అస్ఫోడెలస్ టెనుఫోలియస్,ऐस्फोडेलस टेनुईफोलियस
ఆస్పిరిన్,ऐस्पिरिन
పరీక్ష,"आमापन, ऐसे"
సమావేశం,समुच्चय
సమీకరణ సామర్థ్యం,स्वांगीकरण दक्षता
అస్సిమిలేటరీ రూట్,स्वांगीकारी जड़
సహాయక పునరుత్పత్తి సాంకేతికత,सहायित जननिक तकनीक
అసోసియేషన్ ప్రాంతం,"साहचर्य क्षेत्र, सहभागिता क्षेत्र"
అసోసియేటివ్ సహజీవనం,सहचारी सहजीविता
కలగలుపు మరియు పున omb సంయోగం,अपव्यूहन और पुनर्योजन
కారకం యొక్క కలగలుపు,कारक का अपव्यूहन
అస్టాకస్,ऐस्टाकस
ఆస్టెరేసి,ऐस्टेरेसी
ఆస్టారేల్స్,ऐस्टरेलीज
గ్రహశకలం,"क्षुद्र ग्रह, ग्रहिका"
ఉబ్బసం,दमा
ఆస్ట్రగలస్ గుమ్మర్,ऐस्ट्रागेलस गुमीफर
జ్యోతిష్య కుదురు పోల్,तारक तर्कु ध्रुव
ఖగోళ శాస్త్రవేత్త,खगोलज्ञ
అసమాన కార్యోటైప్,असममित गुणसूत्रप्ररूप
అసమాన,असममित
అథెరోమాటస్,धमनीवसाकठिन्यमय
అథెరోస్క్లెరోసిస్,"धमनीवसाकाठिन्य, ऐथिरोस्कलेरोसिस"
అథెరోస్క్లెరోటిక్ ఫలకం,धमनीवसाकठिन्यकारी लवांक
భౌగోళిక పటం,"शीर्षधर, ऐटलस"
అట్లాస్ వెన్నుపూస,"शीर्षधर कशेरुक, ऐटलस कशेरुक"
వాతావరణం,वायुमंडल
