Punjabi,Telugu
ਐਕਰੋਪੇਟਲ ਆਰਡਰ,అక్రోపెటల్ ఆర్డర్
ਐਕਰੋਸਿਨ,అక్రోసిన్
ਐਕਟਿਨ,ఆక్టిన్
ਐਕਟਿਨ ਵਰਗੇ ਪ੍ਰੋਟੀਨ,ఆక్టిన్ లాంటి ప్రోటీన్
ਐਕਟਿਨੀਮੋਰਿਕ,ఆక్టినోమోర్ఫిక్
ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ,ఆక్టినోమైసెట్స్
ਕਾਰਵਾਈ ਸੰਭਾਵਨਾ,చర్య సామర్థ్యం
ਸਰਗਰਮ ਸਲੱਜ,సక్రియం చేయబడిన బురద
ਸਰਗਰਮ ਸਲੈਮ ਫਾਸਟ,సక్రియం చేయబడిన బురద ఫ్లోక్
ਐਕਟੀਵੇਸ਼ਨ Energy ਰਜਾ,యాక్టివేషన్ ఎనర్జీ
ਐਕਟਿਵ ਸਮਾਈ,క్రియాశీల శోషణ
ਕਿਰਿਆਸ਼ੀਲ ਛੋਟ,క్రియాశీల రోగనిరోధక శక్తి
ਸਰਗਰਮ ਰੇਡੀਏਸ਼ਨ,క్రియాశీల రేడియేషన్
ਐਕਟਿਵ ਸਾਈਟ,క్రియాశీల సైట్
ਐਕਟੀਵੇਟ,యాక్టివిన్
ਅਮੀਮਿਨੇਟ,అక్యూమినేట్
ਐਡਮਜ਼ੀਆ,ఆడమియా
ਅਨੁਕੂਲਤਾ,అనుకూలత
ਅਨੁਕੂਲਤਾ,అనుసరణ
ਚਾਨਣ ਸ਼ਾਸਨ ਲਈ ਅਨੁਕੂਲਤਾ,కాంతి పాలనకు అనుసరణ
ਪਾਣੀ ਦੀ ਘਾਟ ਲਈ ਅਨੁਕੂਲਤਾ,నీటి కొరతకు అనుసరణ
ਅਨੁਕੂਲ ਗੁਣ,అనుకూల లక్షణాలు
ਅਨੁਕੂਲ ਛੋਟ,అనుకూల రోగనిరోధక శక్తి
ਅਨੁਕੂਲ ਰੇਡੀਏਸ਼ਨ,అడాప్టివ్ రేడియేషన్
ਅਨੁਕੂਲ ਗੁਣ,అనుకూల లక్షణం
ਏਕੈਕਸੀਅਲ ਸਤਹ,అడాక్సియల్ ఉపరితలం
ਨਸ਼ਾ ਕਰਨ ਵਾਲੀ ਵਿਕਾਰ,వ్యసనపరుడైన రుగ్మత
ਐਡੀਨੇਨ,అడెనిన్
ਐਡੇਨੋਕਾਰਸਪੋਰਟ੍ਰੋਪਿਨ,అడెనోకార్టికోట్రోపిన్
ਐਡੀਨੋਹਾਇਪਿਸਿਸ,అడెనోహైపోఫిసిస్
ਅਡੇਨੋਸਿਨ ਡਿਇਆਪਸਫੇਟ,అడెనోసిన్ డిఫాస్ఫేట్
ਐਡੀਨੋਸਾਈਨ ਡਿਮੇਨਬੇਸ,అడెనోసిన్ డీమినేస్
ਐਡੀਨੋਸਾਈਨ ਮੋਨੋਫੋਸਫੇਟ,అడెనోసిన్ మోనోఫాస్ఫేట్
ਐਡੀਨੋਸਾਈਨ ਟ੍ਰਾਈਫੋਸਫੇਟ (ਏਟੀਪੀ),గ్రంధి ముడతలు
ਐਡੀਨੇਲਲੇਟ ਸਾਈਕਲੇਜ,అడెనిలేట్ సైక్లేస్
ਚਿਪਕਣ ਵਾਲੀ ਤਾਕਤ,అంటుకునే శక్తి
ਐਡਪੋਜ਼,అడిపేట్
Adipocyte (ਚਰਬੀ ਸੈੱਲ),కొవ్వు పెండినవి
ਐਡਪੋਜ਼ ਟਿਸ਼ੂ,కొవ్వు కణజాలము
ਐਡਨੇਟ,Adnate
ਨਾਲ ਲੱਗਦੀ ਕਮਿ Community ਨਿਟੀ,ప్రక్కనే ఉన్న సంఘం
ਐਡਰੀਨਲ,అడ్రినల్
ਐਡਰੇਨਲ ਗਲੈਂਡ,అడ్రినల్ గ్రంథి
ਐਡਰੇਨੋਕੋਟਰੋਪਿਕ ਹਾਰਮੋਨ (ਐਕਟਿਹ),ఎడ్రినల్ గ్రంథి
ਐਡਰੇਨੋਕਰੋਪੋਰਟਿਕੋਟਰੋਪਿਕ ਰੀਲੀਜ਼ ਹਾਰਮੋਨ (ACTRH),ఎడ్రినల్ గ్రంథి యొక్క విడుదల హార్మోన్
ਐਡੋਰਬੈਂਟ,Adsorbent
ਇਸ਼ਤਿਹਾਰ,శోషణ
ਐਡਵਾਂਸਡ ਕੋਰਡੇਟ,అధునాతన కార్డేట్
ਲਾਭਦਾਇਕ ਪਰਿਵਰਤਨ,ప్రయోజనకరమైన మ్యుటేషన్
ਸਾਹਸੀ,అడ్వెసిషియల్
ਸਾਹਸੀ ਜੜ,సాహసోపేతమైన రూట్
ਗਲਤ ਪ੍ਰਭਾਵ,ప్రతికూల ప్రభావం
ਏ.ਡੀ.ਡੀ.,AEDES
ਸਭਿਆਚਾਰ ਦੀ ਹਵਾਬਾਜ਼ੀ,సంస్కృతి వాయువు
Énerchyma,ఏరెన్చైమా
ਏਰੀਅਲ,ఆకాశయాన
ਏਰੀਅਲ ਰੂਟ,వైమానిక రూట్
ਏਰੀਅਲ ਸ਼ੂਟ,వైమానిక షూట్
ਐਰੋਬਿਕ ਸਾਹ,ఏరోబిక్ శ్వాసక్రియ
ਐਰੋਬਿਕ ਸਾਹ,ఏరోబిక్ శ్వాసక్రియ
ਸੁਹਜ,సౌందర్యం
ਖਰਾਸ਼,ఎస్టివేషన్
ਖਰਾਸ਼,ఎస్టివేషన్
ਪਿਆਰ,అనుబంధ
ਪੱਕਾ ਐਫੀਲੀਅਸ ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ,అనుబంధ క్రోమాటోగ్రఫీ
ਦੁਖੀ ਅੰਗ,బాధిత అవయవం
ਕਥਾ,అటవీ నిర్మూలన
ਅਗਿਆਤ,అగామోస్పెర్మీ
ਅਗਰ,అగర్
ਅਗਿਆਤ,అగరోస్
ਅਗਾਅਰਜ਼ ਜੈੱਲ ਐਲੀਟ੍ਰੋਫੋਨਸਿਸ,అగరోస్ జెల్ ఎలెట్రోఫోరేసిస్
ਅਗਿਆਤ ਪੋਲੀਮਰ ਜੈੱਲ,అగరోస్ పాలిమర్ జెల్
ਅਤਿ,అగాస్ట్
ਅਗਾਵ,కిత్తలి
ਉਮਰ ਵੰਡ,వయస్సు పంపిణీ
ਉਮਰ ਪਿਰਾਮਿਡ,వయస్సు పిరమిడ్
Agglutate,సంకలనం
ਸਮੁੱਚੀ,మొత్తం
Follicle ਦਾ ਸਮੁੱਚਾ,ఫోలికల్ యొక్క మొత్తం
Follicle ਦਾ ਸਮੁੱਚਾ,ఫోలికల్ యొక్క మొత్తం
ਇਕੱਤਰਤਾ,సమూహనం
ਹਮਲਾਵਰਤਾ,దూకుడు
ਐਗਰੀਏਟਰ ਸਿਸਟਮ,ఆందోళన వ్యవస్థ
ਅਗਨੀਥਾ,అగ్నాథ
ਅਗਾਤੀ,అగౌటి
ਅਗਰੰਡੀ ਕਲਰੋਲੋਪਲਾਸਟ,అగ్రనాల్ క్లోరోప్లాస్ట్
ਅਗਰੂ,అగ్రన్యులర్
ਅਗਰਾਨੂਲੋਸਾਈਟ,అగ్రనులోసైట్
ਖੇਤੀ ਬਾੜੀ,వ్యవసాయం
ਐਗਰੋਫੋਰੈਸਟਰੀ,అగ్రోఫారెస్ట్రీ
ਐਗਰੋਬੈਟਰਿਅਮ ਵਿਚੋਲਗੀ,అగ్రోబాక్టీరియం మధ్యవర్తిత్వం
ਐਗਰੋਬੈਟਰਿਅਮ ਟੋਮਫੈਕੈਨਜ਼,అగ్రోబాక్టీరియం ట్యూమెఫేసియన్స్
ਐਗਰੋ ਕੈਮੀਕਲ,వ్యవసాయ రసాయన
ਐਗਰੋ ਕੈਮੀਕਲ,వ్యవసాయ రసాయన
ਅਗਰੋਕਲਾਈਮੈਟਿਕ ਜ਼ੋਨ,అగ్రోక్లిమాటిక్ జోన్
ਖੇਤੀਬਾਜੀ ਗੁਣ,వ్యవసాయ లక్షణం
ਖੇਤੀਬਾੜੀ,వ్యవసాయ శాస్త్రం
ਏਡਜ਼,ఎయిడ్స్
ਏਅਰ ਬਲੈਡਰ,గాలి మూత్రాశయం
ੲੇ. ਸੀ,వాతానుకూలీన యంత్రము
ਹਵਾ ਦਾ ਰਾਹ,గాలి మార్గం
ਹਵਾ ਪ੍ਰਦੂਸ਼ਣ,వాయుకాలుష్యం
ਏਅਰ ਸੈਕ,ఎయిర్ శాక్
ਏਅਰ ਵੈਕਲੂਓਲ,ఎయిర్ వాక్యూల్
ਹਵਾ-ਸਾਹ,గాలి-శ్వాస
ਅਲੇਨ,అలైన్
ਅਲੇਰੀ ਮਾਸਪੇਸ਼ੀ,అలారి కండరం
ਅਲਾਸਕਨ ਬ੍ਰਾ .ਨ ਰਿੱਛ,అలాస్కాన్ బ్రౌన్ బేర్
ਐਲਬਿਨੋ,అల్బినో
ਆਲਬੂਗੋ,అల్బుగో
ਐਲਬਮਿਨ,అల్బుమిన్
ਐਲਬਿੰਜੀਨ ਬੀਜ,అల్బుమినస్ సీడ్
ਐਲਬਿ → ਮਿਨੂਰੀਆ,అల్బుమినూరియా
ਐਲਬਟਨਮ,అల్బర్నమ్
ਐਲਸੀਏਸੀ,ఆల్కే
Aldeyhede,ఆల్డెహీడ్
ਅੈਲਡੋਸਟਰੋਨ ਸਿਸਟਮ,ఆల్డోస్టెరాన్ వ్యవస్థ
ਅਲੇਸਟਰੋਨ,ఆల్డోస్టెరాన్
ਅਲੇਪੁਰਨ ਪਰਤ,అల్యూరోన్ పొర
ਐਲੇਰੋਪਲਾਸਟ,అల్యూరోప్లాస్ట్
ਅਲਫਾਫਾ,అల్ఫాల్ఫా
ਐਲਗਲ ਖਿੜ,ఆల్గల్ బ్లూమ్
ਅਲੀਗਿਨ,అల్జీన్
ਪਰਦੇਸੀ ਡੀਐਨਏ,గ్రహాంతర DNA
ਪਰਦੇਸੀ ਪ੍ਰਜਾਤੀ,గ్రహాంతర జాతులు
ਅਲਾਈਨਮੈਂਟ,అమరిక
ਅਲਾਈਨਮੈਂਟ,అమరిక
ਅਲੀਮੈਂਟਰੀ ਨਹਿਰ,అలిమెంటరీ కెనాల్
ਅਲੀਮੈਂਟਰੀ ਸਿਸਟਮ,అలిమెంటరీ సిస్టమ్
ਐਲਿਸਮੇਸਸੀ,అలిస్మాసిస్
ਐਲਕਾਲਾਇਡ,ఆల్కలాయిడ్
ਐਲਕਲੀਨ,ఆల్కలీన్
ਅਲਕਾਪਟਨੂਰੀਆ,అల్కాప్టోటోరియా
ਅੱਲੈਂਟੋਇਸ,అల్లాంటోయిస్
ਐਲੀ ਬਾਰੰਬਾਰਤਾ,యుగ్మ వికల్ప ఫ్రీక్వెన్సీ
ਐਲੀਲ,యుగ్మ వికల్పం
ਅਲੇਲਬਿਕ ਜੋੜੀ,అల్లెలోమోర్ఫిక్ జత
ਐਲਰਗੇਨ,అలెర్జీ
ਐਲੀਗੇਟਰ,ఎలిగేటర్
ਐਲੀਅਮ ਸੀ.ਪੀ.ਏ.,అల్లియం సెపా
ਆਲੋਗਮ,అయోగాగమి
ਅਲਾਗ੍ਰਾਫਟ,అల్లోగ్రాఫ్ట్
ਅਲੋਪੈਟ੍ਰਿਕ ਜਾਦੂਈ,అల్లోపాట్రిక్ స్పెసియేషన్
ਐਲੋਪੋਲਾਈਵਲਾਈਡ,అల్లోపాలిప్లోయిడ్
ਐਲੋਸਟਰਿਕ ਪ੍ਰਭਾਵ,అలోస్టెరిక్ ప్రభావం
ਐਲੋਸਟ੍ਰਿਕ ਪਾਚਕ,అలోస్టెరిక్ ఎంజైమ్
ਐਲੋਸਟਰਿਕ ਇਨਿਹਿਬਟਰ,అలోస్టెరిక్ ఇన్హిబిటర్
ਐਲੋਸਟ੍ਰਿਕ ਮੈਨੂਲੇਸ਼ਨ,అలోస్టెరిక్ మాడ్యులేషన్
ਐਲੋਸਟ੍ਰਿਕ ਸਾਈਟ,అలోస్టెరిక్ సైట్
ਐਲੋਸਟਰਿਕ ਰੋਕ,అలోస్టెరిక్ నిరోధం
Allotetraplaidd,అలోటెట్రాప్లాయిడ్
ਐਲਾਨਸ,ఆల్నస్
ਐਲੋ,కలబంద
ਐਕਸੋਨ ਦੇ ਨਾਲ,ఆక్సాన్ వెంట
ਅਲਫ਼ਾ-ਐਂਟੀਟ੍ਰਿਪਸਿਨ,ఆల్ఫా-యాంటిట్రిప్సిన్
ਅਲਫ਼ਾ-ਲੈਕਟਲਬੁਮਿਨ,ఆల్ఫా-లాక్టల్బ్యూమిన్
ਐਲਪਾਈਨ ਦੀ ਸਥਿਤੀ,ఆల్పైన్ వాతావరణ పరిస్థితి
ਅਲਪਾਈਨ ਮੈਡੋ,ఆల్పైన్ మేడో
ਅਲਪਾਈਨ ਜ਼ੋਨ,ఆల్పైన్ జోన్
ਅਲਸਟੋਨੀਆ,ఆల్స్టోనియా
ਅਲਟਰਨੇਰੀਆ,ఆల్టర్నేరియా
ਵਿਕਲਪਿਕ,ప్రత్యామ్నాయ
ਪੀੜ੍ਹੀ ਦੀ ਤਬਦੀਲੀ,తరం యొక్క ప్రత్యామ్నాయం
ਉਚਾਈ ਬਿਮਾਰੀ,ఎత్తు రుగ్మత
ਉਚਾਈ,ఎత్తు
ਐਲਵੋਲਰ ਡੈਕਟ,అల్వియోలార్ డక్ట్
ਅਲਾਈਨ,అలిట్స్
ਅਲਜ਼ਾਈਮਰ ਰੋਗ,అల్జీమర్స్ వ్యాధి
ਅਮੈਕਰਾਈਨ ਸੈੱਲ,అమాక్రిన్ సెల్
ਅਮਰੰਥੈਸੇ,అమరాంతేసి
ਅਮੈਸ਼ਨਥਸ,అమరాంథస్
ਅੰਬੀਨਟ ਓਮੋਟਿਕ ਗਾੜ੍ਹਾਪਣ,పరిసర ఓస్మోటిక్ గా ration త
ਅਮੈਸਟੋਮਾ,అంబిస్టోమా
ਐਮੀਡ,అమైడ్
ਅਮੀਨੋ ਐਸਿਡ,అమైనో ఆమ్లం
ਅਮੀਨੋ ਐਸਿਡ ਸਵੀਕਾਰਟਰ,అమైనో యాసిడ్ అంగీకారం
ਅਮੀਨੋਸਾੱਲ ਟੀ ਆਰ ਐਨ ਏ ਸਿੰਥੇਟੇਸ,అమైన్‌లాకారి
ਅਮੀਨੋਕੁਲੇਸ਼ਨ,అమైనోఅసిలేషన్
ਅਮਿਤੋਸਿਸ,అమిటోసిస్
ਅਮੋਨੀਆ,అమ్మోనియా
ਅਨੁਮੋਧ,అమ్మోనిఫికేషన్
ਅਮੋਨੋਟੇਲਿਜ਼ਮ,అమ్మోనోటెలిజం
ਅਮਨੀਓਸੈਂਟੀਸਿਸ,అమ్నియోసెంటెసిస్
ਅਮਨੀਓਸੈਂਟੀਸਿਸ ਤਕਨੀਕ,అమ్నియోసెంటెసిస్ టెక్నిక్
ਅਮਨੀਓਸਾਈਟ,అమ్నియోసైట్
ਅਮਨੀਅਨ,అమ్నియోన్
ਅਮਨੀਓਟਿਕ ਤਰਲ,అమ్నియోటిక్ ద్రవం
ਐਮਨੀਓਟਿਕ ਝਿੱਲੀ,అమ్నియోటిక్ పొర
ਅਮਨੀਓਟਿਕਯੂ,అమ్నియోటిక్ శాక్
ਅਮੋਬਾ,అమీబా
ਅਮੀਓਬੋਸਾਈਟ,అమీబోసైట్
ਅਮੀਬੋਇਡ,అమీబాయిడ్
ਅਮੀਬੋਇਡ ਲਿੰਫੋਸਾਈਟ,అమీబోయిడ్ లింఫోసైట్
ਅਮੀਬੋਇਡ ਅੰਦੋਲਨ,అమీబోయిడ్ కదలిక
ਅਮੋਰੈਫਸ,నిరాకార
ਦੀ ਰਕਮ,మొత్తం
ਅਮੀਫੇਟਾਮਾਈਨ,యాంఫేటమిన్
ਅਮਫੀਬੀਆ,ఉభయచర
ਐਫੀਬੀਅਨ,ఉభయచర
ਐਫੀਬੀਅਨ,ఉభయచర
Amphioxus,యాంఫియోక్సస్
Amphioxus Lannolotus,యాంఫియోక్సస్ లాన్సోలాటస్
ਐਮਫੀਪਾਥਿਕ,యాంఫిపతిక్
ਐਮਫੀਪਾਥਿਕ ਲਿਪਿਡ,యాంఫిపతిక్ లిపిడ్
ਅਮਫੀਸਾਰਕਾ,యాంఫిసార్కా
ਐਂਪੀਸਿਲਿਨ,ఆంపిసిలిన్
Ampulla,అంపుల్లా
ਐਮਪੁੱਲੇਰੀ ਗਲੈਂਡ,అంపల్లరీ గ్రంథి
ਅਮੀਗਡਲ,అమిగ్డాల్
ਅਮੀਗਡੇਲ,అమిగ్డేల్
ਅਮੀਗਡਲਿਨ,అమిగ్డాలిన్
ਐਮੀਲੇਸ,అమిలేస్
ਅਮੋਲੋਪਲਾਸਸਟ,అమిలోప్లాస్ట్
ਅਨਬਾਨਾ,అనాబెనా
ਅਨਬਾਸ,అనాబాస్
ਐਨਾਬੋਲਿਕ ਮਾਰਗਾਂ,అనాబాలిక్ మార్గాలు
ਐਨਾਬੋਲਿਜ਼ਮ,అనాబాలిజం
ਅਨਾਕਾਰਿਆਸੀ,అనాకార్డియాసి
ਅਨੀਮੀਆ,రక్తహీనత
ਅਨੀਰੋਬ,Anaerobe
ਅਨੈਰੋਬਿਕ ਬਾਲਣ,వాయురహిత ఇంధనం
ਅਨੈਰੋਬਿਕ ਸਾਹ,వాయురహిత శ్వాసక్రియ
ਅਨੈਰੋਬਿਕ ਸਲੈਗ ਡਿਜਸਟਰ,వాయురహిత బురద డైజెస్టర్
ਅਨੀਰੋਬਿਕ,Anaerobic
ਅਨਾਮਾ,అనైమా
ਗੁਦਾ,ఆసన
ਗੁਦਾ,ఆసన
ਗੁਦਾ ਅਪਰਚਰ,ఆసన ఎపర్చరు
ਗੁਦਾ ਕਰਬੇਲੀ,అనల్ సెర్సీ
ਗੁਦਾ ਲੂਪ,అనల్ లూప్
ਗੁਦਾ ਸ਼ੈਲੀ,ఆసన శైలి
ਸਮਾਨ,సారూప్యత
ਸਮਾਨ,సారూప్యత
ਸਮਾਨਤਾ,సారూప్యత
ਸਮਾਨਤਾ,సారూప్యత
ਵਿਸ਼ਲੇਸ਼ਣ,విశ్లేషణ
ਐਨਾਫਸੇਸ,అనాఫేస్
ਐਨੀਟੋਮਿਕ ਬੈਰੀਅਰ,శరీర నిర్మాణ అవరోధం
ਐਨਾਟੋਮਿਕਲ ਪਹਿਲੂ,శరీర నిర్మాణ అంశం
ਐਨੀਟੋਮਿਸਟ,శరీర నిర్మాణ శాస్త్రవేత్త
ਸਰੀਰ ਵਿਗਿਆਨ,శరీర నిర్మాణ శాస్త్రం
ਪੂਰਵਜ ਵੰਸ਼ਜ ਕ੍ਰਮ,పూర్వీకుల వారసుడు క్రమం
ਜੱਦੀ ਵੰਸ਼ਜ,పూర్వీకుల వంశం
ਪੂਰਵਜ ਕ੍ਰਮ,పూర్వీకుల క్రమం
ਐਸੀਕੇਲੋਸਟੋਮਾ,అన్సైలోస్టోమా
ਐਂਡਰੋਸੀਅਮ,ఆండ్రోసియం
ਐਂਡਰੋਜਨ,ఆండ్రోజెన్
ਅਨੀਮੀਆ,రక్తహీనత
ਅਨੀਮੋਨ,ఎనిమోన్
ਅਨੀਉਟਲੋਇਡ,అనూప్లోయిడ్
ਅਨੀਯੁਰਾਕੀਡੀ,అనూప్లోయిడి
ਐਨਜਾਈਨਾ,ఆంజినా
ਐਂਜੀਗਰਾਮ,యాంజియోగ్రామ్
ਐਂਜੀਓਗ੍ਰਾਫ,యాంజియోగ్రాఫ్
ਐਂਜੀਓਗ੍ਰਾਫੀ,యాంజియోగ్రఫీ
ਐਂਜੀਓਪਲਾਸਟੀ,యాంజియోప్లాస్టీ
ਐਂਜੀਓਸਪਰਸਮ,యాంజియోస్పెర్మ్
ਐਂਜੀਓਟੈਨਸਿਨ,యాంజియోటెన్సిన్
ਐਂਜੀਓਟੈਨਸਿਨੋਜਨ,యాంజియోటెన్సినోజెన్
ਐਂਗਲਰ ਮੱਛੀ,జాలరి చేప
ਅੰਗੀਨਾ,అంగునా
Anguiss,అంగుయిస్
ਜਾਨਵਰ,జంతువు
ਜਾਨਵਰ,జంతువు
ਜਾਨਵਰ ਗੋਬਰ,జంతువుల పేడ
ਪਸ਼ੂ ਪਾਲਣ,పశుసంరక్షణ
ਜਾਨਵਰ ਕੈਰੀਓਟਾਈਪਿੰਗ,జంతువుల కార్యోటైపింగ్
ਪਸ਼ੂ ਰਾਜ,జంతు సామ్రాజ్యం
ਜਾਨਵਰਾਂ ਦੇ ਟਿਸ਼ੂ,జంతువుల కణజాలం
ਯੰਤਰੀਆ,యానిమాలియా
Anion,అయాన్
ਐਨਿਸੋਟ੍ਰੋਪਿਕ ਬੈਂਡ,అనిసోట్రోపిక్ బ్యాండ్
ਐਂਲਿੰਗਿੰਗ,ఎనియలింగ్
ਅੰਨੇਲਿਡ,అన్నెలిడ్
ਅਨਲਿਲਡਾ,అన్నెలిడా
ਸਾਲਾਨਾ ਰਿੰਗ,వార్షిక రింగ్
ਅੰਨਟੇਡ,యాన్యులేటెడ్
ਸਾਲ,యాన్యుల్
ਅਸਧਾਰਨ ਕਿਸਮ,క్రమరహిత రకం
ਐਨਾਓਫੇਲਜ਼,అనోఫిల్స్
ਕੀੜੀ ਹੈਟਰ,చీమ తినేవాడు
ਵਿਰੋਧੀ,విరోధి
ਅੰਟਾਰਕਟਿਕ,అంటార్కిటిక్
ਐਂਟੀਨਾ,యాంటెన్నా
ਐਂਟੀਨਾ ਕੰਪਲੈਕਸ,యాంటెన్నా కాంప్లెక్స్
ਐਨਟੇਨਲ ਗਲੈਂਡ,యాంటెనల్ గ్రంథి
ਪਿਛਲੇ (ਵੈਂਟ੍ਰਲ) ਸਲੇਟੀ ਸਿੰਗ,ముందరి (వెంట్రల్) బూడిద కొమ్ము
ਐਂਟੀਰੀਫਾਈਫਾਈਸਿਸ,పూర్వ హైపోఫిసిస్
ਐਂਟੀਰੀਅਰ ਇੰਟਰਵੈਂਟ੍ਰਿਕੂਲਰ ਸੂਲਕਸ,పూర్వ జోక్య సల్కస్
ਐਂਥਰ,Anther
ਐਂਥਰ ਸਭਿਆਚਾਰ,పూర్వ సంస్కృతి
ਐਂਡਰਾਈਡਿਅਮ,ఆంథెరిడియం
ਐਂਡਰੋਜ਼ੋਇਡ,అంటెరోజాయిడ్
ਐਂਥਸੋਰੋਸ,ఆంథోసెరోస్
ਐਂਥੋਸਰੋਟੋਫਡਾਡਾ,ఆంథోసెరోటోప్సిడా
ਐਂਥ੍ਰੈਕਸ,ఆంత్రాక్స్
ਐਂਥ੍ਰੋਪੋਜਾਈਜਡ ਅਲੋਪ,మానవ అంతరించిపోవడం
ਮਾਨਵ-ਵਿਗਿਆਨ,మానవ శాస్త్రం
ਐਂਟੀਬੈਕਟੀਰੀਅਲ,యాంటీ బాక్టీరియల్
ਐਂਟੀਬਾਇਓਟਿਕ ਪੈਨਸਿਲਿਨ,యాంటీబయాటిక్ పెన్సిలిన్
ਐਂਟੀਬਾਇਓਟਿਕ ਰੋਧਕ,యాంటీబయాటిక్ రెసిస్టెంట్
ਐਂਟੀਬਾਇਓਟਿਕ (ਜ਼),యాంటీబయాటిక్ (లు)
ਐਂਟੀਬਾਡੀ,యాంటీబాడీ
ਐਂਟੀਬਾਡੀ ਜੋੜਾ,యాంటీబాడీ జంట
