Telugu,Punjabi
యాక్సెస్ ఛార్జ్,ਐਕਸੈਸ ਚਾਰਜ
యాక్సెస్ క్లాస్,ਐਕਸੈਸ ਕਲਾਸ
డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్,ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ
యాక్సెస్ ఎన్విరాన్మెంట్,ਐਕਸੈਸ ਵਾਤਾਵਰਣ
యాక్సెస్ గ్యాప్,ਐਕਸੈਸ ਪਾੜਾ
ప్రాప్యత సూచిక,ਐਕਸੈਸ ਇੰਡੈਕਸ
యాక్సెస్ లైన్,ਐਕਸੈਸ ਲਾਈਨ
యాక్సెస్ మెకానిజం,ਐਕਸੈਸ ਵਿਧੀ
యాక్సెస్ పద్ధతి,ਐਕਸੈਸ ਵਿਧੀ
యాక్సెస్ పద్ధతి దినచర్య,ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ
యాక్సెస్ మోడ్,ਐਕਸੈਸ ਮੋਡ
హక్కును యాక్సెస్ చేయండి,ਸਹੀ ਪਹੁੰਚ
యాక్సెస్ స్కాన్,ਐਕਸੈਸ ਸਕੈਨ
ప్రాప్యత సమయం,ਐਕਸੈਸ ਟਾਈਮ
అకౌంటింగ్,ਲੇਖਾ
అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్,ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ
అకౌంటింగ్ మెషిన్,ਲੇਖਾ ਮਸ਼ੀਨ
ఖాతా సంఖ్య,ਅਕਾਊਂਟ ਨੰਬਰ
పునరుత్పత్తిదారుని కూడబెట్టుకోవడం,ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ
సంచితం,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ
సంచిత రిజిస్టర్,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਰਜਿਸਟਰ
సంచిత షిఫ్ట్ సూచన,ਇਕੱਤਰ ਕਰਨ ਵਾਲੀ ਸ਼ਿਫਟ ਹਦਾਇਤਾਂ
ఖచ్చితత్వం,ਸ਼ੁੱਧਤਾ
ఖచ్చితత్వ నియంత్రణ పాత్ర,ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਅੱਖਰ
ఖచ్చితత్వ నియంత్రణ వ్యవస్థ,ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਪ੍ਰਣਾਲੀ
ఏస్ పైలట్,ਏਸ ਪਾਇਲਟ
పాత్రను గుర్తించండి,ਅੱਖਰ ਮੰਨੋ
ఎకౌస్టిక్ కప్లర్,ਧੁਨੀ ਕਥਾ
శబ్ద కలపడం,ਧੁਨੀ
శబ్ద ఆలస్యం రేఖ,ਧੁਨੀ ਦੇਰੀ ਨਾਲ
శబ్ద జ్ఞాపకశక్తి,ਧੁਨੀ ਯਾਦਦਾਸ਼ਤ
ఎకౌస్టిక్ మోడెమ్,ਧੁਨੀ ਮਾਡਮ
శబ్ద సిగ్నల్,ਧੁਨੀ ਸੰਕੇਤ
శబ్ద నిల్వ,ਧੁਨੀ ਸਟੋਰੇਜ
ఎక్రోనిం,ਐਕਰੋਨਾਈਮ
చర్య,ਕਾਰਵਾਈ
చర్య చక్రం,ਐਕਸ਼ਨ ਚੱਕਰ
యాక్షన్ లైన్,ਐਕਸ਼ਨ ਲਾਈਨ
చర్య సందేశం,ਐਕਸ਼ਨ ਸੰਦੇਸ਼
చర్య స్పెసిఫికేషన్,ਐਕਸ਼ਨ ਨਿਰਧਾਰਨ
క్రియాశీలత,ਸਰਗਰਮੀ
క్రియాశీల,ਕਿਰਿਆਸ਼ੀਲ
యాక్టివ్ ఫైల్,ਐਕਟਿਵ ਫਾਈਲ
యాక్టివ్ లైన్,ਐਕਟਿਵ ਲਾਈਨ
క్రియాశీల లింక్,ਕਿਰਿਆਸ਼ੀਲ ਲਿੰਕ
యాక్టివ్ మాస్టర్ ఫైల్,ਐਕਟਿਵ ਮਾਸਟਰ ਫਾਈਲ
యాక్టివ్ మాస్టర్ ఐటెమ్,ਐਕਟਿਵ ਮਾਸਟਰ ਆਈਟਮ
క్రియాశీల ఉపగ్రహం,ਐਕਟਿਵ ਸੈਟੇਲਾਈਟ
యాక్టివ్ స్టేషన్,ਐਕਟਿਵ ਸਟੇਸ਼ਨ
క్రియాశీల నిల్వ,ਐਕਟਿਵ ਸਟੋਰੇਜ
కార్యాచరణ,ਸਰਗਰਮੀ
కార్యాచరణ స్థాయి,ਸਰਗਰਮੀ ਪੱਧਰ
కార్యాచరణ లోడింగ్,ਗਤੀਵਿਧੀ ਲੋਡਿੰਗ
కార్యాచరణ నిష్పత్తి,ਗਤੀਵਿਧੀ ਅਨੁਪਾਤ
వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా),ਅਸਲ ਪਤਾ (= ਪੂਰਨ ਪਤਾ)
వాస్తవ కోడ్ (= సంపూర్ణ కోడ్),ਅਸਲ ਕੋਡ (= ਸੰਪੂਰਨ ਕੋਡ)
వాస్తవ డేటా బదిలీ రేటు,ਅਸਲ ਡੇਟਾ ਟ੍ਰਾਂਸਫਰ ਰੇਟ
వాస్తవ దశాంశ బిందువు,ਅਸਲ ਦਸ਼ਮਲਵ ਬਿੰਦੂ
వాస్తవ సూచన (= ప్రభావవంతమైన సూచన),ਅਸਲ ਹਦਾਇਤਾਂ (= ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਹਦਾਇਤ)
అసలు కీ,ਅਸਲ ਕੁੰਜੀ
అసలు సమయం,ਅਸਲ ਸਮਾਂ
వాస్తవ పని సమయం,ਅਸਲ ਕੰਮ ਦਾ ਸਮਾਂ
సిగ్నల్ యాక్చువేటింగ్,ਅਦਾਕਾਰੀ ਸੰਕੇਤ
అనుకూలత,ਅਨੁਕੂਲਤਾ
అడాప్టర్,ਅਡੈਪਟਰ
అడాప్టివ్ ఛానల్ కేటాయింపు,ਅਡੈਪਟਿਵ ਚੈਨਲ ਅਲਾਟਮੈਂਟ
అడాప్టివ్ ఇంటిగ్రేషన్,ਅਨੁਕੂਲ ਏਕੀਕਰਣ
అడాప్టివ్ ట్రాన్స్వర్సల్ ఈక్వలైజర్,ਅਨੁਕੂਲਤਾ ਦੇ ਟਰਾਂਸਵਰਸਟਲ ਬਰਾਬਰੀ
ఎంట్రీ జోడించబడింది,ਇੰਦਰਾਜ਼ ਸ਼ਾਮਲ ਕੀਤਾ
అనుబంధం,ਐਡੇਂਡ
Adder,ਐਡਰਰ
అడెర్ సబ్‌ట్రాక్టర్,ਐਡਰੈਸਬਰਸਟਰੈਕਟਰ
ఫైల్ జోడించండి,ਫਾਈਲ ਸ਼ਾਮਲ ਕਰੋ
అదనపు అక్షరం (= ప్రత్యేక అక్షరం),ਵਾਧੂ ਅੱਖਰ (= ਵਿਸ਼ੇਸ਼ ਚਰਿੱਤਰ)
అదనంగా రికార్డర్,ਜੋੜ ਰਿਕਾਰਡਰ
అదనంగా పట్టిక,ਜੋੜ ਸਾਰਣੀ
సంకలిత లక్షణం,ਜੋੜ
మోడ్‌ను జోడించండి,ਮੋਡ ਸ਼ਾਮਲ ਕਰੋ
ఆపరేషన్ జోడించండి,ਓਪਰੇਸ਼ਨ ਸ਼ਾਮਲ ਕਰੋ
చిరునామా,ਪਤਾ
చిరునామా కొలత,ਸੰਬੋਧਿਤਯੋਗਤਾ ਉਪਾਅ
చిరునామా క్షితిజ సమాంతర స్థానం,ਪਤਾ ਕਰਨ ਯੋਗ ਹਰੀਜੱਟਲ ਸਥਿਤੀ
చిరునామా పాయింట్,ਪਤਾ ਕਰਨ ਯੋਗ ਬਿੰਦੂ
చిరునామా స్థానం,ਪਤਾ ਕਰਨ ਯੋਗ ਸਥਿਤੀ
చిరునామా రిజిస్టర్,ਪਤਾ ਕਰਨ ਯੋਗ ਰਜਿਸਟਰ
చిరునామా నిల్వ,ਪਤਾ ਕਰਨ ਯੋਗ ਸਟੋਰੇਜ
చిరునామా నిలువు స్థానం,ਪਤਾ ਕਰਨ ਯੋਗ ਲੰਬਕਾਰੀ ਸਥਿਤੀ
చిరునామా బస్సు,ਪਤਾ ਬੱਸ
చిరునామా కోడ్,ਪਤਾ ਕੋਡ
చిరునామా కంపారిటర్,ਪਤਾ ਕੰਪਰੇਟਰ
చిరునామా గణన,ਪਤਾ ਬਕਾਏ
చిరునామా స్థిరాంకం,ਪਤਾ ਲਗਾਤਾਰ
చిరునామా మార్పిడి,ਪਤਾ ਬਦਲਣਾ
చిరునామా డేటా,ਪਤਾ ਡਾਟਾ
చిరునామా మెమరీ,ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ
చిరునామా ప్రభావవంతంగా ఉంటుంది,ਪਤਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ
చిరునామా ఫీల్డ్,ਪਤਾ ਖੇਤਰ
చిరునామా ఆకృతి,ਪਤਾ ਫਾਰਮੈਟ
చిరునామా ఉచిత ప్రోగ్రామ్,ਪਤਾ ਮੁਫਤ ਪ੍ਰੋਗਰਾਮ
చిరునామా,ਸੰਬੋਧਨ ਕਰਨਾ
"చిరునామా
 పాత్ర","ਸੰਬੋਧਨ ਕਰਨਾ
 ਅੱਖਰ"
అంతరాయాన్ని పరిష్కరించడం,ਰੁਕਾਵਟ ਨੂੰ ਸੰਬੋਧਿਤ ਕਰਨਾ
చిరునామా లూప్,ਪਤਾ ਲਗਾਉਣ
వర్చువల్ మెమరీని పరిష్కరించడం,ਵਰਚੁਅਲ ਮੈਮੋਰੀ ਨੂੰ ਸੰਬੋਧਨ ਕਰਨਾ
చిరునామా ఇంటర్లేసింగ్,ਪਤਾ ਲਗਾਉਣਾ
చిరునామా లేని సూచనల ఆకృతి,ਬਰੇਸ਼ਨ ਰਹਿਤ ਨਿਰਦੇਸ਼ ਦਾ ਫਾਰਮੈਟ
చిరునామా లైన్,ਐਡਰੈੱਸ ਲਾਈਨ
చిరునామా మ్యాపింగ్,ਪਤਾ ਮੈਪਿੰਗ
చిరునామా గుర్తు,ਪਤਾ ਮਾਰਕ
చిరునామా మార్పు,ਪਤਾ ਸੋਧ
చిరునామా భాగం,ਪਤਾ ਭਾਗ
చిరునామా పాయింటర్,ਪਤਾ ਪੁਆਇੰਟਰ
చిరునామా రిజిస్టర్,ਪਤਾ ਰਜਿਸਟਰ
చిరునామా సిగ్నల్,ਪਤਾ ਸਿਗਨਲ
చిరునామా పరిమాణం,ਪਤਾ ਅਕਾਰ
చిరునామా స్థలం,ਪਤਾ ਸਪੇਸ
చిరునామా స్పేస్ ఐడెంటిఫైయర్,ਪਤਾ ਸਪੇਸ ਪਛਾਣਕਰਤਾ
చిరునామా స్టాప్,ਪਤਾ ਬੰਦ
చిరునామా ట్రేస్,ਪਤਾ ਟਰੇਸ
చిరునామా ట్రాక్,ਪਤਾ ਟਰੈਕ
చిరునామా అనువాదం,ਪਤਾ ਅਨੁਵਾਦ
చిరునామా అనువాదకుడు,ਪਤਾ ਅਨੁਵਾਦਕ
జోడించు-ఉపశమనం సమయం,ਸ਼ਾਮਲ ਕਰੋ-ਘਟਾਓ
సమయాన్ని జోడించండి,ਸਮਾਂ ਸ਼ਾਮਲ ਕਰੋ
ప్రక్కనే,ਅਡਜੈਂਸੀ
ప్రక్కనే ఉన్న నిర్మాణం,ਐਡਜੈਂਸੀ structure ਾਂਚਾ
ప్రక్కనే ఉన్న ఛానల్,ਨਾਲ ਲੱਗਦੇ ਚੈਨਲ
ప్రక్కనే ఉన్న డొమైన్,ਨਾਲ ਲੱਗਦੇ ਡੋਮੇਨ
ప్రక్కనే ఉన్న మాతృక,ਨਾਲ ਲੱਗਦੀ ਮੈਟ੍ਰਿਕਸ
ప్రక్కనే ఉన్న నోడ్,ਨਾਲ ਲੱਗਦੀ ਨੋਡ
ప్రక్కనే ఉన్న సబ్‌యారియా,ਆਸ ਪਾਸ ਦੇ ਉਪਰਾਸਾ
అడ్జాయింట్ (సిస్టమ్),ਐਡਰਜਾਈਨ (ਸਿਸਟਮ)
సర్దుబాటు,ਵਿਵਸਥਤ ਕਰੋ
సర్దుబాటు పరిధి,ਵਿਵਸਥਤ ਹੱਦ ਤੱਕ
టెక్స్ట్ మోడ్‌ను సర్దుబాటు చేయండి,ਟੈਕਸਟ ਮੋਡ ਨੂੰ ਵਿਵਸਥਤ ਕਰੋ
అడ్మినిస్ట్రేటివ్ డేటా ప్రాసెసింగ్,ਪ੍ਰਬੰਧਕੀ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ
పరిపాలనా ఆపరేషన్,ਪ੍ਰਬੰਧਕੀ ਕਾਰਵਾਈ
అడ్మినిస్ట్రేటివ్ ఆపరేటర్,ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ
అడ్మినిస్ట్రేటివ్ ఆపరేటర్ స్టేషన్,ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ ਸਟੇਸ਼ਨ
పరిపాలనా మద్దతు వ్యవస్థ,ਪ੍ਰਬੰਧਕੀ ਸਹਾਇਤਾ ਸਿਸਟਮ
అధునాతన కమ్యూనికేషన్ సేవ,ਤਕਨੀਕੀ ਸੰਚਾਰ ਸੇਵਾ
అధునాతన సమాచార వ్యవస్థ,ਐਡਵਾਂਸਡ ਜਾਣਕਾਰੀ ਸਿਸਟਮ
అధునాతనమైన ఆప్టికల్ క్యారెక్టర్ రీడర్,ਐਡਵਾਂਸਡ ਆਪਟੀਕਲ ਅੱਖਰ ਪਾਠਕ
అధునాతన శాస్త్రీయ కంప్యూటర్,ਤਕਨੀਕੀ ਵਿਗਿਆਨਕ ਕੰਪਿ computer ਟਰ
ఆకాశయాన,ਏਰੀਅਲ
మొత్తం,ਸਮੁੱਚੀ
మొత్తం వ్యక్తీకరణ,ਸਮੁੱਚੀ ਸਮੀਕਰਨ
లక్ష్య వృత్తం,ਉਦੇਸ਼ ਸਰਕਲ
లక్ష్యం ఫీల్డ్ (= లక్ష్యం చిహ్నం),ਉਦੇਸ਼ ਖੇਤਰ (= ਪ੍ਰਤੀਕ ਦਾ ਨਿਸ਼ਾਨਾ)
లక్ష్యం చిహ్నం,ਪ੍ਰਤੀਕ ਬਣਾਉਣਾ
వాయుమార్గాన కంప్యూటర్ వ్యవస్థ,ਏਅਰਬੋਰਨ ਕੰਪਿ Computer ਟਰ ਸਿਸਟਮ
బీజగణిత ఈజెన్వాల్యూ సమస్య,ਅਲਜਬ੍ਰਿਕ ਈਗਨਵੈਲਯੂ ਦੀ ਸਮੱਸਿਆ
"బీజగణితం
 అనుసంధానం","ਅਲਜਬ੍ਰਿਕ
 ਏਕੀਕਰਣ"
బీజగణిత భాష,ਅਲਜਬ੍ਰਿਕ ਭਾਸ਼ਾ
బీజగణిత మానిప్యులేషన్,ਅਲਜਬਰਾਇਕ ਹੇਰਾਫੇਰੀ
బీజగణిత మానిప్యులేషన్ భాష,ਅਲਜਬਰਾਇਕ ਹੇਰਾਫੇਰੀ ਭਾਸ਼ਾ
బీజగణిత ఆధారిత భాష,ਐਲਜਬਰੇਕ ਅਧਾਰਤ ਭਾਸ਼ਾ
బీజగణిత షిఫ్ట్,ਅਲਜਬੈਰਾਿਕ ਸ਼ਿਫਟ
బీజగణిత సంకేత సమావేశం,ਐਲਜਬ੍ਰਿਕ ਸਾਈਨ ਕਨਵੈਨਸ਼ਨ
ఆల్గోల్,ਐਲਗੋਲ
ఆల్గోల్ ఫీచర్,ਐਲਗੋਲ ਵਿਸ਼ੇਸ਼ਤਾ
ఆల్గోల్ ప్రోగ్రామింగ్,ਐਲਗੋਲ ਪ੍ਰੋਗਰਾਮਿੰਗ
అల్గోరిథం,ਐਲਗੋਰਿਦਮ
అల్గోరిథం అసోసియేటివ్ లాంగ్వేజ్,ਐਲਗੋਰਿਦਮ ਐਸੋਸੀਏਟਿਵ ਭਾਸ਼ਾ
అల్గోరిథం వర్గీకరణ,ਐਲਗੋਰਿਦਮ ਵਰਗੀਕਰਣ
అల్గోరిథం సంక్లిష్టత,ਐਲਗੋਰਿਦਮ ਦੀ ਗੁੰਝਲਤਾ
అల్గోరిథం కంప్యూటబిలిటీ,ਐਲਗੋਰਿਦਮ ਕੰਪੂਟਿਟੀ
అల్గోరిథమిక్ విశ్లేషణ,ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ
అల్గోరిథమిక్ విధానం,ਐਲਗੋਰਿਦਮਿਕ ਪਹੁੰਚ
అల్గోరిథమిక్ భాష,ਐਲਗੋਰਿਦਮਿਕ ਭਾਸ਼ਾ
అల్గోరిథమిక్ దినచర్య,ਐਲਗੋਰਿਦਮਿਕ ਰੁਟੀਨ
అల్గోరిథమిక్ సిద్ధాంతం,ਐਲਗੋਰਿਧੀਮਿਕ ਸਿਧਾਂਤ
అలియాస్,ਉਪਨਾਮ
అలియాసింగ్,ਅਲਾਇਸਿੰਗ
అలియాస్ పేరు (= ప్రత్యామ్నాయ పేరు),ਅਲਾਇਸ ਨਾਮ (= ਵਿਕਲਪਿਕ ਨਾਮ)
అమరిక,ਅਲਾਈਨਮੈਂਟ
కేటాయించండి,ਨਿਰਧਾਰਤ ਕਰੋ
కేటాయింపు నిర్మాణం,ਅਲਾਕਸੇਸ਼ਨ structure ਾਂਚਾ
ఆల్-పర్పస్ కంప్యూటర్,ਸਾਰੇ-ਉਦੇਸ਼ ਕੰਪਿ computer ਟਰ
అక్షర పాత్ర,ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ
అక్షర అక్షర సమితి,ਵਰਣਮਾਲਾ ਅੱਖਰ ਸੈਟ
అక్షర అక్షర ఉపసమితి,ਵਰਣਮਾਲਾ ਅੱਖਰ ਸਬਸੈੱਟ
అక్షర కోడ్,ਵਰਣਮਾਲਾ ਕੋਡ
అక్షర షిఫ్ట్,ਵਰਣਮਾਲਾ ਸ਼ਿਫਟ
అక్షర స్ట్రింగ్,ਵਰਣਮਾਲਾ ਸਤਰ
అక్షర పదం,ਵਰਣਮਾਲਾ ਸ਼ਬਦ
వర్ణమాల,ਵਰਣਮਾਲਾ
ఆల్ఫాజియోమెట్రిక్స్,ਕਫਾਈਜੋਮੈਟ੍ਰਿਕਸ
ఆల్ఫామెరిక్,ਅਲਫ਼ਾਮਿਕ
ఆల్ఫామోసాయిక్,ਅਲਫੋਮੋਸੈਕ
ఆల్ఫాన్యూమరిక్,ਅਲਫਾਨੁਮਿਕ
ఆల్ఫాన్యూమరికల్ కీబోర్డ్ పరికరం,ਅਲਫਾਨੂਮੇਰਿਕਲ ਕੀਬੋਰਡ ਡਿਵਾਈਸ
ఆల్ఫాన్యూమరిక్ క్యారెక్టర్ సెట్,ਅਲਫਾਨੁਮਿਕ ਅੱਖਰ ਸਮੂਹ
ఆల్ఫాన్యూమరిక్ కోడ్,ਅੱਖਰ ਕੋਡ
ఆల్ఫాన్యూమరిక్ కోడెడ్ క్యారెక్టర్ సెట్,ਅੱਖਰ ਕੋਡਿਡ ਅੱਖਰ ਸਮੂਹ
ఆల్ఫాన్యూమరిక్ డేటా,ਅਲਫਾਨੁਮਿਕ ਡੇਟਾ
ఆల్ఫాన్యూమరిక్ డిస్ప్లే పరికరం,ਅਲਫਾਨਮੋਰਿਕ ਡਿਸਪਲੇਅ ਡਿਵਾਈਸ
ఆల్ఫాన్యూమరిక్ సవరించిన పాత్ర,ਅੱਖਰ ਸੰਪਾਦਕੀ ਅੱਖਰ
ఆల్ఫాన్యూమరిక్ ఫీల్డ్,ਅਲਫਾਨੁਮਿਕ ਖੇਤਰ
ఆల్ఫాన్యూమరిక్ ఇన్స్ట్రక్షన్,ਅਲਫਨੀਮਿਕ ਹਦਾਇਤ
ఆల్ఫాన్యూమరిక్ కీబోర్డ్,ਅਲਫਾਨੁਮਿਕ ਕੀਬੋਰਡ
ఆల్ఫాన్యూమరిక్ విధమైన,ਅੱਖਰ ਛਾਂਟੀ
ఆల్ఫాన్యూమరిక్ స్టోరేజ్,ਅਲਫਾਨਮੂਮਿਕ ਸਟੋਰੇਜ
మార్చగల మెమరీ,ਅਸ਼ੁੱਧ ਮੈਮੋਰੀ
మార్పు స్విచ్,ਤਬਦੀਲੀ ਸਵਿੱਚ
మార్చడం,ਬਦਲਣਾ
ఆల్టర్ మోడ్,ਬਦਲੋ
ప్రత్యామ్నాయ రికవరీ,ਵਿਕਲਪਿਕ ਰਿਕਵਰੀ
ప్రత్యామ్నాయ మార్గం,ਵਿਕਲਪੀ ਰਸਤੇ
ప్రత్యామ్నాయ రౌటింగ్,ਵਿਕਲਪਿਕ ਰੂਟਿੰਗ
ప్రత్యామ్నాయ ట్రాక్,ਵਿਕਲਪਿਕ ਟਰੈਕ
ప్రత్యామ్నాయం (= లేదా ఆపరేషన్),ਬਦਲ (= ਜਾਂ ਆਪ੍ਰੇਸ਼ਨ)
ప్రత్యామ్నాయ లక్షణం,ਵਿਕਲਪਕ ਗੁਣ
ప్రత్యామ్నాయ తిరస్కరణ (= మరియు ఆపరేషన్ కాదు),ਵਿਕਲਪਿਕ ਇਨਕਾਰ (= ਨਾ-ਅਤੇ ਓਪਰੇਸ਼ਨ)
అస్పష్టత లోపం,ਅਸਪਸ਼ਟਤਾ ਗਲਤੀ
అస్పష్టమైన సూచన,ਅਸਪਸ਼ਟ ਹਵਾਲਾ
అనలాగ్,ਐਨਾਲਾਗ
అనలాగ్ యాడర్,ਐਨਾਲਾਗ ਐਡਰਰ
అనలాగ్ ఛానల్,ਐਨਾਲਾਗ ਚੈਨਲ
అనలాగ్ కంప్యూటర్,ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ
అనలాగ్ కన్వర్టర్,ਐਨਾਲਾਗ ਕਨਵਰਟਰ
అనలాగ్ డేటా,ਐਨਾਲਾਗ ਡੇਟਾ
అనలాగ్ డివైడర్,ਐਨਾਲਾਗ ਡਿਵਾਈਡਰ
అనలాగ్ ఫెసిలిటీ టెర్మినల్,ਐਨਾਲਾਗ ਸਹੂਲਤ ਟਰਮੀਨਲ
"అనలాగ్ ఫంక్షన్
 జనరేటర్","ਐਨਾਲਾਗ ਫੰਕਸ਼ਨ
 ਜੇਨਰੇਟਰ"
అనలాగ్ ఇంటిగ్రేషన్,ਐਨਾਲਾਗ ਏਕੀਕਰਣ
అనలాగ్ గుణకం,ਐਨਾਲਾਗ ਮਲਟੀਪਲਾਇਰ
అనలాగ్ ప్రోగ్రామింగ్,ਐਨਾਲਾਗ ਪ੍ਰੋਗਰਾਮਿੰਗ
అనలాగ్ స్కేలింగ్,ਐਨਾਲਾਗ ਸਕੇਲਿੰਗ
అనలాగ్ సిగ్నల్,ਐਨਾਲਾਗ ਸਿਗਨਲ
అనలాగ్ అనుకరణ,ਐਨਾਲਾਗ ਸਿਮੂਲੇਸ਼ਨ
అనలాగ్ స్విచ్,ਐਨਾਲਾਗ ਸਵਿਚ
అనలాగ్ వ్యవస్థ,ਐਨਾਲਾਗ ਸਿਸਟਮ
"డిజిటల్‌కు అనలాగ్
 కన్వర్టర్","ਐਨਾਲਾਗ ਡਿਜੀਟਲ
 ਕਨਵਰਟਰ"
"డిజిటల్‌కు అనలాగ్
 ఎన్కోడర్","ਐਨਾਲਾਗ ਡਿਜੀਟਲ
 ਏਨਕੋਡਰ"
అనలాగ్ ట్రాన్స్మిషన్,ਐਨਾਲਾਗ ਪ੍ਰਸਾਰਣ
అనలాగ్ రకం,ਐਨਾਲਾਗ ਕਿਸਮ
విశ్లేషణ బ్లాక్,ਵਿਸ਼ਲੇਸ਼ਣ ਬਲਾਕ
విశ్లేషణ మోడ్,ਵਿਸ਼ਲੇਸ਼ਣ ਮੋਡ
విశ్లేషణాత్మక ఇంజిన్,ਵਿਸ਼ਲੇਸ਼ਣ ਇੰਜਣ
పూర్వీకుల పని,ਪੂਰਵਜ ਦਾ ਕੰਮ
సహాయక పరికరాలు,ਸਹਾਇਕ ਉਪਕਰਣ
మరియు,ਅਤੇ
మరియు సర్క్యూట్,ਅਤੇ ਸਰਕਟ
మరియు మూలకం,ਅਤੇ ਤੱਤ
మరియు గేట్,ਅਤੇ ਗੇਟ
మరియు మాస్కింగ్,ਅਤੇ ਮਾਸਕਿੰਗ
మరియు ఆపరేషన్ కాదు (= మినహాయింపు,ਅਤੇ ਓਪਰੇਸ਼ਨ ਨਹੀਂ (= ਬਾਹਰ ਕੱ .ਣਾ)
మరియు ఆపరేషన్,ਅਤੇ ਓਪਰੇਸ਼ਨ
అనెక్స్ మెమరీ,ਅਨੇਕਸ ਮੈਮੋਰੀ
ఉల్లేఖనం,ਐਨੋਟੇਸ਼ਨ
అనన్సియేటర్,ਐਨੀਨੀਸੀਆਟਰ
తిరిగి సమాధానం ఇవ్వండి,ਵਾਪਸ ਜਵਾਬ
సమాధానం ఆలస్యం,ਉੱਤਰ ਦੇਰੀ
సమయం సమాధానం,ਜਵਾਬ ਦੇਣ ਦਾ ਸਮਾਂ
సమాధానం దీపం,ਦੀਵੇ ਦਾ ਜਵਾਬ
జవాబు జాబితా,ਜਵਾਬ ਸੂਚੀ
సమాధానం మాత్రమే,ਜਵਾਬ ਸਿਰਫ
Ntic హించే మోడ్,ਐਂਟੀਪੇਸ਼ਨ ਮੋਡ
ముందస్తు బఫరింగ్,ਅਨੁਮਾਨਤ ਬਫਰਿੰਗ
