English,Hindi,Assamese,Bengali,Gujarati,Kannada,Malayalam,Marathi,Odiya,Punjabi,Tamil,Telugu
absorbing,"अवशोषी, चित्‍ताकर्षक",শোষণ কৰা,শোষণকারী,શોષક,ಹೀರಿಕೊಳ್ಳುವ,ആഗിരണം ചെയ്യുന്നു,शोषक,ଶୋଷଣ,ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ,உறிஞ்சும்,గ్రహించుట
abstract style,अमूर्त शैली,বিমূৰ্ত শৈলী,বিমূর্ত শৈলী,અમૂર્ત શૈલી,ಅಮೂರ್ತ ಶೈಲಿ,അമൂർത്തമായ ശൈലി,अमूर्त शैली,ବିସ୍ତୃତ ଶ style ଳୀ |,ਅਮੂਰਤ ਸ਼ੈਲੀ,சுருக்க பாணி,నైరూప్య శైలి
abstract symbol,अमूर्त प्रतीक,বিমূৰ্ত চিহ্ন,বিমূর্ত প্রতীক,અમૂર્ત પ્રતીક,ಅಮೂರ್ತ ಚಿಹ್ನೆ,അമൂർത്ത ചിഹ്നം,अमूर्त चिन्ह,ବିସ୍ତୃତ ପ୍ରତୀକ |,ਅਮੂਰਤ ਪ੍ਰਤੀਕ,சுருக்க சின்னம்,నైరూప్య చిహ్నం
abut,सीमा-स्पर्शन,আবুট,সম্পর্কে,લગભગ,abut,അബട്ട്,बद्दल,abut,ਬਾਰੇ,abut,abut
abutment,"अंत्याधार, पीलपाया",abutment,abutment,એબ્યુટમેન્ટ,ತಳಹದಿ,അബട്ട്മെന്റ്,abutment,abutment,abutment,அடிவாங்கல்,ఆనకట్ట
academic archaeology,शैक्षिक पुरातत्व,একাডেমিক পুৰাতত্ত্ব,একাডেমিক প্রত্নতত্ত্ব,શૈક્ષણિક પુરાતત્વ,ಶೈಕ್ಷಣಿಕ ಪುರಾತತ್ತ್ವ ಶಾಸ್ತ್ರ,അക്കാദമിക് ആർക്കിയോളജി,शैक्षणिक पुरातत्व,ଏକାଡେମିକ୍ ପ୍ରତ୍ନତତ୍ତ୍ୱ |,ਅਕਾਦਮਿਕ ਪੁਰਾਤੱਤਵ,கல்வி தொல்லியல்,విద్యా పురావస్తు శాస్త్రం
academy,अकादमी; विद्वत्परिषद,একাডেমী,একাডেমি,અકાદમી,ಅಕಾಡೆಮಿ,അക്കാദമി,अकादमी,ଏକାଡେମୀ,ਅਕੈਡਮੀ,கலைக்கூடம்,అకాడమీ
acanthus,आकैंथस कंटकी-पर्णक,acanthus,অ্যাকান্থাস,એકાન્થસ,ಅಕಾಂಥಸ್,അകാന്തസ്,ऍकॅन्थस,ଆକାଣ୍ଟସ୍ |,acanthus,அகந்தஸ்,అకాంతస్
accelerated againg test,त्वरित काल-प्रभावन-परीक्षण,ত্বৰান্বিত againg পৰীক্ষা,ত্বরান্বিত পুনরায় পরীক্ষা,ત્વરિત ફરીથી પરીક્ષણ,ಪರೀಕ್ಷೆಯನ್ನು ಮತ್ತೆ ವೇಗಗೊಳಿಸಲಾಗಿದೆ,വീണ്ടും പരിശോധന ത്വരിതപ്പെടുത്തി,प्रवेगक पुन्हा चाचणी,ତ୍ୱରିତ ଆଗିଙ୍ଗ୍ ପରୀକ୍ଷା |,ਤੇਜ਼ੀ ਨਾਲ ਦੁਬਾਰਾ ਟੈਸਟ,சோதனை மீண்டும் துரிதப்படுத்தப்பட்டது,మళ్లీ పరీక్షను వేగవంతం చేసింది
access door,छद्मरंध्र,প্ৰৱেশ দুৱাৰ,ঢোকার দরজা,પ્રવેશ દરવાજો,ಪ್ರವೇಶ ಬಾಗಿಲು,പ്രവേശന വാതിൽ,प्रवेश दरवाजा,ପ୍ରବେଶ ଦ୍ୱାର |,ਪਹੁੰਚ ਦਾ ਦਰਵਾਜ਼ਾ,அணுகல் கதவு,యాక్సెస్ తలుపు
accession,"परिग्रहण, परिगृहीति, राज्‍यारोहण",যোগদান,যোগদান,પ્રવેશ,ಸೇರ್ಪಡೆ,പ്രവേശനം,प्रवेश,ଯୋଗଦାନ,ਪਹੁੰਚ,சேருதல்,చేరిక
accession list,परिग्रहण सूची,যোগদান তালিকা,যোগদান তালিকা,પ્રવેશ યાદી,ಪ್ರವೇಶ ಪಟ್ಟಿ,പ്രവേശന പട്ടിക,प्रवेश यादी,ଯୋଗଦାନ ତାଲିକା |,ਪਹੁੰਚ ਸੂਚੀ,சேர்க்கை பட்டியல்,ప్రవేశ జాబితా
accessioning,परिगृहीतीकरण,যোগদান কৰা,যোগদান,પ્રવેશ,ಸೇರ್ಪಡೆಗೊಳ್ಳುವುದು,പ്രവേശനം,प्रवेश,ଯୋଗଦାନ,ਪਹੁੰਚ,சேருதல்,చేరడం
accolade,वक्रसज्जा पट्टी,প্ৰশংসা,প্রশংসা,વખાણ,ಪುರಸ್ಕಾರ,പ്രശംസ,प्रशंसा,ପ୍ରଶଂସା,ਪ੍ਰਸ਼ੰਸਾ,பாராட்டு,ప్రశంసలు
account,विवरण,একাউণ্ট,অ্যাকাউন্ট,એકાઉન્ટ,ಖಾತೆ,അക്കൗണ്ട്,खाते,ଖାତା,ਖਾਤਾ,கணக்கு,ఖాతా
accouplement,युग्मन,accouplement,পরিপূরক,સહાયક,ಪೂರಕ,കൂട്ടുകെട്ട്,पूरक,ଯୋଗଦାନ,ਪੂਰਤੀ,துணை,అనుబంధం
Accra conference,अक्रा सम्मेलन,আক্ৰা সন্মিলন,আকরা সম্মেলন,અકરા કોન્ફરન્સ,ಅಕ್ರಾ ಸಮ್ಮೇಳನ,അക്ര സമ്മേളനം,अक्रा परिषद,ଆକ୍ରା ସମ୍ମିଳନୀ |,ਅਕਰਾ ਕਾਨਫਰੰਸ,அக்ரா மாநாடு,అక్ర సమావేశం
accruals,"प्रोद्भूत सामग्री, उपचित सामग्री",accruals,সঞ্চয়,સંસાધનો,ಸಂಚಯಗಳು,സമാഹരണങ്ങൾ,जमा,ଆକ୍ରୁଏଲ୍,ਪ੍ਰਾਪਤੀ,திரட்டல்கள்,సంచితాలు
acculturation,"परसंस्कृति-ग्रहण, उत्संस्करण",সংস্কৃতিকৰণ,সংযোজন,સંવર્ધન,ಸಂಸ್ಕಾರ,സംസ്കരണം,संवर्धन,ଉଚ୍ଚାରଣ,ਸੰਸ਼ੋਧਨ,வளர்ப்பு,సంస్కారము
accusation,आरोप,অভিযোগ,অভিযোগ,આરોપ,ಆರೋಪ,ആരോപണം,आरोप,ଅଭିଯୋଗ,ਦੋਸ਼,குற்றச்சாட்டு,ఆరోపణ
accustic effect,ध्वनिक प्रभाव,accustic প্ৰভাৱ,অভিযুক্ত প্রভাব,એક્યુસ્ટિક અસર,ಆಕ್ಷೇಪಾರ್ಹ ಪರಿಣಾಮ,കുറ്റകരമായ പ്രഭാവം,अभियोगात्मक प्रभाव,ଆକ୍ୟୁଷ୍ଟିକ୍ ପ୍ରଭାବ |,ਦੋਸ਼ ਪ੍ਰਭਾਵ,பழக்கமான விளைவு,అలవాటు ప్రభావం
Aceldama,"एसेलडामा, फि‍लि‍स्तीन का स्थान",এচেলডামা,অ্যাসেলডামা,એસેલડામા,ಅಸೆಲ್ಡಾಮಾ,അസെൽഡാമ,एसेलडामा,ଆକେଲଡାମା |,ਐਸੇਲਡਾਮਾ,அசெல்டாமா,అసెల్డామా
Achaean (=Achian),एकियायी,আচিয়ান (=আচিয়ান),আচিয়ান (=আচিয়ান),અચેઅન (=અચિયન),ಅಚೆಯನ್ (=ಅಚಿಯನ್),അച്ചായൻ (=അച്ചിയൻ),आचियन (=अचियन),ଆଖିଆନ୍ (= ଆଚିଆନ୍),ਅਚੀਅਨ (=ਅਚੀਅਨ),அச்சேயன் (=ஆச்சியன்),అచెయన్ (=అచియన్)
Achaean League (=Achian League),एकीयायी लीग,আচিয়ান লীগ (=আচিয়ান লীগ),আচিয়ান লীগ (=আচিয়ান লীগ),આચિયન લીગ (=એચિયન લીગ),ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್),അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്),आचियन लीग (=अचियन लीग),ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍),ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ),அச்சேயன் லீக் (=ஆச்சியன் லீக்),అచెయన్ లీగ్ (=అచియన్ లీగ్)
Acheulean age,ऐश्यूली युग,আচেউলিয়ান বয়স,আচিউলিয়ান বয়স,અચેયુલિયન વય,ಅಚೆಯುಲಿಯನ್ ವಯಸ್ಸು,അച്ച്യൂലിയൻ പ്രായം,Acheulean वय,ଆଚୁଲିଆନ୍ ବୟସ |,Acheulean ਉਮਰ,அச்சுலியன் வயது,అచెయులియన్ వయస్సు
acheulean biface,ऐश्यूली द्विमुख,acheulean দ্বিমুখী,acheulean biface,અચેયુલિયન બાયફેસ,ಅಚೆಯುಲಿಯನ್ ಬೈಫೇಸ್,അച്ച്യൂലിയൻ ദ്വിമുഖം,acheulean biface,acheulean biface |,acheulean biface,அச்சுலியன் இருமுனை,అచెయులియన్ బైఫేస్
acheulean epoch,ऐश्यूली युग,acheulean যুগ,আচিউলিয়ান যুগ,અચેયુલિયન યુગ,ಅಚೆಯುಲಿಯನ್ ಯುಗ,അച്ച്യൂലിയൻ യുഗം,acheulean epoch,acheulean ଯୁଗ |,acheulean ਯੁੱਗ,அச்சுலியன் சகாப்தம்,అచెయులియన్ యుగం
acheulean flake,ऐश्यूली शल्क,acheulean ফ্লেক,acheulean flake,અચેયુલિયન ફ્લેક,ಅಚೆಯುಲಿಯನ್ ಫ್ಲೇಕ್,അച്ച്യൂലിയൻ അടരുകളായി,acheulean flake,acheulean flake,acheulean flake,அச்சுலியன் செதில்,అచెయులియన్ ఫ్లేక్
acheulio-levalloisian,ऐश्यूली लवालुसियाई,acheulio-লেভাল&#39;ইচিয়ান,acheulio-levalloisian,acheulio-levalloisian,ಅಚೆಲಿಯೊ-ಲೆವಾಲ್ಲೋಸಿಯನ್,അച്ച്യൂലിയോ-ലെവല്ലോസിയൻ,acheulio-levalloisian,acheulio-levalloisian |,acheulio-levalloisian,acheulio-levalloisian,acheulio-levalloisian
acid-free paper,अम्लमुक्त कागज,এচিডমুক্ত কাগজ,অ্যাসিড-মুক্ত কাগজ,એસિડ-મુક્ત કાગળ,ಆಮ್ಲ-ಮುಕ್ತ ಕಾಗದ,ആസിഡ് രഹിത പേപ്പർ,आम्ल मुक्त कागद,ଏସିଡ୍ ମୁକ୍ତ କାଗଜ |,ਐਸਿਡ-ਮੁਕਤ ਕਾਗਜ਼,அமிலம் இல்லாத காகிதம்,యాసిడ్ రహిత కాగితం
acolyte,अनुचर,acolyte,অ্যাকোলাইট,એકોલિટ,ಅಕೋಲೈಟ್,അക്കോലൈറ്റ്,acolyte,ଆକୋଲାଇଟ୍ |,acolyte,கூட்டாளி,సహచరుడు
acoma water jar,पानी का एकोमा मर्तबान,acoma পানীৰ জাৰ,অ্যাকোমা জলের পাত্র,એકોમા પાણીની બરણી,ಅಕೋಮಾ ನೀರಿನ ಜಾರ್,അക്കോമ വെള്ളം പാത്രം,अकोमा पाण्याचे भांडे,ଆକୋମା ପାଣି ପାତ୍ର |,ਅਕੋਮਾ ਪਾਣੀ ਦਾ ਸ਼ੀਸ਼ੀ,அகோமா தண்ணீர் ஜாடி,అకోమా నీటి కూజా
acorn knob,बंजुफलसम मुठिया,acorn নব,acorn knob,એકોર્ન નોબ,ಓಕ್ ಗುಬ್ಬಿ,അക്രോൺ മുട്ട്,acorn knob,ଏକରନ୍ ଗଣ୍ଠି |,acorn knob,ஏகோர்ன் குமிழ்,అకార్న్ నాబ్
acoustic,ध्वनिक,একাউষ্টিক,শাব্দিক,એકોસ્ટિક,ಅಕೌಸ್ಟಿಕ್,അക്കോസ്റ്റിക്,ध्वनिक,ଶବ୍ଦ,ਧੁਨੀ,ஒலியியல்,ధ్వని సంబంధమైన
acoustic feature,भौतिक ध्वनि लक्षण,ধ্বনিগত বৈশিষ্ট্য,শাব্দ বৈশিষ্ট্য,એકોસ્ટિક લક્ષણ,ಅಕೌಸ್ಟಿಕ್ ವೈಶಿಷ್ಟ್ಯ,അക്കോസ്റ്റിക് സവിശേഷത,ध्वनिक वैशिष्ट्य,ଶବ୍ଦ ବ feature ଶିଷ୍ଟ୍ୟ |,ਧੁਨੀ ਵਿਸ਼ੇਸ਼ਤਾ,ஒலியியல் அம்சம்,ధ్వని లక్షణం
acoustic tile,ध्वनिसोख टाइल,একাউষ্টিক টাইল,শাব্দ টাইল,એકોસ્ટિક ટાઇલ,ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್,അക്കോസ്റ്റിക് ടൈൽ,ध्वनिक टाइल,ଆକାଶବାଣୀ ଟାଇଲ୍ |,ਧੁਨੀ ਟਾਇਲ,ஒலி ஓடு,ధ్వని టైల్
acrolith,"काष्ठाश्म, पत्‍थर के किनारे वाली काष्‍ठ मूर्ति",acrolith,অ্যাক্রোলিথ,એક્રોલિથ,ಅಕ್ರೊಲಿತ್,അക്രോലിത്ത്,ऍक्रोलिथ,ଆକ୍ରୋଲିଥ୍ |,ਐਕਰੋਲਿਥ,அக்ரோலித்,అక్రోలిత్
Acropolis,"एक्रोपोलिस, गढ़ी, नगरकोट",এক্ৰ&#39;পলিছ,অ্যাক্রোপলিস,એક્રોપોલિસ,ಆಕ್ರೊಪೊಲಿಸ್,അക്രോപോളിസ്,एक्रोपोलिस,ଆକ୍ରୋପଲିସ୍ |,ਐਕ੍ਰੋਪੋਲਿਸ,அக்ரோபோலிஸ்,అక్రోపోలిస్
