Marathi,English
वेठी पीक,alley cropping
पूर्णता,allocarpy
गर्भाधान,allogamy
1. सापेक्षता 2. अॅलोमेट्री,allometry
मल्टिप्लॉइडी,allopolyploid
1. पॅराझिगोसिटी,allosynapsis (allosyndesis)
1. पर्यायी वर्ष कार्य 2. पर्यायी कार्य,alternate bearing
पर्यायी जमिनीचा वापर,alternate land use
वातावरण,ambient
सुधारक,ameliorant
मायटोसिस,amitosis
आमीनान,amminization
अमोनियन,ammonification
amniferous,ammonifier
1. अप्रभावी रूप 2. अरुपी,amorph
उभयचर मिश्रण,amphimixis
एम्फोटेरिक,amphoteric
साठा करणे,anabolism
1. ऍनेरोबिक 2. ऍनेरोबिक जीव,anaerobe
हॅप्लॉइड,aneuploid
टोकदार लागवड,angle planting
पशुसंवर्धन,animal husbandry
प्राण्यांचे मलमूत्र,animal refuse
जिवंत ऊर्जा,animate energy
विसंगत,anisoploid
एक वर्ष जुनी वनस्पती,annual plant
वार्षिक,annual
1. परमानंद 2. तेज,anthesis
ऍन्थ्रॅक्स,anthrax
मानववंशजन्य घटक,anthropogenic factor
जगणे,antibiosis
1. प्रतिजैविक 2. प्रतिजैविक,antibiotic
तिरस्करणीय,antidote
अँटिऑक्सिडंट,antioxidants
अँटीटॉक्सिन,antitoxin
अनामिका,anulus
1. ऍफिड 2. महू 3. चेपा,aphid
शीर्ष अंकुर,apical bud
शिखर प्रभावीता,apical dominance
मधमाशी पालन,apiculture (bee keeping)
लैंगिकता,apomixis
apoptosis,apoptosis
परिशिष्ट,appendage
भूक वाढवणारे,appetizer
लागू,applied
जलीय तण,aquatic weed
1. झाड 2. वृक्षवासी,arboreal
शाखा,arborization
प्रोटोबोटॅनिकल रेकॉर्ड,archaeo-botanical records
झोन क्रमांक,area statistics
1. क्षेत्रफळ 2. क्षेत्रफळ,area
कोरडे इकोसिस्टम,arid ecosystem
cotyledon,aril
सौरभ,aroma
सुगंधी वनस्पती,aromatic plant
सुवासिक तांदूळ,aromatic rice
इक्षु पुष्पन,arrowing
ऍसेप्टिक,asepsis
1. ऍसेप्टिक 2. ऍसेप्टिक,aseptic
अलैंगिक पुनरुत्पादन,asexual propagation
आकार,assay
मालमत्ता,assets
1. आत्मसात करणे 2. आत्मसात करणे,assimilation
1. संघटना 2. संघटना,association
1. स्तंभ 2. तुरटपणा,astringent
heterozygosity,asynapsis
1. पूर्वज 2. Atavism,atavism
कण,atomizer
1. पुष्टीकरण 2. कमजोरी,atrophy
स्वत: ची जोडणी,autogamy
ऑटोलिसिस,autolysis
1. उत्स्फूर्त ऑक्सीकरण 2. उत्स्फूर्त ऑक्सीकरण,autooxidation
स्वत: मल्टिप्लेक्स,autopolyploid
ऑक्सिन,auxins
1. हादरले 2. टॉड,awn (bristle)
दंडात्मक व्हायरस,baccilovirus
1. बॅसिलस 2. बॅसिलस,bacillus
1. जीवाणू 2. जीवाणू,bacteria
जिवाणू विष,bacteriotoxin
बॅगासे,bagasse
ताळेबंद,balance sheet
संतुलित खतांचा वापर,balanced fertilization
बार आलेख,bar diagram
झाडाची साल,bark
1. बॅरोमीटर 2. बॅरोमीटर,barometer
1. बजर 2. जड 3. वांझ,barren
1. बेस 2. बेस 3. कपंग,base
1. तळा 2. खोरे,basin
तलाबिसरी,basipetal
1. बेसिस्टर्नम 2. रूट धारक,basisternum
गल्फ मान्सून,bay monsoon
फळ वनस्पती,bearing plant
पलंग,bed
बेड प्लांट,bedder
बेडिंग,bedding
बीट मोलॅसेस,beet molasses
घुंगरू,bellows
1. पट्टी 2. भूप्रदेश,belt
नफा-खर्च विश्लेषण,benefit-cost analysis
इच्छुक (नमुना),biased (sampling)
द्विवार्षिक वनस्पती,biennial
द्विपद,binomial
बायोफॅक्टर,bioagent
जैविक हवामान,bioclimate
जैव ऊर्जा,bioenergy
प्राणी पर्यावरणशास्त्र,bionomics
1. बायो-प्रोसेसर 2. बायो-रिअॅक्टर,bio-reactor
बायोस्फीअर,biosphere
जैविक,biotic
प्राणी,biotype
दिविलिंगी,bisexual
धवलन,blanching
1. प्रध्‍वसन (रोग) 2. गुस्‍त रोग,blast
मिश्रण,blend
1. अंगमारी (रोग) 2. अनिष्ट (रोग),blight
1. फोड 2. फोड 3. उद्रेक 4. फोड,blister
निळी क्रांती,blue revolution
प्लॅनर हीटिंग चेंबर,bottom heat chamber
प्लॅनर हीटिंग तंत्रज्ञान,bottom heat technique
कोंडा,bran
शाखा,branching
1. डहाळी 2. उपशाखा,branchlet
जाती,breed
पुनरुत्पादन,breeding
लवकर उगवण उपचार,brimming
1. शावक 2. अंडी 3. गर्भ,brood
होतकरू,budding
बजेट,budget
1.अॅम्फोटेरिक 2. बफर,buffer
रताळे,bulb
बंट (रोग),bunt
1. उप-उत्पादन 2. उप-उत्पादन,by-product
c ओलावा तपशील वक्र,c moisture characteristic curve
तेल केक,cake
1. चुना 2. कॅल्शियम,calcarious
कॅल्शिअन,calcification
फॉस्फेट काढणे,calcination of phosphate
1. किनटा 2. कॅलाटा,callosity
1.कॉलस 2. किरण,callus
1. सेपल्स 2. कॅलिक्स,calyx
बाह्य टोक,calyx-end
इधा,cambium
कॅन्कर (जीवाणूजन्य रोग),canker
कॅनिंग,canning
आकाश,canopy
वित्त,capital
परागकण (अंजीराचे),caprification
1. कॅप्सूल 2. कॅप्सूल 3. कॅप्सूल,capsule
कार्बनयुक्त,carbonated
कार्बनन,carbonization
कॅरॅपेस,carpel
ब्रेसलेट,carpus
1. कास्टिंग (लोह) 2. क्षिती (कीटक),casting
अपचय,catabolism
प्रलोभन,catalysis
1. सुरवंट 2. सुरवंट,caterpillar
c d. एन. a संकलन,C-DNA Library
श्रेणी,ceiling
1. सेल 2. सेल,cell
मध्यवर्ती फ्रंट सिस्टम,central leader system
1. पॉइंट 2. फोकस,centric
केंद्रापसारक,centrifugation
अपकेंद्रित्र,centrifuge
तारा केंद्र,centriole
epigenetic,centrogenic
केंद्रजा,centrogenous
यंत्रमाग,cercus
1. तृणधान्ये 2. मालिका,cereal
1. प्रमाणन 2. प्रमाणन,certification
प्रमाणित बियाणे,certified seed
1. पेंढा 2. कुट्टी 3. शलक सहपात्रा,chaff
1. निभाग 2. कैलाजा,chalaza
किमोग्राफी,chemotropism
1. कियाज्मा 2. व्यस्त,chiasma
सुपर कूलिंग तास,chilling hours
दंव नुकसान,chilling injury
1. विचिरोटकी 2. चिमेरा,chimera
हिरवी लापशी,chloranthy
1. पर्णसंभार 2. हिरवा,chlorophyll
सायनोसिस,chlorosis
जैविक वितरण विज्ञान,chorology
1. क्रोमेटिड्स 2. अर्धा गुणसूत्र,chromatid
क्रोमॅटिन,chromatin
क्रोमॅटोग्राफी,chromatography
क्रोमॅटिनलेशन,chromatolysis
अलिंद बिंदू,chromocentre
क्रोमेटोजेनेसिस,chromogenesis
1. क्रोमोप्रोटीन 2. पिगमेंटप्रोटीन,chromoprotein
1. गुणसूत्र 2. गुणसूत्र,chromosome
1. क्रॉनिक 2. क्रॉनिक 3. क्रॉनिक 4. अप्रचलित,chronic
सायरेंज,citrange
गडी बाद होण्याचा क्रम,cladode
वर्गीकरण,classification
1. चिकणमाती 2. चिकणमाती,clay
1. स्वच्छता 2. स्क्रबिंग 3. स्वच्छता 4. शुद्धीकरण,cleaning
सतत परागण,cleistogamy
क्रूसिफेरस फळ,climacteric fruit
हवामान,climate
हवामानशास्त्र,climatology
कातरणे,clipper
ढेकूळ (चिकणमाती),clod
क्लोन,clone
1.ढग 2.ढग,cloud
गठ्ठा,clump
घड,cluster
1. खडबडीत 2. उग्र 3. कच्चा 4. खडबडीत,coarse
1. कव्हर 2. लेदररेट,coat (seed)
कोया,cocoon
1. कोएन्झाइम 2. को-एंझाइम,coenzyme
एकसंधता,cohesion
1. फायबर (ज्युट ज्यूट) 2. नारळ भरड,coir
मुलंकुर चोळ,coleorrhiza
,collar 1. स्तंभमूलसंधि 2. कॉलर 3. ग्रीवा
कोलोइड (माती),colloid (soil)
1.स्तंभ 2.columella,columella
1. दंड 2. स्तंभ 3. स्तंभ,column
सहभागिता,commensalism
व्यावसायिक बँक,commercial bank
1. वस्तू 2. व्यापारी माल,commodity
समुदाय,community
कॉम्पॅक्शन (मातीचे),compaction (of soil)
1. सुसंगतता 2. सुसंगतता,compatibility
सुसंगतता,compatibility
1. भरपाई 2. भरपाई,compensation
स्पर्धात्मक संवाद,competitive interaction
पूरक पीक,complementary crop
1.संमिश्र 2.जटिल,complex
घटक,component
रचना,composition
कंपोस्ट,compost
चक्रवाढ व्याज,compound interest
गणना,computation
1. संगणक 2. संगणक,computer
1. एकाग्रता 2. एकाग्रता,concentration
1. अनुकूलक 2. पुनरुज्जीवन करणारा,conditioner
वाहकता,conductance
1. कॉन्फिगरेशन 2. कॉन्फिगरेशन,configuration
1. अनुरूपता 2. कॉन्फिगरेशन 3. अनुरूपता,conformity
1. एकत्रीकरण 2. संकरीकरण,confounding
संयुग्मन,conjugation
1. जोडणारा 2. संयोजी,connective
संरक्षण,conservation
एकत्रीकरण,consolidation
1.घटक 2. घटक,constituents
ग्राहक,consumer
वापर,consumption
दूषित होणे,contamination
समोच्च लागवड,contour planting
समोच्च रेखा,contour
1. कॉन्ट्रॅक्ट फार्मिंग 2. कॉन्ट्रॅक्ट फार्मिंग 3. कॉन्ट्रॅक्ट फार्मिंग,contract farming
नियंत्रित वातावरणीय संचयन,controlled storage
सहकारी बँक,co-operative bank
सहकारी संस्था सदस्य,cooperator
गुलमावन,coppice
चौकोनी तुकडे,corm
1. दालपुंज 2. कोरोला,corolla
1. कॉर्टेक्स 2. कॉर्टेक्स,cortex
खर्च,cost
cotyledon,cotyledon (seed)
क्रेडिट समिती,credit society
1. कर्ज देणे 2. क्रेडिट,credit
1. सावकार 2. कर्जदार,creditor
1. क्रेस्ट 2. शिरोबिंदू 3. स्पायर,crest
मागे घेणे,crinkle
समस्या,crisis
चाचणी,criterion
गंभीर,critical
पीक विमा,crop insurance
पीक कर्ज,crop loan
1. पीक 2. पीक,crop
लागवड क्षेत्र,cropping area
क्रॉस विसंगत,cross-incompatible
1. मुकुट 2. शिखर (वनस्पती),crown (plant)
मऊ कण,crumb
कवच,crust
1. क्रिप्टोगाम 2. नॉन-फ्लोरिफॉर्म,cryptogam
छाटणी (फळ),cull (fruits)
पेन,culm
वाणाची विविधता,cultivar
1. कर्षण 2. शेती 3. शेती,cultivation
1. शेतकरी 2. शेती करणारा,cultivator
1. मशागत 2. मशागत 3. संगोपन,culture
1. संसाधन 2. तयारी,curing
1.कुंतलन 2.कुंचोन,curling
पवित्रा,currency
1. एपिडर्मिस 2. क्यूटिकल,cuticle
1. पेन 2. कटिंग 3. कटिंग 4. कटिंग 5. कटिंग,cutting
1. वर्म कॉर्पस 2. सिस्ट 3. सिस्ट 4. विकृत ढेकूळ 5. निओप्लाझम,cyst
सायटोक्रोम,cytochrome
सेल जोडणी,cytogamy
सेल पुनरुत्पादन,cytogenesis
सेल आनुवंशिकी,cytogenetics
सायटोप्लाज्मिक विभागणी,cytokinesis
सेल जीवशास्त्र,cytology
सेल lysis,cytolysis
1. सायटोमेर 2. सेल सेगमेंटेशन,cytomere
सायटोप्लाझम,cytoplasm
1. दुग्धव्यवसाय 2. दुग्धव्यवसाय,dairy
डेअरी उद्योग,dairying
1. धरण 2. ब्रीडर,dam
दिवस निरपेक्ष वनस्पती,day-neutral
फुलांच्या नंतर दिवस,days after flowering
पूर्ण फुलांच्या नंतरचा दिवस,days after full bloom
अकार्यक्षमता,deblossoming
decalcification,decalcification
1. डिस्लॉज 2. डिस्लॉज,decant
क्षय,decay
पर्णपाती,deciduous
1. दशांश 2. दशांश,decimal
कनिष्ठता,deficiency
अनुरन (माती),deflocculation (soil)
विपुष्पन,defloration
बिलिंग,defoliation
जंगलतोड,deforestation
बदनामी,degeneration
ऱ्हास,degradation
भाग दिवस,degree days
1. प्रमाण 2. भाग,degree
विघटन,dehiscence
भुसा काढणे,dehulling
भुसा काढणे,dehusking
निर्जलीकरण,dehydration
निर्जल,dehydrator
मागणी,demand
1. विकृतीकरण 2. गुणाकार,denaturation
निंदा,denudation
1. ठेव (माती) 2. ठेव (अर्थशास्त्र),deposit
ठेव,deposition
1. घसारा 2. घसारा,depreciation
डिसेलिनेशन,desalinization
1. पाणी कोरडे होणे 2. निर्जलीकरण,desiccation
1. डिझाइन 2. डिझाइन,design
कोरडे,dessicator
कर्नल काढणे,destoning
डी-इंटरकलेशन,desuckering
संयुग्मन,desynapsis
1. नर मांजरी उतारा (मका) 2. बल्लार उतारा,detassel
बल्लार किंवा कुंदन कटिंग,detasseling
निर्धारक,determinant
अवमूल्यन,devaluation
वनस्पती काढून टाकणे,devegetation
विचलन,deviation
दुप्पट,diad
निदान,diagnosis
भिन्न परिपक्वता,dichogamy
दुभाजक,dichotomy
1. डायकोटीलेडॉन 2. डायकोटीलेडॉन (बियाणे),dicotyledon (seed)
पाठीचा आजार,die back (disease)
1. प्रसार 2. प्रसार,diffusion
पचनक्षमता,digestibility
dihybrid,dihybrid
1. धरण 2. नाला 3. कुटुंब,dike (dyke)
अल्प,dilute
1. एकपत्नी 2. एकपत्नी,dioecious
द्विगुणित,diploid
1. डिप्लोइड 2. डिप्लोइड,diploid
द्विध्रुव,diplonema
1. उतारा 2. अंकुर काढणे,disbudding
1. नांगरणी 2. कताई,discing
सवलत,discount
निर्जंतुकीकरण,disinfection
1. फैलाव 2. विखुरणे,dispersion
1.विखुरणे 2.विविधता,dissemination
विविधीकरण,diversification
वैविध्यपूर्ण शेती,diversified farming
डीएनए पाऊल,DNA Ladder
डीएनए प्राप्तकर्ता,DNA receptor
डॉक भाड्याने,dockage
प्रभावी,dominant
सुप्तता,dormancy
1. प्रमाण 2. डोस 3. डोस,dose
दुहेरी सिग्मॉइड वक्र,douole sigmoid curve
1. झोडप 2. ताणणे,draft (draught)
1. एक्झॉस्ट ड्रेन 2. सांडपाणी,drain
ड्रेनेज,drainage
कर्षण,draw
1. औषध द्या 2. भिजवा,drenching
सौंदर्य प्रसाधने (बिया),dressing (seed)
1. औगर 2. उथळ फॉल्ट 3. ड्रिल 4. औगर,drill (n.)
1. भोक 2. ड्रिल 3. ड्रिल,drilling (ag. engg)
1. ड्रिलिंग 2. ड्रिलसह पेरणी 3. ड्रिलसह ओतणे,drilling (agronomy)
ठिबक सिंचन,drip irrigation
कोरडी शेती,dryland farming
1.धूळ 2.बुकनी,dust
1. डस्टर 2. स्कॅटरर,duster
शिंपडणे,dusting
1. बटू 2. वामन,dwarf
वामन पिरॅमिड,dwarf pyramid
वामिनी भवन,dwarfing
पर्यावरणशास्त्र,ecology
अर्थमिति,econometrics
आर्थिक कार्यक्षमता,economic efficiency
परिस्थितीजन्य प्रकार,ecotype
अतिरिक्त-स्तरीकृत,ectotrophic
मऊ,edaphic
माती विज्ञान,edaphology
1. ब्रिजिंग 2. एजिंग 3. स्ट्रँड क्लोजर,edging
अन्न भाग,edible part
मागणीची लवचिकता,elasticity of demand
उत्पादन लवचिकता,elasticity of production
इलेक्ट्रोलिसिस,electrolysis
इलेक्ट्रोफोरेसीस,electrophoresis
बाष्पीभवन,eluviation
1. शिरच्छेद करणारा 2. निर्जंतुक करणारा 3. शिरच्छेद करणारा 4. निर्जंतुक करणारा,emasculator
1. विर बंदी 2. स्ट्रॉबंडी,embanking
गर्भ,embryo
1. भ्रूणशास्त्र 2. भौतिकशास्त्र,embryology
1. बाहेर पडा 2. बाहेर पडा,emergence
emulsifier,emulsifier
अंतर्जात,endogenous
आंतर-बिंदू विभागणी,endomitosis
आंतर-परजीवी,endoparasite
एंडोस्पर्म,endosperm
उपक्रम,enterprise
कीटकशास्त्र,entomology
वातावरण,environment
1. एन्झाइम 2. एन्झाइम,enzyme
क्लस्टर ग्राफ्टिंग,epicotyl grafting
1. एपिफाइट 2. एपिफाइट,epiphyte
इक्विटी,equity
निर्मूलन,eradication
आवश्यक पोषक,essential nutrients
1. मापन 2. उडी 3. मूल्यांकन,estimation
चातुर्य,etiolation
सुजननिक,eugenic
मूल्यमापन,evaluation
स्टीम गेज,evaporimeter
बाष्पीभवन,evapo-transpiration
शाश्वत क्रांती,evergreen revolution
1. सदाहरित 2. सदाहरित,evergreen
विकास,evolution
कापला,excise
परिक्षय (प्रजनन क्षमता),exhaustion (fertility)
शोषण,exploitation
1. अन्वेषण 2. अन्वेषण,exploration
1. एक्सट्रूजन 2. उत्सर्जन,extrusion
डोळा,eye (sugarcane/potato)
1. घटक 2. घटक 3. घटक 4. संसाधन,factor
घटक उत्पादकता,factor productivity
व्यापारी सवलत,factorage
फॅक्टोरियल ब्लॉक डिझाइन,factorial block design
पर्यायी,facultative
1. पट्टी 2. पालिहार,fallow
स्थूल,family
फील्ड मूल्यांकन,farm appraisal
शेती बजेट,farm budgeting
कृषी व्यवसाय,farm business
क्षेत्र नियोजन,farm planning
1. शेतकरी 2. शेतकरी,farmer
1. शेती 2. शेती,farming
टक्कर,fasciation
एकाधिक प्रजनन,fecundation
किण्वन,fermentation
प्रजनन क्षमता,fertility
खत,fertilizer
खत वापर कार्यक्षमता,fertilizer use efficiency
तंतुमय,fibrous
1. शेत 2. क्षेत्रफळ 3. ठिकाण,field
माती पाणी धारण,field capacity
फील्ड प्रात्यक्षिक,field demonstration
1. स्थिरीकरण 2. फिक्सेशन 3. फिक्सेशन,fixation
1. पूर 2. गर्भाधान,flooding
प्रवाह चित्र,flow diagram
अन्न मूल्य,food value
चारा,forage (fodder)
अंदाज,forecasting
वन,forest
वनीकरण,forestation
1. तडपर्न 2. फॉर्म,frond
दंव प्रतिरोधक,frost resistant
1. पाला 2. अनिष्ट,frost
1. गोठलेले 2. गोठलेले,frozen (fruit & vegetable)
कार्य,fructification
1. फ्रुट फॉल 2. फ्रुट फॉल,fruit drop
फळ बनणे,fruit -set (fruit setting)
1. फ्युमिगेशन 2. फ्युमिगेशन,fumigation
बुरशीनाशक,fungicide
बुरशीविरोधी,fungistatic
बुरशी,fungus
1. खुद 2. सीता,furow
1. फ्यूजन 2. फ्यूजन,fusion
कापूस लोकर,fuzz
केसाळ,fuzzy
1. झाडाचा व्रण 2. पिटिका,gall (Hort)
1. गेमेट्स 2. गेमेट्स,gamete
1. बाग 2. बाग,garden
1. पानसाल 2. हायड्रोमीटर,gauge (water)
जनुक संग्रह,gene bank
जीन टॅगन,gene tagging
वंशावळी,geneology
जनुक नकाशा,genetic map
अनुवांशिक,genetics
1. जीनोम 2. सांगेन,genome
संजिनी कलेक्शन,genomic library
जीनोमिक्स,genomics
जीनोटाइप,genotype
1. जीन स्ट्रक्चर 2. जीन प्रकार,genotype
लिनेज,genus
1. वंश 2. वंश,genus
1. जंतू 2. जंतू,germ
जंतूनाशक,germicide
उगवण,germination
1. जर्मप्लाझम 2. जर्मप्लाझम,germplasm
गिबेरेलिक ऍसिड,gibberellic acid
गोळा करणे,ginning
तुष,glume
1. ग्लूटेन 2. खादाड,glutinous
ग्लायकोलिसिस,glycolysis
छान,gneiss
सुवर्ण क्रांती,golden revolution
1. वर्गीकरण 2. वर्गीकरण 3. स्तरीकरण,grading
1. कलमी वनस्पती 2. पेनम्ब्रल वनस्पती,grafted plant
पेन विसंगत,graft-incompatible
ग्राना,granna
दाणेदार,granulation
हिरवे खत,green manure
हरित क्रांती,green revolution
वाढ आणि विकास,growth and development
1. हिरड्या रोग,gummosis
विषमलिंगी,gynodioecious
1. प्रकृति 2. निसर्ग 3. रूपगुण 4. रूप,habit
1. ओला 2. कर्कपट 3. कर्का,hail
रोमिलवॉच,hairyvetch
खारट गळू,halophyte
हॅरो,harrow
1. कापणी निर्देशांक 2. कापणी निर्देशांक,harvest index
1. कापणी 2. काढणी केलेले पीक 3. पूर्ण झालेले पीक 4. उत्पन्न,harvest
1. तोडणे 2. कापणी करणे 3. तोडणे,harvesting
1. अंडी घालणे 2. अंडी फोर्स,hatch
सुकलेले गवत,hay
कोरडे खाद्य,haylage
गंजी,haystock
धुके,haze
धुके,hazy
1. बाली 2. सित्त 3. मुंडक 4. शीर्ष 5. डोके 6. सिरा,head (Agro)
खोबणीचा शेवट,head (of channel)
शीर्ष रोपांची छाटणी,heading back
कुंपण,hedge
ताब्यात,hedging
कुंडलिनी,helix
हेमॅटाइट,hematite
1. औषधी वनस्पती 2. औषधी वनस्पती,herb
1.बॉटनिकल कलेक्शन 2.बॉटनिकल म्युझियम,herbarium
तणनाशक,herbicide
आनुवंशिकता,heredity
आनुवंशिकता,heretability
उभयलिंगी,hermaphrodite
heterochromatic,heterochromatic
heterofertilization,heterofertilization
1. हायब्रिडोज 2. हेटेरोसिस,heterosis
सेक्सक्रोमोसोम,heterosome
पालनपोषण,heterotroph
हेक्साडेसिमल,hexaploid
थंड सुप्तता,hibernate
उच्च घनता लागवड,high density planting
1. पिंडलक 2. टेकडी (भात),hill (rice)
हिस्टोग्राम,histogram
उच्च तंत्रज्ञान फलोत्पादन,hitech horticulture
1. दही 2. पोळ्या,hive
1. खुरपणी 2. खुरपणी,hoeing
धारण,holding
खाजगी शेत,home farm
होमिओस्टॅसिस,homeostasis
जन्मभुमी,homestead
एकजिनसीपणा,homogeneity
1. एकसंध 2. एकसंध,homogenous
सहानुभूती,homologus
एकसंध,homozygote
1. खुर्लिका 2. अन्न कंटेनर 3. हापर,hopper
1. थर 2. क्षितिज,horizon
बागायती पिके,horticultural crops
1. फलोत्पादन 2. फलोत्पादन 3. फलोत्पादन 4. फलोत्पादन,horticulture
