Marathi,Gujarati
एसिम्प्टोटिक वितरण कार्य,એસિમ્પ્ટોટિક વિતરણ કાર્ય
एसिम्प्टोटिक विस्तार,એસિમ્પ્ટોટિક વિસ્તરણ
वातावरणाचा दाब,વાતાવરણ નુ દબાણ
यादृच्छिकपणे,રેન્ડમ પર
विशेषता,લક્ષણ
गुणधर्म नमुना प्रक्रिया,વિશેષતા નમૂના પ્રક્રિયા
संवर्धित मॅट्रिक्स,સંવર્ધિત મેટ્રિક્સ
स्वयंसंबंध गुणांक,સ્વતઃસંબંધ ગુણાંક
स्वयंसंबंध कार्य,સ્વતઃસંબંધ કાર્ય
autocovariance,ઓટોકોવરિઅન્સ
स्वयंचलित संगणक,સ્વચાલિત કમ્પ્યુટર
ऑटोरिग्रेशन,ઓટો રીગ્રેશન
सहाय्यक समीकरण,સહાયક સમીકરણ
सरासरी नमुना क्रमांक वक्र (ASN वक्र),સરેરાશ સેમ્પલ નંબર કર્વ (ASN કર્વ)
स्वयंसिद्ध,સ્વયંસિદ્ધ
स्वयंसिद्ध दृष्टीकोन,સ્વયંસિદ્ધ અભિગમ
संभाव्यतेचे स्वयंसिद्ध,સંભાવનાનું સ્વયંસિદ્ધ
अक्ष,ધરી
abscissa चा अक्ष,abscissa ની અક્ષ
पृथ्वीचा अक्ष,પૃથ્વીની ધરી
क्रांतीची अक्ष,ક્રાંતિની ધરી
रोटेशनचा अक्ष,પરિભ્રમણની અક્ષ
फिरकीचा अक्ष,સ્પિનની ધરી
परत प्रतिस्थापन,બેક-અવેજી
मागास फरक,પછાત તફાવત
बॅकवर्ड-इंटरपोलेशन सूत्र,બેકવર્ડ-ઇન્ટરપોલેશન ફોર્મ્યુલા
शिल्लक,સંતુલન
संतुलित डिझाइन,સંતુલિત ડિઝાઇન
ताळेबंद,સરવૈયા
बॅलिस्टिक क्षेपणास्त्र,બેલિસ્ટિક મિસાઇલ
बॅलिस्टिक्स,બેલિસ્ટિક્સ
बार,બાર
पाया,પાયો
बेस कोन,આધાર કોણ
लॉगरिदमचा आधार,લઘુગણકનો આધાર
मूलभूत,પાયાની
मूलभूत व्यवहार्य उपाय,મૂળભૂત શક્ય ઉકેલ
मूलभूत उपाय,મૂળભૂત ઉકેલ
मूलभूत चल,મૂળભૂત ચલ
आधार,આધાર
आधार घटक,આધાર તત્વ
आधार मॅट्रिक्स,આધાર મેટ્રિક્સ
वेक्टर स्पेसचा आधार,વેક્ટર સ્પેસનો આધાર
सबस्पेसचा आधार,સબસ્પેસનો આધાર
बायसियन अंदाज,બેયસિયન અંદાજ
बायसचा कायदा,બેયસનો કાયદો
बायसचे प्रमेय,બેયસનું પ્રમેય
बर्नौली वितरण,બર્નૌલી વિતરણ
बर्नौली क्रमांक,બર્નોલી નંબર
बर्नौली संभाव्यता कार्य,બર્નૌલી સંભાવના કાર્ય
बर्नौलीचे समीकरण,બર્નૌલીનું સમીકરણ
बेरी फंक्शन,બેરી કાર્ય
सर्वोत्तम फिट,શ્રેષ્ઠ ગોઠવણ
सर्वोत्तम - फिट लाइन,શ્રેષ્ઠ - ફિટ લાઇન
सर्वोत्तम उपाय,શ્રેષ્ઠ ઉકેલ
सर्वोत्तम धोरणे,શ્રેષ્ઠ વ્યૂહરચના
बीटा वितरण,બીટા વિતરણ
पक्षपात,પૂર્વગ્રહ
पक्षपाती अंदाज,પક્ષપાતી અંદાજ
बिहारमोनिक समीकरण,બિહાર્મોનિક સમીકરણ
द्विभाजन,બાયજેક્શન
द्विभाषिक नकाशा,દ્વિભાષી નકશો
द्विजात्मक मॅपिंग,બાયજેક્ટિવ મેપિંગ
द्विरेखीय फॉर्म,દ્વિરેખીય સ્વરૂપ
द्विरेखीय कार्य,દ્વિરેખીય કાર્ય
द्विरेखीय हर्मिटियन फॉर्म,દ્વિરેખીય હર્મિટિયન સ્વરૂપ
बायनरी,દ્વિસંગી
बायनरी कोड,દ્વિસંગી કોડ
बायनरी कोडेड दशांश,દ્વિસંગી કોડેડ દશાંશ
बायनरी कोडिंग,દ્વિસંગી કોડિંગ
बायनरी संगणक,દ્વિસંગી કમ્પ્યુટર
बायनरी अंक,દ્વિસંગી અંક
बायनरी ऑपरेशन,દ્વિસંગી કામગીરી
बायनरी प्रणाली,દ્વિસંગી સિસ્ટમ
बायनरी व्हेरिएबल,દ્વિસંગી ચલ
द्विपदी गुणांक,દ્વિપદી ગુણાંક
द्विपदी वितरण,દ્વિપદી વિતરણ
द्विपद समीकरण,દ્વિપદી સમીકરણ
द्विपदी विस्तार,દ્વિપદી વિસ્તરણ
द्विपदी अभिव्यक्ती,દ્વિપદી અભિવ્યક્તિ
द्विपदी यादृच्छिक चल,દ્વિપદી રેન્ડમ ચલ
द्विपद प्रमेय,દ્વિપદી પ્રમેય
दुभाजक,દ્વિભાગ
दुभाजक पद्धत,દ્વિભાજન પદ્ધતિ
दुभाजक,દ્વિભાજક
द्विसेरियल,બાયસીરીયલ
बिट,બીટ
द्विपदी द्विपद वितरण,દ્વિપક્ષીય દ્વિપદી વિતરણ
द्विवैरिएट सहसंबंध गुणांक,બાયવેરિયેટ સહસંબંધ ગુણાંક
द्विभिन्न वितरण,દ્વિવિધ વિતરણ
द्विवैरिएट सामान्य वितरण,બાયવેરિયેટ સામાન્ય વિતરણ
bivector,બાઇવેક્ટર
बोल्ट्झमन समीकरण,બોલ્ટ્ઝમેન સમીકરણ
बुलियन बीजगणित,બુલિયન બીજગણિત
बोस - आईन्स्टाईन आकडेवारी,બોઝ - આઈન્સ્ટાઈન આંકડા
सीमा स्थिती,સીમાની સ્થિતિ
सीमा स्तर,સીમા સ્તર
सीमारेषा,સીમા રેખા
सीमा मूल्य,સીમા મૂલ્ય
सीमा मूल्य समस्या,સીમા મૂલ્યની સમસ્યા
बंधनकारक कार्य,બંધાયેલ કાર્ય
सीमाबद्ध मॅट्रिक्स,બાઉન્ડેડ મેટ્રિક્સ
सीमाबद्ध प्रदेश,સીમિત પ્રદેશ
बांधलेला संच,બાઉન્ડેડ સેટ
ब्राउनियन गती,બ્રાઉનિયન ગતિ
गणना करा,ગણત્રી
गणना करत आहे,ગણતરી
गणना मशीन,ગણતરી મશીન
गणना,ગણતરી
गणना प्रक्रिया,ગણતરીની પ્રક્રિયા
कॅल्क्युलेटर,કેલ્ક્યુલેટર
कॅल्क्युलस,કલન
भिन्नतेची गणना,વિવિધતાની ગણતરી
कॅलरी,કેલરી
रद्द करण्याचा कायदा,રદ કરવાનો કાયદો
प्रामाणिक समीकरण,પ્રામાણિક સમીકરણ
प्रामाणिक स्वरूप,પ્રમાણભૂત સ્વરૂપ
कॅनोनिकल मॅट्रिक्स,પ્રમાણભૂત મેટ્રિક્સ
कॅंटर सेट,કેન્ટર સેટ
कॅंटरचा तिरंगी संच,કેન્ટોરનો તૃતીય સમૂહ
सक्षम वाहतूक समस्या,ક્ષમતાયુક્ત પરિવહન સમસ્યા
क्षमता,ક્ષમતા
केशिका शक्ती,રુધિરકેશિકા બળ
मुख्य क्रमांक,મુખ્ય નંબર
कार्टेशियन अक्ष,કાર્ટેશિયન અક્ષો
कार्टेशियन समन्वय,કાર્ટેશિયન કોઓર્ડિનેટ્સ
कार्टेशियन उत्पादन,કાર્ટેશિયન ઉત્પાદન
संचांचे कार्टेशियन उत्पादन,સેટનું કાર્ટેશિયન ઉત્પાદન
केस स्टडी,કેસ સ્ટડી
आपत्तीजनक चढउतार,આપત્તિજનક વધઘટ
कॅटेनरी,કેટેનરી
कॉची वितरण,કોચી વિતરણ
कॉची सूत्र,કોચી સૂત્ર
कैची गौरसाट प्रमेय,કોચી ગૌરસત પ્રમેય
Cauchy Riemann अटी,Cauchy Riemann શરતો
कॉची क्रम,કોચી ક્રમ
कैची अभिन्न,કોચી અભિન્ન
कॉची मुख्य मूल्य,કોચી મુખ્ય મૂલ્ય
कॉची अवशेष प्रमेय,કોચી અવશેષ પ્રમેય
केली हॅमिल्टन प्रमेय,કેલી હેમિલ્ટન પ્રમેય
आकाशीय शरीर,અવકાશી પદાર્થ
आकाशीय मापन,અવકાશી માપ
खगोलीय यांत्रिकी,અવકાશી મિકેનિક્સ
खगोलीय वस्तू,અવકાશી પદાર્થ
सेल वारंवारता,સેલ આવર્તન
जनगणना,વસ્તી ગણતરી
सेंटाइल,સેન્ટાઇલ
सेंटीमीटर,સેન્ટીમીટર
सेंटीमीटर ग्रॅम दुसरी प्रणाली,સેન્ટીમીટર ગ્રામ સેકન્ડ સિસ્ટમ
मध्यवर्ती,કેન્દ્રીય
मध्य अक्ष,કેન્દ્રીય અક્ષ
मध्यवर्ती फरक,કેન્દ્રીય તફાવત
केंद्रीय फरक सूत्र,કેન્દ્રીય તફાવત સૂત્ર
मध्यवर्ती फरक सारणी,કેન્દ્રીય તફાવત કોષ્ટક
केंद्रीय मर्यादा प्रमेय,કેન્દ્રીય મર્યાદા પ્રમેય
मध्यवर्ती क्षण,કેન્દ્રીય ક્ષણ
सेंट्रल प्रोसेसिंग युनिट (CPU),સેન્ટ્રલ પ્રોસેસિંગ યુનિટ (CPU)
केंद्रीय प्रवृत्ती,કેન્દ્રીય વલણ
केंद्र,કેન્દ્ર
गुरुत्वाकर्षण केंद्र,ગુરુત્વાકર્ષણ કેન્દ્ર
गटाचे केंद्र,જૂથનું કેન્દ્ર
वस्तुमानाचे केंद्र,સમૂહનું કેન્દ્ર
सममितीचे केंद्र,સમપ્રમાણતાનું કેન્દ્ર
केंद्रापसारक शक्ती,કેન્દ્રત્યાગી બળ
केंद्राभिमुख शक्ती,કેન્દ્રબિંદુ બળ
मध्यवर्ती,કેન્દ્રીય
निश्चितता,નિશ્ચિતતા
cgs प्रणाली,સીજીએસ સિસ્ટમ
cgs युनिट,સીજીએસ એકમ
भिन्नतेचा साखळी नियम,ભિન્નતાનો સાંકળ નિયમ
संधी कारणे,તક કારણો
संधीची हालचाल,તક ચાલ
अक्षांचा बदल,અક્ષોનું પરિવર્તન
आधार बदल,આધાર ફેરફાર
ऑर्डर बदल,ઓર્ડરમાં ફેરફાર
वैशिष्ट्यपूर्ण गुणांक,લાક્ષણિક ગુણાંક
निर्धारक,નિર્ણાયક
वैशिष्ट्यपूर्ण समीकरण,લાક્ષણિક સમીકરણ
वैशिष्ट्यपूर्ण कार्य,લાક્ષણિક કાર્ય
लॉगरिथमचे वैशिष्ट्य,લઘુગણકની લાક્ષણિકતા
वैशिष्ट्यपूर्ण बहुपद,લાક્ષણિક બહુપદી
वैशिष्ट्यपूर्ण मूल्य,લાક્ષણિક મૂલ્ય
वैशिष्ट्यपूर्ण वेक्टर,લાક્ષણિક વેક્ટર
वर्ण संच,અક્ષર સમૂહ
तक्ता,ચાર્ટ
ची-स्क्वेअर वितरण,ચી-સ્ક્વેર વિતરણ
ची-स्क्वेअर सूत्र,ચી-સ્ક્વેર ફોર્મ્યુલા
ची-स्क्वेअर चाचणी,ચી-સ્ક્વેર ટેસ્ટ
जीवा,તાર
जीवा-द्विभाजन पद्धत,તાર-દ્વિભાજન પદ્ધતિ
सायफर संदेश (=कोड केलेला संदेश),સાઇફર સંદેશ (=કોડેડ સંદેશ)
सिफर (शून्य),સાઇફર (શૂન્ય)
वर्तुळ,વર્તુળ
अभिसरण मंडळ,કન્વર્જન્સનું વર્તુળ
सर्किट मॅट्रिक्स,સર્કિટ મેટ્રિક્સ
परिपत्रक,પરિપત્ર
वर्तुळाकार लक्षण,પરિપત્ર એસિમ્પ્ટોટ
गोलाकार हेलिक्स,ગોળાકાર હેલિક્સ
गोलाकार हालचाल,પરિપત્ર ગતિ
परिघ,પરિઘ કેન્દ્ર
वर्तुळ,પરિઘ
परिक्रमा,ઘેરાવો
घेरलेले,ઘેરાયેલું
परिक्रमा केलेले वर्तुळ,ઘેરાયેલું વર્તુળ
शास्त्रीय वजावटी तंत्र,ક્લાસિકલ ડિડક્ટિવ ટેકનિક
शास्त्रीय गतिशीलता,શાસ્ત્રીય ગતિશીલતા
शास्त्रीय ऑप्टिमायझेशन,શાસ્ત્રીય ઓપ્ટિમાઇઝેશન
शास्त्रीय नाश समस्या,શાસ્ત્રીય વિનાશની સમસ્યા
शास्त्रीय सांख्यिकीय यांत्रिकी,શાસ્ત્રીય આંકડાકીય મિકેનિક્સ
त्रुटींचे वर्गीकरण,ભૂલોનું વર્ગીકરણ
वर्ग मध्यांतर,વર્ગ અંતરાલ
वर्ग-मध्यांतर युनिट,વર્ગ અંતરાલ એકમ
वर्ग मर्यादा,વર્ગ મર્યાદા
घड्याळाच्या दिशेने,ઘડિયાળની દિશામાં
क्लोपेन (= बंद आणि उघडा),ક્લોપેન (= બંધ અને ખુલ્લું)
बंद,બંધ
बंद बहिर्वक्र हुल,બંધ બહિર્મુખ હલ
बंद घन,બંધ સમઘન
बंद वक्र,બંધ વળાંક
बंद डोमेन,બંધ ડોમેન
बंद आकृती,બંધ આકૃતિ
बंद अंतराल,બંધ અંતરાલ
बंद प्रदेश,બંધ પ્રદેશ
बंद संच,બંધ સેટ
बंद पृष्ठभाग,બંધ સપાટી
बंद,બંધ
बंद ऑपरेटर,બંધ ઓપરેટર
बंद बिंदू (= संपर्क बिंदू),બંધ બિંદુ (= સંપર્ક બિંદુ)
बंद करणे,બંધ કરવાની ધારણા
बंद सेट,બંધ સેટ
क्लस्टर पॉइंट,ક્લસ્ટર બિંદુ
क्लस्टर सॅम्पलिंग,ક્લસ્ટર નમૂના
क्लस्टर सेट,ક્લસ્ટર સેટ
समाक्षीय मंडळे,કોક્સિયલ વર્તુળો
कोएक्सियल पॅराबोलास,કોક્સિયલ પેરાબોલાસ
समाक्षीय विमाने,કોક્સિયલ પ્લેન
समाक्षीय त्रिकोण,કોક્સિયલ ત્રિકોણ
कोब - डग्लस फंक्शन,કોબ - ડગ્લાસ કાર્ય
कोडिंग,કોડિંગ
डेटाचे कोडिंग,ડેટાનું કોડિંગ
सह-डोमेन,સહ-ડોમેન
गुणांक मॅट्रिक्स,ગુણાંક મેટ્રિક્સ
सहसंबंध गुणांक,સહસંબંધનો ગુણાંક
निर्धाराचे गुणांक,નિર્ધારણ ગુણાંક
लवचिकता गुणांक,સ્થિતિસ્થાપકતાના ગુણાંક
विस्तार गुणांक,વિસ્તરણ ગુણાંક
घर्षण गुणांक,ઘર્ષણ ગુણાંક
रेखीय विस्ताराचे गुणांक,રેખીય વિસ્તરણનો ગુણાંક
प्रतिगमन गुणांक,રીગ્રેસન ગુણાંક
पृष्ठभाग तणावाचे गुणांक,સપાટીના તાણનો ગુણાંક
भिन्नतेचे गुणांक,વિવિધતાના ગુણાંક
cofactor,કોફેક્ટર
नाणे फेकणे (नाणे फेकणे),સિક્કો ફેંકવું (સિક્કો ફેંકવું)
नमुना संकलन,નમૂનાનો સંગ્રહ
समरेख,સમરેખા
समरेखता,સમન્વય
स्तंभ,કૉલમ
स्तंभ समतुल्यता,કૉલમ સમાનતા
स्तंभ समतुल्य,કૉલમ સમકક્ષ
स्तंभ समतुल्य मॅट्रिक्स,કૉલમ સમકક્ષ મેટ્રિક્સ
स्तंभ मॅट्रिक्स,કૉલમ મેટ્રિક્સ
स्तंभ रँक,કૉલમ રેન્ક
स्तंभ कमी केलेले इकोलॉन मॅट्रिक्स,કૉલમ ઘટાડેલ ઇકોલોન મેટ્રિક્સ
स्तंभ वेक्टर,કૉલમ વેક્ટર
स्तंभानुसार,સ્તંભ પ્રમાણે
एकत्रित समीकरण,સંયુક્ત સમીકરણ
सामान्य कोन,સામાન્ય કોણ
सामान्य अक्ष,સામાન્ય અક્ષ
सामान्य आधार,સામાન્ય આધાર
सामान्य भाजक,સામાન્ય છેદ
सामान्य फरक,સામાન્ય તફાવત
सामान्य घटक,સામાન્ય પરિબળ
सामान्य लॉगरिथम,સામાન્ય લઘુગણક
सामान्य एकाधिक,સામાન્ય બહુવિધ
सामान्य प्रमाण,સામાન્ય ગુણોત્તર
सामान्य विभाग,સામાન્ય વિભાગ
सामान्य बाजू,સામાન્ય બાજુ
सामान्य स्पर्शिका,સામાન્ય સ્પર્શક
सामान्य संज्ञा,સામાન્ય શબ્દ
बदली कायदा,પરિવર્તનીય કાયદો
बदली मालमत्ता,વિનિમયાત્મક મિલકત
बदली नियम,પરિવર્તનીય નિયમ
जोडणीचा बदली कायदा,ઉમેરાનો વિનિમયાત્મક કાયદો
गुणाकाराचा कम्युटेटिव्ह कायदा,ગુણાકારનો વિનિમયાત્મક કાયદો
बदली ऑपरेशन,વિનિમયાત્મક કામગીરી
कम्युटेटर गट,કોમ્યુટેટર જૂથ
मॅट्रिक्सचे प्रवास,મેટ્રિસિસની અવરજવર
कॉम्पॅक्ट सेट,કોમ્પેક્ટ સેટ
तुलना,તુલનાત્મકતા
साधनांची तुलना,માધ્યમની સરખામણી
टक्केवारीची तुलना,ટકાવારીની સરખામણી
तुलना चाचणी,સરખામણી કસોટી
सुसंगतता समीकरण,સુસંગતતા સમીકરણ
स्पर्धात्मक खेळ,સ્પર્ધાત્મક રમત
स्पर्धात्मक परिस्थिती,સ્પર્ધાત્મક પરિસ્થિતિ
स्पर्धात्मक धोरण,સ્પર્ધાત્મક વ્યૂહરચના
संकलक,કમ્પાઇલર
पूरक,પૂરક
पूरक कोन,પૂરક કોણ
पूरक घटना पूरक घटना,પૂરક ઘટના પૂરક ઘટના
पूरक घटक,પૂરક પરિબળ
पूरक कार्य,પૂરક કાર્ય
पूरक अर्धी जागा,પૂરક અડધી જગ્યા
पूरक अंतराल,પૂરક અંતરાલ
पूरक संच,પૂરક સમૂહ
पूरक,પૂરક
संचाचे पूरक,સમૂહનું પૂરક
पूर्ण जनगणना,સંપૂર્ણ વસ્તી ગણતરી
पूर्ण सहसंबंध मॅट्रिक्स,સંપૂર્ણ સહસંબંધ મેટ્રિક્સ
पूर्ण मेट्रिक जागा,પૂર્ણ મેટ્રિક જગ્યા
संपूर्ण ऑर्थोनॉर्मल सेट,સંપૂર્ણ ઓર્થોનોર્મલ સેટ
पूर्ण चतुर्भुज,સંપૂર્ણ ચતુષ્કોણ
